linha=1 | nome=Felipe | acao=executou o benchmark | valor=1523
linha=97 | nome=Ana | acao=escreveu o relatorio | valor=4935
linha=98 | nome=Mariana | acao=estudou computacao | valor=1496
linha=99 | nome=Karen | acao=otimizou o algoritmo | valor=5688
linha=100 | nome=Sofia | acao=estudou computacao | valor=5142
linha=101 | nome=Gabriela | acao=otimizou o algoritmo | valor=6687
linha=102 | nome=Renata | acao=escreveu o relatorio | valor=1373
linha=103 | nome=Paulo | acao=participou da aula | valor=8525
linha=104 | nome=Lucas | acao=escreveu o relatorio | valor=9699
linha=105 | nome=Gabriela | acao=escreveu o relatorio | valor=2649
linha=106 | nome=Bruno | acao=comparou as metricas | valor=1627
linha=107 | nome=Gabriela | acao=fez um experimento | valor=4547
linha=108 | nome=Joao | acao=participou da aula | valor=7041
linha=109 | nome=Natalia | acao=analisou os resultados | valor=6313
linha=110 | nome=Bruno | acao=analisou os resultados | valor=5786
linha=111 | nome=Vitor | acao=otimizou o algoritmo | valor=9050
linha=112 | nome=Felipe | acao=estudou computacao | valor=4091
linha=113 | nome=Bruno | acao=comparou as metricas | valor=4353
linha=114 | nome=Renata | acao=estudou computacao | valor=2323
linha=115 | nome=Sofia | acao=fez um experimento | valor=7723
linha=116 | nome=Renata | acao=comparou as metricas | valor=1908
linha=117 | nome=Karen | acao=analisou os resultados | valor=9356
linha=118 | nome=Eduarda | acao=participou da aula | valor=8621
linha=119 | nome=Sofia | acao=estudou computacao | valor=5163
linha=120 | nome=Eduarda | acao=comparou as metricas | valor=3633
linha=121 | nome=Paulo | acao=fez um experimento | valor=9698
linha=122 | nome=Felipe | acao=participou da aula | valor=3355
linha=123 | nome=Carlos | acao=executou o benchmark | valor=5397
linha=124 | nome=Igor | acao=escreveu o relatorio | valor=7110
linha=125 | nome=Karen | acao=comparou as metricas | valor=7231
linha=126 | nome=Helena | acao=estudou computacao | valor=3330
linha=127 | nome=Karen | acao=otimizou o algoritmo | valor=1123
linha=128 | nome=Natalia | acao=estudou computacao | valor=4545
linha=129 | nome=Felipe | acao=comparou as metricas | valor=8597
linha=130 | nome=Mariana | acao=escreveu o relatorio | valor=6732
linha=131 | nome=Tiago | acao=otimizou o algoritmo | valor=3091
linha=132 | nome=Vitor | acao=comparou as metricas | valor=5714
linha=133 | nome=Felipe | acao=executou o benchmark | valor=7010
linha=134 | nome=Otavio | acao=participou da aula | valor=4558
linha=135 | nome=Paulo | acao=comparou as metricas | valor=2365
linha=136 | nome=Karen | acao=comparou as metricas | valor=9630
linha=137 | nome=Paulo | acao=escreveu o relatorio | valor=6885
linha=138 | nome=Helena | acao=comparou as metricas | valor=5621
linha=139 | nome=Carlos | acao=fez um experimento | valor=8298
linha=140 | nome=Karen | acao=estudou computacao | valor=1104
linha=141 | nome=Ana | acao=estudou computacao | valor=3218
linha=142 | nome=Gabriela | acao=fez um experimento | valor=6722
linha=143 | nome=Otavio | acao=estudou computacao | valor=3609
linha=144 | nome=Carlos | acao=participou da aula | valor=6669
linha=145 | nome=Lucas | acao=executou o benchmark | valor=3651
linha=146 | nome=Natalia | acao=otimizou o algoritmo | valor=7895
linha=147 | nome=Bruno | acao=analisou os resultados | valor=9688
linha=148 | nome=Carlos | acao=analisou os resultados | valor=4127
linha=149 | nome=Natalia | acao=executou o benchmark | valor=2113
linha=150 | nome=Karen | acao=executou o benchmark | valor=1359
linha=151 | nome=Ana | acao=comparou as metricas | valor=8841
linha=152 | nome=Igor | acao=comparou as metricas | valor=4365
linha=153 | nome=Otavio | acao=otimizou o algoritmo | valor=3787
linha=154 | nome=Igor | acao=fez um experimento | valor=7389
linha=155 | nome=Igor | acao=estudou computacao | valor=8845
linha=156 | nome=Mariana | acao=executou o benchmark | valor=7489
linha=157 | nome=Paulo | acao=analisou os resultados | valor=7535
linha=158 | nome=Helena | acao=comparou as metricas | valor=5057
linha=159 | nome=Ana | acao=comparou as metricas | valor=3942
linha=160 | nome=Natalia | acao=escreveu o relatorio | valor=5643
linha=161 | nome=Mariana | acao=participou da aula | valor=1568
linha=162 | nome=Natalia | acao=fez um experimento | valor=4446
linha=163 | nome=Renata | acao=fez um experimento | valor=9123
linha=164 | nome=Gabriela | acao=participou da aula | valor=6142
linha=165 | nome=Eduarda | acao=otimizou o algoritmo | valor=7244
linha=166 | nome=Otavio | acao=analisou os resultados | valor=4072
linha=167 | nome=Bruno | acao=comparou as metricas | valor=8050
linha=168 | nome=Otavio | acao=analisou os resultados | valor=5151
linha=169 | nome=Felipe | acao=estudou computacao | valor=3077
linha=170 | nome=Paulo | acao=estudou computacao | valor=8402
linha=171 | nome=Eduarda | acao=fez um experimento | valor=8841
linha=172 | nome=Carlos | acao=fez um experimento | valor=3118
linha=173 | nome=Ana | acao=otimizou o algoritmo | valor=6724
linha=174 | nome=Gabriela | acao=fez um experimento | valor=5714
linha=175 | nome=Vitor | acao=estudou computacao | valor=2728
linha=176 | nome=Gabriela | acao=comparou as metricas | valor=9292
linha=177 | nome=Ana | acao=comparou as metricas | valor=4935
linha=178 | nome=Bruno | acao=estudou computacao | valor=9176
linha=179 | nome=Igor | acao=comparou as metricas | valor=8803
linha=180 | nome=Karen | acao=participou da aula | valor=3788
linha=181 | nome=Daniela | acao=escreveu o relatorio | valor=4763
linha=182 | nome=Ana | acao=fez um experimento | valor=1097
linha=183 | nome=Paulo | acao=comparou as metricas | valor=4085
linha=184 | nome=Gabriela | acao=otimizou o algoritmo | valor=6733
linha=185 | nome=Natalia | acao=participou da aula | valor=1058
linha=186 | nome=Mariana | acao=executou o benchmark | valor=2382
linha=187 | nome=Mariana | acao=escreveu o relatorio | valor=6234
linha=188 | nome=Igor | acao=fez um experimento | valor=4644
linha=189 | nome=Ana | acao=executou o benchmark | valor=4569
linha=190 | nome=Paulo | acao=otimizou o algoritmo | valor=3709
linha=191 | nome=Igor | acao=analisou os resultados | valor=3441
linha=192 | nome=Felipe | acao=executou o benchmark | valor=1255
linha=193 | nome=Natalia | acao=comparou as metricas | valor=6912
linha=194 | nome=Igor | acao=otimizou o algoritmo | valor=2107
linha=195 | nome=Paulo | acao=analisou os resultados | valor=8572
linha=196 | nome=Mariana | acao=otimizou o algoritmo | valor=8740
linha=197 | nome=Sofia | acao=fez um experimento | valor=4622
linha=198 | nome=Carlos | acao=escreveu o relatorio | valor=2160
linha=199 | nome=Eduarda | acao=otimizou o algoritmo | valor=2957
linha=200 | nome=Otavio | acao=participou da aula | valor=2209
linha=201 | nome=Daniela | acao=participou da aula | valor=9968
linha=202 | nome=Eduarda | acao=estudou computacao | valor=8552
linha=203 | nome=Joao | acao=otimizou o algoritmo | valor=3582
linha=204 | nome=Lucas | acao=escreveu o relatorio | valor=9022
linha=205 | nome=Otavio | acao=escreveu o relatorio | valor=9406
linha=206 | nome=Mariana | acao=estudou computacao | valor=9579
linha=207 | nome=Joao | acao=comparou as metricas | valor=5366
linha=208 | nome=Lucas | acao=estudou computacao | valor=4885
linha=209 | nome=Karen | acao=participou da aula | valor=5474
linha=210 | nome=Gabriela | acao=participou da aula | valor=4451
linha=211 | nome=Igor | acao=fez um experimento | valor=5371
linha=212 | nome=Tiago | acao=analisou os resultados | valor=3466
linha=213 | nome=Sofia | acao=escreveu o relatorio | valor=9542
linha=214 | nome=Felipe | acao=participou da aula | valor=9020
linha=215 | nome=Joao | acao=otimizou o algoritmo | valor=2703
linha=216 | nome=Tiago | acao=fez um experimento | valor=8222
linha=217 | nome=Sofia | acao=estudou computacao | valor=7856
linha=218 | nome=Felipe | acao=executou o benchmark | valor=4872
linha=219 | nome=Lucas | acao=participou da aula | valor=6723
linha=220 | nome=Karen | acao=escreveu o relatorio | valor=7798
linha=221 | nome=Eduarda | acao=participou da aula | valor=5124
linha=222 | nome=Ana | acao=executou o benchmark | valor=5377
linha=223 | nome=Karen | acao=fez um experimento | valor=2394
linha=224 | nome=Mariana | acao=estudou computacao | valor=2970
linha=225 | nome=Joao | acao=fez um experimento | valor=2366
linha=226 | nome=Carlos | acao=otimizou o algoritmo | valor=3832
linha=227 | nome=Natalia | acao=analisou os resultados | valor=7028
linha=228 | nome=Lucas | acao=executou o benchmark | valor=7680
linha=229 | nome=Natalia | acao=otimizou o algoritmo | valor=9186
linha=230 | nome=Ana | acao=executou o benchmark | valor=7587
linha=231 | nome=Daniela | acao=comparou as metricas | valor=6112
linha=232 | nome=Helena | acao=estudou computacao | valor=7591
linha=233 | nome=Karen | acao=escreveu o relatorio | valor=8627
linha=234 | nome=Karen | acao=executou o benchmark | valor=8828
linha=235 | nome=Carlos | acao=analisou os resultados | valor=1348
linha=236 | nome=Vitor | acao=fez um experimento | valor=3216
linha=237 | nome=Felipe | acao=analisou os resultados | valor=6931
linha=238 | nome=Bruno | acao=estudou computacao | valor=7085
linha=239 | nome=Igor | acao=escreveu o relatorio | valor=5595
linha=240 | nome=Felipe | acao=otimizou o algoritmo | valor=5263
linha=241 | nome=Sofia | acao=estudou computacao | valor=9325
linha=242 | nome=Mariana | acao=otimizou o algoritmo | valor=6953
linha=243 | nome=Igor | acao=analisou os resultados | valor=1147
linha=244 | nome=Mariana | acao=analisou os resultados | valor=2237
linha=245 | nome=Ana | acao=otimizou o algoritmo | valor=4626
linha=246 | nome=Otavio | acao=otimizou o algoritmo | valor=4088
linha=247 | nome=Mariana | acao=comparou as metricas | valor=4268
linha=248 | nome=Bruno | acao=otimizou o algoritmo | valor=6548
linha=249 | nome=Paulo | acao=analisou os resultados | valor=6975
linha=250 | nome=Paulo | acao=estudou computacao | valor=4329
linha=251 | nome=Carlos | acao=estudou computacao | valor=6729
linha=252 | nome=Lucas | acao=comparou as metricas | valor=6313
linha=253 | nome=Bruno | acao=fez um experimento | valor=8274
linha=254 | nome=Karen | acao=executou o benchmark | valor=2512
linha=255 | nome=Eduarda | acao=executou o benchmark | valor=8281
linha=256 | nome=Felipe | acao=participou da aula | valor=5080
linha=257 | nome=Bruno | acao=executou o benchmark | valor=4502
linha=258 | nome=Ana | acao=escreveu o relatorio | valor=8021
linha=259 | nome=Daniela | acao=escreveu o relatorio | valor=3369
linha=260 | nome=Eduarda | acao=comparou as metricas | valor=3803
linha=261 | nome=Lucas | acao=comparou as metricas | valor=8656
linha=262 | nome=Paulo | acao=comparou as metricas | valor=5967
linha=263 | nome=Renata | acao=executou o benchmark | valor=8800
linha=264 | nome=Joao | acao=fez um experimento | valor=4104
linha=265 | nome=Vitor | acao=analisou os resultados | valor=3105
linha=266 | nome=Ana | acao=escreveu o relatorio | valor=2022
linha=267 | nome=Ana | acao=fez um experimento | valor=9264
linha=268 | nome=Helena | acao=comparou as metricas | valor=4291
linha=269 | nome=Joao | acao=executou o benchmark | valor=4131
linha=270 | nome=Tiago | acao=analisou os resultados | valor=8848
linha=271 | nome=Igor | acao=escreveu o relatorio | valor=2505
linha=272 | nome=Tiago | acao=fez um experimento | valor=9794
linha=273 | nome=Paulo | acao=analisou os resultados | valor=2240
linha=274 | nome=Igor | acao=estudou computacao | valor=6142
linha=275 | nome=Sofia | acao=estudou computacao | valor=2905
linha=276 | nome=Bruno | acao=executou o benchmark | valor=9627
linha=277 | nome=Vitor | acao=escreveu o relatorio | valor=5338
linha=278 | nome=Vitor | acao=executou o benchmark | valor=3386
linha=279 | nome=Helena | acao=otimizou o algoritmo | valor=8295
linha=280 | nome=Joao | acao=analisou os resultados | valor=9139
linha=281 | nome=Joao | acao=comparou as metricas | valor=5083
linha=282 | nome=Karen | acao=executou o benchmark | valor=9400
linha=283 | nome=Helena | acao=participou da aula | valor=1669
linha=284 | nome=Carlos | acao=escreveu o relatorio | valor=9517
linha=285 | nome=Mariana | acao=participou da aula | valor=8313
linha=286 | nome=Carlos | acao=fez um experimento | valor=3182
linha=287 | nome=Carlos | acao=estudou computacao | valor=2801
linha=288 | nome=Helena | acao=analisou os resultados | valor=6000
linha=289 | nome=Paulo | acao=analisou os resultados | valor=8127
linha=290 | nome=Natalia | acao=fez um experimento | valor=2259
linha=291 | nome=Eduarda | acao=otimizou o algoritmo | valor=5544
linha=292 | nome=Otavio | acao=otimizou o algoritmo | valor=1097
linha=293 | nome=Vitor | acao=fez um experimento | valor=2322
linha=294 | nome=Mariana | acao=otimizou o algoritmo | valor=2828
linha=295 | nome=Felipe | acao=analisou os resultados | valor=1781
linha=296 | nome=Daniela | acao=participou da aula | valor=7759
linha=297 | nome=Mariana | acao=comparou as metricas | valor=5248
linha=298 | nome=Paulo | acao=participou da aula | valor=2268
linha=299 | nome=Lucas | acao=fez um experimento | valor=4799
linha=300 | nome=Karen | acao=estudou computacao | valor=2620
linha=301 | nome=Gabriela | acao=executou o benchmark | valor=3926
linha=302 | nome=Carlos | acao=executou o benchmark | valor=7561
linha=303 | nome=Helena | acao=analisou os resultados | valor=1294
linha=304 | nome=Helena | acao=executou o benchmark | valor=3866
linha=305 | nome=Felipe | acao=fez um experimento | valor=4124
linha=306 | nome=Gabriela | acao=escreveu o relatorio | valor=5469
linha=307 | nome=Igor | acao=otimizou o algoritmo | valor=2431
linha=308 | nome=Helena | acao=otimizou o algoritmo | valor=2610
linha=309 | nome=Helena | acao=participou da aula | valor=2295
linha=310 | nome=Mariana | acao=executou o benchmark | valor=5329
linha=311 | nome=Lucas | acao=comparou as metricas | valor=4771
linha=312 | nome=Helena | acao=analisou os resultados | valor=2290
linha=313 | nome=Renata | acao=analisou os resultados | valor=3042
linha=314 | nome=Mariana | acao=escreveu o relatorio | valor=5412
linha=315 | nome=Lucas | acao=estudou computacao | valor=8453
linha=316 | nome=Natalia | acao=fez um experimento | valor=5874
linha=317 | nome=Mariana | acao=estudou computacao | valor=6730
linha=318 | nome=Helena | acao=otimizou o algoritmo | valor=4626
linha=319 | nome=Tiago | acao=escreveu o relatorio | valor=1286
linha=320 | nome=Eduarda | acao=otimizou o algoritmo | valor=7806
linha=321 | nome=Eduarda | acao=executou o benchmark | valor=8677
linha=322 | nome=Lucas | acao=otimizou o algoritmo | valor=8913
linha=323 | nome=Felipe | acao=otimizou o algoritmo | valor=7422
linha=324 | nome=Carlos | acao=comparou as metricas | valor=9534
linha=325 | nome=Carlos | acao=otimizou o algoritmo | valor=4486
linha=326 | nome=Eduarda | acao=participou da aula | valor=7757
linha=327 | nome=Sofia | acao=participou da aula | valor=1753
linha=328 | nome=Otavio | acao=participou da aula | valor=1153
linha=329 | nome=Daniela | acao=estudou computacao | valor=3823
linha=330 | nome=Igor | acao=estudou computacao | valor=8804
linha=331 | nome=Mariana | acao=otimizou o algoritmo | valor=5771
linha=332 | nome=Daniela | acao=participou da aula | valor=7858
linha=333 | nome=Mariana | acao=escreveu o relatorio | valor=6796
linha=334 | nome=Otavio | acao=analisou os resultados | valor=6928
linha=335 | nome=Gabriela | acao=estudou computacao | valor=7664
linha=336 | nome=Helena | acao=estudou computacao | valor=4797
linha=337 | nome=Sofia | acao=executou o benchmark | valor=7898
linha=338 | nome=Karen | acao=otimizou o algoritmo | valor=6467
linha=339 | nome=Mariana | acao=escreveu o relatorio | valor=8528
linha=340 | nome=Vitor | acao=comparou as metricas | valor=1462
linha=341 | nome=Felipe | acao=participou da aula | valor=3096
linha=342 | nome=Otavio | acao=otimizou o algoritmo | valor=9007
linha=343 | nome=Bruno | acao=fez um experimento | valor=8119
linha=344 | nome=Gabriela | acao=comparou as metricas | valor=3884
linha=345 | nome=Tiago | acao=comparou as metricas | valor=5050
linha=346 | nome=Eduarda | acao=otimizou o algoritmo | valor=6864
linha=347 | nome=Tiago | acao=analisou os resultados | valor=5121
linha=348 | nome=Bruno | acao=estudou computacao | valor=6397
linha=349 | nome=Vitor | acao=fez um experimento | valor=2348
linha=350 | nome=Mariana | acao=fez um experimento | valor=9971
linha=351 | nome=Helena | acao=participou da aula | valor=3625
linha=352 | nome=Eduarda | acao=escreveu o relatorio | valor=9728
linha=353 | nome=Karen | acao=estudou computacao | valor=1352
linha=354 | nome=Helena | acao=executou o benchmark | valor=4229
linha=355 | nome=Carlos | acao=otimizou o algoritmo | valor=3993
linha=356 | nome=Otavio | acao=estudou computacao | valor=5090
linha=357 | nome=Daniela | acao=executou o benchmark | valor=5860
linha=358 | nome=Paulo | acao=fez um experimento | valor=9459
linha=359 | nome=Helena | acao=estudou computacao | valor=1026
linha=360 | nome=Karen | acao=escreveu o relatorio | valor=9327
linha=361 | nome=Mariana | acao=analisou os resultados | valor=2146
linha=362 | nome=Joao | acao=comparou as metricas | valor=2058
linha=363 | nome=Eduarda | acao=executou o benchmark | valor=9667
linha=364 | nome=Tiago | acao=fez um experimento | valor=5324
linha=365 | nome=Mariana | acao=executou o benchmark | valor=1474
linha=366 | nome=Otavio | acao=otimizou o algoritmo | valor=5466
linha=367 | nome=Daniela | acao=otimizou o algoritmo | valor=7675
linha=368 | nome=Ana | acao=executou o benchmark | valor=4479
linha=369 | nome=Otavio | acao=analisou os resultados | valor=2621
linha=370 | nome=Daniela | acao=escreveu o relatorio | valor=5484
linha=371 | nome=Carlos | acao=participou da aula | valor=5958
linha=372 | nome=Natalia | acao=comparou as metricas | valor=8365
linha=373 | nome=Karen | acao=fez um experimento | valor=2200
linha=374 | nome=Renata | acao=comparou as metricas | valor=4175
linha=375 | nome=Igor | acao=comparou as metricas | valor=3714
linha=376 | nome=Lucas | acao=otimizou o algoritmo | valor=3855
linha=377 | nome=Lucas | acao=otimizou o algoritmo | valor=9324
linha=378 | nome=Renata | acao=escreveu o relatorio | valor=3538
linha=379 | nome=Otavio | acao=otimizou o algoritmo | valor=5701
linha=380 | nome=Natalia | acao=executou o benchmark | valor=1502
linha=381 | nome=Tiago | acao=otimizou o algoritmo | valor=1650
linha=382 | nome=Tiago | acao=comparou as metricas | valor=2188
linha=383 | nome=Mariana | acao=executou o benchmark | valor=9310
linha=384 | nome=Felipe | acao=estudou computacao | valor=6003
linha=385 | nome=Vitor | acao=otimizou o algoritmo | valor=1970
linha=386 | nome=Eduarda | acao=estudou computacao | valor=3958
linha=387 | nome=Renata | acao=escreveu o relatorio | valor=1912
linha=388 | nome=Felipe | acao=analisou os resultados | valor=2814
linha=389 | nome=Igor | acao=executou o benchmark | valor=3494
linha=390 | nome=Otavio | acao=executou o benchmark | valor=1628
linha=391 | nome=Paulo | acao=analisou os resultados | valor=5322
linha=392 | nome=Karen | acao=estudou computacao | valor=5046
linha=393 | nome=Renata | acao=analisou os resultados | valor=5376
linha=394 | nome=Igor | acao=escreveu o relatorio | valor=5253
linha=395 | nome=Otavio | acao=otimizou o algoritmo | valor=9615
linha=396 | nome=Gabriela | acao=estudou computacao | valor=5712
linha=397 | nome=Bruno | acao=analisou os resultados | valor=4233
linha=398 | nome=Gabriela | acao=escreveu o relatorio | valor=6033
linha=399 | nome=Igor | acao=estudou computacao | valor=2370
linha=400 | nome=Igor | acao=estudou computacao | valor=8106
linha=401 | nome=Vitor | acao=escreveu o relatorio | valor=6512
linha=402 | nome=Otavio | acao=estudou computacao | valor=5416
linha=403 | nome=Igor | acao=participou da aula | valor=1038
linha=404 | nome=Felipe | acao=analisou os resultados | valor=8913
linha=405 | nome=Helena | acao=otimizou o algoritmo | valor=6958
linha=406 | nome=Bruno | acao=comparou as metricas | valor=1489
linha=407 | nome=Eduarda | acao=escreveu o relatorio | valor=5091
linha=408 | nome=Helena | acao=comparou as metricas | valor=9085
linha=409 | nome=Ana | acao=otimizou o algoritmo | valor=9876
linha=410 | nome=Carlos | acao=estudou computacao | valor=4808
linha=411 | nome=Renata | acao=fez um experimento | valor=2388
linha=412 | nome=Carlos | acao=comparou as metricas | valor=3507
linha=413 | nome=Igor | acao=executou o benchmark | valor=6307
linha=414 | nome=Karen | acao=fez um experimento | valor=4104
linha=415 | nome=Joao | acao=fez um experimento | valor=5348
linha=416 | nome=Ana | acao=executou o benchmark | valor=8791
linha=417 | nome=Renata | acao=estudou computacao | valor=3498
linha=418 | nome=Igor | acao=escreveu o relatorio | valor=5546
linha=419 | nome=Bruno | acao=comparou as metricas | valor=6199
linha=420 | nome=Helena | acao=estudou computacao | valor=7300
linha=421 | nome=Daniela | acao=participou da aula | valor=9893
linha=422 | nome=Tiago | acao=escreveu o relatorio | valor=3545
linha=423 | nome=Lucas | acao=otimizou o algoritmo | valor=3750
linha=424 | nome=Helena | acao=escreveu o relatorio | valor=5033
linha=425 | nome=Ana | acao=otimizou o algoritmo | valor=9009
linha=426 | nome=Natalia | acao=analisou os resultados | valor=3428
linha=427 | nome=Eduarda | acao=participou da aula | valor=1075
linha=428 | nome=Mariana | acao=participou da aula | valor=7272
linha=429 | nome=Joao | acao=executou o benchmark | valor=8533
linha=430 | nome=Joao | acao=executou o benchmark | valor=7575
linha=431 | nome=Sofia | acao=estudou computacao | valor=8547
linha=432 | nome=Ana | acao=fez um experimento | valor=2540
linha=433 | nome=Natalia | acao=otimizou o algoritmo | valor=2545
linha=434 | nome=Joao | acao=analisou os resultados | valor=4743
linha=435 | nome=Eduarda | acao=comparou as metricas | valor=8978
linha=436 | nome=Helena | acao=escreveu o relatorio | valor=2485
linha=437 | nome=Carlos | acao=otimizou o algoritmo | valor=9169
linha=438 | nome=Mariana | acao=otimizou o algoritmo | valor=6073
linha=439 | nome=Mariana | acao=analisou os resultados | valor=8680
linha=440 | nome=Joao | acao=executou o benchmark | valor=8135
linha=441 | nome=Paulo | acao=executou o benchmark | valor=9587
linha=442 | nome=Mariana | acao=executou o benchmark | valor=2094
linha=443 | nome=Karen | acao=fez um experimento | valor=2876
linha=444 | nome=Natalia | acao=escreveu o relatorio | valor=7956
linha=445 | nome=Gabriela | acao=executou o benchmark | valor=9178
linha=446 | nome=Helena | acao=comparou as metricas | valor=2794
linha=447 | nome=Joao | acao=escreveu o relatorio | valor=5667
linha=448 | nome=Gabriela | acao=analisou os resultados | valor=7654
linha=449 | nome=Tiago | acao=executou o benchmark | valor=2239
linha=450 | nome=Lucas | acao=escreveu o relatorio | valor=4744
