linha=1 | nome=Karen | acao=escreveu o relatorio | valor=9539
linha=75 | nome=Paulo | acao=otimizou o algoritmo | valor=3948
linha=76 | nome=Daniela | acao=analisou os resultados | valor=8930
linha=77 | nome=Renata | acao=escreveu o relatorio | valor=2134
linha=78 | nome=Vitor | acao=executou o benchmark | valor=6978
linha=79 | nome=Daniela | acao=escreveu o relatorio | valor=9793
linha=80 | nome=Paulo | acao=estudou computacao | valor=9250
linha=81 | nome=Renata | acao=executou o benchmark | valor=3203
linha=82 | nome=Karen | acao=estudou computacao | valor=1645
linha=83 | nome=Helena | acao=comparou as metricas | valor=9635
linha=84 | nome=Vitor | acao=escreveu o relatorio | valor=6545
linha=85 | nome=Mariana | acao=escreveu o relatorio | valor=8806
linha=86 | nome=Otavio | acao=fez um experimento | valor=7428
linha=87 | nome=Joao | acao=otimizou o algoritmo | valor=6403
linha=88 | nome=Eduarda | acao=executou o benchmark | valor=8085
linha=89 | nome=Joao | acao=escreveu o relatorio | valor=7717
linha=90 | nome=Carlos | acao=comparou as metricas | valor=8841
linha=91 | nome=Igor | acao=executou o benchmark | valor=4462
linha=92 | nome=Bruno | acao=participou da aula | valor=2528
linha=93 | nome=Vitor | acao=participou da aula | valor=7552
linha=94 | nome=Ana | acao=estudou computacao | valor=7841
linha=95 | nome=Lucas | acao=estudou computacao | valor=2526
linha=96 | nome=Bruno | acao=escreveu o relatorio | valor=3514
linha=97 | nome=Helena | acao=comparou as metricas | valor=2259
linha=98 | nome=Natalia | acao=executou o benchmark | valor=9502
linha=99 | nome=Helena | acao=executou o benchmark | valor=1409
linha=100 | nome=Paulo | acao=comparou as metricas | valor=8439
linha=101 | nome=Helena | acao=comparou as metricas | valor=2502
linha=102 | nome=Joao | acao=participou da aula | valor=4568
linha=103 | nome=Sofia | acao=comparou as metricas | valor=7075
linha=104 | nome=Sofia | acao=escreveu o relatorio | valor=7212
linha=105 | nome=Sofia | acao=escreveu o relatorio | valor=9586
linha=106 | nome=Igor | acao=estudou computacao | valor=4492
linha=107 | nome=Felipe | acao=executou o benchmark | valor=5690
linha=108 | nome=Mariana | acao=participou da aula | valor=1013
linha=109 | nome=Sofia | acao=estudou computacao | valor=6382
linha=110 | nome=Mariana | acao=escreveu o relatorio | valor=2664
linha=111 | nome=Carlos | acao=analisou os resultados | valor=9373
linha=112 | nome=Tiago | acao=executou o benchmark | valor=8046
linha=113 | nome=Lucas | acao=estudou computacao | valor=2784
linha=114 | nome=Bruno | acao=escreveu o relatorio | valor=1764
linha=115 | nome=Mariana | acao=fez um experimento | valor=3466
linha=116 | nome=Renata | acao=estudou computacao | valor=3068
linha=117 | nome=Vitor | acao=comparou as metricas | valor=1459
linha=118 | nome=Felipe | acao=estudou computacao | valor=1427
linha=119 | nome=Lucas | acao=otimizou o algoritmo | valor=2171
linha=120 | nome=Vitor | acao=fez um experimento | valor=9085
linha=121 | nome=Vitor | acao=comparou as metricas | valor=6360
linha=122 | nome=Natalia | acao=comparou as metricas | valor=1888
linha=123 | nome=Paulo | acao=estudou computacao | valor=9591
linha=124 | nome=Helena | acao=escreveu o relatorio | valor=3396
linha=125 | nome=Carlos | acao=executou o benchmark | valor=3340
linha=126 | nome=Otavio | acao=comparou as metricas | valor=6261
linha=127 | nome=Igor | acao=escreveu o relatorio | valor=2795
linha=128 | nome=Vitor | acao=escreveu o relatorio | valor=6293
linha=129 | nome=Mariana | acao=participou da aula | valor=4586
linha=130 | nome=Ana | acao=estudou computacao | valor=5494
linha=131 | nome=Joao | acao=participou da aula | valor=8482
linha=132 | nome=Vitor | acao=analisou os resultados | valor=1449
linha=133 | nome=Mariana | acao=otimizou o algoritmo | valor=3670
linha=134 | nome=Paulo | acao=otimizou o algoritmo | valor=3602
linha=135 | nome=Carlos | acao=estudou computacao | valor=6195
linha=136 | nome=Carlos | acao=fez um experimento | valor=7546
linha=137 | nome=Tiago | acao=executou o benchmark | valor=5292
linha=138 | nome=Lucas | acao=escreveu o relatorio | valor=8829
linha=139 | nome=Lucas | acao=participou da aula | valor=9796
linha=140 | nome=Bruno | acao=otimizou o algoritmo | valor=3339
linha=141 | nome=Carlos | acao=fez um experimento | valor=7837
linha=142 | nome=Karen | acao=comparou as metricas | valor=9884
linha=143 | nome=Sofia | acao=escreveu o relatorio | valor=7075
linha=144 | nome=Daniela | acao=comparou as metricas | valor=4279
linha=145 | nome=Renata | acao=executou o benchmark | valor=2538
linha=146 | nome=Mariana | acao=analisou os resultados | valor=9615
linha=147 | nome=Carlos | acao=estudou computacao | valor=8027
linha=148 | nome=Tiago | acao=escreveu o relatorio | valor=5708
linha=149 | nome=Renata | acao=fez um experimento | valor=2961
linha=150 | nome=Mariana | acao=analisou os resultados | valor=2856
linha=151 | nome=Mariana | acao=analisou os resultados | valor=2018
linha=152 | nome=Vitor | acao=estudou computacao | valor=4656
linha=153 | nome=Gabriela | acao=otimizou o algoritmo | valor=3797
linha=154 | nome=Tiago | acao=fez um experimento | valor=1952
linha=155 | nome=Paulo | acao=fez um experimento | valor=2625
linha=156 | nome=Paulo | acao=analisou os resultados | valor=6734
linha=157 | nome=Otavio | acao=comparou as metricas | valor=1025
linha=158 | nome=Daniela | acao=participou da aula | valor=7733
linha=159 | nome=Tiago | acao=fez um experimento | valor=8601
linha=160 | nome=Paulo | acao=executou o benchmark | valor=8737
linha=161 | nome=Daniela | acao=otimizou o algoritmo | valor=3083
linha=162 | nome=Helena | acao=comparou as metricas | valor=8556
linha=163 | nome=Natalia | acao=otimizou o algoritmo | valor=1915
linha=164 | nome=Karen | acao=participou da aula | valor=4475
linha=165 | nome=Tiago | acao=fez um experimento | valor=6089
linha=166 | nome=Joao | acao=comparou as metricas | valor=6550
linha=167 | nome=Paulo | acao=escreveu o relatorio | valor=7094
linha=168 | nome=Carlos | acao=estudou computacao | valor=9116
linha=169 | nome=Igor | acao=estudou computacao | valor=1810
linha=170 | nome=Mariana | acao=fez um experimento | valor=7617
linha=171 | nome=Vitor | acao=participou da aula | valor=2052
linha=172 | nome=Daniela | acao=fez um experimento | valor=9828
linha=173 | nome=Helena | acao=participou da aula | valor=4157
linha=174 | nome=Vitor | acao=participou da aula | valor=9247
linha=175 | nome=Otavio | acao=fez um experimento | valor=2275
linha=176 | nome=Joao | acao=comparou as metricas | valor=3772
linha=177 | nome=Daniela | acao=otimizou o algoritmo | valor=5887
linha=178 | nome=Felipe | acao=fez um experimento | valor=8614
linha=179 | nome=Vitor | acao=executou o benchmark | valor=2819
linha=180 | nome=Sofia | acao=comparou as metricas | valor=2338
linha=181 | nome=Paulo | acao=escreveu o relatorio | valor=5588
linha=182 | nome=Mariana | acao=fez um experimento | valor=5063
linha=183 | nome=Igor | acao=comparou as metricas | valor=6462
linha=184 | nome=Lucas | acao=fez um experimento | valor=7348
linha=185 | nome=Vitor | acao=analisou os resultados | valor=3635
linha=186 | nome=Natalia | acao=otimizou o algoritmo | valor=7550
linha=187 | nome=Natalia | acao=escreveu o relatorio | valor=4936
linha=188 | nome=Lucas | acao=comparou as metricas | valor=7710
linha=189 | nome=Sofia | acao=comparou as metricas | valor=8082
linha=190 | nome=Bruno | acao=participou da aula | valor=6526
linha=191 | nome=Sofia | acao=executou o benchmark | valor=1873
linha=192 | nome=Tiago | acao=executou o benchmark | valor=9106
linha=193 | nome=Gabriela | acao=analisou os resultados | valor=2088
linha=194 | nome=Tiago | acao=estudou computacao | valor=1286
linha=195 | nome=Bruno | acao=analisou os resultados | valor=1319
linha=196 | nome=Otavio | acao=executou o benchmark | valor=6162
linha=197 | nome=Eduarda | acao=executou o benchmark | valor=4472
linha=198 | nome=Mariana | acao=executou o benchmark | valor=4953
linha=199 | nome=Otavio | acao=analisou os resultados | valor=5874
linha=200 | nome=Gabriela | acao=fez um experimento | valor=2769
linha=201 | nome=Sofia | acao=participou da aula | valor=1507
linha=202 | nome=Mariana | acao=fez um experimento | valor=8329
linha=203 | nome=Carlos | acao=executou o benchmark | valor=2661
linha=204 | nome=Natalia | acao=analisou os resultados | valor=5697
linha=205 | nome=Otavio | acao=analisou os resultados | valor=3505
linha=206 | nome=Lucas | acao=executou o benchmark | valor=8651
linha=207 | nome=Gabriela | acao=otimizou o algoritmo | valor=9822
linha=208 | nome=Joao | acao=escreveu o relatorio | valor=7926
linha=209 | nome=Tiago | acao=estudou computacao | valor=9139
linha=210 | nome=Tiago | acao=participou da aula | valor=6590
linha=211 | nome=Carlos | acao=estudou computacao | valor=6371
linha=212 | nome=Natalia | acao=escreveu o relatorio | valor=6361
linha=213 | nome=Tiago | acao=otimizou o algoritmo | valor=9887
linha=214 | nome=Karen | acao=estudou computacao | valor=4143
linha=215 | nome=Gabriela | acao=executou o benchmark | valor=5857
linha=216 | nome=Eduarda | acao=participou da aula | valor=5639
linha=217 | nome=Lucas | acao=escreveu o relatorio | valor=4704
linha=218 | nome=Igor | acao=estudou computacao | valor=7983
linha=219 | nome=Mariana | acao=analisou os resultados | valor=9097
linha=220 | nome=Natalia | acao=executou o benchmark | valor=2704
linha=221 | nome=Tiago | acao=estudou computacao | valor=7313
linha=222 | nome=Carlos | acao=comparou as metricas | valor=5212
linha=223 | nome=Paulo | acao=participou da aula | valor=2168
linha=224 | nome=Helena | acao=estudou computacao | valor=8644
linha=225 | nome=Ana | acao=participou da aula | valor=5942
linha=226 | nome=Vitor | acao=comparou as metricas | valor=1158
linha=227 | nome=Ana | acao=fez um experimento | valor=3467
linha=228 | nome=Karen | acao=analisou os resultados | valor=2880
linha=229 | nome=Otavio | acao=comparou as metricas | valor=2168
linha=230 | nome=Mariana | acao=estudou computacao | valor=3637
linha=231 | nome=Gabriela | acao=otimizou o algoritmo | valor=3197
linha=232 | nome=Gabriela | acao=comparou as metricas | valor=2845
linha=233 | nome=Igor | acao=comparou as metricas | valor=8612
linha=234 | nome=Felipe | acao=escreveu o relatorio | valor=5602
linha=235 | nome=Gabriela | acao=escreveu o relatorio | valor=6233
linha=236 | nome=Gabriela | acao=escreveu o relatorio | valor=3241
linha=237 | nome=Sofia | acao=estudou computacao | valor=7477
linha=238 | nome=Bruno | acao=estudou computacao | valor=2391
linha=239 | nome=Joao | acao=estudou computacao | valor=8087
linha=240 | nome=Paulo | acao=estudou computacao | valor=2192
linha=241 | nome=Daniela | acao=executou o benchmark | valor=8500
linha=242 | nome=Tiago | acao=analisou os resultados | valor=6878
linha=243 | nome=Renata | acao=participou da aula | valor=9006
linha=244 | nome=Igor | acao=comparou as metricas | valor=7514
linha=245 | nome=Igor | acao=otimizou o algoritmo | valor=7094
linha=246 | nome=Karen | acao=escreveu o relatorio | valor=8310
linha=247 | nome=Mariana | acao=participou da aula | valor=7298
linha=248 | nome=Bruno | acao=executou o benchmark | valor=5823
linha=249 | nome=Karen | acao=otimizou o algoritmo | valor=9561
linha=250 | nome=Carlos | acao=estudou computacao | valor=3815
linha=251 | nome=Ana | acao=otimizou o algoritmo | valor=7378
linha=252 | nome=Igor | acao=fez um experimento | valor=7198
linha=253 | nome=Carlos | acao=otimizou o algoritmo | valor=7787
linha=254 | nome=Mariana | acao=otimizou o algoritmo | valor=3632
linha=255 | nome=Natalia | acao=escreveu o relatorio | valor=2037
linha=256 | nome=Tiago | acao=estudou computacao | valor=8436
linha=257 | nome=Sofia | acao=participou da aula | valor=5106
linha=258 | nome=Sofia | acao=escreveu o relatorio | valor=2375
linha=259 | nome=Eduarda | acao=escreveu o relatorio | valor=8356
linha=260 | nome=Sofia | acao=executou o benchmark | valor=9735
linha=261 | nome=Natalia | acao=executou o benchmark | valor=5877
linha=262 | nome=Bruno | acao=participou da aula | valor=4761
linha=263 | nome=Bruno | acao=executou o benchmark | valor=4045
linha=264 | nome=Bruno | acao=escreveu o relatorio | valor=8594
linha=265 | nome=Joao | acao=escreveu o relatorio | valor=4704
linha=266 | nome=Paulo | acao=analisou os resultados | valor=8254
linha=267 | nome=Natalia | acao=otimizou o algoritmo | valor=7092
linha=268 | nome=Otavio | acao=escreveu o relatorio | valor=3673
linha=269 | nome=Bruno | acao=participou da aula | valor=6818
linha=270 | nome=Natalia | acao=fez um experimento | valor=3301
linha=271 | nome=Gabriela | acao=participou da aula | valor=5205
linha=272 | nome=Felipe | acao=estudou computacao | valor=9684
linha=273 | nome=Helena | acao=otimizou o algoritmo | valor=3016
linha=274 | nome=Renata | acao=comparou as metricas | valor=4432
linha=275 | nome=Natalia | acao=estudou computacao | valor=4543
linha=276 | nome=Felipe | acao=fez um experimento | valor=9309
linha=277 | nome=Ana | acao=comparou as metricas | valor=6614
linha=278 | nome=Igor | acao=analisou os resultados | valor=3362
linha=279 | nome=Mariana | acao=escreveu o relatorio | valor=2936
linha=280 | nome=Lucas | acao=participou da aula | valor=4252
linha=281 | nome=Carlos | acao=estudou computacao | valor=8719
linha=282 | nome=Renata | acao=analisou os resultados | valor=3468
linha=283 | nome=Daniela | acao=executou o benchmark | valor=1602
linha=284 | nome=Natalia | acao=participou da aula | valor=9250
linha=285 | nome=Tiago | acao=comparou as metricas | valor=1891
linha=286 | nome=Lucas | acao=analisou os resultados | valor=8468
linha=287 | nome=Otavio | acao=escreveu o relatorio | valor=8793
linha=288 | nome=Renata | acao=executou o benchmark | valor=9079
linha=289 | nome=Carlos | acao=participou da aula | valor=4149
linha=290 | nome=Mariana | acao=fez um experimento | valor=4688
linha=291 | nome=Tiago | acao=participou da aula | valor=3193
linha=292 | nome=Otavio | acao=otimizou o algoritmo | valor=9144
linha=293 | nome=Natalia | acao=analisou os resultados | valor=3505
linha=294 | nome=Bruno | acao=estudou computacao | valor=6128
linha=295 | nome=Ana | acao=executou o benchmark | valor=4516
linha=296 | nome=Renata | acao=estudou computacao | valor=8254
linha=297 | nome=Mariana | acao=fez um experimento | valor=4822
linha=298 | nome=Gabriela | acao=comparou as metricas | valor=8770
linha=299 | nome=Lucas | acao=analisou os resultados | valor=5820
linha=300 | nome=Renata | acao=otimizou o algoritmo | valor=5595
linha=301 | nome=Lucas | acao=otimizou o algoritmo | valor=5279
linha=302 | nome=Gabriela | acao=analisou os resultados | valor=6951
linha=303 | nome=Igor | acao=executou o benchmark | valor=2444
linha=304 | nome=Mariana | acao=executou o benchmark | valor=9956
linha=305 | nome=Vitor | acao=fez um experimento | valor=8201
linha=306 | nome=Otavio | acao=otimizou o algoritmo | valor=6027
linha=307 | nome=Gabriela | acao=participou da aula | valor=3959
linha=308 | nome=Paulo | acao=otimizou o algoritmo | valor=6602
linha=309 | nome=Lucas | acao=analisou os resultados | valor=2674
linha=310 | nome=Gabriela | acao=executou o benchmark | valor=4203
linha=311 | nome=Carlos | acao=escreveu o relatorio | valor=4473
linha=312 | nome=Sofia | acao=participou da aula | valor=7708
linha=313 | nome=Sofia | acao=executou o benchmark | valor=1647
linha=314 | nome=Renata | acao=fez um experimento | valor=6103
linha=315 | nome=Daniela | acao=executou o benchmark | valor=9808
linha=316 | nome=Renata | acao=otimizou o algoritmo | valor=6318
linha=317 | nome=Felipe | acao=executou o benchmark | valor=6788
linha=318 | nome=Mariana | acao=escreveu o relatorio | valor=3718
linha=319 | nome=Lucas | acao=escreveu o relatorio | valor=8625
linha=320 | nome=Carlos | acao=estudou computacao | valor=5888
linha=321 | nome=Vitor | acao=fez um experimento | valor=1079
linha=322 | nome=Tiago | acao=analisou os resultados | valor=9484
linha=323 | nome=Mariana | acao=escreveu o relatorio | valor=7837
linha=324 | nome=Natalia | acao=otimizou o algoritmo | valor=3292
linha=325 | nome=Mariana | acao=comparou as metricas | valor=7148
linha=326 | nome=Carlos | acao=participou da aula | valor=5976
linha=327 | nome=Mariana | acao=estudou computacao | valor=5001
linha=328 | nome=Ana | acao=executou o benchmark | valor=6079
linha=329 | nome=Natalia | acao=comparou as metricas | valor=7342
linha=330 | nome=Renata | acao=escreveu o relatorio | valor=7526
linha=331 | nome=Paulo | acao=escreveu o relatorio | valor=3734
linha=332 | nome=Mariana | acao=participou da aula | valor=3573
linha=333 | nome=Carlos | acao=analisou os resultados | valor=1721
linha=334 | nome=Joao | acao=escreveu o relatorio | valor=6650
linha=335 | nome=Daniela | acao=comparou as metricas | valor=4651
linha=336 | nome=Ana | acao=escreveu o relatorio | valor=6259
linha=337 | nome=Lucas | acao=estudou computacao | valor=5240
linha=338 | nome=Vitor | acao=executou o benchmark | valor=5054
linha=339 | nome=Carlos | acao=otimizou o algoritmo | valor=8919
linha=340 | nome=Lucas | acao=participou da aula | valor=1762
linha=341 | nome=Vitor | acao=comparou as metricas | valor=4849
linha=342 | nome=Mariana | acao=comparou as metricas | valor=8867
linha=343 | nome=Otavio | acao=fez um experimento | valor=3418
linha=344 | nome=Tiago | acao=fez um experimento | valor=8484
linha=345 | nome=Carlos | acao=participou da aula | valor=4332
linha=346 | nome=Eduarda | acao=participou da aula | valor=8431
linha=347 | nome=Vitor | acao=otimizou o algoritmo | valor=6938
linha=348 | nome=Paulo | acao=escreveu o relatorio | valor=8585
linha=349 | nome=Gabriela | acao=executou o benchmark | valor=4238
linha=350 | nome=Lucas | acao=participou da aula | valor=8014
linha=351 | nome=Joao | acao=comparou as metricas | valor=7662
linha=352 | nome=Gabriela | acao=escreveu o relatorio | valor=7576
linha=353 | nome=Eduarda | acao=estudou computacao | valor=2251
linha=354 | nome=Vitor | acao=participou da aula | valor=4525
linha=355 | nome=Helena | acao=analisou os resultados | valor=9722
linha=356 | nome=Felipe | acao=executou o benchmark | valor=9787
linha=357 | nome=Otavio | acao=executou o benchmark | valor=5854
linha=358 | nome=Eduarda | acao=otimizou o algoritmo | valor=4258
linha=359 | nome=Natalia | acao=escreveu o relatorio | valor=3558
linha=360 | nome=Vitor | acao=participou da aula | valor=3946
linha=361 | nome=Otavio | acao=otimizou o algoritmo | valor=9094
linha=362 | nome=Paulo | acao=escreveu o relatorio | valor=1393
linha=363 | nome=Sofia | acao=analisou os resultados | valor=7413
linha=364 | nome=Bruno | acao=estudou computacao | valor=8832
linha=365 | nome=Karen | acao=analisou os resultados | valor=2342
linha=366 | nome=Mariana | acao=comparou as metricas | valor=6462
linha=367 | nome=Natalia | acao=escreveu o relatorio | valor=6780
linha=368 | nome=Ana | acao=executou o benchmark | valor=5872
linha=369 | nome=Mariana | acao=analisou os resultados | valor=2048
linha=370 | nome=Sofia | acao=participou da aula | valor=3376
linha=371 | nome=Helena | acao=executou o benchmark | valor=2269
linha=372 | nome=Daniela | acao=estudou computacao | valor=5957
linha=373 | nome=Igor | acao=otimizou o algoritmo | valor=1362
linha=374 | nome=Carlos | acao=fez um experimento | valor=4299
linha=375 | nome=Renata | acao=participou da aula | valor=4003
linha=376 | nome=Joao | acao=executou o benchmark | valor=6622
linha=377 | nome=Tiago | acao=analisou os resultados | valor=1885
linha=378 | nome=Sofia | acao=fez um experimento | valor=8933
linha=379 | nome=Lucas | acao=escreveu o relatorio | valor=5517
linha=380 | nome=Igor | acao=participou da aula | valor=4871
linha=381 | nome=Joao | acao=comparou as metricas | valor=8379
linha=382 | nome=Igor | acao=comparou as metricas | valor=8722
linha=383 | nome=Bruno | acao=fez um experimento | valor=6809
linha=384 | nome=Mariana | acao=executou o benchmark | valor=8775
linha=385 | nome=Otavio | acao=executou o benchmark | valor=1567
linha=386 | nome=Joao | acao=executou o benchmark | valor=7086
linha=387 | nome=Igor | acao=estudou computacao | valor=3145
linha=388 | nome=Gabriela | acao=escreveu o relatorio | valor=2268
linha=389 | nome=Carlos | acao=otimizou o algoritmo | valor=7637
linha=390 | nome=Sofia | acao=escreveu o relatorio | valor=6945
linha=391 | nome=Daniela | acao=escreveu o relatorio | valor=8073
linha=392 | nome=Natalia | acao=escreveu o relatorio | valor=7244
linha=393 | nome=Sofia | acao=fez um experimento | valor=6674
linha=394 | nome=Karen | acao=executou o benchmark | valor=5550
linha=395 | nome=Lucas | acao=executou o benchmark | valor=3206
linha=396 | nome=Otavio | acao=participou da aula | valor=4468
linha=397 | nome=Joao | acao=analisou os resultados | valor=8134
linha=398 | nome=Daniela | acao=otimizou o algoritmo | valor=2127
linha=399 | nome=Helena | acao=participou da aula | valor=1521
linha=400 | nome=Sofia | acao=comparou as metricas | valor=2385
linha=401 | nome=Karen | acao=estudou computacao | valor=8463
linha=402 | nome=Daniela | acao=participou da aula | valor=1832
linha=403 | nome=Renata | acao=analisou os resultados | valor=7466
linha=404 | nome=Felipe | acao=fez um experimento | valor=7969
linha=405 | nome=Ana | acao=estudou computacao | valor=3240
linha=406 | nome=Bruno | acao=participou da aula | valor=2774
linha=407 | nome=Felipe | acao=analisou os resultados | valor=9192
linha=408 | nome=Joao | acao=estudou computacao | valor=8428
linha=409 | nome=Ana | acao=comparou as metricas | valor=1799
linha=410 | nome=Paulo | acao=comparou as metricas | valor=4092
linha=411 | nome=Gabriela | acao=otimizou o algoritmo | valor=2965
linha=412 | nome=Carlos | acao=escreveu o relatorio | valor=4381
linha=413 | nome=Ana | acao=analisou os resultados | valor=7877
linha=414 | nome=Renata | acao=fez um experimento | valor=5274
linha=415 | nome=Ana | acao=analisou os resultados | valor=3967
linha=416 | nome=Otavio | acao=estudou computacao | valor=4382
linha=417 | nome=Joao | acao=estudou computacao | valor=1303
linha=418 | nome=Renata | acao=analisou os resultados | valor=4401
linha=419 | nome=Vitor | acao=otimizou o algoritmo | valor=6770
linha=420 | nome=Felipe | acao=executou o benchmark | valor=8300
linha=421 | nome=Carlos | acao=analisou os resultados | valor=7578
linha=422 | nome=Vitor | acao=estudou computacao | valor=1439
linha=423 | nome=Renata | acao=comparou as metricas | valor=4313
linha=424 | nome=Lucas | acao=executou o benchmark | valor=9569
linha=425 | nome=Gabriela | acao=participou da aula | valor=2628
linha=426 | nome=Otavio | acao=estudou computacao | valor=5436
linha=427 | nome=Helena | acao=comparou as metricas | valor=9300
linha=428 | nome=Joao | acao=otimizou o algoritmo | valor=2976
linha=429 | nome=Igor | acao=executou o benchmark | valor=6102
linha=430 | nome=Paulo | acao=analisou os resultados | valor=8566
linha=431 | nome=Bruno | acao=fez um experimento | valor=1925
linha=432 | nome=Otavio | acao=participou da aula | valor=8440
linha=433 | nome=Mariana | acao=analisou os resultados | valor=9078
linha=434 | nome=Paulo | acao=escreveu o relatorio | valor=1223
linha=435 | nome=Vitor | acao=analisou os resultados | valor=7611
linha=436 | nome=Paulo | acao=estudou computacao | valor=2479
linha=437 | nome=Daniela | acao=otimizou o algoritmo | valor=5753
linha=438 | nome=Ana | acao=fez um experimento | valor=4785
linha=439 | nome=Otavio | acao=executou o benchmark | valor=1761
linha=440 | nome=Otavio | acao=participou da aula | valor=3905
linha=441 | nome=Vitor | acao=estudou computacao | valor=5134
linha=442 | nome=Renata | acao=escreveu o relatorio | valor=4058
linha=443 | nome=Eduarda | acao=fez um experimento | valor=8615
linha=444 | nome=Igor | acao=participou da aula | valor=5358
linha=445 | nome=Igor | acao=executou o benchmark | valor=4911
linha=446 | nome=Sofia | acao=analisou os resultados | valor=8010
linha=447 | nome=Joao | acao=escreveu o relatorio | valor=2614
linha=448 | nome=Felipe | acao=participou da aula | valor=2070
linha=449 | nome=Tiago | acao=fez um experimento | valor=3666
linha=450 | nome=Helena | acao=escreveu o relatorio | valor=5750
linha=451 | nome=Lucas | acao=estudou computacao | valor=3178
