linha=1 | nome=Felipe | acao=fez um experimento | valor=1278
linha=66 | nome=Gabriela | acao=executou o benchmark | valor=9465
linha=67 | nome=Carlos | acao=analisou os resultados | valor=1934
linha=68 | nome=Carlos | acao=fez um experimento | valor=2765
linha=69 | nome=Felipe | acao=comparou as metricas | valor=2295
linha=70 | nome=Helena | acao=comparou as metricas | valor=3067
linha=71 | nome=Karen | acao=participou da aula | valor=9623
linha=72 | nome=Mariana | acao=analisou os resultados | valor=1890
linha=73 | nome=Paulo | acao=escreveu o relatorio | valor=4672
linha=74 | nome=Vitor | acao=otimizou o algoritmo | valor=7969
linha=75 | nome=Joao | acao=escreveu o relatorio | valor=8600
linha=76 | nome=Igor | acao=analisou os resultados | valor=8370
linha=77 | nome=Felipe | acao=escreveu o relatorio | valor=7146
linha=78 | nome=Felipe | acao=fez um experimento | valor=4540
linha=79 | nome=Karen | acao=otimizou o algoritmo | valor=4720
linha=80 | nome=Lucas | acao=analisou os resultados | valor=8755
linha=81 | nome=Paulo | acao=analisou os resultados | valor=7158
linha=82 | nome=Helena | acao=estudou computacao | valor=3042
linha=83 | nome=Mariana | acao=escreveu o relatorio | valor=4983
linha=84 | nome=Igor | acao=escreveu o relatorio | valor=5367
linha=85 | nome=Eduarda | acao=comparou as metricas | valor=7609
linha=86 | nome=Helena | acao=executou o benchmark | valor=9394
linha=87 | nome=Vitor | acao=escreveu o relatorio | valor=6932
linha=88 | nome=Mariana | acao=participou da aula | valor=5787
linha=89 | nome=Igor | acao=executou o benchmark | valor=9961
linha=90 | nome=Karen | acao=comparou as metricas | valor=7989
linha=91 | nome=Gabriela | acao=executou o benchmark | valor=7124
linha=92 | nome=Daniela | acao=estudou computacao | valor=3248
linha=93 | nome=Igor | acao=escreveu o relatorio | valor=5957
linha=94 | nome=Bruno | acao=comparou as metricas | valor=1242
linha=95 | nome=Bruno | acao=analisou os resultados | valor=7078
linha=96 | nome=Joao | acao=executou o benchmark | valor=1294
linha=97 | nome=Renata | acao=comparou as metricas | valor=1363
linha=98 | nome=Sofia | acao=participou da aula | valor=8891
linha=99 | nome=Tiago | acao=comparou as metricas | valor=9618
linha=100 | nome=Paulo | acao=comparou as metricas | valor=3389
linha=101 | nome=Karen | acao=comparou as metricas | valor=5411
linha=102 | nome=Helena | acao=comparou as metricas | valor=1462
linha=103 | nome=Sofia | acao=executou o benchmark | valor=2847
linha=104 | nome=Otavio | acao=estudou computacao | valor=9024
linha=105 | nome=Ana | acao=analisou os resultados | valor=9125
linha=106 | nome=Carlos | acao=analisou os resultados | valor=1348
linha=107 | nome=Renata | acao=escreveu o relatorio | valor=1329
linha=108 | nome=Ana | acao=estudou computacao | valor=4296
linha=109 | nome=Mariana | acao=participou da aula | valor=8267
linha=110 | nome=Bruno | acao=participou da aula | valor=6586
linha=111 | nome=Tiago | acao=executou o benchmark | valor=7690
linha=112 | nome=Carlos | acao=escreveu o relatorio | valor=6413
linha=113 | nome=Carlos | acao=executou o benchmark | valor=6191
linha=114 | nome=Helena | acao=executou o benchmark | valor=4594
linha=115 | nome=Vitor | acao=analisou os resultados | valor=4276
linha=116 | nome=Vitor | acao=executou o benchmark | valor=5720
linha=117 | nome=Gabriela | acao=comparou as metricas | valor=6961
linha=118 | nome=Mariana | acao=participou da aula | valor=1574
linha=119 | nome=Helena | acao=estudou computacao | valor=5750
linha=120 | nome=Igor | acao=analisou os resultados | valor=1061
linha=121 | nome=Igor | acao=estudou computacao | valor=5038
linha=122 | nome=Gabriela | acao=otimizou o algoritmo | valor=1838
linha=123 | nome=Joao | acao=comparou as metricas | valor=3428
linha=124 | nome=Paulo | acao=analisou os resultados | valor=4024
linha=125 | nome=Tiago | acao=fez um experimento | valor=8196
linha=126 | nome=Mariana | acao=participou da aula | valor=3277
linha=127 | nome=Carlos | acao=fez um experimento | valor=8706
linha=128 | nome=Lucas | acao=analisou os resultados | valor=9347
linha=129 | nome=Renata | acao=fez um experimento | valor=5121
linha=130 | nome=Renata | acao=executou o benchmark | valor=4595
linha=131 | nome=Carlos | acao=comparou as metricas | valor=8544
linha=132 | nome=Eduarda | acao=analisou os resultados | valor=8488
linha=133 | nome=Otavio | acao=otimizou o algoritmo | valor=1849
linha=134 | nome=Felipe | acao=otimizou o algoritmo | valor=6309
linha=135 | nome=Mariana | acao=comparou as metricas | valor=8149
linha=136 | nome=Lucas | acao=otimizou o algoritmo | valor=5277
linha=137 | nome=Otavio | acao=analisou os resultados | valor=2599
linha=138 | nome=Mariana | acao=fez um experimento | valor=2161
linha=139 | nome=Helena | acao=participou da aula | valor=9495
linha=140 | nome=Vitor | acao=comparou as metricas | valor=1335
linha=141 | nome=Lucas | acao=otimizou o algoritmo | valor=1128
linha=142 | nome=Paulo | acao=estudou computacao | valor=7058
linha=143 | nome=Lucas | acao=escreveu o relatorio | valor=1783
linha=144 | nome=Bruno | acao=fez um experimento | valor=7853
linha=145 | nome=Renata | acao=analisou os resultados | valor=2786
linha=146 | nome=Helena | acao=otimizou o algoritmo | valor=5541
linha=147 | nome=Carlos | acao=participou da aula | valor=8832
linha=148 | nome=Daniela | acao=executou o benchmark | valor=4769
linha=149 | nome=Eduarda | acao=executou o benchmark | valor=5281
linha=150 | nome=Karen | acao=otimizou o algoritmo | valor=5478
linha=151 | nome=Natalia | acao=participou da aula | valor=6137
linha=152 | nome=Ana | acao=otimizou o algoritmo | valor=7441
linha=153 | nome=Renata | acao=fez um experimento | valor=8605
linha=154 | nome=Eduarda | acao=analisou os resultados | valor=9936
linha=155 | nome=Sofia | acao=executou o benchmark | valor=9714
linha=156 | nome=Igor | acao=comparou as metricas | valor=1699
linha=157 | nome=Gabriela | acao=participou da aula | valor=5541
linha=158 | nome=Gabriela | acao=otimizou o algoritmo | valor=8054
linha=159 | nome=Otavio | acao=executou o benchmark | valor=4359
linha=160 | nome=Daniela | acao=escreveu o relatorio | valor=2279
linha=161 | nome=Otavio | acao=estudou computacao | valor=7284
linha=162 | nome=Joao | acao=comparou as metricas | valor=7869
linha=163 | nome=Joao | acao=comparou as metricas | valor=8257
linha=164 | nome=Otavio | acao=participou da aula | valor=6587
linha=165 | nome=Otavio | acao=analisou os resultados | valor=2155
linha=166 | nome=Igor | acao=participou da aula | valor=6901
linha=167 | nome=Helena | acao=escreveu o relatorio | valor=9337
linha=168 | nome=Carlos | acao=estudou computacao | valor=3875
linha=169 | nome=Otavio | acao=executou o benchmark | valor=4482
linha=170 | nome=Vitor | acao=escreveu o relatorio | valor=3575
linha=171 | nome=Felipe | acao=executou o benchmark | valor=1035
linha=172 | nome=Ana | acao=participou da aula | valor=1112
linha=173 | nome=Helena | acao=executou o benchmark | valor=5552
linha=174 | nome=Natalia | acao=participou da aula | valor=3608
linha=175 | nome=Eduarda | acao=executou o benchmark | valor=9149
linha=176 | nome=Igor | acao=participou da aula | valor=6398
linha=177 | nome=Daniela | acao=escreveu o relatorio | valor=3132
linha=178 | nome=Tiago | acao=participou da aula | valor=4621
linha=179 | nome=Bruno | acao=escreveu o relatorio | valor=5147
linha=180 | nome=Gabriela | acao=executou o benchmark | valor=8955
linha=181 | nome=Joao | acao=executou o benchmark | valor=4552
linha=182 | nome=Ana | acao=fez um experimento | valor=3832
linha=183 | nome=Sofia | acao=estudou computacao | valor=9736
linha=184 | nome=Paulo | acao=otimizou o algoritmo | valor=8921
linha=185 | nome=Helena | acao=executou o benchmark | valor=4137
linha=186 | nome=Bruno | acao=fez um experimento | valor=9071
linha=187 | nome=Eduarda | acao=fez um experimento | valor=2003
linha=188 | nome=Daniela | acao=fez um experimento | valor=6997
linha=189 | nome=Felipe | acao=estudou computacao | valor=1949
linha=190 | nome=Felipe | acao=estudou computacao | valor=6469
linha=191 | nome=Igor | acao=fez um experimento | valor=5195
linha=192 | nome=Lucas | acao=escreveu o relatorio | valor=1129
linha=193 | nome=Tiago | acao=fez um experimento | valor=5169
linha=194 | nome=Helena | acao=comparou as metricas | valor=4905
linha=195 | nome=Otavio | acao=participou da aula | valor=6184
linha=196 | nome=Gabriela | acao=analisou os resultados | valor=2197
linha=197 | nome=Vitor | acao=estudou computacao | valor=6389
linha=198 | nome=Bruno | acao=estudou computacao | valor=6290
linha=199 | nome=Igor | acao=executou o benchmark | valor=4231
linha=200 | nome=Igor | acao=otimizou o algoritmo | valor=5971
linha=201 | nome=Vitor | acao=analisou os resultados | valor=8326
linha=202 | nome=Ana | acao=executou o benchmark | valor=4749
linha=203 | nome=Otavio | acao=analisou os resultados | valor=8769
linha=204 | nome=Tiago | acao=estudou computacao | valor=9960
linha=205 | nome=Otavio | acao=escreveu o relatorio | valor=1839
linha=206 | nome=Carlos | acao=estudou computacao | valor=6910
linha=207 | nome=Ana | acao=executou o benchmark | valor=8793
linha=208 | nome=Vitor | acao=otimizou o algoritmo | valor=7159
linha=209 | nome=Igor | acao=executou o benchmark | valor=3181
linha=210 | nome=Renata | acao=estudou computacao | valor=5298
linha=211 | nome=Bruno | acao=analisou os resultados | valor=3463
linha=212 | nome=Mariana | acao=escreveu o relatorio | valor=1792
linha=213 | nome=Karen | acao=analisou os resultados | valor=3494
linha=214 | nome=Bruno | acao=participou da aula | valor=2830
linha=215 | nome=Natalia | acao=executou o benchmark | valor=5326
linha=216 | nome=Paulo | acao=escreveu o relatorio | valor=5631
linha=217 | nome=Felipe | acao=analisou os resultados | valor=6429
linha=218 | nome=Renata | acao=estudou computacao | valor=2697
linha=219 | nome=Mariana | acao=comparou as metricas | valor=6702
linha=220 | nome=Bruno | acao=fez um experimento | valor=6456
linha=221 | nome=Bruno | acao=estudou computacao | valor=9564
linha=222 | nome=Karen | acao=comparou as metricas | valor=2285
linha=223 | nome=Mariana | acao=comparou as metricas | valor=7427
linha=224 | nome=Tiago | acao=estudou computacao | valor=2532
linha=225 | nome=Paulo | acao=analisou os resultados | valor=8886
linha=226 | nome=Eduarda | acao=estudou computacao | valor=5585
linha=227 | nome=Mariana | acao=otimizou o algoritmo | valor=4686
linha=228 | nome=Mariana | acao=otimizou o algoritmo | valor=2805
linha=229 | nome=Daniela | acao=participou da aula | valor=7786
linha=230 | nome=Otavio | acao=participou da aula | valor=1562
linha=231 | nome=Ana | acao=analisou os resultados | valor=7507
linha=232 | nome=Otavio | acao=analisou os resultados | valor=9555
linha=233 | nome=Felipe | acao=analisou os resultados | valor=3086
linha=234 | nome=Mariana | acao=otimizou o algoritmo | valor=1380
linha=235 | nome=Renata | acao=analisou os resultados | valor=9488
linha=236 | nome=Tiago | acao=comparou as metricas | valor=9911
linha=237 | nome=Lucas | acao=participou da aula | valor=5110
linha=238 | nome=Mariana | acao=escreveu o relatorio | valor=9795
linha=239 | nome=Paulo | acao=estudou computacao | valor=2872
linha=240 | nome=Igor | acao=participou da aula | valor=8175
linha=241 | nome=Carlos | acao=analisou os resultados | valor=9686
linha=242 | nome=Daniela | acao=comparou as metricas | valor=6687
linha=243 | nome=Bruno | acao=escreveu o relatorio | valor=4349
linha=244 | nome=Daniela | acao=otimizou o algoritmo | valor=8006
linha=245 | nome=Helena | acao=participou da aula | valor=3044
linha=246 | nome=Mariana | acao=analisou os resultados | valor=6570
linha=247 | nome=Joao | acao=escreveu o relatorio | valor=4454
linha=248 | nome=Helena | acao=escreveu o relatorio | valor=1133
linha=249 | nome=Daniela | acao=escreveu o relatorio | valor=1783
linha=250 | nome=Tiago | acao=estudou computacao | valor=5488
linha=251 | nome=Mariana | acao=fez um experimento | valor=2202
linha=252 | nome=Mariana | acao=analisou os resultados | valor=7653
linha=253 | nome=Natalia | acao=otimizou o algoritmo | valor=2548
linha=254 | nome=Carlos | acao=escreveu o relatorio | valor=6388
linha=255 | nome=Bruno | acao=fez um experimento | valor=5770
linha=256 | nome=Tiago | acao=comparou as metricas | valor=8871
linha=257 | nome=Carlos | acao=analisou os resultados | valor=7391
linha=258 | nome=Otavio | acao=escreveu o relatorio | valor=5059
linha=259 | nome=Renata | acao=otimizou o algoritmo | valor=4774
linha=260 | nome=Mariana | acao=estudou computacao | valor=3331
linha=261 | nome=Sofia | acao=executou o benchmark | valor=9475
linha=262 | nome=Tiago | acao=analisou os resultados | valor=5530
linha=263 | nome=Igor | acao=comparou as metricas | valor=3995
linha=264 | nome=Vitor | acao=fez um experimento | valor=4159
linha=265 | nome=Helena | acao=participou da aula | valor=9028
linha=266 | nome=Felipe | acao=participou da aula | valor=3059
linha=267 | nome=Eduarda | acao=comparou as metricas | valor=3797
linha=268 | nome=Renata | acao=estudou computacao | valor=3462
linha=269 | nome=Natalia | acao=escreveu o relatorio | valor=5533
linha=270 | nome=Paulo | acao=executou o benchmark | valor=4964
linha=271 | nome=Eduarda | acao=otimizou o algoritmo | valor=7078
linha=272 | nome=Renata | acao=otimizou o algoritmo | valor=7948
linha=273 | nome=Paulo | acao=comparou as metricas | valor=6106
linha=274 | nome=Paulo | acao=estudou computacao | valor=4820
linha=275 | nome=Daniela | acao=analisou os resultados | valor=7219
linha=276 | nome=Sofia | acao=executou o benchmark | valor=6826
linha=277 | nome=Natalia | acao=escreveu o relatorio | valor=8509
linha=278 | nome=Tiago | acao=otimizou o algoritmo | valor=7126
linha=279 | nome=Lucas | acao=participou da aula | valor=6559
linha=280 | nome=Otavio | acao=estudou computacao | valor=3217
linha=281 | nome=Carlos | acao=analisou os resultados | valor=4621
linha=282 | nome=Sofia | acao=fez um experimento | valor=4681
linha=283 | nome=Bruno | acao=escreveu o relatorio | valor=8406
linha=284 | nome=Tiago | acao=fez um experimento | valor=5032
linha=285 | nome=Helena | acao=comparou as metricas | valor=2263
linha=286 | nome=Renata | acao=estudou computacao | valor=8453
linha=287 | nome=Sofia | acao=executou o benchmark | valor=8662
linha=288 | nome=Gabriela | acao=participou da aula | valor=6003
linha=289 | nome=Renata | acao=otimizou o algoritmo | valor=3232
linha=290 | nome=Natalia | acao=participou da aula | valor=3352
linha=291 | nome=Mariana | acao=comparou as metricas | valor=2224
linha=292 | nome=Gabriela | acao=fez um experimento | valor=4036
linha=293 | nome=Mariana | acao=fez um experimento | valor=6785
linha=294 | nome=Lucas | acao=escreveu o relatorio | valor=1220
linha=295 | nome=Mariana | acao=fez um experimento | valor=1743
linha=296 | nome=Helena | acao=fez um experimento | valor=1944
linha=297 | nome=Sofia | acao=otimizou o algoritmo | valor=8471
linha=298 | nome=Ana | acao=fez um experimento | valor=1260
linha=299 | nome=Gabriela | acao=comparou as metricas | valor=2428
linha=300 | nome=Paulo | acao=comparou as metricas | valor=3071
linha=301 | nome=Igor | acao=executou o benchmark | valor=5076
linha=302 | nome=Helena | acao=comparou as metricas | valor=1804
linha=303 | nome=Mariana | acao=participou da aula | valor=6943
linha=304 | nome=Daniela | acao=fez um experimento | valor=9178
linha=305 | nome=Karen | acao=otimizou o algoritmo | valor=6561
linha=306 | nome=Renata | acao=otimizou o algoritmo | valor=8777
linha=307 | nome=Lucas | acao=analisou os resultados | valor=3227
linha=308 | nome=Karen | acao=participou da aula | valor=4317
linha=309 | nome=Paulo | acao=fez um experimento | valor=8118
linha=310 | nome=Carlos | acao=escreveu o relatorio | valor=5902
linha=311 | nome=Gabriela | acao=comparou as metricas | valor=8607
linha=312 | nome=Felipe | acao=estudou computacao | valor=3154
linha=313 | nome=Karen | acao=escreveu o relatorio | valor=8021
linha=314 | nome=Tiago | acao=fez um experimento | valor=3340
linha=315 | nome=Renata | acao=escreveu o relatorio | valor=1165
linha=316 | nome=Helena | acao=participou da aula | valor=6957
linha=317 | nome=Vitor | acao=comparou as metricas | valor=7221
linha=318 | nome=Bruno | acao=participou da aula | valor=9015
linha=319 | nome=Mariana | acao=participou da aula | valor=3902
linha=320 | nome=Bruno | acao=estudou computacao | valor=3518
linha=321 | nome=Daniela | acao=otimizou o algoritmo | valor=9818
linha=322 | nome=Mariana | acao=participou da aula | valor=8765
linha=323 | nome=Otavio | acao=executou o benchmark | valor=1776
linha=324 | nome=Joao | acao=participou da aula | valor=8669
linha=325 | nome=Felipe | acao=comparou as metricas | valor=1025
linha=326 | nome=Felipe | acao=executou o benchmark | valor=7811
linha=327 | nome=Felipe | acao=escreveu o relatorio | valor=8706
linha=328 | nome=Helena | acao=otimizou o algoritmo | valor=5725
linha=329 | nome=Igor | acao=escreveu o relatorio | valor=7004
linha=330 | nome=Eduarda | acao=fez um experimento | valor=5552
linha=331 | nome=Gabriela | acao=fez um experimento | valor=6598
linha=332 | nome=Vitor | acao=executou o benchmark | valor=6603
linha=333 | nome=Renata | acao=executou o benchmark | valor=7057
linha=334 | nome=Tiago | acao=escreveu o relatorio | valor=3099
linha=335 | nome=Renata | acao=comparou as metricas | valor=8438
linha=336 | nome=Felipe | acao=otimizou o algoritmo | valor=1432
linha=337 | nome=Eduarda | acao=participou da aula | valor=3222
linha=338 | nome=Vitor | acao=escreveu o relatorio | valor=2069
linha=339 | nome=Felipe | acao=participou da aula | valor=7346
linha=340 | nome=Felipe | acao=analisou os resultados | valor=1440
linha=341 | nome=Bruno | acao=participou da aula | valor=2554
linha=342 | nome=Felipe | acao=escreveu o relatorio | valor=8377
linha=343 | nome=Joao | acao=executou o benchmark | valor=1396
linha=344 | nome=Daniela | acao=otimizou o algoritmo | valor=1239
linha=345 | nome=Gabriela | acao=estudou computacao | valor=6265
linha=346 | nome=Ana | acao=escreveu o relatorio | valor=1837
linha=347 | nome=Karen | acao=comparou as metricas | valor=4557
linha=348 | nome=Joao | acao=otimizou o algoritmo | valor=7989
linha=349 | nome=Lucas | acao=fez um experimento | valor=5815
linha=350 | nome=Lucas | acao=analisou os resultados | valor=9367
linha=351 | nome=Natalia | acao=fez um experimento | valor=3901
linha=352 | nome=Otavio | acao=fez um experimento | valor=2267
linha=353 | nome=Ana | acao=otimizou o algoritmo | valor=9265
linha=354 | nome=Igor | acao=escreveu o relatorio | valor=2798
linha=355 | nome=Ana | acao=otimizou o algoritmo | valor=2616
linha=356 | nome=Lucas | acao=escreveu o relatorio | valor=2273
linha=357 | nome=Gabriela | acao=executou o benchmark | valor=6582
linha=358 | nome=Lucas | acao=fez um experimento | valor=8444
linha=359 | nome=Daniela | acao=comparou as metricas | valor=8781
linha=360 | nome=Sofia | acao=fez um experimento | valor=6038
linha=361 | nome=Felipe | acao=escreveu o relatorio | valor=9716
linha=362 | nome=Ana | acao=analisou os resultados | valor=6037
linha=363 | nome=Joao | acao=analisou os resultados | valor=8721
linha=364 | nome=Otavio | acao=executou o benchmark | valor=1715
linha=365 | nome=Mariana | acao=executou o benchmark | valor=9349
linha=366 | nome=Vitor | acao=executou o benchmark | valor=9494
linha=367 | nome=Paulo | acao=executou o benchmark | valor=9409
linha=368 | nome=Carlos | acao=fez um experimento | valor=4196
linha=369 | nome=Sofia | acao=estudou computacao | valor=4097
linha=370 | nome=Joao | acao=fez um experimento | valor=2101
linha=371 | nome=Ana | acao=comparou as metricas | valor=4845
linha=372 | nome=Ana | acao=escreveu o relatorio | valor=5067
linha=373 | nome=Otavio | acao=comparou as metricas | valor=3493
linha=374 | nome=Joao | acao=executou o benchmark | valor=6888
linha=375 | nome=Natalia | acao=escreveu o relatorio | valor=1408
linha=376 | nome=Mariana | acao=estudou computacao | valor=6941
linha=377 | nome=Gabriela | acao=estudou computacao | valor=6988
linha=378 | nome=Lucas | acao=analisou os resultados | valor=9192
linha=379 | nome=Lucas | acao=executou o benchmark | valor=6128
linha=380 | nome=Helena | acao=comparou as metricas | valor=5415
linha=381 | nome=Sofia | acao=estudou computacao | valor=4911
linha=382 | nome=Carlos | acao=participou da aula | valor=6410
linha=383 | nome=Eduarda | acao=estudou computacao | valor=6294
linha=384 | nome=Joao | acao=estudou computacao | valor=3845
linha=385 | nome=Mariana | acao=fez um experimento | valor=7627
linha=386 | nome=Natalia | acao=analisou os resultados | valor=4339
linha=387 | nome=Natalia | acao=estudou computacao | valor=5890
linha=388 | nome=Tiago | acao=participou da aula | valor=4912
linha=389 | nome=Sofia | acao=fez um experimento | valor=5864
linha=390 | nome=Tiago | acao=otimizou o algoritmo | valor=7699
linha=391 | nome=Vitor | acao=participou da aula | valor=2747
linha=392 | nome=Bruno | acao=otimizou o algoritmo | valor=8533
linha=393 | nome=Karen | acao=escreveu o relatorio | valor=8085
linha=394 | nome=Paulo | acao=executou o benchmark | valor=2650
linha=395 | nome=Eduarda | acao=comparou as metricas | valor=3597
linha=396 | nome=Tiago | acao=escreveu o relatorio | valor=7029
linha=397 | nome=Ana | acao=analisou os resultados | valor=1494
linha=398 | nome=Gabriela | acao=estudou computacao | valor=1695
linha=399 | nome=Renata | acao=estudou computacao | valor=1330
linha=400 | nome=Mariana | acao=analisou os resultados | valor=3816
linha=401 | nome=Joao | acao=executou o benchmark | valor=8990
linha=402 | nome=Ana | acao=fez um experimento | valor=3969
linha=403 | nome=Lucas | acao=estudou computacao | valor=2959
linha=404 | nome=Gabriela | acao=analisou os resultados | valor=2013
linha=405 | nome=Eduarda | acao=participou da aula | valor=4509
linha=406 | nome=Eduarda | acao=executou o benchmark | valor=9251
linha=407 | nome=Helena | acao=executou o benchmark | valor=5356
linha=408 | nome=Joao | acao=executou o benchmark | valor=4433
linha=409 | nome=Ana | acao=comparou as metricas | valor=8152
linha=410 | nome=Paulo | acao=executou o benchmark | valor=8946
linha=411 | nome=Ana | acao=otimizou o algoritmo | valor=8639
linha=412 | nome=Eduarda | acao=otimizou o algoritmo | valor=3170
linha=413 | nome=Paulo | acao=escreveu o relatorio | valor=2454
linha=414 | nome=Mariana | acao=comparou as metricas | valor=1069
linha=415 | nome=Sofia | acao=comparou as metricas | valor=8551
linha=416 | nome=Mariana | acao=fez um experimento | valor=6273
linha=417 | nome=Lucas | acao=analisou os resultados | valor=2910
linha=418 | nome=Carlos | acao=analisou os resultados | valor=1847
linha=419 | nome=Sofia | acao=analisou os resultados | valor=5033
linha=420 | nome=Sofia | acao=escreveu o relatorio | valor=7455
linha=421 | nome=Karen | acao=executou o benchmark | valor=9990
linha=422 | nome=Sofia | acao=comparou as metricas | valor=9736
linha=423 | nome=Renata | acao=fez um experimento | valor=6992
linha=424 | nome=Karen | acao=comparou as metricas | valor=4657
linha=425 | nome=Lucas | acao=fez um experimento | valor=7876
linha=426 | nome=Bruno | acao=estudou computacao | valor=3472
linha=427 | nome=Daniela | acao=participou da aula | valor=5646
linha=428 | nome=Karen | acao=estudou computacao | valor=5193
linha=429 | nome=Helena | acao=participou da aula | valor=6303
linha=430 | nome=Karen | acao=comparou as metricas | valor=8844
linha=431 | nome=Gabriela | acao=comparou as metricas | valor=2494
linha=432 | nome=Carlos | acao=otimizou o algoritmo | valor=6532
linha=433 | nome=Lucas | acao=analisou os resultados | valor=1449
linha=434 | nome=Joao | acao=participou da aula | valor=7422
linha=435 | nome=Karen | acao=escreveu o relatorio | valor=6265
linha=436 | nome=Mariana | acao=estudou computacao | valor=4399
linha=437 | nome=Natalia | acao=otimizou o algoritmo | valor=4753
linha=438 | nome=Sofia | acao=executou o benchmark | valor=5563
linha=439 | nome=Gabriela | acao=participou da aula | valor=6485
linha=440 | nome=Natalia | acao=comparou as metricas | valor=9159
linha=441 | nome=Daniela | acao=fez um experimento | valor=9911
linha=442 | nome=Lucas | acao=analisou os resultados | valor=4391
linha=443 | nome=Natalia | acao=comparou as metricas | valor=2423
linha=444 | nome=Lucas | acao=estudou computacao | valor=5353
linha=445 | nome=Gabriela | acao=analisou os resultados | valor=7091
linha=446 | nome=Tiago | acao=estudou computacao | valor=4039
linha=447 | nome=Ana | acao=participou da aula | valor=3336
linha=448 | nome=Felipe | acao=executou o benchmark | valor=1634
linha=449 | nome=Carlos | acao=participou da aula | valor=8936
linha=450 | nome=Natalia | acao=analisou os resultados | valor=1970
linha=451 | nome=Paulo | acao=analisou os resultados | valor=9348
