linha=1 | nome=Ana | acao=estudou computacao | valor=3240
linha=138 | nome=Daniela | acao=fez um experimento | valor=8108
linha=139 | nome=Felipe | acao=escreveu o relatorio | valor=4360
linha=140 | nome=Natalia | acao=fez um experimento | valor=4950
linha=141 | nome=Lucas | acao=comparou as metricas | valor=8799
linha=142 | nome=Karen | acao=participou da aula | valor=5489
linha=143 | nome=Gabriela | acao=escreveu o relatorio | valor=1449
linha=144 | nome=Otavio | acao=participou da aula | valor=9085
linha=145 | nome=Natalia | acao=comparou as metricas | valor=5254
linha=146 | nome=Mariana | acao=escreveu o relatorio | valor=9040
linha=147 | nome=Eduarda | acao=escreveu o relatorio | valor=9907
linha=148 | nome=Sofia | acao=escreveu o relatorio | valor=5577
linha=149 | nome=Lucas | acao=analisou os resultados | valor=2232
linha=150 | nome=Paulo | acao=comparou as metricas | valor=3340
linha=151 | nome=Renata | acao=fez um experimento | valor=1656
linha=152 | nome=Mariana | acao=estudou computacao | valor=4556
linha=153 | nome=Bruno | acao=fez um experimento | valor=8482
linha=154 | nome=Natalia | acao=participou da aula | valor=4519
linha=155 | nome=Joao | acao=escreveu o relatorio | valor=2461
linha=156 | nome=Mariana | acao=otimizou o algoritmo | valor=7238
linha=157 | nome=Carlos | acao=analisou os resultados | valor=9154
linha=158 | nome=Sofia | acao=estudou computacao | valor=9134
linha=159 | nome=Paulo | acao=executou o benchmark | valor=5478
linha=160 | nome=Vitor | acao=escreveu o relatorio | valor=4411
linha=161 | nome=Lucas | acao=otimizou o algoritmo | valor=6762
linha=162 | nome=Gabriela | acao=analisou os resultados | valor=5070
linha=163 | nome=Mariana | acao=fez um experimento | valor=9374
linha=164 | nome=Bruno | acao=participou da aula | valor=4670
linha=165 | nome=Ana | acao=escreveu o relatorio | valor=3952
linha=166 | nome=Ana | acao=otimizou o algoritmo | valor=8248
linha=167 | nome=Mariana | acao=executou o benchmark | valor=1827
linha=168 | nome=Bruno | acao=executou o benchmark | valor=3875
linha=169 | nome=Tiago | acao=comparou as metricas | valor=3198
linha=170 | nome=Helena | acao=analisou os resultados | valor=9779
linha=171 | nome=Helena | acao=participou da aula | valor=5092
linha=172 | nome=Bruno | acao=executou o benchmark | valor=5615
linha=173 | nome=Natalia | acao=estudou computacao | valor=2719
linha=174 | nome=Natalia | acao=analisou os resultados | valor=4921
linha=175 | nome=Natalia | acao=comparou as metricas | valor=9012
linha=176 | nome=Felipe | acao=escreveu o relatorio | valor=3183
linha=177 | nome=Sofia | acao=comparou as metricas | valor=2851
linha=178 | nome=Joao | acao=executou o benchmark | valor=1817
linha=179 | nome=Igor | acao=executou o benchmark | valor=8238
linha=180 | nome=Ana | acao=comparou as metricas | valor=8805
linha=181 | nome=Igor | acao=comparou as metricas | valor=4804
linha=182 | nome=Renata | acao=analisou os resultados | valor=6634
linha=183 | nome=Daniela | acao=escreveu o relatorio | valor=3886
linha=184 | nome=Eduarda | acao=analisou os resultados | valor=6873
linha=185 | nome=Carlos | acao=otimizou o algoritmo | valor=9635
linha=186 | nome=Vitor | acao=comparou as metricas | valor=3094
linha=187 | nome=Lucas | acao=comparou as metricas | valor=6088
linha=188 | nome=Helena | acao=analisou os resultados | valor=2761
linha=189 | nome=Bruno | acao=fez um experimento | valor=1478
linha=190 | nome=Mariana | acao=fez um experimento | valor=1796
linha=191 | nome=Paulo | acao=escreveu o relatorio | valor=8159
linha=192 | nome=Karen | acao=escreveu o relatorio | valor=4432
linha=193 | nome=Tiago | acao=participou da aula | valor=3519
linha=194 | nome=Sofia | acao=executou o benchmark | valor=2773
linha=195 | nome=Natalia | acao=comparou as metricas | valor=6844
linha=196 | nome=Sofia | acao=escreveu o relatorio | valor=4155
linha=197 | nome=Renata | acao=otimizou o algoritmo | valor=8052
linha=198 | nome=Karen | acao=comparou as metricas | valor=3692
linha=199 | nome=Karen | acao=escreveu o relatorio | valor=4176
linha=200 | nome=Joao | acao=fez um experimento | valor=2030
linha=201 | nome=Daniela | acao=estudou computacao | valor=2038
linha=202 | nome=Paulo | acao=executou o benchmark | valor=1609
linha=203 | nome=Felipe | acao=executou o benchmark | valor=8712
linha=204 | nome=Carlos | acao=fez um experimento | valor=9990
linha=205 | nome=Mariana | acao=estudou computacao | valor=6933
linha=206 | nome=Mariana | acao=analisou os resultados | valor=2239
linha=207 | nome=Gabriela | acao=analisou os resultados | valor=5661
linha=208 | nome=Bruno | acao=participou da aula | valor=6488
linha=209 | nome=Vitor | acao=analisou os resultados | valor=8452
linha=210 | nome=Carlos | acao=escreveu o relatorio | valor=5654
linha=211 | nome=Daniela | acao=executou o benchmark | valor=2122
linha=212 | nome=Bruno | acao=analisou os resultados | valor=9825
linha=213 | nome=Paulo | acao=executou o benchmark | valor=4596
linha=214 | nome=Lucas | acao=fez um experimento | valor=2859
linha=215 | nome=Otavio | acao=escreveu o relatorio | valor=9948
linha=216 | nome=Gabriela | acao=analisou os resultados | valor=5649
linha=217 | nome=Bruno | acao=participou da aula | valor=3842
linha=218 | nome=Ana | acao=participou da aula | valor=3969
linha=219 | nome=Eduarda | acao=analisou os resultados | valor=6892
linha=220 | nome=Gabriela | acao=participou da aula | valor=8596
linha=221 | nome=Felipe | acao=fez um experimento | valor=4607
linha=222 | nome=Paulo | acao=escreveu o relatorio | valor=7622
linha=223 | nome=Sofia | acao=otimizou o algoritmo | valor=1764
linha=224 | nome=Mariana | acao=estudou computacao | valor=7385
linha=225 | nome=Helena | acao=fez um experimento | valor=6214
linha=226 | nome=Tiago | acao=comparou as metricas | valor=7131
linha=227 | nome=Mariana | acao=estudou computacao | valor=2121
linha=228 | nome=Vitor | acao=estudou computacao | valor=6371
linha=229 | nome=Natalia | acao=escreveu o relatorio | valor=7137
linha=230 | nome=Vitor | acao=escreveu o relatorio | valor=9385
linha=231 | nome=Gabriela | acao=analisou os resultados | valor=2341
linha=232 | nome=Daniela | acao=escreveu o relatorio | valor=5558
linha=233 | nome=Lucas | acao=participou da aula | valor=6918
linha=234 | nome=Joao | acao=escreveu o relatorio | valor=2651
linha=235 | nome=Mariana | acao=otimizou o algoritmo | valor=2084
linha=236 | nome=Joao | acao=otimizou o algoritmo | valor=2198
linha=237 | nome=Eduarda | acao=participou da aula | valor=1623
linha=238 | nome=Helena | acao=escreveu o relatorio | valor=6837
linha=239 | nome=Paulo | acao=participou da aula | valor=9985
linha=240 | nome=Renata | acao=comparou as metricas | valor=4367
linha=241 | nome=Ana | acao=fez um experimento | valor=4002
linha=242 | nome=Lucas | acao=otimizou o algoritmo | valor=2310
linha=243 | nome=Tiago | acao=comparou as metricas | valor=7374
linha=244 | nome=Otavio | acao=comparou as metricas | valor=6072
linha=245 | nome=Joao | acao=estudou computacao | valor=4060
linha=246 | nome=Otavio | acao=estudou computacao | valor=9456
linha=247 | nome=Bruno | acao=otimizou o algoritmo | valor=2923
linha=248 | nome=Felipe | acao=escreveu o relatorio | valor=9846
linha=249 | nome=Renata | acao=analisou os resultados | valor=3801
linha=250 | nome=Sofia | acao=participou da aula | valor=3916
linha=251 | nome=Otavio | acao=estudou computacao | valor=2226
linha=252 | nome=Joao | acao=executou o benchmark | valor=9260
linha=253 | nome=Helena | acao=otimizou o algoritmo | valor=7882
linha=254 | nome=Bruno | acao=comparou as metricas | valor=7332
linha=255 | nome=Bruno | acao=participou da aula | valor=6994
linha=256 | nome=Natalia | acao=comparou as metricas | valor=5734
linha=257 | nome=Natalia | acao=escreveu o relatorio | valor=2211
linha=258 | nome=Igor | acao=otimizou o algoritmo | valor=4896
linha=259 | nome=Carlos | acao=otimizou o algoritmo | valor=3590
linha=260 | nome=Joao | acao=otimizou o algoritmo | valor=2542
linha=261 | nome=Igor | acao=otimizou o algoritmo | valor=4040
linha=262 | nome=Helena | acao=fez um experimento | valor=1835
linha=263 | nome=Gabriela | acao=executou o benchmark | valor=6689
linha=264 | nome=Daniela | acao=estudou computacao | valor=9790
linha=265 | nome=Carlos | acao=fez um experimento | valor=2371
linha=266 | nome=Eduarda | acao=estudou computacao | valor=4551
linha=267 | nome=Vitor | acao=escreveu o relatorio | valor=3752
linha=268 | nome=Karen | acao=otimizou o algoritmo | valor=5973
linha=269 | nome=Otavio | acao=executou o benchmark | valor=8796
linha=270 | nome=Felipe | acao=participou da aula | valor=7059
linha=271 | nome=Tiago | acao=analisou os resultados | valor=6084
linha=272 | nome=Felipe | acao=otimizou o algoritmo | valor=2733
linha=273 | nome=Bruno | acao=executou o benchmark | valor=4893
linha=274 | nome=Daniela | acao=escreveu o relatorio | valor=1198
linha=275 | nome=Natalia | acao=analisou os resultados | valor=6658
linha=276 | nome=Eduarda | acao=otimizou o algoritmo | valor=6098
linha=277 | nome=Lucas | acao=comparou as metricas | valor=3009
linha=278 | nome=Sofia | acao=analisou os resultados | valor=6436
linha=279 | nome=Joao | acao=participou da aula | valor=1776
linha=280 | nome=Igor | acao=fez um experimento | valor=1494
linha=281 | nome=Eduarda | acao=escreveu o relatorio | valor=4448
linha=282 | nome=Igor | acao=participou da aula | valor=7590
linha=283 | nome=Karen | acao=escreveu o relatorio | valor=5494
linha=284 | nome=Joao | acao=analisou os resultados | valor=4399
linha=285 | nome=Renata | acao=fez um experimento | valor=7817
linha=286 | nome=Igor | acao=escreveu o relatorio | valor=7759
linha=287 | nome=Igor | acao=participou da aula | valor=6303
linha=288 | nome=Renata | acao=analisou os resultados | valor=4171
linha=289 | nome=Vitor | acao=executou o benchmark | valor=7245
linha=290 | nome=Tiago | acao=estudou computacao | valor=3737
linha=291 | nome=Gabriela | acao=escreveu o relatorio | valor=2194
linha=292 | nome=Renata | acao=executou o benchmark | valor=3594
linha=293 | nome=Natalia | acao=comparou as metricas | valor=2548
linha=294 | nome=Bruno | acao=participou da aula | valor=1830
linha=295 | nome=Vitor | acao=estudou computacao | valor=4713
linha=296 | nome=Karen | acao=participou da aula | valor=6795
linha=297 | nome=Gabriela | acao=executou o benchmark | valor=2805
linha=298 | nome=Mariana | acao=fez um experimento | valor=8099
linha=299 | nome=Carlos | acao=fez um experimento | valor=1045
linha=300 | nome=Mariana | acao=analisou os resultados | valor=9103
linha=301 | nome=Otavio | acao=analisou os resultados | valor=4304
linha=302 | nome=Paulo | acao=analisou os resultados | valor=2749
linha=303 | nome=Igor | acao=executou o benchmark | valor=8125
linha=304 | nome=Daniela | acao=estudou computacao | valor=7851
linha=305 | nome=Karen | acao=escreveu o relatorio | valor=1580
linha=306 | nome=Joao | acao=comparou as metricas | valor=8067
linha=307 | nome=Carlos | acao=participou da aula | valor=7623
linha=308 | nome=Bruno | acao=analisou os resultados | valor=6395
linha=309 | nome=Natalia | acao=fez um experimento | valor=3795
linha=310 | nome=Sofia | acao=participou da aula | valor=1858
linha=311 | nome=Mariana | acao=participou da aula | valor=9388
linha=312 | nome=Daniela | acao=estudou computacao | valor=2981
linha=313 | nome=Tiago | acao=analisou os resultados | valor=6062
linha=314 | nome=Karen | acao=otimizou o algoritmo | valor=3658
linha=315 | nome=Renata | acao=participou da aula | valor=1576
linha=316 | nome=Tiago | acao=estudou computacao | valor=2046
linha=317 | nome=Tiago | acao=escreveu o relatorio | valor=4781
linha=318 | nome=Joao | acao=comparou as metricas | valor=1898
linha=319 | nome=Gabriela | acao=comparou as metricas | valor=8842
linha=320 | nome=Paulo | acao=analisou os resultados | valor=1861
linha=321 | nome=Natalia | acao=analisou os resultados | valor=8723
linha=322 | nome=Carlos | acao=executou o benchmark | valor=5838
linha=323 | nome=Renata | acao=participou da aula | valor=6443
linha=324 | nome=Felipe | acao=participou da aula | valor=1542
linha=325 | nome=Mariana | acao=executou o benchmark | valor=6074
linha=326 | nome=Bruno | acao=escreveu o relatorio | valor=4018
linha=327 | nome=Natalia | acao=participou da aula | valor=1808
linha=328 | nome=Carlos | acao=escreveu o relatorio | valor=6103
linha=329 | nome=Gabriela | acao=escreveu o relatorio | valor=2729
linha=330 | nome=Daniela | acao=comparou as metricas | valor=6118
linha=331 | nome=Mariana | acao=executou o benchmark | valor=2587
linha=332 | nome=Mariana | acao=escreveu o relatorio | valor=4326
linha=333 | nome=Gabriela | acao=otimizou o algoritmo | valor=2100
linha=334 | nome=Renata | acao=participou da aula | valor=4538
linha=335 | nome=Mariana | acao=otimizou o algoritmo | valor=1150
linha=336 | nome=Karen | acao=otimizou o algoritmo | valor=6284
linha=337 | nome=Vitor | acao=estudou computacao | valor=1364
linha=338 | nome=Carlos | acao=comparou as metricas | valor=6088
linha=339 | nome=Natalia | acao=executou o benchmark | valor=3069
linha=340 | nome=Gabriela | acao=comparou as metricas | valor=9711
linha=341 | nome=Joao | acao=otimizou o algoritmo | valor=2732
linha=342 | nome=Mariana | acao=analisou os resultados | valor=1343
linha=343 | nome=Felipe | acao=analisou os resultados | valor=3365
linha=344 | nome=Ana | acao=analisou os resultados | valor=8810
linha=345 | nome=Joao | acao=analisou os resultados | valor=5594
linha=346 | nome=Ana | acao=participou da aula | valor=8769
linha=347 | nome=Carlos | acao=comparou as metricas | valor=7783
linha=348 | nome=Igor | acao=analisou os resultados | valor=4603
linha=349 | nome=Helena | acao=fez um experimento | valor=6181
linha=350 | nome=Eduarda | acao=participou da aula | valor=6980
linha=351 | nome=Daniela | acao=participou da aula | valor=9557
linha=352 | nome=Tiago | acao=escreveu o relatorio | valor=7191
linha=353 | nome=Gabriela | acao=otimizou o algoritmo | valor=1635
linha=354 | nome=Lucas | acao=participou da aula | valor=5647
linha=355 | nome=Carlos | acao=analisou os resultados | valor=5836
linha=356 | nome=Joao | acao=otimizou o algoritmo | valor=8043
linha=357 | nome=Gabriela | acao=escreveu o relatorio | valor=7081
linha=358 | nome=Mariana | acao=estudou computacao | valor=8640
linha=359 | nome=Sofia | acao=analisou os resultados | valor=1607
linha=360 | nome=Vitor | acao=otimizou o algoritmo | valor=7386
linha=361 | nome=Renata | acao=executou o benchmark | valor=6864
linha=362 | nome=Carlos | acao=analisou os resultados | valor=1824
linha=363 | nome=Bruno | acao=fez um experimento | valor=6833
linha=364 | nome=Otavio | acao=analisou os resultados | valor=6081
linha=365 | nome=Otavio | acao=otimizou o algoritmo | valor=2110
linha=366 | nome=Renata | acao=estudou computacao | valor=9757
linha=367 | nome=Daniela | acao=fez um experimento | valor=2694
linha=368 | nome=Helena | acao=executou o benchmark | valor=5968
linha=369 | nome=Ana | acao=escreveu o relatorio | valor=6614
linha=370 | nome=Joao | acao=comparou as metricas | valor=9638
linha=371 | nome=Bruno | acao=fez um experimento | valor=6614
linha=372 | nome=Eduarda | acao=estudou computacao | valor=2330
linha=373 | nome=Igor | acao=otimizou o algoritmo | valor=4085
linha=374 | nome=Sofia | acao=fez um experimento | valor=5428
linha=375 | nome=Bruno | acao=analisou os resultados | valor=9654
linha=376 | nome=Joao | acao=otimizou o algoritmo | valor=7956
linha=377 | nome=Paulo | acao=estudou computacao | valor=7426
linha=378 | nome=Mariana | acao=estudou computacao | valor=7148
linha=379 | nome=Igor | acao=analisou os resultados | valor=8605
linha=380 | nome=Paulo | acao=estudou computacao | valor=5690
linha=381 | nome=Carlos | acao=otimizou o algoritmo | valor=2528
linha=382 | nome=Felipe | acao=escreveu o relatorio | valor=9634
linha=383 | nome=Otavio | acao=fez um experimento | valor=8288
linha=384 | nome=Paulo | acao=executou o benchmark | valor=1214
linha=385 | nome=Renata | acao=participou da aula | valor=6970
linha=386 | nome=Mariana | acao=participou da aula | valor=4320
linha=387 | nome=Sofia | acao=fez um experimento | valor=5822
linha=388 | nome=Sofia | acao=otimizou o algoritmo | valor=3897
linha=389 | nome=Otavio | acao=analisou os resultados | valor=5425
linha=390 | nome=Igor | acao=otimizou o algoritmo | valor=8896
linha=391 | nome=Vitor | acao=otimizou o algoritmo | valor=8491
linha=392 | nome=Daniela | acao=analisou os resultados | valor=9046
linha=393 | nome=Lucas | acao=executou o benchmark | valor=7936
linha=394 | nome=Tiago | acao=otimizou o algoritmo | valor=6417
linha=395 | nome=Paulo | acao=analisou os resultados | valor=2747
linha=396 | nome=Bruno | acao=analisou os resultados | valor=7284
linha=397 | nome=Tiago | acao=executou o benchmark | valor=3176
linha=398 | nome=Daniela | acao=fez um experimento | valor=5942
linha=399 | nome=Gabriela | acao=comparou as metricas | valor=6432
linha=400 | nome=Tiago | acao=fez um experimento | valor=1742
linha=401 | nome=Carlos | acao=analisou os resultados | valor=7330
linha=402 | nome=Igor | acao=otimizou o algoritmo | valor=2366
linha=403 | nome=Sofia | acao=escreveu o relatorio | valor=2524
linha=404 | nome=Gabriela | acao=estudou computacao | valor=3023
linha=405 | nome=Ana | acao=estudou computacao | valor=5098
linha=406 | nome=Lucas | acao=participou da aula | valor=3246
linha=407 | nome=Ana | acao=fez um experimento | valor=4650
linha=408 | nome=Natalia | acao=escreveu o relatorio | valor=1913
linha=409 | nome=Lucas | acao=participou da aula | valor=8442
linha=410 | nome=Sofia | acao=participou da aula | valor=3620
linha=411 | nome=Vitor | acao=participou da aula | valor=2036
linha=412 | nome=Lucas | acao=otimizou o algoritmo | valor=6911
linha=413 | nome=Natalia | acao=participou da aula | valor=7802
linha=414 | nome=Igor | acao=comparou as metricas | valor=8107
linha=415 | nome=Carlos | acao=estudou computacao | valor=2019
linha=416 | nome=Bruno | acao=comparou as metricas | valor=4959
linha=417 | nome=Karen | acao=analisou os resultados | valor=6811
linha=418 | nome=Felipe | acao=comparou as metricas | valor=6453
linha=419 | nome=Helena | acao=estudou computacao | valor=7604
linha=420 | nome=Felipe | acao=analisou os resultados | valor=2230
linha=421 | nome=Carlos | acao=executou o benchmark | valor=3500
linha=422 | nome=Felipe | acao=otimizou o algoritmo | valor=9970
linha=423 | nome=Vitor | acao=comparou as metricas | valor=8974
linha=424 | nome=Lucas | acao=escreveu o relatorio | valor=3129
linha=425 | nome=Bruno | acao=otimizou o algoritmo | valor=4269
linha=426 | nome=Tiago | acao=fez um experimento | valor=5203
linha=427 | nome=Lucas | acao=escreveu o relatorio | valor=5216
linha=428 | nome=Lucas | acao=comparou as metricas | valor=6014
linha=429 | nome=Gabriela | acao=escreveu o relatorio | valor=6128
linha=430 | nome=Igor | acao=escreveu o relatorio | valor=1555
linha=431 | nome=Felipe | acao=fez um experimento | valor=9224
linha=432 | nome=Otavio | acao=escreveu o relatorio | valor=3277
linha=433 | nome=Natalia | acao=escreveu o relatorio | valor=2525
linha=434 | nome=Tiago | acao=executou o benchmark | valor=5747
linha=435 | nome=Paulo | acao=analisou os resultados | valor=1335
linha=436 | nome=Eduarda | acao=executou o benchmark | valor=3718
linha=437 | nome=Felipe | acao=fez um experimento | valor=4645
linha=438 | nome=Mariana | acao=escreveu o relatorio | valor=2536
linha=439 | nome=Bruno | acao=participou da aula | valor=3409
linha=440 | nome=Daniela | acao=executou o benchmark | valor=5752
linha=441 | nome=Gabriela | acao=participou da aula | valor=8160
linha=442 | nome=Vitor | acao=estudou computacao | valor=4979
linha=443 | nome=Tiago | acao=executou o benchmark | valor=2081
linha=444 | nome=Ana | acao=otimizou o algoritmo | valor=8683
linha=445 | nome=Natalia | acao=analisou os resultados | valor=9200
linha=446 | nome=Joao | acao=executou o benchmark | valor=7556
linha=447 | nome=Ana | acao=escreveu o relatorio | valor=5522
linha=448 | nome=Igor | acao=otimizou o algoritmo | valor=2490
linha=449 | nome=Joao | acao=fez um experimento | valor=9543
linha=450 | nome=Karen | acao=estudou computacao | valor=7564
