linha=1 | nome=Tiago | acao=estudou computacao | valor=4256
linha=48 | nome=Lucas | acao=estudou computacao | valor=3949
linha=49 | nome=Natalia | acao=otimizou o algoritmo | valor=1253
linha=50 | nome=Mariana | acao=executou o benchmark | valor=4304
linha=51 | nome=Natalia | acao=otimizou o algoritmo | valor=4900
linha=52 | nome=Lucas | acao=participou da aula | valor=5168
linha=53 | nome=Mariana | acao=analisou os resultados | valor=8448
linha=54 | nome=Natalia | acao=fez um experimento | valor=9133
linha=55 | nome=Ana | acao=participou da aula | valor=8467
linha=56 | nome=Eduarda | acao=analisou os resultados | valor=6422
linha=57 | nome=Eduarda | acao=comparou as metricas | valor=8558
linha=58 | nome=Otavio | acao=participou da aula | valor=4194
linha=59 | nome=Lucas | acao=escreveu o relatorio | valor=7675
linha=60 | nome=Vitor | acao=executou o benchmark | valor=2277
linha=61 | nome=Eduarda | acao=analisou os resultados | valor=2407
linha=62 | nome=Natalia | acao=escreveu o relatorio | valor=9062
linha=63 | nome=Igor | acao=comparou as metricas | valor=3589
linha=64 | nome=Natalia | acao=otimizou o algoritmo | valor=2697
linha=65 | nome=Natalia | acao=analisou os resultados | valor=2400
linha=66 | nome=Otavio | acao=comparou as metricas | valor=3346
linha=67 | nome=Sofia | acao=estudou computacao | valor=4863
linha=68 | nome=Daniela | acao=executou o benchmark | valor=9267
linha=69 | nome=Otavio | acao=otimizou o algoritmo | valor=6880
linha=70 | nome=Joao | acao=participou da aula | valor=8573
linha=71 | nome=Helena | acao=analisou os resultados | valor=3104
linha=72 | nome=Helena | acao=fez um experimento | valor=3229
linha=73 | nome=Karen | acao=fez um experimento | valor=9645
linha=74 | nome=Paulo | acao=executou o benchmark | valor=8595
linha=75 | nome=Daniela | acao=otimizou o algoritmo | valor=1358
linha=76 | nome=Paulo | acao=fez um experimento | valor=7667
linha=77 | nome=Mariana | acao=analisou os resultados | valor=2625
linha=78 | nome=Joao | acao=participou da aula | valor=3072
linha=79 | nome=Daniela | acao=participou da aula | valor=5350
linha=80 | nome=Mariana | acao=fez um experimento | valor=4915
linha=81 | nome=Tiago | acao=estudou computacao | valor=4868
linha=82 | nome=Bruno | acao=participou da aula | valor=6057
linha=83 | nome=Joao | acao=escreveu o relatorio | valor=1984
linha=84 | nome=Otavio | acao=escreveu o relatorio | valor=3251
linha=85 | nome=Igor | acao=participou da aula | valor=1306
linha=86 | nome=Mariana | acao=otimizou o algoritmo | valor=4136
linha=87 | nome=Otavio | acao=estudou computacao | valor=7771
linha=88 | nome=Otavio | acao=executou o benchmark | valor=9407
linha=89 | nome=Paulo | acao=escreveu o relatorio | valor=6559
linha=90 | nome=Helena | acao=executou o benchmark | valor=7904
linha=91 | nome=Daniela | acao=escreveu o relatorio | valor=4318
linha=92 | nome=Felipe | acao=otimizou o algoritmo | valor=5277
linha=93 | nome=Lucas | acao=escreveu o relatorio | valor=9895
linha=94 | nome=Carlos | acao=comparou as metricas | valor=9840
linha=95 | nome=Paulo | acao=analisou os resultados | valor=2666
linha=96 | nome=Mariana | acao=participou da aula | valor=7455
linha=97 | nome=Mariana | acao=analisou os resultados | valor=7673
linha=98 | nome=Carlos | acao=otimizou o algoritmo | valor=9517
linha=99 | nome=Sofia | acao=estudou computacao | valor=9759
linha=100 | nome=Natalia | acao=analisou os resultados | valor=8259
linha=101 | nome=Tiago | acao=estudou computacao | valor=9864
linha=102 | nome=Paulo | acao=analisou os resultados | valor=2330
linha=103 | nome=Sofia | acao=analisou os resultados | valor=2342
linha=104 | nome=Eduarda | acao=participou da aula | valor=7284
linha=105 | nome=Mariana | acao=comparou as metricas | valor=7332
linha=106 | nome=Joao | acao=otimizou o algoritmo | valor=3372
linha=107 | nome=Carlos | acao=estudou computacao | valor=6101
linha=108 | nome=Otavio | acao=participou da aula | valor=7466
linha=109 | nome=Vitor | acao=analisou os resultados | valor=7842
linha=110 | nome=Sofia | acao=escreveu o relatorio | valor=9528
linha=111 | nome=Lucas | acao=escreveu o relatorio | valor=8233
linha=112 | nome=Ana | acao=escreveu o relatorio | valor=9581
linha=113 | nome=Bruno | acao=escreveu o relatorio | valor=5942
linha=114 | nome=Bruno | acao=executou o benchmark | valor=2661
linha=115 | nome=Paulo | acao=executou o benchmark | valor=9983
linha=116 | nome=Daniela | acao=estudou computacao | valor=1953
linha=117 | nome=Tiago | acao=comparou as metricas | valor=9590
linha=118 | nome=Mariana | acao=executou o benchmark | valor=2675
linha=119 | nome=Mariana | acao=participou da aula | valor=1055
linha=120 | nome=Carlos | acao=fez um experimento | valor=3942
linha=121 | nome=Lucas | acao=comparou as metricas | valor=2000
linha=122 | nome=Igor | acao=escreveu o relatorio | valor=5725
linha=123 | nome=Gabriela | acao=participou da aula | valor=3426
linha=124 | nome=Eduarda | acao=executou o benchmark | valor=4897
linha=125 | nome=Carlos | acao=estudou computacao | valor=5926
linha=126 | nome=Joao | acao=executou o benchmark | valor=1479
linha=127 | nome=Tiago | acao=participou da aula | valor=2632
linha=128 | nome=Karen | acao=analisou os resultados | valor=8381
linha=129 | nome=Gabriela | acao=executou o benchmark | valor=8481
linha=130 | nome=Otavio | acao=otimizou o algoritmo | valor=4274
linha=131 | nome=Otavio | acao=participou da aula | valor=9806
linha=132 | nome=Ana | acao=executou o benchmark | valor=4179
linha=133 | nome=Gabriela | acao=executou o benchmark | valor=6649
linha=134 | nome=Otavio | acao=executou o benchmark | valor=2081
linha=135 | nome=Mariana | acao=participou da aula | valor=7258
linha=136 | nome=Joao | acao=otimizou o algoritmo | valor=8622
linha=137 | nome=Karen | acao=otimizou o algoritmo | valor=7511
linha=138 | nome=Igor | acao=estudou computacao | valor=4276
linha=139 | nome=Tiago | acao=fez um experimento | valor=6701
linha=140 | nome=Vitor | acao=participou da aula | valor=1409
linha=141 | nome=Otavio | acao=comparou as metricas | valor=4548
linha=142 | nome=Helena | acao=analisou os resultados | valor=5111
linha=143 | nome=Carlos | acao=escreveu o relatorio | valor=2667
linha=144 | nome=Carlos | acao=escreveu o relatorio | valor=2743
linha=145 | nome=Daniela | acao=participou da aula | valor=7378
linha=146 | nome=Tiago | acao=estudou computacao | valor=2326
linha=147 | nome=Ana | acao=participou da aula | valor=7876
linha=148 | nome=Sofia | acao=estudou computacao | valor=1813
linha=149 | nome=Mariana | acao=estudou computacao | valor=5109
linha=150 | nome=Mariana | acao=fez um experimento | valor=1441
linha=151 | nome=Lucas | acao=otimizou o algoritmo | valor=9410
linha=152 | nome=Otavio | acao=otimizou o algoritmo | valor=1292
linha=153 | nome=Joao | acao=executou o benchmark | valor=8290
linha=154 | nome=Felipe | acao=comparou as metricas | valor=6962
linha=155 | nome=Tiago | acao=escreveu o relatorio | valor=3377
linha=156 | nome=Natalia | acao=escreveu o relatorio | valor=9919
linha=157 | nome=Bruno | acao=fez um experimento | valor=6098
linha=158 | nome=Igor | acao=escreveu o relatorio | valor=6043
linha=159 | nome=Mariana | acao=escreveu o relatorio | valor=8389
linha=160 | nome=Felipe | acao=participou da aula | valor=1684
linha=161 | nome=Natalia | acao=analisou os resultados | valor=9679
linha=162 | nome=Otavio | acao=analisou os resultados | valor=2789
linha=163 | nome=Bruno | acao=analisou os resultados | valor=7864
linha=164 | nome=Daniela | acao=comparou as metricas | valor=6463
linha=165 | nome=Gabriela | acao=participou da aula | valor=4264
linha=166 | nome=Natalia | acao=executou o benchmark | valor=6356
linha=167 | nome=Paulo | acao=analisou os resultados | valor=4134
linha=168 | nome=Carlos | acao=analisou os resultados | valor=7921
linha=169 | nome=Paulo | acao=escreveu o relatorio | valor=5906
linha=170 | nome=Vitor | acao=otimizou o algoritmo | valor=1327
linha=171 | nome=Igor | acao=participou da aula | valor=6822
linha=172 | nome=Natalia | acao=estudou computacao | valor=3117
linha=173 | nome=Natalia | acao=fez um experimento | valor=3277
linha=174 | nome=Vitor | acao=participou da aula | valor=1684
linha=175 | nome=Lucas | acao=executou o benchmark | valor=5367
linha=176 | nome=Eduarda | acao=escreveu o relatorio | valor=6779
linha=177 | nome=Daniela | acao=comparou as metricas | valor=3383
linha=178 | nome=Felipe | acao=fez um experimento | valor=4536
linha=179 | nome=Carlos | acao=participou da aula | valor=3645
linha=180 | nome=Karen | acao=estudou computacao | valor=3567
linha=181 | nome=Karen | acao=estudou computacao | valor=7617
linha=182 | nome=Paulo | acao=comparou as metricas | valor=1333
linha=183 | nome=Natalia | acao=escreveu o relatorio | valor=9990
linha=184 | nome=Eduarda | acao=participou da aula | valor=6074
linha=185 | nome=Bruno | acao=estudou computacao | valor=5292
linha=186 | nome=Igor | acao=participou da aula | valor=7876
linha=187 | nome=Natalia | acao=escreveu o relatorio | valor=4925
linha=188 | nome=Otavio | acao=comparou as metricas | valor=7473
linha=189 | nome=Mariana | acao=executou o benchmark | valor=2897
linha=190 | nome=Eduarda | acao=comparou as metricas | valor=9291
linha=191 | nome=Joao | acao=analisou os resultados | valor=7890
linha=192 | nome=Renata | acao=executou o benchmark | valor=6190
linha=193 | nome=Igor | acao=participou da aula | valor=5343
linha=194 | nome=Lucas | acao=otimizou o algoritmo | valor=2047
linha=195 | nome=Ana | acao=fez um experimento | valor=4872
linha=196 | nome=Helena | acao=estudou computacao | valor=1096
linha=197 | nome=Joao | acao=fez um experimento | valor=8694
linha=198 | nome=Daniela | acao=escreveu o relatorio | valor=1401
linha=199 | nome=Renata | acao=escreveu o relatorio | valor=8780
linha=200 | nome=Bruno | acao=comparou as metricas | valor=9233
linha=201 | nome=Felipe | acao=estudou computacao | valor=9004
linha=202 | nome=Karen | acao=fez um experimento | valor=4929
linha=203 | nome=Eduarda | acao=comparou as metricas | valor=4595
linha=204 | nome=Mariana | acao=estudou computacao | valor=4123
linha=205 | nome=Renata | acao=analisou os resultados | valor=3439
linha=206 | nome=Mariana | acao=analisou os resultados | valor=6143
linha=207 | nome=Paulo | acao=analisou os resultados | valor=1246
linha=208 | nome=Gabriela | acao=comparou as metricas | valor=4095
linha=209 | nome=Eduarda | acao=estudou computacao | valor=4031
linha=210 | nome=Natalia | acao=fez um experimento | valor=7779
linha=211 | nome=Gabriela | acao=comparou as metricas | valor=6628
linha=212 | nome=Natalia | acao=participou da aula | valor=8997
linha=213 | nome=Paulo | acao=escreveu o relatorio | valor=7973
linha=214 | nome=Sofia | acao=escreveu o relatorio | valor=8611
linha=215 | nome=Daniela | acao=escreveu o relatorio | valor=9123
linha=216 | nome=Daniela | acao=participou da aula | valor=1596
linha=217 | nome=Bruno | acao=comparou as metricas | valor=6349
linha=218 | nome=Paulo | acao=comparou as metricas | valor=7048
linha=219 | nome=Ana | acao=escreveu o relatorio | valor=6765
linha=220 | nome=Gabriela | acao=executou o benchmark | valor=4354
linha=221 | nome=Carlos | acao=otimizou o algoritmo | valor=3854
linha=222 | nome=Bruno | acao=escreveu o relatorio | valor=4521
linha=223 | nome=Karen | acao=participou da aula | valor=3513
linha=224 | nome=Ana | acao=estudou computacao | valor=8975
linha=225 | nome=Helena | acao=estudou computacao | valor=1881
linha=226 | nome=Vitor | acao=estudou computacao | valor=4539
linha=227 | nome=Daniela | acao=executou o benchmark | valor=3331
linha=228 | nome=Natalia | acao=fez um experimento | valor=1032
linha=229 | nome=Ana | acao=estudou computacao | valor=4198
linha=230 | nome=Karen | acao=estudou computacao | valor=1622
linha=231 | nome=Gabriela | acao=escreveu o relatorio | valor=6760
linha=232 | nome=Mariana | acao=fez um experimento | valor=7321
linha=233 | nome=Daniela | acao=fez um experimento | valor=8966
linha=234 | nome=Joao | acao=estudou computacao | valor=8359
linha=235 | nome=Lucas | acao=escreveu o relatorio | valor=1392
linha=236 | nome=Felipe | acao=analisou os resultados | valor=7565
linha=237 | nome=Felipe | acao=comparou as metricas | valor=4620
linha=238 | nome=Vitor | acao=fez um experimento | valor=1421
linha=239 | nome=Ana | acao=otimizou o algoritmo | valor=3271
linha=240 | nome=Bruno | acao=participou da aula | valor=7995
linha=241 | nome=Natalia | acao=analisou os resultados | valor=3764
linha=242 | nome=Vitor | acao=analisou os resultados | valor=9842
linha=243 | nome=Tiago | acao=fez um experimento | valor=7333
linha=244 | nome=Felipe | acao=executou o benchmark | valor=2502
linha=245 | nome=Gabriela | acao=fez um experimento | valor=1782
linha=246 | nome=Paulo | acao=otimizou o algoritmo | valor=5641
linha=247 | nome=Joao | acao=otimizou o algoritmo | valor=8977
linha=248 | nome=Mariana | acao=executou o benchmark | valor=8481
linha=249 | nome=Sofia | acao=escreveu o relatorio | valor=1005
linha=250 | nome=Eduarda | acao=estudou computacao | valor=6798
linha=251 | nome=Carlos | acao=analisou os resultados | valor=1085
linha=252 | nome=Lucas | acao=comparou as metricas | valor=1325
linha=253 | nome=Helena | acao=comparou as metricas | valor=2497
linha=254 | nome=Otavio | acao=estudou computacao | valor=5229
linha=255 | nome=Karen | acao=analisou os resultados | valor=6532
linha=256 | nome=Renata | acao=fez um experimento | valor=9456
linha=257 | nome=Carlos | acao=analisou os resultados | valor=9755
linha=258 | nome=Eduarda | acao=otimizou o algoritmo | valor=1875
linha=259 | nome=Igor | acao=fez um experimento | valor=9071
linha=260 | nome=Ana | acao=fez um experimento | valor=8003
linha=261 | nome=Vitor | acao=executou o benchmark | valor=9784
linha=262 | nome=Ana | acao=analisou os resultados | valor=5747
linha=263 | nome=Bruno | acao=estudou computacao | valor=9550
linha=264 | nome=Tiago | acao=estudou computacao | valor=1896
linha=265 | nome=Igor | acao=estudou computacao | valor=4573
linha=266 | nome=Otavio | acao=participou da aula | valor=4686
linha=267 | nome=Sofia | acao=fez um experimento | valor=9498
linha=268 | nome=Gabriela | acao=participou da aula | valor=4006
linha=269 | nome=Vitor | acao=analisou os resultados | valor=5465
linha=270 | nome=Daniela | acao=comparou as metricas | valor=7769
linha=271 | nome=Daniela | acao=participou da aula | valor=6063
linha=272 | nome=Karen | acao=estudou computacao | valor=5650
linha=273 | nome=Vitor | acao=escreveu o relatorio | valor=9369
linha=274 | nome=Natalia | acao=otimizou o algoritmo | valor=1324
linha=275 | nome=Gabriela | acao=participou da aula | valor=2544
linha=276 | nome=Igor | acao=escreveu o relatorio | valor=8676
linha=277 | nome=Felipe | acao=otimizou o algoritmo | valor=3725
linha=278 | nome=Bruno | acao=estudou computacao | valor=1501
linha=279 | nome=Carlos | acao=comparou as metricas | valor=5572
linha=280 | nome=Mariana | acao=comparou as metricas | valor=3346
linha=281 | nome=Lucas | acao=otimizou o algoritmo | valor=5969
linha=282 | nome=Tiago | acao=analisou os resultados | valor=8455
linha=283 | nome=Bruno | acao=escreveu o relatorio | valor=7205
linha=284 | nome=Sofia | acao=estudou computacao | valor=7461
linha=285 | nome=Mariana | acao=analisou os resultados | valor=9917
linha=286 | nome=Gabriela | acao=escreveu o relatorio | valor=8846
linha=287 | nome=Bruno | acao=otimizou o algoritmo | valor=9855
linha=288 | nome=Bruno | acao=executou o benchmark | valor=8412
linha=289 | nome=Lucas | acao=analisou os resultados | valor=8022
linha=290 | nome=Gabriela | acao=estudou computacao | valor=6982
linha=291 | nome=Karen | acao=fez um experimento | valor=2411
linha=292 | nome=Tiago | acao=participou da aula | valor=1187
linha=293 | nome=Karen | acao=participou da aula | valor=3148
linha=294 | nome=Paulo | acao=fez um experimento | valor=3780
linha=295 | nome=Joao | acao=comparou as metricas | valor=3725
linha=296 | nome=Eduarda | acao=comparou as metricas | valor=3679
linha=297 | nome=Igor | acao=executou o benchmark | valor=4337
linha=298 | nome=Helena | acao=escreveu o relatorio | valor=9588
linha=299 | nome=Daniela | acao=fez um experimento | valor=3201
linha=300 | nome=Renata | acao=escreveu o relatorio | valor=4829
linha=301 | nome=Helena | acao=estudou computacao | valor=7696
linha=302 | nome=Joao | acao=fez um experimento | valor=4137
linha=303 | nome=Joao | acao=executou o benchmark | valor=7976
linha=304 | nome=Mariana | acao=otimizou o algoritmo | valor=7388
linha=305 | nome=Paulo | acao=comparou as metricas | valor=2196
linha=306 | nome=Tiago | acao=fez um experimento | valor=7243
linha=307 | nome=Mariana | acao=fez um experimento | valor=4294
linha=308 | nome=Vitor | acao=analisou os resultados | valor=5107
linha=309 | nome=Otavio | acao=analisou os resultados | valor=7371
linha=310 | nome=Paulo | acao=estudou computacao | valor=9387
linha=311 | nome=Lucas | acao=otimizou o algoritmo | valor=6283
linha=312 | nome=Ana | acao=executou o benchmark | valor=2721
linha=313 | nome=Igor | acao=estudou computacao | valor=1589
linha=314 | nome=Carlos | acao=otimizou o algoritmo | valor=7467
linha=315 | nome=Daniela | acao=escreveu o relatorio | valor=8852
linha=316 | nome=Carlos | acao=otimizou o algoritmo | valor=4340
linha=317 | nome=Eduarda | acao=fez um experimento | valor=9988
linha=318 | nome=Otavio | acao=fez um experimento | valor=4674
linha=319 | nome=Carlos | acao=executou o benchmark | valor=3357
linha=320 | nome=Carlos | acao=participou da aula | valor=4594
linha=321 | nome=Bruno | acao=analisou os resultados | valor=9241
linha=322 | nome=Tiago | acao=comparou as metricas | valor=7643
linha=323 | nome=Natalia | acao=comparou as metricas | valor=6285
linha=324 | nome=Eduarda | acao=participou da aula | valor=5292
linha=325 | nome=Daniela | acao=participou da aula | valor=6088
linha=326 | nome=Tiago | acao=comparou as metricas | valor=4605
linha=327 | nome=Joao | acao=estudou computacao | valor=8629
linha=328 | nome=Igor | acao=escreveu o relatorio | valor=1897
linha=329 | nome=Ana | acao=otimizou o algoritmo | valor=9385
linha=330 | nome=Sofia | acao=analisou os resultados | valor=3558
linha=331 | nome=Felipe | acao=fez um experimento | valor=8382
linha=332 | nome=Renata | acao=otimizou o algoritmo | valor=7815
linha=333 | nome=Lucas | acao=executou o benchmark | valor=3765
linha=334 | nome=Gabriela | acao=participou da aula | valor=2466
linha=335 | nome=Gabriela | acao=participou da aula | valor=4710
linha=336 | nome=Lucas | acao=estudou computacao | valor=9276
linha=337 | nome=Mariana | acao=escreveu o relatorio | valor=9296
linha=338 | nome=Joao | acao=executou o benchmark | valor=1056
linha=339 | nome=Lucas | acao=executou o benchmark | valor=2895
linha=340 | nome=Otavio | acao=executou o benchmark | valor=2316
linha=341 | nome=Mariana | acao=participou da aula | valor=5153
linha=342 | nome=Daniela | acao=executou o benchmark | valor=5021
linha=343 | nome=Paulo | acao=otimizou o algoritmo | valor=3116
linha=344 | nome=Igor | acao=participou da aula | valor=6876
linha=345 | nome=Renata | acao=executou o benchmark | valor=5779
linha=346 | nome=Karen | acao=comparou as metricas | valor=6784
linha=347 | nome=Natalia | acao=escreveu o relatorio | valor=4760
linha=348 | nome=Felipe | acao=otimizou o algoritmo | valor=1316
linha=349 | nome=Karen | acao=participou da aula | valor=4047
linha=350 | nome=Vitor | acao=analisou os resultados | valor=2013
linha=351 | nome=Renata | acao=comparou as metricas | valor=9837
linha=352 | nome=Renata | acao=estudou computacao | valor=4442
linha=353 | nome=Paulo | acao=comparou as metricas | valor=5896
linha=354 | nome=Carlos | acao=participou da aula | valor=3454
linha=355 | nome=Sofia | acao=executou o benchmark | valor=4757
linha=356 | nome=Sofia | acao=executou o benchmark | valor=7865
linha=357 | nome=Felipe | acao=escreveu o relatorio | valor=8001
linha=358 | nome=Helena | acao=estudou computacao | valor=6499
linha=359 | nome=Mariana | acao=comparou as metricas | valor=3690
linha=360 | nome=Tiago | acao=otimizou o algoritmo | valor=4702
linha=361 | nome=Ana | acao=otimizou o algoritmo | valor=9155
linha=362 | nome=Lucas | acao=otimizou o algoritmo | valor=3985
linha=363 | nome=Felipe | acao=escreveu o relatorio | valor=6074
linha=364 | nome=Helena | acao=estudou computacao | valor=7950
linha=365 | nome=Lucas | acao=otimizou o algoritmo | valor=1588
linha=366 | nome=Igor | acao=estudou computacao | valor=8965
linha=367 | nome=Mariana | acao=estudou computacao | valor=2417
linha=368 | nome=Mariana | acao=executou o benchmark | valor=6510
linha=369 | nome=Sofia | acao=fez um experimento | valor=4785
linha=370 | nome=Vitor | acao=analisou os resultados | valor=8408
linha=371 | nome=Mariana | acao=comparou as metricas | valor=5226
linha=372 | nome=Paulo | acao=fez um experimento | valor=9430
linha=373 | nome=Bruno | acao=participou da aula | valor=3636
linha=374 | nome=Otavio | acao=estudou computacao | valor=8480
linha=375 | nome=Tiago | acao=fez um experimento | valor=9541
linha=376 | nome=Joao | acao=comparou as metricas | valor=4759
linha=377 | nome=Igor | acao=executou o benchmark | valor=8554
linha=378 | nome=Karen | acao=escreveu o relatorio | valor=6915
linha=379 | nome=Igor | acao=estudou computacao | valor=7416
linha=380 | nome=Karen | acao=estudou computacao | valor=9623
linha=381 | nome=Ana | acao=executou o benchmark | valor=7283
linha=382 | nome=Eduarda | acao=escreveu o relatorio | valor=2500
linha=383 | nome=Gabriela | acao=escreveu o relatorio | valor=5658
linha=384 | nome=Renata | acao=estudou computacao | valor=2036
linha=385 | nome=Felipe | acao=comparou as metricas | valor=1474
linha=386 | nome=Vitor | acao=executou o benchmark | valor=6305
linha=387 | nome=Helena | acao=otimizou o algoritmo | valor=1737
linha=388 | nome=Bruno | acao=estudou computacao | valor=9974
linha=389 | nome=Mariana | acao=comparou as metricas | valor=6935
linha=390 | nome=Karen | acao=fez um experimento | valor=3227
linha=391 | nome=Tiago | acao=fez um experimento | valor=4850
linha=392 | nome=Natalia | acao=otimizou o algoritmo | valor=9948
linha=393 | nome=Mariana | acao=analisou os resultados | valor=2893
linha=394 | nome=Sofia | acao=escreveu o relatorio | valor=2898
linha=395 | nome=Tiago | acao=participou da aula | valor=5540
linha=396 | nome=Renata | acao=otimizou o algoritmo | valor=3363
linha=397 | nome=Eduarda | acao=comparou as metricas | valor=7250
linha=398 | nome=Carlos | acao=executou o benchmark | valor=7087
linha=399 | nome=Natalia | acao=escreveu o relatorio | valor=7786
linha=400 | nome=Daniela | acao=fez um experimento | valor=6124
linha=401 | nome=Carlos | acao=executou o benchmark | valor=2915
linha=402 | nome=Vitor | acao=otimizou o algoritmo | valor=3047
linha=403 | nome=Otavio | acao=comparou as metricas | valor=8078
linha=404 | nome=Eduarda | acao=comparou as metricas | valor=1274
linha=405 | nome=Mariana | acao=comparou as metricas | valor=8015
linha=406 | nome=Tiago | acao=analisou os resultados | valor=5357
linha=407 | nome=Mariana | acao=otimizou o algoritmo | valor=4257
linha=408 | nome=Otavio | acao=otimizou o algoritmo | valor=8709
linha=409 | nome=Daniela | acao=participou da aula | valor=7952
linha=410 | nome=Bruno | acao=participou da aula | valor=2203
linha=411 | nome=Karen | acao=fez um experimento | valor=1723
linha=412 | nome=Ana | acao=otimizou o algoritmo | valor=4117
linha=413 | nome=Daniela | acao=analisou os resultados | valor=3443
linha=414 | nome=Lucas | acao=comparou as metricas | valor=3603
linha=415 | nome=Paulo | acao=comparou as metricas | valor=3790
linha=416 | nome=Lucas | acao=analisou os resultados | valor=3916
linha=417 | nome=Carlos | acao=comparou as metricas | valor=2682
linha=418 | nome=Tiago | acao=comparou as metricas | valor=8602
linha=419 | nome=Renata | acao=escreveu o relatorio | valor=4445
linha=420 | nome=Felipe | acao=otimizou o algoritmo | valor=1383
linha=421 | nome=Karen | acao=estudou computacao | valor=1392
linha=422 | nome=Igor | acao=fez um experimento | valor=2431
linha=423 | nome=Lucas | acao=fez um experimento | valor=7517
linha=424 | nome=Gabriela | acao=fez um experimento | valor=9437
linha=425 | nome=Natalia | acao=analisou os resultados | valor=7561
linha=426 | nome=Carlos | acao=fez um experimento | valor=5496
linha=427 | nome=Mariana | acao=escreveu o relatorio | valor=3963
linha=428 | nome=Igor | acao=participou da aula | valor=7505
linha=429 | nome=Lucas | acao=escreveu o relatorio | valor=3585
linha=430 | nome=Eduarda | acao=executou o benchmark | valor=6929
linha=431 | nome=Natalia | acao=escreveu o relatorio | valor=8567
linha=432 | nome=Daniela | acao=comparou as metricas | valor=2631
linha=433 | nome=Helena | acao=fez um experimento | valor=7753
linha=434 | nome=Felipe | acao=analisou os resultados | valor=5143
linha=435 | nome=Mariana | acao=fez um experimento | valor=4103
linha=436 | nome=Carlos | acao=analisou os resultados | valor=8428
linha=437 | nome=Eduarda | acao=otimizou o algoritmo | valor=9233
linha=438 | nome=Mariana | acao=estudou computacao | valor=4470
linha=439 | nome=Carlos | acao=escreveu o relatorio | valor=6115
linha=440 | nome=Mariana | acao=executou o benchmark | valor=8849
linha=441 | nome=Eduarda | acao=participou da aula | valor=6322
linha=442 | nome=Daniela | acao=estudou computacao | valor=8090
linha=443 | nome=Helena | acao=otimizou o algoritmo | valor=6000
linha=444 | nome=Sofia | acao=analisou os resultados | valor=7640
linha=445 | nome=Vitor | acao=analisou os resultados | valor=4051
linha=446 | nome=Sofia | acao=fez um experimento | valor=7567
linha=447 | nome=Otavio | acao=analisou os resultados | valor=2442
linha=448 | nome=Mariana | acao=analisou os resultados | valor=1333
linha=449 | nome=Lucas | acao=otimizou o algoritmo | valor=3038
linha=450 | nome=Carlos | acao=estudou computacao | valor=1030
linha=451 | nome=Vitor | acao=estudou computacao | valor=4924
