linha=1 | nome=Igor | acao=fez um experimento | valor=2511
linha=314 | nome=Renata | acao=participou da aula | valor=9629
linha=315 | nome=Mariana | acao=executou o benchmark | valor=9524
linha=316 | nome=Bruno | acao=otimizou o algoritmo | valor=7651
linha=317 | nome=Helena | acao=analisou os resultados | valor=6686
linha=318 | nome=Daniela | acao=escreveu o relatorio | valor=4996
linha=319 | nome=Bruno | acao=comparou as metricas | valor=3426
linha=320 | nome=Paulo | acao=analisou os resultados | valor=6802
linha=321 | nome=Renata | acao=analisou os resultados | valor=4659
linha=322 | nome=Tiago | acao=participou da aula | valor=8353
linha=323 | nome=Karen | acao=escreveu o relatorio | valor=2851
linha=324 | nome=Natalia | acao=comparou as metricas | valor=4306
linha=325 | nome=Natalia | acao=analisou os resultados | valor=9502
linha=326 | nome=Helena | acao=participou da aula | valor=7761
linha=327 | nome=Mariana | acao=estudou computacao | valor=6567
linha=328 | nome=Igor | acao=escreveu o relatorio | valor=7585
linha=329 | nome=Renata | acao=participou da aula | valor=2778
linha=330 | nome=Paulo | acao=analisou os resultados | valor=1308
linha=331 | nome=Helena | acao=participou da aula | valor=7469
linha=332 | nome=Helena | acao=escreveu o relatorio | valor=6511
linha=333 | nome=Lucas | acao=comparou as metricas | valor=7703
linha=334 | nome=Gabriela | acao=participou da aula | valor=8802
linha=335 | nome=Helena | acao=escreveu o relatorio | valor=8574
linha=336 | nome=Lucas | acao=executou o benchmark | valor=3512
linha=337 | nome=Helena | acao=comparou as metricas | valor=8929
linha=338 | nome=Joao | acao=fez um experimento | valor=1331
linha=339 | nome=Paulo | acao=analisou os resultados | valor=4655
linha=340 | nome=Eduarda | acao=comparou as metricas | valor=3144
linha=341 | nome=Bruno | acao=otimizou o algoritmo | valor=5077
linha=342 | nome=Mariana | acao=comparou as metricas | valor=7815
linha=343 | nome=Ana | acao=fez um experimento | valor=3566
linha=344 | nome=Daniela | acao=otimizou o algoritmo | valor=3827
linha=345 | nome=Eduarda | acao=estudou computacao | valor=9267
linha=346 | nome=Gabriela | acao=estudou computacao | valor=6510
linha=347 | nome=Igor | acao=participou da aula | valor=2310
linha=348 | nome=Vitor | acao=executou o benchmark | valor=4117
linha=349 | nome=Mariana | acao=otimizou o algoritmo | valor=1213
linha=350 | nome=Gabriela | acao=escreveu o relatorio | valor=3980
linha=351 | nome=Helena | acao=otimizou o algoritmo | valor=8486
linha=352 | nome=Paulo | acao=analisou os resultados | valor=4356
linha=353 | nome=Joao | acao=otimizou o algoritmo | valor=2190
linha=354 | nome=Mariana | acao=fez um experimento | valor=4213
linha=355 | nome=Paulo | acao=otimizou o algoritmo | valor=4884
linha=356 | nome=Daniela | acao=comparou as metricas | valor=1192
linha=357 | nome=Vitor | acao=executou o benchmark | valor=2519
linha=358 | nome=Eduarda | acao=participou da aula | valor=2033
linha=359 | nome=Igor | acao=participou da aula | valor=7416
linha=360 | nome=Karen | acao=analisou os resultados | valor=1204
linha=361 | nome=Natalia | acao=escreveu o relatorio | valor=3795
linha=362 | nome=Carlos | acao=comparou as metricas | valor=2500
linha=363 | nome=Otavio | acao=participou da aula | valor=4228
linha=364 | nome=Helena | acao=participou da aula | valor=9275
linha=365 | nome=Felipe | acao=analisou os resultados | valor=2947
linha=366 | nome=Vitor | acao=analisou os resultados | valor=1309
linha=367 | nome=Otavio | acao=fez um experimento | valor=1616
linha=368 | nome=Helena | acao=comparou as metricas | valor=8113
linha=369 | nome=Vitor | acao=fez um experimento | valor=7356
linha=370 | nome=Joao | acao=participou da aula | valor=7096
linha=371 | nome=Igor | acao=comparou as metricas | valor=1707
linha=372 | nome=Bruno | acao=estudou computacao | valor=6813
linha=373 | nome=Vitor | acao=otimizou o algoritmo | valor=5269
linha=374 | nome=Daniela | acao=participou da aula | valor=4921
linha=375 | nome=Eduarda | acao=executou o benchmark | valor=8828
linha=376 | nome=Gabriela | acao=fez um experimento | valor=4912
linha=377 | nome=Otavio | acao=estudou computacao | valor=4854
linha=378 | nome=Daniela | acao=fez um experimento | valor=9719
linha=379 | nome=Carlos | acao=participou da aula | valor=7607
linha=380 | nome=Renata | acao=estudou computacao | valor=2949
linha=381 | nome=Joao | acao=escreveu o relatorio | valor=6051
linha=382 | nome=Natalia | acao=analisou os resultados | valor=6971
linha=383 | nome=Igor | acao=estudou computacao | valor=2419
linha=384 | nome=Igor | acao=fez um experimento | valor=4309
linha=385 | nome=Eduarda | acao=estudou computacao | valor=9654
linha=386 | nome=Bruno | acao=comparou as metricas | valor=7195
linha=387 | nome=Gabriela | acao=estudou computacao | valor=1753
linha=388 | nome=Mariana | acao=analisou os resultados | valor=3695
linha=389 | nome=Mariana | acao=otimizou o algoritmo | valor=9031
linha=390 | nome=Paulo | acao=estudou computacao | valor=5787
linha=391 | nome=Karen | acao=analisou os resultados | valor=9082
linha=392 | nome=Paulo | acao=escreveu o relatorio | valor=7994
linha=393 | nome=Vitor | acao=executou o benchmark | valor=1845
linha=394 | nome=Tiago | acao=fez um experimento | valor=7138
linha=395 | nome=Mariana | acao=analisou os resultados | valor=4293
linha=396 | nome=Joao | acao=estudou computacao | valor=6213
linha=397 | nome=Daniela | acao=estudou computacao | valor=6530
linha=398 | nome=Paulo | acao=comparou as metricas | valor=4488
linha=399 | nome=Paulo | acao=comparou as metricas | valor=4892
linha=400 | nome=Vitor | acao=comparou as metricas | valor=8819
linha=401 | nome=Sofia | acao=participou da aula | valor=8747
linha=402 | nome=Renata | acao=executou o benchmark | valor=3426
linha=403 | nome=Lucas | acao=estudou computacao | valor=6040
linha=404 | nome=Helena | acao=analisou os resultados | valor=6262
linha=405 | nome=Otavio | acao=analisou os resultados | valor=6020
linha=406 | nome=Helena | acao=executou o benchmark | valor=6781
linha=407 | nome=Gabriela | acao=comparou as metricas | valor=1132
linha=408 | nome=Eduarda | acao=fez um experimento | valor=8875
linha=409 | nome=Vitor | acao=participou da aula | valor=2670
linha=410 | nome=Vitor | acao=fez um experimento | valor=6070
linha=411 | nome=Eduarda | acao=estudou computacao | valor=8038
linha=412 | nome=Eduarda | acao=comparou as metricas | valor=3276
linha=413 | nome=Ana | acao=analisou os resultados | valor=5045
linha=414 | nome=Lucas | acao=otimizou o algoritmo | valor=9788
linha=415 | nome=Felipe | acao=executou o benchmark | valor=7368
linha=416 | nome=Eduarda | acao=executou o benchmark | valor=6100
linha=417 | nome=Mariana | acao=comparou as metricas | valor=2373
linha=418 | nome=Felipe | acao=executou o benchmark | valor=2682
linha=419 | nome=Karen | acao=analisou os resultados | valor=1375
linha=420 | nome=Gabriela | acao=estudou computacao | valor=2030
linha=421 | nome=Helena | acao=comparou as metricas | valor=8680
linha=422 | nome=Joao | acao=otimizou o algoritmo | valor=9402
linha=423 | nome=Carlos | acao=estudou computacao | valor=4758
linha=424 | nome=Daniela | acao=analisou os resultados | valor=1975
linha=425 | nome=Tiago | acao=comparou as metricas | valor=8935
linha=426 | nome=Karen | acao=estudou computacao | valor=3827
linha=427 | nome=Mariana | acao=fez um experimento | valor=7548
linha=428 | nome=Mariana | acao=comparou as metricas | valor=2564
linha=429 | nome=Bruno | acao=participou da aula | valor=2837
linha=430 | nome=Renata | acao=otimizou o algoritmo | valor=3529
linha=431 | nome=Carlos | acao=estudou computacao | valor=1362
linha=432 | nome=Otavio | acao=analisou os resultados | valor=5935
linha=433 | nome=Gabriela | acao=otimizou o algoritmo | valor=4175
linha=434 | nome=Renata | acao=estudou computacao | valor=3589
linha=435 | nome=Gabriela | acao=escreveu o relatorio | valor=3771
linha=436 | nome=Mariana | acao=participou da aula | valor=3428
linha=437 | nome=Igor | acao=estudou computacao | valor=3468
linha=438 | nome=Eduarda | acao=escreveu o relatorio | valor=6223
linha=439 | nome=Carlos | acao=fez um experimento | valor=9894
linha=440 | nome=Sofia | acao=analisou os resultados | valor=9517
linha=441 | nome=Igor | acao=executou o benchmark | valor=9607
linha=442 | nome=Otavio | acao=executou o benchmark | valor=1657
linha=443 | nome=Paulo | acao=estudou computacao | valor=9823
linha=444 | nome=Vitor | acao=otimizou o algoritmo | valor=1890
linha=445 | nome=Vitor | acao=fez um experimento | valor=4258
linha=446 | nome=Mariana | acao=otimizou o algoritmo | valor=1252
linha=447 | nome=Lucas | acao=comparou as metricas | valor=7017
linha=448 | nome=Bruno | acao=executou o benchmark | valor=2826
linha=449 | nome=Mariana | acao=fez um experimento | valor=1508
linha=450 | nome=Ana | acao=participou da aula | valor=8527
linha=451 | nome=Ana | acao=fez um experimento | valor=5974
linha=452 | nome=Vitor | acao=escreveu o relatorio | valor=5692
