linha=1 | nome=Vitor | acao=escreveu o relatorio | valor=1160
linha=45 | nome=Vitor | acao=fez um experimento | valor=5025
linha=46 | nome=Lucas | acao=comparou as metricas | valor=6009
linha=47 | nome=Helena | acao=otimizou o algoritmo | valor=6782
linha=48 | nome=Paulo | acao=escreveu o relatorio | valor=2193
linha=49 | nome=Daniela | acao=analisou os resultados | valor=3891
linha=50 | nome=Vitor | acao=comparou as metricas | valor=5109
linha=51 | nome=Gabriela | acao=participou da aula | valor=3376
linha=52 | nome=Sofia | acao=comparou as metricas | valor=6009
linha=53 | nome=Sofia | acao=estudou computacao | valor=8434
linha=54 | nome=Ana | acao=analisou os resultados | valor=6478
linha=55 | nome=Gabriela | acao=participou da aula | valor=4427
linha=56 | nome=Tiago | acao=analisou os resultados | valor=6733
linha=57 | nome=Gabriela | acao=participou da aula | valor=8211
linha=58 | nome=Mariana | acao=fez um experimento | valor=1995
linha=59 | nome=Joao | acao=analisou os resultados | valor=8857
linha=60 | nome=Tiago | acao=analisou os resultados | valor=7077
linha=61 | nome=Tiago | acao=otimizou o algoritmo | valor=7919
linha=62 | nome=Gabriela | acao=executou o benchmark | valor=8437
linha=63 | nome=Eduarda | acao=otimizou o algoritmo | valor=1979
linha=64 | nome=Mariana | acao=executou o benchmark | valor=6702
linha=65 | nome=Natalia | acao=analisou os resultados | valor=7263
linha=66 | nome=Sofia | acao=otimizou o algoritmo | valor=8137
linha=67 | nome=Paulo | acao=analisou os resultados | valor=3945
linha=68 | nome=Otavio | acao=participou da aula | valor=5179
linha=69 | nome=Daniela | acao=escreveu o relatorio | valor=5476
linha=70 | nome=Igor | acao=otimizou o algoritmo | valor=3830
linha=71 | nome=Ana | acao=escreveu o relatorio | valor=9683
linha=72 | nome=Gabriela | acao=participou da aula | valor=3369
linha=73 | nome=Joao | acao=executou o benchmark | valor=1161
linha=74 | nome=Vitor | acao=otimizou o algoritmo | valor=9067
linha=75 | nome=Mariana | acao=otimizou o algoritmo | valor=5148
linha=76 | nome=Ana | acao=executou o benchmark | valor=5232
linha=77 | nome=Igor | acao=escreveu o relatorio | valor=4207
linha=78 | nome=Joao | acao=escreveu o relatorio | valor=2085
linha=79 | nome=Sofia | acao=participou da aula | valor=1279
linha=80 | nome=Carlos | acao=comparou as metricas | valor=7158
linha=81 | nome=Tiago | acao=participou da aula | valor=5521
linha=82 | nome=Felipe | acao=estudou computacao | valor=1341
linha=83 | nome=Tiago | acao=otimizou o algoritmo | valor=6563
linha=84 | nome=Daniela | acao=executou o benchmark | valor=3720
linha=85 | nome=Felipe | acao=analisou os resultados | valor=5672
linha=86 | nome=Daniela | acao=fez um experimento | valor=8343
linha=87 | nome=Natalia | acao=executou o benchmark | valor=4201
linha=88 | nome=Igor | acao=executou o benchmark | valor=4393
linha=89 | nome=Mariana | acao=executou o benchmark | valor=7607
linha=90 | nome=Joao | acao=otimizou o algoritmo | valor=4665
linha=91 | nome=Helena | acao=analisou os resultados | valor=3138
linha=92 | nome=Bruno | acao=executou o benchmark | valor=4014
linha=93 | nome=Renata | acao=comparou as metricas | valor=3489
linha=94 | nome=Helena | acao=analisou os resultados | valor=9175
linha=95 | nome=Bruno | acao=comparou as metricas | valor=3030
linha=96 | nome=Paulo | acao=executou o benchmark | valor=3459
linha=97 | nome=Igor | acao=comparou as metricas | valor=1079
linha=98 | nome=Mariana | acao=analisou os resultados | valor=6773
linha=99 | nome=Ana | acao=executou o benchmark | valor=9944
linha=100 | nome=Felipe | acao=participou da aula | valor=2650
linha=101 | nome=Natalia | acao=analisou os resultados | valor=9518
linha=102 | nome=Gabriela | acao=executou o benchmark | valor=1166
linha=103 | nome=Carlos | acao=executou o benchmark | valor=7229
linha=104 | nome=Paulo | acao=estudou computacao | valor=7009
linha=105 | nome=Lucas | acao=escreveu o relatorio | valor=6903
linha=106 | nome=Bruno | acao=otimizou o algoritmo | valor=4882
linha=107 | nome=Vitor | acao=participou da aula | valor=7556
linha=108 | nome=Karen | acao=analisou os resultados | valor=8512
linha=109 | nome=Vitor | acao=otimizou o algoritmo | valor=6390
linha=110 | nome=Felipe | acao=executou o benchmark | valor=6733
linha=111 | nome=Mariana | acao=analisou os resultados | valor=1511
linha=112 | nome=Vitor | acao=otimizou o algoritmo | valor=8133
linha=113 | nome=Tiago | acao=fez um experimento | valor=8974
linha=114 | nome=Igor | acao=otimizou o algoritmo | valor=5423
linha=115 | nome=Helena | acao=analisou os resultados | valor=1210
linha=116 | nome=Natalia | acao=escreveu o relatorio | valor=4395
linha=117 | nome=Ana | acao=analisou os resultados | valor=8359
linha=118 | nome=Igor | acao=estudou computacao | valor=4251
linha=119 | nome=Tiago | acao=participou da aula | valor=8578
linha=120 | nome=Natalia | acao=escreveu o relatorio | valor=8387
linha=121 | nome=Eduarda | acao=estudou computacao | valor=5230
linha=122 | nome=Igor | acao=escreveu o relatorio | valor=5571
linha=123 | nome=Bruno | acao=executou o benchmark | valor=9320
linha=124 | nome=Renata | acao=fez um experimento | valor=2015
linha=125 | nome=Ana | acao=fez um experimento | valor=4393
linha=126 | nome=Helena | acao=comparou as metricas | valor=5595
linha=127 | nome=Bruno | acao=participou da aula | valor=8836
linha=128 | nome=Gabriela | acao=otimizou o algoritmo | valor=1822
linha=129 | nome=Felipe | acao=estudou computacao | valor=6270
linha=130 | nome=Ana | acao=analisou os resultados | valor=2040
linha=131 | nome=Sofia | acao=fez um experimento | valor=7829
linha=132 | nome=Natalia | acao=estudou computacao | valor=9552
linha=133 | nome=Helena | acao=estudou computacao | valor=7088
linha=134 | nome=Igor | acao=fez um experimento | valor=5373
linha=135 | nome=Felipe | acao=estudou computacao | valor=4213
linha=136 | nome=Bruno | acao=participou da aula | valor=2583
linha=137 | nome=Vitor | acao=fez um experimento | valor=6617
linha=138 | nome=Natalia | acao=comparou as metricas | valor=4306
linha=139 | nome=Karen | acao=participou da aula | valor=1914
linha=140 | nome=Eduarda | acao=participou da aula | valor=5744
linha=141 | nome=Carlos | acao=escreveu o relatorio | valor=9670
linha=142 | nome=Helena | acao=participou da aula | valor=8297
linha=143 | nome=Ana | acao=otimizou o algoritmo | valor=9400
linha=144 | nome=Daniela | acao=otimizou o algoritmo | valor=4133
linha=145 | nome=Daniela | acao=comparou as metricas | valor=4028
linha=146 | nome=Tiago | acao=estudou computacao | valor=5085
linha=147 | nome=Ana | acao=escreveu o relatorio | valor=5115
linha=148 | nome=Helena | acao=fez um experimento | valor=4473
linha=149 | nome=Otavio | acao=otimizou o algoritmo | valor=6369
linha=150 | nome=Mariana | acao=analisou os resultados | valor=9977
linha=151 | nome=Gabriela | acao=estudou computacao | valor=9881
linha=152 | nome=Mariana | acao=comparou as metricas | valor=5838
linha=153 | nome=Helena | acao=fez um experimento | valor=4766
linha=154 | nome=Eduarda | acao=estudou computacao | valor=2499
linha=155 | nome=Vitor | acao=escreveu o relatorio | valor=7940
linha=156 | nome=Eduarda | acao=analisou os resultados | valor=4414
linha=157 | nome=Sofia | acao=participou da aula | valor=3641
linha=158 | nome=Vitor | acao=comparou as metricas | valor=6442
linha=159 | nome=Igor | acao=executou o benchmark | valor=7678
linha=160 | nome=Ana | acao=estudou computacao | valor=7604
linha=161 | nome=Vitor | acao=estudou computacao | valor=7271
linha=162 | nome=Tiago | acao=analisou os resultados | valor=3251
linha=163 | nome=Tiago | acao=escreveu o relatorio | valor=9566
linha=164 | nome=Gabriela | acao=analisou os resultados | valor=2901
linha=165 | nome=Karen | acao=fez um experimento | valor=2287
linha=166 | nome=Gabriela | acao=escreveu o relatorio | valor=3275
linha=167 | nome=Mariana | acao=analisou os resultados | valor=4958
linha=168 | nome=Eduarda | acao=estudou computacao | valor=8155
linha=169 | nome=Carlos | acao=fez um experimento | valor=6641
linha=170 | nome=Gabriela | acao=escreveu o relatorio | valor=6341
linha=171 | nome=Ana | acao=fez um experimento | valor=6416
linha=172 | nome=Gabriela | acao=otimizou o algoritmo | valor=9565
linha=173 | nome=Helena | acao=executou o benchmark | valor=3908
linha=174 | nome=Sofia | acao=executou o benchmark | valor=9586
linha=175 | nome=Renata | acao=estudou computacao | valor=6280
linha=176 | nome=Tiago | acao=executou o benchmark | valor=4008
linha=177 | nome=Otavio | acao=executou o benchmark | valor=9852
linha=178 | nome=Eduarda | acao=fez um experimento | valor=9676
linha=179 | nome=Paulo | acao=escreveu o relatorio | valor=6446
linha=180 | nome=Paulo | acao=fez um experimento | valor=7969
linha=181 | nome=Paulo | acao=analisou os resultados | valor=9425
linha=182 | nome=Igor | acao=executou o benchmark | valor=5966
linha=183 | nome=Renata | acao=fez um experimento | valor=6931
linha=184 | nome=Natalia | acao=comparou as metricas | valor=5375
linha=185 | nome=Sofia | acao=participou da aula | valor=2408
linha=186 | nome=Ana | acao=fez um experimento | valor=9594
linha=187 | nome=Bruno | acao=otimizou o algoritmo | valor=1135
linha=188 | nome=Vitor | acao=analisou os resultados | valor=9123
linha=189 | nome=Ana | acao=estudou computacao | valor=2097
linha=190 | nome=Mariana | acao=otimizou o algoritmo | valor=9814
linha=191 | nome=Gabriela | acao=comparou as metricas | valor=3773
linha=192 | nome=Vitor | acao=estudou computacao | valor=5066
linha=193 | nome=Ana | acao=otimizou o algoritmo | valor=3832
linha=194 | nome=Mariana | acao=estudou computacao | valor=2183
linha=195 | nome=Bruno | acao=executou o benchmark | valor=3696
linha=196 | nome=Bruno | acao=analisou os resultados | valor=1767
linha=197 | nome=Karen | acao=otimizou o algoritmo | valor=2382
linha=198 | nome=Igor | acao=escreveu o relatorio | valor=3928
linha=199 | nome=Ana | acao=otimizou o algoritmo | valor=9564
linha=200 | nome=Vitor | acao=otimizou o algoritmo | valor=6254
linha=201 | nome=Daniela | acao=fez um experimento | valor=3489
linha=202 | nome=Natalia | acao=comparou as metricas | valor=1042
linha=203 | nome=Igor | acao=fez um experimento | valor=8601
linha=204 | nome=Daniela | acao=participou da aula | valor=4308
linha=205 | nome=Natalia | acao=comparou as metricas | valor=1882
linha=206 | nome=Daniela | acao=escreveu o relatorio | valor=2931
linha=207 | nome=Felipe | acao=comparou as metricas | valor=3091
linha=208 | nome=Otavio | acao=comparou as metricas | valor=4611
linha=209 | nome=Joao | acao=executou o benchmark | valor=8717
linha=210 | nome=Sofia | acao=estudou computacao | valor=4150
linha=211 | nome=Bruno | acao=comparou as metricas | valor=8625
linha=212 | nome=Paulo | acao=otimizou o algoritmo | valor=6570
linha=213 | nome=Joao | acao=fez um experimento | valor=4090
linha=214 | nome=Vitor | acao=participou da aula | valor=1635
linha=215 | nome=Igor | acao=estudou computacao | valor=8644
linha=216 | nome=Carlos | acao=estudou computacao | valor=8404
linha=217 | nome=Igor | acao=otimizou o algoritmo | valor=9645
linha=218 | nome=Helena | acao=otimizou o algoritmo | valor=2378
linha=219 | nome=Felipe | acao=participou da aula | valor=7896
linha=220 | nome=Joao | acao=executou o benchmark | valor=9059
linha=221 | nome=Carlos | acao=participou da aula | valor=6692
linha=222 | nome=Lucas | acao=participou da aula | valor=6264
linha=223 | nome=Paulo | acao=escreveu o relatorio | valor=9648
linha=224 | nome=Tiago | acao=escreveu o relatorio | valor=2663
linha=225 | nome=Daniela | acao=otimizou o algoritmo | valor=5423
linha=226 | nome=Lucas | acao=fez um experimento | valor=7212
linha=227 | nome=Carlos | acao=estudou computacao | valor=5379
linha=228 | nome=Bruno | acao=participou da aula | valor=6433
linha=229 | nome=Ana | acao=executou o benchmark | valor=5738
linha=230 | nome=Karen | acao=fez um experimento | valor=1953
linha=231 | nome=Renata | acao=analisou os resultados | valor=7859
linha=232 | nome=Joao | acao=analisou os resultados | valor=4663
linha=233 | nome=Bruno | acao=fez um experimento | valor=1062
linha=234 | nome=Helena | acao=escreveu o relatorio | valor=7767
linha=235 | nome=Mariana | acao=fez um experimento | valor=7069
linha=236 | nome=Lucas | acao=executou o benchmark | valor=5211
linha=237 | nome=Gabriela | acao=estudou computacao | valor=1103
linha=238 | nome=Daniela | acao=comparou as metricas | valor=5527
linha=239 | nome=Sofia | acao=estudou computacao | valor=3363
linha=240 | nome=Paulo | acao=executou o benchmark | valor=8036
linha=241 | nome=Igor | acao=analisou os resultados | valor=8255
linha=242 | nome=Natalia | acao=estudou computacao | valor=4323
linha=243 | nome=Bruno | acao=executou o benchmark | valor=1285
linha=244 | nome=Igor | acao=otimizou o algoritmo | valor=7968
linha=245 | nome=Natalia | acao=estudou computacao | valor=9112
linha=246 | nome=Paulo | acao=analisou os resultados | valor=6264
linha=247 | nome=Gabriela | acao=participou da aula | valor=1639
linha=248 | nome=Mariana | acao=escreveu o relatorio | valor=3115
linha=249 | nome=Carlos | acao=comparou as metricas | valor=4325
linha=250 | nome=Ana | acao=participou da aula | valor=8520
linha=251 | nome=Daniela | acao=participou da aula | valor=9584
linha=252 | nome=Mariana | acao=escreveu o relatorio | valor=5414
linha=253 | nome=Lucas | acao=executou o benchmark | valor=3896
linha=254 | nome=Vitor | acao=participou da aula | valor=1278
linha=255 | nome=Eduarda | acao=comparou as metricas | valor=4319
linha=256 | nome=Gabriela | acao=otimizou o algoritmo | valor=3366
linha=257 | nome=Otavio | acao=escreveu o relatorio | valor=9104
linha=258 | nome=Vitor | acao=participou da aula | valor=3906
linha=259 | nome=Carlos | acao=estudou computacao | valor=7274
linha=260 | nome=Tiago | acao=escreveu o relatorio | valor=2150
linha=261 | nome=Vitor | acao=fez um experimento | valor=9332
linha=262 | nome=Daniela | acao=fez um experimento | valor=3486
linha=263 | nome=Eduarda | acao=executou o benchmark | valor=4925
linha=264 | nome=Gabriela | acao=participou da aula | valor=9756
linha=265 | nome=Natalia | acao=escreveu o relatorio | valor=1986
linha=266 | nome=Bruno | acao=otimizou o algoritmo | valor=8964
linha=267 | nome=Sofia | acao=fez um experimento | valor=8904
linha=268 | nome=Otavio | acao=participou da aula | valor=8861
linha=269 | nome=Otavio | acao=escreveu o relatorio | valor=7982
linha=270 | nome=Paulo | acao=estudou computacao | valor=5533
linha=271 | nome=Daniela | acao=otimizou o algoritmo | valor=2176
linha=272 | nome=Karen | acao=otimizou o algoritmo | valor=2090
linha=273 | nome=Igor | acao=fez um experimento | valor=8801
linha=274 | nome=Gabriela | acao=participou da aula | valor=5269
linha=275 | nome=Joao | acao=escreveu o relatorio | valor=4151
linha=276 | nome=Karen | acao=escreveu o relatorio | valor=8794
linha=277 | nome=Vitor | acao=executou o benchmark | valor=8057
linha=278 | nome=Otavio | acao=fez um experimento | valor=1527
linha=279 | nome=Gabriela | acao=estudou computacao | valor=7720
linha=280 | nome=Tiago | acao=executou o benchmark | valor=8309
linha=281 | nome=Tiago | acao=analisou os resultados | valor=6023
linha=282 | nome=Joao | acao=analisou os resultados | valor=7060
linha=283 | nome=Tiago | acao=otimizou o algoritmo | valor=6215
linha=284 | nome=Mariana | acao=escreveu o relatorio | valor=7529
linha=285 | nome=Karen | acao=escreveu o relatorio | valor=6127
linha=286 | nome=Igor | acao=comparou as metricas | valor=3421
linha=287 | nome=Paulo | acao=executou o benchmark | valor=3981
linha=288 | nome=Lucas | acao=participou da aula | valor=4676
linha=289 | nome=Igor | acao=estudou computacao | valor=5753
linha=290 | nome=Paulo | acao=analisou os resultados | valor=4450
linha=291 | nome=Bruno | acao=estudou computacao | valor=7042
linha=292 | nome=Gabriela | acao=analisou os resultados | valor=3631
linha=293 | nome=Gabriela | acao=fez um experimento | valor=6469
linha=294 | nome=Sofia | acao=fez um experimento | valor=2430
linha=295 | nome=Eduarda | acao=estudou computacao | valor=5516
linha=296 | nome=Joao | acao=analisou os resultados | valor=6436
linha=297 | nome=Igor | acao=fez um experimento | valor=1891
linha=298 | nome=Carlos | acao=escreveu o relatorio | valor=2930
linha=299 | nome=Lucas | acao=executou o benchmark | valor=7053
linha=300 | nome=Eduarda | acao=analisou os resultados | valor=4996
linha=301 | nome=Karen | acao=estudou computacao | valor=1961
linha=302 | nome=Carlos | acao=analisou os resultados | valor=7690
linha=303 | nome=Gabriela | acao=fez um experimento | valor=5650
linha=304 | nome=Carlos | acao=estudou computacao | valor=7062
linha=305 | nome=Vitor | acao=participou da aula | valor=2926
linha=306 | nome=Helena | acao=escreveu o relatorio | valor=4551
linha=307 | nome=Natalia | acao=escreveu o relatorio | valor=5374
linha=308 | nome=Otavio | acao=executou o benchmark | valor=4119
linha=309 | nome=Natalia | acao=comparou as metricas | valor=9700
linha=310 | nome=Gabriela | acao=executou o benchmark | valor=5530
linha=311 | nome=Eduarda | acao=comparou as metricas | valor=5261
linha=312 | nome=Otavio | acao=executou o benchmark | valor=3962
linha=313 | nome=Mariana | acao=escreveu o relatorio | valor=5876
linha=314 | nome=Otavio | acao=fez um experimento | valor=2081
linha=315 | nome=Igor | acao=comparou as metricas | valor=9253
linha=316 | nome=Helena | acao=estudou computacao | valor=3316
linha=317 | nome=Felipe | acao=escreveu o relatorio | valor=2642
linha=318 | nome=Natalia | acao=escreveu o relatorio | valor=4497
linha=319 | nome=Daniela | acao=escreveu o relatorio | valor=3792
linha=320 | nome=Bruno | acao=participou da aula | valor=3567
linha=321 | nome=Paulo | acao=otimizou o algoritmo | valor=4920
linha=322 | nome=Joao | acao=comparou as metricas | valor=6599
linha=323 | nome=Mariana | acao=analisou os resultados | valor=1509
linha=324 | nome=Daniela | acao=participou da aula | valor=8641
linha=325 | nome=Sofia | acao=participou da aula | valor=7975
linha=326 | nome=Ana | acao=participou da aula | valor=7197
linha=327 | nome=Tiago | acao=participou da aula | valor=9421
linha=328 | nome=Paulo | acao=participou da aula | valor=5800
linha=329 | nome=Helena | acao=estudou computacao | valor=9849
linha=330 | nome=Ana | acao=fez um experimento | valor=4262
linha=331 | nome=Carlos | acao=estudou computacao | valor=2866
linha=332 | nome=Natalia | acao=otimizou o algoritmo | valor=9332
linha=333 | nome=Ana | acao=estudou computacao | valor=5578
linha=334 | nome=Vitor | acao=escreveu o relatorio | valor=7941
linha=335 | nome=Joao | acao=otimizou o algoritmo | valor=6506
linha=336 | nome=Paulo | acao=participou da aula | valor=8032
linha=337 | nome=Felipe | acao=analisou os resultados | valor=2509
linha=338 | nome=Gabriela | acao=estudou computacao | valor=7104
linha=339 | nome=Ana | acao=escreveu o relatorio | valor=5746
linha=340 | nome=Sofia | acao=fez um experimento | valor=5134
linha=341 | nome=Otavio | acao=analisou os resultados | valor=1107
linha=342 | nome=Sofia | acao=comparou as metricas | valor=9972
linha=343 | nome=Paulo | acao=comparou as metricas | valor=7342
linha=344 | nome=Karen | acao=participou da aula | valor=9686
linha=345 | nome=Helena | acao=estudou computacao | valor=3087
linha=346 | nome=Lucas | acao=comparou as metricas | valor=5773
linha=347 | nome=Joao | acao=participou da aula | valor=4998
linha=348 | nome=Lucas | acao=escreveu o relatorio | valor=1226
linha=349 | nome=Gabriela | acao=participou da aula | valor=9230
linha=350 | nome=Daniela | acao=estudou computacao | valor=6037
linha=351 | nome=Tiago | acao=otimizou o algoritmo | valor=7915
linha=352 | nome=Ana | acao=comparou as metricas | valor=1889
linha=353 | nome=Felipe | acao=analisou os resultados | valor=3619
linha=354 | nome=Paulo | acao=otimizou o algoritmo | valor=9461
linha=355 | nome=Helena | acao=estudou computacao | valor=2863
linha=356 | nome=Otavio | acao=participou da aula | valor=6054
linha=357 | nome=Eduarda | acao=participou da aula | valor=5399
linha=358 | nome=Renata | acao=estudou computacao | valor=1948
linha=359 | nome=Helena | acao=participou da aula | valor=7123
linha=360 | nome=Renata | acao=comparou as metricas | valor=2804
linha=361 | nome=Ana | acao=escreveu o relatorio | valor=6366
linha=362 | nome=Mariana | acao=otimizou o algoritmo | valor=8387
linha=363 | nome=Mariana | acao=comparou as metricas | valor=3643
linha=364 | nome=Helena | acao=fez um experimento | valor=4827
linha=365 | nome=Carlos | acao=analisou os resultados | valor=2364
linha=366 | nome=Lucas | acao=analisou os resultados | valor=7603
linha=367 | nome=Renata | acao=executou o benchmark | valor=3897
linha=368 | nome=Gabriela | acao=estudou computacao | valor=8848
linha=369 | nome=Daniela | acao=fez um experimento | valor=7068
linha=370 | nome=Felipe | acao=otimizou o algoritmo | valor=5123
linha=371 | nome=Natalia | acao=analisou os resultados | valor=9129
linha=372 | nome=Ana | acao=escreveu o relatorio | valor=3264
linha=373 | nome=Bruno | acao=estudou computacao | valor=5031
linha=374 | nome=Felipe | acao=executou o benchmark | valor=1423
linha=375 | nome=Gabriela | acao=analisou os resultados | valor=6873
linha=376 | nome=Joao | acao=analisou os resultados | valor=7214
linha=377 | nome=Joao | acao=comparou as metricas | valor=3828
linha=378 | nome=Renata | acao=executou o benchmark | valor=5034
linha=379 | nome=Mariana | acao=participou da aula | valor=1849
linha=380 | nome=Eduarda | acao=executou o benchmark | valor=2798
linha=381 | nome=Joao | acao=escreveu o relatorio | valor=3989
linha=382 | nome=Paulo | acao=comparou as metricas | valor=4271
linha=383 | nome=Bruno | acao=executou o benchmark | valor=6182
linha=384 | nome=Daniela | acao=comparou as metricas | valor=2638
linha=385 | nome=Carlos | acao=estudou computacao | valor=4306
linha=386 | nome=Joao | acao=otimizou o algoritmo | valor=9908
linha=387 | nome=Bruno | acao=analisou os resultados | valor=1980
linha=388 | nome=Mariana | acao=escreveu o relatorio | valor=5797
linha=389 | nome=Daniela | acao=analisou os resultados | valor=6363
linha=390 | nome=Lucas | acao=escreveu o relatorio | valor=2909
linha=391 | nome=Joao | acao=fez um experimento | valor=6998
linha=392 | nome=Eduarda | acao=fez um experimento | valor=2831
linha=393 | nome=Joao | acao=comparou as metricas | valor=6185
linha=394 | nome=Natalia | acao=comparou as metricas | valor=3715
linha=395 | nome=Otavio | acao=comparou as metricas | valor=9678
linha=396 | nome=Daniela | acao=executou o benchmark | valor=5487
linha=397 | nome=Vitor | acao=comparou as metricas | valor=2665
linha=398 | nome=Igor | acao=escreveu o relatorio | valor=7300
linha=399 | nome=Igor | acao=comparou as metricas | valor=1139
linha=400 | nome=Karen | acao=escreveu o relatorio | valor=2979
linha=401 | nome=Karen | acao=otimizou o algoritmo | valor=6294
linha=402 | nome=Igor | acao=analisou os resultados | valor=6980
linha=403 | nome=Mariana | acao=participou da aula | valor=9523
linha=404 | nome=Felipe | acao=executou o benchmark | valor=4198
linha=405 | nome=Carlos | acao=otimizou o algoritmo | valor=3338
linha=406 | nome=Joao | acao=fez um experimento | valor=1874
linha=407 | nome=Daniela | acao=comparou as metricas | valor=1646
linha=408 | nome=Bruno | acao=comparou as metricas | valor=7655
linha=409 | nome=Mariana | acao=fez um experimento | valor=5048
linha=410 | nome=Carlos | acao=comparou as metricas | valor=5726
linha=411 | nome=Sofia | acao=estudou computacao | valor=9916
linha=412 | nome=Carlos | acao=analisou os resultados | valor=5808
linha=413 | nome=Bruno | acao=participou da aula | valor=5145
linha=414 | nome=Paulo | acao=comparou as metricas | valor=4439
linha=415 | nome=Paulo | acao=participou da aula | valor=1364
linha=416 | nome=Tiago | acao=otimizou o algoritmo | valor=7010
linha=417 | nome=Helena | acao=executou o benchmark | valor=7545
linha=418 | nome=Joao | acao=executou o benchmark | valor=1834
linha=419 | nome=Natalia | acao=participou da aula | valor=4946
linha=420 | nome=Natalia | acao=analisou os resultados | valor=7333
linha=421 | nome=Daniela | acao=otimizou o algoritmo | valor=8037
linha=422 | nome=Mariana | acao=participou da aula | valor=6117
linha=423 | nome=Ana | acao=otimizou o algoritmo | valor=7404
linha=424 | nome=Karen | acao=participou da aula | valor=7587
linha=425 | nome=Vitor | acao=comparou as metricas | valor=8835
linha=426 | nome=Otavio | acao=analisou os resultados | valor=6066
linha=427 | nome=Renata | acao=otimizou o algoritmo | valor=5921
linha=428 | nome=Eduarda | acao=comparou as metricas | valor=7436
linha=429 | nome=Karen | acao=fez um experimento | valor=7382
linha=430 | nome=Ana | acao=participou da aula | valor=7343
linha=431 | nome=Sofia | acao=escreveu o relatorio | valor=2046
linha=432 | nome=Otavio | acao=estudou computacao | valor=4421
linha=433 | nome=Tiago | acao=otimizou o algoritmo | valor=1348
linha=434 | nome=Daniela | acao=fez um experimento | valor=7739
linha=435 | nome=Mariana | acao=executou o benchmark | valor=3726
linha=436 | nome=Eduarda | acao=escreveu o relatorio | valor=7699
linha=437 | nome=Otavio | acao=executou o benchmark | valor=5525
linha=438 | nome=Vitor | acao=fez um experimento | valor=7140
linha=439 | nome=Sofia | acao=estudou computacao | valor=6797
linha=440 | nome=Karen | acao=escreveu o relatorio | valor=2772
linha=441 | nome=Karen | acao=comparou as metricas | valor=3282
linha=442 | nome=Igor | acao=otimizou o algoritmo | valor=8964
linha=443 | nome=Sofia | acao=otimizou o algoritmo | valor=6841
linha=444 | nome=Vitor | acao=estudou computacao | valor=8549
linha=445 | nome=Igor | acao=estudou computacao | valor=9671
linha=446 | nome=Gabriela | acao=comparou as metricas | valor=5643
linha=447 | nome=Helena | acao=participou da aula | valor=8694
linha=448 | nome=Eduarda | acao=fez um experimento | valor=6863
linha=449 | nome=Igor | acao=estudou computacao | valor=1791
linha=450 | nome=Bruno | acao=fez um experimento | valor=2135
