linha=1 | nome=Carlos | acao=escreveu o relatorio | valor=8227
linha=41 | nome=Paulo | acao=escreveu o relatorio | valor=5908
linha=42 | nome=Ana | acao=participou da aula | valor=3775
linha=43 | nome=Sofia | acao=participou da aula | valor=3794
linha=44 | nome=Paulo | acao=executou o benchmark | valor=6716
linha=45 | nome=Daniela | acao=comparou as metricas | valor=7068
linha=46 | nome=Igor | acao=analisou os resultados | valor=4561
linha=47 | nome=Felipe | acao=executou o benchmark | valor=8551
linha=48 | nome=Mariana | acao=estudou computacao | valor=5973
linha=49 | nome=Karen | acao=participou da aula | valor=7580
linha=50 | nome=Felipe | acao=otimizou o algoritmo | valor=5931
linha=51 | nome=Otavio | acao=otimizou o algoritmo | valor=9703
linha=52 | nome=Eduarda | acao=estudou computacao | valor=4301
linha=53 | nome=Igor | acao=escreveu o relatorio | valor=6598
linha=54 | nome=Felipe | acao=analisou os resultados | valor=6433
linha=55 | nome=Helena | acao=comparou as metricas | valor=9951
linha=56 | nome=Renata | acao=otimizou o algoritmo | valor=5866
linha=57 | nome=Eduarda | acao=otimizou o algoritmo | valor=7765
linha=58 | nome=Ana | acao=fez um experimento | valor=1504
linha=59 | nome=Tiago | acao=escreveu o relatorio | valor=4913
linha=60 | nome=Renata | acao=otimizou o algoritmo | valor=9018
linha=61 | nome=Daniela | acao=participou da aula | valor=2224
linha=62 | nome=Ana | acao=comparou as metricas | valor=1433
linha=63 | nome=Natalia | acao=comparou as metricas | valor=7798
linha=64 | nome=Joao | acao=fez um experimento | valor=4912
linha=65 | nome=Daniela | acao=analisou os resultados | valor=2596
linha=66 | nome=Tiago | acao=otimizou o algoritmo | valor=7161
linha=67 | nome=Vitor | acao=executou o benchmark | valor=7847
linha=68 | nome=Paulo | acao=fez um experimento | valor=2106
linha=69 | nome=Joao | acao=fez um experimento | valor=3825
linha=70 | nome=Igor | acao=comparou as metricas | valor=1506
linha=71 | nome=Sofia | acao=analisou os resultados | valor=4232
linha=72 | nome=Joao | acao=estudou computacao | valor=2679
linha=73 | nome=Joao | acao=participou da aula | valor=7128
linha=74 | nome=Igor | acao=comparou as metricas | valor=8933
linha=75 | nome=Lucas | acao=participou da aula | valor=3539
linha=76 | nome=Gabriela | acao=analisou os resultados | valor=9564
linha=77 | nome=Igor | acao=executou o benchmark | valor=4862
linha=78 | nome=Sofia | acao=participou da aula | valor=4422
linha=79 | nome=Ana | acao=estudou computacao | valor=9608
linha=80 | nome=Daniela | acao=comparou as metricas | valor=1211
linha=81 | nome=Helena | acao=estudou computacao | valor=2251
linha=82 | nome=Mariana | acao=participou da aula | valor=8844
linha=83 | nome=Eduarda | acao=fez um experimento | valor=5745
linha=84 | nome=Otavio | acao=estudou computacao | valor=2056
linha=85 | nome=Vitor | acao=analisou os resultados | valor=7292
linha=86 | nome=Tiago | acao=estudou computacao | valor=4523
linha=87 | nome=Igor | acao=analisou os resultados | valor=9131
linha=88 | nome=Carlos | acao=participou da aula | valor=5993
linha=89 | nome=Bruno | acao=executou o benchmark | valor=1792
linha=90 | nome=Mariana | acao=fez um experimento | valor=4624
linha=91 | nome=Sofia | acao=estudou computacao | valor=1886
linha=92 | nome=Mariana | acao=executou o benchmark | valor=2361
linha=93 | nome=Ana | acao=executou o benchmark | valor=4119
linha=94 | nome=Paulo | acao=executou o benchmark | valor=6448
linha=95 | nome=Tiago | acao=participou da aula | valor=5702
linha=96 | nome=Carlos | acao=fez um experimento | valor=4338
linha=97 | nome=Vitor | acao=estudou computacao | valor=6853
linha=98 | nome=Helena | acao=fez um experimento | valor=8629
linha=99 | nome=Renata | acao=analisou os resultados | valor=2811
linha=100 | nome=Karen | acao=otimizou o algoritmo | valor=6484
linha=101 | nome=Igor | acao=estudou computacao | valor=1164
linha=102 | nome=Lucas | acao=estudou computacao | valor=6973
linha=103 | nome=Renata | acao=estudou computacao | valor=1964
linha=104 | nome=Vitor | acao=comparou as metricas | valor=6390
linha=105 | nome=Daniela | acao=fez um experimento | valor=2968
linha=106 | nome=Helena | acao=otimizou o algoritmo | valor=9457
linha=107 | nome=Tiago | acao=otimizou o algoritmo | valor=9202
linha=108 | nome=Igor | acao=participou da aula | valor=6463
linha=109 | nome=Lucas | acao=fez um experimento | valor=1293
linha=110 | nome=Daniela | acao=fez um experimento | valor=2639
linha=111 | nome=Karen | acao=escreveu o relatorio | valor=4471
linha=112 | nome=Gabriela | acao=escreveu o relatorio | valor=4753
linha=113 | nome=Paulo | acao=otimizou o algoritmo | valor=5275
linha=114 | nome=Renata | acao=escreveu o relatorio | valor=6180
linha=115 | nome=Eduarda | acao=fez um experimento | valor=4893
linha=116 | nome=Eduarda | acao=participou da aula | valor=4451
linha=117 | nome=Carlos | acao=estudou computacao | valor=7690
linha=118 | nome=Igor | acao=analisou os resultados | valor=4521
linha=119 | nome=Natalia | acao=analisou os resultados | valor=5588
linha=120 | nome=Sofia | acao=estudou computacao | valor=6329
linha=121 | nome=Bruno | acao=fez um experimento | valor=2426
linha=122 | nome=Lucas | acao=estudou computacao | valor=1808
linha=123 | nome=Karen | acao=executou o benchmark | valor=2988
linha=124 | nome=Tiago | acao=estudou computacao | valor=3739
linha=125 | nome=Karen | acao=executou o benchmark | valor=1274
linha=126 | nome=Mariana | acao=comparou as metricas | valor=9797
linha=127 | nome=Felipe | acao=participou da aula | valor=9873
linha=128 | nome=Eduarda | acao=analisou os resultados | valor=2623
linha=129 | nome=Mariana | acao=otimizou o algoritmo | valor=6476
linha=130 | nome=Otavio | acao=otimizou o algoritmo | valor=8123
linha=131 | nome=Daniela | acao=estudou computacao | valor=3832
linha=132 | nome=Carlos | acao=participou da aula | valor=9558
linha=133 | nome=Karen | acao=fez um experimento | valor=2114
linha=134 | nome=Felipe | acao=otimizou o algoritmo | valor=4308
linha=135 | nome=Daniela | acao=escreveu o relatorio | valor=9290
linha=136 | nome=Natalia | acao=analisou os resultados | valor=9562
linha=137 | nome=Karen | acao=analisou os resultados | valor=4673
linha=138 | nome=Mariana | acao=escreveu o relatorio | valor=7079
linha=139 | nome=Renata | acao=participou da aula | valor=2015
linha=140 | nome=Igor | acao=analisou os resultados | valor=8270
linha=141 | nome=Eduarda | acao=fez um experimento | valor=3449
linha=142 | nome=Lucas | acao=participou da aula | valor=7153
linha=143 | nome=Daniela | acao=escreveu o relatorio | valor=3614
linha=144 | nome=Otavio | acao=executou o benchmark | valor=7920
linha=145 | nome=Ana | acao=escreveu o relatorio | valor=6444
linha=146 | nome=Joao | acao=executou o benchmark | valor=8161
linha=147 | nome=Ana | acao=estudou computacao | valor=3442
linha=148 | nome=Otavio | acao=participou da aula | valor=4383
linha=149 | nome=Mariana | acao=escreveu o relatorio | valor=2214
linha=150 | nome=Karen | acao=escreveu o relatorio | valor=9777
linha=151 | nome=Otavio | acao=fez um experimento | valor=6031
linha=152 | nome=Renata | acao=fez um experimento | valor=3441
linha=153 | nome=Karen | acao=fez um experimento | valor=4311
linha=154 | nome=Felipe | acao=executou o benchmark | valor=4284
linha=155 | nome=Bruno | acao=otimizou o algoritmo | valor=7823
linha=156 | nome=Gabriela | acao=analisou os resultados | valor=2554
linha=157 | nome=Natalia | acao=comparou as metricas | valor=3358
linha=158 | nome=Otavio | acao=analisou os resultados | valor=4357
linha=159 | nome=Mariana | acao=executou o benchmark | valor=3793
linha=160 | nome=Helena | acao=analisou os resultados | valor=9712
linha=161 | nome=Felipe | acao=estudou computacao | valor=4533
linha=162 | nome=Igor | acao=estudou computacao | valor=8570
linha=163 | nome=Natalia | acao=escreveu o relatorio | valor=7492
linha=164 | nome=Vitor | acao=otimizou o algoritmo | valor=8997
linha=165 | nome=Paulo | acao=fez um experimento | valor=7876
linha=166 | nome=Daniela | acao=otimizou o algoritmo | valor=8429
linha=167 | nome=Carlos | acao=participou da aula | valor=6228
linha=168 | nome=Gabriela | acao=escreveu o relatorio | valor=8584
linha=169 | nome=Lucas | acao=analisou os resultados | valor=7049
linha=170 | nome=Otavio | acao=estudou computacao | valor=7719
linha=171 | nome=Eduarda | acao=fez um experimento | valor=6380
linha=172 | nome=Daniela | acao=participou da aula | valor=2400
linha=173 | nome=Paulo | acao=comparou as metricas | valor=5211
linha=174 | nome=Mariana | acao=escreveu o relatorio | valor=3737
linha=175 | nome=Igor | acao=otimizou o algoritmo | valor=7962
linha=176 | nome=Gabriela | acao=estudou computacao | valor=9719
linha=177 | nome=Bruno | acao=fez um experimento | valor=8606
linha=178 | nome=Felipe | acao=otimizou o algoritmo | valor=4631
linha=179 | nome=Carlos | acao=executou o benchmark | valor=7434
linha=180 | nome=Felipe | acao=otimizou o algoritmo | valor=8246
linha=181 | nome=Sofia | acao=comparou as metricas | valor=9745
linha=182 | nome=Eduarda | acao=comparou as metricas | valor=1091
linha=183 | nome=Helena | acao=analisou os resultados | valor=3049
linha=184 | nome=Daniela | acao=escreveu o relatorio | valor=7115
linha=185 | nome=Ana | acao=analisou os resultados | valor=8052
linha=186 | nome=Mariana | acao=analisou os resultados | valor=6556
linha=187 | nome=Igor | acao=comparou as metricas | valor=4010
linha=188 | nome=Daniela | acao=otimizou o algoritmo | valor=7547
linha=189 | nome=Carlos | acao=comparou as metricas | valor=1710
linha=190 | nome=Felipe | acao=estudou computacao | valor=3793
linha=191 | nome=Sofia | acao=estudou computacao | valor=2942
linha=192 | nome=Natalia | acao=comparou as metricas | valor=9941
linha=193 | nome=Gabriela | acao=otimizou o algoritmo | valor=8388
linha=194 | nome=Renata | acao=comparou as metricas | valor=2325
linha=195 | nome=Helena | acao=analisou os resultados | valor=6412
linha=196 | nome=Ana | acao=comparou as metricas | valor=9116
linha=197 | nome=Joao | acao=fez um experimento | valor=8516
linha=198 | nome=Vitor | acao=fez um experimento | valor=3896
linha=199 | nome=Felipe | acao=otimizou o algoritmo | valor=4993
linha=200 | nome=Renata | acao=estudou computacao | valor=8512
linha=201 | nome=Joao | acao=analisou os resultados | valor=8760
linha=202 | nome=Igor | acao=estudou computacao | valor=4279
linha=203 | nome=Gabriela | acao=analisou os resultados | valor=6330
linha=204 | nome=Gabriela | acao=executou o benchmark | valor=9986
linha=205 | nome=Paulo | acao=participou da aula | valor=2439
linha=206 | nome=Felipe | acao=fez um experimento | valor=7345
linha=207 | nome=Joao | acao=estudou computacao | valor=4469
linha=208 | nome=Daniela | acao=comparou as metricas | valor=8034
linha=209 | nome=Bruno | acao=otimizou o algoritmo | valor=4902
linha=210 | nome=Mariana | acao=fez um experimento | valor=8305
linha=211 | nome=Otavio | acao=fez um experimento | valor=9081
linha=212 | nome=Carlos | acao=fez um experimento | valor=4287
linha=213 | nome=Helena | acao=analisou os resultados | valor=3475
linha=214 | nome=Mariana | acao=escreveu o relatorio | valor=7151
linha=215 | nome=Helena | acao=comparou as metricas | valor=4825
linha=216 | nome=Vitor | acao=analisou os resultados | valor=7174
linha=217 | nome=Paulo | acao=escreveu o relatorio | valor=6264
linha=218 | nome=Ana | acao=analisou os resultados | valor=9100
linha=219 | nome=Gabriela | acao=participou da aula | valor=7094
linha=220 | nome=Paulo | acao=escreveu o relatorio | valor=4699
linha=221 | nome=Tiago | acao=escreveu o relatorio | valor=2174
linha=222 | nome=Renata | acao=otimizou o algoritmo | valor=3210
linha=223 | nome=Otavio | acao=comparou as metricas | valor=8963
linha=224 | nome=Natalia | acao=escreveu o relatorio | valor=7067
linha=225 | nome=Daniela | acao=estudou computacao | valor=7555
linha=226 | nome=Tiago | acao=escreveu o relatorio | valor=1508
linha=227 | nome=Natalia | acao=analisou os resultados | valor=6007
linha=228 | nome=Eduarda | acao=estudou computacao | valor=7481
linha=229 | nome=Lucas | acao=comparou as metricas | valor=3432
linha=230 | nome=Mariana | acao=fez um experimento | valor=2887
linha=231 | nome=Felipe | acao=executou o benchmark | valor=1779
linha=232 | nome=Vitor | acao=participou da aula | valor=2688
linha=233 | nome=Karen | acao=fez um experimento | valor=5839
linha=234 | nome=Joao | acao=executou o benchmark | valor=5815
linha=235 | nome=Karen | acao=participou da aula | valor=9298
linha=236 | nome=Joao | acao=analisou os resultados | valor=3404
linha=237 | nome=Gabriela | acao=executou o benchmark | valor=6193
linha=238 | nome=Tiago | acao=participou da aula | valor=7040
linha=239 | nome=Sofia | acao=fez um experimento | valor=6006
linha=240 | nome=Otavio | acao=escreveu o relatorio | valor=6270
linha=241 | nome=Natalia | acao=fez um experimento | valor=4274
linha=242 | nome=Felipe | acao=otimizou o algoritmo | valor=3397
linha=243 | nome=Vitor | acao=escreveu o relatorio | valor=2718
linha=244 | nome=Tiago | acao=estudou computacao | valor=1489
linha=245 | nome=Renata | acao=executou o benchmark | valor=9776
linha=246 | nome=Paulo | acao=estudou computacao | valor=3424
linha=247 | nome=Igor | acao=otimizou o algoritmo | valor=3460
linha=248 | nome=Lucas | acao=participou da aula | valor=3699
linha=249 | nome=Daniela | acao=participou da aula | valor=1881
linha=250 | nome=Natalia | acao=otimizou o algoritmo | valor=4423
linha=251 | nome=Natalia | acao=estudou computacao | valor=1188
linha=252 | nome=Karen | acao=analisou os resultados | valor=3090
linha=253 | nome=Felipe | acao=escreveu o relatorio | valor=7667
linha=254 | nome=Otavio | acao=fez um experimento | valor=8030
linha=255 | nome=Karen | acao=escreveu o relatorio | valor=9960
linha=256 | nome=Vitor | acao=comparou as metricas | valor=1717
linha=257 | nome=Daniela | acao=participou da aula | valor=7061
linha=258 | nome=Mariana | acao=analisou os resultados | valor=5052
linha=259 | nome=Mariana | acao=otimizou o algoritmo | valor=1881
linha=260 | nome=Gabriela | acao=fez um experimento | valor=8555
linha=261 | nome=Lucas | acao=fez um experimento | valor=4034
linha=262 | nome=Otavio | acao=participou da aula | valor=9578
linha=263 | nome=Natalia | acao=estudou computacao | valor=8692
linha=264 | nome=Bruno | acao=executou o benchmark | valor=8511
linha=265 | nome=Natalia | acao=estudou computacao | valor=7588
linha=266 | nome=Lucas | acao=otimizou o algoritmo | valor=8256
linha=267 | nome=Felipe | acao=participou da aula | valor=6901
linha=268 | nome=Eduarda | acao=fez um experimento | valor=4024
linha=269 | nome=Gabriela | acao=fez um experimento | valor=3476
linha=270 | nome=Daniela | acao=estudou computacao | valor=2494
linha=271 | nome=Vitor | acao=fez um experimento | valor=3504
linha=272 | nome=Bruno | acao=estudou computacao | valor=8257
linha=273 | nome=Vitor | acao=analisou os resultados | valor=6809
linha=274 | nome=Karen | acao=otimizou o algoritmo | valor=2498
linha=275 | nome=Gabriela | acao=escreveu o relatorio | valor=6462
linha=276 | nome=Gabriela | acao=participou da aula | valor=5357
linha=277 | nome=Daniela | acao=fez um experimento | valor=2066
linha=278 | nome=Daniela | acao=escreveu o relatorio | valor=1363
linha=279 | nome=Mariana | acao=comparou as metricas | valor=4138
linha=280 | nome=Gabriela | acao=escreveu o relatorio | valor=2229
linha=281 | nome=Ana | acao=escreveu o relatorio | valor=2501
linha=282 | nome=Felipe | acao=fez um experimento | valor=1918
linha=283 | nome=Renata | acao=analisou os resultados | valor=1741
linha=284 | nome=Joao | acao=fez um experimento | valor=9645
linha=285 | nome=Eduarda | acao=participou da aula | valor=3317
linha=286 | nome=Tiago | acao=fez um experimento | valor=6157
linha=287 | nome=Otavio | acao=fez um experimento | valor=3426
linha=288 | nome=Igor | acao=otimizou o algoritmo | valor=9060
linha=289 | nome=Lucas | acao=fez um experimento | valor=5386
linha=290 | nome=Mariana | acao=participou da aula | valor=1645
linha=291 | nome=Renata | acao=otimizou o algoritmo | valor=6770
linha=292 | nome=Paulo | acao=fez um experimento | valor=9211
linha=293 | nome=Karen | acao=fez um experimento | valor=9922
linha=294 | nome=Renata | acao=fez um experimento | valor=5371
linha=295 | nome=Sofia | acao=estudou computacao | valor=8496
linha=296 | nome=Igor | acao=otimizou o algoritmo | valor=4167
linha=297 | nome=Tiago | acao=escreveu o relatorio | valor=5961
linha=298 | nome=Igor | acao=participou da aula | valor=5267
linha=299 | nome=Karen | acao=analisou os resultados | valor=1986
linha=300 | nome=Bruno | acao=otimizou o algoritmo | valor=5009
linha=301 | nome=Gabriela | acao=analisou os resultados | valor=3541
linha=302 | nome=Paulo | acao=fez um experimento | valor=7350
linha=303 | nome=Tiago | acao=comparou as metricas | valor=6624
linha=304 | nome=Igor | acao=comparou as metricas | valor=4730
linha=305 | nome=Vitor | acao=fez um experimento | valor=4307
linha=306 | nome=Mariana | acao=estudou computacao | valor=6551
linha=307 | nome=Carlos | acao=executou o benchmark | valor=6120
linha=308 | nome=Helena | acao=fez um experimento | valor=9594
linha=309 | nome=Gabriela | acao=analisou os resultados | valor=4147
linha=310 | nome=Felipe | acao=executou o benchmark | valor=6342
linha=311 | nome=Daniela | acao=analisou os resultados | valor=7008
linha=312 | nome=Bruno | acao=participou da aula | valor=4083
linha=313 | nome=Paulo | acao=analisou os resultados | valor=9171
linha=314 | nome=Carlos | acao=analisou os resultados | valor=3297
linha=315 | nome=Gabriela | acao=executou o benchmark | valor=8346
linha=316 | nome=Tiago | acao=analisou os resultados | valor=4083
linha=317 | nome=Helena | acao=analisou os resultados | valor=5208
linha=318 | nome=Lucas | acao=analisou os resultados | valor=8818
linha=319 | nome=Karen | acao=estudou computacao | valor=2379
linha=320 | nome=Paulo | acao=comparou as metricas | valor=5646
linha=321 | nome=Eduarda | acao=escreveu o relatorio | valor=2963
linha=322 | nome=Mariana | acao=comparou as metricas | valor=8674
linha=323 | nome=Natalia | acao=executou o benchmark | valor=6186
linha=324 | nome=Igor | acao=escreveu o relatorio | valor=5282
linha=325 | nome=Eduarda | acao=otimizou o algoritmo | valor=5948
linha=326 | nome=Natalia | acao=estudou computacao | valor=4932
linha=327 | nome=Igor | acao=escreveu o relatorio | valor=7338
linha=328 | nome=Vitor | acao=otimizou o algoritmo | valor=3614
linha=329 | nome=Eduarda | acao=comparou as metricas | valor=1941
linha=330 | nome=Ana | acao=executou o benchmark | valor=6004
linha=331 | nome=Felipe | acao=comparou as metricas | valor=8116
linha=332 | nome=Joao | acao=participou da aula | valor=1787
linha=333 | nome=Daniela | acao=otimizou o algoritmo | valor=4197
linha=334 | nome=Otavio | acao=otimizou o algoritmo | valor=2567
linha=335 | nome=Gabriela | acao=escreveu o relatorio | valor=7340
linha=336 | nome=Joao | acao=comparou as metricas | valor=9387
linha=337 | nome=Renata | acao=fez um experimento | valor=2951
linha=338 | nome=Natalia | acao=analisou os resultados | valor=7029
linha=339 | nome=Ana | acao=analisou os resultados | valor=1526
linha=340 | nome=Karen | acao=executou o benchmark | valor=2255
linha=341 | nome=Igor | acao=estudou computacao | valor=1558
linha=342 | nome=Igor | acao=escreveu o relatorio | valor=3786
linha=343 | nome=Sofia | acao=fez um experimento | valor=8971
linha=344 | nome=Renata | acao=escreveu o relatorio | valor=4770
linha=345 | nome=Natalia | acao=participou da aula | valor=5559
linha=346 | nome=Daniela | acao=participou da aula | valor=3307
linha=347 | nome=Lucas | acao=fez um experimento | valor=3438
linha=348 | nome=Gabriela | acao=escreveu o relatorio | valor=5772
linha=349 | nome=Eduarda | acao=otimizou o algoritmo | valor=9538
linha=350 | nome=Paulo | acao=fez um experimento | valor=6508
linha=351 | nome=Karen | acao=fez um experimento | valor=9189
linha=352 | nome=Bruno | acao=analisou os resultados | valor=6530
linha=353 | nome=Tiago | acao=estudou computacao | valor=5278
linha=354 | nome=Carlos | acao=estudou computacao | valor=8438
linha=355 | nome=Otavio | acao=analisou os resultados | valor=2838
linha=356 | nome=Felipe | acao=analisou os resultados | valor=1601
linha=357 | nome=Lucas | acao=escreveu o relatorio | valor=1032
linha=358 | nome=Helena | acao=comparou as metricas | valor=1447
linha=359 | nome=Karen | acao=escreveu o relatorio | valor=1144
linha=360 | nome=Sofia | acao=analisou os resultados | valor=9626
linha=361 | nome=Vitor | acao=otimizou o algoritmo | valor=7256
linha=362 | nome=Daniela | acao=fez um experimento | valor=2187
linha=363 | nome=Natalia | acao=analisou os resultados | valor=3235
linha=364 | nome=Daniela | acao=fez um experimento | valor=5081
linha=365 | nome=Karen | acao=otimizou o algoritmo | valor=3497
linha=366 | nome=Lucas | acao=comparou as metricas | valor=6854
linha=367 | nome=Lucas | acao=escreveu o relatorio | valor=8997
linha=368 | nome=Tiago | acao=analisou os resultados | valor=6310
linha=369 | nome=Daniela | acao=participou da aula | valor=1362
linha=370 | nome=Daniela | acao=otimizou o algoritmo | valor=5605
linha=371 | nome=Helena | acao=executou o benchmark | valor=2185
linha=372 | nome=Paulo | acao=comparou as metricas | valor=9149
linha=373 | nome=Joao | acao=escreveu o relatorio | valor=8533
linha=374 | nome=Karen | acao=comparou as metricas | valor=7753
linha=375 | nome=Felipe | acao=escreveu o relatorio | valor=3221
linha=376 | nome=Lucas | acao=escreveu o relatorio | valor=7001
linha=377 | nome=Carlos | acao=analisou os resultados | valor=6739
linha=378 | nome=Bruno | acao=estudou computacao | valor=9971
linha=379 | nome=Tiago | acao=estudou computacao | valor=6344
linha=380 | nome=Mariana | acao=analisou os resultados | valor=8220
linha=381 | nome=Tiago | acao=fez um experimento | valor=1729
linha=382 | nome=Gabriela | acao=otimizou o algoritmo | valor=4904
linha=383 | nome=Lucas | acao=participou da aula | valor=2420
linha=384 | nome=Tiago | acao=otimizou o algoritmo | valor=7118
linha=385 | nome=Otavio | acao=analisou os resultados | valor=3828
linha=386 | nome=Felipe | acao=estudou computacao | valor=9613
linha=387 | nome=Helena | acao=executou o benchmark | valor=7839
linha=388 | nome=Gabriela | acao=executou o benchmark | valor=1576
linha=389 | nome=Igor | acao=estudou computacao | valor=1592
linha=390 | nome=Joao | acao=analisou os resultados | valor=3352
linha=391 | nome=Mariana | acao=executou o benchmark | valor=2404
linha=392 | nome=Mariana | acao=fez um experimento | valor=2510
linha=393 | nome=Daniela | acao=analisou os resultados | valor=7055
linha=394 | nome=Helena | acao=executou o benchmark | valor=2389
linha=395 | nome=Felipe | acao=analisou os resultados | valor=6200
linha=396 | nome=Natalia | acao=comparou as metricas | valor=4918
linha=397 | nome=Carlos | acao=comparou as metricas | valor=6970
linha=398 | nome=Igor | acao=fez um experimento | valor=9758
linha=399 | nome=Daniela | acao=executou o benchmark | valor=2529
linha=400 | nome=Bruno | acao=executou o benchmark | valor=1459
linha=401 | nome=Tiago | acao=executou o benchmark | valor=7868
linha=402 | nome=Carlos | acao=escreveu o relatorio | valor=9589
linha=403 | nome=Joao | acao=estudou computacao | valor=5828
linha=404 | nome=Bruno | acao=analisou os resultados | valor=4471
linha=405 | nome=Joao | acao=otimizou o algoritmo | valor=4340
linha=406 | nome=Vitor | acao=executou o benchmark | valor=6287
linha=407 | nome=Helena | acao=escreveu o relatorio | valor=8474
linha=408 | nome=Mariana | acao=otimizou o algoritmo | valor=8987
linha=409 | nome=Ana | acao=comparou as metricas | valor=8686
linha=410 | nome=Felipe | acao=escreveu o relatorio | valor=7277
linha=411 | nome=Bruno | acao=otimizou o algoritmo | valor=4796
linha=412 | nome=Igor | acao=participou da aula | valor=8406
linha=413 | nome=Igor | acao=comparou as metricas | valor=9750
linha=414 | nome=Eduarda | acao=escreveu o relatorio | valor=9954
linha=415 | nome=Felipe | acao=estudou computacao | valor=8719
linha=416 | nome=Otavio | acao=estudou computacao | valor=9264
linha=417 | nome=Helena | acao=analisou os resultados | valor=4589
linha=418 | nome=Helena | acao=escreveu o relatorio | valor=9675
linha=419 | nome=Mariana | acao=executou o benchmark | valor=8499
linha=420 | nome=Renata | acao=fez um experimento | valor=9710
linha=421 | nome=Felipe | acao=participou da aula | valor=4691
linha=422 | nome=Joao | acao=otimizou o algoritmo | valor=1409
linha=423 | nome=Vitor | acao=comparou as metricas | valor=3606
linha=424 | nome=Mariana | acao=participou da aula | valor=5575
linha=425 | nome=Paulo | acao=estudou computacao | valor=7800
linha=426 | nome=Felipe | acao=analisou os resultados | valor=9994
linha=427 | nome=Sofia | acao=comparou as metricas | valor=6912
linha=428 | nome=Karen | acao=escreveu o relatorio | valor=1971
linha=429 | nome=Daniela | acao=fez um experimento | valor=9480
linha=430 | nome=Igor | acao=fez um experimento | valor=4399
linha=431 | nome=Helena | acao=analisou os resultados | valor=2051
linha=432 | nome=Carlos | acao=analisou os resultados | valor=1148
linha=433 | nome=Felipe | acao=executou o benchmark | valor=1755
linha=434 | nome=Igor | acao=estudou computacao | valor=8664
linha=435 | nome=Sofia | acao=participou da aula | valor=3881
linha=436 | nome=Lucas | acao=estudou computacao | valor=3709
linha=437 | nome=Carlos | acao=fez um experimento | valor=4902
linha=438 | nome=Otavio | acao=comparou as metricas | valor=7002
linha=439 | nome=Joao | acao=comparou as metricas | valor=4465
linha=440 | nome=Eduarda | acao=escreveu o relatorio | valor=7704
linha=441 | nome=Ana | acao=fez um experimento | valor=8353
linha=442 | nome=Sofia | acao=analisou os resultados | valor=1465
linha=443 | nome=Felipe | acao=escreveu o relatorio | valor=7183
linha=444 | nome=Bruno | acao=otimizou o algoritmo | valor=8333
linha=445 | nome=Lucas | acao=otimizou o algoritmo | valor=1430
linha=446 | nome=Carlos | acao=analisou os resultados | valor=4457
linha=447 | nome=Otavio | acao=otimizou o algoritmo | valor=6231
linha=448 | nome=Tiago | acao=participou da aula | valor=8413
linha=449 | nome=Paulo | acao=executou o benchmark | valor=7218
linha=450 | nome=Sofia | acao=estudou computacao | valor=3639
linha=451 | nome=Renata | acao=escreveu o relatorio | valor=5565
