linha=1 | nome=Sofia | acao=fez um experimento | valor=8873
linha=84 | nome=Joao | acao=fez um experimento | valor=8611
linha=85 | nome=Mariana | acao=escreveu o relatorio | valor=1780
linha=86 | nome=Karen | acao=comparou as metricas | valor=4391
linha=87 | nome=Natalia | acao=comparou as metricas | valor=1885
linha=88 | nome=Renata | acao=otimizou o algoritmo | valor=8136
linha=89 | nome=Ana | acao=participou da aula | valor=9870
linha=90 | nome=Vitor | acao=fez um experimento | valor=1369
linha=91 | nome=Natalia | acao=participou da aula | valor=1343
linha=92 | nome=Tiago | acao=fez um experimento | valor=6489
linha=93 | nome=Karen | acao=comparou as metricas | valor=5050
linha=94 | nome=Felipe | acao=otimizou o algoritmo | valor=1959
linha=95 | nome=Tiago | acao=fez um experimento | valor=2465
linha=96 | nome=Sofia | acao=escreveu o relatorio | valor=7150
linha=97 | nome=Karen | acao=fez um experimento | valor=3787
linha=98 | nome=Paulo | acao=escreveu o relatorio | valor=6410
linha=99 | nome=Igor | acao=otimizou o algoritmo | valor=2448
linha=100 | nome=Carlos | acao=estudou computacao | valor=1698
linha=101 | nome=Felipe | acao=escreveu o relatorio | valor=4161
linha=102 | nome=Paulo | acao=estudou computacao | valor=9045
linha=103 | nome=Bruno | acao=escreveu o relatorio | valor=4875
linha=104 | nome=Bruno | acao=fez um experimento | valor=7697
linha=105 | nome=Karen | acao=estudou computacao | valor=9359
linha=106 | nome=Sofia | acao=comparou as metricas | valor=1136
linha=107 | nome=Bruno | acao=comparou as metricas | valor=8570
linha=108 | nome=Renata | acao=fez um experimento | valor=3862
linha=109 | nome=Paulo | acao=executou o benchmark | valor=3097
linha=110 | nome=Gabriela | acao=fez um experimento | valor=1922
linha=111 | nome=Carlos | acao=comparou as metricas | valor=3747
linha=112 | nome=Bruno | acao=otimizou o algoritmo | valor=3221
linha=113 | nome=Igor | acao=participou da aula | valor=1539
linha=114 | nome=Tiago | acao=comparou as metricas | valor=3329
linha=115 | nome=Ana | acao=comparou as metricas | valor=3735
linha=116 | nome=Natalia | acao=otimizou o algoritmo | valor=8385
linha=117 | nome=Mariana | acao=escreveu o relatorio | valor=3940
linha=118 | nome=Felipe | acao=participou da aula | valor=3905
linha=119 | nome=Gabriela | acao=analisou os resultados | valor=7602
linha=120 | nome=Helena | acao=escreveu o relatorio | valor=7219
linha=121 | nome=Eduarda | acao=analisou os resultados | valor=7555
linha=122 | nome=Mariana | acao=comparou as metricas | valor=5942
linha=123 | nome=Paulo | acao=comparou as metricas | valor=1399
linha=124 | nome=Lucas | acao=fez um experimento | valor=3192
linha=125 | nome=Gabriela | acao=comparou as metricas | valor=3385
linha=126 | nome=Mariana | acao=escreveu o relatorio | valor=7799
linha=127 | nome=Helena | acao=estudou computacao | valor=7859
linha=128 | nome=Ana | acao=participou da aula | valor=7038
linha=129 | nome=Renata | acao=analisou os resultados | valor=1700
linha=130 | nome=Daniela | acao=fez um experimento | valor=2969
linha=131 | nome=Gabriela | acao=comparou as metricas | valor=6801
linha=132 | nome=Tiago | acao=analisou os resultados | valor=4075
linha=133 | nome=Tiago | acao=estudou computacao | valor=7133
linha=134 | nome=Igor | acao=comparou as metricas | valor=6549
linha=135 | nome=Karen | acao=estudou computacao | valor=8083
linha=136 | nome=Mariana | acao=otimizou o algoritmo | valor=7998
linha=137 | nome=Otavio | acao=participou da aula | valor=9110
linha=138 | nome=Mariana | acao=escreveu o relatorio | valor=3446
linha=139 | nome=Paulo | acao=comparou as metricas | valor=3553
linha=140 | nome=Otavio | acao=analisou os resultados | valor=1069
linha=141 | nome=Helena | acao=comparou as metricas | valor=7310
linha=142 | nome=Ana | acao=fez um experimento | valor=8276
linha=143 | nome=Sofia | acao=otimizou o algoritmo | valor=6086
linha=144 | nome=Mariana | acao=estudou computacao | valor=4280
linha=145 | nome=Carlos | acao=participou da aula | valor=7033
linha=146 | nome=Carlos | acao=executou o benchmark | valor=6603
linha=147 | nome=Ana | acao=estudou computacao | valor=1326
linha=148 | nome=Bruno | acao=comparou as metricas | valor=9277
linha=149 | nome=Mariana | acao=otimizou o algoritmo | valor=8703
linha=150 | nome=Gabriela | acao=executou o benchmark | valor=1509
linha=151 | nome=Eduarda | acao=executou o benchmark | valor=1088
linha=152 | nome=Tiago | acao=escreveu o relatorio | valor=5160
linha=153 | nome=Karen | acao=analisou os resultados | valor=1215
linha=154 | nome=Joao | acao=estudou computacao | valor=8066
linha=155 | nome=Sofia | acao=escreveu o relatorio | valor=5638
linha=156 | nome=Joao | acao=participou da aula | valor=9753
linha=157 | nome=Bruno | acao=escreveu o relatorio | valor=5730
linha=158 | nome=Otavio | acao=escreveu o relatorio | valor=8013
linha=159 | nome=Lucas | acao=otimizou o algoritmo | valor=4299
linha=160 | nome=Felipe | acao=executou o benchmark | valor=2853
linha=161 | nome=Renata | acao=fez um experimento | valor=4309
linha=162 | nome=Natalia | acao=escreveu o relatorio | valor=1574
linha=163 | nome=Helena | acao=escreveu o relatorio | valor=7864
linha=164 | nome=Joao | acao=analisou os resultados | valor=4260
linha=165 | nome=Renata | acao=comparou as metricas | valor=1780
linha=166 | nome=Ana | acao=fez um experimento | valor=8983
linha=167 | nome=Otavio | acao=executou o benchmark | valor=2967
linha=168 | nome=Felipe | acao=estudou computacao | valor=8504
linha=169 | nome=Felipe | acao=executou o benchmark | valor=1587
linha=170 | nome=Tiago | acao=otimizou o algoritmo | valor=7557
linha=171 | nome=Bruno | acao=estudou computacao | valor=6055
linha=172 | nome=Carlos | acao=estudou computacao | valor=3254
linha=173 | nome=Karen | acao=executou o benchmark | valor=8159
linha=174 | nome=Daniela | acao=estudou computacao | valor=8493
linha=175 | nome=Paulo | acao=analisou os resultados | valor=3743
linha=176 | nome=Ana | acao=participou da aula | valor=6612
linha=177 | nome=Renata | acao=fez um experimento | valor=2411
linha=178 | nome=Igor | acao=executou o benchmark | valor=6080
linha=179 | nome=Helena | acao=participou da aula | valor=6647
linha=180 | nome=Ana | acao=fez um experimento | valor=3631
linha=181 | nome=Mariana | acao=executou o benchmark | valor=4341
linha=182 | nome=Vitor | acao=fez um experimento | valor=7756
linha=183 | nome=Paulo | acao=estudou computacao | valor=8696
linha=184 | nome=Daniela | acao=executou o benchmark | valor=6639
linha=185 | nome=Natalia | acao=executou o benchmark | valor=1079
linha=186 | nome=Daniela | acao=escreveu o relatorio | valor=8032
linha=187 | nome=Helena | acao=otimizou o algoritmo | valor=9788
linha=188 | nome=Bruno | acao=fez um experimento | valor=3025
linha=189 | nome=Natalia | acao=comparou as metricas | valor=7026
linha=190 | nome=Renata | acao=analisou os resultados | valor=4340
linha=191 | nome=Paulo | acao=comparou as metricas | valor=6081
linha=192 | nome=Mariana | acao=analisou os resultados | valor=6041
linha=193 | nome=Ana | acao=fez um experimento | valor=5061
linha=194 | nome=Gabriela | acao=comparou as metricas | valor=4106
linha=195 | nome=Ana | acao=otimizou o algoritmo | valor=4112
linha=196 | nome=Lucas | acao=otimizou o algoritmo | valor=4674
linha=197 | nome=Ana | acao=participou da aula | valor=4444
linha=198 | nome=Ana | acao=escreveu o relatorio | valor=5716
linha=199 | nome=Gabriela | acao=otimizou o algoritmo | valor=7563
linha=200 | nome=Daniela | acao=participou da aula | valor=4986
linha=201 | nome=Bruno | acao=escreveu o relatorio | valor=4060
linha=202 | nome=Vitor | acao=participou da aula | valor=2555
linha=203 | nome=Helena | acao=estudou computacao | valor=2707
linha=204 | nome=Natalia | acao=executou o benchmark | valor=6927
linha=205 | nome=Igor | acao=analisou os resultados | valor=6203
linha=206 | nome=Igor | acao=participou da aula | valor=9273
linha=207 | nome=Igor | acao=fez um experimento | valor=7424
linha=208 | nome=Daniela | acao=escreveu o relatorio | valor=4712
linha=209 | nome=Mariana | acao=analisou os resultados | valor=3983
linha=210 | nome=Karen | acao=participou da aula | valor=6997
linha=211 | nome=Tiago | acao=escreveu o relatorio | valor=6606
linha=212 | nome=Otavio | acao=estudou computacao | valor=6330
linha=213 | nome=Gabriela | acao=otimizou o algoritmo | valor=3563
linha=214 | nome=Joao | acao=otimizou o algoritmo | valor=6572
linha=215 | nome=Mariana | acao=estudou computacao | valor=3577
linha=216 | nome=Gabriela | acao=fez um experimento | valor=5865
linha=217 | nome=Helena | acao=escreveu o relatorio | valor=8663
linha=218 | nome=Eduarda | acao=fez um experimento | valor=2568
linha=219 | nome=Helena | acao=escreveu o relatorio | valor=6647
linha=220 | nome=Carlos | acao=escreveu o relatorio | valor=7956
linha=221 | nome=Bruno | acao=fez um experimento | valor=9147
linha=222 | nome=Paulo | acao=comparou as metricas | valor=3208
linha=223 | nome=Felipe | acao=executou o benchmark | valor=4785
linha=224 | nome=Renata | acao=otimizou o algoritmo | valor=1617
linha=225 | nome=Bruno | acao=otimizou o algoritmo | valor=1012
linha=226 | nome=Gabriela | acao=fez um experimento | valor=8754
linha=227 | nome=Daniela | acao=comparou as metricas | valor=7113
linha=228 | nome=Mariana | acao=analisou os resultados | valor=5007
linha=229 | nome=Ana | acao=analisou os resultados | valor=7114
linha=230 | nome=Mariana | acao=estudou computacao | valor=3956
linha=231 | nome=Mariana | acao=escreveu o relatorio | valor=5468
linha=232 | nome=Otavio | acao=participou da aula | valor=3517
linha=233 | nome=Sofia | acao=escreveu o relatorio | valor=4220
linha=234 | nome=Mariana | acao=escreveu o relatorio | valor=8553
linha=235 | nome=Eduarda | acao=fez um experimento | valor=1886
linha=236 | nome=Karen | acao=participou da aula | valor=5152
linha=237 | nome=Daniela | acao=analisou os resultados | valor=3534
linha=238 | nome=Felipe | acao=executou o benchmark | valor=5321
linha=239 | nome=Joao | acao=analisou os resultados | valor=9031
linha=240 | nome=Sofia | acao=estudou computacao | valor=2138
linha=241 | nome=Natalia | acao=fez um experimento | valor=2978
linha=242 | nome=Igor | acao=estudou computacao | valor=9769
linha=243 | nome=Bruno | acao=fez um experimento | valor=6207
linha=244 | nome=Joao | acao=executou o benchmark | valor=4432
linha=245 | nome=Mariana | acao=escreveu o relatorio | valor=5376
linha=246 | nome=Vitor | acao=comparou as metricas | valor=6347
linha=247 | nome=Ana | acao=participou da aula | valor=7414
linha=248 | nome=Renata | acao=otimizou o algoritmo | valor=4667
linha=249 | nome=Igor | acao=analisou os resultados | valor=3868
linha=250 | nome=Igor | acao=comparou as metricas | valor=5145
linha=251 | nome=Paulo | acao=executou o benchmark | valor=6164
linha=252 | nome=Carlos | acao=comparou as metricas | valor=1881
linha=253 | nome=Lucas | acao=escreveu o relatorio | valor=3535
linha=254 | nome=Vitor | acao=estudou computacao | valor=3411
linha=255 | nome=Igor | acao=fez um experimento | valor=9781
linha=256 | nome=Joao | acao=comparou as metricas | valor=8587
linha=257 | nome=Helena | acao=otimizou o algoritmo | valor=4467
linha=258 | nome=Renata | acao=otimizou o algoritmo | valor=6097
linha=259 | nome=Helena | acao=fez um experimento | valor=1073
linha=260 | nome=Vitor | acao=comparou as metricas | valor=2353
linha=261 | nome=Joao | acao=analisou os resultados | valor=4050
linha=262 | nome=Otavio | acao=analisou os resultados | valor=5391
linha=263 | nome=Felipe | acao=comparou as metricas | valor=1613
linha=264 | nome=Sofia | acao=participou da aula | valor=8040
linha=265 | nome=Carlos | acao=participou da aula | valor=2291
linha=266 | nome=Mariana | acao=escreveu o relatorio | valor=6855
linha=267 | nome=Mariana | acao=analisou os resultados | valor=3401
linha=268 | nome=Karen | acao=estudou computacao | valor=1804
linha=269 | nome=Ana | acao=otimizou o algoritmo | valor=7450
linha=270 | nome=Otavio | acao=comparou as metricas | valor=3488
linha=271 | nome=Helena | acao=analisou os resultados | valor=9759
linha=272 | nome=Ana | acao=executou o benchmark | valor=3297
linha=273 | nome=Otavio | acao=participou da aula | valor=9346
linha=274 | nome=Ana | acao=executou o benchmark | valor=5981
linha=275 | nome=Ana | acao=comparou as metricas | valor=4676
linha=276 | nome=Lucas | acao=participou da aula | valor=8260
linha=277 | nome=Mariana | acao=estudou computacao | valor=9954
linha=278 | nome=Lucas | acao=comparou as metricas | valor=7194
linha=279 | nome=Mariana | acao=analisou os resultados | valor=1334
linha=280 | nome=Felipe | acao=executou o benchmark | valor=1591
linha=281 | nome=Helena | acao=analisou os resultados | valor=2681
linha=282 | nome=Felipe | acao=otimizou o algoritmo | valor=9912
linha=283 | nome=Lucas | acao=escreveu o relatorio | valor=9490
linha=284 | nome=Mariana | acao=comparou as metricas | valor=5562
linha=285 | nome=Felipe | acao=estudou computacao | valor=8615
linha=286 | nome=Igor | acao=fez um experimento | valor=7689
linha=287 | nome=Felipe | acao=otimizou o algoritmo | valor=5520
linha=288 | nome=Daniela | acao=comparou as metricas | valor=7390
linha=289 | nome=Sofia | acao=executou o benchmark | valor=4442
linha=290 | nome=Ana | acao=executou o benchmark | valor=3366
linha=291 | nome=Renata | acao=executou o benchmark | valor=1614
linha=292 | nome=Karen | acao=estudou computacao | valor=8291
linha=293 | nome=Helena | acao=analisou os resultados | valor=5817
linha=294 | nome=Bruno | acao=fez um experimento | valor=5108
linha=295 | nome=Sofia | acao=escreveu o relatorio | valor=2453
linha=296 | nome=Ana | acao=escreveu o relatorio | valor=9986
linha=297 | nome=Paulo | acao=comparou as metricas | valor=4151
linha=298 | nome=Igor | acao=estudou computacao | valor=3429
linha=299 | nome=Tiago | acao=escreveu o relatorio | valor=5523
linha=300 | nome=Ana | acao=fez um experimento | valor=9230
linha=301 | nome=Renata | acao=escreveu o relatorio | valor=6951
linha=302 | nome=Eduarda | acao=otimizou o algoritmo | valor=8507
linha=303 | nome=Joao | acao=executou o benchmark | valor=1318
linha=304 | nome=Carlos | acao=executou o benchmark | valor=3772
linha=305 | nome=Paulo | acao=estudou computacao | valor=9065
linha=306 | nome=Sofia | acao=estudou computacao | valor=6680
linha=307 | nome=Igor | acao=comparou as metricas | valor=9449
linha=308 | nome=Renata | acao=fez um experimento | valor=8738
linha=309 | nome=Bruno | acao=analisou os resultados | valor=2759
linha=310 | nome=Helena | acao=otimizou o algoritmo | valor=6802
linha=311 | nome=Renata | acao=estudou computacao | valor=3663
linha=312 | nome=Otavio | acao=escreveu o relatorio | valor=7956
linha=313 | nome=Helena | acao=fez um experimento | valor=7190
linha=314 | nome=Natalia | acao=participou da aula | valor=7779
linha=315 | nome=Renata | acao=participou da aula | valor=6713
linha=316 | nome=Paulo | acao=estudou computacao | valor=6954
linha=317 | nome=Felipe | acao=analisou os resultados | valor=3723
linha=318 | nome=Bruno | acao=comparou as metricas | valor=7357
linha=319 | nome=Igor | acao=fez um experimento | valor=7853
linha=320 | nome=Vitor | acao=analisou os resultados | valor=5262
linha=321 | nome=Paulo | acao=estudou computacao | valor=1321
linha=322 | nome=Paulo | acao=participou da aula | valor=7051
linha=323 | nome=Vitor | acao=fez um experimento | valor=3972
linha=324 | nome=Felipe | acao=otimizou o algoritmo | valor=5850
linha=325 | nome=Ana | acao=fez um experimento | valor=3324
linha=326 | nome=Karen | acao=comparou as metricas | valor=6427
linha=327 | nome=Gabriela | acao=analisou os resultados | valor=7232
linha=328 | nome=Karen | acao=estudou computacao | valor=5167
linha=329 | nome=Helena | acao=participou da aula | valor=3254
linha=330 | nome=Paulo | acao=escreveu o relatorio | valor=4000
linha=331 | nome=Helena | acao=escreveu o relatorio | valor=9736
linha=332 | nome=Ana | acao=escreveu o relatorio | valor=2649
linha=333 | nome=Renata | acao=executou o benchmark | valor=8299
linha=334 | nome=Bruno | acao=analisou os resultados | valor=7501
linha=335 | nome=Tiago | acao=comparou as metricas | valor=5497
linha=336 | nome=Sofia | acao=fez um experimento | valor=8239
linha=337 | nome=Felipe | acao=estudou computacao | valor=9354
linha=338 | nome=Mariana | acao=otimizou o algoritmo | valor=6023
linha=339 | nome=Natalia | acao=analisou os resultados | valor=3697
linha=340 | nome=Mariana | acao=fez um experimento | valor=9569
linha=341 | nome=Joao | acao=comparou as metricas | valor=8438
linha=342 | nome=Gabriela | acao=executou o benchmark | valor=4943
linha=343 | nome=Felipe | acao=estudou computacao | valor=7673
linha=344 | nome=Daniela | acao=escreveu o relatorio | valor=9261
linha=345 | nome=Eduarda | acao=fez um experimento | valor=7357
linha=346 | nome=Sofia | acao=executou o benchmark | valor=6402
linha=347 | nome=Carlos | acao=executou o benchmark | valor=3265
linha=348 | nome=Igor | acao=executou o benchmark | valor=9823
linha=349 | nome=Ana | acao=estudou computacao | valor=9730
linha=350 | nome=Mariana | acao=analisou os resultados | valor=2768
linha=351 | nome=Felipe | acao=analisou os resultados | valor=6103
linha=352 | nome=Joao | acao=executou o benchmark | valor=4967
linha=353 | nome=Eduarda | acao=estudou computacao | valor=9487
linha=354 | nome=Paulo | acao=participou da aula | valor=4996
linha=355 | nome=Mariana | acao=comparou as metricas | valor=6684
linha=356 | nome=Joao | acao=estudou computacao | valor=7344
linha=357 | nome=Joao | acao=executou o benchmark | valor=5375
linha=358 | nome=Gabriela | acao=comparou as metricas | valor=3480
linha=359 | nome=Eduarda | acao=otimizou o algoritmo | valor=2613
linha=360 | nome=Renata | acao=otimizou o algoritmo | valor=9571
linha=361 | nome=Vitor | acao=participou da aula | valor=5689
linha=362 | nome=Bruno | acao=otimizou o algoritmo | valor=4033
linha=363 | nome=Renata | acao=fez um experimento | valor=5703
linha=364 | nome=Carlos | acao=fez um experimento | valor=5156
linha=365 | nome=Lucas | acao=otimizou o algoritmo | valor=3072
linha=366 | nome=Natalia | acao=escreveu o relatorio | valor=5209
linha=367 | nome=Lucas | acao=fez um experimento | valor=3120
linha=368 | nome=Mariana | acao=escreveu o relatorio | valor=7195
linha=369 | nome=Natalia | acao=analisou os resultados | valor=9290
linha=370 | nome=Karen | acao=executou o benchmark | valor=5778
linha=371 | nome=Mariana | acao=executou o benchmark | valor=1153
linha=372 | nome=Eduarda | acao=participou da aula | valor=1801
linha=373 | nome=Karen | acao=estudou computacao | valor=3450
linha=374 | nome=Gabriela | acao=estudou computacao | valor=4158
linha=375 | nome=Paulo | acao=analisou os resultados | valor=5800
linha=376 | nome=Helena | acao=analisou os resultados | valor=5941
linha=377 | nome=Paulo | acao=analisou os resultados | valor=1143
linha=378 | nome=Karen | acao=executou o benchmark | valor=2952
linha=379 | nome=Igor | acao=analisou os resultados | valor=3210
linha=380 | nome=Gabriela | acao=otimizou o algoritmo | valor=9089
linha=381 | nome=Sofia | acao=analisou os resultados | valor=4235
linha=382 | nome=Mariana | acao=escreveu o relatorio | valor=9229
linha=383 | nome=Helena | acao=otimizou o algoritmo | valor=8207
linha=384 | nome=Carlos | acao=participou da aula | valor=8302
linha=385 | nome=Tiago | acao=estudou computacao | valor=1833
linha=386 | nome=Natalia | acao=comparou as metricas | valor=3757
linha=387 | nome=Daniela | acao=escreveu o relatorio | valor=4422
linha=388 | nome=Tiago | acao=executou o benchmark | valor=8992
linha=389 | nome=Otavio | acao=executou o benchmark | valor=4014
linha=390 | nome=Carlos | acao=otimizou o algoritmo | valor=9400
linha=391 | nome=Sofia | acao=escreveu o relatorio | valor=4984
linha=392 | nome=Daniela | acao=otimizou o algoritmo | valor=7407
linha=393 | nome=Lucas | acao=fez um experimento | valor=8617
linha=394 | nome=Carlos | acao=analisou os resultados | valor=9598
linha=395 | nome=Natalia | acao=executou o benchmark | valor=9978
linha=396 | nome=Bruno | acao=analisou os resultados | valor=3083
linha=397 | nome=Otavio | acao=estudou computacao | valor=6214
linha=398 | nome=Karen | acao=fez um experimento | valor=6919
linha=399 | nome=Eduarda | acao=analisou os resultados | valor=9322
linha=400 | nome=Natalia | acao=analisou os resultados | valor=1067
linha=401 | nome=Tiago | acao=estudou computacao | valor=5973
linha=402 | nome=Bruno | acao=fez um experimento | valor=4435
linha=403 | nome=Renata | acao=comparou as metricas | valor=7867
linha=404 | nome=Gabriela | acao=executou o benchmark | valor=4547
linha=405 | nome=Daniela | acao=executou o benchmark | valor=8704
linha=406 | nome=Karen | acao=participou da aula | valor=6342
linha=407 | nome=Ana | acao=comparou as metricas | valor=5308
linha=408 | nome=Paulo | acao=otimizou o algoritmo | valor=6167
linha=409 | nome=Mariana | acao=escreveu o relatorio | valor=2466
linha=410 | nome=Ana | acao=escreveu o relatorio | valor=5540
linha=411 | nome=Joao | acao=estudou computacao | valor=8211
linha=412 | nome=Mariana | acao=participou da aula | valor=5943
linha=413 | nome=Ana | acao=analisou os resultados | valor=5020
linha=414 | nome=Otavio | acao=fez um experimento | valor=4637
linha=415 | nome=Paulo | acao=estudou computacao | valor=8336
linha=416 | nome=Eduarda | acao=estudou computacao | valor=9600
linha=417 | nome=Vitor | acao=executou o benchmark | valor=8401
linha=418 | nome=Joao | acao=comparou as metricas | valor=7525
linha=419 | nome=Tiago | acao=estudou computacao | valor=8181
linha=420 | nome=Daniela | acao=fez um experimento | valor=1613
linha=421 | nome=Igor | acao=otimizou o algoritmo | valor=5826
linha=422 | nome=Paulo | acao=estudou computacao | valor=5411
linha=423 | nome=Paulo | acao=estudou computacao | valor=6218
linha=424 | nome=Helena | acao=comparou as metricas | valor=8752
linha=425 | nome=Mariana | acao=fez um experimento | valor=5437
linha=426 | nome=Bruno | acao=participou da aula | valor=6008
linha=427 | nome=Ana | acao=analisou os resultados | valor=2785
linha=428 | nome=Mariana | acao=analisou os resultados | valor=4298
linha=429 | nome=Carlos | acao=participou da aula | valor=1140
linha=430 | nome=Lucas | acao=analisou os resultados | valor=7721
linha=431 | nome=Eduarda | acao=otimizou o algoritmo | valor=1287
linha=432 | nome=Natalia | acao=fez um experimento | valor=6748
linha=433 | nome=Felipe | acao=estudou computacao | valor=7236
linha=434 | nome=Otavio | acao=analisou os resultados | valor=6238
linha=435 | nome=Lucas | acao=fez um experimento | valor=5814
linha=436 | nome=Sofia | acao=estudou computacao | valor=7703
linha=437 | nome=Gabriela | acao=comparou as metricas | valor=1228
linha=438 | nome=Felipe | acao=participou da aula | valor=1121
linha=439 | nome=Joao | acao=fez um experimento | valor=2313
linha=440 | nome=Karen | acao=executou o benchmark | valor=6616
linha=441 | nome=Renata | acao=otimizou o algoritmo | valor=6152
linha=442 | nome=Helena | acao=otimizou o algoritmo | valor=1370
linha=443 | nome=Otavio | acao=comparou as metricas | valor=9872
linha=444 | nome=Joao | acao=estudou computacao | valor=7928
linha=445 | nome=Vitor | acao=estudou computacao | valor=1198
linha=446 | nome=Gabriela | acao=participou da aula | valor=7463
linha=447 | nome=Daniela | acao=escreveu o relatorio | valor=9567
linha=448 | nome=Ana | acao=comparou as metricas | valor=4145
linha=449 | nome=Joao | acao=comparou as metricas | valor=1835
linha=450 | nome=Tiago | acao=executou o benchmark | valor=5497
linha=451 | nome=Igor | acao=comparou as metricas | valor=4920
linha=452 | nome=Tiago | acao=comparou as metricas | valor=1355
linha=453 | nome=Natalia | acao=escreveu o relatorio | valor=6152
