linha=1 | nome=Sofia | acao=escreveu o relatorio | valor=3112
linha=79 | nome=Sofia | acao=executou o benchmark | valor=7144
linha=80 | nome=Ana | acao=otimizou o algoritmo | valor=1590
linha=81 | nome=Joao | acao=escreveu o relatorio | valor=2601
linha=82 | nome=Karen | acao=fez um experimento | valor=2304
linha=83 | nome=Daniela | acao=otimizou o algoritmo | valor=5408
linha=84 | nome=Helena | acao=escreveu o relatorio | valor=8272
linha=85 | nome=Gabriela | acao=estudou computacao | valor=3705
linha=86 | nome=Joao | acao=otimizou o algoritmo | valor=1681
linha=87 | nome=Felipe | acao=otimizou o algoritmo | valor=4119
linha=88 | nome=Karen | acao=analisou os resultados | valor=4614
linha=89 | nome=Joao | acao=fez um experimento | valor=4397
linha=90 | nome=Eduarda | acao=participou da aula | valor=2893
linha=91 | nome=Eduarda | acao=analisou os resultados | valor=4821
linha=92 | nome=Felipe | acao=fez um experimento | valor=7135
linha=93 | nome=Vitor | acao=otimizou o algoritmo | valor=8078
linha=94 | nome=Carlos | acao=executou o benchmark | valor=9508
linha=95 | nome=Renata | acao=analisou os resultados | valor=1961
linha=96 | nome=Helena | acao=fez um experimento | valor=1649
linha=97 | nome=Sofia | acao=participou da aula | valor=3766
linha=98 | nome=Otavio | acao=otimizou o algoritmo | valor=1938
linha=99 | nome=Carlos | acao=analisou os resultados | valor=9246
linha=100 | nome=Tiago | acao=otimizou o algoritmo | valor=8508
linha=101 | nome=Vitor | acao=fez um experimento | valor=2626
linha=102 | nome=Renata | acao=analisou os resultados | valor=5835
linha=103 | nome=Vitor | acao=fez um experimento | valor=7642
linha=104 | nome=Bruno | acao=participou da aula | valor=7244
linha=105 | nome=Mariana | acao=analisou os resultados | valor=7211
linha=106 | nome=Carlos | acao=executou o benchmark | valor=4523
linha=107 | nome=Renata | acao=participou da aula | valor=5083
linha=108 | nome=Sofia | acao=estudou computacao | valor=8345
linha=109 | nome=Otavio | acao=analisou os resultados | valor=2555
linha=110 | nome=Mariana | acao=estudou computacao | valor=6416
linha=111 | nome=Tiago | acao=comparou as metricas | valor=9931
linha=112 | nome=Vitor | acao=analisou os resultados | valor=7700
linha=113 | nome=Gabriela | acao=estudou computacao | valor=7806
linha=114 | nome=Natalia | acao=estudou computacao | valor=2526
linha=115 | nome=Gabriela | acao=fez um experimento | valor=2459
linha=116 | nome=Felipe | acao=executou o benchmark | valor=2544
linha=117 | nome=Karen | acao=comparou as metricas | valor=2151
linha=118 | nome=Sofia | acao=estudou computacao | valor=4415
linha=119 | nome=Natalia | acao=analisou os resultados | valor=4516
linha=120 | nome=Lucas | acao=escreveu o relatorio | valor=1946
linha=121 | nome=Sofia | acao=fez um experimento | valor=5634
linha=122 | nome=Mariana | acao=fez um experimento | valor=9797
linha=123 | nome=Joao | acao=comparou as metricas | valor=3777
linha=124 | nome=Carlos | acao=executou o benchmark | valor=6350
linha=125 | nome=Felipe | acao=estudou computacao | valor=1096
linha=126 | nome=Renata | acao=estudou computacao | valor=1725
linha=127 | nome=Karen | acao=escreveu o relatorio | valor=3569
linha=128 | nome=Felipe | acao=comparou as metricas | valor=9640
linha=129 | nome=Renata | acao=comparou as metricas | valor=6358
linha=130 | nome=Eduarda | acao=comparou as metricas | valor=7778
linha=131 | nome=Mariana | acao=analisou os resultados | valor=1297
linha=132 | nome=Eduarda | acao=analisou os resultados | valor=8515
linha=133 | nome=Paulo | acao=comparou as metricas | valor=7567
linha=134 | nome=Sofia | acao=escreveu o relatorio | valor=5050
linha=135 | nome=Igor | acao=comparou as metricas | valor=4839
linha=136 | nome=Carlos | acao=analisou os resultados | valor=4985
linha=137 | nome=Lucas | acao=participou da aula | valor=9256
linha=138 | nome=Mariana | acao=estudou computacao | valor=4360
linha=139 | nome=Joao | acao=estudou computacao | valor=5054
linha=140 | nome=Eduarda | acao=otimizou o algoritmo | valor=6554
linha=141 | nome=Carlos | acao=otimizou o algoritmo | valor=7671
linha=142 | nome=Joao | acao=fez um experimento | valor=7107
linha=143 | nome=Otavio | acao=otimizou o algoritmo | valor=5643
linha=144 | nome=Daniela | acao=estudou computacao | valor=9337
linha=145 | nome=Ana | acao=otimizou o algoritmo | valor=4395
linha=146 | nome=Sofia | acao=otimizou o algoritmo | valor=7184
linha=147 | nome=Daniela | acao=otimizou o algoritmo | valor=7037
linha=148 | nome=Natalia | acao=comparou as metricas | valor=8437
linha=149 | nome=Sofia | acao=executou o benchmark | valor=8359
linha=150 | nome=Ana | acao=escreveu o relatorio | valor=4139
linha=151 | nome=Helena | acao=escreveu o relatorio | valor=5983
linha=152 | nome=Bruno | acao=executou o benchmark | valor=8285
linha=153 | nome=Lucas | acao=executou o benchmark | valor=5283
linha=154 | nome=Otavio | acao=analisou os resultados | valor=3258
linha=155 | nome=Vitor | acao=analisou os resultados | valor=1918
linha=156 | nome=Bruno | acao=fez um experimento | valor=1152
linha=157 | nome=Natalia | acao=participou da aula | valor=1423
linha=158 | nome=Eduarda | acao=fez um experimento | valor=4185
linha=159 | nome=Otavio | acao=escreveu o relatorio | valor=2630
linha=160 | nome=Helena | acao=participou da aula | valor=3826
linha=161 | nome=Felipe | acao=participou da aula | valor=2308
linha=162 | nome=Gabriela | acao=estudou computacao | valor=5098
linha=163 | nome=Gabriela | acao=comparou as metricas | valor=1038
linha=164 | nome=Eduarda | acao=participou da aula | valor=3303
linha=165 | nome=Renata | acao=executou o benchmark | valor=9136
linha=166 | nome=Otavio | acao=participou da aula | valor=8993
linha=167 | nome=Renata | acao=comparou as metricas | valor=9681
linha=168 | nome=Karen | acao=escreveu o relatorio | valor=7155
linha=169 | nome=Eduarda | acao=executou o benchmark | valor=6508
linha=170 | nome=Karen | acao=otimizou o algoritmo | valor=2851
linha=171 | nome=Gabriela | acao=executou o benchmark | valor=8426
linha=172 | nome=Lucas | acao=fez um experimento | valor=1746
linha=173 | nome=Karen | acao=executou o benchmark | valor=9955
linha=174 | nome=Helena | acao=estudou computacao | valor=2359
linha=175 | nome=Natalia | acao=analisou os resultados | valor=7650
linha=176 | nome=Bruno | acao=executou o benchmark | valor=4043
linha=177 | nome=Sofia | acao=estudou computacao | valor=4137
linha=178 | nome=Igor | acao=analisou os resultados | valor=2830
linha=179 | nome=Tiago | acao=participou da aula | valor=3625
linha=180 | nome=Igor | acao=participou da aula | valor=9849
linha=181 | nome=Lucas | acao=fez um experimento | valor=4397
linha=182 | nome=Tiago | acao=estudou computacao | valor=6773
linha=183 | nome=Paulo | acao=analisou os resultados | valor=2855
linha=184 | nome=Paulo | acao=escreveu o relatorio | valor=3555
linha=185 | nome=Otavio | acao=analisou os resultados | valor=9316
linha=186 | nome=Sofia | acao=estudou computacao | valor=9490
linha=187 | nome=Igor | acao=estudou computacao | valor=8150
linha=188 | nome=Ana | acao=participou da aula | valor=3513
linha=189 | nome=Lucas | acao=executou o benchmark | valor=2099
linha=190 | nome=Lucas | acao=comparou as metricas | valor=1827
linha=191 | nome=Lucas | acao=participou da aula | valor=2358
linha=192 | nome=Vitor | acao=analisou os resultados | valor=8760
linha=193 | nome=Mariana | acao=fez um experimento | valor=5321
linha=194 | nome=Karen | acao=estudou computacao | valor=2682
linha=195 | nome=Felipe | acao=executou o benchmark | valor=2915
linha=196 | nome=Daniela | acao=analisou os resultados | valor=1310
linha=197 | nome=Natalia | acao=escreveu o relatorio | valor=8238
linha=198 | nome=Eduarda | acao=comparou as metricas | valor=7574
linha=199 | nome=Carlos | acao=analisou os resultados | valor=3598
linha=200 | nome=Daniela | acao=estudou computacao | valor=5487
linha=201 | nome=Gabriela | acao=executou o benchmark | valor=2284
linha=202 | nome=Eduarda | acao=fez um experimento | valor=2652
linha=203 | nome=Bruno | acao=participou da aula | valor=3311
linha=204 | nome=Igor | acao=analisou os resultados | valor=5921
linha=205 | nome=Helena | acao=comparou as metricas | valor=5336
linha=206 | nome=Igor | acao=executou o benchmark | valor=6060
linha=207 | nome=Bruno | acao=escreveu o relatorio | valor=4140
linha=208 | nome=Mariana | acao=otimizou o algoritmo | valor=6259
linha=209 | nome=Renata | acao=participou da aula | valor=3916
linha=210 | nome=Felipe | acao=otimizou o algoritmo | valor=4974
linha=211 | nome=Renata | acao=otimizou o algoritmo | valor=2888
linha=212 | nome=Ana | acao=otimizou o algoritmo | valor=5504
linha=213 | nome=Igor | acao=executou o benchmark | valor=2013
linha=214 | nome=Paulo | acao=escreveu o relatorio | valor=3235
linha=215 | nome=Joao | acao=otimizou o algoritmo | valor=6914
linha=216 | nome=Otavio | acao=executou o benchmark | valor=9882
linha=217 | nome=Bruno | acao=comparou as metricas | valor=3403
linha=218 | nome=Carlos | acao=otimizou o algoritmo | valor=3721
linha=219 | nome=Felipe | acao=escreveu o relatorio | valor=1761
linha=220 | nome=Felipe | acao=fez um experimento | valor=2562
linha=221 | nome=Carlos | acao=comparou as metricas | valor=5978
linha=222 | nome=Vitor | acao=otimizou o algoritmo | valor=9855
linha=223 | nome=Igor | acao=comparou as metricas | valor=2361
linha=224 | nome=Otavio | acao=escreveu o relatorio | valor=6941
linha=225 | nome=Bruno | acao=otimizou o algoritmo | valor=1772
linha=226 | nome=Renata | acao=participou da aula | valor=8112
linha=227 | nome=Joao | acao=comparou as metricas | valor=7701
linha=228 | nome=Igor | acao=fez um experimento | valor=5722
linha=229 | nome=Paulo | acao=estudou computacao | valor=5649
linha=230 | nome=Vitor | acao=analisou os resultados | valor=6355
linha=231 | nome=Joao | acao=analisou os resultados | valor=3968
linha=232 | nome=Felipe | acao=analisou os resultados | valor=6958
linha=233 | nome=Mariana | acao=otimizou o algoritmo | valor=6093
linha=234 | nome=Sofia | acao=participou da aula | valor=6699
linha=235 | nome=Igor | acao=fez um experimento | valor=1971
linha=236 | nome=Ana | acao=fez um experimento | valor=1370
linha=237 | nome=Mariana | acao=analisou os resultados | valor=8288
linha=238 | nome=Bruno | acao=comparou as metricas | valor=6860
linha=239 | nome=Tiago | acao=comparou as metricas | valor=7611
linha=240 | nome=Natalia | acao=escreveu o relatorio | valor=7466
linha=241 | nome=Mariana | acao=estudou computacao | valor=2579
linha=242 | nome=Felipe | acao=participou da aula | valor=6516
linha=243 | nome=Eduarda | acao=comparou as metricas | valor=9789
linha=244 | nome=Joao | acao=executou o benchmark | valor=6979
linha=245 | nome=Ana | acao=executou o benchmark | valor=8341
linha=246 | nome=Joao | acao=comparou as metricas | valor=8644
linha=247 | nome=Gabriela | acao=fez um experimento | valor=6433
linha=248 | nome=Joao | acao=otimizou o algoritmo | valor=3095
linha=249 | nome=Otavio | acao=otimizou o algoritmo | valor=5824
linha=250 | nome=Helena | acao=otimizou o algoritmo | valor=2112
linha=251 | nome=Gabriela | acao=comparou as metricas | valor=9049
linha=252 | nome=Carlos | acao=fez um experimento | valor=3746
linha=253 | nome=Ana | acao=fez um experimento | valor=6182
linha=254 | nome=Carlos | acao=comparou as metricas | valor=8272
linha=255 | nome=Otavio | acao=analisou os resultados | valor=8490
linha=256 | nome=Mariana | acao=comparou as metricas | valor=5216
linha=257 | nome=Bruno | acao=participou da aula | valor=8042
linha=258 | nome=Paulo | acao=estudou computacao | valor=6670
linha=259 | nome=Renata | acao=participou da aula | valor=3861
linha=260 | nome=Sofia | acao=comparou as metricas | valor=5326
linha=261 | nome=Helena | acao=participou da aula | valor=1739
linha=262 | nome=Lucas | acao=comparou as metricas | valor=8012
linha=263 | nome=Felipe | acao=escreveu o relatorio | valor=8873
linha=264 | nome=Mariana | acao=fez um experimento | valor=4211
linha=265 | nome=Ana | acao=fez um experimento | valor=7217
linha=266 | nome=Mariana | acao=analisou os resultados | valor=3682
linha=267 | nome=Paulo | acao=fez um experimento | valor=2341
linha=268 | nome=Sofia | acao=fez um experimento | valor=1355
linha=269 | nome=Daniela | acao=escreveu o relatorio | valor=8644
linha=270 | nome=Eduarda | acao=estudou computacao | valor=1902
linha=271 | nome=Igor | acao=escreveu o relatorio | valor=4666
linha=272 | nome=Mariana | acao=analisou os resultados | valor=1113
linha=273 | nome=Tiago | acao=estudou computacao | valor=1718
linha=274 | nome=Mariana | acao=analisou os resultados | valor=1741
linha=275 | nome=Bruno | acao=otimizou o algoritmo | valor=5353
linha=276 | nome=Daniela | acao=otimizou o algoritmo | valor=3550
linha=277 | nome=Gabriela | acao=comparou as metricas | valor=5731
linha=278 | nome=Bruno | acao=escreveu o relatorio | valor=1408
linha=279 | nome=Igor | acao=analisou os resultados | valor=8311
linha=280 | nome=Joao | acao=analisou os resultados | valor=7894
linha=281 | nome=Lucas | acao=executou o benchmark | valor=7190
linha=282 | nome=Joao | acao=analisou os resultados | valor=5066
linha=283 | nome=Vitor | acao=executou o benchmark | valor=2319
linha=284 | nome=Carlos | acao=executou o benchmark | valor=1639
linha=285 | nome=Igor | acao=escreveu o relatorio | valor=8086
linha=286 | nome=Bruno | acao=escreveu o relatorio | valor=6330
linha=287 | nome=Renata | acao=analisou os resultados | valor=9815
linha=288 | nome=Gabriela | acao=comparou as metricas | valor=1711
linha=289 | nome=Mariana | acao=escreveu o relatorio | valor=8001
linha=290 | nome=Bruno | acao=participou da aula | valor=4825
linha=291 | nome=Igor | acao=otimizou o algoritmo | valor=2752
linha=292 | nome=Karen | acao=executou o benchmark | valor=8790
linha=293 | nome=Otavio | acao=otimizou o algoritmo | valor=3592
linha=294 | nome=Mariana | acao=analisou os resultados | valor=5336
linha=295 | nome=Carlos | acao=escreveu o relatorio | valor=5985
linha=296 | nome=Tiago | acao=estudou computacao | valor=2044
linha=297 | nome=Joao | acao=participou da aula | valor=9751
linha=298 | nome=Mariana | acao=escreveu o relatorio | valor=1115
linha=299 | nome=Ana | acao=comparou as metricas | valor=1163
linha=300 | nome=Lucas | acao=escreveu o relatorio | valor=7858
linha=301 | nome=Gabriela | acao=comparou as metricas | valor=8328
linha=302 | nome=Ana | acao=estudou computacao | valor=5459
linha=303 | nome=Eduarda | acao=comparou as metricas | valor=4980
linha=304 | nome=Igor | acao=comparou as metricas | valor=5199
linha=305 | nome=Bruno | acao=analisou os resultados | valor=5199
linha=306 | nome=Tiago | acao=comparou as metricas | valor=2057
linha=307 | nome=Daniela | acao=comparou as metricas | valor=2002
linha=308 | nome=Eduarda | acao=estudou computacao | valor=5560
linha=309 | nome=Eduarda | acao=fez um experimento | valor=8229
linha=310 | nome=Felipe | acao=escreveu o relatorio | valor=6473
linha=311 | nome=Lucas | acao=escreveu o relatorio | valor=7252
linha=312 | nome=Felipe | acao=estudou computacao | valor=3450
linha=313 | nome=Mariana | acao=otimizou o algoritmo | valor=4085
linha=314 | nome=Bruno | acao=fez um experimento | valor=8939
linha=315 | nome=Igor | acao=executou o benchmark | valor=9747
linha=316 | nome=Gabriela | acao=escreveu o relatorio | valor=7655
linha=317 | nome=Joao | acao=fez um experimento | valor=3293
linha=318 | nome=Natalia | acao=otimizou o algoritmo | valor=8388
linha=319 | nome=Vitor | acao=comparou as metricas | valor=6785
linha=320 | nome=Sofia | acao=fez um experimento | valor=5088
linha=321 | nome=Mariana | acao=escreveu o relatorio | valor=9017
linha=322 | nome=Carlos | acao=fez um experimento | valor=6636
linha=323 | nome=Helena | acao=fez um experimento | valor=1668
linha=324 | nome=Joao | acao=executou o benchmark | valor=9870
linha=325 | nome=Carlos | acao=fez um experimento | valor=5207
linha=326 | nome=Otavio | acao=executou o benchmark | valor=2850
linha=327 | nome=Gabriela | acao=estudou computacao | valor=6931
linha=328 | nome=Lucas | acao=escreveu o relatorio | valor=3439
linha=329 | nome=Bruno | acao=estudou computacao | valor=8923
linha=330 | nome=Natalia | acao=executou o benchmark | valor=7879
linha=331 | nome=Helena | acao=fez um experimento | valor=6324
linha=332 | nome=Felipe | acao=participou da aula | valor=3906
linha=333 | nome=Natalia | acao=estudou computacao | valor=9392
linha=334 | nome=Daniela | acao=comparou as metricas | valor=5994
linha=335 | nome=Igor | acao=analisou os resultados | valor=2179
linha=336 | nome=Vitor | acao=analisou os resultados | valor=7159
linha=337 | nome=Paulo | acao=participou da aula | valor=4066
linha=338 | nome=Mariana | acao=analisou os resultados | valor=9956
linha=339 | nome=Sofia | acao=analisou os resultados | valor=1552
linha=340 | nome=Mariana | acao=fez um experimento | valor=8291
linha=341 | nome=Ana | acao=escreveu o relatorio | valor=4648
linha=342 | nome=Renata | acao=otimizou o algoritmo | valor=1590
linha=343 | nome=Carlos | acao=analisou os resultados | valor=1484
linha=344 | nome=Eduarda | acao=otimizou o algoritmo | valor=2146
linha=345 | nome=Daniela | acao=executou o benchmark | valor=8136
linha=346 | nome=Carlos | acao=fez um experimento | valor=8528
linha=347 | nome=Carlos | acao=analisou os resultados | valor=2873
linha=348 | nome=Otavio | acao=comparou as metricas | valor=9402
linha=349 | nome=Tiago | acao=participou da aula | valor=5707
linha=350 | nome=Paulo | acao=fez um experimento | valor=5696
linha=351 | nome=Karen | acao=executou o benchmark | valor=4190
linha=352 | nome=Mariana | acao=comparou as metricas | valor=1943
linha=353 | nome=Helena | acao=otimizou o algoritmo | valor=4760
linha=354 | nome=Bruno | acao=estudou computacao | valor=5612
linha=355 | nome=Otavio | acao=fez um experimento | valor=6512
linha=356 | nome=Otavio | acao=estudou computacao | valor=6807
linha=357 | nome=Daniela | acao=participou da aula | valor=1893
linha=358 | nome=Joao | acao=escreveu o relatorio | valor=9006
linha=359 | nome=Joao | acao=executou o benchmark | valor=7901
linha=360 | nome=Lucas | acao=analisou os resultados | valor=8385
linha=361 | nome=Mariana | acao=executou o benchmark | valor=3075
linha=362 | nome=Joao | acao=escreveu o relatorio | valor=3230
linha=363 | nome=Joao | acao=participou da aula | valor=4577
linha=364 | nome=Ana | acao=participou da aula | valor=9708
linha=365 | nome=Joao | acao=fez um experimento | valor=5383
linha=366 | nome=Igor | acao=escreveu o relatorio | valor=6337
linha=367 | nome=Mariana | acao=fez um experimento | valor=9391
linha=368 | nome=Felipe | acao=executou o benchmark | valor=5828
linha=369 | nome=Karen | acao=comparou as metricas | valor=3646
linha=370 | nome=Gabriela | acao=escreveu o relatorio | valor=7325
linha=371 | nome=Helena | acao=participou da aula | valor=3030
linha=372 | nome=Carlos | acao=estudou computacao | valor=1343
linha=373 | nome=Igor | acao=executou o benchmark | valor=5721
linha=374 | nome=Joao | acao=executou o benchmark | valor=5139
linha=375 | nome=Natalia | acao=participou da aula | valor=7992
linha=376 | nome=Helena | acao=analisou os resultados | valor=6457
linha=377 | nome=Mariana | acao=escreveu o relatorio | valor=2082
linha=378 | nome=Natalia | acao=comparou as metricas | valor=1463
linha=379 | nome=Mariana | acao=executou o benchmark | valor=9251
linha=380 | nome=Otavio | acao=otimizou o algoritmo | valor=9126
linha=381 | nome=Tiago | acao=estudou computacao | valor=9385
linha=382 | nome=Mariana | acao=otimizou o algoritmo | valor=4471
linha=383 | nome=Ana | acao=estudou computacao | valor=3617
linha=384 | nome=Karen | acao=estudou computacao | valor=9972
linha=385 | nome=Carlos | acao=estudou computacao | valor=4698
linha=386 | nome=Helena | acao=executou o benchmark | valor=9247
linha=387 | nome=Felipe | acao=escreveu o relatorio | valor=9101
linha=388 | nome=Lucas | acao=escreveu o relatorio | valor=7218
linha=389 | nome=Daniela | acao=participou da aula | valor=9260
linha=390 | nome=Tiago | acao=escreveu o relatorio | valor=5089
linha=391 | nome=Lucas | acao=escreveu o relatorio | valor=1559
linha=392 | nome=Bruno | acao=otimizou o algoritmo | valor=3678
linha=393 | nome=Vitor | acao=comparou as metricas | valor=4265
linha=394 | nome=Lucas | acao=executou o benchmark | valor=9240
linha=395 | nome=Natalia | acao=escreveu o relatorio | valor=9106
linha=396 | nome=Mariana | acao=executou o benchmark | valor=5538
linha=397 | nome=Renata | acao=comparou as metricas | valor=5040
linha=398 | nome=Natalia | acao=escreveu o relatorio | valor=9327
linha=399 | nome=Karen | acao=estudou computacao | valor=2130
linha=400 | nome=Lucas | acao=otimizou o algoritmo | valor=7719
linha=401 | nome=Mariana | acao=participou da aula | valor=9586
linha=402 | nome=Lucas | acao=escreveu o relatorio | valor=1325
linha=403 | nome=Sofia | acao=comparou as metricas | valor=4815
linha=404 | nome=Igor | acao=executou o benchmark | valor=4118
linha=405 | nome=Carlos | acao=fez um experimento | valor=7994
linha=406 | nome=Natalia | acao=participou da aula | valor=5338
linha=407 | nome=Tiago | acao=participou da aula | valor=5842
linha=408 | nome=Vitor | acao=participou da aula | valor=1918
linha=409 | nome=Daniela | acao=fez um experimento | valor=8703
linha=410 | nome=Helena | acao=participou da aula | valor=3599
linha=411 | nome=Sofia | acao=estudou computacao | valor=9536
linha=412 | nome=Eduarda | acao=executou o benchmark | valor=9512
linha=413 | nome=Paulo | acao=participou da aula | valor=2927
linha=414 | nome=Mariana | acao=participou da aula | valor=9338
linha=415 | nome=Eduarda | acao=escreveu o relatorio | valor=7169
linha=416 | nome=Renata | acao=analisou os resultados | valor=5382
linha=417 | nome=Daniela | acao=comparou as metricas | valor=1885
linha=418 | nome=Lucas | acao=executou o benchmark | valor=3080
linha=419 | nome=Otavio | acao=fez um experimento | valor=8879
linha=420 | nome=Gabriela | acao=participou da aula | valor=8542
linha=421 | nome=Karen | acao=comparou as metricas | valor=2332
linha=422 | nome=Daniela | acao=estudou computacao | valor=9691
linha=423 | nome=Lucas | acao=comparou as metricas | valor=4722
linha=424 | nome=Vitor | acao=escreveu o relatorio | valor=3107
linha=425 | nome=Daniela | acao=participou da aula | valor=9975
linha=426 | nome=Paulo | acao=executou o benchmark | valor=5933
linha=427 | nome=Natalia | acao=estudou computacao | valor=4137
linha=428 | nome=Felipe | acao=fez um experimento | valor=9173
linha=429 | nome=Natalia | acao=comparou as metricas | valor=1838
linha=430 | nome=Otavio | acao=executou o benchmark | valor=7018
linha=431 | nome=Ana | acao=executou o benchmark | valor=6243
linha=432 | nome=Carlos | acao=executou o benchmark | valor=1012
linha=433 | nome=Mariana | acao=executou o benchmark | valor=5498
linha=434 | nome=Paulo | acao=escreveu o relatorio | valor=7866
linha=435 | nome=Natalia | acao=analisou os resultados | valor=2839
linha=436 | nome=Tiago | acao=participou da aula | valor=3969
linha=437 | nome=Sofia | acao=participou da aula | valor=4382
linha=438 | nome=Tiago | acao=fez um experimento | valor=6670
linha=439 | nome=Felipe | acao=comparou as metricas | valor=8238
linha=440 | nome=Otavio | acao=comparou as metricas | valor=2809
linha=441 | nome=Natalia | acao=analisou os resultados | valor=4365
linha=442 | nome=Ana | acao=analisou os resultados | valor=4335
linha=443 | nome=Felipe | acao=fez um experimento | valor=5967
linha=444 | nome=Otavio | acao=fez um experimento | valor=6369
linha=445 | nome=Helena | acao=escreveu o relatorio | valor=5581
linha=446 | nome=Eduarda | acao=participou da aula | valor=4898
linha=447 | nome=Bruno | acao=escreveu o relatorio | valor=3902
linha=448 | nome=Bruno | acao=estudou computacao | valor=8563
linha=449 | nome=Helena | acao=analisou os resultados | valor=7567
linha=450 | nome=Felipe | acao=analisou os resultados | valor=1152
linha=451 | nome=Daniela | acao=estudou computacao | valor=1010
linha=452 | nome=Bruno | acao=comparou as metricas | valor=7320
