linha=1 | nome=Paulo | acao=executou o benchmark | valor=3803
linha=83 | nome=Eduarda | acao=executou o benchmark | valor=3886
linha=84 | nome=Daniela | acao=otimizou o algoritmo | valor=6656
linha=85 | nome=Otavio | acao=estudou computacao | valor=3631
linha=86 | nome=Gabriela | acao=otimizou o algoritmo | valor=1385
linha=87 | nome=Tiago | acao=fez um experimento | valor=1508
linha=88 | nome=Tiago | acao=analisou os resultados | valor=2734
linha=89 | nome=Joao | acao=fez um experimento | valor=3850
linha=90 | nome=Sofia | acao=escreveu o relatorio | valor=2139
linha=91 | nome=Ana | acao=otimizou o algoritmo | valor=9022
linha=92 | nome=Tiago | acao=executou o benchmark | valor=9746
linha=93 | nome=Gabriela | acao=fez um experimento | valor=1842
linha=94 | nome=Mariana | acao=fez um experimento | valor=1973
linha=95 | nome=Joao | acao=estudou computacao | valor=8404
linha=96 | nome=Igor | acao=analisou os resultados | valor=7180
linha=97 | nome=Natalia | acao=fez um experimento | valor=8244
linha=98 | nome=Karen | acao=executou o benchmark | valor=3289
linha=99 | nome=Paulo | acao=estudou computacao | valor=6762
linha=100 | nome=Bruno | acao=estudou computacao | valor=3094
linha=101 | nome=Paulo | acao=comparou as metricas | valor=8159
linha=102 | nome=Karen | acao=participou da aula | valor=1417
linha=103 | nome=Natalia | acao=fez um experimento | valor=9308
linha=104 | nome=Ana | acao=otimizou o algoritmo | valor=3386
linha=105 | nome=Karen | acao=analisou os resultados | valor=1518
linha=106 | nome=Lucas | acao=analisou os resultados | valor=5947
linha=107 | nome=Paulo | acao=participou da aula | valor=9238
linha=108 | nome=Otavio | acao=escreveu o relatorio | valor=4098
linha=109 | nome=Helena | acao=estudou computacao | valor=8552
linha=110 | nome=Paulo | acao=executou o benchmark | valor=1515
linha=111 | nome=Igor | acao=comparou as metricas | valor=6312
linha=112 | nome=Felipe | acao=estudou computacao | valor=8789
linha=113 | nome=Eduarda | acao=otimizou o algoritmo | valor=3233
linha=114 | nome=Paulo | acao=analisou os resultados | valor=1171
linha=115 | nome=Otavio | acao=analisou os resultados | valor=5095
linha=116 | nome=Carlos | acao=otimizou o algoritmo | valor=3082
linha=117 | nome=Karen | acao=fez um experimento | valor=4810
linha=118 | nome=Lucas | acao=comparou as metricas | valor=6033
linha=119 | nome=Otavio | acao=participou da aula | valor=8959
linha=120 | nome=Igor | acao=estudou computacao | valor=5300
linha=121 | nome=Renata | acao=executou o benchmark | valor=5699
linha=122 | nome=Felipe | acao=analisou os resultados | valor=3293
linha=123 | nome=Ana | acao=estudou computacao | valor=2373
linha=124 | nome=Helena | acao=estudou computacao | valor=1555
linha=125 | nome=Tiago | acao=executou o benchmark | valor=8001
linha=126 | nome=Bruno | acao=escreveu o relatorio | valor=1709
linha=127 | nome=Otavio | acao=analisou os resultados | valor=2618
linha=128 | nome=Felipe | acao=otimizou o algoritmo | valor=3322
linha=129 | nome=Renata | acao=participou da aula | valor=7835
linha=130 | nome=Mariana | acao=otimizou o algoritmo | valor=4438
linha=131 | nome=Joao | acao=estudou computacao | valor=8443
linha=132 | nome=Eduarda | acao=executou o benchmark | valor=8651
linha=133 | nome=Paulo | acao=participou da aula | valor=1032
linha=134 | nome=Eduarda | acao=participou da aula | valor=2417
linha=135 | nome=Renata | acao=analisou os resultados | valor=7604
linha=136 | nome=Eduarda | acao=analisou os resultados | valor=7995
linha=137 | nome=Natalia | acao=executou o benchmark | valor=2979
linha=138 | nome=Ana | acao=escreveu o relatorio | valor=1344
linha=139 | nome=Igor | acao=analisou os resultados | valor=5859
linha=140 | nome=Ana | acao=escreveu o relatorio | valor=1714
linha=141 | nome=Tiago | acao=comparou as metricas | valor=4680
linha=142 | nome=Sofia | acao=participou da aula | valor=1099
linha=143 | nome=Tiago | acao=comparou as metricas | valor=8066
linha=144 | nome=Natalia | acao=analisou os resultados | valor=5266
linha=145 | nome=Lucas | acao=executou o benchmark | valor=6775
linha=146 | nome=Paulo | acao=escreveu o relatorio | valor=3211
linha=147 | nome=Mariana | acao=executou o benchmark | valor=5132
linha=148 | nome=Lucas | acao=executou o benchmark | valor=5107
linha=149 | nome=Paulo | acao=executou o benchmark | valor=5893
linha=150 | nome=Vitor | acao=analisou os resultados | valor=4794
linha=151 | nome=Igor | acao=analisou os resultados | valor=8561
linha=152 | nome=Mariana | acao=otimizou o algoritmo | valor=8417
linha=153 | nome=Felipe | acao=estudou computacao | valor=3178
linha=154 | nome=Joao | acao=comparou as metricas | valor=2069
linha=155 | nome=Vitor | acao=estudou computacao | valor=2253
linha=156 | nome=Karen | acao=fez um experimento | valor=4003
linha=157 | nome=Natalia | acao=escreveu o relatorio | valor=4750
linha=158 | nome=Joao | acao=fez um experimento | valor=8607
linha=159 | nome=Gabriela | acao=otimizou o algoritmo | valor=3740
linha=160 | nome=Felipe | acao=analisou os resultados | valor=8105
linha=161 | nome=Eduarda | acao=executou o benchmark | valor=8254
linha=162 | nome=Gabriela | acao=executou o benchmark | valor=4642
linha=163 | nome=Lucas | acao=otimizou o algoritmo | valor=7001
linha=164 | nome=Lucas | acao=fez um experimento | valor=7200
linha=165 | nome=Carlos | acao=comparou as metricas | valor=2091
linha=166 | nome=Vitor | acao=otimizou o algoritmo | valor=3268
linha=167 | nome=Felipe | acao=escreveu o relatorio | valor=6813
linha=168 | nome=Mariana | acao=otimizou o algoritmo | valor=7481
linha=169 | nome=Lucas | acao=fez um experimento | valor=3940
linha=170 | nome=Bruno | acao=analisou os resultados | valor=2659
linha=171 | nome=Mariana | acao=analisou os resultados | valor=5875
linha=172 | nome=Igor | acao=analisou os resultados | valor=4046
linha=173 | nome=Carlos | acao=participou da aula | valor=9849
linha=174 | nome=Paulo | acao=otimizou o algoritmo | valor=8465
linha=175 | nome=Gabriela | acao=participou da aula | valor=1324
linha=176 | nome=Natalia | acao=comparou as metricas | valor=8194
linha=177 | nome=Helena | acao=comparou as metricas | valor=5320
linha=178 | nome=Sofia | acao=fez um experimento | valor=3725
linha=179 | nome=Felipe | acao=executou o benchmark | valor=5272
linha=180 | nome=Carlos | acao=participou da aula | valor=8637
linha=181 | nome=Ana | acao=analisou os resultados | valor=9685
linha=182 | nome=Renata | acao=estudou computacao | valor=4826
linha=183 | nome=Helena | acao=otimizou o algoritmo | valor=6179
linha=184 | nome=Felipe | acao=participou da aula | valor=9566
linha=185 | nome=Mariana | acao=analisou os resultados | valor=7615
linha=186 | nome=Paulo | acao=estudou computacao | valor=7908
linha=187 | nome=Lucas | acao=participou da aula | valor=8558
linha=188 | nome=Helena | acao=otimizou o algoritmo | valor=6372
linha=189 | nome=Vitor | acao=otimizou o algoritmo | valor=1077
linha=190 | nome=Renata | acao=executou o benchmark | valor=8133
linha=191 | nome=Sofia | acao=analisou os resultados | valor=1495
linha=192 | nome=Daniela | acao=participou da aula | valor=4280
linha=193 | nome=Eduarda | acao=comparou as metricas | valor=4204
linha=194 | nome=Mariana | acao=estudou computacao | valor=6108
linha=195 | nome=Daniela | acao=fez um experimento | valor=6550
linha=196 | nome=Daniela | acao=escreveu o relatorio | valor=3205
linha=197 | nome=Igor | acao=otimizou o algoritmo | valor=5124
linha=198 | nome=Vitor | acao=analisou os resultados | valor=4411
linha=199 | nome=Carlos | acao=analisou os resultados | valor=3483
linha=200 | nome=Joao | acao=analisou os resultados | valor=3605
linha=201 | nome=Paulo | acao=analisou os resultados | valor=7149
linha=202 | nome=Igor | acao=fez um experimento | valor=7100
linha=203 | nome=Ana | acao=executou o benchmark | valor=7187
linha=204 | nome=Lucas | acao=estudou computacao | valor=5609
linha=205 | nome=Lucas | acao=fez um experimento | valor=5800
linha=206 | nome=Lucas | acao=estudou computacao | valor=1262
linha=207 | nome=Felipe | acao=comparou as metricas | valor=4658
linha=208 | nome=Paulo | acao=escreveu o relatorio | valor=8916
linha=209 | nome=Eduarda | acao=escreveu o relatorio | valor=6688
linha=210 | nome=Eduarda | acao=estudou computacao | valor=6137
linha=211 | nome=Karen | acao=analisou os resultados | valor=5371
linha=212 | nome=Carlos | acao=estudou computacao | valor=5348
linha=213 | nome=Paulo | acao=analisou os resultados | valor=9848
linha=214 | nome=Joao | acao=otimizou o algoritmo | valor=8739
linha=215 | nome=Joao | acao=executou o benchmark | valor=2331
linha=216 | nome=Felipe | acao=comparou as metricas | valor=6662
linha=217 | nome=Eduarda | acao=escreveu o relatorio | valor=3487
linha=218 | nome=Gabriela | acao=analisou os resultados | valor=3414
linha=219 | nome=Paulo | acao=participou da aula | valor=9245
linha=220 | nome=Paulo | acao=analisou os resultados | valor=1933
linha=221 | nome=Vitor | acao=executou o benchmark | valor=5807
linha=222 | nome=Mariana | acao=fez um experimento | valor=5329
linha=223 | nome=Sofia | acao=fez um experimento | valor=3959
linha=224 | nome=Gabriela | acao=executou o benchmark | valor=3342
linha=225 | nome=Renata | acao=estudou computacao | valor=4485
linha=226 | nome=Joao | acao=otimizou o algoritmo | valor=6727
linha=227 | nome=Gabriela | acao=comparou as metricas | valor=8890
linha=228 | nome=Eduarda | acao=otimizou o algoritmo | valor=8963
linha=229 | nome=Bruno | acao=comparou as metricas | valor=6817
linha=230 | nome=Mariana | acao=fez um experimento | valor=4655
linha=231 | nome=Daniela | acao=executou o benchmark | valor=8055
linha=232 | nome=Felipe | acao=escreveu o relatorio | valor=4714
linha=233 | nome=Renata | acao=participou da aula | valor=7493
linha=234 | nome=Carlos | acao=analisou os resultados | valor=2705
linha=235 | nome=Renata | acao=analisou os resultados | valor=3222
linha=236 | nome=Mariana | acao=comparou as metricas | valor=7097
linha=237 | nome=Tiago | acao=participou da aula | valor=8930
linha=238 | nome=Natalia | acao=estudou computacao | valor=2442
linha=239 | nome=Karen | acao=comparou as metricas | valor=7616
linha=240 | nome=Mariana | acao=comparou as metricas | valor=9895
linha=241 | nome=Vitor | acao=estudou computacao | valor=5559
linha=242 | nome=Eduarda | acao=escreveu o relatorio | valor=3332
linha=243 | nome=Tiago | acao=analisou os resultados | valor=4157
linha=244 | nome=Mariana | acao=participou da aula | valor=3378
linha=245 | nome=Igor | acao=executou o benchmark | valor=2135
linha=246 | nome=Renata | acao=analisou os resultados | valor=7471
linha=247 | nome=Mariana | acao=participou da aula | valor=2429
linha=248 | nome=Karen | acao=escreveu o relatorio | valor=1115
linha=249 | nome=Karen | acao=participou da aula | valor=5734
linha=250 | nome=Otavio | acao=estudou computacao | valor=1090
linha=251 | nome=Carlos | acao=analisou os resultados | valor=4264
linha=252 | nome=Felipe | acao=fez um experimento | valor=6644
linha=253 | nome=Vitor | acao=estudou computacao | valor=2840
linha=254 | nome=Helena | acao=executou o benchmark | valor=3969
linha=255 | nome=Joao | acao=comparou as metricas | valor=6551
linha=256 | nome=Gabriela | acao=analisou os resultados | valor=6573
linha=257 | nome=Lucas | acao=otimizou o algoritmo | valor=4395
linha=258 | nome=Renata | acao=executou o benchmark | valor=6983
linha=259 | nome=Tiago | acao=analisou os resultados | valor=3669
linha=260 | nome=Carlos | acao=otimizou o algoritmo | valor=2381
linha=261 | nome=Mariana | acao=analisou os resultados | valor=3412
linha=262 | nome=Tiago | acao=escreveu o relatorio | valor=7534
linha=263 | nome=Gabriela | acao=estudou computacao | valor=6055
linha=264 | nome=Mariana | acao=analisou os resultados | valor=7576
linha=265 | nome=Igor | acao=estudou computacao | valor=4717
linha=266 | nome=Helena | acao=participou da aula | valor=4854
linha=267 | nome=Igor | acao=comparou as metricas | valor=3722
linha=268 | nome=Eduarda | acao=otimizou o algoritmo | valor=8348
linha=269 | nome=Sofia | acao=fez um experimento | valor=5021
linha=270 | nome=Vitor | acao=executou o benchmark | valor=5220
linha=271 | nome=Sofia | acao=comparou as metricas | valor=4852
linha=272 | nome=Bruno | acao=fez um experimento | valor=2651
linha=273 | nome=Vitor | acao=analisou os resultados | valor=3268
linha=274 | nome=Natalia | acao=participou da aula | valor=1454
linha=275 | nome=Mariana | acao=otimizou o algoritmo | valor=5434
linha=276 | nome=Gabriela | acao=estudou computacao | valor=4785
linha=277 | nome=Joao | acao=executou o benchmark | valor=2936
linha=278 | nome=Bruno | acao=participou da aula | valor=9949
linha=279 | nome=Vitor | acao=fez um experimento | valor=5714
linha=280 | nome=Ana | acao=fez um experimento | valor=8498
linha=281 | nome=Felipe | acao=otimizou o algoritmo | valor=7324
linha=282 | nome=Daniela | acao=otimizou o algoritmo | valor=5037
linha=283 | nome=Carlos | acao=estudou computacao | valor=3357
linha=284 | nome=Otavio | acao=escreveu o relatorio | valor=1977
linha=285 | nome=Karen | acao=fez um experimento | valor=2582
linha=286 | nome=Otavio | acao=executou o benchmark | valor=6236
linha=287 | nome=Joao | acao=comparou as metricas | valor=8788
linha=288 | nome=Felipe | acao=participou da aula | valor=3198
linha=289 | nome=Joao | acao=participou da aula | valor=1867
linha=290 | nome=Renata | acao=escreveu o relatorio | valor=2613
linha=291 | nome=Daniela | acao=escreveu o relatorio | valor=2565
linha=292 | nome=Mariana | acao=escreveu o relatorio | valor=1024
linha=293 | nome=Karen | acao=escreveu o relatorio | valor=9379
linha=294 | nome=Eduarda | acao=analisou os resultados | valor=3269
linha=295 | nome=Helena | acao=estudou computacao | valor=8512
linha=296 | nome=Otavio | acao=escreveu o relatorio | valor=8389
linha=297 | nome=Igor | acao=estudou computacao | valor=1726
linha=298 | nome=Bruno | acao=fez um experimento | valor=8540
linha=299 | nome=Felipe | acao=otimizou o algoritmo | valor=6994
linha=300 | nome=Igor | acao=executou o benchmark | valor=2219
linha=301 | nome=Gabriela | acao=participou da aula | valor=2438
linha=302 | nome=Mariana | acao=escreveu o relatorio | valor=5521
linha=303 | nome=Otavio | acao=otimizou o algoritmo | valor=6667
linha=304 | nome=Tiago | acao=estudou computacao | valor=6707
linha=305 | nome=Carlos | acao=fez um experimento | valor=7956
linha=306 | nome=Eduarda | acao=analisou os resultados | valor=2468
linha=307 | nome=Ana | acao=executou o benchmark | valor=9158
linha=308 | nome=Bruno | acao=fez um experimento | valor=1310
linha=309 | nome=Bruno | acao=estudou computacao | valor=4538
linha=310 | nome=Daniela | acao=comparou as metricas | valor=7437
linha=311 | nome=Otavio | acao=escreveu o relatorio | valor=4412
linha=312 | nome=Mariana | acao=comparou as metricas | valor=3335
linha=313 | nome=Sofia | acao=comparou as metricas | valor=4462
linha=314 | nome=Joao | acao=estudou computacao | valor=6210
linha=315 | nome=Gabriela | acao=participou da aula | valor=1800
linha=316 | nome=Renata | acao=fez um experimento | valor=8369
linha=317 | nome=Mariana | acao=comparou as metricas | valor=3055
linha=318 | nome=Otavio | acao=executou o benchmark | valor=4032
linha=319 | nome=Sofia | acao=escreveu o relatorio | valor=4708
linha=320 | nome=Eduarda | acao=analisou os resultados | valor=6103
linha=321 | nome=Carlos | acao=otimizou o algoritmo | valor=7334
linha=322 | nome=Bruno | acao=escreveu o relatorio | valor=4028
linha=323 | nome=Mariana | acao=estudou computacao | valor=6002
linha=324 | nome=Karen | acao=fez um experimento | valor=5292
linha=325 | nome=Helena | acao=participou da aula | valor=4057
linha=326 | nome=Gabriela | acao=executou o benchmark | valor=5758
linha=327 | nome=Igor | acao=escreveu o relatorio | valor=3963
linha=328 | nome=Igor | acao=escreveu o relatorio | valor=1761
linha=329 | nome=Mariana | acao=estudou computacao | valor=6092
linha=330 | nome=Gabriela | acao=analisou os resultados | valor=4967
linha=331 | nome=Helena | acao=comparou as metricas | valor=2859
linha=332 | nome=Karen | acao=fez um experimento | valor=1548
linha=333 | nome=Ana | acao=executou o benchmark | valor=9000
linha=334 | nome=Helena | acao=escreveu o relatorio | valor=3147
linha=335 | nome=Vitor | acao=otimizou o algoritmo | valor=4321
linha=336 | nome=Sofia | acao=otimizou o algoritmo | valor=1963
linha=337 | nome=Carlos | acao=analisou os resultados | valor=4193
linha=338 | nome=Lucas | acao=executou o benchmark | valor=6369
linha=339 | nome=Paulo | acao=estudou computacao | valor=7987
linha=340 | nome=Mariana | acao=participou da aula | valor=2444
linha=341 | nome=Lucas | acao=participou da aula | valor=9109
linha=342 | nome=Otavio | acao=estudou computacao | valor=7601
linha=343 | nome=Ana | acao=executou o benchmark | valor=3246
linha=344 | nome=Mariana | acao=executou o benchmark | valor=2796
linha=345 | nome=Vitor | acao=analisou os resultados | valor=1768
linha=346 | nome=Daniela | acao=otimizou o algoritmo | valor=3123
linha=347 | nome=Bruno | acao=escreveu o relatorio | valor=8876
linha=348 | nome=Paulo | acao=analisou os resultados | valor=1347
linha=349 | nome=Gabriela | acao=otimizou o algoritmo | valor=3845
linha=350 | nome=Vitor | acao=executou o benchmark | valor=4623
linha=351 | nome=Sofia | acao=executou o benchmark | valor=6151
linha=352 | nome=Natalia | acao=analisou os resultados | valor=1200
linha=353 | nome=Eduarda | acao=comparou as metricas | valor=2632
linha=354 | nome=Carlos | acao=executou o benchmark | valor=4070
linha=355 | nome=Gabriela | acao=executou o benchmark | valor=9666
linha=356 | nome=Daniela | acao=executou o benchmark | valor=1830
linha=357 | nome=Otavio | acao=analisou os resultados | valor=7096
linha=358 | nome=Helena | acao=estudou computacao | valor=6740
linha=359 | nome=Vitor | acao=participou da aula | valor=5160
linha=360 | nome=Joao | acao=participou da aula | valor=7578
linha=361 | nome=Joao | acao=executou o benchmark | valor=8897
linha=362 | nome=Karen | acao=escreveu o relatorio | valor=6816
linha=363 | nome=Daniela | acao=fez um experimento | valor=8861
linha=364 | nome=Daniela | acao=analisou os resultados | valor=3135
linha=365 | nome=Felipe | acao=comparou as metricas | valor=5302
linha=366 | nome=Eduarda | acao=analisou os resultados | valor=2802
linha=367 | nome=Renata | acao=escreveu o relatorio | valor=5800
linha=368 | nome=Ana | acao=otimizou o algoritmo | valor=8999
linha=369 | nome=Otavio | acao=participou da aula | valor=5460
linha=370 | nome=Lucas | acao=estudou computacao | valor=1303
linha=371 | nome=Paulo | acao=otimizou o algoritmo | valor=7099
linha=372 | nome=Ana | acao=otimizou o algoritmo | valor=5352
linha=373 | nome=Otavio | acao=participou da aula | valor=9362
linha=374 | nome=Igor | acao=comparou as metricas | valor=8684
linha=375 | nome=Mariana | acao=analisou os resultados | valor=7379
linha=376 | nome=Joao | acao=otimizou o algoritmo | valor=7676
linha=377 | nome=Vitor | acao=estudou computacao | valor=6351
linha=378 | nome=Lucas | acao=comparou as metricas | valor=1672
linha=379 | nome=Karen | acao=otimizou o algoritmo | valor=2530
linha=380 | nome=Tiago | acao=estudou computacao | valor=5832
linha=381 | nome=Eduarda | acao=estudou computacao | valor=5285
linha=382 | nome=Otavio | acao=fez um experimento | valor=9022
linha=383 | nome=Gabriela | acao=executou o benchmark | valor=2899
linha=384 | nome=Ana | acao=comparou as metricas | valor=9120
linha=385 | nome=Bruno | acao=fez um experimento | valor=6478
linha=386 | nome=Igor | acao=fez um experimento | valor=2656
linha=387 | nome=Vitor | acao=analisou os resultados | valor=3821
linha=388 | nome=Vitor | acao=escreveu o relatorio | valor=2642
linha=389 | nome=Eduarda | acao=estudou computacao | valor=3468
linha=390 | nome=Felipe | acao=analisou os resultados | valor=3207
linha=391 | nome=Mariana | acao=executou o benchmark | valor=5956
linha=392 | nome=Sofia | acao=otimizou o algoritmo | valor=4979
linha=393 | nome=Bruno | acao=comparou as metricas | valor=7056
linha=394 | nome=Ana | acao=analisou os resultados | valor=7488
linha=395 | nome=Renata | acao=analisou os resultados | valor=9755
linha=396 | nome=Igor | acao=estudou computacao | valor=4800
linha=397 | nome=Ana | acao=analisou os resultados | valor=4208
linha=398 | nome=Mariana | acao=analisou os resultados | valor=4064
linha=399 | nome=Igor | acao=otimizou o algoritmo | valor=2453
linha=400 | nome=Igor | acao=participou da aula | valor=2360
linha=401 | nome=Lucas | acao=analisou os resultados | valor=8290
linha=402 | nome=Lucas | acao=otimizou o algoritmo | valor=7470
linha=403 | nome=Renata | acao=fez um experimento | valor=1954
linha=404 | nome=Renata | acao=otimizou o algoritmo | valor=8033
linha=405 | nome=Paulo | acao=otimizou o algoritmo | valor=2152
linha=406 | nome=Mariana | acao=escreveu o relatorio | valor=6730
linha=407 | nome=Sofia | acao=analisou os resultados | valor=7850
linha=408 | nome=Renata | acao=comparou as metricas | valor=1653
linha=409 | nome=Vitor | acao=analisou os resultados | valor=2956
linha=410 | nome=Tiago | acao=participou da aula | valor=6419
linha=411 | nome=Renata | acao=escreveu o relatorio | valor=3637
linha=412 | nome=Renata | acao=comparou as metricas | valor=1262
linha=413 | nome=Felipe | acao=participou da aula | valor=6672
linha=414 | nome=Igor | acao=participou da aula | valor=4029
linha=415 | nome=Mariana | acao=otimizou o algoritmo | valor=5544
linha=416 | nome=Karen | acao=comparou as metricas | valor=8174
linha=417 | nome=Igor | acao=analisou os resultados | valor=3898
linha=418 | nome=Bruno | acao=participou da aula | valor=2911
linha=419 | nome=Paulo | acao=participou da aula | valor=6093
linha=420 | nome=Eduarda | acao=fez um experimento | valor=4198
linha=421 | nome=Bruno | acao=participou da aula | valor=6622
linha=422 | nome=Karen | acao=escreveu o relatorio | valor=1821
linha=423 | nome=Helena | acao=escreveu o relatorio | valor=8641
linha=424 | nome=Natalia | acao=analisou os resultados | valor=3254
linha=425 | nome=Mariana | acao=otimizou o algoritmo | valor=6349
linha=426 | nome=Vitor | acao=estudou computacao | valor=9134
linha=427 | nome=Gabriela | acao=otimizou o algoritmo | valor=1801
linha=428 | nome=Paulo | acao=executou o benchmark | valor=8555
linha=429 | nome=Mariana | acao=estudou computacao | valor=4779
linha=430 | nome=Igor | acao=comparou as metricas | valor=7856
linha=431 | nome=Igor | acao=participou da aula | valor=1761
linha=432 | nome=Carlos | acao=comparou as metricas | valor=4513
linha=433 | nome=Natalia | acao=estudou computacao | valor=3606
linha=434 | nome=Renata | acao=participou da aula | valor=9790
linha=435 | nome=Daniela | acao=escreveu o relatorio | valor=1178
linha=436 | nome=Vitor | acao=otimizou o algoritmo | valor=9098
linha=437 | nome=Helena | acao=participou da aula | valor=3684
linha=438 | nome=Natalia | acao=analisou os resultados | valor=5765
linha=439 | nome=Otavio | acao=comparou as metricas | valor=4043
linha=440 | nome=Renata | acao=analisou os resultados | valor=5771
linha=441 | nome=Sofia | acao=executou o benchmark | valor=2924
linha=442 | nome=Ana | acao=escreveu o relatorio | valor=1680
linha=443 | nome=Renata | acao=executou o benchmark | valor=7165
linha=444 | nome=Renata | acao=escreveu o relatorio | valor=1047
linha=445 | nome=Vitor | acao=escreveu o relatorio | valor=7339
linha=446 | nome=Joao | acao=otimizou o algoritmo | valor=5378
linha=447 | nome=Natalia | acao=estudou computacao | valor=7079
linha=448 | nome=Gabriela | acao=analisou os resultados | valor=1693
linha=449 | nome=Natalia | acao=otimizou o algoritmo | valor=3973
linha=450 | nome=Paulo | acao=executou o benchmark | valor=1632
linha=451 | nome=Felipe | acao=participou da aula | valor=6394
