linha=1 | nome=Lucas | acao=analisou os resultados | valor=5466
linha=47 | nome=Natalia | acao=participou da aula | valor=6549
linha=48 | nome=Eduarda | acao=analisou os resultados | valor=2096
linha=49 | nome=Joao | acao=fez um experimento | valor=8582
linha=50 | nome=Vitor | acao=executou o benchmark | valor=4745
linha=51 | nome=Otavio | acao=participou da aula | valor=8763
linha=52 | nome=Lucas | acao=escreveu o relatorio | valor=1770
linha=53 | nome=Renata | acao=participou da aula | valor=8170
linha=54 | nome=Gabriela | acao=fez um experimento | valor=5839
linha=55 | nome=Otavio | acao=estudou computacao | valor=7510
linha=56 | nome=Tiago | acao=otimizou o algoritmo | valor=7218
linha=57 | nome=Joao | acao=executou o benchmark | valor=7515
linha=58 | nome=Tiago | acao=fez um experimento | valor=3721
linha=59 | nome=Natalia | acao=executou o benchmark | valor=2163
linha=60 | nome=Igor | acao=fez um experimento | valor=4624
linha=61 | nome=Ana | acao=fez um experimento | valor=3616
linha=62 | nome=Gabriela | acao=participou da aula | valor=7701
linha=63 | nome=Joao | acao=escreveu o relatorio | valor=7622
linha=64 | nome=Vitor | acao=estudou computacao | valor=1066
linha=65 | nome=Lucas | acao=comparou as metricas | valor=3931
linha=66 | nome=Eduarda | acao=estudou computacao | valor=7442
linha=67 | nome=Paulo | acao=participou da aula | valor=2832
linha=68 | nome=Gabriela | acao=participou da aula | valor=4132
linha=69 | nome=Gabriela | acao=participou da aula | valor=5482
linha=70 | nome=Renata | acao=participou da aula | valor=9748
linha=71 | nome=Karen | acao=fez um experimento | valor=6720
linha=72 | nome=Joao | acao=otimizou o algoritmo | valor=5670
linha=73 | nome=Otavio | acao=fez um experimento | valor=1244
linha=74 | nome=Ana | acao=escreveu o relatorio | valor=3549
linha=75 | nome=Natalia | acao=comparou as metricas | valor=5510
linha=76 | nome=Joao | acao=comparou as metricas | valor=1722
linha=77 | nome=Ana | acao=participou da aula | valor=5303
linha=78 | nome=Eduarda | acao=fez um experimento | valor=9840
linha=79 | nome=Joao | acao=fez um experimento | valor=7875
linha=80 | nome=Eduarda | acao=analisou os resultados | valor=2241
linha=81 | nome=Karen | acao=escreveu o relatorio | valor=8728
linha=82 | nome=Tiago | acao=analisou os resultados | valor=9243
linha=83 | nome=Otavio | acao=participou da aula | valor=4149
linha=84 | nome=Felipe | acao=executou o benchmark | valor=1257
linha=85 | nome=Ana | acao=executou o benchmark | valor=7954
linha=86 | nome=Natalia | acao=estudou computacao | valor=8463
linha=87 | nome=Ana | acao=executou o benchmark | valor=9127
linha=88 | nome=Tiago | acao=comparou as metricas | valor=9036
linha=89 | nome=Karen | acao=comparou as metricas | valor=6272
linha=90 | nome=Paulo | acao=comparou as metricas | valor=6511
linha=91 | nome=Vitor | acao=participou da aula | valor=2943
linha=92 | nome=Igor | acao=participou da aula | valor=3296
linha=93 | nome=Mariana | acao=comparou as metricas | valor=7543
linha=94 | nome=Mariana | acao=comparou as metricas | valor=8657
linha=95 | nome=Mariana | acao=estudou computacao | valor=3200
linha=96 | nome=Paulo | acao=escreveu o relatorio | valor=8389
linha=97 | nome=Tiago | acao=analisou os resultados | valor=4661
linha=98 | nome=Karen | acao=otimizou o algoritmo | valor=3394
linha=99 | nome=Igor | acao=escreveu o relatorio | valor=3991
linha=100 | nome=Otavio | acao=participou da aula | valor=1150
linha=101 | nome=Mariana | acao=fez um experimento | valor=2941
linha=102 | nome=Paulo | acao=otimizou o algoritmo | valor=5296
linha=103 | nome=Joao | acao=executou o benchmark | valor=7669
linha=104 | nome=Mariana | acao=escreveu o relatorio | valor=4982
linha=105 | nome=Bruno | acao=fez um experimento | valor=3467
linha=106 | nome=Paulo | acao=participou da aula | valor=4632
linha=107 | nome=Vitor | acao=comparou as metricas | valor=4930
linha=108 | nome=Eduarda | acao=participou da aula | valor=6703
linha=109 | nome=Tiago | acao=otimizou o algoritmo | valor=6722
linha=110 | nome=Mariana | acao=escreveu o relatorio | valor=3949
linha=111 | nome=Mariana | acao=estudou computacao | valor=1504
linha=112 | nome=Ana | acao=fez um experimento | valor=7128
linha=113 | nome=Natalia | acao=executou o benchmark | valor=5898
linha=114 | nome=Felipe | acao=analisou os resultados | valor=2132
linha=115 | nome=Vitor | acao=comparou as metricas | valor=1363
linha=116 | nome=Vitor | acao=fez um experimento | valor=4548
linha=117 | nome=Ana | acao=analisou os resultados | valor=8300
linha=118 | nome=Bruno | acao=otimizou o algoritmo | valor=6143
linha=119 | nome=Gabriela | acao=comparou as metricas | valor=2293
linha=120 | nome=Igor | acao=otimizou o algoritmo | valor=9562
linha=121 | nome=Mariana | acao=otimizou o algoritmo | valor=8196
linha=122 | nome=Gabriela | acao=estudou computacao | valor=1403
linha=123 | nome=Sofia | acao=estudou computacao | valor=7580
linha=124 | nome=Vitor | acao=analisou os resultados | valor=7190
linha=125 | nome=Vitor | acao=estudou computacao | valor=8257
linha=126 | nome=Natalia | acao=fez um experimento | valor=7941
linha=127 | nome=Felipe | acao=estudou computacao | valor=4549
linha=128 | nome=Felipe | acao=estudou computacao | valor=1307
linha=129 | nome=Daniela | acao=analisou os resultados | valor=5163
linha=130 | nome=Bruno | acao=fez um experimento | valor=7918
linha=131 | nome=Felipe | acao=analisou os resultados | valor=8766
linha=132 | nome=Sofia | acao=executou o benchmark | valor=2702
linha=133 | nome=Renata | acao=escreveu o relatorio | valor=3257
linha=134 | nome=Renata | acao=fez um experimento | valor=9249
linha=135 | nome=Vitor | acao=comparou as metricas | valor=6705
linha=136 | nome=Mariana | acao=otimizou o algoritmo | valor=5178
linha=137 | nome=Carlos | acao=comparou as metricas | valor=9758
linha=138 | nome=Mariana | acao=analisou os resultados | valor=4032
linha=139 | nome=Daniela | acao=executou o benchmark | valor=4229
linha=140 | nome=Helena | acao=estudou computacao | valor=2307
linha=141 | nome=Gabriela | acao=escreveu o relatorio | valor=2247
linha=142 | nome=Sofia | acao=executou o benchmark | valor=1439
linha=143 | nome=Otavio | acao=participou da aula | valor=5470
linha=144 | nome=Gabriela | acao=participou da aula | valor=7975
linha=145 | nome=Helena | acao=fez um experimento | valor=6732
linha=146 | nome=Igor | acao=participou da aula | valor=1286
linha=147 | nome=Igor | acao=fez um experimento | valor=9327
linha=148 | nome=Bruno | acao=executou o benchmark | valor=5908
linha=149 | nome=Otavio | acao=fez um experimento | valor=6400
linha=150 | nome=Karen | acao=otimizou o algoritmo | valor=4757
linha=151 | nome=Sofia | acao=analisou os resultados | valor=5341
linha=152 | nome=Mariana | acao=executou o benchmark | valor=6500
linha=153 | nome=Karen | acao=escreveu o relatorio | valor=2974
linha=154 | nome=Igor | acao=fez um experimento | valor=3136
linha=155 | nome=Eduarda | acao=participou da aula | valor=9681
linha=156 | nome=Igor | acao=analisou os resultados | valor=7587
linha=157 | nome=Vitor | acao=escreveu o relatorio | valor=4538
linha=158 | nome=Vitor | acao=estudou computacao | valor=6610
linha=159 | nome=Mariana | acao=escreveu o relatorio | valor=9944
linha=160 | nome=Natalia | acao=otimizou o algoritmo | valor=4658
linha=161 | nome=Renata | acao=escreveu o relatorio | valor=4153
linha=162 | nome=Bruno | acao=comparou as metricas | valor=3919
linha=163 | nome=Mariana | acao=escreveu o relatorio | valor=6667
linha=164 | nome=Karen | acao=executou o benchmark | valor=2277
linha=165 | nome=Karen | acao=participou da aula | valor=3214
linha=166 | nome=Natalia | acao=escreveu o relatorio | valor=7258
linha=167 | nome=Lucas | acao=fez um experimento | valor=6286
linha=168 | nome=Igor | acao=escreveu o relatorio | valor=8231
linha=169 | nome=Vitor | acao=estudou computacao | valor=7849
linha=170 | nome=Eduarda | acao=executou o benchmark | valor=9078
linha=171 | nome=Natalia | acao=estudou computacao | valor=9807
linha=172 | nome=Gabriela | acao=analisou os resultados | valor=7118
linha=173 | nome=Felipe | acao=executou o benchmark | valor=1614
linha=174 | nome=Bruno | acao=fez um experimento | valor=1817
linha=175 | nome=Bruno | acao=escreveu o relatorio | valor=3004
linha=176 | nome=Igor | acao=executou o benchmark | valor=4762
linha=177 | nome=Carlos | acao=fez um experimento | valor=4991
linha=178 | nome=Mariana | acao=participou da aula | valor=3571
linha=179 | nome=Lucas | acao=analisou os resultados | valor=8721
linha=180 | nome=Lucas | acao=analisou os resultados | valor=2896
linha=181 | nome=Felipe | acao=otimizou o algoritmo | valor=1919
linha=182 | nome=Joao | acao=fez um experimento | valor=1565
linha=183 | nome=Sofia | acao=fez um experimento | valor=1781
linha=184 | nome=Ana | acao=escreveu o relatorio | valor=2699
linha=185 | nome=Karen | acao=fez um experimento | valor=1780
linha=186 | nome=Helena | acao=comparou as metricas | valor=1413
linha=187 | nome=Daniela | acao=fez um experimento | valor=7464
linha=188 | nome=Sofia | acao=participou da aula | valor=9298
linha=189 | nome=Karen | acao=comparou as metricas | valor=1632
linha=190 | nome=Mariana | acao=otimizou o algoritmo | valor=7315
linha=191 | nome=Daniela | acao=participou da aula | valor=3627
linha=192 | nome=Ana | acao=participou da aula | valor=7149
linha=193 | nome=Otavio | acao=estudou computacao | valor=8903
linha=194 | nome=Igor | acao=executou o benchmark | valor=2041
linha=195 | nome=Paulo | acao=estudou computacao | valor=5669
linha=196 | nome=Karen | acao=escreveu o relatorio | valor=7865
linha=197 | nome=Sofia | acao=comparou as metricas | valor=9168
linha=198 | nome=Joao | acao=executou o benchmark | valor=3520
linha=199 | nome=Otavio | acao=executou o benchmark | valor=1735
linha=200 | nome=Igor | acao=participou da aula | valor=2829
linha=201 | nome=Bruno | acao=otimizou o algoritmo | valor=1871
linha=202 | nome=Carlos | acao=participou da aula | valor=8069
linha=203 | nome=Tiago | acao=comparou as metricas | valor=7965
linha=204 | nome=Felipe | acao=analisou os resultados | valor=2597
linha=205 | nome=Helena | acao=otimizou o algoritmo | valor=4128
linha=206 | nome=Lucas | acao=executou o benchmark | valor=5098
linha=207 | nome=Joao | acao=escreveu o relatorio | valor=1552
linha=208 | nome=Joao | acao=executou o benchmark | valor=7648
linha=209 | nome=Natalia | acao=analisou os resultados | valor=8594
linha=210 | nome=Helena | acao=otimizou o algoritmo | valor=6275
linha=211 | nome=Paulo | acao=estudou computacao | valor=9478
linha=212 | nome=Helena | acao=estudou computacao | valor=7114
linha=213 | nome=Tiago | acao=participou da aula | valor=1140
linha=214 | nome=Tiago | acao=analisou os resultados | valor=1134
linha=215 | nome=Ana | acao=fez um experimento | valor=9644
linha=216 | nome=Vitor | acao=comparou as metricas | valor=7527
linha=217 | nome=Eduarda | acao=estudou computacao | valor=3484
linha=218 | nome=Natalia | acao=analisou os resultados | valor=6894
linha=219 | nome=Igor | acao=otimizou o algoritmo | valor=1691
linha=220 | nome=Karen | acao=comparou as metricas | valor=8086
linha=221 | nome=Paulo | acao=analisou os resultados | valor=3936
linha=222 | nome=Otavio | acao=otimizou o algoritmo | valor=9276
linha=223 | nome=Carlos | acao=estudou computacao | valor=7216
linha=224 | nome=Renata | acao=otimizou o algoritmo | valor=5080
linha=225 | nome=Otavio | acao=estudou computacao | valor=5838
linha=226 | nome=Tiago | acao=escreveu o relatorio | valor=1498
linha=227 | nome=Sofia | acao=estudou computacao | valor=6235
linha=228 | nome=Renata | acao=estudou computacao | valor=8372
linha=229 | nome=Karen | acao=fez um experimento | valor=1959
linha=230 | nome=Carlos | acao=fez um experimento | valor=2406
linha=231 | nome=Paulo | acao=participou da aula | valor=8425
linha=232 | nome=Tiago | acao=estudou computacao | valor=6504
linha=233 | nome=Helena | acao=escreveu o relatorio | valor=2794
linha=234 | nome=Ana | acao=comparou as metricas | valor=5695
linha=235 | nome=Felipe | acao=estudou computacao | valor=1494
linha=236 | nome=Natalia | acao=fez um experimento | valor=7669
linha=237 | nome=Lucas | acao=escreveu o relatorio | valor=5362
linha=238 | nome=Sofia | acao=executou o benchmark | valor=7447
linha=239 | nome=Eduarda | acao=fez um experimento | valor=5147
linha=240 | nome=Eduarda | acao=executou o benchmark | valor=5887
linha=241 | nome=Mariana | acao=comparou as metricas | valor=2802
linha=242 | nome=Ana | acao=estudou computacao | valor=6005
linha=243 | nome=Sofia | acao=fez um experimento | valor=5351
linha=244 | nome=Joao | acao=estudou computacao | valor=2815
linha=245 | nome=Tiago | acao=fez um experimento | valor=5752
linha=246 | nome=Mariana | acao=comparou as metricas | valor=9637
linha=247 | nome=Lucas | acao=executou o benchmark | valor=8017
linha=248 | nome=Bruno | acao=escreveu o relatorio | valor=6151
linha=249 | nome=Natalia | acao=otimizou o algoritmo | valor=3661
linha=250 | nome=Carlos | acao=analisou os resultados | valor=4790
linha=251 | nome=Karen | acao=escreveu o relatorio | valor=5145
linha=252 | nome=Vitor | acao=comparou as metricas | valor=9577
linha=253 | nome=Eduarda | acao=estudou computacao | valor=4878
linha=254 | nome=Joao | acao=fez um experimento | valor=8383
linha=255 | nome=Natalia | acao=escreveu o relatorio | valor=6982
linha=256 | nome=Paulo | acao=escreveu o relatorio | valor=9485
linha=257 | nome=Bruno | acao=otimizou o algoritmo | valor=9427
linha=258 | nome=Lucas | acao=otimizou o algoritmo | valor=3295
linha=259 | nome=Sofia | acao=otimizou o algoritmo | valor=2243
linha=260 | nome=Tiago | acao=executou o benchmark | valor=1005
linha=261 | nome=Karen | acao=executou o benchmark | valor=9069
linha=262 | nome=Gabriela | acao=fez um experimento | valor=7287
linha=263 | nome=Natalia | acao=escreveu o relatorio | valor=9828
linha=264 | nome=Felipe | acao=otimizou o algoritmo | valor=5333
linha=265 | nome=Daniela | acao=comparou as metricas | valor=6822
linha=266 | nome=Bruno | acao=otimizou o algoritmo | valor=6886
linha=267 | nome=Carlos | acao=escreveu o relatorio | valor=5174
linha=268 | nome=Paulo | acao=estudou computacao | valor=2492
linha=269 | nome=Vitor | acao=executou o benchmark | valor=4865
linha=270 | nome=Tiago | acao=analisou os resultados | valor=2961
linha=271 | nome=Igor | acao=comparou as metricas | valor=5611
linha=272 | nome=Mariana | acao=participou da aula | valor=4362
linha=273 | nome=Natalia | acao=executou o benchmark | valor=6281
linha=274 | nome=Carlos | acao=escreveu o relatorio | valor=2124
linha=275 | nome=Paulo | acao=comparou as metricas | valor=9899
linha=276 | nome=Igor | acao=executou o benchmark | valor=4325
linha=277 | nome=Tiago | acao=escreveu o relatorio | valor=1726
linha=278 | nome=Paulo | acao=comparou as metricas | valor=3369
linha=279 | nome=Mariana | acao=executou o benchmark | valor=7615
linha=280 | nome=Felipe | acao=comparou as metricas | valor=6491
linha=281 | nome=Eduarda | acao=analisou os resultados | valor=6810
linha=282 | nome=Renata | acao=participou da aula | valor=9012
linha=283 | nome=Mariana | acao=otimizou o algoritmo | valor=6807
linha=284 | nome=Tiago | acao=otimizou o algoritmo | valor=6071
linha=285 | nome=Mariana | acao=fez um experimento | valor=3212
linha=286 | nome=Joao | acao=executou o benchmark | valor=9095
linha=287 | nome=Renata | acao=analisou os resultados | valor=8243
linha=288 | nome=Gabriela | acao=participou da aula | valor=4607
linha=289 | nome=Karen | acao=otimizou o algoritmo | valor=9181
linha=290 | nome=Mariana | acao=executou o benchmark | valor=7790
linha=291 | nome=Ana | acao=participou da aula | valor=8228
linha=292 | nome=Renata | acao=fez um experimento | valor=2805
linha=293 | nome=Carlos | acao=participou da aula | valor=5772
linha=294 | nome=Carlos | acao=escreveu o relatorio | valor=5447
linha=295 | nome=Sofia | acao=executou o benchmark | valor=7067
linha=296 | nome=Eduarda | acao=comparou as metricas | valor=7444
linha=297 | nome=Natalia | acao=participou da aula | valor=5938
linha=298 | nome=Lucas | acao=estudou computacao | valor=7353
linha=299 | nome=Gabriela | acao=fez um experimento | valor=8219
linha=300 | nome=Eduarda | acao=analisou os resultados | valor=8677
linha=301 | nome=Karen | acao=estudou computacao | valor=5348
linha=302 | nome=Helena | acao=otimizou o algoritmo | valor=4858
linha=303 | nome=Sofia | acao=participou da aula | valor=9619
linha=304 | nome=Renata | acao=analisou os resultados | valor=3767
linha=305 | nome=Karen | acao=estudou computacao | valor=5886
linha=306 | nome=Felipe | acao=analisou os resultados | valor=9138
linha=307 | nome=Bruno | acao=estudou computacao | valor=5996
linha=308 | nome=Daniela | acao=executou o benchmark | valor=1231
linha=309 | nome=Lucas | acao=comparou as metricas | valor=8866
linha=310 | nome=Mariana | acao=analisou os resultados | valor=6952
linha=311 | nome=Igor | acao=escreveu o relatorio | valor=9507
linha=312 | nome=Paulo | acao=executou o benchmark | valor=7671
linha=313 | nome=Joao | acao=estudou computacao | valor=5548
linha=314 | nome=Karen | acao=comparou as metricas | valor=7507
linha=315 | nome=Igor | acao=otimizou o algoritmo | valor=8852
linha=316 | nome=Helena | acao=comparou as metricas | valor=7476
linha=317 | nome=Tiago | acao=executou o benchmark | valor=7998
linha=318 | nome=Gabriela | acao=analisou os resultados | valor=5183
linha=319 | nome=Igor | acao=comparou as metricas | valor=7714
linha=320 | nome=Felipe | acao=fez um experimento | valor=9048
linha=321 | nome=Sofia | acao=fez um experimento | valor=1427
linha=322 | nome=Mariana | acao=estudou computacao | valor=8569
linha=323 | nome=Tiago | acao=estudou computacao | valor=5279
linha=324 | nome=Karen | acao=estudou computacao | valor=7575
linha=325 | nome=Daniela | acao=otimizou o algoritmo | valor=8154
linha=326 | nome=Ana | acao=otimizou o algoritmo | valor=1652
linha=327 | nome=Felipe | acao=executou o benchmark | valor=2964
linha=328 | nome=Otavio | acao=escreveu o relatorio | valor=1822
linha=329 | nome=Vitor | acao=participou da aula | valor=1193
linha=330 | nome=Felipe | acao=analisou os resultados | valor=4890
linha=331 | nome=Tiago | acao=estudou computacao | valor=3477
linha=332 | nome=Tiago | acao=otimizou o algoritmo | valor=3878
linha=333 | nome=Mariana | acao=estudou computacao | valor=7651
linha=334 | nome=Bruno | acao=fez um experimento | valor=1887
linha=335 | nome=Joao | acao=fez um experimento | valor=5773
linha=336 | nome=Bruno | acao=fez um experimento | valor=8111
linha=337 | nome=Bruno | acao=comparou as metricas | valor=7615
linha=338 | nome=Joao | acao=estudou computacao | valor=8016
linha=339 | nome=Felipe | acao=fez um experimento | valor=7425
linha=340 | nome=Vitor | acao=estudou computacao | valor=6720
linha=341 | nome=Felipe | acao=escreveu o relatorio | valor=6214
linha=342 | nome=Natalia | acao=otimizou o algoritmo | valor=1505
linha=343 | nome=Mariana | acao=comparou as metricas | valor=6651
linha=344 | nome=Sofia | acao=participou da aula | valor=3555
linha=345 | nome=Igor | acao=analisou os resultados | valor=6840
linha=346 | nome=Mariana | acao=fez um experimento | valor=9074
linha=347 | nome=Gabriela | acao=fez um experimento | valor=8932
linha=348 | nome=Vitor | acao=otimizou o algoritmo | valor=4038
linha=349 | nome=Felipe | acao=fez um experimento | valor=8576
linha=350 | nome=Sofia | acao=executou o benchmark | valor=4998
linha=351 | nome=Carlos | acao=comparou as metricas | valor=1306
linha=352 | nome=Ana | acao=analisou os resultados | valor=2692
linha=353 | nome=Igor | acao=comparou as metricas | valor=6651
linha=354 | nome=Natalia | acao=participou da aula | valor=7710
linha=355 | nome=Karen | acao=estudou computacao | valor=7828
linha=356 | nome=Renata | acao=otimizou o algoritmo | valor=4751
linha=357 | nome=Natalia | acao=analisou os resultados | valor=7020
linha=358 | nome=Eduarda | acao=participou da aula | valor=7150
linha=359 | nome=Gabriela | acao=fez um experimento | valor=1677
linha=360 | nome=Paulo | acao=analisou os resultados | valor=7595
linha=361 | nome=Eduarda | acao=otimizou o algoritmo | valor=1530
linha=362 | nome=Natalia | acao=participou da aula | valor=1259
linha=363 | nome=Otavio | acao=comparou as metricas | valor=9316
linha=364 | nome=Renata | acao=otimizou o algoritmo | valor=5993
linha=365 | nome=Felipe | acao=estudou computacao | valor=8853
linha=366 | nome=Mariana | acao=estudou computacao | valor=8908
linha=367 | nome=Helena | acao=fez um experimento | valor=3144
linha=368 | nome=Joao | acao=otimizou o algoritmo | valor=1561
linha=369 | nome=Renata | acao=escreveu o relatorio | valor=1898
linha=370 | nome=Eduarda | acao=escreveu o relatorio | valor=3339
linha=371 | nome=Lucas | acao=participou da aula | valor=3650
linha=372 | nome=Joao | acao=escreveu o relatorio | valor=4438
linha=373 | nome=Igor | acao=fez um experimento | valor=9433
linha=374 | nome=Otavio | acao=fez um experimento | valor=9647
linha=375 | nome=Joao | acao=executou o benchmark | valor=5827
linha=376 | nome=Karen | acao=estudou computacao | valor=9952
linha=377 | nome=Vitor | acao=executou o benchmark | valor=5199
linha=378 | nome=Daniela | acao=fez um experimento | valor=4490
linha=379 | nome=Natalia | acao=executou o benchmark | valor=6437
linha=380 | nome=Helena | acao=fez um experimento | valor=2210
linha=381 | nome=Ana | acao=analisou os resultados | valor=5374
linha=382 | nome=Karen | acao=fez um experimento | valor=4058
linha=383 | nome=Renata | acao=fez um experimento | valor=9366
linha=384 | nome=Tiago | acao=otimizou o algoritmo | valor=2537
linha=385 | nome=Helena | acao=fez um experimento | valor=1193
linha=386 | nome=Gabriela | acao=participou da aula | valor=5070
linha=387 | nome=Bruno | acao=participou da aula | valor=4968
linha=388 | nome=Karen | acao=analisou os resultados | valor=4861
linha=389 | nome=Sofia | acao=otimizou o algoritmo | valor=7437
linha=390 | nome=Helena | acao=escreveu o relatorio | valor=9694
linha=391 | nome=Otavio | acao=analisou os resultados | valor=9757
linha=392 | nome=Sofia | acao=estudou computacao | valor=9671
linha=393 | nome=Ana | acao=analisou os resultados | valor=1129
linha=394 | nome=Helena | acao=otimizou o algoritmo | valor=9231
linha=395 | nome=Joao | acao=estudou computacao | valor=6174
linha=396 | nome=Tiago | acao=fez um experimento | valor=7014
linha=397 | nome=Sofia | acao=participou da aula | valor=7062
linha=398 | nome=Igor | acao=executou o benchmark | valor=4922
linha=399 | nome=Daniela | acao=estudou computacao | valor=4290
linha=400 | nome=Lucas | acao=otimizou o algoritmo | valor=6479
linha=401 | nome=Sofia | acao=estudou computacao | valor=3794
linha=402 | nome=Mariana | acao=participou da aula | valor=3599
linha=403 | nome=Helena | acao=fez um experimento | valor=8524
linha=404 | nome=Joao | acao=estudou computacao | valor=2210
linha=405 | nome=Mariana | acao=otimizou o algoritmo | valor=7055
linha=406 | nome=Sofia | acao=otimizou o algoritmo | valor=1866
linha=407 | nome=Natalia | acao=estudou computacao | valor=6402
linha=408 | nome=Paulo | acao=otimizou o algoritmo | valor=7150
linha=409 | nome=Eduarda | acao=estudou computacao | valor=6404
linha=410 | nome=Igor | acao=analisou os resultados | valor=2301
linha=411 | nome=Bruno | acao=comparou as metricas | valor=9736
linha=412 | nome=Ana | acao=executou o benchmark | valor=5252
linha=413 | nome=Lucas | acao=participou da aula | valor=8238
linha=414 | nome=Eduarda | acao=escreveu o relatorio | valor=3563
linha=415 | nome=Paulo | acao=comparou as metricas | valor=8535
linha=416 | nome=Paulo | acao=participou da aula | valor=1903
linha=417 | nome=Otavio | acao=fez um experimento | valor=6534
linha=418 | nome=Joao | acao=analisou os resultados | valor=7495
linha=419 | nome=Paulo | acao=executou o benchmark | valor=4548
linha=420 | nome=Helena | acao=fez um experimento | valor=6396
linha=421 | nome=Renata | acao=executou o benchmark | valor=3961
linha=422 | nome=Mariana | acao=escreveu o relatorio | valor=9527
linha=423 | nome=Felipe | acao=executou o benchmark | valor=2601
linha=424 | nome=Bruno | acao=fez um experimento | valor=4739
linha=425 | nome=Natalia | acao=executou o benchmark | valor=5593
linha=426 | nome=Karen | acao=escreveu o relatorio | valor=7074
linha=427 | nome=Helena | acao=analisou os resultados | valor=5890
linha=428 | nome=Lucas | acao=escreveu o relatorio | valor=2681
linha=429 | nome=Sofia | acao=comparou as metricas | valor=4573
linha=430 | nome=Sofia | acao=analisou os resultados | valor=8810
linha=431 | nome=Tiago | acao=analisou os resultados | valor=1051
linha=432 | nome=Eduarda | acao=executou o benchmark | valor=4555
linha=433 | nome=Otavio | acao=estudou computacao | valor=5804
linha=434 | nome=Renata | acao=otimizou o algoritmo | valor=2251
linha=435 | nome=Joao | acao=executou o benchmark | valor=7847
linha=436 | nome=Lucas | acao=participou da aula | valor=3838
linha=437 | nome=Ana | acao=analisou os resultados | valor=5659
linha=438 | nome=Joao | acao=comparou as metricas | valor=7536
linha=439 | nome=Joao | acao=estudou computacao | valor=2669
linha=440 | nome=Paulo | acao=participou da aula | valor=3471
linha=441 | nome=Vitor | acao=estudou computacao | valor=5279
linha=442 | nome=Natalia | acao=otimizou o algoritmo | valor=1606
linha=443 | nome=Renata | acao=executou o benchmark | valor=4843
linha=444 | nome=Vitor | acao=analisou os resultados | valor=9817
linha=445 | nome=Helena | acao=otimizou o algoritmo | valor=3197
linha=446 | nome=Igor | acao=estudou computacao | valor=6383
linha=447 | nome=Ana | acao=participou da aula | valor=3685
linha=448 | nome=Helena | acao=otimizou o algoritmo | valor=5691
linha=449 | nome=Igor | acao=analisou os resultados | valor=7390
linha=450 | nome=Eduarda | acao=participou da aula | valor=7525
linha=451 | nome=Bruno | acao=otimizou o algoritmo | valor=8136
linha=452 | nome=Helena | acao=escreveu o relatorio | valor=9098
