linha=1 | nome=Joao | acao=escreveu o relatorio | valor=3891
linha=74 | nome=Carlos | acao=participou da aula | valor=7249
linha=75 | nome=Igor | acao=estudou computacao | valor=2694
linha=76 | nome=Helena | acao=fez um experimento | valor=2297
linha=77 | nome=Lucas | acao=analisou os resultados | valor=6832
linha=78 | nome=Paulo | acao=estudou computacao | valor=1352
linha=79 | nome=Renata | acao=participou da aula | valor=1737
linha=80 | nome=Ana | acao=otimizou o algoritmo | valor=3760
linha=81 | nome=Renata | acao=escreveu o relatorio | valor=1147
linha=82 | nome=Vitor | acao=comparou as metricas | valor=1362
linha=83 | nome=Natalia | acao=otimizou o algoritmo | valor=9750
linha=84 | nome=Igor | acao=executou o benchmark | valor=4492
linha=85 | nome=Lucas | acao=fez um experimento | valor=1799
linha=86 | nome=Gabriela | acao=estudou computacao | valor=1416
linha=87 | nome=Paulo | acao=executou o benchmark | valor=2853
linha=88 | nome=Felipe | acao=fez um experimento | valor=9724
linha=89 | nome=Gabriela | acao=otimizou o algoritmo | valor=9021
linha=90 | nome=Carlos | acao=estudou computacao | valor=5217
linha=91 | nome=Lucas | acao=analisou os resultados | valor=9081
linha=92 | nome=Renata | acao=executou o benchmark | valor=8276
linha=93 | nome=Mariana | acao=estudou computacao | valor=9570
linha=94 | nome=Daniela | acao=otimizou o algoritmo | valor=7869
linha=95 | nome=Renata | acao=escreveu o relatorio | valor=9011
linha=96 | nome=Carlos | acao=participou da aula | valor=9465
linha=97 | nome=Carlos | acao=executou o benchmark | valor=6261
linha=98 | nome=Eduarda | acao=comparou as metricas | valor=9025
linha=99 | nome=Vitor | acao=participou da aula | valor=7744
linha=100 | nome=Tiago | acao=otimizou o algoritmo | valor=5843
linha=101 | nome=Renata | acao=escreveu o relatorio | valor=5993
linha=102 | nome=Mariana | acao=estudou computacao | valor=7018
linha=103 | nome=Otavio | acao=analisou os resultados | valor=9152
linha=104 | nome=Bruno | acao=estudou computacao | valor=5714
linha=105 | nome=Joao | acao=escreveu o relatorio | valor=6832
linha=106 | nome=Lucas | acao=participou da aula | valor=4262
linha=107 | nome=Bruno | acao=escreveu o relatorio | valor=6541
linha=108 | nome=Igor | acao=participou da aula | valor=1689
linha=109 | nome=Igor | acao=analisou os resultados | valor=6223
linha=110 | nome=Carlos | acao=escreveu o relatorio | valor=7586
linha=111 | nome=Vitor | acao=estudou computacao | valor=5468
linha=112 | nome=Mariana | acao=analisou os resultados | valor=3051
linha=113 | nome=Eduarda | acao=participou da aula | valor=4536
linha=114 | nome=Helena | acao=estudou computacao | valor=9988
linha=115 | nome=Igor | acao=otimizou o algoritmo | valor=6876
linha=116 | nome=Joao | acao=participou da aula | valor=9072
linha=117 | nome=Paulo | acao=otimizou o algoritmo | valor=8701
linha=118 | nome=Felipe | acao=comparou as metricas | valor=1485
linha=119 | nome=Carlos | acao=escreveu o relatorio | valor=3285
linha=120 | nome=Sofia | acao=fez um experimento | valor=2641
linha=121 | nome=Igor | acao=fez um experimento | valor=3335
linha=122 | nome=Daniela | acao=estudou computacao | valor=8676
linha=123 | nome=Tiago | acao=comparou as metricas | valor=2527
linha=124 | nome=Daniela | acao=analisou os resultados | valor=7071
linha=125 | nome=Bruno | acao=escreveu o relatorio | valor=1307
linha=126 | nome=Vitor | acao=fez um experimento | valor=1212
linha=127 | nome=Natalia | acao=comparou as metricas | valor=4693
linha=128 | nome=Sofia | acao=participou da aula | valor=9771
linha=129 | nome=Carlos | acao=otimizou o algoritmo | valor=9334
linha=130 | nome=Eduarda | acao=participou da aula | valor=4518
linha=131 | nome=Renata | acao=comparou as metricas | valor=6214
linha=132 | nome=Natalia | acao=escreveu o relatorio | valor=8391
linha=133 | nome=Gabriela | acao=fez um experimento | valor=8157
linha=134 | nome=Bruno | acao=otimizou o algoritmo | valor=7850
linha=135 | nome=Tiago | acao=otimizou o algoritmo | valor=5808
linha=136 | nome=Lucas | acao=executou o benchmark | valor=5538
linha=137 | nome=Igor | acao=executou o benchmark | valor=9035
linha=138 | nome=Otavio | acao=escreveu o relatorio | valor=5455
linha=139 | nome=Igor | acao=comparou as metricas | valor=3657
linha=140 | nome=Sofia | acao=comparou as metricas | valor=6018
linha=141 | nome=Ana | acao=analisou os resultados | valor=3479
linha=142 | nome=Joao | acao=fez um experimento | valor=3738
linha=143 | nome=Carlos | acao=fez um experimento | valor=9187
linha=144 | nome=Natalia | acao=comparou as metricas | valor=5003
linha=145 | nome=Lucas | acao=participou da aula | valor=5257
linha=146 | nome=Sofia | acao=participou da aula | valor=2748
linha=147 | nome=Joao | acao=analisou os resultados | valor=5707
linha=148 | nome=Renata | acao=executou o benchmark | valor=3780
linha=149 | nome=Felipe | acao=executou o benchmark | valor=8577
linha=150 | nome=Daniela | acao=fez um experimento | valor=5013
linha=151 | nome=Eduarda | acao=fez um experimento | valor=1262
linha=152 | nome=Daniela | acao=fez um experimento | valor=6721
linha=153 | nome=Daniela | acao=analisou os resultados | valor=7396
linha=154 | nome=Karen | acao=estudou computacao | valor=7813
linha=155 | nome=Natalia | acao=fez um experimento | valor=4056
linha=156 | nome=Otavio | acao=analisou os resultados | valor=6844
linha=157 | nome=Karen | acao=analisou os resultados | valor=6411
linha=158 | nome=Karen | acao=fez um experimento | valor=1579
linha=159 | nome=Tiago | acao=analisou os resultados | valor=2426
linha=160 | nome=Sofia | acao=estudou computacao | valor=1645
linha=161 | nome=Helena | acao=participou da aula | valor=6777
linha=162 | nome=Bruno | acao=analisou os resultados | valor=6949
linha=163 | nome=Felipe | acao=estudou computacao | valor=1056
linha=164 | nome=Daniela | acao=analisou os resultados | valor=7345
linha=165 | nome=Natalia | acao=participou da aula | valor=7345
linha=166 | nome=Felipe | acao=analisou os resultados | valor=2078
linha=167 | nome=Otavio | acao=comparou as metricas | valor=1636
linha=168 | nome=Lucas | acao=otimizou o algoritmo | valor=8208
linha=169 | nome=Igor | acao=escreveu o relatorio | valor=2314
linha=170 | nome=Karen | acao=estudou computacao | valor=6902
linha=171 | nome=Daniela | acao=estudou computacao | valor=1210
linha=172 | nome=Daniela | acao=fez um experimento | valor=2559
linha=173 | nome=Daniela | acao=analisou os resultados | valor=8272
linha=174 | nome=Renata | acao=analisou os resultados | valor=2612
linha=175 | nome=Gabriela | acao=escreveu o relatorio | valor=1600
linha=176 | nome=Igor | acao=escreveu o relatorio | valor=9700
linha=177 | nome=Carlos | acao=otimizou o algoritmo | valor=2191
linha=178 | nome=Otavio | acao=fez um experimento | valor=7447
linha=179 | nome=Daniela | acao=comparou as metricas | valor=1656
linha=180 | nome=Vitor | acao=escreveu o relatorio | valor=1193
linha=181 | nome=Otavio | acao=fez um experimento | valor=9734
linha=182 | nome=Gabriela | acao=estudou computacao | valor=4251
linha=183 | nome=Renata | acao=participou da aula | valor=3894
linha=184 | nome=Bruno | acao=fez um experimento | valor=9384
linha=185 | nome=Gabriela | acao=comparou as metricas | valor=9629
linha=186 | nome=Renata | acao=estudou computacao | valor=7056
linha=187 | nome=Karen | acao=analisou os resultados | valor=2497
linha=188 | nome=Gabriela | acao=comparou as metricas | valor=9941
linha=189 | nome=Vitor | acao=participou da aula | valor=7525
linha=190 | nome=Gabriela | acao=participou da aula | valor=7733
linha=191 | nome=Tiago | acao=comparou as metricas | valor=8911
linha=192 | nome=Natalia | acao=analisou os resultados | valor=8723
linha=193 | nome=Renata | acao=fez um experimento | valor=3923
linha=194 | nome=Lucas | acao=executou o benchmark | valor=7274
linha=195 | nome=Carlos | acao=fez um experimento | valor=5498
linha=196 | nome=Natalia | acao=executou o benchmark | valor=5333
linha=197 | nome=Eduarda | acao=participou da aula | valor=1928
linha=198 | nome=Mariana | acao=fez um experimento | valor=2907
linha=199 | nome=Tiago | acao=comparou as metricas | valor=9168
linha=200 | nome=Eduarda | acao=comparou as metricas | valor=3638
linha=201 | nome=Gabriela | acao=otimizou o algoritmo | valor=8288
linha=202 | nome=Eduarda | acao=analisou os resultados | valor=1409
linha=203 | nome=Vitor | acao=executou o benchmark | valor=1131
linha=204 | nome=Renata | acao=participou da aula | valor=2803
linha=205 | nome=Ana | acao=comparou as metricas | valor=7780
linha=206 | nome=Vitor | acao=estudou computacao | valor=8835
linha=207 | nome=Daniela | acao=otimizou o algoritmo | valor=7030
linha=208 | nome=Otavio | acao=analisou os resultados | valor=2828
linha=209 | nome=Helena | acao=estudou computacao | valor=7014
linha=210 | nome=Otavio | acao=participou da aula | valor=8075
linha=211 | nome=Daniela | acao=fez um experimento | valor=7176
linha=212 | nome=Lucas | acao=escreveu o relatorio | valor=7834
linha=213 | nome=Joao | acao=fez um experimento | valor=9160
linha=214 | nome=Otavio | acao=executou o benchmark | valor=8316
linha=215 | nome=Otavio | acao=analisou os resultados | valor=3920
linha=216 | nome=Daniela | acao=fez um experimento | valor=1610
linha=217 | nome=Mariana | acao=otimizou o algoritmo | valor=4369
linha=218 | nome=Daniela | acao=estudou computacao | valor=9800
linha=219 | nome=Mariana | acao=analisou os resultados | valor=3642
linha=220 | nome=Mariana | acao=escreveu o relatorio | valor=8817
linha=221 | nome=Natalia | acao=comparou as metricas | valor=7364
linha=222 | nome=Ana | acao=comparou as metricas | valor=3865
linha=223 | nome=Otavio | acao=escreveu o relatorio | valor=2877
linha=224 | nome=Otavio | acao=escreveu o relatorio | valor=4878
linha=225 | nome=Mariana | acao=estudou computacao | valor=9471
linha=226 | nome=Helena | acao=fez um experimento | valor=2118
linha=227 | nome=Felipe | acao=comparou as metricas | valor=9176
linha=228 | nome=Helena | acao=fez um experimento | valor=6788
linha=229 | nome=Eduarda | acao=escreveu o relatorio | valor=7435
linha=230 | nome=Carlos | acao=analisou os resultados | valor=1422
linha=231 | nome=Felipe | acao=analisou os resultados | valor=7785
linha=232 | nome=Sofia | acao=escreveu o relatorio | valor=9178
linha=233 | nome=Igor | acao=executou o benchmark | valor=9600
linha=234 | nome=Carlos | acao=estudou computacao | valor=2223
linha=235 | nome=Paulo | acao=escreveu o relatorio | valor=3924
linha=236 | nome=Bruno | acao=executou o benchmark | valor=4384
linha=237 | nome=Carlos | acao=analisou os resultados | valor=8298
linha=238 | nome=Eduarda | acao=fez um experimento | valor=1548
linha=239 | nome=Igor | acao=otimizou o algoritmo | valor=8863
linha=240 | nome=Felipe | acao=escreveu o relatorio | valor=6011
linha=241 | nome=Felipe | acao=escreveu o relatorio | valor=2309
linha=242 | nome=Felipe | acao=comparou as metricas | valor=6415
linha=243 | nome=Helena | acao=executou o benchmark | valor=5936
linha=244 | nome=Natalia | acao=comparou as metricas | valor=8513
linha=245 | nome=Lucas | acao=otimizou o algoritmo | valor=2312
linha=246 | nome=Lucas | acao=fez um experimento | valor=1631
linha=247 | nome=Daniela | acao=comparou as metricas | valor=1386
linha=248 | nome=Mariana | acao=analisou os resultados | valor=8673
linha=249 | nome=Vitor | acao=escreveu o relatorio | valor=6490
linha=250 | nome=Gabriela | acao=otimizou o algoritmo | valor=3858
linha=251 | nome=Felipe | acao=analisou os resultados | valor=6326
linha=252 | nome=Mariana | acao=fez um experimento | valor=5014
linha=253 | nome=Carlos | acao=analisou os resultados | valor=4243
linha=254 | nome=Sofia | acao=estudou computacao | valor=5430
linha=255 | nome=Helena | acao=participou da aula | valor=3065
linha=256 | nome=Tiago | acao=escreveu o relatorio | valor=8523
linha=257 | nome=Joao | acao=otimizou o algoritmo | valor=1712
linha=258 | nome=Otavio | acao=participou da aula | valor=5096
linha=259 | nome=Sofia | acao=estudou computacao | valor=5647
linha=260 | nome=Bruno | acao=executou o benchmark | valor=9701
linha=261 | nome=Ana | acao=estudou computacao | valor=7729
linha=262 | nome=Otavio | acao=executou o benchmark | valor=3891
linha=263 | nome=Felipe | acao=executou o benchmark | valor=7119
linha=264 | nome=Daniela | acao=estudou computacao | valor=5420
linha=265 | nome=Otavio | acao=comparou as metricas | valor=2657
linha=266 | nome=Natalia | acao=participou da aula | valor=5213
linha=267 | nome=Daniela | acao=estudou computacao | valor=8775
linha=268 | nome=Eduarda | acao=analisou os resultados | valor=2279
linha=269 | nome=Bruno | acao=otimizou o algoritmo | valor=2046
linha=270 | nome=Sofia | acao=fez um experimento | valor=6814
linha=271 | nome=Felipe | acao=fez um experimento | valor=3366
linha=272 | nome=Joao | acao=analisou os resultados | valor=7096
linha=273 | nome=Sofia | acao=escreveu o relatorio | valor=3565
linha=274 | nome=Otavio | acao=executou o benchmark | valor=4902
linha=275 | nome=Helena | acao=escreveu o relatorio | valor=4294
linha=276 | nome=Eduarda | acao=fez um experimento | valor=3986
linha=277 | nome=Natalia | acao=estudou computacao | valor=5385
linha=278 | nome=Tiago | acao=escreveu o relatorio | valor=1159
linha=279 | nome=Gabriela | acao=participou da aula | valor=2501
linha=280 | nome=Helena | acao=escreveu o relatorio | valor=2925
linha=281 | nome=Igor | acao=otimizou o algoritmo | valor=4487
linha=282 | nome=Ana | acao=analisou os resultados | valor=8773
linha=283 | nome=Ana | acao=otimizou o algoritmo | valor=5209
linha=284 | nome=Renata | acao=comparou as metricas | valor=6217
linha=285 | nome=Renata | acao=executou o benchmark | valor=5105
linha=286 | nome=Tiago | acao=escreveu o relatorio | valor=5995
linha=287 | nome=Bruno | acao=estudou computacao | valor=4446
linha=288 | nome=Tiago | acao=fez um experimento | valor=6367
linha=289 | nome=Otavio | acao=otimizou o algoritmo | valor=2053
linha=290 | nome=Gabriela | acao=escreveu o relatorio | valor=7432
linha=291 | nome=Daniela | acao=comparou as metricas | valor=9541
linha=292 | nome=Igor | acao=otimizou o algoritmo | valor=2111
linha=293 | nome=Otavio | acao=fez um experimento | valor=1089
linha=294 | nome=Carlos | acao=fez um experimento | valor=8414
linha=295 | nome=Helena | acao=comparou as metricas | valor=4786
linha=296 | nome=Mariana | acao=estudou computacao | valor=8011
linha=297 | nome=Karen | acao=otimizou o algoritmo | valor=4653
linha=298 | nome=Mariana | acao=executou o benchmark | valor=9044
linha=299 | nome=Mariana | acao=comparou as metricas | valor=1763
linha=300 | nome=Eduarda | acao=participou da aula | valor=1821
linha=301 | nome=Helena | acao=estudou computacao | valor=2034
linha=302 | nome=Igor | acao=fez um experimento | valor=8746
linha=303 | nome=Vitor | acao=escreveu o relatorio | valor=4346
linha=304 | nome=Sofia | acao=executou o benchmark | valor=9080
linha=305 | nome=Daniela | acao=comparou as metricas | valor=9740
linha=306 | nome=Helena | acao=analisou os resultados | valor=6238
linha=307 | nome=Bruno | acao=participou da aula | valor=4990
linha=308 | nome=Joao | acao=participou da aula | valor=6857
linha=309 | nome=Karen | acao=executou o benchmark | valor=6366
linha=310 | nome=Carlos | acao=otimizou o algoritmo | valor=7869
linha=311 | nome=Daniela | acao=comparou as metricas | valor=8582
linha=312 | nome=Renata | acao=escreveu o relatorio | valor=9148
linha=313 | nome=Sofia | acao=comparou as metricas | valor=6320
linha=314 | nome=Helena | acao=analisou os resultados | valor=6933
linha=315 | nome=Mariana | acao=estudou computacao | valor=5209
linha=316 | nome=Mariana | acao=fez um experimento | valor=5618
linha=317 | nome=Otavio | acao=fez um experimento | valor=9337
linha=318 | nome=Paulo | acao=executou o benchmark | valor=1123
linha=319 | nome=Lucas | acao=executou o benchmark | valor=4039
linha=320 | nome=Ana | acao=estudou computacao | valor=5889
linha=321 | nome=Vitor | acao=executou o benchmark | valor=5059
linha=322 | nome=Carlos | acao=fez um experimento | valor=8197
linha=323 | nome=Joao | acao=fez um experimento | valor=7834
linha=324 | nome=Ana | acao=analisou os resultados | valor=8613
linha=325 | nome=Daniela | acao=estudou computacao | valor=2360
linha=326 | nome=Bruno | acao=escreveu o relatorio | valor=1184
linha=327 | nome=Natalia | acao=escreveu o relatorio | valor=6462
linha=328 | nome=Helena | acao=analisou os resultados | valor=2817
linha=329 | nome=Felipe | acao=fez um experimento | valor=9129
linha=330 | nome=Sofia | acao=estudou computacao | valor=8627
linha=331 | nome=Felipe | acao=participou da aula | valor=8194
linha=332 | nome=Carlos | acao=executou o benchmark | valor=3882
linha=333 | nome=Natalia | acao=analisou os resultados | valor=2413
linha=334 | nome=Lucas | acao=fez um experimento | valor=5329
linha=335 | nome=Daniela | acao=comparou as metricas | valor=5287
linha=336 | nome=Carlos | acao=escreveu o relatorio | valor=5103
linha=337 | nome=Renata | acao=estudou computacao | valor=9887
linha=338 | nome=Mariana | acao=fez um experimento | valor=9778
linha=339 | nome=Gabriela | acao=fez um experimento | valor=8512
linha=340 | nome=Felipe | acao=comparou as metricas | valor=9359
linha=341 | nome=Eduarda | acao=analisou os resultados | valor=7967
linha=342 | nome=Lucas | acao=executou o benchmark | valor=5625
linha=343 | nome=Karen | acao=participou da aula | valor=1201
linha=344 | nome=Natalia | acao=estudou computacao | valor=4315
linha=345 | nome=Eduarda | acao=fez um experimento | valor=3525
linha=346 | nome=Gabriela | acao=fez um experimento | valor=7922
linha=347 | nome=Igor | acao=estudou computacao | valor=1235
linha=348 | nome=Renata | acao=analisou os resultados | valor=8945
linha=349 | nome=Eduarda | acao=comparou as metricas | valor=7496
linha=350 | nome=Mariana | acao=otimizou o algoritmo | valor=3439
linha=351 | nome=Karen | acao=analisou os resultados | valor=3323
linha=352 | nome=Gabriela | acao=estudou computacao | valor=1897
linha=353 | nome=Otavio | acao=escreveu o relatorio | valor=1509
linha=354 | nome=Vitor | acao=executou o benchmark | valor=6056
linha=355 | nome=Igor | acao=analisou os resultados | valor=3211
linha=356 | nome=Felipe | acao=otimizou o algoritmo | valor=2904
linha=357 | nome=Joao | acao=executou o benchmark | valor=3813
linha=358 | nome=Carlos | acao=executou o benchmark | valor=5988
linha=359 | nome=Igor | acao=analisou os resultados | valor=9458
linha=360 | nome=Helena | acao=executou o benchmark | valor=5990
linha=361 | nome=Igor | acao=otimizou o algoritmo | valor=1990
linha=362 | nome=Daniela | acao=otimizou o algoritmo | valor=9280
linha=363 | nome=Mariana | acao=executou o benchmark | valor=2581
linha=364 | nome=Carlos | acao=escreveu o relatorio | valor=4142
linha=365 | nome=Sofia | acao=executou o benchmark | valor=9826
linha=366 | nome=Paulo | acao=estudou computacao | valor=2619
linha=367 | nome=Sofia | acao=analisou os resultados | valor=3312
linha=368 | nome=Renata | acao=otimizou o algoritmo | valor=5033
linha=369 | nome=Mariana | acao=estudou computacao | valor=4933
linha=370 | nome=Helena | acao=escreveu o relatorio | valor=7488
linha=371 | nome=Natalia | acao=estudou computacao | valor=6184
linha=372 | nome=Sofia | acao=participou da aula | valor=2872
linha=373 | nome=Bruno | acao=estudou computacao | valor=9292
linha=374 | nome=Tiago | acao=otimizou o algoritmo | valor=5738
linha=375 | nome=Helena | acao=participou da aula | valor=8068
linha=376 | nome=Karen | acao=estudou computacao | valor=6045
linha=377 | nome=Otavio | acao=comparou as metricas | valor=1751
linha=378 | nome=Natalia | acao=comparou as metricas | valor=5114
linha=379 | nome=Lucas | acao=executou o benchmark | valor=2573
linha=380 | nome=Carlos | acao=participou da aula | valor=8548
linha=381 | nome=Joao | acao=fez um experimento | valor=5281
linha=382 | nome=Helena | acao=participou da aula | valor=2286
linha=383 | nome=Felipe | acao=analisou os resultados | valor=8356
linha=384 | nome=Lucas | acao=escreveu o relatorio | valor=4118
linha=385 | nome=Eduarda | acao=executou o benchmark | valor=9763
linha=386 | nome=Tiago | acao=comparou as metricas | valor=5378
linha=387 | nome=Otavio | acao=analisou os resultados | valor=8938
linha=388 | nome=Daniela | acao=comparou as metricas | valor=6191
linha=389 | nome=Lucas | acao=escreveu o relatorio | valor=3323
linha=390 | nome=Helena | acao=participou da aula | valor=4759
linha=391 | nome=Ana | acao=escreveu o relatorio | valor=3306
linha=392 | nome=Igor | acao=escreveu o relatorio | valor=1246
linha=393 | nome=Paulo | acao=fez um experimento | valor=5903
linha=394 | nome=Karen | acao=otimizou o algoritmo | valor=5432
linha=395 | nome=Felipe | acao=participou da aula | valor=4206
linha=396 | nome=Bruno | acao=comparou as metricas | valor=3969
linha=397 | nome=Helena | acao=estudou computacao | valor=1269
linha=398 | nome=Mariana | acao=participou da aula | valor=8334
linha=399 | nome=Felipe | acao=executou o benchmark | valor=4476
linha=400 | nome=Eduarda | acao=participou da aula | valor=6409
linha=401 | nome=Sofia | acao=fez um experimento | valor=8830
linha=402 | nome=Sofia | acao=executou o benchmark | valor=1988
linha=403 | nome=Sofia | acao=participou da aula | valor=4436
linha=404 | nome=Mariana | acao=participou da aula | valor=7105
linha=405 | nome=Felipe | acao=analisou os resultados | valor=4619
linha=406 | nome=Helena | acao=executou o benchmark | valor=2417
linha=407 | nome=Mariana | acao=analisou os resultados | valor=7400
linha=408 | nome=Mariana | acao=estudou computacao | valor=1846
linha=409 | nome=Vitor | acao=analisou os resultados | valor=1070
linha=410 | nome=Daniela | acao=comparou as metricas | valor=9695
linha=411 | nome=Igor | acao=participou da aula | valor=8977
linha=412 | nome=Sofia | acao=participou da aula | valor=4520
linha=413 | nome=Tiago | acao=escreveu o relatorio | valor=8294
linha=414 | nome=Renata | acao=fez um experimento | valor=3126
linha=415 | nome=Igor | acao=escreveu o relatorio | valor=6574
linha=416 | nome=Tiago | acao=participou da aula | valor=9510
linha=417 | nome=Otavio | acao=estudou computacao | valor=1121
linha=418 | nome=Renata | acao=estudou computacao | valor=5574
linha=419 | nome=Helena | acao=participou da aula | valor=5258
linha=420 | nome=Felipe | acao=escreveu o relatorio | valor=3462
linha=421 | nome=Joao | acao=analisou os resultados | valor=8804
linha=422 | nome=Helena | acao=comparou as metricas | valor=7843
linha=423 | nome=Daniela | acao=comparou as metricas | valor=8393
linha=424 | nome=Helena | acao=fez um experimento | valor=3973
linha=425 | nome=Natalia | acao=fez um experimento | valor=4818
linha=426 | nome=Bruno | acao=executou o benchmark | valor=5381
linha=427 | nome=Otavio | acao=estudou computacao | valor=9217
linha=428 | nome=Natalia | acao=escreveu o relatorio | valor=2881
linha=429 | nome=Vitor | acao=participou da aula | valor=7470
linha=430 | nome=Bruno | acao=comparou as metricas | valor=4098
linha=431 | nome=Renata | acao=executou o benchmark | valor=6207
linha=432 | nome=Carlos | acao=participou da aula | valor=6425
linha=433 | nome=Helena | acao=otimizou o algoritmo | valor=4336
linha=434 | nome=Carlos | acao=otimizou o algoritmo | valor=7232
linha=435 | nome=Vitor | acao=estudou computacao | valor=9943
linha=436 | nome=Natalia | acao=comparou as metricas | valor=3293
linha=437 | nome=Sofia | acao=comparou as metricas | valor=6120
linha=438 | nome=Otavio | acao=escreveu o relatorio | valor=9456
linha=439 | nome=Ana | acao=comparou as metricas | valor=3895
linha=440 | nome=Sofia | acao=otimizou o algoritmo | valor=4544
linha=441 | nome=Mariana | acao=participou da aula | valor=3774
linha=442 | nome=Gabriela | acao=otimizou o algoritmo | valor=3280
linha=443 | nome=Karen | acao=comparou as metricas | valor=6444
linha=444 | nome=Otavio | acao=analisou os resultados | valor=9646
linha=445 | nome=Natalia | acao=participou da aula | valor=6686
linha=446 | nome=Gabriela | acao=comparou as metricas | valor=6580
linha=447 | nome=Tiago | acao=fez um experimento | valor=3491
linha=448 | nome=Otavio | acao=escreveu o relatorio | valor=3988
linha=449 | nome=Tiago | acao=analisou os resultados | valor=1765
linha=450 | nome=Otavio | acao=participou da aula | valor=7766
linha=451 | nome=Joao | acao=comparou as metricas | valor=5214
linha=452 | nome=Karen | acao=comparou as metricas | valor=5853
