linha=1 | nome=Gabriela | acao=comparou as metricas | valor=4077
linha=41 | nome=Renata | acao=analisou os resultados | valor=6617
linha=42 | nome=Natalia | acao=otimizou o algoritmo | valor=4122
linha=43 | nome=Helena | acao=escreveu o relatorio | valor=7118
linha=44 | nome=Vitor | acao=participou da aula | valor=2443
linha=45 | nome=Eduarda | acao=analisou os resultados | valor=5355
linha=46 | nome=Natalia | acao=participou da aula | valor=6416
linha=47 | nome=Tiago | acao=executou o benchmark | valor=8105
linha=48 | nome=Igor | acao=otimizou o algoritmo | valor=5034
linha=49 | nome=Karen | acao=otimizou o algoritmo | valor=7374
linha=50 | nome=Mariana | acao=fez um experimento | valor=7856
linha=51 | nome=Felipe | acao=otimizou o algoritmo | valor=5958
linha=52 | nome=Eduarda | acao=estudou computacao | valor=1530
linha=53 | nome=Paulo | acao=escreveu o relatorio | valor=3389
linha=54 | nome=Paulo | acao=comparou as metricas | valor=3241
linha=55 | nome=Joao | acao=estudou computacao | valor=9142
linha=56 | nome=Natalia | acao=analisou os resultados | valor=6624
linha=57 | nome=Helena | acao=analisou os resultados | valor=1430
linha=58 | nome=Helena | acao=analisou os resultados | valor=3082
linha=59 | nome=Mariana | acao=estudou computacao | valor=4156
linha=60 | nome=Paulo | acao=otimizou o algoritmo | valor=3703
linha=61 | nome=Gabriela | acao=otimizou o algoritmo | valor=9014
linha=62 | nome=Otavio | acao=participou da aula | valor=2565
linha=63 | nome=Carlos | acao=executou o benchmark | valor=1341
linha=64 | nome=Mariana | acao=analisou os resultados | valor=9868
linha=65 | nome=Helena | acao=escreveu o relatorio | valor=5808
linha=66 | nome=Mariana | acao=participou da aula | valor=1334
linha=67 | nome=Mariana | acao=otimizou o algoritmo | valor=6086
linha=68 | nome=Bruno | acao=escreveu o relatorio | valor=2894
linha=69 | nome=Tiago | acao=analisou os resultados | valor=3869
linha=70 | nome=Daniela | acao=otimizou o algoritmo | valor=2078
linha=71 | nome=Tiago | acao=fez um experimento | valor=6385
linha=72 | nome=Renata | acao=otimizou o algoritmo | valor=3295
linha=73 | nome=Renata | acao=otimizou o algoritmo | valor=8770
linha=74 | nome=Tiago | acao=estudou computacao | valor=5033
linha=75 | nome=Mariana | acao=otimizou o algoritmo | valor=4391
linha=76 | nome=Natalia | acao=executou o benchmark | valor=2738
linha=77 | nome=Sofia | acao=analisou os resultados | valor=9507
linha=78 | nome=Vitor | acao=escreveu o relatorio | valor=3050
linha=79 | nome=Joao | acao=estudou computacao | valor=3549
linha=80 | nome=Otavio | acao=participou da aula | valor=6539
linha=81 | nome=Helena | acao=comparou as metricas | valor=5666
linha=82 | nome=Otavio | acao=analisou os resultados | valor=6278
linha=83 | nome=Paulo | acao=otimizou o algoritmo | valor=4451
linha=84 | nome=Felipe | acao=estudou computacao | valor=7618
linha=85 | nome=Joao | acao=participou da aula | valor=4448
linha=86 | nome=Felipe | acao=fez um experimento | valor=3091
linha=87 | nome=Mariana | acao=estudou computacao | valor=5880
linha=88 | nome=Felipe | acao=estudou computacao | valor=2201
linha=89 | nome=Mariana | acao=comparou as metricas | valor=3662
linha=90 | nome=Felipe | acao=participou da aula | valor=4393
linha=91 | nome=Mariana | acao=comparou as metricas | valor=7992
linha=92 | nome=Felipe | acao=executou o benchmark | valor=2022
linha=93 | nome=Gabriela | acao=comparou as metricas | valor=2670
linha=94 | nome=Renata | acao=comparou as metricas | valor=8490
linha=95 | nome=Igor | acao=comparou as metricas | valor=9003
linha=96 | nome=Lucas | acao=comparou as metricas | valor=4630
linha=97 | nome=Igor | acao=comparou as metricas | valor=7315
linha=98 | nome=Mariana | acao=escreveu o relatorio | valor=1272
linha=99 | nome=Mariana | acao=otimizou o algoritmo | valor=8963
linha=100 | nome=Paulo | acao=escreveu o relatorio | valor=2297
linha=101 | nome=Lucas | acao=estudou computacao | valor=2245
linha=102 | nome=Helena | acao=comparou as metricas | valor=5966
linha=103 | nome=Carlos | acao=otimizou o algoritmo | valor=7464
linha=104 | nome=Bruno | acao=escreveu o relatorio | valor=7872
linha=105 | nome=Lucas | acao=estudou computacao | valor=5978
linha=106 | nome=Daniela | acao=escreveu o relatorio | valor=8959
linha=107 | nome=Felipe | acao=participou da aula | valor=9039
linha=108 | nome=Sofia | acao=participou da aula | valor=2324
linha=109 | nome=Lucas | acao=participou da aula | valor=3165
linha=110 | nome=Tiago | acao=fez um experimento | valor=4372
linha=111 | nome=Lucas | acao=escreveu o relatorio | valor=3509
linha=112 | nome=Carlos | acao=escreveu o relatorio | valor=4550
linha=113 | nome=Karen | acao=estudou computacao | valor=9156
linha=114 | nome=Joao | acao=escreveu o relatorio | valor=4302
linha=115 | nome=Natalia | acao=fez um experimento | valor=1949
linha=116 | nome=Karen | acao=analisou os resultados | valor=4822
linha=117 | nome=Natalia | acao=otimizou o algoritmo | valor=2097
linha=118 | nome=Lucas | acao=otimizou o algoritmo | valor=6743
linha=119 | nome=Mariana | acao=estudou computacao | valor=6593
linha=120 | nome=Gabriela | acao=escreveu o relatorio | valor=2030
linha=121 | nome=Bruno | acao=executou o benchmark | valor=6374
linha=122 | nome=Igor | acao=participou da aula | valor=7630
linha=123 | nome=Joao | acao=otimizou o algoritmo | valor=2154
linha=124 | nome=Eduarda | acao=escreveu o relatorio | valor=7233
linha=125 | nome=Bruno | acao=participou da aula | valor=4671
linha=126 | nome=Paulo | acao=comparou as metricas | valor=4347
linha=127 | nome=Paulo | acao=fez um experimento | valor=8962
linha=128 | nome=Mariana | acao=fez um experimento | valor=2522
linha=129 | nome=Helena | acao=comparou as metricas | valor=8275
linha=130 | nome=Mariana | acao=escreveu o relatorio | valor=2594
linha=131 | nome=Vitor | acao=escreveu o relatorio | valor=5001
linha=132 | nome=Paulo | acao=executou o benchmark | valor=1935
linha=133 | nome=Bruno | acao=otimizou o algoritmo | valor=7158
linha=134 | nome=Gabriela | acao=fez um experimento | valor=9978
linha=135 | nome=Lucas | acao=escreveu o relatorio | valor=9217
linha=136 | nome=Paulo | acao=participou da aula | valor=7522
linha=137 | nome=Renata | acao=fez um experimento | valor=8991
linha=138 | nome=Helena | acao=executou o benchmark | valor=7433
linha=139 | nome=Vitor | acao=participou da aula | valor=9255
linha=140 | nome=Karen | acao=estudou computacao | valor=9642
linha=141 | nome=Daniela | acao=otimizou o algoritmo | valor=6828
linha=142 | nome=Ana | acao=participou da aula | valor=6261
linha=143 | nome=Carlos | acao=comparou as metricas | valor=3179
linha=144 | nome=Renata | acao=participou da aula | valor=7815
linha=145 | nome=Renata | acao=fez um experimento | valor=7055
linha=146 | nome=Sofia | acao=comparou as metricas | valor=8125
linha=147 | nome=Otavio | acao=escreveu o relatorio | valor=3571
linha=148 | nome=Gabriela | acao=fez um experimento | valor=9200
linha=149 | nome=Eduarda | acao=otimizou o algoritmo | valor=6673
linha=150 | nome=Carlos | acao=comparou as metricas | valor=1284
linha=151 | nome=Felipe | acao=escreveu o relatorio | valor=5978
linha=152 | nome=Lucas | acao=escreveu o relatorio | valor=1174
linha=153 | nome=Ana | acao=participou da aula | valor=2017
linha=154 | nome=Vitor | acao=fez um experimento | valor=1297
linha=155 | nome=Felipe | acao=otimizou o algoritmo | valor=9868
linha=156 | nome=Renata | acao=executou o benchmark | valor=4450
linha=157 | nome=Vitor | acao=comparou as metricas | valor=3690
linha=158 | nome=Ana | acao=comparou as metricas | valor=5243
linha=159 | nome=Bruno | acao=comparou as metricas | valor=5802
linha=160 | nome=Ana | acao=analisou os resultados | valor=5177
linha=161 | nome=Mariana | acao=participou da aula | valor=9638
linha=162 | nome=Ana | acao=analisou os resultados | valor=4040
linha=163 | nome=Joao | acao=fez um experimento | valor=9796
linha=164 | nome=Renata | acao=otimizou o algoritmo | valor=2273
linha=165 | nome=Eduarda | acao=comparou as metricas | valor=2866
linha=166 | nome=Joao | acao=analisou os resultados | valor=3349
linha=167 | nome=Felipe | acao=executou o benchmark | valor=9959
linha=168 | nome=Natalia | acao=estudou computacao | valor=5556
linha=169 | nome=Felipe | acao=analisou os resultados | valor=1680
linha=170 | nome=Tiago | acao=escreveu o relatorio | valor=9080
linha=171 | nome=Carlos | acao=executou o benchmark | valor=9164
linha=172 | nome=Mariana | acao=analisou os resultados | valor=3316
linha=173 | nome=Joao | acao=comparou as metricas | valor=5130
linha=174 | nome=Eduarda | acao=otimizou o algoritmo | valor=1691
linha=175 | nome=Sofia | acao=estudou computacao | valor=2233
linha=176 | nome=Natalia | acao=estudou computacao | valor=8026
linha=177 | nome=Felipe | acao=escreveu o relatorio | valor=2702
linha=178 | nome=Karen | acao=executou o benchmark | valor=8945
linha=179 | nome=Paulo | acao=escreveu o relatorio | valor=4724
linha=180 | nome=Vitor | acao=otimizou o algoritmo | valor=3846
linha=181 | nome=Daniela | acao=analisou os resultados | valor=7696
linha=182 | nome=Gabriela | acao=estudou computacao | valor=9418
linha=183 | nome=Ana | acao=executou o benchmark | valor=2760
linha=184 | nome=Bruno | acao=comparou as metricas | valor=6722
linha=185 | nome=Tiago | acao=escreveu o relatorio | valor=7272
linha=186 | nome=Igor | acao=participou da aula | valor=6540
linha=187 | nome=Lucas | acao=comparou as metricas | valor=7296
linha=188 | nome=Renata | acao=escreveu o relatorio | valor=8360
linha=189 | nome=Mariana | acao=otimizou o algoritmo | valor=6938
linha=190 | nome=Joao | acao=participou da aula | valor=6856
linha=191 | nome=Paulo | acao=participou da aula | valor=8117
linha=192 | nome=Karen | acao=escreveu o relatorio | valor=2522
linha=193 | nome=Renata | acao=participou da aula | valor=5122
linha=194 | nome=Vitor | acao=escreveu o relatorio | valor=2974
linha=195 | nome=Vitor | acao=analisou os resultados | valor=6717
linha=196 | nome=Helena | acao=participou da aula | valor=7348
linha=197 | nome=Sofia | acao=executou o benchmark | valor=4146
linha=198 | nome=Daniela | acao=participou da aula | valor=5956
linha=199 | nome=Ana | acao=estudou computacao | valor=8145
linha=200 | nome=Karen | acao=analisou os resultados | valor=1240
linha=201 | nome=Gabriela | acao=estudou computacao | valor=4742
linha=202 | nome=Igor | acao=fez um experimento | valor=2082
linha=203 | nome=Tiago | acao=fez um experimento | valor=2269
linha=204 | nome=Tiago | acao=comparou as metricas | valor=8790
linha=205 | nome=Lucas | acao=escreveu o relatorio | valor=5239
linha=206 | nome=Daniela | acao=comparou as metricas | valor=7244
linha=207 | nome=Otavio | acao=otimizou o algoritmo | valor=1408
linha=208 | nome=Felipe | acao=otimizou o algoritmo | valor=5453
linha=209 | nome=Daniela | acao=analisou os resultados | valor=3957
linha=210 | nome=Igor | acao=executou o benchmark | valor=1245
linha=211 | nome=Natalia | acao=analisou os resultados | valor=1540
linha=212 | nome=Ana | acao=comparou as metricas | valor=4714
linha=213 | nome=Gabriela | acao=otimizou o algoritmo | valor=8718
linha=214 | nome=Ana | acao=otimizou o algoritmo | valor=4436
linha=215 | nome=Daniela | acao=comparou as metricas | valor=3456
linha=216 | nome=Joao | acao=otimizou o algoritmo | valor=1155
linha=217 | nome=Helena | acao=executou o benchmark | valor=2299
linha=218 | nome=Gabriela | acao=estudou computacao | valor=6710
linha=219 | nome=Carlos | acao=participou da aula | valor=2754
linha=220 | nome=Carlos | acao=fez um experimento | valor=1496
linha=221 | nome=Otavio | acao=fez um experimento | valor=9691
linha=222 | nome=Ana | acao=fez um experimento | valor=7183
linha=223 | nome=Joao | acao=estudou computacao | valor=4937
linha=224 | nome=Otavio | acao=comparou as metricas | valor=6599
linha=225 | nome=Daniela | acao=participou da aula | valor=6544
linha=226 | nome=Carlos | acao=analisou os resultados | valor=4878
linha=227 | nome=Igor | acao=estudou computacao | valor=5487
linha=228 | nome=Gabriela | acao=otimizou o algoritmo | valor=5570
linha=229 | nome=Otavio | acao=fez um experimento | valor=6806
linha=230 | nome=Carlos | acao=otimizou o algoritmo | valor=8692
linha=231 | nome=Tiago | acao=comparou as metricas | valor=2085
linha=232 | nome=Otavio | acao=fez um experimento | valor=6960
linha=233 | nome=Daniela | acao=fez um experimento | valor=1931
linha=234 | nome=Mariana | acao=executou o benchmark | valor=9209
linha=235 | nome=Ana | acao=escreveu o relatorio | valor=5849
linha=236 | nome=Otavio | acao=analisou os resultados | valor=6545
linha=237 | nome=Daniela | acao=otimizou o algoritmo | valor=2128
linha=238 | nome=Otavio | acao=otimizou o algoritmo | valor=4986
linha=239 | nome=Karen | acao=fez um experimento | valor=1219
linha=240 | nome=Helena | acao=estudou computacao | valor=3760
linha=241 | nome=Helena | acao=escreveu o relatorio | valor=7698
linha=242 | nome=Sofia | acao=participou da aula | valor=7702
linha=243 | nome=Vitor | acao=participou da aula | valor=9510
linha=244 | nome=Vitor | acao=estudou computacao | valor=6266
linha=245 | nome=Igor | acao=analisou os resultados | valor=5516
linha=246 | nome=Carlos | acao=escreveu o relatorio | valor=1261
linha=247 | nome=Felipe | acao=participou da aula | valor=8435
linha=248 | nome=Renata | acao=participou da aula | valor=5630
linha=249 | nome=Karen | acao=executou o benchmark | valor=4622
linha=250 | nome=Paulo | acao=analisou os resultados | valor=2146
linha=251 | nome=Paulo | acao=otimizou o algoritmo | valor=3588
linha=252 | nome=Lucas | acao=comparou as metricas | valor=1911
linha=253 | nome=Eduarda | acao=participou da aula | valor=9575
linha=254 | nome=Karen | acao=participou da aula | valor=8448
linha=255 | nome=Otavio | acao=analisou os resultados | valor=6057
linha=256 | nome=Lucas | acao=fez um experimento | valor=7639
linha=257 | nome=Helena | acao=participou da aula | valor=8649
linha=258 | nome=Mariana | acao=comparou as metricas | valor=2273
linha=259 | nome=Otavio | acao=executou o benchmark | valor=2267
linha=260 | nome=Daniela | acao=estudou computacao | valor=4372
linha=261 | nome=Vitor | acao=escreveu o relatorio | valor=1548
linha=262 | nome=Lucas | acao=analisou os resultados | valor=8809
linha=263 | nome=Mariana | acao=fez um experimento | valor=2700
linha=264 | nome=Renata | acao=otimizou o algoritmo | valor=4395
linha=265 | nome=Tiago | acao=fez um experimento | valor=1676
linha=266 | nome=Helena | acao=analisou os resultados | valor=8809
linha=267 | nome=Ana | acao=escreveu o relatorio | valor=5577
linha=268 | nome=Tiago | acao=participou da aula | valor=6153
linha=269 | nome=Karen | acao=executou o benchmark | valor=7928
linha=270 | nome=Ana | acao=estudou computacao | valor=9118
linha=271 | nome=Karen | acao=escreveu o relatorio | valor=7293
linha=272 | nome=Carlos | acao=comparou as metricas | valor=4018
linha=273 | nome=Vitor | acao=participou da aula | valor=2704
linha=274 | nome=Bruno | acao=analisou os resultados | valor=6072
linha=275 | nome=Bruno | acao=participou da aula | valor=2786
linha=276 | nome=Karen | acao=comparou as metricas | valor=1777
linha=277 | nome=Vitor | acao=analisou os resultados | valor=9257
linha=278 | nome=Natalia | acao=otimizou o algoritmo | valor=2055
linha=279 | nome=Renata | acao=participou da aula | valor=1910
linha=280 | nome=Tiago | acao=participou da aula | valor=9782
linha=281 | nome=Carlos | acao=participou da aula | valor=3287
linha=282 | nome=Igor | acao=fez um experimento | valor=2393
linha=283 | nome=Karen | acao=escreveu o relatorio | valor=4040
linha=284 | nome=Karen | acao=executou o benchmark | valor=7551
linha=285 | nome=Gabriela | acao=participou da aula | valor=7592
linha=286 | nome=Igor | acao=estudou computacao | valor=5095
linha=287 | nome=Tiago | acao=escreveu o relatorio | valor=3262
linha=288 | nome=Ana | acao=fez um experimento | valor=6238
linha=289 | nome=Mariana | acao=otimizou o algoritmo | valor=7505
linha=290 | nome=Tiago | acao=estudou computacao | valor=4701
linha=291 | nome=Ana | acao=otimizou o algoritmo | valor=6076
linha=292 | nome=Paulo | acao=executou o benchmark | valor=4913
linha=293 | nome=Bruno | acao=analisou os resultados | valor=3111
linha=294 | nome=Joao | acao=analisou os resultados | valor=2665
linha=295 | nome=Vitor | acao=comparou as metricas | valor=7498
linha=296 | nome=Daniela | acao=estudou computacao | valor=4271
linha=297 | nome=Renata | acao=fez um experimento | valor=3387
linha=298 | nome=Igor | acao=otimizou o algoritmo | valor=8859
linha=299 | nome=Vitor | acao=executou o benchmark | valor=9194
linha=300 | nome=Bruno | acao=comparou as metricas | valor=7670
linha=301 | nome=Mariana | acao=participou da aula | valor=5387
linha=302 | nome=Mariana | acao=comparou as metricas | valor=3370
linha=303 | nome=Eduarda | acao=comparou as metricas | valor=2684
linha=304 | nome=Tiago | acao=comparou as metricas | valor=7697
linha=305 | nome=Gabriela | acao=otimizou o algoritmo | valor=2277
linha=306 | nome=Mariana | acao=participou da aula | valor=3315
linha=307 | nome=Karen | acao=estudou computacao | valor=8065
linha=308 | nome=Felipe | acao=otimizou o algoritmo | valor=5209
linha=309 | nome=Natalia | acao=estudou computacao | valor=6857
linha=310 | nome=Gabriela | acao=comparou as metricas | valor=1482
linha=311 | nome=Karen | acao=escreveu o relatorio | valor=4747
linha=312 | nome=Lucas | acao=executou o benchmark | valor=7626
linha=313 | nome=Lucas | acao=escreveu o relatorio | valor=4581
linha=314 | nome=Daniela | acao=fez um experimento | valor=7663
linha=315 | nome=Otavio | acao=executou o benchmark | valor=9179
linha=316 | nome=Mariana | acao=participou da aula | valor=8558
linha=317 | nome=Karen | acao=executou o benchmark | valor=6233
linha=318 | nome=Sofia | acao=comparou as metricas | valor=2623
linha=319 | nome=Daniela | acao=fez um experimento | valor=2623
linha=320 | nome=Felipe | acao=analisou os resultados | valor=5767
linha=321 | nome=Igor | acao=otimizou o algoritmo | valor=5870
linha=322 | nome=Felipe | acao=fez um experimento | valor=1986
linha=323 | nome=Gabriela | acao=comparou as metricas | valor=4228
linha=324 | nome=Daniela | acao=analisou os resultados | valor=6506
linha=325 | nome=Sofia | acao=otimizou o algoritmo | valor=1776
linha=326 | nome=Mariana | acao=otimizou o algoritmo | valor=4484
linha=327 | nome=Felipe | acao=comparou as metricas | valor=3613
linha=328 | nome=Tiago | acao=otimizou o algoritmo | valor=2538
linha=329 | nome=Otavio | acao=escreveu o relatorio | valor=6541
linha=330 | nome=Bruno | acao=participou da aula | valor=7741
linha=331 | nome=Joao | acao=otimizou o algoritmo | valor=8654
linha=332 | nome=Tiago | acao=estudou computacao | valor=7101
linha=333 | nome=Sofia | acao=estudou computacao | valor=4051
linha=334 | nome=Igor | acao=participou da aula | valor=9544
linha=335 | nome=Lucas | acao=participou da aula | valor=6514
linha=336 | nome=Vitor | acao=comparou as metricas | valor=1112
linha=337 | nome=Lucas | acao=escreveu o relatorio | valor=2849
linha=338 | nome=Tiago | acao=participou da aula | valor=1335
linha=339 | nome=Sofia | acao=fez um experimento | valor=7420
linha=340 | nome=Otavio | acao=analisou os resultados | valor=8990
linha=341 | nome=Mariana | acao=escreveu o relatorio | valor=3911
linha=342 | nome=Otavio | acao=estudou computacao | valor=8046
linha=343 | nome=Eduarda | acao=comparou as metricas | valor=1159
linha=344 | nome=Otavio | acao=executou o benchmark | valor=6770
linha=345 | nome=Felipe | acao=analisou os resultados | valor=4225
linha=346 | nome=Paulo | acao=estudou computacao | valor=8325
linha=347 | nome=Mariana | acao=comparou as metricas | valor=8989
linha=348 | nome=Mariana | acao=executou o benchmark | valor=7883
linha=349 | nome=Sofia | acao=fez um experimento | valor=9894
linha=350 | nome=Helena | acao=fez um experimento | valor=6033
linha=351 | nome=Otavio | acao=estudou computacao | valor=8422
linha=352 | nome=Vitor | acao=estudou computacao | valor=3065
linha=353 | nome=Renata | acao=escreveu o relatorio | valor=3755
linha=354 | nome=Vitor | acao=estudou computacao | valor=1582
linha=355 | nome=Carlos | acao=otimizou o algoritmo | valor=4869
linha=356 | nome=Mariana | acao=otimizou o algoritmo | valor=3811
linha=357 | nome=Helena | acao=fez um experimento | valor=4178
linha=358 | nome=Felipe | acao=comparou as metricas | valor=6773
linha=359 | nome=Felipe | acao=otimizou o algoritmo | valor=2917
linha=360 | nome=Tiago | acao=analisou os resultados | valor=6508
linha=361 | nome=Ana | acao=participou da aula | valor=4397
linha=362 | nome=Natalia | acao=analisou os resultados | valor=1414
linha=363 | nome=Natalia | acao=comparou as metricas | valor=1970
linha=364 | nome=Daniela | acao=executou o benchmark | valor=3226
linha=365 | nome=Mariana | acao=fez um experimento | valor=7858
linha=366 | nome=Felipe | acao=comparou as metricas | valor=8150
linha=367 | nome=Carlos | acao=estudou computacao | valor=6877
linha=368 | nome=Natalia | acao=participou da aula | valor=2471
linha=369 | nome=Vitor | acao=comparou as metricas | valor=9791
linha=370 | nome=Gabriela | acao=fez um experimento | valor=5527
linha=371 | nome=Renata | acao=estudou computacao | valor=4276
linha=372 | nome=Helena | acao=fez um experimento | valor=1131
linha=373 | nome=Bruno | acao=estudou computacao | valor=1750
linha=374 | nome=Felipe | acao=escreveu o relatorio | valor=2078
linha=375 | nome=Joao | acao=escreveu o relatorio | valor=1854
linha=376 | nome=Eduarda | acao=otimizou o algoritmo | valor=5943
linha=377 | nome=Igor | acao=estudou computacao | valor=6481
linha=378 | nome=Mariana | acao=otimizou o algoritmo | valor=2802
linha=379 | nome=Mariana | acao=estudou computacao | valor=3360
linha=380 | nome=Sofia | acao=executou o benchmark | valor=5387
linha=381 | nome=Karen | acao=otimizou o algoritmo | valor=2527
linha=382 | nome=Daniela | acao=fez um experimento | valor=9819
linha=383 | nome=Karen | acao=escreveu o relatorio | valor=5480
linha=384 | nome=Ana | acao=fez um experimento | valor=4063
linha=385 | nome=Natalia | acao=escreveu o relatorio | valor=9913
linha=386 | nome=Helena | acao=otimizou o algoritmo | valor=9780
linha=387 | nome=Gabriela | acao=otimizou o algoritmo | valor=4869
linha=388 | nome=Helena | acao=estudou computacao | valor=7632
linha=389 | nome=Renata | acao=analisou os resultados | valor=8400
linha=390 | nome=Joao | acao=estudou computacao | valor=1757
linha=391 | nome=Felipe | acao=comparou as metricas | valor=6913
linha=392 | nome=Mariana | acao=estudou computacao | valor=2891
linha=393 | nome=Bruno | acao=executou o benchmark | valor=7604
linha=394 | nome=Karen | acao=fez um experimento | valor=2464
linha=395 | nome=Paulo | acao=escreveu o relatorio | valor=6677
linha=396 | nome=Lucas | acao=comparou as metricas | valor=4538
linha=397 | nome=Tiago | acao=analisou os resultados | valor=9155
linha=398 | nome=Eduarda | acao=otimizou o algoritmo | valor=6099
linha=399 | nome=Tiago | acao=escreveu o relatorio | valor=1201
linha=400 | nome=Joao | acao=otimizou o algoritmo | valor=7477
linha=401 | nome=Gabriela | acao=estudou computacao | valor=3091
linha=402 | nome=Igor | acao=escreveu o relatorio | valor=6030
linha=403 | nome=Otavio | acao=otimizou o algoritmo | valor=9437
linha=404 | nome=Daniela | acao=comparou as metricas | valor=2912
linha=405 | nome=Natalia | acao=escreveu o relatorio | valor=3478
linha=406 | nome=Vitor | acao=comparou as metricas | valor=8611
linha=407 | nome=Karen | acao=executou o benchmark | valor=5633
linha=408 | nome=Igor | acao=fez um experimento | valor=4507
linha=409 | nome=Karen | acao=otimizou o algoritmo | valor=6050
linha=410 | nome=Daniela | acao=otimizou o algoritmo | valor=3971
linha=411 | nome=Paulo | acao=executou o benchmark | valor=7733
linha=412 | nome=Eduarda | acao=participou da aula | valor=5664
linha=413 | nome=Felipe | acao=escreveu o relatorio | valor=5594
linha=414 | nome=Karen | acao=comparou as metricas | valor=2465
linha=415 | nome=Gabriela | acao=analisou os resultados | valor=6806
linha=416 | nome=Renata | acao=estudou computacao | valor=7702
linha=417 | nome=Renata | acao=executou o benchmark | valor=9803
linha=418 | nome=Lucas | acao=participou da aula | valor=4430
linha=419 | nome=Renata | acao=escreveu o relatorio | valor=2541
linha=420 | nome=Karen | acao=analisou os resultados | valor=2891
linha=421 | nome=Otavio | acao=otimizou o algoritmo | valor=7406
linha=422 | nome=Natalia | acao=otimizou o algoritmo | valor=9284
linha=423 | nome=Carlos | acao=comparou as metricas | valor=2437
linha=424 | nome=Carlos | acao=otimizou o algoritmo | valor=6895
linha=425 | nome=Vitor | acao=comparou as metricas | valor=4335
linha=426 | nome=Bruno | acao=participou da aula | valor=7606
linha=427 | nome=Helena | acao=fez um experimento | valor=8929
linha=428 | nome=Ana | acao=escreveu o relatorio | valor=5500
linha=429 | nome=Helena | acao=executou o benchmark | valor=8024
linha=430 | nome=Felipe | acao=participou da aula | valor=2606
linha=431 | nome=Paulo | acao=executou o benchmark | valor=7112
linha=432 | nome=Gabriela | acao=analisou os resultados | valor=4721
linha=433 | nome=Daniela | acao=participou da aula | valor=6973
linha=434 | nome=Tiago | acao=estudou computacao | valor=9455
linha=435 | nome=Otavio | acao=fez um experimento | valor=3342
linha=436 | nome=Helena | acao=participou da aula | valor=4567
linha=437 | nome=Tiago | acao=executou o benchmark | valor=4668
linha=438 | nome=Lucas | acao=otimizou o algoritmo | valor=5202
linha=439 | nome=Gabriela | acao=escreveu o relatorio | valor=3152
linha=440 | nome=Natalia | acao=otimizou o algoritmo | valor=8196
linha=441 | nome=Natalia | acao=escreveu o relatorio | valor=9256
linha=442 | nome=Paulo | acao=fez um experimento | valor=7189
linha=443 | nome=Eduarda | acao=fez um experimento | valor=3499
linha=444 | nome=Ana | acao=escreveu o relatorio | valor=4139
linha=445 | nome=Gabriela | acao=comparou as metricas | valor=8186
linha=446 | nome=Bruno | acao=estudou computacao | valor=8037
linha=447 | nome=Tiago | acao=otimizou o algoritmo | valor=4408
linha=448 | nome=Helena | acao=otimizou o algoritmo | valor=9638
linha=449 | nome=Vitor | acao=escreveu o relatorio | valor=2557
