linha=1 | nome=Eduarda | acao=participou da aula | valor=3466
linha=249 | nome=Renata | acao=fez um experimento | valor=6207
linha=250 | nome=Helena | acao=participou da aula | valor=8337
linha=251 | nome=Eduarda | acao=estudou computacao | valor=9126
linha=252 | nome=Ana | acao=analisou os resultados | valor=7338
linha=253 | nome=Sofia | acao=participou da aula | valor=2334
linha=254 | nome=Joao | acao=executou o benchmark | valor=3045
linha=255 | nome=Daniela | acao=otimizou o algoritmo | valor=2920
linha=256 | nome=Karen | acao=comparou as metricas | valor=3820
linha=257 | nome=Igor | acao=executou o benchmark | valor=7323
linha=258 | nome=Helena | acao=otimizou o algoritmo | valor=6019
linha=259 | nome=Tiago | acao=otimizou o algoritmo | valor=5963
linha=260 | nome=Felipe | acao=estudou computacao | valor=2264
linha=261 | nome=Felipe | acao=escreveu o relatorio | valor=4506
linha=262 | nome=Joao | acao=comparou as metricas | valor=2328
linha=263 | nome=Tiago | acao=analisou os resultados | valor=8225
linha=264 | nome=Joao | acao=fez um experimento | valor=5852
linha=265 | nome=Joao | acao=escreveu o relatorio | valor=9336
linha=266 | nome=Gabriela | acao=estudou computacao | valor=5249
linha=267 | nome=Gabriela | acao=otimizou o algoritmo | valor=6823
linha=268 | nome=Joao | acao=analisou os resultados | valor=7863
linha=269 | nome=Gabriela | acao=escreveu o relatorio | valor=4916
linha=270 | nome=Igor | acao=comparou as metricas | valor=5320
linha=271 | nome=Sofia | acao=participou da aula | valor=4343
linha=272 | nome=Carlos | acao=estudou computacao | valor=3163
linha=273 | nome=Helena | acao=escreveu o relatorio | valor=9709
linha=274 | nome=Carlos | acao=fez um experimento | valor=4784
linha=275 | nome=Eduarda | acao=otimizou o algoritmo | valor=3376
linha=276 | nome=Ana | acao=fez um experimento | valor=7360
linha=277 | nome=Eduarda | acao=estudou computacao | valor=2205
linha=278 | nome=Mariana | acao=executou o benchmark | valor=7319
linha=279 | nome=Lucas | acao=executou o benchmark | valor=3946
linha=280 | nome=Paulo | acao=otimizou o algoritmo | valor=6190
linha=281 | nome=Carlos | acao=escreveu o relatorio | valor=4451
linha=282 | nome=Lucas | acao=analisou os resultados | valor=3711
linha=283 | nome=Carlos | acao=otimizou o algoritmo | valor=3470
linha=284 | nome=Felipe | acao=comparou as metricas | valor=4422
linha=285 | nome=Sofia | acao=estudou computacao | valor=3399
linha=286 | nome=Renata | acao=analisou os resultados | valor=3321
linha=287 | nome=Felipe | acao=escreveu o relatorio | valor=6219
linha=288 | nome=Ana | acao=estudou computacao | valor=2373
linha=289 | nome=Eduarda | acao=analisou os resultados | valor=7030
linha=290 | nome=Lucas | acao=participou da aula | valor=1710
linha=291 | nome=Joao | acao=participou da aula | valor=9268
linha=292 | nome=Igor | acao=participou da aula | valor=2974
linha=293 | nome=Lucas | acao=escreveu o relatorio | valor=7598
linha=294 | nome=Joao | acao=participou da aula | valor=9186
linha=295 | nome=Natalia | acao=fez um experimento | valor=7454
linha=296 | nome=Helena | acao=fez um experimento | valor=1763
linha=297 | nome=Helena | acao=fez um experimento | valor=8197
linha=298 | nome=Helena | acao=executou o benchmark | valor=4855
linha=299 | nome=Mariana | acao=analisou os resultados | valor=3270
linha=300 | nome=Igor | acao=estudou computacao | valor=9728
linha=301 | nome=Gabriela | acao=otimizou o algoritmo | valor=4883
linha=302 | nome=Bruno | acao=comparou as metricas | valor=3123
linha=303 | nome=Sofia | acao=fez um experimento | valor=3472
linha=304 | nome=Tiago | acao=comparou as metricas | valor=6468
linha=305 | nome=Sofia | acao=escreveu o relatorio | valor=7287
linha=306 | nome=Eduarda | acao=fez um experimento | valor=6591
linha=307 | nome=Carlos | acao=estudou computacao | valor=4986
linha=308 | nome=Joao | acao=fez um experimento | valor=4452
linha=309 | nome=Daniela | acao=participou da aula | valor=6973
linha=310 | nome=Ana | acao=executou o benchmark | valor=6606
linha=311 | nome=Paulo | acao=executou o benchmark | valor=5639
linha=312 | nome=Mariana | acao=otimizou o algoritmo | valor=4141
linha=313 | nome=Tiago | acao=executou o benchmark | valor=2677
linha=314 | nome=Carlos | acao=executou o benchmark | valor=2245
linha=315 | nome=Karen | acao=escreveu o relatorio | valor=6817
linha=316 | nome=Helena | acao=participou da aula | valor=5981
linha=317 | nome=Natalia | acao=analisou os resultados | valor=8112
linha=318 | nome=Mariana | acao=escreveu o relatorio | valor=1474
linha=319 | nome=Tiago | acao=analisou os resultados | valor=2703
linha=320 | nome=Paulo | acao=otimizou o algoritmo | valor=4814
linha=321 | nome=Natalia | acao=escreveu o relatorio | valor=3394
linha=322 | nome=Joao | acao=fez um experimento | valor=6359
linha=323 | nome=Helena | acao=fez um experimento | valor=6932
linha=324 | nome=Carlos | acao=escreveu o relatorio | valor=4653
linha=325 | nome=Gabriela | acao=executou o benchmark | valor=1417
linha=326 | nome=Eduarda | acao=otimizou o algoritmo | valor=5433
linha=327 | nome=Renata | acao=estudou computacao | valor=1634
linha=328 | nome=Mariana | acao=escreveu o relatorio | valor=8343
linha=329 | nome=Karen | acao=executou o benchmark | valor=5957
linha=330 | nome=Paulo | acao=estudou computacao | valor=1494
linha=331 | nome=Natalia | acao=fez um experimento | valor=9520
linha=332 | nome=Eduarda | acao=otimizou o algoritmo | valor=4090
linha=333 | nome=Gabriela | acao=comparou as metricas | valor=5931
linha=334 | nome=Gabriela | acao=fez um experimento | valor=2409
linha=335 | nome=Bruno | acao=executou o benchmark | valor=1493
linha=336 | nome=Igor | acao=participou da aula | valor=2401
linha=337 | nome=Ana | acao=executou o benchmark | valor=1983
linha=338 | nome=Karen | acao=estudou computacao | valor=2441
linha=339 | nome=Bruno | acao=fez um experimento | valor=8354
linha=340 | nome=Gabriela | acao=fez um experimento | valor=8999
linha=341 | nome=Vitor | acao=analisou os resultados | valor=9833
linha=342 | nome=Mariana | acao=executou o benchmark | valor=4815
linha=343 | nome=Vitor | acao=otimizou o algoritmo | valor=8894
linha=344 | nome=Felipe | acao=otimizou o algoritmo | valor=3726
linha=345 | nome=Karen | acao=analisou os resultados | valor=7955
linha=346 | nome=Sofia | acao=analisou os resultados | valor=6274
linha=347 | nome=Vitor | acao=estudou computacao | valor=3706
linha=348 | nome=Otavio | acao=comparou as metricas | valor=6486
linha=349 | nome=Paulo | acao=estudou computacao | valor=8709
linha=350 | nome=Gabriela | acao=estudou computacao | valor=3661
linha=351 | nome=Sofia | acao=executou o benchmark | valor=2884
linha=352 | nome=Paulo | acao=comparou as metricas | valor=1408
linha=353 | nome=Paulo | acao=participou da aula | valor=3444
linha=354 | nome=Natalia | acao=escreveu o relatorio | valor=3482
linha=355 | nome=Karen | acao=participou da aula | valor=6560
linha=356 | nome=Natalia | acao=comparou as metricas | valor=8149
linha=357 | nome=Helena | acao=analisou os resultados | valor=8229
linha=358 | nome=Helena | acao=estudou computacao | valor=9660
linha=359 | nome=Vitor | acao=otimizou o algoritmo | valor=9455
linha=360 | nome=Karen | acao=comparou as metricas | valor=2816
linha=361 | nome=Paulo | acao=participou da aula | valor=5844
linha=362 | nome=Gabriela | acao=participou da aula | valor=1976
linha=363 | nome=Igor | acao=participou da aula | valor=6700
linha=364 | nome=Tiago | acao=executou o benchmark | valor=9015
linha=365 | nome=Joao | acao=executou o benchmark | valor=8215
linha=366 | nome=Paulo | acao=analisou os resultados | valor=8175
linha=367 | nome=Felipe | acao=participou da aula | valor=5679
linha=368 | nome=Felipe | acao=participou da aula | valor=2125
linha=369 | nome=Tiago | acao=executou o benchmark | valor=3859
linha=370 | nome=Bruno | acao=analisou os resultados | valor=9312
linha=371 | nome=Otavio | acao=participou da aula | valor=4517
linha=372 | nome=Lucas | acao=fez um experimento | valor=2803
linha=373 | nome=Otavio | acao=fez um experimento | valor=6162
linha=374 | nome=Eduarda | acao=fez um experimento | valor=2460
linha=375 | nome=Mariana | acao=executou o benchmark | valor=6357
linha=376 | nome=Renata | acao=escreveu o relatorio | valor=5134
linha=377 | nome=Tiago | acao=analisou os resultados | valor=9352
linha=378 | nome=Bruno | acao=analisou os resultados | valor=8069
linha=379 | nome=Carlos | acao=executou o benchmark | valor=2466
linha=380 | nome=Karen | acao=fez um experimento | valor=7152
linha=381 | nome=Sofia | acao=estudou computacao | valor=8398
linha=382 | nome=Carlos | acao=analisou os resultados | valor=9667
linha=383 | nome=Helena | acao=escreveu o relatorio | valor=2044
linha=384 | nome=Eduarda | acao=estudou computacao | valor=2737
linha=385 | nome=Bruno | acao=participou da aula | valor=3216
linha=386 | nome=Mariana | acao=estudou computacao | valor=7397
linha=387 | nome=Otavio | acao=fez um experimento | valor=7767
linha=388 | nome=Eduarda | acao=estudou computacao | valor=6093
linha=389 | nome=Renata | acao=participou da aula | valor=2175
linha=390 | nome=Bruno | acao=executou o benchmark | valor=4784
linha=391 | nome=Natalia | acao=comparou as metricas | valor=5325
linha=392 | nome=Felipe | acao=comparou as metricas | valor=8207
linha=393 | nome=Natalia | acao=fez um experimento | valor=9224
linha=394 | nome=Lucas | acao=executou o benchmark | valor=8123
linha=395 | nome=Carlos | acao=fez um experimento | valor=6590
linha=396 | nome=Felipe | acao=otimizou o algoritmo | valor=3033
linha=397 | nome=Helena | acao=fez um experimento | valor=8475
linha=398 | nome=Lucas | acao=participou da aula | valor=8667
linha=399 | nome=Vitor | acao=executou o benchmark | valor=8999
linha=400 | nome=Vitor | acao=escreveu o relatorio | valor=7662
linha=401 | nome=Felipe | acao=participou da aula | valor=3034
linha=402 | nome=Lucas | acao=participou da aula | valor=1122
linha=403 | nome=Carlos | acao=otimizou o algoritmo | valor=9952
linha=404 | nome=Renata | acao=otimizou o algoritmo | valor=6012
linha=405 | nome=Helena | acao=executou o benchmark | valor=5164
linha=406 | nome=Eduarda | acao=analisou os resultados | valor=7237
linha=407 | nome=Gabriela | acao=executou o benchmark | valor=8886
linha=408 | nome=Bruno | acao=participou da aula | valor=8473
linha=409 | nome=Gabriela | acao=comparou as metricas | valor=8290
linha=410 | nome=Igor | acao=estudou computacao | valor=9032
linha=411 | nome=Joao | acao=analisou os resultados | valor=1456
linha=412 | nome=Vitor | acao=estudou computacao | valor=5384
linha=413 | nome=Otavio | acao=escreveu o relatorio | valor=2794
linha=414 | nome=Gabriela | acao=executou o benchmark | valor=1911
linha=415 | nome=Daniela | acao=fez um experimento | valor=8661
linha=416 | nome=Lucas | acao=comparou as metricas | valor=9112
linha=417 | nome=Natalia | acao=escreveu o relatorio | valor=9871
linha=418 | nome=Karen | acao=escreveu o relatorio | valor=2019
linha=419 | nome=Sofia | acao=fez um experimento | valor=1427
linha=420 | nome=Joao | acao=escreveu o relatorio | valor=3081
linha=421 | nome=Igor | acao=estudou computacao | valor=4170
linha=422 | nome=Sofia | acao=executou o benchmark | valor=5735
linha=423 | nome=Karen | acao=participou da aula | valor=2675
linha=424 | nome=Natalia | acao=otimizou o algoritmo | valor=7364
linha=425 | nome=Gabriela | acao=comparou as metricas | valor=7723
linha=426 | nome=Sofia | acao=fez um experimento | valor=8791
linha=427 | nome=Daniela | acao=analisou os resultados | valor=1952
linha=428 | nome=Natalia | acao=executou o benchmark | valor=8902
linha=429 | nome=Sofia | acao=comparou as metricas | valor=8640
linha=430 | nome=Vitor | acao=participou da aula | valor=7875
linha=431 | nome=Sofia | acao=executou o benchmark | valor=8160
linha=432 | nome=Natalia | acao=analisou os resultados | valor=5839
linha=433 | nome=Felipe | acao=participou da aula | valor=7743
linha=434 | nome=Karen | acao=fez um experimento | valor=3205
linha=435 | nome=Ana | acao=comparou as metricas | valor=7178
linha=436 | nome=Eduarda | acao=analisou os resultados | valor=9013
linha=437 | nome=Joao | acao=estudou computacao | valor=5536
linha=438 | nome=Daniela | acao=participou da aula | valor=6452
linha=439 | nome=Igor | acao=otimizou o algoritmo | valor=6398
linha=440 | nome=Eduarda | acao=comparou as metricas | valor=1616
linha=441 | nome=Felipe | acao=escreveu o relatorio | valor=9545
linha=442 | nome=Daniela | acao=participou da aula | valor=6180
linha=443 | nome=Ana | acao=fez um experimento | valor=3595
linha=444 | nome=Daniela | acao=participou da aula | valor=3122
linha=445 | nome=Karen | acao=comparou as metricas | valor=4862
linha=446 | nome=Sofia | acao=participou da aula | valor=7165
linha=447 | nome=Renata | acao=analisou os resultados | valor=4658
linha=448 | nome=Otavio | acao=analisou os resultados | valor=3253
linha=449 | nome=Mariana | acao=comparou as metricas | valor=1279
linha=450 | nome=Otavio | acao=comparou as metricas | valor=3218
linha=451 | nome=Helena | acao=analisou os resultados | valor=4330
