linha=1 | nome=Lucas | acao=comparou as metricas | valor=1308
linha=129 | nome=Daniela | acao=fez um experimento | valor=9271
linha=130 | nome=Felipe | acao=estudou computacao | valor=5383
linha=131 | nome=Sofia | acao=escreveu o relatorio | valor=1744
linha=132 | nome=Carlos | acao=fez um experimento | valor=1380
linha=133 | nome=Daniela | acao=estudou computacao | valor=1745
linha=134 | nome=Gabriela | acao=estudou computacao | valor=7392
linha=135 | nome=Ana | acao=comparou as metricas | valor=8453
linha=136 | nome=Gabriela | acao=otimizou o algoritmo | valor=5968
linha=137 | nome=Helena | acao=analisou os resultados | valor=7249
linha=138 | nome=Mariana | acao=analisou os resultados | valor=7607
linha=139 | nome=Daniela | acao=estudou computacao | valor=3971
linha=140 | nome=Bruno | acao=executou o benchmark | valor=6875
linha=141 | nome=Bruno | acao=escreveu o relatorio | valor=1367
linha=142 | nome=Lucas | acao=comparou as metricas | valor=9135
linha=143 | nome=Carlos | acao=otimizou o algoritmo | valor=5138
linha=144 | nome=Helena | acao=escreveu o relatorio | valor=2276
linha=145 | nome=Gabriela | acao=escreveu o relatorio | valor=2170
linha=146 | nome=Igor | acao=comparou as metricas | valor=1450
linha=147 | nome=Natalia | acao=comparou as metricas | valor=1122
linha=148 | nome=Vitor | acao=participou da aula | valor=3928
linha=149 | nome=Vitor | acao=executou o benchmark | valor=3434
linha=150 | nome=Natalia | acao=otimizou o algoritmo | valor=9569
linha=151 | nome=Vitor | acao=escreveu o relatorio | valor=1500
linha=152 | nome=Joao | acao=analisou os resultados | valor=7190
linha=153 | nome=Renata | acao=estudou computacao | valor=3776
linha=154 | nome=Igor | acao=analisou os resultados | valor=7871
linha=155 | nome=Renata | acao=otimizou o algoritmo | valor=8036
linha=156 | nome=Natalia | acao=escreveu o relatorio | valor=6275
linha=157 | nome=Vitor | acao=estudou computacao | valor=6552
linha=158 | nome=Karen | acao=estudou computacao | valor=9730
linha=159 | nome=Otavio | acao=otimizou o algoritmo | valor=1298
linha=160 | nome=Sofia | acao=escreveu o relatorio | valor=4017
linha=161 | nome=Bruno | acao=executou o benchmark | valor=4375
linha=162 | nome=Mariana | acao=escreveu o relatorio | valor=8375
linha=163 | nome=Sofia | acao=analisou os resultados | valor=1368
linha=164 | nome=Bruno | acao=participou da aula | valor=3015
linha=165 | nome=Tiago | acao=executou o benchmark | valor=3352
linha=166 | nome=Bruno | acao=participou da aula | valor=5105
linha=167 | nome=Ana | acao=fez um experimento | valor=5735
linha=168 | nome=Karen | acao=comparou as metricas | valor=8492
linha=169 | nome=Lucas | acao=analisou os resultados | valor=4321
linha=170 | nome=Vitor | acao=otimizou o algoritmo | valor=5149
linha=171 | nome=Paulo | acao=otimizou o algoritmo | valor=8356
linha=172 | nome=Tiago | acao=fez um experimento | valor=1070
linha=173 | nome=Lucas | acao=executou o benchmark | valor=2427
linha=174 | nome=Renata | acao=otimizou o algoritmo | valor=5725
linha=175 | nome=Igor | acao=analisou os resultados | valor=3983
linha=176 | nome=Mariana | acao=participou da aula | valor=4194
linha=177 | nome=Vitor | acao=executou o benchmark | valor=3131
linha=178 | nome=Helena | acao=estudou computacao | valor=2497
linha=179 | nome=Helena | acao=otimizou o algoritmo | valor=8520
linha=180 | nome=Carlos | acao=escreveu o relatorio | valor=5902
linha=181 | nome=Karen | acao=analisou os resultados | valor=1421
linha=182 | nome=Helena | acao=otimizou o algoritmo | valor=3427
linha=183 | nome=Igor | acao=estudou computacao | valor=2694
linha=184 | nome=Joao | acao=participou da aula | valor=5772
linha=185 | nome=Tiago | acao=executou o benchmark | valor=6348
linha=186 | nome=Eduarda | acao=participou da aula | valor=3165
linha=187 | nome=Bruno | acao=otimizou o algoritmo | valor=2956
linha=188 | nome=Otavio | acao=executou o benchmark | valor=4352
linha=189 | nome=Igor | acao=escreveu o relatorio | valor=6408
linha=190 | nome=Renata | acao=fez um experimento | valor=4801
linha=191 | nome=Paulo | acao=executou o benchmark | valor=6164
linha=192 | nome=Karen | acao=fez um experimento | valor=5973
linha=193 | nome=Vitor | acao=participou da aula | valor=6569
linha=194 | nome=Joao | acao=otimizou o algoritmo | valor=5289
linha=195 | nome=Renata | acao=executou o benchmark | valor=9598
linha=196 | nome=Lucas | acao=fez um experimento | valor=2478
linha=197 | nome=Renata | acao=comparou as metricas | valor=2232
linha=198 | nome=Vitor | acao=otimizou o algoritmo | valor=6137
linha=199 | nome=Ana | acao=otimizou o algoritmo | valor=2867
linha=200 | nome=Gabriela | acao=participou da aula | valor=6756
linha=201 | nome=Tiago | acao=estudou computacao | valor=5425
linha=202 | nome=Lucas | acao=participou da aula | valor=1090
linha=203 | nome=Lucas | acao=escreveu o relatorio | valor=7961
linha=204 | nome=Mariana | acao=escreveu o relatorio | valor=1875
linha=205 | nome=Mariana | acao=otimizou o algoritmo | valor=8290
linha=206 | nome=Tiago | acao=escreveu o relatorio | valor=8403
linha=207 | nome=Paulo | acao=executou o benchmark | valor=2202
linha=208 | nome=Felipe | acao=otimizou o algoritmo | valor=3198
linha=209 | nome=Vitor | acao=analisou os resultados | valor=4707
linha=210 | nome=Carlos | acao=escreveu o relatorio | valor=6143
linha=211 | nome=Helena | acao=analisou os resultados | valor=5387
linha=212 | nome=Mariana | acao=otimizou o algoritmo | valor=4905
linha=213 | nome=Igor | acao=fez um experimento | valor=8037
linha=214 | nome=Felipe | acao=analisou os resultados | valor=2743
linha=215 | nome=Tiago | acao=executou o benchmark | valor=2346
linha=216 | nome=Paulo | acao=escreveu o relatorio | valor=3634
linha=217 | nome=Igor | acao=fez um experimento | valor=6014
linha=218 | nome=Eduarda | acao=comparou as metricas | valor=7769
linha=219 | nome=Vitor | acao=otimizou o algoritmo | valor=8255
linha=220 | nome=Ana | acao=comparou as metricas | valor=1991
linha=221 | nome=Ana | acao=executou o benchmark | valor=6131
linha=222 | nome=Bruno | acao=participou da aula | valor=4697
linha=223 | nome=Karen | acao=analisou os resultados | valor=2445
linha=224 | nome=Igor | acao=otimizou o algoritmo | valor=7453
linha=225 | nome=Gabriela | acao=analisou os resultados | valor=5435
linha=226 | nome=Mariana | acao=estudou computacao | valor=2205
linha=227 | nome=Otavio | acao=estudou computacao | valor=9735
linha=228 | nome=Sofia | acao=analisou os resultados | valor=2562
linha=229 | nome=Gabriela | acao=comparou as metricas | valor=1883
linha=230 | nome=Sofia | acao=analisou os resultados | valor=8443
linha=231 | nome=Tiago | acao=otimizou o algoritmo | valor=3164
linha=232 | nome=Karen | acao=participou da aula | valor=3168
linha=233 | nome=Igor | acao=estudou computacao | valor=6989
linha=234 | nome=Paulo | acao=comparou as metricas | valor=5287
linha=235 | nome=Daniela | acao=estudou computacao | valor=4075
linha=236 | nome=Daniela | acao=otimizou o algoritmo | valor=1696
linha=237 | nome=Natalia | acao=participou da aula | valor=5105
linha=238 | nome=Bruno | acao=estudou computacao | valor=9657
linha=239 | nome=Ana | acao=otimizou o algoritmo | valor=7870
linha=240 | nome=Gabriela | acao=analisou os resultados | valor=7935
linha=241 | nome=Natalia | acao=estudou computacao | valor=2311
linha=242 | nome=Karen | acao=comparou as metricas | valor=8108
linha=243 | nome=Natalia | acao=executou o benchmark | valor=5949
linha=244 | nome=Lucas | acao=escreveu o relatorio | valor=6957
linha=245 | nome=Mariana | acao=otimizou o algoritmo | valor=6875
linha=246 | nome=Igor | acao=executou o benchmark | valor=5772
linha=247 | nome=Mariana | acao=executou o benchmark | valor=3318
linha=248 | nome=Renata | acao=participou da aula | valor=3132
linha=249 | nome=Gabriela | acao=participou da aula | valor=1192
linha=250 | nome=Bruno | acao=comparou as metricas | valor=3504
linha=251 | nome=Mariana | acao=participou da aula | valor=1499
linha=252 | nome=Natalia | acao=analisou os resultados | valor=3943
linha=253 | nome=Eduarda | acao=comparou as metricas | valor=1767
linha=254 | nome=Daniela | acao=escreveu o relatorio | valor=3042
linha=255 | nome=Vitor | acao=executou o benchmark | valor=2271
linha=256 | nome=Carlos | acao=participou da aula | valor=5414
linha=257 | nome=Bruno | acao=estudou computacao | valor=4356
linha=258 | nome=Tiago | acao=comparou as metricas | valor=4473
linha=259 | nome=Igor | acao=analisou os resultados | valor=3580
linha=260 | nome=Sofia | acao=fez um experimento | valor=9771
linha=261 | nome=Tiago | acao=escreveu o relatorio | valor=4167
linha=262 | nome=Ana | acao=comparou as metricas | valor=3910
linha=263 | nome=Karen | acao=executou o benchmark | valor=8740
linha=264 | nome=Bruno | acao=otimizou o algoritmo | valor=5909
linha=265 | nome=Igor | acao=comparou as metricas | valor=5842
linha=266 | nome=Vitor | acao=fez um experimento | valor=4255
linha=267 | nome=Tiago | acao=estudou computacao | valor=1786
linha=268 | nome=Lucas | acao=escreveu o relatorio | valor=7964
linha=269 | nome=Tiago | acao=analisou os resultados | valor=2776
linha=270 | nome=Mariana | acao=analisou os resultados | valor=4955
linha=271 | nome=Bruno | acao=comparou as metricas | valor=2613
linha=272 | nome=Tiago | acao=participou da aula | valor=9048
linha=273 | nome=Eduarda | acao=otimizou o algoritmo | valor=3428
linha=274 | nome=Eduarda | acao=otimizou o algoritmo | valor=8728
linha=275 | nome=Tiago | acao=analisou os resultados | valor=6366
linha=276 | nome=Gabriela | acao=estudou computacao | valor=3187
linha=277 | nome=Helena | acao=analisou os resultados | valor=3751
linha=278 | nome=Joao | acao=fez um experimento | valor=8806
linha=279 | nome=Sofia | acao=fez um experimento | valor=3251
linha=280 | nome=Helena | acao=estudou computacao | valor=2391
linha=281 | nome=Tiago | acao=executou o benchmark | valor=5583
linha=282 | nome=Igor | acao=escreveu o relatorio | valor=2211
linha=283 | nome=Joao | acao=comparou as metricas | valor=9180
linha=284 | nome=Eduarda | acao=escreveu o relatorio | valor=4445
linha=285 | nome=Helena | acao=estudou computacao | valor=2357
linha=286 | nome=Otavio | acao=participou da aula | valor=2856
linha=287 | nome=Mariana | acao=escreveu o relatorio | valor=7299
linha=288 | nome=Joao | acao=fez um experimento | valor=2231
linha=289 | nome=Renata | acao=escreveu o relatorio | valor=2029
linha=290 | nome=Vitor | acao=estudou computacao | valor=4129
linha=291 | nome=Sofia | acao=otimizou o algoritmo | valor=9294
linha=292 | nome=Paulo | acao=escreveu o relatorio | valor=1099
linha=293 | nome=Helena | acao=escreveu o relatorio | valor=3434
linha=294 | nome=Natalia | acao=escreveu o relatorio | valor=5970
linha=295 | nome=Lucas | acao=comparou as metricas | valor=8860
linha=296 | nome=Daniela | acao=participou da aula | valor=4318
linha=297 | nome=Helena | acao=comparou as metricas | valor=3228
linha=298 | nome=Eduarda | acao=fez um experimento | valor=5795
linha=299 | nome=Sofia | acao=otimizou o algoritmo | valor=8489
linha=300 | nome=Natalia | acao=participou da aula | valor=7068
linha=301 | nome=Helena | acao=analisou os resultados | valor=7188
linha=302 | nome=Gabriela | acao=estudou computacao | valor=4625
linha=303 | nome=Ana | acao=estudou computacao | valor=3293
linha=304 | nome=Paulo | acao=participou da aula | valor=1496
linha=305 | nome=Carlos | acao=analisou os resultados | valor=1632
linha=306 | nome=Ana | acao=comparou as metricas | valor=8370
linha=307 | nome=Helena | acao=comparou as metricas | valor=3643
linha=308 | nome=Igor | acao=comparou as metricas | valor=2394
linha=309 | nome=Tiago | acao=participou da aula | valor=4967
linha=310 | nome=Eduarda | acao=analisou os resultados | valor=3779
linha=311 | nome=Daniela | acao=executou o benchmark | valor=3262
linha=312 | nome=Carlos | acao=participou da aula | valor=3439
linha=313 | nome=Carlos | acao=participou da aula | valor=7019
linha=314 | nome=Mariana | acao=executou o benchmark | valor=5809
linha=315 | nome=Paulo | acao=escreveu o relatorio | valor=2937
linha=316 | nome=Renata | acao=executou o benchmark | valor=8088
linha=317 | nome=Paulo | acao=estudou computacao | valor=3020
linha=318 | nome=Bruno | acao=comparou as metricas | valor=5412
linha=319 | nome=Daniela | acao=analisou os resultados | valor=6055
linha=320 | nome=Karen | acao=comparou as metricas | valor=9385
linha=321 | nome=Tiago | acao=estudou computacao | valor=9154
linha=322 | nome=Gabriela | acao=otimizou o algoritmo | valor=5989
linha=323 | nome=Vitor | acao=escreveu o relatorio | valor=5427
linha=324 | nome=Mariana | acao=analisou os resultados | valor=8308
linha=325 | nome=Gabriela | acao=estudou computacao | valor=8509
linha=326 | nome=Helena | acao=comparou as metricas | valor=3082
linha=327 | nome=Sofia | acao=executou o benchmark | valor=1594
linha=328 | nome=Karen | acao=estudou computacao | valor=5794
linha=329 | nome=Ana | acao=fez um experimento | valor=4264
linha=330 | nome=Carlos | acao=estudou computacao | valor=8938
linha=331 | nome=Gabriela | acao=otimizou o algoritmo | valor=6515
linha=332 | nome=Daniela | acao=participou da aula | valor=7964
linha=333 | nome=Joao | acao=otimizou o algoritmo | valor=4880
linha=334 | nome=Felipe | acao=fez um experimento | valor=5112
linha=335 | nome=Ana | acao=executou o benchmark | valor=3669
linha=336 | nome=Joao | acao=escreveu o relatorio | valor=5200
linha=337 | nome=Daniela | acao=otimizou o algoritmo | valor=3052
linha=338 | nome=Ana | acao=analisou os resultados | valor=5542
linha=339 | nome=Gabriela | acao=estudou computacao | valor=8781
linha=340 | nome=Gabriela | acao=executou o benchmark | valor=1298
linha=341 | nome=Felipe | acao=participou da aula | valor=2011
linha=342 | nome=Helena | acao=comparou as metricas | valor=8495
linha=343 | nome=Felipe | acao=fez um experimento | valor=5534
linha=344 | nome=Otavio | acao=analisou os resultados | valor=2679
linha=345 | nome=Bruno | acao=executou o benchmark | valor=1209
linha=346 | nome=Gabriela | acao=fez um experimento | valor=2911
linha=347 | nome=Lucas | acao=analisou os resultados | valor=7509
linha=348 | nome=Gabriela | acao=analisou os resultados | valor=3213
linha=349 | nome=Renata | acao=analisou os resultados | valor=1423
linha=350 | nome=Vitor | acao=otimizou o algoritmo | valor=2710
linha=351 | nome=Paulo | acao=fez um experimento | valor=7655
linha=352 | nome=Renata | acao=analisou os resultados | valor=5224
linha=353 | nome=Sofia | acao=escreveu o relatorio | valor=5766
linha=354 | nome=Vitor | acao=fez um experimento | valor=3400
linha=355 | nome=Mariana | acao=estudou computacao | valor=6041
linha=356 | nome=Mariana | acao=comparou as metricas | valor=7632
linha=357 | nome=Paulo | acao=executou o benchmark | valor=2113
linha=358 | nome=Gabriela | acao=analisou os resultados | valor=7278
linha=359 | nome=Natalia | acao=otimizou o algoritmo | valor=2911
linha=360 | nome=Natalia | acao=escreveu o relatorio | valor=2558
linha=361 | nome=Renata | acao=executou o benchmark | valor=1835
linha=362 | nome=Gabriela | acao=executou o benchmark | valor=6557
linha=363 | nome=Vitor | acao=comparou as metricas | valor=9289
linha=364 | nome=Otavio | acao=participou da aula | valor=7012
linha=365 | nome=Helena | acao=otimizou o algoritmo | valor=7980
linha=366 | nome=Igor | acao=escreveu o relatorio | valor=1574
linha=367 | nome=Mariana | acao=escreveu o relatorio | valor=9816
linha=368 | nome=Lucas | acao=estudou computacao | valor=7781
linha=369 | nome=Eduarda | acao=analisou os resultados | valor=3693
linha=370 | nome=Mariana | acao=analisou os resultados | valor=7651
linha=371 | nome=Karen | acao=otimizou o algoritmo | valor=3639
linha=372 | nome=Felipe | acao=executou o benchmark | valor=4039
linha=373 | nome=Mariana | acao=participou da aula | valor=3042
linha=374 | nome=Eduarda | acao=estudou computacao | valor=3690
linha=375 | nome=Otavio | acao=fez um experimento | valor=7352
linha=376 | nome=Tiago | acao=participou da aula | valor=8216
linha=377 | nome=Igor | acao=otimizou o algoritmo | valor=7245
linha=378 | nome=Sofia | acao=escreveu o relatorio | valor=6618
linha=379 | nome=Joao | acao=participou da aula | valor=9082
linha=380 | nome=Daniela | acao=executou o benchmark | valor=7743
linha=381 | nome=Mariana | acao=executou o benchmark | valor=6010
linha=382 | nome=Ana | acao=estudou computacao | valor=7269
linha=383 | nome=Renata | acao=executou o benchmark | valor=4243
linha=384 | nome=Paulo | acao=participou da aula | valor=6495
linha=385 | nome=Karen | acao=executou o benchmark | valor=5036
linha=386 | nome=Sofia | acao=participou da aula | valor=2390
linha=387 | nome=Eduarda | acao=executou o benchmark | valor=3717
linha=388 | nome=Ana | acao=executou o benchmark | valor=4517
linha=389 | nome=Otavio | acao=comparou as metricas | valor=9361
linha=390 | nome=Sofia | acao=escreveu o relatorio | valor=7760
linha=391 | nome=Ana | acao=escreveu o relatorio | valor=5506
linha=392 | nome=Lucas | acao=otimizou o algoritmo | valor=3873
linha=393 | nome=Ana | acao=estudou computacao | valor=5697
linha=394 | nome=Mariana | acao=fez um experimento | valor=9910
linha=395 | nome=Natalia | acao=fez um experimento | valor=8599
linha=396 | nome=Ana | acao=estudou computacao | valor=7170
linha=397 | nome=Gabriela | acao=comparou as metricas | valor=7928
linha=398 | nome=Daniela | acao=estudou computacao | valor=9062
linha=399 | nome=Joao | acao=estudou computacao | valor=6908
linha=400 | nome=Carlos | acao=estudou computacao | valor=3078
linha=401 | nome=Mariana | acao=otimizou o algoritmo | valor=6399
linha=402 | nome=Natalia | acao=otimizou o algoritmo | valor=2221
linha=403 | nome=Sofia | acao=estudou computacao | valor=3480
linha=404 | nome=Sofia | acao=participou da aula | valor=2339
linha=405 | nome=Gabriela | acao=escreveu o relatorio | valor=9115
linha=406 | nome=Sofia | acao=comparou as metricas | valor=2513
linha=407 | nome=Bruno | acao=analisou os resultados | valor=7030
linha=408 | nome=Bruno | acao=analisou os resultados | valor=7985
linha=409 | nome=Karen | acao=estudou computacao | valor=7713
linha=410 | nome=Joao | acao=executou o benchmark | valor=6321
linha=411 | nome=Renata | acao=estudou computacao | valor=9791
linha=412 | nome=Igor | acao=fez um experimento | valor=6197
linha=413 | nome=Karen | acao=estudou computacao | valor=9950
linha=414 | nome=Igor | acao=estudou computacao | valor=4415
linha=415 | nome=Felipe | acao=otimizou o algoritmo | valor=8046
linha=416 | nome=Otavio | acao=analisou os resultados | valor=3002
linha=417 | nome=Igor | acao=fez um experimento | valor=5838
linha=418 | nome=Gabriela | acao=comparou as metricas | valor=6822
linha=419 | nome=Lucas | acao=otimizou o algoritmo | valor=7497
linha=420 | nome=Gabriela | acao=participou da aula | valor=4239
linha=421 | nome=Renata | acao=escreveu o relatorio | valor=4620
linha=422 | nome=Sofia | acao=estudou computacao | valor=4385
linha=423 | nome=Felipe | acao=otimizou o algoritmo | valor=7432
linha=424 | nome=Renata | acao=escreveu o relatorio | valor=4273
linha=425 | nome=Eduarda | acao=estudou computacao | valor=7894
linha=426 | nome=Mariana | acao=otimizou o algoritmo | valor=1061
linha=427 | nome=Joao | acao=otimizou o algoritmo | valor=4069
linha=428 | nome=Helena | acao=analisou os resultados | valor=5455
linha=429 | nome=Eduarda | acao=comparou as metricas | valor=8027
linha=430 | nome=Felipe | acao=executou o benchmark | valor=8430
linha=431 | nome=Mariana | acao=participou da aula | valor=1691
linha=432 | nome=Renata | acao=fez um experimento | valor=3235
linha=433 | nome=Eduarda | acao=analisou os resultados | valor=6125
linha=434 | nome=Karen | acao=fez um experimento | valor=9836
linha=435 | nome=Daniela | acao=executou o benchmark | valor=9012
linha=436 | nome=Eduarda | acao=analisou os resultados | valor=4003
linha=437 | nome=Helena | acao=analisou os resultados | valor=7702
linha=438 | nome=Natalia | acao=escreveu o relatorio | valor=9270
linha=439 | nome=Paulo | acao=fez um experimento | valor=4155
linha=440 | nome=Sofia | acao=analisou os resultados | valor=8553
linha=441 | nome=Sofia | acao=participou da aula | valor=2977
linha=442 | nome=Igor | acao=executou o benchmark | valor=5713
linha=443 | nome=Daniela | acao=escreveu o relatorio | valor=3678
linha=444 | nome=Otavio | acao=fez um experimento | valor=6336
linha=445 | nome=Mariana | acao=estudou computacao | valor=7781
linha=446 | nome=Carlos | acao=escreveu o relatorio | valor=8157
linha=447 | nome=Lucas | acao=executou o benchmark | valor=2721
linha=448 | nome=Vitor | acao=comparou as metricas | valor=3006
linha=449 | nome=Felipe | acao=executou o benchmark | valor=9466
linha=450 | nome=Renata | acao=escreveu o relatorio | valor=8490
