linha=1 | nome=Carlos | acao=analisou os resultados | valor=3789
linha=90 | nome=Carlos | acao=estudou computacao | valor=7077
linha=91 | nome=Mariana | acao=escreveu o relatorio | valor=5151
linha=92 | nome=Felipe | acao=fez um experimento | valor=9586
linha=93 | nome=Bruno | acao=estudou computacao | valor=6846
linha=94 | nome=Karen | acao=executou o benchmark | valor=7632
linha=95 | nome=Joao | acao=analisou os resultados | valor=5201
linha=96 | nome=Otavio | acao=fez um experimento | valor=2395
linha=97 | nome=Felipe | acao=otimizou o algoritmo | valor=9082
linha=98 | nome=Vitor | acao=analisou os resultados | valor=7312
linha=99 | nome=Ana | acao=escreveu o relatorio | valor=7461
linha=100 | nome=Helena | acao=otimizou o algoritmo | valor=3934
linha=101 | nome=Bruno | acao=executou o benchmark | valor=5162
linha=102 | nome=Mariana | acao=escreveu o relatorio | valor=1015
linha=103 | nome=Mariana | acao=comparou as metricas | valor=3727
linha=104 | nome=Helena | acao=analisou os resultados | valor=4645
linha=105 | nome=Vitor | acao=analisou os resultados | valor=2996
linha=106 | nome=Paulo | acao=estudou computacao | valor=1582
linha=107 | nome=Eduarda | acao=analisou os resultados | valor=9033
linha=108 | nome=Mariana | acao=fez um experimento | valor=5580
linha=109 | nome=Paulo | acao=otimizou o algoritmo | valor=7370
linha=110 | nome=Carlos | acao=analisou os resultados | valor=6879
linha=111 | nome=Daniela | acao=escreveu o relatorio | valor=6694
linha=112 | nome=Helena | acao=otimizou o algoritmo | valor=8107
linha=113 | nome=Vitor | acao=comparou as metricas | valor=2135
linha=114 | nome=Carlos | acao=executou o benchmark | valor=4600
linha=115 | nome=Igor | acao=estudou computacao | valor=9363
linha=116 | nome=Ana | acao=otimizou o algoritmo | valor=9043
linha=117 | nome=Eduarda | acao=analisou os resultados | valor=7853
linha=118 | nome=Karen | acao=comparou as metricas | valor=6623
linha=119 | nome=Karen | acao=fez um experimento | valor=6682
linha=120 | nome=Renata | acao=comparou as metricas | valor=2447
linha=121 | nome=Daniela | acao=analisou os resultados | valor=2166
linha=122 | nome=Vitor | acao=fez um experimento | valor=3788
linha=123 | nome=Daniela | acao=fez um experimento | valor=2899
linha=124 | nome=Mariana | acao=escreveu o relatorio | valor=4812
linha=125 | nome=Paulo | acao=participou da aula | valor=5374
linha=126 | nome=Felipe | acao=estudou computacao | valor=6174
linha=127 | nome=Eduarda | acao=participou da aula | valor=4790
linha=128 | nome=Carlos | acao=executou o benchmark | valor=3537
linha=129 | nome=Daniela | acao=fez um experimento | valor=2744
linha=130 | nome=Paulo | acao=participou da aula | valor=9740
linha=131 | nome=Igor | acao=estudou computacao | valor=9143
linha=132 | nome=Natalia | acao=comparou as metricas | valor=5066
linha=133 | nome=Renata | acao=otimizou o algoritmo | valor=8943
linha=134 | nome=Lucas | acao=executou o benchmark | valor=3909
linha=135 | nome=Mariana | acao=otimizou o algoritmo | valor=2369
linha=136 | nome=Mariana | acao=estudou computacao | valor=2920
linha=137 | nome=Natalia | acao=fez um experimento | valor=3115
linha=138 | nome=Ana | acao=otimizou o algoritmo | valor=9863
linha=139 | nome=Daniela | acao=fez um experimento | valor=7018
linha=140 | nome=Ana | acao=comparou as metricas | valor=3115
linha=141 | nome=Karen | acao=otimizou o algoritmo | valor=8185
linha=142 | nome=Felipe | acao=executou o benchmark | valor=9701
linha=143 | nome=Joao | acao=otimizou o algoritmo | valor=2619
linha=144 | nome=Felipe | acao=comparou as metricas | valor=2328
linha=145 | nome=Igor | acao=otimizou o algoritmo | valor=6702
linha=146 | nome=Carlos | acao=participou da aula | valor=5520
linha=147 | nome=Lucas | acao=comparou as metricas | valor=3086
linha=148 | nome=Daniela | acao=comparou as metricas | valor=8880
linha=149 | nome=Mariana | acao=comparou as metricas | valor=8927
linha=150 | nome=Carlos | acao=estudou computacao | valor=3214
linha=151 | nome=Bruno | acao=comparou as metricas | valor=2614
linha=152 | nome=Felipe | acao=escreveu o relatorio | valor=7193
linha=153 | nome=Joao | acao=otimizou o algoritmo | valor=1142
linha=154 | nome=Tiago | acao=fez um experimento | valor=1694
linha=155 | nome=Paulo | acao=fez um experimento | valor=2730
linha=156 | nome=Igor | acao=analisou os resultados | valor=4175
linha=157 | nome=Paulo | acao=executou o benchmark | valor=2494
linha=158 | nome=Tiago | acao=executou o benchmark | valor=1485
linha=159 | nome=Carlos | acao=fez um experimento | valor=5586
linha=160 | nome=Daniela | acao=executou o benchmark | valor=1977
linha=161 | nome=Paulo | acao=otimizou o algoritmo | valor=1800
linha=162 | nome=Joao | acao=participou da aula | valor=2550
linha=163 | nome=Gabriela | acao=otimizou o algoritmo | valor=7830
linha=164 | nome=Igor | acao=estudou computacao | valor=2016
linha=165 | nome=Helena | acao=participou da aula | valor=5401
linha=166 | nome=Natalia | acao=comparou as metricas | valor=5139
linha=167 | nome=Carlos | acao=executou o benchmark | valor=7973
linha=168 | nome=Natalia | acao=otimizou o algoritmo | valor=8923
linha=169 | nome=Paulo | acao=executou o benchmark | valor=7235
linha=170 | nome=Paulo | acao=otimizou o algoritmo | valor=7225
linha=171 | nome=Bruno | acao=analisou os resultados | valor=6727
linha=172 | nome=Carlos | acao=otimizou o algoritmo | valor=3774
linha=173 | nome=Felipe | acao=analisou os resultados | valor=5836
linha=174 | nome=Igor | acao=executou o benchmark | valor=9105
linha=175 | nome=Natalia | acao=fez um experimento | valor=8447
linha=176 | nome=Felipe | acao=comparou as metricas | valor=8049
linha=177 | nome=Karen | acao=estudou computacao | valor=5357
linha=178 | nome=Natalia | acao=comparou as metricas | valor=4746
linha=179 | nome=Tiago | acao=comparou as metricas | valor=7760
linha=180 | nome=Igor | acao=participou da aula | valor=3549
linha=181 | nome=Paulo | acao=executou o benchmark | valor=6187
linha=182 | nome=Sofia | acao=executou o benchmark | valor=5707
linha=183 | nome=Daniela | acao=fez um experimento | valor=3347
linha=184 | nome=Tiago | acao=estudou computacao | valor=5859
linha=185 | nome=Helena | acao=executou o benchmark | valor=3932
linha=186 | nome=Eduarda | acao=participou da aula | valor=5757
linha=187 | nome=Sofia | acao=fez um experimento | valor=9594
linha=188 | nome=Lucas | acao=estudou computacao | valor=3654
linha=189 | nome=Lucas | acao=participou da aula | valor=9958
linha=190 | nome=Tiago | acao=fez um experimento | valor=6045
linha=191 | nome=Otavio | acao=otimizou o algoritmo | valor=6580
linha=192 | nome=Lucas | acao=escreveu o relatorio | valor=6783
linha=193 | nome=Ana | acao=analisou os resultados | valor=4226
linha=194 | nome=Otavio | acao=comparou as metricas | valor=3023
linha=195 | nome=Bruno | acao=fez um experimento | valor=8116
linha=196 | nome=Bruno | acao=otimizou o algoritmo | valor=8735
linha=197 | nome=Eduarda | acao=estudou computacao | valor=5536
linha=198 | nome=Eduarda | acao=participou da aula | valor=3959
linha=199 | nome=Natalia | acao=estudou computacao | valor=1208
linha=200 | nome=Sofia | acao=participou da aula | valor=7000
linha=201 | nome=Otavio | acao=escreveu o relatorio | valor=4942
linha=202 | nome=Bruno | acao=participou da aula | valor=3138
linha=203 | nome=Vitor | acao=participou da aula | valor=8883
linha=204 | nome=Karen | acao=estudou computacao | valor=9093
linha=205 | nome=Lucas | acao=analisou os resultados | valor=9714
linha=206 | nome=Sofia | acao=comparou as metricas | valor=5778
linha=207 | nome=Mariana | acao=comparou as metricas | valor=3854
linha=208 | nome=Ana | acao=otimizou o algoritmo | valor=1076
linha=209 | nome=Ana | acao=fez um experimento | valor=9464
linha=210 | nome=Lucas | acao=fez um experimento | valor=9309
linha=211 | nome=Igor | acao=escreveu o relatorio | valor=6187
linha=212 | nome=Eduarda | acao=executou o benchmark | valor=4717
linha=213 | nome=Paulo | acao=comparou as metricas | valor=3142
linha=214 | nome=Carlos | acao=otimizou o algoritmo | valor=9809
linha=215 | nome=Joao | acao=comparou as metricas | valor=4544
linha=216 | nome=Felipe | acao=executou o benchmark | valor=6977
linha=217 | nome=Lucas | acao=estudou computacao | valor=7061
linha=218 | nome=Bruno | acao=estudou computacao | valor=7539
linha=219 | nome=Karen | acao=fez um experimento | valor=7592
linha=220 | nome=Ana | acao=participou da aula | valor=8596
linha=221 | nome=Karen | acao=otimizou o algoritmo | valor=1737
linha=222 | nome=Otavio | acao=executou o benchmark | valor=6378
linha=223 | nome=Sofia | acao=comparou as metricas | valor=5798
linha=224 | nome=Carlos | acao=otimizou o algoritmo | valor=5765
linha=225 | nome=Natalia | acao=analisou os resultados | valor=5854
linha=226 | nome=Otavio | acao=fez um experimento | valor=3825
linha=227 | nome=Karen | acao=comparou as metricas | valor=3370
linha=228 | nome=Ana | acao=fez um experimento | valor=4487
linha=229 | nome=Karen | acao=estudou computacao | valor=7856
linha=230 | nome=Gabriela | acao=escreveu o relatorio | valor=7655
linha=231 | nome=Karen | acao=fez um experimento | valor=7427
linha=232 | nome=Gabriela | acao=fez um experimento | valor=6985
linha=233 | nome=Sofia | acao=otimizou o algoritmo | valor=9868
linha=234 | nome=Mariana | acao=estudou computacao | valor=5689
linha=235 | nome=Mariana | acao=participou da aula | valor=3223
linha=236 | nome=Sofia | acao=fez um experimento | valor=3162
linha=237 | nome=Ana | acao=otimizou o algoritmo | valor=8872
linha=238 | nome=Bruno | acao=otimizou o algoritmo | valor=1669
linha=239 | nome=Felipe | acao=participou da aula | valor=4709
linha=240 | nome=Igor | acao=fez um experimento | valor=3268
linha=241 | nome=Daniela | acao=otimizou o algoritmo | valor=3463
linha=242 | nome=Joao | acao=estudou computacao | valor=1364
linha=243 | nome=Felipe | acao=escreveu o relatorio | valor=7613
linha=244 | nome=Vitor | acao=estudou computacao | valor=5971
linha=245 | nome=Natalia | acao=estudou computacao | valor=2182
linha=246 | nome=Daniela | acao=estudou computacao | valor=4978
linha=247 | nome=Joao | acao=estudou computacao | valor=7518
linha=248 | nome=Renata | acao=fez um experimento | valor=3402
linha=249 | nome=Ana | acao=estudou computacao | valor=5786
linha=250 | nome=Mariana | acao=comparou as metricas | valor=7892
linha=251 | nome=Felipe | acao=otimizou o algoritmo | valor=2077
linha=252 | nome=Gabriela | acao=otimizou o algoritmo | valor=6647
linha=253 | nome=Igor | acao=estudou computacao | valor=9053
linha=254 | nome=Lucas | acao=executou o benchmark | valor=3280
linha=255 | nome=Eduarda | acao=fez um experimento | valor=9937
linha=256 | nome=Mariana | acao=fez um experimento | valor=7658
linha=257 | nome=Sofia | acao=comparou as metricas | valor=6067
linha=258 | nome=Sofia | acao=comparou as metricas | valor=7014
linha=259 | nome=Felipe | acao=analisou os resultados | valor=4876
linha=260 | nome=Lucas | acao=escreveu o relatorio | valor=2586
linha=261 | nome=Joao | acao=analisou os resultados | valor=1342
linha=262 | nome=Karen | acao=analisou os resultados | valor=3071
linha=263 | nome=Gabriela | acao=comparou as metricas | valor=6153
linha=264 | nome=Joao | acao=comparou as metricas | valor=7153
linha=265 | nome=Mariana | acao=fez um experimento | valor=3699
linha=266 | nome=Felipe | acao=analisou os resultados | valor=5592
linha=267 | nome=Carlos | acao=analisou os resultados | valor=8483
linha=268 | nome=Bruno | acao=comparou as metricas | valor=2348
linha=269 | nome=Otavio | acao=participou da aula | valor=4582
linha=270 | nome=Natalia | acao=participou da aula | valor=2186
linha=271 | nome=Otavio | acao=fez um experimento | valor=1114
linha=272 | nome=Otavio | acao=comparou as metricas | valor=5884
linha=273 | nome=Gabriela | acao=comparou as metricas | valor=2539
linha=274 | nome=Bruno | acao=executou o benchmark | valor=8995
linha=275 | nome=Renata | acao=participou da aula | valor=1746
linha=276 | nome=Mariana | acao=comparou as metricas | valor=2906
linha=277 | nome=Tiago | acao=executou o benchmark | valor=4371
linha=278 | nome=Eduarda | acao=comparou as metricas | valor=5424
linha=279 | nome=Felipe | acao=otimizou o algoritmo | valor=5748
linha=280 | nome=Sofia | acao=otimizou o algoritmo | valor=8756
linha=281 | nome=Eduarda | acao=fez um experimento | valor=5365
linha=282 | nome=Vitor | acao=analisou os resultados | valor=7731
linha=283 | nome=Daniela | acao=otimizou o algoritmo | valor=1592
linha=284 | nome=Joao | acao=comparou as metricas | valor=3792
linha=285 | nome=Natalia | acao=fez um experimento | valor=1895
linha=286 | nome=Bruno | acao=escreveu o relatorio | valor=3524
linha=287 | nome=Sofia | acao=estudou computacao | valor=8245
linha=288 | nome=Tiago | acao=otimizou o algoritmo | valor=9788
linha=289 | nome=Karen | acao=comparou as metricas | valor=3964
linha=290 | nome=Daniela | acao=participou da aula | valor=1702
linha=291 | nome=Carlos | acao=comparou as metricas | valor=2306
linha=292 | nome=Daniela | acao=executou o benchmark | valor=3086
linha=293 | nome=Paulo | acao=comparou as metricas | valor=8264
linha=294 | nome=Daniela | acao=executou o benchmark | valor=9344
linha=295 | nome=Bruno | acao=escreveu o relatorio | valor=2725
linha=296 | nome=Vitor | acao=analisou os resultados | valor=9463
linha=297 | nome=Lucas | acao=estudou computacao | valor=5975
linha=298 | nome=Sofia | acao=executou o benchmark | valor=3743
linha=299 | nome=Natalia | acao=fez um experimento | valor=7097
linha=300 | nome=Gabriela | acao=executou o benchmark | valor=4727
linha=301 | nome=Mariana | acao=participou da aula | valor=1063
linha=302 | nome=Vitor | acao=otimizou o algoritmo | valor=1036
linha=303 | nome=Gabriela | acao=otimizou o algoritmo | valor=2523
linha=304 | nome=Felipe | acao=fez um experimento | valor=7930
linha=305 | nome=Helena | acao=analisou os resultados | valor=8361
linha=306 | nome=Renata | acao=escreveu o relatorio | valor=4372
linha=307 | nome=Karen | acao=analisou os resultados | valor=6121
linha=308 | nome=Mariana | acao=estudou computacao | valor=9278
linha=309 | nome=Helena | acao=escreveu o relatorio | valor=2179
linha=310 | nome=Ana | acao=otimizou o algoritmo | valor=8015
linha=311 | nome=Igor | acao=analisou os resultados | valor=3875
linha=312 | nome=Sofia | acao=fez um experimento | valor=7307
linha=313 | nome=Gabriela | acao=comparou as metricas | valor=1250
linha=314 | nome=Mariana | acao=otimizou o algoritmo | valor=4018
linha=315 | nome=Felipe | acao=executou o benchmark | valor=3135
linha=316 | nome=Eduarda | acao=analisou os resultados | valor=5157
linha=317 | nome=Gabriela | acao=comparou as metricas | valor=6036
linha=318 | nome=Daniela | acao=analisou os resultados | valor=4646
linha=319 | nome=Helena | acao=estudou computacao | valor=8138
linha=320 | nome=Joao | acao=participou da aula | valor=9089
linha=321 | nome=Carlos | acao=executou o benchmark | valor=1762
linha=322 | nome=Lucas | acao=analisou os resultados | valor=9486
linha=323 | nome=Renata | acao=participou da aula | valor=1042
linha=324 | nome=Joao | acao=otimizou o algoritmo | valor=2436
linha=325 | nome=Karen | acao=analisou os resultados | valor=6530
linha=326 | nome=Daniela | acao=executou o benchmark | valor=7044
linha=327 | nome=Bruno | acao=fez um experimento | valor=6189
linha=328 | nome=Mariana | acao=executou o benchmark | valor=9704
linha=329 | nome=Otavio | acao=executou o benchmark | valor=4592
linha=330 | nome=Felipe | acao=executou o benchmark | valor=2826
linha=331 | nome=Mariana | acao=comparou as metricas | valor=8451
linha=332 | nome=Vitor | acao=analisou os resultados | valor=7755
linha=333 | nome=Sofia | acao=participou da aula | valor=9144
linha=334 | nome=Helena | acao=fez um experimento | valor=4210
linha=335 | nome=Igor | acao=analisou os resultados | valor=2117
linha=336 | nome=Mariana | acao=analisou os resultados | valor=5708
linha=337 | nome=Sofia | acao=comparou as metricas | valor=7402
linha=338 | nome=Ana | acao=escreveu o relatorio | valor=3857
linha=339 | nome=Vitor | acao=estudou computacao | valor=8403
linha=340 | nome=Paulo | acao=participou da aula | valor=1825
linha=341 | nome=Ana | acao=analisou os resultados | valor=9885
linha=342 | nome=Carlos | acao=escreveu o relatorio | valor=9506
linha=343 | nome=Mariana | acao=estudou computacao | valor=7381
linha=344 | nome=Eduarda | acao=escreveu o relatorio | valor=6158
linha=345 | nome=Helena | acao=escreveu o relatorio | valor=1785
linha=346 | nome=Mariana | acao=analisou os resultados | valor=8154
linha=347 | nome=Otavio | acao=analisou os resultados | valor=8527
linha=348 | nome=Bruno | acao=escreveu o relatorio | valor=9884
linha=349 | nome=Helena | acao=fez um experimento | valor=2418
linha=350 | nome=Gabriela | acao=estudou computacao | valor=3107
linha=351 | nome=Karen | acao=escreveu o relatorio | valor=1069
linha=352 | nome=Renata | acao=analisou os resultados | valor=7569
linha=353 | nome=Sofia | acao=fez um experimento | valor=1026
linha=354 | nome=Renata | acao=participou da aula | valor=6626
linha=355 | nome=Gabriela | acao=analisou os resultados | valor=3872
linha=356 | nome=Felipe | acao=executou o benchmark | valor=2519
linha=357 | nome=Igor | acao=otimizou o algoritmo | valor=3752
linha=358 | nome=Eduarda | acao=escreveu o relatorio | valor=1325
linha=359 | nome=Igor | acao=executou o benchmark | valor=9549
linha=360 | nome=Ana | acao=participou da aula | valor=6873
linha=361 | nome=Lucas | acao=escreveu o relatorio | valor=9548
linha=362 | nome=Eduarda | acao=otimizou o algoritmo | valor=5324
linha=363 | nome=Igor | acao=fez um experimento | valor=4094
linha=364 | nome=Mariana | acao=executou o benchmark | valor=8428
linha=365 | nome=Vitor | acao=otimizou o algoritmo | valor=6207
linha=366 | nome=Helena | acao=comparou as metricas | valor=1736
linha=367 | nome=Gabriela | acao=otimizou o algoritmo | valor=9347
linha=368 | nome=Felipe | acao=escreveu o relatorio | valor=2323
linha=369 | nome=Natalia | acao=analisou os resultados | valor=9433
linha=370 | nome=Felipe | acao=comparou as metricas | valor=2759
linha=371 | nome=Felipe | acao=participou da aula | valor=6814
linha=372 | nome=Lucas | acao=fez um experimento | valor=6770
linha=373 | nome=Carlos | acao=participou da aula | valor=5081
linha=374 | nome=Natalia | acao=analisou os resultados | valor=7987
linha=375 | nome=Natalia | acao=executou o benchmark | valor=4268
linha=376 | nome=Mariana | acao=participou da aula | valor=6060
linha=377 | nome=Bruno | acao=executou o benchmark | valor=7854
linha=378 | nome=Sofia | acao=executou o benchmark | valor=6638
linha=379 | nome=Vitor | acao=participou da aula | valor=7924
linha=380 | nome=Eduarda | acao=estudou computacao | valor=9236
linha=381 | nome=Otavio | acao=fez um experimento | valor=9402
linha=382 | nome=Paulo | acao=otimizou o algoritmo | valor=6801
linha=383 | nome=Natalia | acao=fez um experimento | valor=6919
linha=384 | nome=Carlos | acao=analisou os resultados | valor=9678
linha=385 | nome=Vitor | acao=comparou as metricas | valor=8316
linha=386 | nome=Daniela | acao=executou o benchmark | valor=1594
linha=387 | nome=Helena | acao=otimizou o algoritmo | valor=2439
linha=388 | nome=Ana | acao=comparou as metricas | valor=3913
linha=389 | nome=Natalia | acao=escreveu o relatorio | valor=7378
linha=390 | nome=Tiago | acao=escreveu o relatorio | valor=3792
linha=391 | nome=Sofia | acao=estudou computacao | valor=1808
linha=392 | nome=Mariana | acao=analisou os resultados | valor=3904
linha=393 | nome=Karen | acao=analisou os resultados | valor=9842
linha=394 | nome=Sofia | acao=estudou computacao | valor=1393
linha=395 | nome=Helena | acao=fez um experimento | valor=5415
linha=396 | nome=Felipe | acao=estudou computacao | valor=2032
linha=397 | nome=Gabriela | acao=otimizou o algoritmo | valor=6556
linha=398 | nome=Sofia | acao=estudou computacao | valor=7486
linha=399 | nome=Mariana | acao=otimizou o algoritmo | valor=3086
linha=400 | nome=Daniela | acao=comparou as metricas | valor=5173
linha=401 | nome=Helena | acao=participou da aula | valor=1149
linha=402 | nome=Lucas | acao=comparou as metricas | valor=2437
linha=403 | nome=Helena | acao=analisou os resultados | valor=8744
linha=404 | nome=Ana | acao=participou da aula | valor=4990
linha=405 | nome=Felipe | acao=estudou computacao | valor=2369
linha=406 | nome=Natalia | acao=comparou as metricas | valor=6477
linha=407 | nome=Paulo | acao=analisou os resultados | valor=6935
linha=408 | nome=Bruno | acao=participou da aula | valor=1127
linha=409 | nome=Tiago | acao=otimizou o algoritmo | valor=7301
linha=410 | nome=Paulo | acao=executou o benchmark | valor=4775
linha=411 | nome=Carlos | acao=otimizou o algoritmo | valor=6776
linha=412 | nome=Sofia | acao=executou o benchmark | valor=5366
linha=413 | nome=Otavio | acao=escreveu o relatorio | valor=3112
linha=414 | nome=Renata | acao=comparou as metricas | valor=4672
linha=415 | nome=Tiago | acao=executou o benchmark | valor=3095
linha=416 | nome=Karen | acao=estudou computacao | valor=2838
linha=417 | nome=Ana | acao=otimizou o algoritmo | valor=1438
linha=418 | nome=Igor | acao=analisou os resultados | valor=6932
linha=419 | nome=Felipe | acao=analisou os resultados | valor=7348
linha=420 | nome=Daniela | acao=fez um experimento | valor=6160
linha=421 | nome=Otavio | acao=participou da aula | valor=7217
linha=422 | nome=Paulo | acao=otimizou o algoritmo | valor=4709
linha=423 | nome=Vitor | acao=estudou computacao | valor=9281
linha=424 | nome=Karen | acao=comparou as metricas | valor=8177
linha=425 | nome=Ana | acao=participou da aula | valor=6628
linha=426 | nome=Renata | acao=fez um experimento | valor=5146
linha=427 | nome=Karen | acao=comparou as metricas | valor=3662
linha=428 | nome=Sofia | acao=estudou computacao | valor=5500
linha=429 | nome=Ana | acao=executou o benchmark | valor=7988
linha=430 | nome=Joao | acao=estudou computacao | valor=5971
linha=431 | nome=Felipe | acao=analisou os resultados | valor=6371
linha=432 | nome=Bruno | acao=participou da aula | valor=5616
linha=433 | nome=Eduarda | acao=participou da aula | valor=8213
linha=434 | nome=Renata | acao=otimizou o algoritmo | valor=5529
linha=435 | nome=Gabriela | acao=estudou computacao | valor=9946
linha=436 | nome=Renata | acao=comparou as metricas | valor=9646
linha=437 | nome=Sofia | acao=otimizou o algoritmo | valor=7086
linha=438 | nome=Gabriela | acao=analisou os resultados | valor=2475
linha=439 | nome=Tiago | acao=otimizou o algoritmo | valor=1910
linha=440 | nome=Felipe | acao=executou o benchmark | valor=2874
linha=441 | nome=Mariana | acao=participou da aula | valor=1178
linha=442 | nome=Sofia | acao=executou o benchmark | valor=9228
linha=443 | nome=Lucas | acao=executou o benchmark | valor=3187
linha=444 | nome=Karen | acao=estudou computacao | valor=4241
linha=445 | nome=Renata | acao=executou o benchmark | valor=7436
linha=446 | nome=Paulo | acao=otimizou o algoritmo | valor=8249
linha=447 | nome=Joao | acao=escreveu o relatorio | valor=4339
linha=448 | nome=Ana | acao=comparou as metricas | valor=3594
linha=449 | nome=Helena | acao=executou o benchmark | valor=5381
linha=450 | nome=Tiago | acao=estudou computacao | valor=2175
linha=451 | nome=Carlos | acao=escreveu o relatorio | valor=4058
