linha=1 | nome=Bruno | acao=participou da aula | valor=3317
linha=270 | nome=Joao | acao=estudou computacao | valor=5029
linha=271 | nome=Paulo | acao=executou o benchmark | valor=9346
linha=272 | nome=Daniela | acao=escreveu o relatorio | valor=7035
linha=273 | nome=Gabriela | acao=analisou os resultados | valor=2537
linha=274 | nome=Vitor | acao=estudou computacao | valor=4484
linha=275 | nome=Renata | acao=analisou os resultados | valor=7078
linha=276 | nome=Igor | acao=fez um experimento | valor=8415
linha=277 | nome=Daniela | acao=executou o benchmark | valor=1179
linha=278 | nome=Renata | acao=fez um experimento | valor=2794
linha=279 | nome=Carlos | acao=escreveu o relatorio | valor=3236
linha=280 | nome=Natalia | acao=fez um experimento | valor=1721
linha=281 | nome=Carlos | acao=comparou as metricas | valor=6989
linha=282 | nome=Mariana | acao=comparou as metricas | valor=7912
linha=283 | nome=Carlos | acao=estudou computacao | valor=2500
linha=284 | nome=Carlos | acao=otimizou o algoritmo | valor=6237
linha=285 | nome=Lucas | acao=comparou as metricas | valor=6760
linha=286 | nome=Natalia | acao=participou da aula | valor=7551
linha=287 | nome=Gabriela | acao=estudou computacao | valor=6725
linha=288 | nome=Karen | acao=estudou computacao | valor=4390
linha=289 | nome=Joao | acao=comparou as metricas | valor=6086
linha=290 | nome=Felipe | acao=estudou computacao | valor=6360
linha=291 | nome=Otavio | acao=fez um experimento | valor=4913
linha=292 | nome=Mariana | acao=comparou as metricas | valor=8983
linha=293 | nome=Otavio | acao=executou o benchmark | valor=4135
linha=294 | nome=Gabriela | acao=analisou os resultados | valor=5998
linha=295 | nome=Paulo | acao=participou da aula | valor=1119
linha=296 | nome=Ana | acao=escreveu o relatorio | valor=9736
linha=297 | nome=Eduarda | acao=escreveu o relatorio | valor=2538
linha=298 | nome=Bruno | acao=estudou computacao | valor=6997
linha=299 | nome=Daniela | acao=escreveu o relatorio | valor=9724
linha=300 | nome=Sofia | acao=fez um experimento | valor=8174
linha=301 | nome=Vitor | acao=executou o benchmark | valor=2959
linha=302 | nome=Renata | acao=analisou os resultados | valor=2689
linha=303 | nome=Karen | acao=participou da aula | valor=9339
linha=304 | nome=Joao | acao=fez um experimento | valor=7594
linha=305 | nome=Natalia | acao=participou da aula | valor=1452
linha=306 | nome=Karen | acao=analisou os resultados | valor=9140
linha=307 | nome=Helena | acao=escreveu o relatorio | valor=8079
linha=308 | nome=Bruno | acao=analisou os resultados | valor=9608
linha=309 | nome=Karen | acao=comparou as metricas | valor=4785
linha=310 | nome=Tiago | acao=comparou as metricas | valor=5099
linha=311 | nome=Bruno | acao=otimizou o algoritmo | valor=5914
linha=312 | nome=Vitor | acao=executou o benchmark | valor=7173
linha=313 | nome=Renata | acao=estudou computacao | valor=5876
linha=314 | nome=Sofia | acao=otimizou o algoritmo | valor=2950
linha=315 | nome=Karen | acao=estudou computacao | valor=9919
linha=316 | nome=Gabriela | acao=otimizou o algoritmo | valor=8350
linha=317 | nome=Sofia | acao=analisou os resultados | valor=9576
linha=318 | nome=Igor | acao=estudou computacao | valor=6313
linha=319 | nome=Natalia | acao=comparou as metricas | valor=2946
linha=320 | nome=Natalia | acao=comparou as metricas | valor=7233
linha=321 | nome=Mariana | acao=executou o benchmark | valor=1404
linha=322 | nome=Sofia | acao=comparou as metricas | valor=5936
linha=323 | nome=Lucas | acao=fez um experimento | valor=9284
linha=324 | nome=Felipe | acao=analisou os resultados | valor=2701
linha=325 | nome=Gabriela | acao=estudou computacao | valor=7718
linha=326 | nome=Helena | acao=fez um experimento | valor=9126
linha=327 | nome=Bruno | acao=escreveu o relatorio | valor=9204
linha=328 | nome=Bruno | acao=comparou as metricas | valor=8470
linha=329 | nome=Paulo | acao=comparou as metricas | valor=3293
linha=330 | nome=Carlos | acao=otimizou o algoritmo | valor=1092
linha=331 | nome=Natalia | acao=otimizou o algoritmo | valor=9356
linha=332 | nome=Joao | acao=estudou computacao | valor=2518
linha=333 | nome=Lucas | acao=executou o benchmark | valor=6108
linha=334 | nome=Vitor | acao=comparou as metricas | valor=2321
linha=335 | nome=Otavio | acao=participou da aula | valor=8869
linha=336 | nome=Otavio | acao=comparou as metricas | valor=6165
linha=337 | nome=Bruno | acao=fez um experimento | valor=4295
linha=338 | nome=Mariana | acao=estudou computacao | valor=5330
linha=339 | nome=Ana | acao=otimizou o algoritmo | valor=8999
linha=340 | nome=Eduarda | acao=executou o benchmark | valor=3332
linha=341 | nome=Daniela | acao=otimizou o algoritmo | valor=9740
linha=342 | nome=Karen | acao=comparou as metricas | valor=8012
linha=343 | nome=Joao | acao=otimizou o algoritmo | valor=2877
linha=344 | nome=Bruno | acao=otimizou o algoritmo | valor=6882
linha=345 | nome=Natalia | acao=fez um experimento | valor=6935
linha=346 | nome=Paulo | acao=comparou as metricas | valor=2848
linha=347 | nome=Felipe | acao=escreveu o relatorio | valor=6235
linha=348 | nome=Paulo | acao=fez um experimento | valor=5677
linha=349 | nome=Tiago | acao=otimizou o algoritmo | valor=7703
linha=350 | nome=Mariana | acao=analisou os resultados | valor=8333
linha=351 | nome=Carlos | acao=executou o benchmark | valor=9596
linha=352 | nome=Mariana | acao=analisou os resultados | valor=7609
linha=353 | nome=Mariana | acao=escreveu o relatorio | valor=1228
linha=354 | nome=Ana | acao=participou da aula | valor=5887
linha=355 | nome=Carlos | acao=escreveu o relatorio | valor=3071
linha=356 | nome=Mariana | acao=analisou os resultados | valor=3436
linha=357 | nome=Tiago | acao=analisou os resultados | valor=8824
linha=358 | nome=Igor | acao=escreveu o relatorio | valor=6928
linha=359 | nome=Lucas | acao=executou o benchmark | valor=8230
linha=360 | nome=Ana | acao=fez um experimento | valor=8625
linha=361 | nome=Sofia | acao=participou da aula | valor=4916
linha=362 | nome=Daniela | acao=participou da aula | valor=7725
linha=363 | nome=Karen | acao=estudou computacao | valor=2540
linha=364 | nome=Natalia | acao=analisou os resultados | valor=6747
linha=365 | nome=Tiago | acao=escreveu o relatorio | valor=9737
linha=366 | nome=Joao | acao=otimizou o algoritmo | valor=9804
linha=367 | nome=Lucas | acao=otimizou o algoritmo | valor=4333
linha=368 | nome=Karen | acao=escreveu o relatorio | valor=2794
linha=369 | nome=Paulo | acao=estudou computacao | valor=3254
linha=370 | nome=Natalia | acao=escreveu o relatorio | valor=9600
linha=371 | nome=Eduarda | acao=analisou os resultados | valor=7345
linha=372 | nome=Eduarda | acao=fez um experimento | valor=2907
linha=373 | nome=Sofia | acao=fez um experimento | valor=7017
linha=374 | nome=Paulo | acao=participou da aula | valor=2877
linha=375 | nome=Otavio | acao=analisou os resultados | valor=6892
linha=376 | nome=Mariana | acao=fez um experimento | valor=1284
linha=377 | nome=Carlos | acao=estudou computacao | valor=9001
linha=378 | nome=Daniela | acao=escreveu o relatorio | valor=9518
linha=379 | nome=Bruno | acao=estudou computacao | valor=2754
linha=380 | nome=Paulo | acao=executou o benchmark | valor=4237
linha=381 | nome=Felipe | acao=participou da aula | valor=3333
linha=382 | nome=Eduarda | acao=executou o benchmark | valor=3817
linha=383 | nome=Igor | acao=escreveu o relatorio | valor=7265
linha=384 | nome=Helena | acao=analisou os resultados | valor=2981
linha=385 | nome=Natalia | acao=comparou as metricas | valor=2251
linha=386 | nome=Eduarda | acao=analisou os resultados | valor=1802
linha=387 | nome=Eduarda | acao=comparou as metricas | valor=7737
linha=388 | nome=Paulo | acao=escreveu o relatorio | valor=7088
linha=389 | nome=Sofia | acao=participou da aula | valor=9691
linha=390 | nome=Gabriela | acao=fez um experimento | valor=4169
linha=391 | nome=Lucas | acao=executou o benchmark | valor=8440
linha=392 | nome=Bruno | acao=escreveu o relatorio | valor=2290
linha=393 | nome=Daniela | acao=analisou os resultados | valor=3727
linha=394 | nome=Renata | acao=participou da aula | valor=7192
linha=395 | nome=Paulo | acao=executou o benchmark | valor=8438
linha=396 | nome=Tiago | acao=analisou os resultados | valor=9714
linha=397 | nome=Tiago | acao=escreveu o relatorio | valor=1924
linha=398 | nome=Helena | acao=executou o benchmark | valor=5498
linha=399 | nome=Mariana | acao=executou o benchmark | valor=4048
linha=400 | nome=Tiago | acao=otimizou o algoritmo | valor=8675
linha=401 | nome=Tiago | acao=analisou os resultados | valor=6599
linha=402 | nome=Ana | acao=executou o benchmark | valor=6507
linha=403 | nome=Otavio | acao=estudou computacao | valor=7692
linha=404 | nome=Karen | acao=estudou computacao | valor=1920
linha=405 | nome=Joao | acao=participou da aula | valor=6635
linha=406 | nome=Karen | acao=fez um experimento | valor=1517
linha=407 | nome=Paulo | acao=escreveu o relatorio | valor=1727
linha=408 | nome=Mariana | acao=escreveu o relatorio | valor=6731
linha=409 | nome=Mariana | acao=estudou computacao | valor=5167
linha=410 | nome=Lucas | acao=otimizou o algoritmo | valor=5715
linha=411 | nome=Sofia | acao=escreveu o relatorio | valor=7323
linha=412 | nome=Igor | acao=executou o benchmark | valor=2722
linha=413 | nome=Joao | acao=analisou os resultados | valor=4259
linha=414 | nome=Sofia | acao=estudou computacao | valor=2293
linha=415 | nome=Felipe | acao=comparou as metricas | valor=8577
linha=416 | nome=Bruno | acao=participou da aula | valor=2117
linha=417 | nome=Eduarda | acao=executou o benchmark | valor=9501
linha=418 | nome=Eduarda | acao=escreveu o relatorio | valor=7818
linha=419 | nome=Ana | acao=participou da aula | valor=5498
linha=420 | nome=Lucas | acao=analisou os resultados | valor=7471
linha=421 | nome=Igor | acao=comparou as metricas | valor=1232
linha=422 | nome=Natalia | acao=fez um experimento | valor=4383
linha=423 | nome=Paulo | acao=executou o benchmark | valor=7801
linha=424 | nome=Daniela | acao=escreveu o relatorio | valor=5913
linha=425 | nome=Joao | acao=comparou as metricas | valor=4518
linha=426 | nome=Carlos | acao=otimizou o algoritmo | valor=7226
linha=427 | nome=Joao | acao=participou da aula | valor=4190
linha=428 | nome=Ana | acao=otimizou o algoritmo | valor=4304
linha=429 | nome=Mariana | acao=executou o benchmark | valor=9441
linha=430 | nome=Tiago | acao=otimizou o algoritmo | valor=6631
linha=431 | nome=Paulo | acao=analisou os resultados | valor=4631
linha=432 | nome=Igor | acao=analisou os resultados | valor=7785
linha=433 | nome=Lucas | acao=fez um experimento | valor=7036
linha=434 | nome=Otavio | acao=executou o benchmark | valor=7796
linha=435 | nome=Carlos | acao=otimizou o algoritmo | valor=3594
linha=436 | nome=Ana | acao=analisou os resultados | valor=7736
linha=437 | nome=Igor | acao=otimizou o algoritmo | valor=1204
linha=438 | nome=Igor | acao=executou o benchmark | valor=4075
linha=439 | nome=Bruno | acao=otimizou o algoritmo | valor=6805
linha=440 | nome=Vitor | acao=analisou os resultados | valor=9077
linha=441 | nome=Gabriela | acao=escreveu o relatorio | valor=8498
linha=442 | nome=Igor | acao=analisou os resultados | valor=2415
linha=443 | nome=Gabriela | acao=analisou os resultados | valor=9898
linha=444 | nome=Vitor | acao=executou o benchmark | valor=2033
linha=445 | nome=Daniela | acao=otimizou o algoritmo | valor=4429
linha=446 | nome=Karen | acao=otimizou o algoritmo | valor=2491
linha=447 | nome=Sofia | acao=participou da aula | valor=7441
linha=448 | nome=Lucas | acao=fez um experimento | valor=7146
linha=449 | nome=Daniela | acao=analisou os resultados | valor=5344
linha=450 | nome=Vitor | acao=escreveu o relatorio | valor=7447
linha=451 | nome=Sofia | acao=analisou os resultados | valor=3254
