linha=1 | nome=Sofia | acao=escreveu o relatorio | valor=2453
linha=99 | nome=Carlos | acao=comparou as metricas | valor=1113
linha=100 | nome=Karen | acao=participou da aula | valor=5260
linha=101 | nome=Ana | acao=fez um experimento | valor=9639
linha=102 | nome=Mariana | acao=escreveu o relatorio | valor=5927
linha=103 | nome=Eduarda | acao=escreveu o relatorio | valor=4019
linha=104 | nome=Gabriela | acao=participou da aula | valor=7249
linha=105 | nome=Joao | acao=analisou os resultados | valor=8544
linha=106 | nome=Joao | acao=fez um experimento | valor=1561
linha=107 | nome=Natalia | acao=fez um experimento | valor=2731
linha=108 | nome=Felipe | acao=participou da aula | valor=2647
linha=109 | nome=Ana | acao=comparou as metricas | valor=7086
linha=110 | nome=Otavio | acao=analisou os resultados | valor=8191
linha=111 | nome=Vitor | acao=comparou as metricas | valor=8653
linha=112 | nome=Mariana | acao=escreveu o relatorio | valor=6968
linha=113 | nome=Paulo | acao=participou da aula | valor=9971
linha=114 | nome=Mariana | acao=participou da aula | valor=8017
linha=115 | nome=Lucas | acao=participou da aula | valor=8093
linha=116 | nome=Gabriela | acao=estudou computacao | valor=4182
linha=117 | nome=Bruno | acao=escreveu o relatorio | valor=4254
linha=118 | nome=Paulo | acao=participou da aula | valor=4393
linha=119 | nome=Bruno | acao=otimizou o algoritmo | valor=2966
linha=120 | nome=Vitor | acao=fez um experimento | valor=1378
linha=121 | nome=Daniela | acao=estudou computacao | valor=6450
linha=122 | nome=Ana | acao=participou da aula | valor=6212
linha=123 | nome=Felipe | acao=executou o benchmark | valor=5571
linha=124 | nome=Natalia | acao=participou da aula | valor=2242
linha=125 | nome=Gabriela | acao=executou o benchmark | valor=7009
linha=126 | nome=Otavio | acao=executou o benchmark | valor=3711
linha=127 | nome=Daniela | acao=analisou os resultados | valor=6844
linha=128 | nome=Renata | acao=comparou as metricas | valor=6646
linha=129 | nome=Bruno | acao=fez um experimento | valor=1530
linha=130 | nome=Sofia | acao=fez um experimento | valor=6424
linha=131 | nome=Natalia | acao=comparou as metricas | valor=5652
linha=132 | nome=Carlos | acao=participou da aula | valor=4940
linha=133 | nome=Otavio | acao=escreveu o relatorio | valor=8368
linha=134 | nome=Tiago | acao=escreveu o relatorio | valor=8496
linha=135 | nome=Karen | acao=otimizou o algoritmo | valor=2406
linha=136 | nome=Renata | acao=estudou computacao | valor=1437
linha=137 | nome=Joao | acao=executou o benchmark | valor=9200
linha=138 | nome=Ana | acao=escreveu o relatorio | valor=6107
linha=139 | nome=Gabriela | acao=analisou os resultados | valor=4214
linha=140 | nome=Igor | acao=otimizou o algoritmo | valor=1327
linha=141 | nome=Igor | acao=escreveu o relatorio | valor=4935
linha=142 | nome=Tiago | acao=comparou as metricas | valor=2544
linha=143 | nome=Tiago | acao=analisou os resultados | valor=6101
linha=144 | nome=Felipe | acao=estudou computacao | valor=5129
linha=145 | nome=Gabriela | acao=estudou computacao | valor=7411
linha=146 | nome=Vitor | acao=otimizou o algoritmo | valor=1712
linha=147 | nome=Joao | acao=analisou os resultados | valor=4909
linha=148 | nome=Tiago | acao=otimizou o algoritmo | valor=3132
linha=149 | nome=Vitor | acao=estudou computacao | valor=4097
linha=150 | nome=Natalia | acao=executou o benchmark | valor=3335
linha=151 | nome=Otavio | acao=participou da aula | valor=7395
linha=152 | nome=Renata | acao=comparou as metricas | valor=6524
linha=153 | nome=Gabriela | acao=fez um experimento | valor=2796
linha=154 | nome=Joao | acao=analisou os resultados | valor=1610
linha=155 | nome=Joao | acao=executou o benchmark | valor=7907
linha=156 | nome=Daniela | acao=escreveu o relatorio | valor=4154
linha=157 | nome=Bruno | acao=estudou computacao | valor=7206
linha=158 | nome=Vitor | acao=estudou computacao | valor=7516
linha=159 | nome=Felipe | acao=analisou os resultados | valor=9461
linha=160 | nome=Eduarda | acao=fez um experimento | valor=5372
linha=161 | nome=Carlos | acao=executou o benchmark | valor=9288
linha=162 | nome=Helena | acao=escreveu o relatorio | valor=9561
linha=163 | nome=Bruno | acao=escreveu o relatorio | valor=4886
linha=164 | nome=Karen | acao=executou o benchmark | valor=2259
linha=165 | nome=Vitor | acao=analisou os resultados | valor=3308
linha=166 | nome=Igor | acao=analisou os resultados | valor=4813
linha=167 | nome=Paulo | acao=participou da aula | valor=7771
linha=168 | nome=Helena | acao=participou da aula | valor=3177
linha=169 | nome=Eduarda | acao=estudou computacao | valor=9994
linha=170 | nome=Tiago | acao=participou da aula | valor=8138
linha=171 | nome=Otavio | acao=fez um experimento | valor=3015
linha=172 | nome=Gabriela | acao=estudou computacao | valor=9325
linha=173 | nome=Joao | acao=participou da aula | valor=2408
linha=174 | nome=Helena | acao=otimizou o algoritmo | valor=8900
linha=175 | nome=Igor | acao=otimizou o algoritmo | valor=2420
linha=176 | nome=Lucas | acao=otimizou o algoritmo | valor=6924
linha=177 | nome=Lucas | acao=fez um experimento | valor=3843
linha=178 | nome=Felipe | acao=comparou as metricas | valor=8075
linha=179 | nome=Vitor | acao=analisou os resultados | valor=1670
linha=180 | nome=Tiago | acao=participou da aula | valor=3822
linha=181 | nome=Ana | acao=estudou computacao | valor=6906
linha=182 | nome=Mariana | acao=analisou os resultados | valor=2060
linha=183 | nome=Felipe | acao=participou da aula | valor=3788
linha=184 | nome=Felipe | acao=estudou computacao | valor=9962
linha=185 | nome=Carlos | acao=executou o benchmark | valor=4539
linha=186 | nome=Vitor | acao=escreveu o relatorio | valor=5659
linha=187 | nome=Vitor | acao=analisou os resultados | valor=6033
linha=188 | nome=Tiago | acao=analisou os resultados | valor=6046
linha=189 | nome=Natalia | acao=estudou computacao | valor=5662
linha=190 | nome=Tiago | acao=analisou os resultados | valor=7081
linha=191 | nome=Mariana | acao=estudou computacao | valor=2056
linha=192 | nome=Felipe | acao=estudou computacao | valor=5551
linha=193 | nome=Carlos | acao=executou o benchmark | valor=2143
linha=194 | nome=Vitor | acao=comparou as metricas | valor=2934
linha=195 | nome=Lucas | acao=executou o benchmark | valor=7012
linha=196 | nome=Igor | acao=escreveu o relatorio | valor=1657
linha=197 | nome=Felipe | acao=participou da aula | valor=3464
linha=198 | nome=Sofia | acao=escreveu o relatorio | valor=9507
linha=199 | nome=Karen | acao=participou da aula | valor=2206
linha=200 | nome=Vitor | acao=fez um experimento | valor=7419
linha=201 | nome=Daniela | acao=fez um experimento | valor=8163
linha=202 | nome=Gabriela | acao=analisou os resultados | valor=7983
linha=203 | nome=Daniela | acao=estudou computacao | valor=6152
linha=204 | nome=Tiago | acao=otimizou o algoritmo | valor=1906
linha=205 | nome=Eduarda | acao=otimizou o algoritmo | valor=6013
linha=206 | nome=Mariana | acao=escreveu o relatorio | valor=9441
linha=207 | nome=Igor | acao=participou da aula | valor=6700
linha=208 | nome=Ana | acao=participou da aula | valor=7426
linha=209 | nome=Karen | acao=otimizou o algoritmo | valor=4421
linha=210 | nome=Bruno | acao=fez um experimento | valor=8346
linha=211 | nome=Karen | acao=executou o benchmark | valor=5142
linha=212 | nome=Natalia | acao=escreveu o relatorio | valor=5560
linha=213 | nome=Vitor | acao=participou da aula | valor=6669
linha=214 | nome=Vitor | acao=analisou os resultados | valor=6635
linha=215 | nome=Mariana | acao=comparou as metricas | valor=5245
linha=216 | nome=Natalia | acao=comparou as metricas | valor=7557
linha=217 | nome=Karen | acao=fez um experimento | valor=5301
linha=218 | nome=Vitor | acao=participou da aula | valor=5349
linha=219 | nome=Eduarda | acao=executou o benchmark | valor=3468
linha=220 | nome=Otavio | acao=executou o benchmark | valor=4600
linha=221 | nome=Carlos | acao=comparou as metricas | valor=5136
linha=222 | nome=Otavio | acao=estudou computacao | valor=6390
linha=223 | nome=Mariana | acao=fez um experimento | valor=5537
linha=224 | nome=Helena | acao=estudou computacao | valor=3487
linha=225 | nome=Mariana | acao=analisou os resultados | valor=5249
linha=226 | nome=Sofia | acao=fez um experimento | valor=3866
linha=227 | nome=Tiago | acao=executou o benchmark | valor=7596
linha=228 | nome=Helena | acao=escreveu o relatorio | valor=4507
linha=229 | nome=Vitor | acao=participou da aula | valor=6676
linha=230 | nome=Sofia | acao=comparou as metricas | valor=1397
linha=231 | nome=Helena | acao=otimizou o algoritmo | valor=3270
linha=232 | nome=Bruno | acao=comparou as metricas | valor=8255
linha=233 | nome=Gabriela | acao=executou o benchmark | valor=7669
linha=234 | nome=Otavio | acao=escreveu o relatorio | valor=4807
linha=235 | nome=Daniela | acao=escreveu o relatorio | valor=9003
linha=236 | nome=Tiago | acao=analisou os resultados | valor=2545
linha=237 | nome=Daniela | acao=participou da aula | valor=8838
linha=238 | nome=Lucas | acao=comparou as metricas | valor=5321
linha=239 | nome=Paulo | acao=analisou os resultados | valor=3839
linha=240 | nome=Renata | acao=executou o benchmark | valor=2044
linha=241 | nome=Daniela | acao=estudou computacao | valor=5545
linha=242 | nome=Otavio | acao=otimizou o algoritmo | valor=6500
linha=243 | nome=Carlos | acao=analisou os resultados | valor=8651
linha=244 | nome=Paulo | acao=fez um experimento | valor=3042
linha=245 | nome=Mariana | acao=comparou as metricas | valor=9079
linha=246 | nome=Karen | acao=analisou os resultados | valor=2360
linha=247 | nome=Gabriela | acao=participou da aula | valor=7390
linha=248 | nome=Vitor | acao=analisou os resultados | valor=5028
linha=249 | nome=Otavio | acao=escreveu o relatorio | valor=9640
linha=250 | nome=Bruno | acao=otimizou o algoritmo | valor=4873
linha=251 | nome=Renata | acao=analisou os resultados | valor=5032
linha=252 | nome=Igor | acao=estudou computacao | valor=9933
linha=253 | nome=Vitor | acao=escreveu o relatorio | valor=7045
linha=254 | nome=Natalia | acao=fez um experimento | valor=9845
linha=255 | nome=Renata | acao=estudou computacao | valor=5690
linha=256 | nome=Karen | acao=comparou as metricas | valor=5158
linha=257 | nome=Mariana | acao=participou da aula | valor=1050
linha=258 | nome=Mariana | acao=fez um experimento | valor=5467
linha=259 | nome=Tiago | acao=fez um experimento | valor=2770
linha=260 | nome=Felipe | acao=escreveu o relatorio | valor=1798
linha=261 | nome=Carlos | acao=fez um experimento | valor=2199
linha=262 | nome=Bruno | acao=comparou as metricas | valor=5877
linha=263 | nome=Lucas | acao=comparou as metricas | valor=7730
linha=264 | nome=Daniela | acao=fez um experimento | valor=1289
linha=265 | nome=Joao | acao=participou da aula | valor=8915
linha=266 | nome=Renata | acao=estudou computacao | valor=9302
linha=267 | nome=Tiago | acao=otimizou o algoritmo | valor=5924
linha=268 | nome=Tiago | acao=fez um experimento | valor=5784
linha=269 | nome=Renata | acao=estudou computacao | valor=6483
linha=270 | nome=Mariana | acao=analisou os resultados | valor=2108
linha=271 | nome=Mariana | acao=participou da aula | valor=5962
linha=272 | nome=Gabriela | acao=otimizou o algoritmo | valor=6786
linha=273 | nome=Daniela | acao=participou da aula | valor=8440
linha=274 | nome=Mariana | acao=escreveu o relatorio | valor=3258
linha=275 | nome=Gabriela | acao=estudou computacao | valor=7747
linha=276 | nome=Vitor | acao=participou da aula | valor=4333
linha=277 | nome=Eduarda | acao=fez um experimento | valor=4376
linha=278 | nome=Bruno | acao=executou o benchmark | valor=4219
linha=279 | nome=Gabriela | acao=fez um experimento | valor=1228
linha=280 | nome=Karen | acao=comparou as metricas | valor=4389
linha=281 | nome=Otavio | acao=otimizou o algoritmo | valor=6873
linha=282 | nome=Igor | acao=analisou os resultados | valor=1281
linha=283 | nome=Tiago | acao=analisou os resultados | valor=6501
linha=284 | nome=Otavio | acao=comparou as metricas | valor=1076
linha=285 | nome=Otavio | acao=participou da aula | valor=9698
linha=286 | nome=Daniela | acao=comparou as metricas | valor=9140
linha=287 | nome=Gabriela | acao=estudou computacao | valor=9101
linha=288 | nome=Igor | acao=executou o benchmark | valor=9044
linha=289 | nome=Vitor | acao=participou da aula | valor=2446
linha=290 | nome=Daniela | acao=fez um experimento | valor=4816
linha=291 | nome=Natalia | acao=otimizou o algoritmo | valor=9491
linha=292 | nome=Daniela | acao=otimizou o algoritmo | valor=1633
linha=293 | nome=Sofia | acao=otimizou o algoritmo | valor=2533
linha=294 | nome=Otavio | acao=escreveu o relatorio | valor=4926
linha=295 | nome=Eduarda | acao=fez um experimento | valor=5937
linha=296 | nome=Bruno | acao=participou da aula | valor=8027
linha=297 | nome=Tiago | acao=comparou as metricas | valor=5424
linha=298 | nome=Felipe | acao=executou o benchmark | valor=5178
linha=299 | nome=Lucas | acao=comparou as metricas | valor=4870
linha=300 | nome=Gabriela | acao=participou da aula | valor=7415
linha=301 | nome=Felipe | acao=escreveu o relatorio | valor=8161
linha=302 | nome=Natalia | acao=fez um experimento | valor=3117
linha=303 | nome=Bruno | acao=executou o benchmark | valor=9080
linha=304 | nome=Mariana | acao=fez um experimento | valor=9261
linha=305 | nome=Natalia | acao=escreveu o relatorio | valor=5589
linha=306 | nome=Vitor | acao=analisou os resultados | valor=4050
linha=307 | nome=Carlos | acao=escreveu o relatorio | valor=9836
linha=308 | nome=Joao | acao=estudou computacao | valor=6548
linha=309 | nome=Natalia | acao=participou da aula | valor=6439
linha=310 | nome=Igor | acao=participou da aula | valor=8540
linha=311 | nome=Vitor | acao=participou da aula | valor=6324
linha=312 | nome=Mariana | acao=executou o benchmark | valor=6248
linha=313 | nome=Igor | acao=executou o benchmark | valor=5802
linha=314 | nome=Helena | acao=executou o benchmark | valor=9809
linha=315 | nome=Mariana | acao=fez um experimento | valor=8408
linha=316 | nome=Carlos | acao=escreveu o relatorio | valor=5376
linha=317 | nome=Bruno | acao=otimizou o algoritmo | valor=3007
linha=318 | nome=Vitor | acao=fez um experimento | valor=2656
linha=319 | nome=Gabriela | acao=participou da aula | valor=3224
linha=320 | nome=Helena | acao=estudou computacao | valor=3213
linha=321 | nome=Felipe | acao=executou o benchmark | valor=1141
linha=322 | nome=Tiago | acao=comparou as metricas | valor=3469
linha=323 | nome=Lucas | acao=estudou computacao | valor=2119
linha=324 | nome=Daniela | acao=estudou computacao | valor=2225
linha=325 | nome=Felipe | acao=participou da aula | valor=6917
linha=326 | nome=Tiago | acao=escreveu o relatorio | valor=1356
linha=327 | nome=Paulo | acao=escreveu o relatorio | valor=6730
linha=328 | nome=Gabriela | acao=otimizou o algoritmo | valor=4453
linha=329 | nome=Paulo | acao=executou o benchmark | valor=1616
linha=330 | nome=Bruno | acao=escreveu o relatorio | valor=8084
linha=331 | nome=Daniela | acao=estudou computacao | valor=3643
linha=332 | nome=Renata | acao=analisou os resultados | valor=7582
linha=333 | nome=Tiago | acao=estudou computacao | valor=3928
linha=334 | nome=Bruno | acao=escreveu o relatorio | valor=8119
linha=335 | nome=Igor | acao=escreveu o relatorio | valor=6698
linha=336 | nome=Paulo | acao=analisou os resultados | valor=8946
linha=337 | nome=Karen | acao=escreveu o relatorio | valor=4143
linha=338 | nome=Felipe | acao=estudou computacao | valor=1764
linha=339 | nome=Paulo | acao=comparou as metricas | valor=1100
linha=340 | nome=Gabriela | acao=comparou as metricas | valor=7178
linha=341 | nome=Lucas | acao=participou da aula | valor=7307
linha=342 | nome=Gabriela | acao=estudou computacao | valor=6530
linha=343 | nome=Paulo | acao=executou o benchmark | valor=9535
linha=344 | nome=Sofia | acao=escreveu o relatorio | valor=9253
linha=345 | nome=Ana | acao=analisou os resultados | valor=4980
linha=346 | nome=Helena | acao=comparou as metricas | valor=8275
linha=347 | nome=Ana | acao=executou o benchmark | valor=5318
linha=348 | nome=Carlos | acao=comparou as metricas | valor=1343
linha=349 | nome=Bruno | acao=fez um experimento | valor=1221
linha=350 | nome=Ana | acao=fez um experimento | valor=4914
linha=351 | nome=Vitor | acao=participou da aula | valor=6840
linha=352 | nome=Lucas | acao=participou da aula | valor=3492
linha=353 | nome=Carlos | acao=participou da aula | valor=3991
linha=354 | nome=Natalia | acao=comparou as metricas | valor=4563
linha=355 | nome=Vitor | acao=escreveu o relatorio | valor=2003
linha=356 | nome=Natalia | acao=analisou os resultados | valor=5789
linha=357 | nome=Paulo | acao=comparou as metricas | valor=5573
linha=358 | nome=Felipe | acao=comparou as metricas | valor=4861
linha=359 | nome=Karen | acao=analisou os resultados | valor=4399
linha=360 | nome=Natalia | acao=participou da aula | valor=9053
linha=361 | nome=Lucas | acao=fez um experimento | valor=6168
linha=362 | nome=Felipe | acao=fez um experimento | valor=2710
linha=363 | nome=Sofia | acao=fez um experimento | valor=5254
linha=364 | nome=Gabriela | acao=estudou computacao | valor=2328
linha=365 | nome=Eduarda | acao=analisou os resultados | valor=4659
linha=366 | nome=Mariana | acao=participou da aula | valor=3731
linha=367 | nome=Tiago | acao=escreveu o relatorio | valor=9336
linha=368 | nome=Sofia | acao=analisou os resultados | valor=5608
linha=369 | nome=Sofia | acao=estudou computacao | valor=7777
linha=370 | nome=Sofia | acao=estudou computacao | valor=2762
linha=371 | nome=Renata | acao=otimizou o algoritmo | valor=7643
linha=372 | nome=Mariana | acao=participou da aula | valor=8685
linha=373 | nome=Felipe | acao=estudou computacao | valor=6699
linha=374 | nome=Helena | acao=escreveu o relatorio | valor=3758
linha=375 | nome=Tiago | acao=fez um experimento | valor=3512
linha=376 | nome=Gabriela | acao=analisou os resultados | valor=7521
linha=377 | nome=Natalia | acao=participou da aula | valor=4535
linha=378 | nome=Felipe | acao=participou da aula | valor=5614
linha=379 | nome=Joao | acao=executou o benchmark | valor=5114
linha=380 | nome=Lucas | acao=estudou computacao | valor=1204
linha=381 | nome=Joao | acao=comparou as metricas | valor=3106
linha=382 | nome=Felipe | acao=comparou as metricas | valor=1090
linha=383 | nome=Igor | acao=executou o benchmark | valor=4224
linha=384 | nome=Lucas | acao=executou o benchmark | valor=8827
linha=385 | nome=Igor | acao=executou o benchmark | valor=4127
linha=386 | nome=Natalia | acao=fez um experimento | valor=8587
linha=387 | nome=Carlos | acao=escreveu o relatorio | valor=8915
linha=388 | nome=Helena | acao=fez um experimento | valor=7528
linha=389 | nome=Joao | acao=otimizou o algoritmo | valor=8008
linha=390 | nome=Igor | acao=otimizou o algoritmo | valor=8061
linha=391 | nome=Otavio | acao=estudou computacao | valor=8146
linha=392 | nome=Renata | acao=escreveu o relatorio | valor=2005
linha=393 | nome=Otavio | acao=executou o benchmark | valor=5515
linha=394 | nome=Lucas | acao=comparou as metricas | valor=6947
linha=395 | nome=Daniela | acao=executou o benchmark | valor=8433
linha=396 | nome=Felipe | acao=estudou computacao | valor=3954
linha=397 | nome=Paulo | acao=participou da aula | valor=1567
linha=398 | nome=Vitor | acao=analisou os resultados | valor=6752
linha=399 | nome=Paulo | acao=escreveu o relatorio | valor=9776
linha=400 | nome=Helena | acao=estudou computacao | valor=7760
linha=401 | nome=Sofia | acao=escreveu o relatorio | valor=6891
linha=402 | nome=Renata | acao=executou o benchmark | valor=8156
linha=403 | nome=Joao | acao=fez um experimento | valor=9888
linha=404 | nome=Daniela | acao=otimizou o algoritmo | valor=1369
linha=405 | nome=Bruno | acao=estudou computacao | valor=4832
linha=406 | nome=Otavio | acao=participou da aula | valor=9499
linha=407 | nome=Mariana | acao=executou o benchmark | valor=2226
linha=408 | nome=Igor | acao=otimizou o algoritmo | valor=7766
linha=409 | nome=Eduarda | acao=escreveu o relatorio | valor=5342
linha=410 | nome=Lucas | acao=participou da aula | valor=2886
linha=411 | nome=Eduarda | acao=fez um experimento | valor=8713
linha=412 | nome=Helena | acao=comparou as metricas | valor=8733
linha=413 | nome=Joao | acao=escreveu o relatorio | valor=8610
linha=414 | nome=Bruno | acao=fez um experimento | valor=1340
linha=415 | nome=Joao | acao=analisou os resultados | valor=2910
linha=416 | nome=Joao | acao=escreveu o relatorio | valor=1508
linha=417 | nome=Bruno | acao=otimizou o algoritmo | valor=9296
linha=418 | nome=Lucas | acao=executou o benchmark | valor=9000
linha=419 | nome=Karen | acao=executou o benchmark | valor=6626
linha=420 | nome=Renata | acao=comparou as metricas | valor=1750
linha=421 | nome=Lucas | acao=otimizou o algoritmo | valor=2564
linha=422 | nome=Igor | acao=participou da aula | valor=6176
linha=423 | nome=Gabriela | acao=comparou as metricas | valor=9359
linha=424 | nome=Otavio | acao=fez um experimento | valor=9609
linha=425 | nome=Igor | acao=comparou as metricas | valor=5595
linha=426 | nome=Tiago | acao=executou o benchmark | valor=2903
linha=427 | nome=Helena | acao=fez um experimento | valor=7168
linha=428 | nome=Daniela | acao=escreveu o relatorio | valor=2001
linha=429 | nome=Ana | acao=participou da aula | valor=8543
linha=430 | nome=Joao | acao=otimizou o algoritmo | valor=5727
linha=431 | nome=Eduarda | acao=estudou computacao | valor=9736
linha=432 | nome=Felipe | acao=escreveu o relatorio | valor=1236
linha=433 | nome=Igor | acao=comparou as metricas | valor=3273
linha=434 | nome=Mariana | acao=analisou os resultados | valor=9807
linha=435 | nome=Helena | acao=escreveu o relatorio | valor=6663
linha=436 | nome=Daniela | acao=analisou os resultados | valor=1155
linha=437 | nome=Vitor | acao=estudou computacao | valor=6831
linha=438 | nome=Paulo | acao=participou da aula | valor=8476
linha=439 | nome=Igor | acao=otimizou o algoritmo | valor=8216
linha=440 | nome=Lucas | acao=escreveu o relatorio | valor=6017
linha=441 | nome=Paulo | acao=executou o benchmark | valor=4589
linha=442 | nome=Renata | acao=otimizou o algoritmo | valor=4175
linha=443 | nome=Renata | acao=comparou as metricas | valor=7150
linha=444 | nome=Mariana | acao=otimizou o algoritmo | valor=4936
linha=445 | nome=Carlos | acao=estudou computacao | valor=6588
linha=446 | nome=Felipe | acao=estudou computacao | valor=8687
linha=447 | nome=Mariana | acao=fez um experimento | valor=2233
linha=448 | nome=Eduarda | acao=executou o benchmark | valor=7877
linha=449 | nome=Daniela | acao=comparou as metricas | valor=7168
linha=450 | nome=Helena | acao=fez um experimento | valor=5062
linha=451 | nome=Felipe | acao=estudou computacao | valor=7222
linha=452 | nome=Gabriela | acao=participou da aula | valor=6529
