linha=1 | nome=Igor | acao=estudou computacao | valor=3970
linha=100 | nome=Eduarda | acao=fez um experimento | valor=1603
linha=101 | nome=Lucas | acao=analisou os resultados | valor=3150
linha=102 | nome=Paulo | acao=analisou os resultados | valor=6674
linha=103 | nome=Otavio | acao=otimizou o algoritmo | valor=7721
linha=104 | nome=Lucas | acao=participou da aula | valor=3875
linha=105 | nome=Felipe | acao=comparou as metricas | valor=2731
linha=106 | nome=Tiago | acao=analisou os resultados | valor=1342
linha=107 | nome=Carlos | acao=fez um experimento | valor=8726
linha=108 | nome=Paulo | acao=escreveu o relatorio | valor=7411
linha=109 | nome=Joao | acao=estudou computacao | valor=2310
linha=110 | nome=Helena | acao=fez um experimento | valor=4825
linha=111 | nome=Natalia | acao=executou o benchmark | valor=4518
linha=112 | nome=Helena | acao=estudou computacao | valor=4967
linha=113 | nome=Lucas | acao=escreveu o relatorio | valor=7337
linha=114 | nome=Sofia | acao=estudou computacao | valor=6012
linha=115 | nome=Paulo | acao=comparou as metricas | valor=1044
linha=116 | nome=Carlos | acao=comparou as metricas | valor=9854
linha=117 | nome=Karen | acao=otimizou o algoritmo | valor=4794
linha=118 | nome=Daniela | acao=estudou computacao | valor=7583
linha=119 | nome=Paulo | acao=estudou computacao | valor=2572
linha=120 | nome=Natalia | acao=analisou os resultados | valor=8089
linha=121 | nome=Daniela | acao=fez um experimento | valor=4805
linha=122 | nome=Tiago | acao=comparou as metricas | valor=9682
linha=123 | nome=Daniela | acao=fez um experimento | valor=1373
linha=124 | nome=Igor | acao=otimizou o algoritmo | valor=6375
linha=125 | nome=Carlos | acao=otimizou o algoritmo | valor=3317
linha=126 | nome=Karen | acao=comparou as metricas | valor=7137
linha=127 | nome=Vitor | acao=participou da aula | valor=1078
linha=128 | nome=Lucas | acao=participou da aula | valor=9568
linha=129 | nome=Karen | acao=analisou os resultados | valor=2907
linha=130 | nome=Vitor | acao=estudou computacao | valor=6578
linha=131 | nome=Karen | acao=comparou as metricas | valor=7818
linha=132 | nome=Joao | acao=escreveu o relatorio | valor=3035
linha=133 | nome=Ana | acao=fez um experimento | valor=7698
linha=134 | nome=Joao | acao=otimizou o algoritmo | valor=7100
linha=135 | nome=Karen | acao=analisou os resultados | valor=8111
linha=136 | nome=Igor | acao=executou o benchmark | valor=3071
linha=137 | nome=Joao | acao=escreveu o relatorio | valor=5186
linha=138 | nome=Ana | acao=fez um experimento | valor=7085
linha=139 | nome=Helena | acao=executou o benchmark | valor=6024
linha=140 | nome=Igor | acao=fez um experimento | valor=1138
linha=141 | nome=Mariana | acao=participou da aula | valor=3449
linha=142 | nome=Ana | acao=escreveu o relatorio | valor=4856
linha=143 | nome=Joao | acao=comparou as metricas | valor=2107
linha=144 | nome=Karen | acao=otimizou o algoritmo | valor=4281
linha=145 | nome=Carlos | acao=participou da aula | valor=2345
linha=146 | nome=Renata | acao=escreveu o relatorio | valor=3544
linha=147 | nome=Lucas | acao=analisou os resultados | valor=8790
linha=148 | nome=Natalia | acao=analisou os resultados | valor=7788
linha=149 | nome=Igor | acao=otimizou o algoritmo | valor=8699
linha=150 | nome=Joao | acao=estudou computacao | valor=7549
linha=151 | nome=Renata | acao=participou da aula | valor=9203
linha=152 | nome=Sofia | acao=participou da aula | valor=6637
linha=153 | nome=Mariana | acao=otimizou o algoritmo | valor=5953
linha=154 | nome=Gabriela | acao=escreveu o relatorio | valor=5730
linha=155 | nome=Karen | acao=otimizou o algoritmo | valor=6067
linha=156 | nome=Ana | acao=fez um experimento | valor=7909
linha=157 | nome=Joao | acao=otimizou o algoritmo | valor=4210
linha=158 | nome=Vitor | acao=executou o benchmark | valor=5169
linha=159 | nome=Carlos | acao=analisou os resultados | valor=9743
linha=160 | nome=Carlos | acao=otimizou o algoritmo | valor=6946
linha=161 | nome=Joao | acao=analisou os resultados | valor=7391
linha=162 | nome=Mariana | acao=otimizou o algoritmo | valor=1803
linha=163 | nome=Daniela | acao=fez um experimento | valor=9226
linha=164 | nome=Paulo | acao=analisou os resultados | valor=3264
linha=165 | nome=Bruno | acao=executou o benchmark | valor=3555
linha=166 | nome=Bruno | acao=otimizou o algoritmo | valor=1871
linha=167 | nome=Ana | acao=participou da aula | valor=1859
linha=168 | nome=Ana | acao=otimizou o algoritmo | valor=4611
linha=169 | nome=Mariana | acao=otimizou o algoritmo | valor=7935
linha=170 | nome=Ana | acao=comparou as metricas | valor=7904
linha=171 | nome=Ana | acao=escreveu o relatorio | valor=8538
linha=172 | nome=Mariana | acao=comparou as metricas | valor=2992
linha=173 | nome=Natalia | acao=comparou as metricas | valor=7016
linha=174 | nome=Karen | acao=analisou os resultados | valor=5650
linha=175 | nome=Ana | acao=participou da aula | valor=2929
linha=176 | nome=Gabriela | acao=participou da aula | valor=1437
linha=177 | nome=Daniela | acao=analisou os resultados | valor=6085
linha=178 | nome=Daniela | acao=estudou computacao | valor=2585
linha=179 | nome=Carlos | acao=escreveu o relatorio | valor=2949
linha=180 | nome=Carlos | acao=escreveu o relatorio | valor=5648
linha=181 | nome=Sofia | acao=analisou os resultados | valor=7445
linha=182 | nome=Bruno | acao=fez um experimento | valor=8399
linha=183 | nome=Felipe | acao=comparou as metricas | valor=6957
linha=184 | nome=Karen | acao=fez um experimento | valor=9142
linha=185 | nome=Daniela | acao=participou da aula | valor=8541
linha=186 | nome=Karen | acao=fez um experimento | valor=6526
linha=187 | nome=Ana | acao=analisou os resultados | valor=9696
linha=188 | nome=Igor | acao=estudou computacao | valor=9645
linha=189 | nome=Igor | acao=analisou os resultados | valor=8940
linha=190 | nome=Igor | acao=executou o benchmark | valor=7444
linha=191 | nome=Karen | acao=otimizou o algoritmo | valor=1187
linha=192 | nome=Carlos | acao=comparou as metricas | valor=5438
linha=193 | nome=Helena | acao=estudou computacao | valor=3582
linha=194 | nome=Helena | acao=analisou os resultados | valor=8835
linha=195 | nome=Mariana | acao=executou o benchmark | valor=6005
linha=196 | nome=Joao | acao=comparou as metricas | valor=3929
linha=197 | nome=Sofia | acao=otimizou o algoritmo | valor=9788
linha=198 | nome=Gabriela | acao=otimizou o algoritmo | valor=2076
linha=199 | nome=Igor | acao=fez um experimento | valor=2227
linha=200 | nome=Felipe | acao=fez um experimento | valor=3361
linha=201 | nome=Igor | acao=otimizou o algoritmo | valor=2780
linha=202 | nome=Ana | acao=comparou as metricas | valor=8536
linha=203 | nome=Otavio | acao=escreveu o relatorio | valor=3105
linha=204 | nome=Tiago | acao=participou da aula | valor=2596
linha=205 | nome=Eduarda | acao=participou da aula | valor=2635
linha=206 | nome=Tiago | acao=executou o benchmark | valor=2257
linha=207 | nome=Mariana | acao=otimizou o algoritmo | valor=8872
linha=208 | nome=Renata | acao=participou da aula | valor=9874
linha=209 | nome=Sofia | acao=otimizou o algoritmo | valor=3202
linha=210 | nome=Eduarda | acao=fez um experimento | valor=3969
linha=211 | nome=Carlos | acao=participou da aula | valor=4219
linha=212 | nome=Felipe | acao=comparou as metricas | valor=3822
linha=213 | nome=Daniela | acao=estudou computacao | valor=5933
linha=214 | nome=Carlos | acao=executou o benchmark | valor=5445
linha=215 | nome=Helena | acao=otimizou o algoritmo | valor=3320
linha=216 | nome=Ana | acao=escreveu o relatorio | valor=1515
linha=217 | nome=Lucas | acao=escreveu o relatorio | valor=5069
linha=218 | nome=Igor | acao=otimizou o algoritmo | valor=2152
linha=219 | nome=Carlos | acao=fez um experimento | valor=6004
linha=220 | nome=Tiago | acao=executou o benchmark | valor=5832
linha=221 | nome=Sofia | acao=executou o benchmark | valor=5211
linha=222 | nome=Gabriela | acao=otimizou o algoritmo | valor=3230
linha=223 | nome=Joao | acao=analisou os resultados | valor=8258
linha=224 | nome=Vitor | acao=fez um experimento | valor=3487
linha=225 | nome=Mariana | acao=analisou os resultados | valor=2629
linha=226 | nome=Igor | acao=comparou as metricas | valor=7045
linha=227 | nome=Joao | acao=participou da aula | valor=3152
linha=228 | nome=Paulo | acao=fez um experimento | valor=8732
linha=229 | nome=Lucas | acao=escreveu o relatorio | valor=5576
linha=230 | nome=Mariana | acao=comparou as metricas | valor=7160
linha=231 | nome=Sofia | acao=analisou os resultados | valor=1276
linha=232 | nome=Daniela | acao=analisou os resultados | valor=8579
linha=233 | nome=Otavio | acao=executou o benchmark | valor=4771
linha=234 | nome=Eduarda | acao=analisou os resultados | valor=4820
linha=235 | nome=Vitor | acao=comparou as metricas | valor=7888
linha=236 | nome=Vitor | acao=escreveu o relatorio | valor=5927
linha=237 | nome=Daniela | acao=escreveu o relatorio | valor=5078
linha=238 | nome=Mariana | acao=analisou os resultados | valor=1555
linha=239 | nome=Tiago | acao=analisou os resultados | valor=2353
linha=240 | nome=Gabriela | acao=escreveu o relatorio | valor=6773
linha=241 | nome=Tiago | acao=participou da aula | valor=1237
linha=242 | nome=Mariana | acao=executou o benchmark | valor=9203
linha=243 | nome=Bruno | acao=comparou as metricas | valor=7722
linha=244 | nome=Helena | acao=participou da aula | valor=7681
linha=245 | nome=Eduarda | acao=executou o benchmark | valor=3539
linha=246 | nome=Carlos | acao=comparou as metricas | valor=2205
linha=247 | nome=Felipe | acao=executou o benchmark | valor=4079
linha=248 | nome=Karen | acao=participou da aula | valor=9980
linha=249 | nome=Tiago | acao=comparou as metricas | valor=4098
linha=250 | nome=Carlos | acao=otimizou o algoritmo | valor=6714
linha=251 | nome=Lucas | acao=fez um experimento | valor=9264
linha=252 | nome=Sofia | acao=executou o benchmark | valor=4838
linha=253 | nome=Gabriela | acao=executou o benchmark | valor=7024
linha=254 | nome=Gabriela | acao=escreveu o relatorio | valor=2577
linha=255 | nome=Tiago | acao=executou o benchmark | valor=5242
linha=256 | nome=Renata | acao=fez um experimento | valor=9160
linha=257 | nome=Tiago | acao=estudou computacao | valor=7418
linha=258 | nome=Daniela | acao=comparou as metricas | valor=5808
linha=259 | nome=Karen | acao=comparou as metricas | valor=3270
linha=260 | nome=Gabriela | acao=fez um experimento | valor=3985
linha=261 | nome=Igor | acao=executou o benchmark | valor=2974
linha=262 | nome=Karen | acao=participou da aula | valor=8140
linha=263 | nome=Mariana | acao=participou da aula | valor=7657
linha=264 | nome=Felipe | acao=comparou as metricas | valor=9210
linha=265 | nome=Karen | acao=participou da aula | valor=1581
linha=266 | nome=Natalia | acao=escreveu o relatorio | valor=1791
linha=267 | nome=Renata | acao=comparou as metricas | valor=2363
linha=268 | nome=Otavio | acao=escreveu o relatorio | valor=8960
linha=269 | nome=Otavio | acao=participou da aula | valor=5070
linha=270 | nome=Eduarda | acao=comparou as metricas | valor=2013
linha=271 | nome=Otavio | acao=estudou computacao | valor=4165
linha=272 | nome=Tiago | acao=fez um experimento | valor=6125
linha=273 | nome=Natalia | acao=participou da aula | valor=1366
linha=274 | nome=Karen | acao=analisou os resultados | valor=2362
linha=275 | nome=Daniela | acao=otimizou o algoritmo | valor=9234
linha=276 | nome=Lucas | acao=participou da aula | valor=9027
linha=277 | nome=Renata | acao=comparou as metricas | valor=8036
linha=278 | nome=Bruno | acao=comparou as metricas | valor=7795
linha=279 | nome=Natalia | acao=comparou as metricas | valor=6462
linha=280 | nome=Vitor | acao=fez um experimento | valor=9350
linha=281 | nome=Joao | acao=fez um experimento | valor=2690
linha=282 | nome=Ana | acao=comparou as metricas | valor=2070
linha=283 | nome=Joao | acao=estudou computacao | valor=7549
linha=284 | nome=Ana | acao=otimizou o algoritmo | valor=8484
linha=285 | nome=Renata | acao=comparou as metricas | valor=9030
linha=286 | nome=Felipe | acao=otimizou o algoritmo | valor=7513
linha=287 | nome=Felipe | acao=otimizou o algoritmo | valor=5651
linha=288 | nome=Paulo | acao=fez um experimento | valor=4972
linha=289 | nome=Karen | acao=participou da aula | valor=7592
linha=290 | nome=Karen | acao=escreveu o relatorio | valor=6740
linha=291 | nome=Renata | acao=otimizou o algoritmo | valor=4609
linha=292 | nome=Karen | acao=escreveu o relatorio | valor=4031
linha=293 | nome=Renata | acao=comparou as metricas | valor=3620
linha=294 | nome=Tiago | acao=executou o benchmark | valor=4548
linha=295 | nome=Bruno | acao=comparou as metricas | valor=7552
linha=296 | nome=Tiago | acao=fez um experimento | valor=2215
linha=297 | nome=Sofia | acao=executou o benchmark | valor=6240
linha=298 | nome=Joao | acao=fez um experimento | valor=8557
linha=299 | nome=Sofia | acao=fez um experimento | valor=1847
linha=300 | nome=Otavio | acao=analisou os resultados | valor=8803
linha=301 | nome=Tiago | acao=estudou computacao | valor=3256
linha=302 | nome=Mariana | acao=participou da aula | valor=4626
linha=303 | nome=Felipe | acao=otimizou o algoritmo | valor=4919
linha=304 | nome=Helena | acao=comparou as metricas | valor=6004
linha=305 | nome=Helena | acao=comparou as metricas | valor=5493
linha=306 | nome=Daniela | acao=escreveu o relatorio | valor=5085
linha=307 | nome=Helena | acao=executou o benchmark | valor=3126
linha=308 | nome=Mariana | acao=comparou as metricas | valor=1992
linha=309 | nome=Gabriela | acao=comparou as metricas | valor=8108
linha=310 | nome=Bruno | acao=executou o benchmark | valor=9909
linha=311 | nome=Felipe | acao=escreveu o relatorio | valor=3585
linha=312 | nome=Carlos | acao=escreveu o relatorio | valor=9584
linha=313 | nome=Igor | acao=comparou as metricas | valor=5676
linha=314 | nome=Paulo | acao=executou o benchmark | valor=2448
linha=315 | nome=Gabriela | acao=analisou os resultados | valor=7731
linha=316 | nome=Felipe | acao=fez um experimento | valor=1798
linha=317 | nome=Ana | acao=otimizou o algoritmo | valor=2744
linha=318 | nome=Joao | acao=analisou os resultados | valor=7526
linha=319 | nome=Felipe | acao=participou da aula | valor=6299
linha=320 | nome=Otavio | acao=estudou computacao | valor=9760
linha=321 | nome=Ana | acao=escreveu o relatorio | valor=8356
linha=322 | nome=Paulo | acao=comparou as metricas | valor=4927
linha=323 | nome=Carlos | acao=comparou as metricas | valor=1404
linha=324 | nome=Karen | acao=fez um experimento | valor=4588
linha=325 | nome=Ana | acao=participou da aula | valor=6787
linha=326 | nome=Daniela | acao=escreveu o relatorio | valor=4562
linha=327 | nome=Bruno | acao=otimizou o algoritmo | valor=6988
linha=328 | nome=Lucas | acao=participou da aula | valor=1767
linha=329 | nome=Gabriela | acao=estudou computacao | valor=9773
linha=330 | nome=Mariana | acao=participou da aula | valor=1827
linha=331 | nome=Vitor | acao=otimizou o algoritmo | valor=5862
linha=332 | nome=Gabriela | acao=escreveu o relatorio | valor=9894
linha=333 | nome=Vitor | acao=executou o benchmark | valor=3207
linha=334 | nome=Vitor | acao=estudou computacao | valor=2512
linha=335 | nome=Helena | acao=comparou as metricas | valor=4203
linha=336 | nome=Bruno | acao=comparou as metricas | valor=4255
linha=337 | nome=Renata | acao=executou o benchmark | valor=6051
linha=338 | nome=Sofia | acao=estudou computacao | valor=8304
linha=339 | nome=Eduarda | acao=comparou as metricas | valor=8683
linha=340 | nome=Vitor | acao=escreveu o relatorio | valor=2164
linha=341 | nome=Joao | acao=estudou computacao | valor=7440
linha=342 | nome=Felipe | acao=executou o benchmark | valor=8448
linha=343 | nome=Ana | acao=fez um experimento | valor=7243
linha=344 | nome=Karen | acao=analisou os resultados | valor=8405
linha=345 | nome=Renata | acao=participou da aula | valor=5531
linha=346 | nome=Eduarda | acao=participou da aula | valor=1707
linha=347 | nome=Tiago | acao=escreveu o relatorio | valor=6152
linha=348 | nome=Felipe | acao=comparou as metricas | valor=3089
linha=349 | nome=Lucas | acao=otimizou o algoritmo | valor=6955
linha=350 | nome=Ana | acao=escreveu o relatorio | valor=2869
linha=351 | nome=Karen | acao=comparou as metricas | valor=2993
linha=352 | nome=Daniela | acao=comparou as metricas | valor=1369
linha=353 | nome=Tiago | acao=participou da aula | valor=2746
linha=354 | nome=Gabriela | acao=executou o benchmark | valor=6804
linha=355 | nome=Lucas | acao=escreveu o relatorio | valor=6921
linha=356 | nome=Mariana | acao=comparou as metricas | valor=8993
linha=357 | nome=Vitor | acao=participou da aula | valor=3197
linha=358 | nome=Felipe | acao=executou o benchmark | valor=6857
linha=359 | nome=Otavio | acao=otimizou o algoritmo | valor=7728
linha=360 | nome=Carlos | acao=analisou os resultados | valor=1829
linha=361 | nome=Carlos | acao=analisou os resultados | valor=2162
linha=362 | nome=Ana | acao=executou o benchmark | valor=3003
linha=363 | nome=Lucas | acao=fez um experimento | valor=4911
linha=364 | nome=Igor | acao=participou da aula | valor=1425
linha=365 | nome=Lucas | acao=estudou computacao | valor=3879
linha=366 | nome=Joao | acao=fez um experimento | valor=8898
linha=367 | nome=Gabriela | acao=estudou computacao | valor=4290
linha=368 | nome=Helena | acao=estudou computacao | valor=2746
linha=369 | nome=Helena | acao=executou o benchmark | valor=1481
linha=370 | nome=Sofia | acao=participou da aula | valor=5582
linha=371 | nome=Gabriela | acao=executou o benchmark | valor=2713
linha=372 | nome=Paulo | acao=comparou as metricas | valor=2821
linha=373 | nome=Eduarda | acao=analisou os resultados | valor=2621
linha=374 | nome=Felipe | acao=comparou as metricas | valor=8552
linha=375 | nome=Vitor | acao=executou o benchmark | valor=9470
linha=376 | nome=Joao | acao=escreveu o relatorio | valor=7188
linha=377 | nome=Natalia | acao=fez um experimento | valor=6015
linha=378 | nome=Otavio | acao=otimizou o algoritmo | valor=4681
linha=379 | nome=Felipe | acao=analisou os resultados | valor=8407
linha=380 | nome=Bruno | acao=analisou os resultados | valor=4085
linha=381 | nome=Lucas | acao=otimizou o algoritmo | valor=3348
linha=382 | nome=Daniela | acao=estudou computacao | valor=9710
linha=383 | nome=Carlos | acao=comparou as metricas | valor=3656
linha=384 | nome=Lucas | acao=executou o benchmark | valor=9706
linha=385 | nome=Joao | acao=estudou computacao | valor=3172
linha=386 | nome=Helena | acao=executou o benchmark | valor=4872
linha=387 | nome=Vitor | acao=estudou computacao | valor=2439
linha=388 | nome=Lucas | acao=participou da aula | valor=5540
linha=389 | nome=Helena | acao=participou da aula | valor=9351
linha=390 | nome=Renata | acao=analisou os resultados | valor=7585
linha=391 | nome=Otavio | acao=fez um experimento | valor=8573
linha=392 | nome=Carlos | acao=participou da aula | valor=3505
linha=393 | nome=Karen | acao=estudou computacao | valor=5915
linha=394 | nome=Karen | acao=escreveu o relatorio | valor=6162
linha=395 | nome=Carlos | acao=fez um experimento | valor=3725
linha=396 | nome=Igor | acao=escreveu o relatorio | valor=2686
linha=397 | nome=Helena | acao=comparou as metricas | valor=7439
linha=398 | nome=Tiago | acao=fez um experimento | valor=1472
linha=399 | nome=Igor | acao=participou da aula | valor=3964
linha=400 | nome=Vitor | acao=estudou computacao | valor=1622
linha=401 | nome=Carlos | acao=analisou os resultados | valor=3463
linha=402 | nome=Gabriela | acao=otimizou o algoritmo | valor=7086
linha=403 | nome=Otavio | acao=comparou as metricas | valor=3501
linha=404 | nome=Eduarda | acao=otimizou o algoritmo | valor=4057
linha=405 | nome=Vitor | acao=otimizou o algoritmo | valor=8325
linha=406 | nome=Natalia | acao=escreveu o relatorio | valor=8540
linha=407 | nome=Daniela | acao=executou o benchmark | valor=6240
linha=408 | nome=Karen | acao=executou o benchmark | valor=7889
linha=409 | nome=Joao | acao=executou o benchmark | valor=5080
linha=410 | nome=Sofia | acao=escreveu o relatorio | valor=2069
linha=411 | nome=Helena | acao=otimizou o algoritmo | valor=3854
linha=412 | nome=Renata | acao=estudou computacao | valor=8749
linha=413 | nome=Tiago | acao=participou da aula | valor=2178
linha=414 | nome=Igor | acao=participou da aula | valor=7279
linha=415 | nome=Eduarda | acao=escreveu o relatorio | valor=6955
linha=416 | nome=Paulo | acao=escreveu o relatorio | valor=2593
linha=417 | nome=Paulo | acao=estudou computacao | valor=2051
linha=418 | nome=Mariana | acao=executou o benchmark | valor=2477
linha=419 | nome=Karen | acao=participou da aula | valor=8728
linha=420 | nome=Renata | acao=escreveu o relatorio | valor=9574
linha=421 | nome=Bruno | acao=executou o benchmark | valor=4430
linha=422 | nome=Helena | acao=executou o benchmark | valor=4983
linha=423 | nome=Lucas | acao=executou o benchmark | valor=4611
linha=424 | nome=Mariana | acao=analisou os resultados | valor=1916
linha=425 | nome=Joao | acao=estudou computacao | valor=1165
linha=426 | nome=Helena | acao=comparou as metricas | valor=3889
linha=427 | nome=Daniela | acao=escreveu o relatorio | valor=7934
linha=428 | nome=Carlos | acao=otimizou o algoritmo | valor=7703
linha=429 | nome=Otavio | acao=executou o benchmark | valor=5893
linha=430 | nome=Eduarda | acao=executou o benchmark | valor=1066
linha=431 | nome=Igor | acao=participou da aula | valor=5288
linha=432 | nome=Paulo | acao=executou o benchmark | valor=6757
linha=433 | nome=Natalia | acao=estudou computacao | valor=3768
linha=434 | nome=Renata | acao=analisou os resultados | valor=5355
linha=435 | nome=Felipe | acao=estudou computacao | valor=5916
linha=436 | nome=Tiago | acao=escreveu o relatorio | valor=2598
linha=437 | nome=Joao | acao=fez um experimento | valor=5898
linha=438 | nome=Renata | acao=fez um experimento | valor=5432
linha=439 | nome=Tiago | acao=escreveu o relatorio | valor=1620
linha=440 | nome=Vitor | acao=estudou computacao | valor=4285
linha=441 | nome=Joao | acao=fez um experimento | valor=4251
linha=442 | nome=Mariana | acao=executou o benchmark | valor=5804
linha=443 | nome=Ana | acao=estudou computacao | valor=2721
linha=444 | nome=Otavio | acao=estudou computacao | valor=9204
linha=445 | nome=Carlos | acao=executou o benchmark | valor=6568
linha=446 | nome=Natalia | acao=fez um experimento | valor=7301
linha=447 | nome=Daniela | acao=comparou as metricas | valor=9618
linha=448 | nome=Igor | acao=executou o benchmark | valor=3973
linha=449 | nome=Paulo | acao=escreveu o relatorio | valor=7670
linha=450 | nome=Lucas | acao=escreveu o relatorio | valor=3936
linha=451 | nome=Sofia | acao=comparou as metricas | valor=2222
linha=452 | nome=Eduarda | acao=comparou as metricas | valor=4131
