linha=1 | nome=Eduarda | acao=estudou computacao | valor=8770
linha=67 | nome=Bruno | acao=otimizou o algoritmo | valor=5374
linha=68 | nome=Joao | acao=escreveu o relatorio | valor=9699
linha=69 | nome=Carlos | acao=escreveu o relatorio | valor=6052
linha=70 | nome=Eduarda | acao=escreveu o relatorio | valor=8017
linha=71 | nome=Karen | acao=executou o benchmark | valor=7686
linha=72 | nome=Bruno | acao=otimizou o algoritmo | valor=4056
linha=73 | nome=Bruno | acao=fez um experimento | valor=8413
linha=74 | nome=Eduarda | acao=analisou os resultados | valor=3255
linha=75 | nome=Igor | acao=analisou os resultados | valor=3865
linha=76 | nome=Tiago | acao=otimizou o algoritmo | valor=8813
linha=77 | nome=Helena | acao=estudou computacao | valor=5813
linha=78 | nome=Felipe | acao=analisou os resultados | valor=6547
linha=79 | nome=Daniela | acao=escreveu o relatorio | valor=2847
linha=80 | nome=Otavio | acao=escreveu o relatorio | valor=6422
linha=81 | nome=Mariana | acao=fez um experimento | valor=6169
linha=82 | nome=Sofia | acao=escreveu o relatorio | valor=3845
linha=83 | nome=Helena | acao=participou da aula | valor=7145
linha=84 | nome=Eduarda | acao=escreveu o relatorio | valor=5698
linha=85 | nome=Lucas | acao=executou o benchmark | valor=7054
linha=86 | nome=Renata | acao=otimizou o algoritmo | valor=5933
linha=87 | nome=Karen | acao=participou da aula | valor=2041
linha=88 | nome=Otavio | acao=estudou computacao | valor=1421
linha=89 | nome=Gabriela | acao=otimizou o algoritmo | valor=8390
linha=90 | nome=Felipe | acao=analisou os resultados | valor=4837
linha=91 | nome=Eduarda | acao=executou o benchmark | valor=4982
linha=92 | nome=Carlos | acao=estudou computacao | valor=2948
linha=93 | nome=Igor | acao=executou o benchmark | valor=4543
linha=94 | nome=Eduarda | acao=fez um experimento | valor=3597
linha=95 | nome=Bruno | acao=otimizou o algoritmo | valor=4771
linha=96 | nome=Tiago | acao=participou da aula | valor=8922
linha=97 | nome=Vitor | acao=fez um experimento | valor=2451
linha=98 | nome=Renata | acao=estudou computacao | valor=9113
linha=99 | nome=Eduarda | acao=comparou as metricas | valor=3700
linha=100 | nome=Vitor | acao=fez um experimento | valor=6485
linha=101 | nome=Karen | acao=fez um experimento | valor=4585
linha=102 | nome=Karen | acao=participou da aula | valor=8392
linha=103 | nome=Natalia | acao=estudou computacao | valor=2434
linha=104 | nome=Igor | acao=estudou computacao | valor=6769
linha=105 | nome=Felipe | acao=escreveu o relatorio | valor=9932
linha=106 | nome=Mariana | acao=executou o benchmark | valor=5264
linha=107 | nome=Otavio | acao=otimizou o algoritmo | valor=7411
linha=108 | nome=Otavio | acao=otimizou o algoritmo | valor=4062
linha=109 | nome=Helena | acao=executou o benchmark | valor=2038
linha=110 | nome=Igor | acao=executou o benchmark | valor=3725
linha=111 | nome=Otavio | acao=comparou as metricas | valor=8828
linha=112 | nome=Otavio | acao=analisou os resultados | valor=2258
linha=113 | nome=Eduarda | acao=otimizou o algoritmo | valor=8432
linha=114 | nome=Bruno | acao=otimizou o algoritmo | valor=1753
linha=115 | nome=Gabriela | acao=executou o benchmark | valor=6214
linha=116 | nome=Tiago | acao=executou o benchmark | valor=4274
linha=117 | nome=Felipe | acao=executou o benchmark | valor=2128
linha=118 | nome=Daniela | acao=escreveu o relatorio | valor=7334
linha=119 | nome=Bruno | acao=estudou computacao | valor=1435
linha=120 | nome=Lucas | acao=executou o benchmark | valor=7122
linha=121 | nome=Natalia | acao=estudou computacao | valor=9743
linha=122 | nome=Paulo | acao=participou da aula | valor=9984
linha=123 | nome=Daniela | acao=otimizou o algoritmo | valor=4356
linha=124 | nome=Daniela | acao=escreveu o relatorio | valor=4165
linha=125 | nome=Joao | acao=estudou computacao | valor=2134
linha=126 | nome=Helena | acao=otimizou o algoritmo | valor=5487
linha=127 | nome=Tiago | acao=executou o benchmark | valor=2768
linha=128 | nome=Helena | acao=comparou as metricas | valor=4151
linha=129 | nome=Sofia | acao=estudou computacao | valor=4909
linha=130 | nome=Bruno | acao=escreveu o relatorio | valor=1016
linha=131 | nome=Natalia | acao=estudou computacao | valor=7050
linha=132 | nome=Igor | acao=executou o benchmark | valor=6407
linha=133 | nome=Mariana | acao=executou o benchmark | valor=8374
linha=134 | nome=Gabriela | acao=comparou as metricas | valor=5884
linha=135 | nome=Mariana | acao=estudou computacao | valor=2070
linha=136 | nome=Otavio | acao=participou da aula | valor=6455
linha=137 | nome=Ana | acao=estudou computacao | valor=2978
linha=138 | nome=Ana | acao=comparou as metricas | valor=1786
linha=139 | nome=Bruno | acao=fez um experimento | valor=1544
linha=140 | nome=Ana | acao=escreveu o relatorio | valor=3333
linha=141 | nome=Felipe | acao=fez um experimento | valor=4724
linha=142 | nome=Ana | acao=escreveu o relatorio | valor=8843
linha=143 | nome=Vitor | acao=otimizou o algoritmo | valor=2617
linha=144 | nome=Helena | acao=estudou computacao | valor=6688
linha=145 | nome=Felipe | acao=participou da aula | valor=4308
linha=146 | nome=Bruno | acao=participou da aula | valor=8315
linha=147 | nome=Carlos | acao=executou o benchmark | valor=2430
linha=148 | nome=Joao | acao=otimizou o algoritmo | valor=9639
linha=149 | nome=Gabriela | acao=estudou computacao | valor=1007
linha=150 | nome=Karen | acao=participou da aula | valor=3568
linha=151 | nome=Bruno | acao=estudou computacao | valor=5805
linha=152 | nome=Bruno | acao=estudou computacao | valor=3121
linha=153 | nome=Sofia | acao=comparou as metricas | valor=6945
linha=154 | nome=Mariana | acao=fez um experimento | valor=5815
linha=155 | nome=Otavio | acao=comparou as metricas | valor=9059
linha=156 | nome=Carlos | acao=participou da aula | valor=6698
linha=157 | nome=Helena | acao=analisou os resultados | valor=4453
linha=158 | nome=Vitor | acao=estudou computacao | valor=2308
linha=159 | nome=Karen | acao=executou o benchmark | valor=9721
linha=160 | nome=Tiago | acao=escreveu o relatorio | valor=8405
linha=161 | nome=Mariana | acao=estudou computacao | valor=1083
linha=162 | nome=Ana | acao=fez um experimento | valor=8179
linha=163 | nome=Paulo | acao=executou o benchmark | valor=1534
linha=164 | nome=Karen | acao=escreveu o relatorio | valor=2942
linha=165 | nome=Paulo | acao=escreveu o relatorio | valor=5884
linha=166 | nome=Eduarda | acao=analisou os resultados | valor=7779
linha=167 | nome=Joao | acao=executou o benchmark | valor=7547
linha=168 | nome=Karen | acao=otimizou o algoritmo | valor=6571
linha=169 | nome=Joao | acao=otimizou o algoritmo | valor=8548
linha=170 | nome=Natalia | acao=comparou as metricas | valor=4107
linha=171 | nome=Natalia | acao=fez um experimento | valor=8413
linha=172 | nome=Renata | acao=otimizou o algoritmo | valor=4214
linha=173 | nome=Mariana | acao=otimizou o algoritmo | valor=6041
linha=174 | nome=Renata | acao=fez um experimento | valor=5951
linha=175 | nome=Sofia | acao=fez um experimento | valor=5911
linha=176 | nome=Carlos | acao=analisou os resultados | valor=5211
linha=177 | nome=Ana | acao=escreveu o relatorio | valor=6863
linha=178 | nome=Ana | acao=otimizou o algoritmo | valor=1848
linha=179 | nome=Renata | acao=executou o benchmark | valor=7041
linha=180 | nome=Daniela | acao=otimizou o algoritmo | valor=9337
linha=181 | nome=Paulo | acao=participou da aula | valor=4891
linha=182 | nome=Lucas | acao=otimizou o algoritmo | valor=6343
linha=183 | nome=Paulo | acao=otimizou o algoritmo | valor=8446
linha=184 | nome=Mariana | acao=participou da aula | valor=1389
linha=185 | nome=Gabriela | acao=escreveu o relatorio | valor=3557
linha=186 | nome=Lucas | acao=otimizou o algoritmo | valor=5803
linha=187 | nome=Otavio | acao=participou da aula | valor=1153
linha=188 | nome=Mariana | acao=fez um experimento | valor=2984
linha=189 | nome=Otavio | acao=fez um experimento | valor=6067
linha=190 | nome=Igor | acao=executou o benchmark | valor=4757
linha=191 | nome=Helena | acao=comparou as metricas | valor=6367
linha=192 | nome=Lucas | acao=participou da aula | valor=3801
linha=193 | nome=Gabriela | acao=executou o benchmark | valor=4396
linha=194 | nome=Otavio | acao=executou o benchmark | valor=8458
linha=195 | nome=Sofia | acao=comparou as metricas | valor=7286
linha=196 | nome=Joao | acao=escreveu o relatorio | valor=7195
linha=197 | nome=Otavio | acao=estudou computacao | valor=8093
linha=198 | nome=Bruno | acao=estudou computacao | valor=5255
linha=199 | nome=Eduarda | acao=escreveu o relatorio | valor=7990
linha=200 | nome=Helena | acao=executou o benchmark | valor=1683
linha=201 | nome=Igor | acao=comparou as metricas | valor=3043
linha=202 | nome=Mariana | acao=comparou as metricas | valor=8268
linha=203 | nome=Mariana | acao=escreveu o relatorio | valor=5999
linha=204 | nome=Lucas | acao=escreveu o relatorio | valor=1951
linha=205 | nome=Felipe | acao=otimizou o algoritmo | valor=7156
linha=206 | nome=Sofia | acao=estudou computacao | valor=3426
linha=207 | nome=Paulo | acao=otimizou o algoritmo | valor=4547
linha=208 | nome=Otavio | acao=fez um experimento | valor=8365
linha=209 | nome=Gabriela | acao=executou o benchmark | valor=1239
linha=210 | nome=Eduarda | acao=estudou computacao | valor=6563
linha=211 | nome=Joao | acao=otimizou o algoritmo | valor=7971
linha=212 | nome=Gabriela | acao=estudou computacao | valor=4810
linha=213 | nome=Mariana | acao=analisou os resultados | valor=3588
linha=214 | nome=Mariana | acao=estudou computacao | valor=3375
linha=215 | nome=Vitor | acao=escreveu o relatorio | valor=3851
linha=216 | nome=Joao | acao=otimizou o algoritmo | valor=2106
linha=217 | nome=Daniela | acao=fez um experimento | valor=2773
linha=218 | nome=Lucas | acao=analisou os resultados | valor=2222
linha=219 | nome=Mariana | acao=otimizou o algoritmo | valor=2537
linha=220 | nome=Gabriela | acao=otimizou o algoritmo | valor=7417
linha=221 | nome=Mariana | acao=otimizou o algoritmo | valor=5265
linha=222 | nome=Igor | acao=participou da aula | valor=8090
linha=223 | nome=Otavio | acao=escreveu o relatorio | valor=8983
linha=224 | nome=Felipe | acao=estudou computacao | valor=8016
linha=225 | nome=Helena | acao=fez um experimento | valor=5712
linha=226 | nome=Carlos | acao=escreveu o relatorio | valor=6518
linha=227 | nome=Renata | acao=otimizou o algoritmo | valor=8733
linha=228 | nome=Paulo | acao=participou da aula | valor=2585
linha=229 | nome=Bruno | acao=executou o benchmark | valor=3237
linha=230 | nome=Lucas | acao=estudou computacao | valor=5203
linha=231 | nome=Gabriela | acao=escreveu o relatorio | valor=8492
linha=232 | nome=Felipe | acao=estudou computacao | valor=9370
linha=233 | nome=Tiago | acao=otimizou o algoritmo | valor=6635
linha=234 | nome=Otavio | acao=escreveu o relatorio | valor=5296
linha=235 | nome=Igor | acao=participou da aula | valor=7190
linha=236 | nome=Gabriela | acao=otimizou o algoritmo | valor=6348
linha=237 | nome=Joao | acao=fez um experimento | valor=4491
linha=238 | nome=Mariana | acao=comparou as metricas | valor=6116
linha=239 | nome=Otavio | acao=fez um experimento | valor=7096
linha=240 | nome=Natalia | acao=analisou os resultados | valor=6755
linha=241 | nome=Renata | acao=comparou as metricas | valor=8050
linha=242 | nome=Gabriela | acao=executou o benchmark | valor=5651
linha=243 | nome=Lucas | acao=otimizou o algoritmo | valor=7764
linha=244 | nome=Karen | acao=fez um experimento | valor=9949
linha=245 | nome=Joao | acao=fez um experimento | valor=8779
linha=246 | nome=Bruno | acao=comparou as metricas | valor=1194
linha=247 | nome=Helena | acao=escreveu o relatorio | valor=8738
linha=248 | nome=Bruno | acao=estudou computacao | valor=3055
linha=249 | nome=Tiago | acao=executou o benchmark | valor=6822
linha=250 | nome=Joao | acao=executou o benchmark | valor=7404
linha=251 | nome=Sofia | acao=escreveu o relatorio | valor=4005
linha=252 | nome=Gabriela | acao=fez um experimento | valor=5027
linha=253 | nome=Karen | acao=executou o benchmark | valor=1462
linha=254 | nome=Igor | acao=estudou computacao | valor=3487
linha=255 | nome=Ana | acao=analisou os resultados | valor=6210
linha=256 | nome=Natalia | acao=estudou computacao | valor=6154
linha=257 | nome=Igor | acao=estudou computacao | valor=7883
linha=258 | nome=Eduarda | acao=estudou computacao | valor=4106
linha=259 | nome=Helena | acao=fez um experimento | valor=5349
linha=260 | nome=Renata | acao=escreveu o relatorio | valor=8100
linha=261 | nome=Felipe | acao=executou o benchmark | valor=9138
linha=262 | nome=Mariana | acao=analisou os resultados | valor=9275
linha=263 | nome=Helena | acao=estudou computacao | valor=6879
linha=264 | nome=Mariana | acao=estudou computacao | valor=3205
linha=265 | nome=Felipe | acao=escreveu o relatorio | valor=6696
linha=266 | nome=Karen | acao=otimizou o algoritmo | valor=6553
linha=267 | nome=Mariana | acao=comparou as metricas | valor=2116
linha=268 | nome=Renata | acao=escreveu o relatorio | valor=8065
linha=269 | nome=Sofia | acao=comparou as metricas | valor=7930
linha=270 | nome=Daniela | acao=participou da aula | valor=5438
linha=271 | nome=Sofia | acao=otimizou o algoritmo | valor=6821
linha=272 | nome=Felipe | acao=escreveu o relatorio | valor=6694
linha=273 | nome=Carlos | acao=otimizou o algoritmo | valor=9440
linha=274 | nome=Bruno | acao=executou o benchmark | valor=8611
linha=275 | nome=Paulo | acao=estudou computacao | valor=4996
linha=276 | nome=Eduarda | acao=estudou computacao | valor=5748
linha=277 | nome=Natalia | acao=fez um experimento | valor=9321
linha=278 | nome=Igor | acao=otimizou o algoritmo | valor=7521
linha=279 | nome=Daniela | acao=escreveu o relatorio | valor=1113
linha=280 | nome=Natalia | acao=analisou os resultados | valor=4544
linha=281 | nome=Natalia | acao=estudou computacao | valor=5249
linha=282 | nome=Ana | acao=analisou os resultados | valor=6219
linha=283 | nome=Carlos | acao=analisou os resultados | valor=1653
linha=284 | nome=Vitor | acao=executou o benchmark | valor=1380
linha=285 | nome=Daniela | acao=otimizou o algoritmo | valor=6799
linha=286 | nome=Eduarda | acao=comparou as metricas | valor=4838
linha=287 | nome=Ana | acao=analisou os resultados | valor=9382
linha=288 | nome=Joao | acao=comparou as metricas | valor=7420
linha=289 | nome=Gabriela | acao=estudou computacao | valor=5117
linha=290 | nome=Daniela | acao=estudou computacao | valor=8798
linha=291 | nome=Lucas | acao=analisou os resultados | valor=9621
linha=292 | nome=Gabriela | acao=escreveu o relatorio | valor=1790
linha=293 | nome=Igor | acao=participou da aula | valor=8929
linha=294 | nome=Helena | acao=participou da aula | valor=3496
linha=295 | nome=Paulo | acao=executou o benchmark | valor=7509
linha=296 | nome=Mariana | acao=analisou os resultados | valor=3175
linha=297 | nome=Ana | acao=otimizou o algoritmo | valor=4162
linha=298 | nome=Joao | acao=escreveu o relatorio | valor=3852
linha=299 | nome=Daniela | acao=participou da aula | valor=3612
linha=300 | nome=Paulo | acao=estudou computacao | valor=5601
linha=301 | nome=Igor | acao=escreveu o relatorio | valor=7527
linha=302 | nome=Carlos | acao=fez um experimento | valor=7679
linha=303 | nome=Tiago | acao=analisou os resultados | valor=9385
linha=304 | nome=Mariana | acao=fez um experimento | valor=7974
linha=305 | nome=Tiago | acao=otimizou o algoritmo | valor=4701
linha=306 | nome=Natalia | acao=estudou computacao | valor=9398
linha=307 | nome=Igor | acao=analisou os resultados | valor=3505
linha=308 | nome=Joao | acao=participou da aula | valor=6621
linha=309 | nome=Natalia | acao=comparou as metricas | valor=6301
linha=310 | nome=Igor | acao=executou o benchmark | valor=9423
linha=311 | nome=Paulo | acao=otimizou o algoritmo | valor=2748
linha=312 | nome=Joao | acao=comparou as metricas | valor=9107
linha=313 | nome=Ana | acao=analisou os resultados | valor=3557
linha=314 | nome=Lucas | acao=participou da aula | valor=6555
linha=315 | nome=Otavio | acao=escreveu o relatorio | valor=3589
linha=316 | nome=Tiago | acao=comparou as metricas | valor=9061
linha=317 | nome=Gabriela | acao=escreveu o relatorio | valor=3066
linha=318 | nome=Mariana | acao=otimizou o algoritmo | valor=3866
linha=319 | nome=Carlos | acao=comparou as metricas | valor=1428
linha=320 | nome=Lucas | acao=otimizou o algoritmo | valor=7966
linha=321 | nome=Karen | acao=estudou computacao | valor=7524
linha=322 | nome=Mariana | acao=escreveu o relatorio | valor=8912
linha=323 | nome=Eduarda | acao=estudou computacao | valor=1621
linha=324 | nome=Natalia | acao=participou da aula | valor=8126
linha=325 | nome=Carlos | acao=participou da aula | valor=9201
linha=326 | nome=Vitor | acao=escreveu o relatorio | valor=8120
linha=327 | nome=Natalia | acao=fez um experimento | valor=5020
linha=328 | nome=Natalia | acao=escreveu o relatorio | valor=8645
linha=329 | nome=Bruno | acao=executou o benchmark | valor=1366
linha=330 | nome=Mariana | acao=comparou as metricas | valor=2341
linha=331 | nome=Eduarda | acao=comparou as metricas | valor=7668
linha=332 | nome=Vitor | acao=comparou as metricas | valor=4670
linha=333 | nome=Renata | acao=escreveu o relatorio | valor=9164
linha=334 | nome=Felipe | acao=escreveu o relatorio | valor=4032
linha=335 | nome=Renata | acao=executou o benchmark | valor=2094
linha=336 | nome=Carlos | acao=analisou os resultados | valor=7271
linha=337 | nome=Mariana | acao=otimizou o algoritmo | valor=1075
linha=338 | nome=Igor | acao=analisou os resultados | valor=1508
linha=339 | nome=Carlos | acao=otimizou o algoritmo | valor=2627
linha=340 | nome=Sofia | acao=executou o benchmark | valor=4030
linha=341 | nome=Lucas | acao=analisou os resultados | valor=7589
linha=342 | nome=Mariana | acao=otimizou o algoritmo | valor=5732
linha=343 | nome=Sofia | acao=escreveu o relatorio | valor=8988
linha=344 | nome=Otavio | acao=executou o benchmark | valor=8610
linha=345 | nome=Eduarda | acao=otimizou o algoritmo | valor=4478
linha=346 | nome=Carlos | acao=executou o benchmark | valor=5394
linha=347 | nome=Igor | acao=comparou as metricas | valor=9058
linha=348 | nome=Lucas | acao=analisou os resultados | valor=6263
linha=349 | nome=Mariana | acao=escreveu o relatorio | valor=1438
linha=350 | nome=Igor | acao=otimizou o algoritmo | valor=4531
linha=351 | nome=Paulo | acao=otimizou o algoritmo | valor=9963
linha=352 | nome=Sofia | acao=participou da aula | valor=6438
linha=353 | nome=Ana | acao=otimizou o algoritmo | valor=3239
linha=354 | nome=Lucas | acao=analisou os resultados | valor=1155
linha=355 | nome=Eduarda | acao=otimizou o algoritmo | valor=1128
linha=356 | nome=Helena | acao=estudou computacao | valor=2883
linha=357 | nome=Eduarda | acao=executou o benchmark | valor=7736
linha=358 | nome=Karen | acao=comparou as metricas | valor=5323
linha=359 | nome=Felipe | acao=comparou as metricas | valor=7284
linha=360 | nome=Otavio | acao=analisou os resultados | valor=2419
linha=361 | nome=Otavio | acao=escreveu o relatorio | valor=5291
linha=362 | nome=Paulo | acao=otimizou o algoritmo | valor=5974
linha=363 | nome=Karen | acao=executou o benchmark | valor=7924
linha=364 | nome=Mariana | acao=estudou computacao | valor=8693
linha=365 | nome=Paulo | acao=fez um experimento | valor=4099
linha=366 | nome=Eduarda | acao=participou da aula | valor=4708
linha=367 | nome=Eduarda | acao=otimizou o algoritmo | valor=8197
linha=368 | nome=Gabriela | acao=estudou computacao | valor=9172
linha=369 | nome=Gabriela | acao=executou o benchmark | valor=7021
linha=370 | nome=Helena | acao=comparou as metricas | valor=5083
linha=371 | nome=Felipe | acao=analisou os resultados | valor=3455
linha=372 | nome=Mariana | acao=analisou os resultados | valor=5849
linha=373 | nome=Tiago | acao=executou o benchmark | valor=5786
linha=374 | nome=Bruno | acao=analisou os resultados | valor=5969
linha=375 | nome=Mariana | acao=escreveu o relatorio | valor=1149
linha=376 | nome=Ana | acao=fez um experimento | valor=3230
linha=377 | nome=Felipe | acao=fez um experimento | valor=1472
linha=378 | nome=Tiago | acao=analisou os resultados | valor=7518
linha=379 | nome=Vitor | acao=analisou os resultados | valor=9002
linha=380 | nome=Renata | acao=analisou os resultados | valor=5383
linha=381 | nome=Otavio | acao=comparou as metricas | valor=9714
linha=382 | nome=Eduarda | acao=analisou os resultados | valor=4602
linha=383 | nome=Mariana | acao=participou da aula | valor=3902
linha=384 | nome=Vitor | acao=fez um experimento | valor=1325
linha=385 | nome=Ana | acao=otimizou o algoritmo | valor=2463
linha=386 | nome=Joao | acao=executou o benchmark | valor=6861
linha=387 | nome=Carlos | acao=analisou os resultados | valor=4929
linha=388 | nome=Bruno | acao=escreveu o relatorio | valor=8014
linha=389 | nome=Mariana | acao=analisou os resultados | valor=6043
linha=390 | nome=Ana | acao=participou da aula | valor=3553
linha=391 | nome=Bruno | acao=otimizou o algoritmo | valor=7326
linha=392 | nome=Mariana | acao=executou o benchmark | valor=4867
linha=393 | nome=Natalia | acao=fez um experimento | valor=1798
linha=394 | nome=Gabriela | acao=fez um experimento | valor=7775
linha=395 | nome=Igor | acao=fez um experimento | valor=8237
linha=396 | nome=Otavio | acao=participou da aula | valor=7336
linha=397 | nome=Bruno | acao=analisou os resultados | valor=9699
linha=398 | nome=Vitor | acao=estudou computacao | valor=1103
linha=399 | nome=Paulo | acao=escreveu o relatorio | valor=2084
linha=400 | nome=Renata | acao=fez um experimento | valor=7116
linha=401 | nome=Lucas | acao=participou da aula | valor=1701
linha=402 | nome=Natalia | acao=comparou as metricas | valor=6631
linha=403 | nome=Vitor | acao=estudou computacao | valor=5022
linha=404 | nome=Tiago | acao=comparou as metricas | valor=3786
linha=405 | nome=Natalia | acao=fez um experimento | valor=4916
linha=406 | nome=Mariana | acao=fez um experimento | valor=3818
linha=407 | nome=Carlos | acao=fez um experimento | valor=7870
linha=408 | nome=Bruno | acao=fez um experimento | valor=8174
linha=409 | nome=Daniela | acao=analisou os resultados | valor=6124
linha=410 | nome=Igor | acao=executou o benchmark | valor=2897
linha=411 | nome=Joao | acao=executou o benchmark | valor=9340
linha=412 | nome=Felipe | acao=estudou computacao | valor=2736
linha=413 | nome=Karen | acao=participou da aula | valor=2851
linha=414 | nome=Vitor | acao=estudou computacao | valor=3307
linha=415 | nome=Igor | acao=participou da aula | valor=8502
linha=416 | nome=Mariana | acao=analisou os resultados | valor=3766
linha=417 | nome=Igor | acao=fez um experimento | valor=1765
linha=418 | nome=Felipe | acao=estudou computacao | valor=7754
linha=419 | nome=Renata | acao=executou o benchmark | valor=5286
linha=420 | nome=Paulo | acao=participou da aula | valor=5710
linha=421 | nome=Igor | acao=estudou computacao | valor=9815
linha=422 | nome=Joao | acao=escreveu o relatorio | valor=2651
linha=423 | nome=Mariana | acao=estudou computacao | valor=4117
linha=424 | nome=Natalia | acao=estudou computacao | valor=1116
linha=425 | nome=Natalia | acao=comparou as metricas | valor=8549
linha=426 | nome=Karen | acao=otimizou o algoritmo | valor=6251
linha=427 | nome=Lucas | acao=analisou os resultados | valor=8977
linha=428 | nome=Gabriela | acao=executou o benchmark | valor=7098
linha=429 | nome=Sofia | acao=estudou computacao | valor=7129
linha=430 | nome=Vitor | acao=escreveu o relatorio | valor=7338
linha=431 | nome=Igor | acao=fez um experimento | valor=8484
linha=432 | nome=Eduarda | acao=escreveu o relatorio | valor=5114
linha=433 | nome=Ana | acao=escreveu o relatorio | valor=9847
linha=434 | nome=Joao | acao=otimizou o algoritmo | valor=3379
linha=435 | nome=Renata | acao=participou da aula | valor=7139
linha=436 | nome=Daniela | acao=escreveu o relatorio | valor=1272
linha=437 | nome=Sofia | acao=executou o benchmark | valor=3339
linha=438 | nome=Otavio | acao=estudou computacao | valor=9598
linha=439 | nome=Mariana | acao=escreveu o relatorio | valor=8423
linha=440 | nome=Ana | acao=fez um experimento | valor=3852
linha=441 | nome=Sofia | acao=estudou computacao | valor=6418
linha=442 | nome=Renata | acao=comparou as metricas | valor=3762
linha=443 | nome=Natalia | acao=participou da aula | valor=7245
linha=444 | nome=Renata | acao=estudou computacao | valor=9313
linha=445 | nome=Renata | acao=fez um experimento | valor=2328
linha=446 | nome=Ana | acao=comparou as metricas | valor=2383
linha=447 | nome=Otavio | acao=otimizou o algoritmo | valor=6490
linha=448 | nome=Mariana | acao=executou o benchmark | valor=6337
linha=449 | nome=Carlos | acao=participou da aula | valor=2377
