linha=1 | nome=Bruno | acao=escreveu o relatorio | valor=8028
linha=98 | nome=Vitor | acao=participou da aula | valor=9190
linha=99 | nome=Natalia | acao=fez um experimento | valor=4868
linha=100 | nome=Bruno | acao=estudou computacao | valor=8151
linha=101 | nome=Natalia | acao=fez um experimento | valor=4124
linha=102 | nome=Gabriela | acao=participou da aula | valor=7332
linha=103 | nome=Igor | acao=comparou as metricas | valor=8267
linha=104 | nome=Joao | acao=analisou os resultados | valor=1388
linha=105 | nome=Sofia | acao=estudou computacao | valor=4812
linha=106 | nome=Felipe | acao=estudou computacao | valor=4181
linha=107 | nome=Carlos | acao=participou da aula | valor=8813
linha=108 | nome=Renata | acao=participou da aula | valor=3809
linha=109 | nome=Renata | acao=estudou computacao | valor=8438
linha=110 | nome=Carlos | acao=estudou computacao | valor=3085
linha=111 | nome=Eduarda | acao=executou o benchmark | valor=5959
linha=112 | nome=Lucas | acao=participou da aula | valor=5007
linha=113 | nome=Natalia | acao=fez um experimento | valor=8134
linha=114 | nome=Ana | acao=comparou as metricas | valor=4382
linha=115 | nome=Eduarda | acao=comparou as metricas | valor=1344
linha=116 | nome=Felipe | acao=fez um experimento | valor=8952
linha=117 | nome=Lucas | acao=fez um experimento | valor=9870
linha=118 | nome=Eduarda | acao=otimizou o algoritmo | valor=7320
linha=119 | nome=Tiago | acao=fez um experimento | valor=1824
linha=120 | nome=Eduarda | acao=participou da aula | valor=5807
linha=121 | nome=Karen | acao=fez um experimento | valor=5952
linha=122 | nome=Vitor | acao=fez um experimento | valor=6097
linha=123 | nome=Renata | acao=executou o benchmark | valor=2790
linha=124 | nome=Helena | acao=comparou as metricas | valor=1136
linha=125 | nome=Mariana | acao=otimizou o algoritmo | valor=4674
linha=126 | nome=Gabriela | acao=estudou computacao | valor=1794
linha=127 | nome=Otavio | acao=escreveu o relatorio | valor=6119
linha=128 | nome=Ana | acao=comparou as metricas | valor=4785
linha=129 | nome=Renata | acao=comparou as metricas | valor=4076
linha=130 | nome=Mariana | acao=otimizou o algoritmo | valor=4081
linha=131 | nome=Sofia | acao=comparou as metricas | valor=5684
linha=132 | nome=Igor | acao=participou da aula | valor=9711
linha=133 | nome=Bruno | acao=analisou os resultados | valor=5149
linha=134 | nome=Carlos | acao=fez um experimento | valor=3392
linha=135 | nome=Eduarda | acao=participou da aula | valor=4982
linha=136 | nome=Renata | acao=fez um experimento | valor=9761
linha=137 | nome=Bruno | acao=escreveu o relatorio | valor=8446
linha=138 | nome=Daniela | acao=fez um experimento | valor=7115
linha=139 | nome=Joao | acao=executou o benchmark | valor=1634
linha=140 | nome=Renata | acao=analisou os resultados | valor=5667
linha=141 | nome=Gabriela | acao=escreveu o relatorio | valor=1727
linha=142 | nome=Paulo | acao=participou da aula | valor=1461
linha=143 | nome=Natalia | acao=analisou os resultados | valor=9159
linha=144 | nome=Eduarda | acao=executou o benchmark | valor=5351
linha=145 | nome=Karen | acao=otimizou o algoritmo | valor=8348
linha=146 | nome=Felipe | acao=comparou as metricas | valor=3117
linha=147 | nome=Mariana | acao=otimizou o algoritmo | valor=3225
linha=148 | nome=Sofia | acao=participou da aula | valor=1199
linha=149 | nome=Sofia | acao=executou o benchmark | valor=7963
linha=150 | nome=Natalia | acao=executou o benchmark | valor=7446
linha=151 | nome=Karen | acao=fez um experimento | valor=8859
linha=152 | nome=Carlos | acao=participou da aula | valor=5726
linha=153 | nome=Mariana | acao=comparou as metricas | valor=8382
linha=154 | nome=Tiago | acao=analisou os resultados | valor=9976
linha=155 | nome=Tiago | acao=escreveu o relatorio | valor=7717
linha=156 | nome=Felipe | acao=escreveu o relatorio | valor=7849
linha=157 | nome=Otavio | acao=fez um experimento | valor=9092
linha=158 | nome=Otavio | acao=fez um experimento | valor=6090
linha=159 | nome=Eduarda | acao=escreveu o relatorio | valor=4199
linha=160 | nome=Ana | acao=escreveu o relatorio | valor=8902
linha=161 | nome=Carlos | acao=estudou computacao | valor=8047
linha=162 | nome=Renata | acao=fez um experimento | valor=2946
linha=163 | nome=Vitor | acao=escreveu o relatorio | valor=2067
linha=164 | nome=Carlos | acao=participou da aula | valor=2804
linha=165 | nome=Daniela | acao=executou o benchmark | valor=2908
linha=166 | nome=Tiago | acao=participou da aula | valor=3915
linha=167 | nome=Felipe | acao=otimizou o algoritmo | valor=5711
linha=168 | nome=Joao | acao=executou o benchmark | valor=8987
linha=169 | nome=Sofia | acao=otimizou o algoritmo | valor=8627
linha=170 | nome=Karen | acao=executou o benchmark | valor=6384
linha=171 | nome=Gabriela | acao=participou da aula | valor=6653
linha=172 | nome=Gabriela | acao=fez um experimento | valor=9084
linha=173 | nome=Daniela | acao=participou da aula | valor=5466
linha=174 | nome=Sofia | acao=comparou as metricas | valor=3259
linha=175 | nome=Helena | acao=otimizou o algoritmo | valor=5091
linha=176 | nome=Otavio | acao=fez um experimento | valor=1135
linha=177 | nome=Mariana | acao=escreveu o relatorio | valor=8636
linha=178 | nome=Sofia | acao=fez um experimento | valor=2186
linha=179 | nome=Gabriela | acao=comparou as metricas | valor=4138
linha=180 | nome=Bruno | acao=escreveu o relatorio | valor=8566
linha=181 | nome=Otavio | acao=participou da aula | valor=6519
linha=182 | nome=Lucas | acao=comparou as metricas | valor=5416
linha=183 | nome=Gabriela | acao=estudou computacao | valor=3018
linha=184 | nome=Renata | acao=comparou as metricas | valor=9471
linha=185 | nome=Renata | acao=comparou as metricas | valor=5308
linha=186 | nome=Mariana | acao=estudou computacao | valor=2493
linha=187 | nome=Mariana | acao=participou da aula | valor=7307
linha=188 | nome=Felipe | acao=analisou os resultados | valor=9570
linha=189 | nome=Joao | acao=analisou os resultados | valor=8784
linha=190 | nome=Tiago | acao=participou da aula | valor=8547
linha=191 | nome=Igor | acao=fez um experimento | valor=9839
linha=192 | nome=Natalia | acao=estudou computacao | valor=9024
linha=193 | nome=Karen | acao=estudou computacao | valor=8808
linha=194 | nome=Helena | acao=escreveu o relatorio | valor=6174
linha=195 | nome=Daniela | acao=executou o benchmark | valor=2635
linha=196 | nome=Joao | acao=estudou computacao | valor=4747
linha=197 | nome=Mariana | acao=otimizou o algoritmo | valor=8722
linha=198 | nome=Vitor | acao=escreveu o relatorio | valor=9159
linha=199 | nome=Mariana | acao=analisou os resultados | valor=3509
linha=200 | nome=Karen | acao=escreveu o relatorio | valor=6631
linha=201 | nome=Eduarda | acao=comparou as metricas | valor=5950
linha=202 | nome=Ana | acao=estudou computacao | valor=5316
linha=203 | nome=Helena | acao=executou o benchmark | valor=3352
linha=204 | nome=Eduarda | acao=fez um experimento | valor=8980
linha=205 | nome=Renata | acao=estudou computacao | valor=5476
linha=206 | nome=Daniela | acao=estudou computacao | valor=9527
linha=207 | nome=Mariana | acao=escreveu o relatorio | valor=7793
linha=208 | nome=Gabriela | acao=executou o benchmark | valor=7642
linha=209 | nome=Karen | acao=participou da aula | valor=8281
linha=210 | nome=Carlos | acao=analisou os resultados | valor=3710
linha=211 | nome=Otavio | acao=otimizou o algoritmo | valor=9985
linha=212 | nome=Daniela | acao=comparou as metricas | valor=2735
linha=213 | nome=Eduarda | acao=comparou as metricas | valor=6797
linha=214 | nome=Felipe | acao=executou o benchmark | valor=1777
linha=215 | nome=Tiago | acao=participou da aula | valor=5999
linha=216 | nome=Vitor | acao=participou da aula | valor=9802
linha=217 | nome=Mariana | acao=analisou os resultados | valor=1623
linha=218 | nome=Daniela | acao=otimizou o algoritmo | valor=9844
linha=219 | nome=Helena | acao=escreveu o relatorio | valor=9932
linha=220 | nome=Karen | acao=estudou computacao | valor=4743
linha=221 | nome=Lucas | acao=participou da aula | valor=6310
linha=222 | nome=Daniela | acao=fez um experimento | valor=6599
linha=223 | nome=Bruno | acao=escreveu o relatorio | valor=2614
linha=224 | nome=Karen | acao=estudou computacao | valor=4879
linha=225 | nome=Tiago | acao=participou da aula | valor=7738
linha=226 | nome=Natalia | acao=escreveu o relatorio | valor=2778
linha=227 | nome=Otavio | acao=escreveu o relatorio | valor=1094
linha=228 | nome=Carlos | acao=otimizou o algoritmo | valor=3256
linha=229 | nome=Daniela | acao=executou o benchmark | valor=8514
linha=230 | nome=Mariana | acao=otimizou o algoritmo | valor=1040
linha=231 | nome=Eduarda | acao=estudou computacao | valor=6851
linha=232 | nome=Tiago | acao=executou o benchmark | valor=9458
linha=233 | nome=Gabriela | acao=fez um experimento | valor=3210
linha=234 | nome=Sofia | acao=fez um experimento | valor=5914
linha=235 | nome=Eduarda | acao=estudou computacao | valor=5142
linha=236 | nome=Joao | acao=escreveu o relatorio | valor=5252
linha=237 | nome=Lucas | acao=fez um experimento | valor=2196
linha=238 | nome=Mariana | acao=fez um experimento | valor=7001
linha=239 | nome=Felipe | acao=estudou computacao | valor=9763
linha=240 | nome=Carlos | acao=executou o benchmark | valor=7446
linha=241 | nome=Vitor | acao=fez um experimento | valor=5121
linha=242 | nome=Daniela | acao=participou da aula | valor=2724
linha=243 | nome=Helena | acao=escreveu o relatorio | valor=9616
linha=244 | nome=Tiago | acao=executou o benchmark | valor=8001
linha=245 | nome=Ana | acao=comparou as metricas | valor=6893
linha=246 | nome=Vitor | acao=analisou os resultados | valor=7080
linha=247 | nome=Tiago | acao=estudou computacao | valor=6388
linha=248 | nome=Ana | acao=executou o benchmark | valor=2193
linha=249 | nome=Otavio | acao=executou o benchmark | valor=1428
linha=250 | nome=Karen | acao=otimizou o algoritmo | valor=8358
linha=251 | nome=Eduarda | acao=analisou os resultados | valor=9375
linha=252 | nome=Eduarda | acao=escreveu o relatorio | valor=6187
linha=253 | nome=Daniela | acao=estudou computacao | valor=5260
linha=254 | nome=Vitor | acao=comparou as metricas | valor=8703
linha=255 | nome=Karen | acao=estudou computacao | valor=2178
linha=256 | nome=Sofia | acao=escreveu o relatorio | valor=6642
linha=257 | nome=Igor | acao=comparou as metricas | valor=1760
linha=258 | nome=Bruno | acao=fez um experimento | valor=2459
linha=259 | nome=Eduarda | acao=comparou as metricas | valor=9459
linha=260 | nome=Sofia | acao=escreveu o relatorio | valor=8515
linha=261 | nome=Lucas | acao=participou da aula | valor=3518
linha=262 | nome=Paulo | acao=executou o benchmark | valor=2600
linha=263 | nome=Otavio | acao=fez um experimento | valor=8263
linha=264 | nome=Renata | acao=executou o benchmark | valor=5506
linha=265 | nome=Natalia | acao=estudou computacao | valor=9878
linha=266 | nome=Otavio | acao=otimizou o algoritmo | valor=9799
linha=267 | nome=Vitor | acao=comparou as metricas | valor=2828
linha=268 | nome=Natalia | acao=escreveu o relatorio | valor=8316
linha=269 | nome=Joao | acao=comparou as metricas | valor=8871
linha=270 | nome=Bruno | acao=escreveu o relatorio | valor=9968
linha=271 | nome=Sofia | acao=comparou as metricas | valor=7370
linha=272 | nome=Sofia | acao=otimizou o algoritmo | valor=8764
linha=273 | nome=Otavio | acao=escreveu o relatorio | valor=4967
linha=274 | nome=Karen | acao=comparou as metricas | valor=6214
linha=275 | nome=Paulo | acao=comparou as metricas | valor=5445
linha=276 | nome=Otavio | acao=participou da aula | valor=4115
linha=277 | nome=Karen | acao=fez um experimento | valor=2550
linha=278 | nome=Natalia | acao=participou da aula | valor=7726
linha=279 | nome=Mariana | acao=analisou os resultados | valor=8249
linha=280 | nome=Mariana | acao=escreveu o relatorio | valor=5782
linha=281 | nome=Daniela | acao=participou da aula | valor=6727
linha=282 | nome=Joao | acao=otimizou o algoritmo | valor=1418
linha=283 | nome=Joao | acao=otimizou o algoritmo | valor=8497
linha=284 | nome=Vitor | acao=escreveu o relatorio | valor=8076
linha=285 | nome=Mariana | acao=executou o benchmark | valor=9860
linha=286 | nome=Bruno | acao=analisou os resultados | valor=1443
linha=287 | nome=Karen | acao=executou o benchmark | valor=8126
linha=288 | nome=Felipe | acao=participou da aula | valor=5224
linha=289 | nome=Bruno | acao=comparou as metricas | valor=3541
linha=290 | nome=Felipe | acao=executou o benchmark | valor=1323
linha=291 | nome=Natalia | acao=escreveu o relatorio | valor=1777
linha=292 | nome=Lucas | acao=participou da aula | valor=6673
linha=293 | nome=Renata | acao=escreveu o relatorio | valor=6821
linha=294 | nome=Otavio | acao=fez um experimento | valor=6729
linha=295 | nome=Renata | acao=estudou computacao | valor=3716
linha=296 | nome=Lucas | acao=participou da aula | valor=5170
linha=297 | nome=Bruno | acao=otimizou o algoritmo | valor=5425
linha=298 | nome=Ana | acao=otimizou o algoritmo | valor=7926
linha=299 | nome=Gabriela | acao=otimizou o algoritmo | valor=4491
linha=300 | nome=Sofia | acao=comparou as metricas | valor=8036
linha=301 | nome=Joao | acao=otimizou o algoritmo | valor=9365
linha=302 | nome=Joao | acao=estudou computacao | valor=2141
linha=303 | nome=Carlos | acao=estudou computacao | valor=5394
linha=304 | nome=Paulo | acao=executou o benchmark | valor=3560
linha=305 | nome=Helena | acao=executou o benchmark | valor=2724
linha=306 | nome=Eduarda | acao=analisou os resultados | valor=7817
linha=307 | nome=Eduarda | acao=analisou os resultados | valor=2812
linha=308 | nome=Vitor | acao=estudou computacao | valor=7513
linha=309 | nome=Lucas | acao=executou o benchmark | valor=8628
linha=310 | nome=Mariana | acao=participou da aula | valor=8150
linha=311 | nome=Renata | acao=participou da aula | valor=9633
linha=312 | nome=Bruno | acao=comparou as metricas | valor=4953
linha=313 | nome=Karen | acao=estudou computacao | valor=8847
linha=314 | nome=Renata | acao=otimizou o algoritmo | valor=3549
linha=315 | nome=Mariana | acao=fez um experimento | valor=2443
linha=316 | nome=Natalia | acao=analisou os resultados | valor=4769
linha=317 | nome=Karen | acao=otimizou o algoritmo | valor=1446
linha=318 | nome=Tiago | acao=estudou computacao | valor=6833
linha=319 | nome=Paulo | acao=escreveu o relatorio | valor=8164
linha=320 | nome=Helena | acao=escreveu o relatorio | valor=6363
linha=321 | nome=Renata | acao=fez um experimento | valor=3318
linha=322 | nome=Joao | acao=escreveu o relatorio | valor=7969
linha=323 | nome=Renata | acao=executou o benchmark | valor=6117
linha=324 | nome=Mariana | acao=escreveu o relatorio | valor=8240
linha=325 | nome=Gabriela | acao=otimizou o algoritmo | valor=2634
linha=326 | nome=Natalia | acao=executou o benchmark | valor=5807
linha=327 | nome=Carlos | acao=otimizou o algoritmo | valor=6363
linha=328 | nome=Vitor | acao=executou o benchmark | valor=1546
linha=329 | nome=Joao | acao=otimizou o algoritmo | valor=6527
linha=330 | nome=Igor | acao=escreveu o relatorio | valor=7315
linha=331 | nome=Tiago | acao=comparou as metricas | valor=9186
linha=332 | nome=Otavio | acao=comparou as metricas | valor=5313
linha=333 | nome=Joao | acao=analisou os resultados | valor=6766
linha=334 | nome=Natalia | acao=fez um experimento | valor=8917
linha=335 | nome=Renata | acao=participou da aula | valor=9848
linha=336 | nome=Lucas | acao=executou o benchmark | valor=3973
linha=337 | nome=Joao | acao=comparou as metricas | valor=1529
linha=338 | nome=Bruno | acao=participou da aula | valor=8510
linha=339 | nome=Lucas | acao=otimizou o algoritmo | valor=3309
linha=340 | nome=Paulo | acao=fez um experimento | valor=7232
linha=341 | nome=Daniela | acao=comparou as metricas | valor=2181
linha=342 | nome=Paulo | acao=estudou computacao | valor=8492
linha=343 | nome=Paulo | acao=executou o benchmark | valor=5902
linha=344 | nome=Otavio | acao=comparou as metricas | valor=4764
linha=345 | nome=Paulo | acao=escreveu o relatorio | valor=5479
linha=346 | nome=Mariana | acao=escreveu o relatorio | valor=1816
linha=347 | nome=Renata | acao=otimizou o algoritmo | valor=3657
linha=348 | nome=Joao | acao=fez um experimento | valor=6516
linha=349 | nome=Igor | acao=fez um experimento | valor=7497
linha=350 | nome=Renata | acao=escreveu o relatorio | valor=2909
linha=351 | nome=Igor | acao=fez um experimento | valor=4795
linha=352 | nome=Sofia | acao=otimizou o algoritmo | valor=1481
linha=353 | nome=Bruno | acao=executou o benchmark | valor=2996
linha=354 | nome=Mariana | acao=estudou computacao | valor=8687
linha=355 | nome=Daniela | acao=fez um experimento | valor=9750
linha=356 | nome=Lucas | acao=otimizou o algoritmo | valor=1739
linha=357 | nome=Natalia | acao=escreveu o relatorio | valor=7129
linha=358 | nome=Natalia | acao=comparou as metricas | valor=8292
linha=359 | nome=Mariana | acao=executou o benchmark | valor=1430
linha=360 | nome=Mariana | acao=analisou os resultados | valor=2506
linha=361 | nome=Daniela | acao=comparou as metricas | valor=6686
linha=362 | nome=Ana | acao=comparou as metricas | valor=1770
linha=363 | nome=Bruno | acao=analisou os resultados | valor=5727
linha=364 | nome=Igor | acao=analisou os resultados | valor=8829
linha=365 | nome=Igor | acao=executou o benchmark | valor=7659
linha=366 | nome=Sofia | acao=executou o benchmark | valor=1743
linha=367 | nome=Carlos | acao=estudou computacao | valor=1760
linha=368 | nome=Tiago | acao=fez um experimento | valor=3006
linha=369 | nome=Mariana | acao=escreveu o relatorio | valor=4596
linha=370 | nome=Karen | acao=otimizou o algoritmo | valor=2180
linha=371 | nome=Otavio | acao=executou o benchmark | valor=4798
linha=372 | nome=Daniela | acao=participou da aula | valor=6005
linha=373 | nome=Tiago | acao=otimizou o algoritmo | valor=7245
linha=374 | nome=Daniela | acao=analisou os resultados | valor=9823
linha=375 | nome=Daniela | acao=otimizou o algoritmo | valor=6631
linha=376 | nome=Renata | acao=fez um experimento | valor=5436
linha=377 | nome=Helena | acao=otimizou o algoritmo | valor=6988
linha=378 | nome=Otavio | acao=estudou computacao | valor=2437
linha=379 | nome=Paulo | acao=analisou os resultados | valor=2192
linha=380 | nome=Joao | acao=executou o benchmark | valor=4486
linha=381 | nome=Helena | acao=estudou computacao | valor=3573
linha=382 | nome=Sofia | acao=executou o benchmark | valor=8393
linha=383 | nome=Lucas | acao=comparou as metricas | valor=5392
linha=384 | nome=Eduarda | acao=fez um experimento | valor=7400
linha=385 | nome=Mariana | acao=fez um experimento | valor=5910
linha=386 | nome=Otavio | acao=estudou computacao | valor=2940
linha=387 | nome=Felipe | acao=participou da aula | valor=1431
linha=388 | nome=Otavio | acao=comparou as metricas | valor=2216
linha=389 | nome=Joao | acao=estudou computacao | valor=1445
linha=390 | nome=Vitor | acao=otimizou o algoritmo | valor=8023
linha=391 | nome=Daniela | acao=estudou computacao | valor=1528
linha=392 | nome=Bruno | acao=executou o benchmark | valor=3312
linha=393 | nome=Mariana | acao=escreveu o relatorio | valor=8299
linha=394 | nome=Tiago | acao=comparou as metricas | valor=9043
linha=395 | nome=Gabriela | acao=otimizou o algoritmo | valor=3216
linha=396 | nome=Paulo | acao=escreveu o relatorio | valor=2588
linha=397 | nome=Karen | acao=participou da aula | valor=8886
linha=398 | nome=Gabriela | acao=participou da aula | valor=2714
linha=399 | nome=Gabriela | acao=participou da aula | valor=1557
linha=400 | nome=Eduarda | acao=analisou os resultados | valor=5891
linha=401 | nome=Lucas | acao=executou o benchmark | valor=9369
linha=402 | nome=Carlos | acao=executou o benchmark | valor=5481
linha=403 | nome=Mariana | acao=participou da aula | valor=6982
linha=404 | nome=Bruno | acao=participou da aula | valor=2139
linha=405 | nome=Felipe | acao=estudou computacao | valor=8623
linha=406 | nome=Gabriela | acao=fez um experimento | valor=9659
linha=407 | nome=Paulo | acao=participou da aula | valor=8258
linha=408 | nome=Karen | acao=analisou os resultados | valor=1406
linha=409 | nome=Carlos | acao=comparou as metricas | valor=7420
linha=410 | nome=Mariana | acao=participou da aula | valor=2680
linha=411 | nome=Karen | acao=analisou os resultados | valor=4308
linha=412 | nome=Daniela | acao=otimizou o algoritmo | valor=8568
linha=413 | nome=Tiago | acao=analisou os resultados | valor=8313
linha=414 | nome=Gabriela | acao=participou da aula | valor=8374
linha=415 | nome=Tiago | acao=participou da aula | valor=6161
linha=416 | nome=Karen | acao=otimizou o algoritmo | valor=6379
linha=417 | nome=Igor | acao=estudou computacao | valor=1577
linha=418 | nome=Joao | acao=escreveu o relatorio | valor=1271
linha=419 | nome=Bruno | acao=executou o benchmark | valor=2920
linha=420 | nome=Mariana | acao=participou da aula | valor=3956
linha=421 | nome=Gabriela | acao=estudou computacao | valor=1420
linha=422 | nome=Ana | acao=analisou os resultados | valor=9977
linha=423 | nome=Renata | acao=otimizou o algoritmo | valor=4429
linha=424 | nome=Eduarda | acao=executou o benchmark | valor=9736
linha=425 | nome=Felipe | acao=executou o benchmark | valor=6312
linha=426 | nome=Carlos | acao=escreveu o relatorio | valor=8179
linha=427 | nome=Carlos | acao=executou o benchmark | valor=6466
linha=428 | nome=Joao | acao=executou o benchmark | valor=4175
linha=429 | nome=Eduarda | acao=fez um experimento | valor=9014
linha=430 | nome=Carlos | acao=escreveu o relatorio | valor=3708
linha=431 | nome=Vitor | acao=fez um experimento | valor=2698
linha=432 | nome=Joao | acao=executou o benchmark | valor=7817
linha=433 | nome=Felipe | acao=analisou os resultados | valor=9248
linha=434 | nome=Igor | acao=executou o benchmark | valor=3230
linha=435 | nome=Carlos | acao=participou da aula | valor=7514
linha=436 | nome=Joao | acao=estudou computacao | valor=8390
linha=437 | nome=Helena | acao=executou o benchmark | valor=8916
linha=438 | nome=Carlos | acao=analisou os resultados | valor=6488
linha=439 | nome=Igor | acao=fez um experimento | valor=3229
linha=440 | nome=Bruno | acao=analisou os resultados | valor=8327
linha=441 | nome=Igor | acao=otimizou o algoritmo | valor=5197
linha=442 | nome=Gabriela | acao=otimizou o algoritmo | valor=6994
linha=443 | nome=Natalia | acao=fez um experimento | valor=9301
linha=444 | nome=Tiago | acao=otimizou o algoritmo | valor=9331
linha=445 | nome=Ana | acao=escreveu o relatorio | valor=3911
linha=446 | nome=Helena | acao=estudou computacao | valor=2002
linha=447 | nome=Helena | acao=otimizou o algoritmo | valor=9873
linha=448 | nome=Felipe | acao=executou o benchmark | valor=4134
linha=449 | nome=Ana | acao=estudou computacao | valor=8309
linha=450 | nome=Lucas | acao=analisou os resultados | valor=1004
linha=451 | nome=Natalia | acao=escreveu o relatorio | valor=3272
