linha=1 | nome=Joao | acao=comparou as metricas | valor=7931
linha=165 | nome=Sofia | acao=comparou as metricas | valor=2384
linha=166 | nome=Carlos | acao=fez um experimento | valor=1245
linha=167 | nome=Gabriela | acao=comparou as metricas | valor=5014
linha=168 | nome=Tiago | acao=participou da aula | valor=3429
linha=169 | nome=Otavio | acao=participou da aula | valor=9854
linha=170 | nome=Renata | acao=comparou as metricas | valor=1023
linha=171 | nome=Carlos | acao=analisou os resultados | valor=2430
linha=172 | nome=Otavio | acao=analisou os resultados | valor=5100
linha=173 | nome=Vitor | acao=estudou computacao | valor=1425
linha=174 | nome=Igor | acao=analisou os resultados | valor=5218
linha=175 | nome=Joao | acao=estudou computacao | valor=5835
linha=176 | nome=Renata | acao=fez um experimento | valor=5046
linha=177 | nome=Sofia | acao=analisou os resultados | valor=4829
linha=178 | nome=Felipe | acao=estudou computacao | valor=5548
linha=179 | nome=Karen | acao=comparou as metricas | valor=2692
linha=180 | nome=Lucas | acao=otimizou o algoritmo | valor=8671
linha=181 | nome=Daniela | acao=fez um experimento | valor=6188
linha=182 | nome=Tiago | acao=executou o benchmark | valor=9294
linha=183 | nome=Natalia | acao=comparou as metricas | valor=6662
linha=184 | nome=Daniela | acao=executou o benchmark | valor=1889
linha=185 | nome=Mariana | acao=comparou as metricas | valor=6548
linha=186 | nome=Sofia | acao=comparou as metricas | valor=6915
linha=187 | nome=Otavio | acao=fez um experimento | valor=1526
linha=188 | nome=Ana | acao=fez um experimento | valor=9816
linha=189 | nome=Helena | acao=analisou os resultados | valor=7618
linha=190 | nome=Lucas | acao=escreveu o relatorio | valor=6058
linha=191 | nome=Tiago | acao=executou o benchmark | valor=6369
linha=192 | nome=Igor | acao=escreveu o relatorio | valor=8407
linha=193 | nome=Natalia | acao=otimizou o algoritmo | valor=8869
linha=194 | nome=Felipe | acao=executou o benchmark | valor=2837
linha=195 | nome=Karen | acao=analisou os resultados | valor=7256
linha=196 | nome=Lucas | acao=escreveu o relatorio | valor=9170
linha=197 | nome=Eduarda | acao=otimizou o algoritmo | valor=5204
linha=198 | nome=Tiago | acao=comparou as metricas | valor=1580
linha=199 | nome=Karen | acao=analisou os resultados | valor=8626
linha=200 | nome=Sofia | acao=fez um experimento | valor=9204
linha=201 | nome=Otavio | acao=analisou os resultados | valor=2660
linha=202 | nome=Felipe | acao=escreveu o relatorio | valor=1600
linha=203 | nome=Sofia | acao=executou o benchmark | valor=7718
linha=204 | nome=Eduarda | acao=comparou as metricas | valor=4755
linha=205 | nome=Paulo | acao=otimizou o algoritmo | valor=2183
linha=206 | nome=Daniela | acao=executou o benchmark | valor=1728
linha=207 | nome=Joao | acao=participou da aula | valor=6513
linha=208 | nome=Mariana | acao=escreveu o relatorio | valor=2200
linha=209 | nome=Mariana | acao=participou da aula | valor=2178
linha=210 | nome=Eduarda | acao=escreveu o relatorio | valor=1498
linha=211 | nome=Sofia | acao=fez um experimento | valor=1562
linha=212 | nome=Otavio | acao=otimizou o algoritmo | valor=6448
linha=213 | nome=Lucas | acao=executou o benchmark | valor=5131
linha=214 | nome=Gabriela | acao=analisou os resultados | valor=3932
linha=215 | nome=Sofia | acao=comparou as metricas | valor=7157
linha=216 | nome=Daniela | acao=estudou computacao | valor=9003
linha=217 | nome=Eduarda | acao=comparou as metricas | valor=2655
linha=218 | nome=Vitor | acao=analisou os resultados | valor=4679
linha=219 | nome=Felipe | acao=participou da aula | valor=3410
linha=220 | nome=Paulo | acao=comparou as metricas | valor=2919
linha=221 | nome=Otavio | acao=estudou computacao | valor=6287
linha=222 | nome=Lucas | acao=escreveu o relatorio | valor=4772
linha=223 | nome=Daniela | acao=otimizou o algoritmo | valor=3490
linha=224 | nome=Helena | acao=fez um experimento | valor=9546
linha=225 | nome=Tiago | acao=comparou as metricas | valor=9752
linha=226 | nome=Tiago | acao=comparou as metricas | valor=5764
linha=227 | nome=Tiago | acao=comparou as metricas | valor=7525
linha=228 | nome=Otavio | acao=analisou os resultados | valor=6914
linha=229 | nome=Helena | acao=fez um experimento | valor=6348
linha=230 | nome=Carlos | acao=executou o benchmark | valor=9419
linha=231 | nome=Sofia | acao=escreveu o relatorio | valor=3639
linha=232 | nome=Otavio | acao=otimizou o algoritmo | valor=4590
linha=233 | nome=Mariana | acao=participou da aula | valor=1265
linha=234 | nome=Joao | acao=fez um experimento | valor=4351
linha=235 | nome=Otavio | acao=escreveu o relatorio | valor=4634
linha=236 | nome=Natalia | acao=executou o benchmark | valor=2236
linha=237 | nome=Felipe | acao=comparou as metricas | valor=7010
linha=238 | nome=Paulo | acao=comparou as metricas | valor=4380
linha=239 | nome=Mariana | acao=participou da aula | valor=6784
linha=240 | nome=Vitor | acao=otimizou o algoritmo | valor=9333
linha=241 | nome=Ana | acao=otimizou o algoritmo | valor=9483
linha=242 | nome=Eduarda | acao=escreveu o relatorio | valor=7526
linha=243 | nome=Natalia | acao=executou o benchmark | valor=4149
linha=244 | nome=Renata | acao=analisou os resultados | valor=4225
linha=245 | nome=Helena | acao=analisou os resultados | valor=4838
linha=246 | nome=Natalia | acao=estudou computacao | valor=5142
linha=247 | nome=Sofia | acao=estudou computacao | valor=5693
linha=248 | nome=Karen | acao=executou o benchmark | valor=7636
linha=249 | nome=Lucas | acao=analisou os resultados | valor=7798
linha=250 | nome=Paulo | acao=executou o benchmark | valor=2355
linha=251 | nome=Daniela | acao=fez um experimento | valor=2062
linha=252 | nome=Mariana | acao=comparou as metricas | valor=2399
linha=253 | nome=Igor | acao=comparou as metricas | valor=1771
linha=254 | nome=Otavio | acao=fez um experimento | valor=8780
linha=255 | nome=Otavio | acao=otimizou o algoritmo | valor=4645
linha=256 | nome=Natalia | acao=participou da aula | valor=4413
linha=257 | nome=Mariana | acao=analisou os resultados | valor=4348
linha=258 | nome=Mariana | acao=escreveu o relatorio | valor=3568
linha=259 | nome=Paulo | acao=fez um experimento | valor=3125
linha=260 | nome=Paulo | acao=fez um experimento | valor=4022
linha=261 | nome=Tiago | acao=participou da aula | valor=3546
linha=262 | nome=Eduarda | acao=participou da aula | valor=3008
linha=263 | nome=Karen | acao=participou da aula | valor=1461
linha=264 | nome=Otavio | acao=otimizou o algoritmo | valor=2225
linha=265 | nome=Sofia | acao=participou da aula | valor=9313
linha=266 | nome=Natalia | acao=escreveu o relatorio | valor=6909
linha=267 | nome=Vitor | acao=executou o benchmark | valor=4798
linha=268 | nome=Tiago | acao=executou o benchmark | valor=6691
linha=269 | nome=Mariana | acao=participou da aula | valor=6647
linha=270 | nome=Lucas | acao=otimizou o algoritmo | valor=5618
linha=271 | nome=Karen | acao=escreveu o relatorio | valor=2351
linha=272 | nome=Helena | acao=estudou computacao | valor=6502
linha=273 | nome=Natalia | acao=analisou os resultados | valor=2615
linha=274 | nome=Sofia | acao=analisou os resultados | valor=7976
linha=275 | nome=Bruno | acao=executou o benchmark | valor=4686
linha=276 | nome=Bruno | acao=participou da aula | valor=5027
linha=277 | nome=Bruno | acao=fez um experimento | valor=3105
linha=278 | nome=Renata | acao=estudou computacao | valor=9464
linha=279 | nome=Gabriela | acao=otimizou o algoritmo | valor=4629
linha=280 | nome=Ana | acao=fez um experimento | valor=1737
linha=281 | nome=Daniela | acao=participou da aula | valor=3319
linha=282 | nome=Daniela | acao=executou o benchmark | valor=3349
linha=283 | nome=Paulo | acao=estudou computacao | valor=4288
linha=284 | nome=Lucas | acao=executou o benchmark | valor=1549
linha=285 | nome=Sofia | acao=fez um experimento | valor=8294
linha=286 | nome=Carlos | acao=otimizou o algoritmo | valor=7301
linha=287 | nome=Vitor | acao=comparou as metricas | valor=8680
linha=288 | nome=Ana | acao=fez um experimento | valor=5350
linha=289 | nome=Felipe | acao=executou o benchmark | valor=5577
linha=290 | nome=Ana | acao=executou o benchmark | valor=6228
linha=291 | nome=Daniela | acao=executou o benchmark | valor=6110
linha=292 | nome=Helena | acao=estudou computacao | valor=1078
linha=293 | nome=Karen | acao=executou o benchmark | valor=1036
linha=294 | nome=Paulo | acao=analisou os resultados | valor=5631
linha=295 | nome=Mariana | acao=escreveu o relatorio | valor=1418
linha=296 | nome=Bruno | acao=participou da aula | valor=7171
linha=297 | nome=Renata | acao=executou o benchmark | valor=5381
linha=298 | nome=Sofia | acao=analisou os resultados | valor=3498
linha=299 | nome=Renata | acao=estudou computacao | valor=8594
linha=300 | nome=Igor | acao=participou da aula | valor=6827
linha=301 | nome=Vitor | acao=analisou os resultados | valor=2310
linha=302 | nome=Renata | acao=escreveu o relatorio | valor=5631
linha=303 | nome=Tiago | acao=participou da aula | valor=2727
linha=304 | nome=Helena | acao=analisou os resultados | valor=8850
linha=305 | nome=Ana | acao=analisou os resultados | valor=8614
linha=306 | nome=Ana | acao=participou da aula | valor=6700
linha=307 | nome=Sofia | acao=escreveu o relatorio | valor=6345
linha=308 | nome=Daniela | acao=comparou as metricas | valor=4880
linha=309 | nome=Mariana | acao=executou o benchmark | valor=1934
linha=310 | nome=Ana | acao=escreveu o relatorio | valor=6782
linha=311 | nome=Bruno | acao=analisou os resultados | valor=9619
linha=312 | nome=Mariana | acao=escreveu o relatorio | valor=4712
linha=313 | nome=Otavio | acao=estudou computacao | valor=4367
linha=314 | nome=Gabriela | acao=executou o benchmark | valor=9447
linha=315 | nome=Carlos | acao=comparou as metricas | valor=9196
linha=316 | nome=Lucas | acao=comparou as metricas | valor=6101
linha=317 | nome=Mariana | acao=participou da aula | valor=1958
linha=318 | nome=Vitor | acao=comparou as metricas | valor=8503
linha=319 | nome=Sofia | acao=comparou as metricas | valor=3191
linha=320 | nome=Paulo | acao=participou da aula | valor=9530
linha=321 | nome=Otavio | acao=fez um experimento | valor=4434
linha=322 | nome=Renata | acao=estudou computacao | valor=9249
linha=323 | nome=Ana | acao=comparou as metricas | valor=6585
linha=324 | nome=Tiago | acao=comparou as metricas | valor=4201
linha=325 | nome=Natalia | acao=comparou as metricas | valor=5800
linha=326 | nome=Daniela | acao=fez um experimento | valor=9362
linha=327 | nome=Igor | acao=comparou as metricas | valor=5517
linha=328 | nome=Karen | acao=fez um experimento | valor=6378
linha=329 | nome=Otavio | acao=executou o benchmark | valor=6087
linha=330 | nome=Daniela | acao=executou o benchmark | valor=8984
linha=331 | nome=Eduarda | acao=comparou as metricas | valor=1473
linha=332 | nome=Felipe | acao=escreveu o relatorio | valor=2329
linha=333 | nome=Karen | acao=participou da aula | valor=6021
linha=334 | nome=Vitor | acao=executou o benchmark | valor=1804
linha=335 | nome=Otavio | acao=participou da aula | valor=4526
linha=336 | nome=Carlos | acao=comparou as metricas | valor=3481
linha=337 | nome=Gabriela | acao=estudou computacao | valor=9458
linha=338 | nome=Sofia | acao=fez um experimento | valor=1707
linha=339 | nome=Mariana | acao=analisou os resultados | valor=8320
linha=340 | nome=Renata | acao=participou da aula | valor=1047
linha=341 | nome=Joao | acao=otimizou o algoritmo | valor=7587
linha=342 | nome=Karen | acao=fez um experimento | valor=4486
linha=343 | nome=Carlos | acao=comparou as metricas | valor=2531
linha=344 | nome=Vitor | acao=otimizou o algoritmo | valor=4082
linha=345 | nome=Otavio | acao=executou o benchmark | valor=1980
linha=346 | nome=Igor | acao=participou da aula | valor=8515
linha=347 | nome=Sofia | acao=fez um experimento | valor=3816
linha=348 | nome=Eduarda | acao=participou da aula | valor=9079
linha=349 | nome=Carlos | acao=participou da aula | valor=9554
linha=350 | nome=Igor | acao=fez um experimento | valor=3795
linha=351 | nome=Ana | acao=comparou as metricas | valor=3043
linha=352 | nome=Daniela | acao=fez um experimento | valor=7226
linha=353 | nome=Helena | acao=otimizou o algoritmo | valor=3636
linha=354 | nome=Vitor | acao=comparou as metricas | valor=3587
linha=355 | nome=Sofia | acao=executou o benchmark | valor=8218
linha=356 | nome=Renata | acao=analisou os resultados | valor=7527
linha=357 | nome=Gabriela | acao=comparou as metricas | valor=6214
linha=358 | nome=Karen | acao=participou da aula | valor=2607
linha=359 | nome=Gabriela | acao=comparou as metricas | valor=5427
linha=360 | nome=Daniela | acao=fez um experimento | valor=4768
linha=361 | nome=Paulo | acao=executou o benchmark | valor=3786
linha=362 | nome=Joao | acao=fez um experimento | valor=3832
linha=363 | nome=Lucas | acao=participou da aula | valor=9722
linha=364 | nome=Gabriela | acao=executou o benchmark | valor=4695
linha=365 | nome=Ana | acao=fez um experimento | valor=1539
linha=366 | nome=Renata | acao=escreveu o relatorio | valor=2399
linha=367 | nome=Tiago | acao=estudou computacao | valor=8301
linha=368 | nome=Joao | acao=otimizou o algoritmo | valor=1236
linha=369 | nome=Joao | acao=analisou os resultados | valor=3111
linha=370 | nome=Helena | acao=otimizou o algoritmo | valor=7803
linha=371 | nome=Tiago | acao=estudou computacao | valor=7014
linha=372 | nome=Natalia | acao=escreveu o relatorio | valor=3097
linha=373 | nome=Paulo | acao=comparou as metricas | valor=5319
linha=374 | nome=Carlos | acao=executou o benchmark | valor=6037
linha=375 | nome=Natalia | acao=fez um experimento | valor=6229
linha=376 | nome=Karen | acao=escreveu o relatorio | valor=5969
linha=377 | nome=Karen | acao=estudou computacao | valor=5574
linha=378 | nome=Ana | acao=fez um experimento | valor=8364
linha=379 | nome=Mariana | acao=analisou os resultados | valor=3863
linha=380 | nome=Karen | acao=escreveu o relatorio | valor=8608
linha=381 | nome=Eduarda | acao=analisou os resultados | valor=2179
linha=382 | nome=Eduarda | acao=analisou os resultados | valor=8642
linha=383 | nome=Joao | acao=executou o benchmark | valor=3775
linha=384 | nome=Otavio | acao=executou o benchmark | valor=6348
linha=385 | nome=Joao | acao=analisou os resultados | valor=8037
linha=386 | nome=Eduarda | acao=participou da aula | valor=2926
linha=387 | nome=Sofia | acao=executou o benchmark | valor=5695
linha=388 | nome=Sofia | acao=fez um experimento | valor=4354
linha=389 | nome=Gabriela | acao=escreveu o relatorio | valor=7650
linha=390 | nome=Paulo | acao=participou da aula | valor=9684
linha=391 | nome=Lucas | acao=participou da aula | valor=2290
linha=392 | nome=Joao | acao=escreveu o relatorio | valor=2980
linha=393 | nome=Lucas | acao=analisou os resultados | valor=7171
linha=394 | nome=Eduarda | acao=escreveu o relatorio | valor=8439
linha=395 | nome=Joao | acao=participou da aula | valor=9280
linha=396 | nome=Karen | acao=escreveu o relatorio | valor=5359
linha=397 | nome=Mariana | acao=analisou os resultados | valor=6063
linha=398 | nome=Tiago | acao=fez um experimento | valor=9862
linha=399 | nome=Vitor | acao=participou da aula | valor=7434
linha=400 | nome=Renata | acao=otimizou o algoritmo | valor=4647
linha=401 | nome=Lucas | acao=comparou as metricas | valor=3127
linha=402 | nome=Paulo | acao=analisou os resultados | valor=9483
linha=403 | nome=Karen | acao=participou da aula | valor=5386
linha=404 | nome=Renata | acao=otimizou o algoritmo | valor=5378
linha=405 | nome=Lucas | acao=fez um experimento | valor=9879
linha=406 | nome=Renata | acao=analisou os resultados | valor=9020
linha=407 | nome=Eduarda | acao=otimizou o algoritmo | valor=8118
linha=408 | nome=Eduarda | acao=estudou computacao | valor=5286
linha=409 | nome=Karen | acao=analisou os resultados | valor=7735
linha=410 | nome=Vitor | acao=fez um experimento | valor=3563
linha=411 | nome=Tiago | acao=executou o benchmark | valor=3599
linha=412 | nome=Gabriela | acao=analisou os resultados | valor=1969
linha=413 | nome=Lucas | acao=comparou as metricas | valor=6536
linha=414 | nome=Karen | acao=escreveu o relatorio | valor=4685
linha=415 | nome=Mariana | acao=escreveu o relatorio | valor=6480
linha=416 | nome=Carlos | acao=estudou computacao | valor=5747
linha=417 | nome=Mariana | acao=comparou as metricas | valor=4169
linha=418 | nome=Otavio | acao=fez um experimento | valor=5124
linha=419 | nome=Eduarda | acao=analisou os resultados | valor=8463
linha=420 | nome=Daniela | acao=fez um experimento | valor=6572
linha=421 | nome=Natalia | acao=escreveu o relatorio | valor=5366
linha=422 | nome=Otavio | acao=comparou as metricas | valor=9614
linha=423 | nome=Igor | acao=escreveu o relatorio | valor=2179
linha=424 | nome=Igor | acao=participou da aula | valor=7992
linha=425 | nome=Joao | acao=estudou computacao | valor=9448
linha=426 | nome=Ana | acao=escreveu o relatorio | valor=1789
linha=427 | nome=Helena | acao=escreveu o relatorio | valor=2724
linha=428 | nome=Karen | acao=participou da aula | valor=3600
linha=429 | nome=Igor | acao=executou o benchmark | valor=7607
linha=430 | nome=Daniela | acao=fez um experimento | valor=6444
linha=431 | nome=Joao | acao=fez um experimento | valor=8777
linha=432 | nome=Joao | acao=estudou computacao | valor=4998
linha=433 | nome=Daniela | acao=otimizou o algoritmo | valor=2026
linha=434 | nome=Helena | acao=participou da aula | valor=6794
linha=435 | nome=Karen | acao=escreveu o relatorio | valor=9507
linha=436 | nome=Mariana | acao=escreveu o relatorio | valor=8412
linha=437 | nome=Lucas | acao=comparou as metricas | valor=6879
linha=438 | nome=Otavio | acao=escreveu o relatorio | valor=3478
linha=439 | nome=Karen | acao=estudou computacao | valor=8151
linha=440 | nome=Karen | acao=escreveu o relatorio | valor=7201
linha=441 | nome=Ana | acao=estudou computacao | valor=1999
linha=442 | nome=Lucas | acao=comparou as metricas | valor=6343
linha=443 | nome=Mariana | acao=estudou computacao | valor=8970
linha=444 | nome=Carlos | acao=fez um experimento | valor=1057
linha=445 | nome=Gabriela | acao=otimizou o algoritmo | valor=4786
linha=446 | nome=Felipe | acao=escreveu o relatorio | valor=1238
linha=447 | nome=Felipe | acao=escreveu o relatorio | valor=5110
linha=448 | nome=Eduarda | acao=comparou as metricas | valor=7928
linha=449 | nome=Paulo | acao=participou da aula | valor=6160
linha=450 | nome=Otavio | acao=estudou computacao | valor=6706
linha=451 | nome=Renata | acao=comparou as metricas | valor=3713
linha=452 | nome=Paulo | acao=estudou computacao | valor=3498
linha=453 | nome=Igor | acao=participou da aula | valor=6336
