linha=1 | nome=Sofia | acao=estudou computacao | valor=7362
linha=115 | nome=Lucas | acao=fez um experimento | valor=4520
linha=116 | nome=Vitor | acao=escreveu o relatorio | valor=5183
linha=117 | nome=Daniela | acao=comparou as metricas | valor=9850
linha=118 | nome=Natalia | acao=estudou computacao | valor=1820
linha=119 | nome=Otavio | acao=analisou os resultados | valor=6824
linha=120 | nome=Mariana | acao=estudou computacao | valor=2483
linha=121 | nome=Otavio | acao=analisou os resultados | valor=8949
linha=122 | nome=Helena | acao=fez um experimento | valor=4342
linha=123 | nome=Daniela | acao=executou o benchmark | valor=4109
linha=124 | nome=Ana | acao=participou da aula | valor=2420
linha=125 | nome=Tiago | acao=participou da aula | valor=9333
linha=126 | nome=Bruno | acao=analisou os resultados | valor=3410
linha=127 | nome=Mariana | acao=executou o benchmark | valor=8779
linha=128 | nome=Igor | acao=fez um experimento | valor=7395
linha=129 | nome=Bruno | acao=comparou as metricas | valor=4867
linha=130 | nome=Gabriela | acao=executou o benchmark | valor=6386
linha=131 | nome=Felipe | acao=analisou os resultados | valor=9048
linha=132 | nome=Mariana | acao=comparou as metricas | valor=6965
linha=133 | nome=Helena | acao=fez um experimento | valor=9111
linha=134 | nome=Otavio | acao=analisou os resultados | valor=9451
linha=135 | nome=Igor | acao=escreveu o relatorio | valor=2176
linha=136 | nome=Mariana | acao=executou o benchmark | valor=8926
linha=137 | nome=Lucas | acao=escreveu o relatorio | valor=8523
linha=138 | nome=Igor | acao=participou da aula | valor=1994
linha=139 | nome=Tiago | acao=fez um experimento | valor=2098
linha=140 | nome=Gabriela | acao=executou o benchmark | valor=3704
linha=141 | nome=Tiago | acao=fez um experimento | valor=7912
linha=142 | nome=Tiago | acao=participou da aula | valor=6016
linha=143 | nome=Igor | acao=participou da aula | valor=3633
linha=144 | nome=Joao | acao=escreveu o relatorio | valor=1046
linha=145 | nome=Eduarda | acao=executou o benchmark | valor=7817
linha=146 | nome=Felipe | acao=fez um experimento | valor=5505
linha=147 | nome=Sofia | acao=analisou os resultados | valor=2018
linha=148 | nome=Gabriela | acao=participou da aula | valor=7104
linha=149 | nome=Paulo | acao=otimizou o algoritmo | valor=3968
linha=150 | nome=Daniela | acao=escreveu o relatorio | valor=2435
linha=151 | nome=Eduarda | acao=executou o benchmark | valor=3578
linha=152 | nome=Renata | acao=executou o benchmark | valor=4700
linha=153 | nome=Sofia | acao=comparou as metricas | valor=9982
linha=154 | nome=Tiago | acao=comparou as metricas | valor=5774
linha=155 | nome=Lucas | acao=escreveu o relatorio | valor=9162
linha=156 | nome=Sofia | acao=analisou os resultados | valor=5311
linha=157 | nome=Tiago | acao=fez um experimento | valor=7530
linha=158 | nome=Karen | acao=executou o benchmark | valor=4870
linha=159 | nome=Daniela | acao=otimizou o algoritmo | valor=1884
linha=160 | nome=Helena | acao=escreveu o relatorio | valor=1269
linha=161 | nome=Mariana | acao=escreveu o relatorio | valor=5034
linha=162 | nome=Mariana | acao=analisou os resultados | valor=1614
linha=163 | nome=Otavio | acao=escreveu o relatorio | valor=4241
linha=164 | nome=Felipe | acao=estudou computacao | valor=2807
linha=165 | nome=Felipe | acao=estudou computacao | valor=3898
linha=166 | nome=Vitor | acao=analisou os resultados | valor=5672
linha=167 | nome=Mariana | acao=comparou as metricas | valor=2403
linha=168 | nome=Otavio | acao=escreveu o relatorio | valor=6369
linha=169 | nome=Mariana | acao=comparou as metricas | valor=1822
linha=170 | nome=Karen | acao=participou da aula | valor=4977
linha=171 | nome=Mariana | acao=fez um experimento | valor=2031
linha=172 | nome=Carlos | acao=executou o benchmark | valor=8742
linha=173 | nome=Natalia | acao=executou o benchmark | valor=2831
linha=174 | nome=Eduarda | acao=fez um experimento | valor=8820
linha=175 | nome=Tiago | acao=executou o benchmark | valor=4057
linha=176 | nome=Mariana | acao=executou o benchmark | valor=3305
linha=177 | nome=Joao | acao=participou da aula | valor=1266
linha=178 | nome=Mariana | acao=executou o benchmark | valor=3812
linha=179 | nome=Paulo | acao=comparou as metricas | valor=5296
linha=180 | nome=Tiago | acao=analisou os resultados | valor=6284
linha=181 | nome=Renata | acao=otimizou o algoritmo | valor=4780
linha=182 | nome=Bruno | acao=executou o benchmark | valor=5129
linha=183 | nome=Lucas | acao=fez um experimento | valor=2873
linha=184 | nome=Paulo | acao=analisou os resultados | valor=7651
linha=185 | nome=Natalia | acao=participou da aula | valor=3513
linha=186 | nome=Paulo | acao=fez um experimento | valor=8411
linha=187 | nome=Paulo | acao=participou da aula | valor=7872
linha=188 | nome=Lucas | acao=executou o benchmark | valor=3025
linha=189 | nome=Gabriela | acao=estudou computacao | valor=6138
linha=190 | nome=Tiago | acao=comparou as metricas | valor=7747
linha=191 | nome=Lucas | acao=escreveu o relatorio | valor=7904
linha=192 | nome=Ana | acao=estudou computacao | valor=1124
linha=193 | nome=Eduarda | acao=escreveu o relatorio | valor=3384
linha=194 | nome=Daniela | acao=estudou computacao | valor=6835
linha=195 | nome=Carlos | acao=escreveu o relatorio | valor=1547
linha=196 | nome=Felipe | acao=otimizou o algoritmo | valor=8286
linha=197 | nome=Paulo | acao=analisou os resultados | valor=6411
linha=198 | nome=Vitor | acao=otimizou o algoritmo | valor=5534
linha=199 | nome=Helena | acao=participou da aula | valor=4327
linha=200 | nome=Bruno | acao=executou o benchmark | valor=7155
linha=201 | nome=Joao | acao=analisou os resultados | valor=5199
linha=202 | nome=Eduarda | acao=estudou computacao | valor=6795
linha=203 | nome=Eduarda | acao=participou da aula | valor=9640
linha=204 | nome=Renata | acao=executou o benchmark | valor=7044
linha=205 | nome=Karen | acao=fez um experimento | valor=3677
linha=206 | nome=Gabriela | acao=participou da aula | valor=2170
linha=207 | nome=Vitor | acao=fez um experimento | valor=5896
linha=208 | nome=Bruno | acao=comparou as metricas | valor=5370
linha=209 | nome=Vitor | acao=fez um experimento | valor=3859
linha=210 | nome=Natalia | acao=estudou computacao | valor=2686
linha=211 | nome=Otavio | acao=escreveu o relatorio | valor=1976
linha=212 | nome=Lucas | acao=participou da aula | valor=7527
linha=213 | nome=Bruno | acao=executou o benchmark | valor=1441
linha=214 | nome=Karen | acao=executou o benchmark | valor=6281
linha=215 | nome=Karen | acao=otimizou o algoritmo | valor=2801
linha=216 | nome=Felipe | acao=participou da aula | valor=5815
linha=217 | nome=Joao | acao=fez um experimento | valor=4352
linha=218 | nome=Mariana | acao=analisou os resultados | valor=9773
linha=219 | nome=Helena | acao=otimizou o algoritmo | valor=2019
linha=220 | nome=Felipe | acao=fez um experimento | valor=5765
linha=221 | nome=Tiago | acao=otimizou o algoritmo | valor=8944
linha=222 | nome=Sofia | acao=participou da aula | valor=1007
linha=223 | nome=Mariana | acao=participou da aula | valor=7432
linha=224 | nome=Gabriela | acao=fez um experimento | valor=8800
linha=225 | nome=Paulo | acao=analisou os resultados | valor=1254
linha=226 | nome=Lucas | acao=comparou as metricas | valor=5287
linha=227 | nome=Lucas | acao=executou o benchmark | valor=3782
linha=228 | nome=Renata | acao=analisou os resultados | valor=1509
linha=229 | nome=Felipe | acao=otimizou o algoritmo | valor=3088
linha=230 | nome=Lucas | acao=escreveu o relatorio | valor=8899
linha=231 | nome=Mariana | acao=executou o benchmark | valor=4792
linha=232 | nome=Felipe | acao=otimizou o algoritmo | valor=1086
linha=233 | nome=Felipe | acao=estudou computacao | valor=5543
linha=234 | nome=Carlos | acao=participou da aula | valor=7130
linha=235 | nome=Lucas | acao=executou o benchmark | valor=3928
linha=236 | nome=Karen | acao=participou da aula | valor=6073
linha=237 | nome=Igor | acao=comparou as metricas | valor=8447
linha=238 | nome=Lucas | acao=analisou os resultados | valor=4597
linha=239 | nome=Lucas | acao=escreveu o relatorio | valor=5386
linha=240 | nome=Helena | acao=comparou as metricas | valor=1285
linha=241 | nome=Daniela | acao=escreveu o relatorio | valor=1734
linha=242 | nome=Felipe | acao=comparou as metricas | valor=5232
linha=243 | nome=Tiago | acao=analisou os resultados | valor=1231
linha=244 | nome=Karen | acao=otimizou o algoritmo | valor=3694
linha=245 | nome=Paulo | acao=escreveu o relatorio | valor=9998
linha=246 | nome=Vitor | acao=participou da aula | valor=7391
linha=247 | nome=Lucas | acao=analisou os resultados | valor=3980
linha=248 | nome=Vitor | acao=fez um experimento | valor=5576
linha=249 | nome=Felipe | acao=estudou computacao | valor=7488
linha=250 | nome=Ana | acao=estudou computacao | valor=4933
linha=251 | nome=Lucas | acao=participou da aula | valor=3671
linha=252 | nome=Tiago | acao=executou o benchmark | valor=6712
linha=253 | nome=Lucas | acao=comparou as metricas | valor=9576
linha=254 | nome=Tiago | acao=executou o benchmark | valor=2439
linha=255 | nome=Renata | acao=participou da aula | valor=8374
linha=256 | nome=Natalia | acao=fez um experimento | valor=2143
linha=257 | nome=Renata | acao=otimizou o algoritmo | valor=6222
linha=258 | nome=Gabriela | acao=otimizou o algoritmo | valor=5997
linha=259 | nome=Vitor | acao=otimizou o algoritmo | valor=3587
linha=260 | nome=Igor | acao=comparou as metricas | valor=6896
linha=261 | nome=Paulo | acao=comparou as metricas | valor=9616
linha=262 | nome=Carlos | acao=escreveu o relatorio | valor=3145
linha=263 | nome=Gabriela | acao=fez um experimento | valor=1743
linha=264 | nome=Otavio | acao=fez um experimento | valor=7370
linha=265 | nome=Paulo | acao=escreveu o relatorio | valor=2657
linha=266 | nome=Felipe | acao=executou o benchmark | valor=9873
linha=267 | nome=Daniela | acao=fez um experimento | valor=5594
linha=268 | nome=Otavio | acao=executou o benchmark | valor=5064
linha=269 | nome=Felipe | acao=executou o benchmark | valor=6837
linha=270 | nome=Vitor | acao=comparou as metricas | valor=2966
linha=271 | nome=Mariana | acao=executou o benchmark | valor=9668
linha=272 | nome=Sofia | acao=escreveu o relatorio | valor=8716
linha=273 | nome=Paulo | acao=analisou os resultados | valor=6421
linha=274 | nome=Joao | acao=comparou as metricas | valor=8376
linha=275 | nome=Helena | acao=comparou as metricas | valor=1122
linha=276 | nome=Daniela | acao=fez um experimento | valor=5459
linha=277 | nome=Sofia | acao=otimizou o algoritmo | valor=8649
linha=278 | nome=Ana | acao=analisou os resultados | valor=1410
linha=279 | nome=Joao | acao=fez um experimento | valor=5392
linha=280 | nome=Felipe | acao=escreveu o relatorio | valor=2011
linha=281 | nome=Helena | acao=participou da aula | valor=8702
linha=282 | nome=Carlos | acao=escreveu o relatorio | valor=2343
linha=283 | nome=Eduarda | acao=fez um experimento | valor=1648
linha=284 | nome=Mariana | acao=comparou as metricas | valor=9621
linha=285 | nome=Felipe | acao=analisou os resultados | valor=1344
linha=286 | nome=Renata | acao=estudou computacao | valor=7735
linha=287 | nome=Daniela | acao=otimizou o algoritmo | valor=7977
linha=288 | nome=Lucas | acao=comparou as metricas | valor=6519
linha=289 | nome=Eduarda | acao=executou o benchmark | valor=3612
linha=290 | nome=Bruno | acao=participou da aula | valor=6143
linha=291 | nome=Felipe | acao=participou da aula | valor=9671
linha=292 | nome=Mariana | acao=comparou as metricas | valor=1987
linha=293 | nome=Lucas | acao=estudou computacao | valor=3479
linha=294 | nome=Daniela | acao=executou o benchmark | valor=1091
linha=295 | nome=Carlos | acao=comparou as metricas | valor=4959
linha=296 | nome=Mariana | acao=executou o benchmark | valor=5709
linha=297 | nome=Sofia | acao=otimizou o algoritmo | valor=3567
linha=298 | nome=Mariana | acao=analisou os resultados | valor=9691
linha=299 | nome=Lucas | acao=fez um experimento | valor=8128
linha=300 | nome=Mariana | acao=participou da aula | valor=1890
linha=301 | nome=Karen | acao=fez um experimento | valor=4533
linha=302 | nome=Carlos | acao=participou da aula | valor=2875
linha=303 | nome=Lucas | acao=comparou as metricas | valor=7962
linha=304 | nome=Karen | acao=analisou os resultados | valor=7560
linha=305 | nome=Otavio | acao=fez um experimento | valor=8020
linha=306 | nome=Mariana | acao=otimizou o algoritmo | valor=2529
linha=307 | nome=Lucas | acao=otimizou o algoritmo | valor=3983
linha=308 | nome=Helena | acao=analisou os resultados | valor=4491
linha=309 | nome=Ana | acao=executou o benchmark | valor=7276
linha=310 | nome=Paulo | acao=analisou os resultados | valor=7531
linha=311 | nome=Natalia | acao=estudou computacao | valor=6619
linha=312 | nome=Karen | acao=escreveu o relatorio | valor=4884
linha=313 | nome=Karen | acao=analisou os resultados | valor=7580
linha=314 | nome=Paulo | acao=fez um experimento | valor=6265
linha=315 | nome=Karen | acao=participou da aula | valor=5377
linha=316 | nome=Carlos | acao=participou da aula | valor=2634
linha=317 | nome=Sofia | acao=estudou computacao | valor=8212
linha=318 | nome=Vitor | acao=otimizou o algoritmo | valor=3478
linha=319 | nome=Joao | acao=escreveu o relatorio | valor=4649
linha=320 | nome=Sofia | acao=participou da aula | valor=5678
linha=321 | nome=Otavio | acao=executou o benchmark | valor=9897
linha=322 | nome=Bruno | acao=comparou as metricas | valor=5596
linha=323 | nome=Felipe | acao=comparou as metricas | valor=2114
linha=324 | nome=Paulo | acao=fez um experimento | valor=1349
linha=325 | nome=Sofia | acao=otimizou o algoritmo | valor=3747
linha=326 | nome=Gabriela | acao=escreveu o relatorio | valor=6146
linha=327 | nome=Karen | acao=fez um experimento | valor=4041
linha=328 | nome=Igor | acao=estudou computacao | valor=6752
linha=329 | nome=Igor | acao=analisou os resultados | valor=4052
linha=330 | nome=Joao | acao=analisou os resultados | valor=3680
linha=331 | nome=Felipe | acao=analisou os resultados | valor=6340
linha=332 | nome=Paulo | acao=comparou as metricas | valor=4584
linha=333 | nome=Paulo | acao=otimizou o algoritmo | valor=9272
linha=334 | nome=Karen | acao=estudou computacao | valor=3596
linha=335 | nome=Eduarda | acao=escreveu o relatorio | valor=5083
linha=336 | nome=Mariana | acao=comparou as metricas | valor=3505
linha=337 | nome=Helena | acao=analisou os resultados | valor=5452
linha=338 | nome=Daniela | acao=analisou os resultados | valor=2349
linha=339 | nome=Carlos | acao=escreveu o relatorio | valor=1884
linha=340 | nome=Vitor | acao=participou da aula | valor=9881
linha=341 | nome=Lucas | acao=comparou as metricas | valor=2820
linha=342 | nome=Joao | acao=otimizou o algoritmo | valor=9517
linha=343 | nome=Renata | acao=estudou computacao | valor=3354
linha=344 | nome=Ana | acao=participou da aula | valor=5377
linha=345 | nome=Sofia | acao=analisou os resultados | valor=9060
linha=346 | nome=Mariana | acao=comparou as metricas | valor=2741
linha=347 | nome=Tiago | acao=escreveu o relatorio | valor=9649
linha=348 | nome=Vitor | acao=otimizou o algoritmo | valor=6048
linha=349 | nome=Vitor | acao=otimizou o algoritmo | valor=1666
linha=350 | nome=Ana | acao=fez um experimento | valor=2024
linha=351 | nome=Natalia | acao=executou o benchmark | valor=2727
linha=352 | nome=Eduarda | acao=escreveu o relatorio | valor=6311
linha=353 | nome=Helena | acao=executou o benchmark | valor=4638
linha=354 | nome=Ana | acao=escreveu o relatorio | valor=7274
linha=355 | nome=Tiago | acao=participou da aula | valor=9882
linha=356 | nome=Sofia | acao=otimizou o algoritmo | valor=3543
linha=357 | nome=Karen | acao=executou o benchmark | valor=2943
linha=358 | nome=Eduarda | acao=otimizou o algoritmo | valor=7283
linha=359 | nome=Mariana | acao=fez um experimento | valor=2546
linha=360 | nome=Igor | acao=executou o benchmark | valor=3781
linha=361 | nome=Otavio | acao=otimizou o algoritmo | valor=1745
linha=362 | nome=Lucas | acao=escreveu o relatorio | valor=7053
linha=363 | nome=Natalia | acao=analisou os resultados | valor=2799
linha=364 | nome=Eduarda | acao=otimizou o algoritmo | valor=1241
linha=365 | nome=Joao | acao=fez um experimento | valor=8849
linha=366 | nome=Helena | acao=otimizou o algoritmo | valor=2096
linha=367 | nome=Bruno | acao=estudou computacao | valor=9386
linha=368 | nome=Ana | acao=otimizou o algoritmo | valor=9500
linha=369 | nome=Joao | acao=comparou as metricas | valor=2585
linha=370 | nome=Lucas | acao=fez um experimento | valor=2959
linha=371 | nome=Lucas | acao=escreveu o relatorio | valor=7685
linha=372 | nome=Bruno | acao=estudou computacao | valor=4657
linha=373 | nome=Otavio | acao=estudou computacao | valor=4740
linha=374 | nome=Joao | acao=estudou computacao | valor=1132
linha=375 | nome=Sofia | acao=escreveu o relatorio | valor=4691
linha=376 | nome=Vitor | acao=fez um experimento | valor=1693
linha=377 | nome=Otavio | acao=fez um experimento | valor=4726
linha=378 | nome=Sofia | acao=otimizou o algoritmo | valor=4894
linha=379 | nome=Bruno | acao=analisou os resultados | valor=4588
linha=380 | nome=Mariana | acao=comparou as metricas | valor=6127
linha=381 | nome=Bruno | acao=analisou os resultados | valor=6296
linha=382 | nome=Helena | acao=escreveu o relatorio | valor=1813
linha=383 | nome=Ana | acao=comparou as metricas | valor=7517
linha=384 | nome=Tiago | acao=fez um experimento | valor=9389
linha=385 | nome=Renata | acao=escreveu o relatorio | valor=1919
linha=386 | nome=Helena | acao=estudou computacao | valor=1067
linha=387 | nome=Paulo | acao=fez um experimento | valor=7031
linha=388 | nome=Natalia | acao=fez um experimento | valor=9455
linha=389 | nome=Helena | acao=participou da aula | valor=1427
linha=390 | nome=Igor | acao=comparou as metricas | valor=8115
linha=391 | nome=Renata | acao=escreveu o relatorio | valor=4409
linha=392 | nome=Helena | acao=comparou as metricas | valor=6978
linha=393 | nome=Joao | acao=executou o benchmark | valor=5020
linha=394 | nome=Natalia | acao=comparou as metricas | valor=2352
linha=395 | nome=Daniela | acao=executou o benchmark | valor=3984
linha=396 | nome=Bruno | acao=comparou as metricas | valor=6322
linha=397 | nome=Mariana | acao=otimizou o algoritmo | valor=4990
linha=398 | nome=Sofia | acao=executou o benchmark | valor=3229
linha=399 | nome=Sofia | acao=escreveu o relatorio | valor=8898
linha=400 | nome=Paulo | acao=analisou os resultados | valor=6639
linha=401 | nome=Natalia | acao=estudou computacao | valor=8893
linha=402 | nome=Daniela | acao=escreveu o relatorio | valor=3225
linha=403 | nome=Joao | acao=participou da aula | valor=5654
linha=404 | nome=Karen | acao=analisou os resultados | valor=4016
linha=405 | nome=Renata | acao=escreveu o relatorio | valor=7228
linha=406 | nome=Mariana | acao=analisou os resultados | valor=5511
linha=407 | nome=Sofia | acao=estudou computacao | valor=4163
linha=408 | nome=Lucas | acao=estudou computacao | valor=9292
linha=409 | nome=Karen | acao=comparou as metricas | valor=7809
linha=410 | nome=Felipe | acao=escreveu o relatorio | valor=6253
linha=411 | nome=Mariana | acao=analisou os resultados | valor=1261
linha=412 | nome=Natalia | acao=analisou os resultados | valor=9634
linha=413 | nome=Joao | acao=escreveu o relatorio | valor=1987
linha=414 | nome=Tiago | acao=estudou computacao | valor=6825
linha=415 | nome=Daniela | acao=executou o benchmark | valor=6578
linha=416 | nome=Tiago | acao=escreveu o relatorio | valor=7152
linha=417 | nome=Gabriela | acao=fez um experimento | valor=8577
linha=418 | nome=Gabriela | acao=otimizou o algoritmo | valor=8270
linha=419 | nome=Natalia | acao=executou o benchmark | valor=6337
linha=420 | nome=Bruno | acao=fez um experimento | valor=8493
linha=421 | nome=Igor | acao=analisou os resultados | valor=5796
linha=422 | nome=Carlos | acao=estudou computacao | valor=8381
linha=423 | nome=Otavio | acao=estudou computacao | valor=9900
linha=424 | nome=Otavio | acao=comparou as metricas | valor=1907
linha=425 | nome=Eduarda | acao=comparou as metricas | valor=7766
linha=426 | nome=Igor | acao=otimizou o algoritmo | valor=1361
linha=427 | nome=Gabriela | acao=comparou as metricas | valor=9110
linha=428 | nome=Otavio | acao=escreveu o relatorio | valor=4120
linha=429 | nome=Helena | acao=otimizou o algoritmo | valor=6868
linha=430 | nome=Carlos | acao=escreveu o relatorio | valor=3108
linha=431 | nome=Helena | acao=estudou computacao | valor=3602
linha=432 | nome=Ana | acao=comparou as metricas | valor=1692
linha=433 | nome=Lucas | acao=comparou as metricas | valor=1543
linha=434 | nome=Sofia | acao=fez um experimento | valor=4590
linha=435 | nome=Vitor | acao=participou da aula | valor=5945
linha=436 | nome=Karen | acao=otimizou o algoritmo | valor=1405
linha=437 | nome=Sofia | acao=otimizou o algoritmo | valor=8107
linha=438 | nome=Bruno | acao=estudou computacao | valor=4484
linha=439 | nome=Ana | acao=fez um experimento | valor=1392
linha=440 | nome=Sofia | acao=executou o benchmark | valor=3047
linha=441 | nome=Gabriela | acao=fez um experimento | valor=4226
linha=442 | nome=Helena | acao=executou o benchmark | valor=4613
linha=443 | nome=Joao | acao=otimizou o algoritmo | valor=7508
linha=444 | nome=Daniela | acao=otimizou o algoritmo | valor=8408
linha=445 | nome=Felipe | acao=executou o benchmark | valor=8952
linha=446 | nome=Otavio | acao=executou o benchmark | valor=7392
linha=447 | nome=Carlos | acao=executou o benchmark | valor=7770
linha=448 | nome=Vitor | acao=otimizou o algoritmo | valor=4464
linha=449 | nome=Daniela | acao=escreveu o relatorio | valor=5107
linha=450 | nome=Igor | acao=comparou as metricas | valor=5634
