linha=1 | nome=Igor | acao=otimizou o algoritmo | valor=4561
linha=83 | nome=Carlos | acao=analisou os resultados | valor=2573
linha=84 | nome=Renata | acao=estudou computacao | valor=2169
linha=85 | nome=Helena | acao=fez um experimento | valor=2717
linha=86 | nome=Tiago | acao=analisou os resultados | valor=4417
linha=87 | nome=Joao | acao=participou da aula | valor=7265
linha=88 | nome=Mariana | acao=participou da aula | valor=1720
linha=89 | nome=Tiago | acao=analisou os resultados | valor=2227
linha=90 | nome=Vitor | acao=analisou os resultados | valor=5436
linha=91 | nome=Lucas | acao=analisou os resultados | valor=8327
linha=92 | nome=Eduarda | acao=estudou computacao | valor=3919
linha=93 | nome=Karen | acao=estudou computacao | valor=8527
linha=94 | nome=Eduarda | acao=estudou computacao | valor=1727
linha=95 | nome=Renata | acao=participou da aula | valor=3031
linha=96 | nome=Tiago | acao=analisou os resultados | valor=4969
linha=97 | nome=Renata | acao=fez um experimento | valor=3615
linha=98 | nome=Paulo | acao=fez um experimento | valor=2051
linha=99 | nome=Carlos | acao=executou o benchmark | valor=9976
linha=100 | nome=Helena | acao=otimizou o algoritmo | valor=5021
linha=101 | nome=Mariana | acao=fez um experimento | valor=7919
linha=102 | nome=Mariana | acao=participou da aula | valor=7434
linha=103 | nome=Ana | acao=analisou os resultados | valor=1041
linha=104 | nome=Mariana | acao=comparou as metricas | valor=8041
linha=105 | nome=Natalia | acao=escreveu o relatorio | valor=9091
linha=106 | nome=Daniela | acao=otimizou o algoritmo | valor=6501
linha=107 | nome=Karen | acao=executou o benchmark | valor=5072
linha=108 | nome=Gabriela | acao=escreveu o relatorio | valor=7919
linha=109 | nome=Mariana | acao=analisou os resultados | valor=3566
linha=110 | nome=Lucas | acao=comparou as metricas | valor=2134
linha=111 | nome=Vitor | acao=comparou as metricas | valor=9058
linha=112 | nome=Lucas | acao=otimizou o algoritmo | valor=4761
linha=113 | nome=Igor | acao=comparou as metricas | valor=1608
linha=114 | nome=Vitor | acao=participou da aula | valor=7665
linha=115 | nome=Felipe | acao=estudou computacao | valor=4745
linha=116 | nome=Mariana | acao=analisou os resultados | valor=7453
linha=117 | nome=Joao | acao=otimizou o algoritmo | valor=6086
linha=118 | nome=Gabriela | acao=otimizou o algoritmo | valor=3033
linha=119 | nome=Natalia | acao=estudou computacao | valor=6201
linha=120 | nome=Bruno | acao=participou da aula | valor=4733
linha=121 | nome=Otavio | acao=comparou as metricas | valor=3122
linha=122 | nome=Ana | acao=estudou computacao | valor=8344
linha=123 | nome=Carlos | acao=comparou as metricas | valor=3994
linha=124 | nome=Paulo | acao=escreveu o relatorio | valor=8886
linha=125 | nome=Natalia | acao=fez um experimento | valor=7753
linha=126 | nome=Carlos | acao=participou da aula | valor=6810
linha=127 | nome=Renata | acao=fez um experimento | valor=2630
linha=128 | nome=Tiago | acao=executou o benchmark | valor=2165
linha=129 | nome=Paulo | acao=otimizou o algoritmo | valor=7466
linha=130 | nome=Otavio | acao=participou da aula | valor=4655
linha=131 | nome=Sofia | acao=estudou computacao | valor=8769
linha=132 | nome=Natalia | acao=comparou as metricas | valor=6055
linha=133 | nome=Otavio | acao=executou o benchmark | valor=6994
linha=134 | nome=Vitor | acao=escreveu o relatorio | valor=9702
linha=135 | nome=Igor | acao=fez um experimento | valor=5360
linha=136 | nome=Eduarda | acao=participou da aula | valor=4119
linha=137 | nome=Gabriela | acao=fez um experimento | valor=8419
linha=138 | nome=Ana | acao=escreveu o relatorio | valor=1270
linha=139 | nome=Daniela | acao=otimizou o algoritmo | valor=9404
linha=140 | nome=Sofia | acao=analisou os resultados | valor=8026
linha=141 | nome=Mariana | acao=comparou as metricas | valor=8737
linha=142 | nome=Ana | acao=estudou computacao | valor=2551
linha=143 | nome=Renata | acao=analisou os resultados | valor=9515
linha=144 | nome=Vitor | acao=participou da aula | valor=4199
linha=145 | nome=Mariana | acao=estudou computacao | valor=2790
linha=146 | nome=Renata | acao=fez um experimento | valor=4927
linha=147 | nome=Eduarda | acao=escreveu o relatorio | valor=4000
linha=148 | nome=Gabriela | acao=executou o benchmark | valor=8467
linha=149 | nome=Renata | acao=analisou os resultados | valor=3355
linha=150 | nome=Gabriela | acao=fez um experimento | valor=9605
linha=151 | nome=Ana | acao=comparou as metricas | valor=5112
linha=152 | nome=Bruno | acao=otimizou o algoritmo | valor=2044
linha=153 | nome=Lucas | acao=fez um experimento | valor=6213
linha=154 | nome=Felipe | acao=comparou as metricas | valor=1511
linha=155 | nome=Helena | acao=otimizou o algoritmo | valor=8030
linha=156 | nome=Vitor | acao=executou o benchmark | valor=8050
linha=157 | nome=Lucas | acao=participou da aula | valor=8631
linha=158 | nome=Eduarda | acao=executou o benchmark | valor=6899
linha=159 | nome=Natalia | acao=analisou os resultados | valor=4640
linha=160 | nome=Felipe | acao=comparou as metricas | valor=9144
linha=161 | nome=Bruno | acao=otimizou o algoritmo | valor=4263
linha=162 | nome=Mariana | acao=otimizou o algoritmo | valor=1175
linha=163 | nome=Mariana | acao=estudou computacao | valor=9438
linha=164 | nome=Ana | acao=comparou as metricas | valor=1487
linha=165 | nome=Natalia | acao=analisou os resultados | valor=9958
linha=166 | nome=Bruno | acao=estudou computacao | valor=5918
linha=167 | nome=Carlos | acao=comparou as metricas | valor=4454
linha=168 | nome=Vitor | acao=escreveu o relatorio | valor=8603
linha=169 | nome=Paulo | acao=analisou os resultados | valor=9183
linha=170 | nome=Sofia | acao=analisou os resultados | valor=2542
linha=171 | nome=Karen | acao=otimizou o algoritmo | valor=1904
linha=172 | nome=Daniela | acao=comparou as metricas | valor=9042
linha=173 | nome=Gabriela | acao=executou o benchmark | valor=1365
linha=174 | nome=Natalia | acao=comparou as metricas | valor=3092
linha=175 | nome=Daniela | acao=estudou computacao | valor=3493
linha=176 | nome=Igor | acao=comparou as metricas | valor=1098
linha=177 | nome=Paulo | acao=analisou os resultados | valor=1625
linha=178 | nome=Eduarda | acao=participou da aula | valor=2559
linha=179 | nome=Mariana | acao=participou da aula | valor=9569
linha=180 | nome=Paulo | acao=otimizou o algoritmo | valor=2291
linha=181 | nome=Renata | acao=estudou computacao | valor=5510
linha=182 | nome=Paulo | acao=otimizou o algoritmo | valor=6543
linha=183 | nome=Ana | acao=otimizou o algoritmo | valor=2794
linha=184 | nome=Vitor | acao=estudou computacao | valor=1557
linha=185 | nome=Lucas | acao=otimizou o algoritmo | valor=2254
linha=186 | nome=Joao | acao=otimizou o algoritmo | valor=6442
linha=187 | nome=Felipe | acao=fez um experimento | valor=5320
linha=188 | nome=Sofia | acao=participou da aula | valor=7958
linha=189 | nome=Mariana | acao=estudou computacao | valor=9895
linha=190 | nome=Igor | acao=executou o benchmark | valor=9359
linha=191 | nome=Daniela | acao=comparou as metricas | valor=7745
linha=192 | nome=Gabriela | acao=estudou computacao | valor=7474
linha=193 | nome=Karen | acao=executou o benchmark | valor=9045
linha=194 | nome=Mariana | acao=comparou as metricas | valor=2544
linha=195 | nome=Joao | acao=escreveu o relatorio | valor=5215
linha=196 | nome=Otavio | acao=otimizou o algoritmo | valor=3299
linha=197 | nome=Lucas | acao=escreveu o relatorio | valor=6949
linha=198 | nome=Paulo | acao=comparou as metricas | valor=1558
linha=199 | nome=Mariana | acao=escreveu o relatorio | valor=5638
linha=200 | nome=Tiago | acao=executou o benchmark | valor=4152
linha=201 | nome=Felipe | acao=participou da aula | valor=6178
linha=202 | nome=Felipe | acao=analisou os resultados | valor=9449
linha=203 | nome=Otavio | acao=otimizou o algoritmo | valor=6212
linha=204 | nome=Ana | acao=executou o benchmark | valor=7955
linha=205 | nome=Joao | acao=analisou os resultados | valor=8777
linha=206 | nome=Tiago | acao=analisou os resultados | valor=4892
linha=207 | nome=Vitor | acao=participou da aula | valor=7494
linha=208 | nome=Helena | acao=escreveu o relatorio | valor=4775
linha=209 | nome=Tiago | acao=analisou os resultados | valor=5360
linha=210 | nome=Ana | acao=estudou computacao | valor=4281
linha=211 | nome=Sofia | acao=analisou os resultados | valor=2456
linha=212 | nome=Paulo | acao=analisou os resultados | valor=8373
linha=213 | nome=Natalia | acao=fez um experimento | valor=2984
linha=214 | nome=Natalia | acao=executou o benchmark | valor=3072
linha=215 | nome=Natalia | acao=estudou computacao | valor=3377
linha=216 | nome=Joao | acao=fez um experimento | valor=8516
linha=217 | nome=Natalia | acao=executou o benchmark | valor=2067
linha=218 | nome=Felipe | acao=estudou computacao | valor=4732
linha=219 | nome=Vitor | acao=otimizou o algoritmo | valor=4572
linha=220 | nome=Bruno | acao=estudou computacao | valor=2587
linha=221 | nome=Vitor | acao=fez um experimento | valor=9059
linha=222 | nome=Igor | acao=otimizou o algoritmo | valor=5261
linha=223 | nome=Lucas | acao=comparou as metricas | valor=4547
linha=224 | nome=Mariana | acao=comparou as metricas | valor=9848
linha=225 | nome=Otavio | acao=otimizou o algoritmo | valor=8339
linha=226 | nome=Paulo | acao=escreveu o relatorio | valor=2436
linha=227 | nome=Gabriela | acao=comparou as metricas | valor=5362
linha=228 | nome=Bruno | acao=participou da aula | valor=2004
linha=229 | nome=Vitor | acao=fez um experimento | valor=6865
linha=230 | nome=Natalia | acao=analisou os resultados | valor=8129
linha=231 | nome=Mariana | acao=fez um experimento | valor=3246
linha=232 | nome=Otavio | acao=analisou os resultados | valor=2610
linha=233 | nome=Mariana | acao=executou o benchmark | valor=2850
linha=234 | nome=Tiago | acao=analisou os resultados | valor=1244
linha=235 | nome=Vitor | acao=comparou as metricas | valor=9912
linha=236 | nome=Tiago | acao=estudou computacao | valor=2829
linha=237 | nome=Natalia | acao=otimizou o algoritmo | valor=9490
linha=238 | nome=Natalia | acao=participou da aula | valor=2417
linha=239 | nome=Felipe | acao=estudou computacao | valor=7745
linha=240 | nome=Natalia | acao=escreveu o relatorio | valor=8741
linha=241 | nome=Otavio | acao=analisou os resultados | valor=4154
linha=242 | nome=Helena | acao=estudou computacao | valor=7734
linha=243 | nome=Igor | acao=estudou computacao | valor=8510
linha=244 | nome=Daniela | acao=escreveu o relatorio | valor=5865
linha=245 | nome=Eduarda | acao=escreveu o relatorio | valor=3457
linha=246 | nome=Karen | acao=executou o benchmark | valor=1318
linha=247 | nome=Lucas | acao=estudou computacao | valor=7749
linha=248 | nome=Vitor | acao=otimizou o algoritmo | valor=7777
linha=249 | nome=Bruno | acao=analisou os resultados | valor=7231
linha=250 | nome=Otavio | acao=comparou as metricas | valor=4856
linha=251 | nome=Mariana | acao=participou da aula | valor=5372
linha=252 | nome=Renata | acao=participou da aula | valor=2681
linha=253 | nome=Daniela | acao=participou da aula | valor=4335
linha=254 | nome=Igor | acao=analisou os resultados | valor=1662
linha=255 | nome=Paulo | acao=participou da aula | valor=4327
linha=256 | nome=Helena | acao=analisou os resultados | valor=1216
linha=257 | nome=Tiago | acao=fez um experimento | valor=7896
linha=258 | nome=Mariana | acao=analisou os resultados | valor=3757
linha=259 | nome=Eduarda | acao=escreveu o relatorio | valor=8714
linha=260 | nome=Karen | acao=comparou as metricas | valor=3186
linha=261 | nome=Natalia | acao=fez um experimento | valor=1682
linha=262 | nome=Helena | acao=estudou computacao | valor=4246
linha=263 | nome=Sofia | acao=participou da aula | valor=2573
linha=264 | nome=Mariana | acao=escreveu o relatorio | valor=2773
linha=265 | nome=Helena | acao=participou da aula | valor=8785
linha=266 | nome=Joao | acao=comparou as metricas | valor=3493
linha=267 | nome=Mariana | acao=participou da aula | valor=8206
linha=268 | nome=Renata | acao=fez um experimento | valor=5959
linha=269 | nome=Tiago | acao=comparou as metricas | valor=4433
linha=270 | nome=Ana | acao=estudou computacao | valor=5388
linha=271 | nome=Tiago | acao=comparou as metricas | valor=7337
linha=272 | nome=Igor | acao=fez um experimento | valor=1143
linha=273 | nome=Daniela | acao=escreveu o relatorio | valor=8591
linha=274 | nome=Carlos | acao=participou da aula | valor=3394
linha=275 | nome=Joao | acao=participou da aula | valor=1136
linha=276 | nome=Eduarda | acao=fez um experimento | valor=5985
linha=277 | nome=Felipe | acao=analisou os resultados | valor=3963
linha=278 | nome=Joao | acao=escreveu o relatorio | valor=8096
linha=279 | nome=Otavio | acao=participou da aula | valor=2329
linha=280 | nome=Mariana | acao=executou o benchmark | valor=7432
linha=281 | nome=Vitor | acao=escreveu o relatorio | valor=5485
linha=282 | nome=Otavio | acao=otimizou o algoritmo | valor=3026
linha=283 | nome=Daniela | acao=estudou computacao | valor=4203
linha=284 | nome=Felipe | acao=participou da aula | valor=5315
linha=285 | nome=Karen | acao=participou da aula | valor=3678
linha=286 | nome=Karen | acao=participou da aula | valor=9094
linha=287 | nome=Eduarda | acao=estudou computacao | valor=8720
linha=288 | nome=Sofia | acao=analisou os resultados | valor=6278
linha=289 | nome=Ana | acao=estudou computacao | valor=9898
linha=290 | nome=Bruno | acao=fez um experimento | valor=8284
linha=291 | nome=Tiago | acao=executou o benchmark | valor=5933
linha=292 | nome=Bruno | acao=estudou computacao | valor=3776
linha=293 | nome=Joao | acao=otimizou o algoritmo | valor=6714
linha=294 | nome=Natalia | acao=analisou os resultados | valor=3082
linha=295 | nome=Vitor | acao=comparou as metricas | valor=6902
linha=296 | nome=Joao | acao=fez um experimento | valor=7484
linha=297 | nome=Renata | acao=estudou computacao | valor=2470
linha=298 | nome=Helena | acao=comparou as metricas | valor=8202
linha=299 | nome=Ana | acao=escreveu o relatorio | valor=2805
linha=300 | nome=Vitor | acao=analisou os resultados | valor=9702
linha=301 | nome=Paulo | acao=executou o benchmark | valor=6752
linha=302 | nome=Lucas | acao=otimizou o algoritmo | valor=7866
linha=303 | nome=Carlos | acao=comparou as metricas | valor=4761
linha=304 | nome=Joao | acao=otimizou o algoritmo | valor=3092
linha=305 | nome=Renata | acao=analisou os resultados | valor=7892
linha=306 | nome=Natalia | acao=escreveu o relatorio | valor=7679
linha=307 | nome=Igor | acao=escreveu o relatorio | valor=7132
linha=308 | nome=Mariana | acao=fez um experimento | valor=5710
linha=309 | nome=Helena | acao=executou o benchmark | valor=6029
linha=310 | nome=Ana | acao=executou o benchmark | valor=5103
linha=311 | nome=Lucas | acao=escreveu o relatorio | valor=1390
linha=312 | nome=Lucas | acao=comparou as metricas | valor=1579
linha=313 | nome=Eduarda | acao=otimizou o algoritmo | valor=3866
linha=314 | nome=Vitor | acao=executou o benchmark | valor=6714
linha=315 | nome=Paulo | acao=comparou as metricas | valor=2366
linha=316 | nome=Natalia | acao=participou da aula | valor=6913
linha=317 | nome=Carlos | acao=comparou as metricas | valor=1533
linha=318 | nome=Tiago | acao=analisou os resultados | valor=1804
linha=319 | nome=Tiago | acao=participou da aula | valor=9255
linha=320 | nome=Igor | acao=participou da aula | valor=4872
linha=321 | nome=Mariana | acao=analisou os resultados | valor=2901
linha=322 | nome=Mariana | acao=fez um experimento | valor=6321
linha=323 | nome=Vitor | acao=otimizou o algoritmo | valor=4944
linha=324 | nome=Helena | acao=participou da aula | valor=9476
linha=325 | nome=Joao | acao=comparou as metricas | valor=2834
linha=326 | nome=Lucas | acao=analisou os resultados | valor=6637
linha=327 | nome=Eduarda | acao=participou da aula | valor=5940
linha=328 | nome=Paulo | acao=escreveu o relatorio | valor=9285
linha=329 | nome=Lucas | acao=fez um experimento | valor=4143
linha=330 | nome=Eduarda | acao=participou da aula | valor=7654
linha=331 | nome=Natalia | acao=participou da aula | valor=7424
linha=332 | nome=Sofia | acao=participou da aula | valor=8388
linha=333 | nome=Igor | acao=analisou os resultados | valor=5341
linha=334 | nome=Felipe | acao=participou da aula | valor=2888
linha=335 | nome=Joao | acao=comparou as metricas | valor=6756
linha=336 | nome=Helena | acao=estudou computacao | valor=9164
linha=337 | nome=Helena | acao=fez um experimento | valor=2554
linha=338 | nome=Natalia | acao=analisou os resultados | valor=4477
linha=339 | nome=Igor | acao=analisou os resultados | valor=1906
linha=340 | nome=Tiago | acao=estudou computacao | valor=8794
linha=341 | nome=Gabriela | acao=otimizou o algoritmo | valor=3841
linha=342 | nome=Felipe | acao=analisou os resultados | valor=3543
linha=343 | nome=Renata | acao=participou da aula | valor=2402
linha=344 | nome=Ana | acao=analisou os resultados | valor=3346
linha=345 | nome=Mariana | acao=fez um experimento | valor=6018
linha=346 | nome=Helena | acao=executou o benchmark | valor=7653
linha=347 | nome=Joao | acao=executou o benchmark | valor=4880
linha=348 | nome=Joao | acao=fez um experimento | valor=3807
linha=349 | nome=Renata | acao=estudou computacao | valor=5551
linha=350 | nome=Daniela | acao=escreveu o relatorio | valor=5645
linha=351 | nome=Otavio | acao=escreveu o relatorio | valor=6111
linha=352 | nome=Karen | acao=estudou computacao | valor=7285
linha=353 | nome=Helena | acao=participou da aula | valor=4209
linha=354 | nome=Eduarda | acao=analisou os resultados | valor=8350
linha=355 | nome=Otavio | acao=escreveu o relatorio | valor=7983
linha=356 | nome=Helena | acao=analisou os resultados | valor=3703
linha=357 | nome=Karen | acao=fez um experimento | valor=2277
linha=358 | nome=Otavio | acao=analisou os resultados | valor=2347
linha=359 | nome=Bruno | acao=otimizou o algoritmo | valor=2325
linha=360 | nome=Vitor | acao=participou da aula | valor=5175
linha=361 | nome=Bruno | acao=escreveu o relatorio | valor=4407
linha=362 | nome=Tiago | acao=executou o benchmark | valor=3258
linha=363 | nome=Tiago | acao=fez um experimento | valor=2853
linha=364 | nome=Otavio | acao=comparou as metricas | valor=7794
linha=365 | nome=Carlos | acao=executou o benchmark | valor=9167
linha=366 | nome=Karen | acao=fez um experimento | valor=7467
linha=367 | nome=Vitor | acao=fez um experimento | valor=6179
linha=368 | nome=Igor | acao=executou o benchmark | valor=5410
linha=369 | nome=Ana | acao=estudou computacao | valor=9535
linha=370 | nome=Sofia | acao=executou o benchmark | valor=9659
linha=371 | nome=Vitor | acao=executou o benchmark | valor=9265
linha=372 | nome=Bruno | acao=escreveu o relatorio | valor=4974
linha=373 | nome=Sofia | acao=executou o benchmark | valor=7047
linha=374 | nome=Daniela | acao=analisou os resultados | valor=4149
linha=375 | nome=Helena | acao=fez um experimento | valor=5221
linha=376 | nome=Ana | acao=executou o benchmark | valor=8902
linha=377 | nome=Eduarda | acao=estudou computacao | valor=4463
linha=378 | nome=Carlos | acao=escreveu o relatorio | valor=7785
linha=379 | nome=Gabriela | acao=fez um experimento | valor=6200
linha=380 | nome=Carlos | acao=escreveu o relatorio | valor=9891
linha=381 | nome=Helena | acao=comparou as metricas | valor=1633
linha=382 | nome=Helena | acao=executou o benchmark | valor=8757
linha=383 | nome=Karen | acao=otimizou o algoritmo | valor=4964
linha=384 | nome=Renata | acao=analisou os resultados | valor=8932
linha=385 | nome=Paulo | acao=fez um experimento | valor=4144
linha=386 | nome=Mariana | acao=estudou computacao | valor=4544
linha=387 | nome=Ana | acao=participou da aula | valor=6667
linha=388 | nome=Bruno | acao=participou da aula | valor=6604
linha=389 | nome=Carlos | acao=comparou as metricas | valor=2784
linha=390 | nome=Renata | acao=escreveu o relatorio | valor=4303
linha=391 | nome=Daniela | acao=analisou os resultados | valor=1688
linha=392 | nome=Karen | acao=analisou os resultados | valor=8655
linha=393 | nome=Eduarda | acao=participou da aula | valor=8915
linha=394 | nome=Eduarda | acao=participou da aula | valor=1903
linha=395 | nome=Felipe | acao=estudou computacao | valor=9221
linha=396 | nome=Eduarda | acao=analisou os resultados | valor=2997
linha=397 | nome=Vitor | acao=escreveu o relatorio | valor=8101
linha=398 | nome=Tiago | acao=fez um experimento | valor=7345
linha=399 | nome=Carlos | acao=otimizou o algoritmo | valor=3232
linha=400 | nome=Eduarda | acao=fez um experimento | valor=3262
linha=401 | nome=Natalia | acao=participou da aula | valor=6677
linha=402 | nome=Paulo | acao=estudou computacao | valor=9300
linha=403 | nome=Paulo | acao=estudou computacao | valor=9761
linha=404 | nome=Carlos | acao=estudou computacao | valor=4396
linha=405 | nome=Renata | acao=participou da aula | valor=4248
linha=406 | nome=Carlos | acao=escreveu o relatorio | valor=9917
linha=407 | nome=Igor | acao=comparou as metricas | valor=4660
linha=408 | nome=Renata | acao=fez um experimento | valor=6015
linha=409 | nome=Otavio | acao=comparou as metricas | valor=5180
linha=410 | nome=Natalia | acao=participou da aula | valor=3474
linha=411 | nome=Lucas | acao=comparou as metricas | valor=8704
linha=412 | nome=Tiago | acao=otimizou o algoritmo | valor=7529
linha=413 | nome=Daniela | acao=escreveu o relatorio | valor=1845
linha=414 | nome=Paulo | acao=executou o benchmark | valor=3406
linha=415 | nome=Tiago | acao=comparou as metricas | valor=9586
linha=416 | nome=Helena | acao=analisou os resultados | valor=3851
linha=417 | nome=Daniela | acao=comparou as metricas | valor=9007
linha=418 | nome=Mariana | acao=estudou computacao | valor=1685
linha=419 | nome=Lucas | acao=analisou os resultados | valor=7986
linha=420 | nome=Lucas | acao=estudou computacao | valor=7250
linha=421 | nome=Carlos | acao=executou o benchmark | valor=3984
linha=422 | nome=Carlos | acao=participou da aula | valor=9191
linha=423 | nome=Felipe | acao=fez um experimento | valor=8777
linha=424 | nome=Ana | acao=otimizou o algoritmo | valor=8419
linha=425 | nome=Felipe | acao=escreveu o relatorio | valor=4633
linha=426 | nome=Paulo | acao=executou o benchmark | valor=8578
linha=427 | nome=Mariana | acao=participou da aula | valor=6739
linha=428 | nome=Bruno | acao=executou o benchmark | valor=9132
linha=429 | nome=Paulo | acao=escreveu o relatorio | valor=9736
linha=430 | nome=Joao | acao=escreveu o relatorio | valor=2643
linha=431 | nome=Mariana | acao=comparou as metricas | valor=5865
linha=432 | nome=Joao | acao=escreveu o relatorio | valor=7315
linha=433 | nome=Eduarda | acao=escreveu o relatorio | valor=3378
linha=434 | nome=Bruno | acao=comparou as metricas | valor=8732
linha=435 | nome=Karen | acao=escreveu o relatorio | valor=1570
linha=436 | nome=Eduarda | acao=executou o benchmark | valor=7974
linha=437 | nome=Helena | acao=participou da aula | valor=6615
linha=438 | nome=Tiago | acao=analisou os resultados | valor=3173
linha=439 | nome=Daniela | acao=executou o benchmark | valor=5439
linha=440 | nome=Joao | acao=comparou as metricas | valor=6739
linha=441 | nome=Igor | acao=escreveu o relatorio | valor=1152
linha=442 | nome=Gabriela | acao=participou da aula | valor=7978
linha=443 | nome=Felipe | acao=executou o benchmark | valor=5877
linha=444 | nome=Eduarda | acao=comparou as metricas | valor=5585
linha=445 | nome=Karen | acao=escreveu o relatorio | valor=9339
linha=446 | nome=Joao | acao=estudou computacao | valor=9496
linha=447 | nome=Otavio | acao=otimizou o algoritmo | valor=2132
linha=448 | nome=Igor | acao=estudou computacao | valor=3743
linha=449 | nome=Gabriela | acao=analisou os resultados | valor=3843
linha=450 | nome=Igor | acao=estudou computacao | valor=6533
linha=451 | nome=Paulo | acao=escreveu o relatorio | valor=7901
linha=452 | nome=Bruno | acao=participou da aula | valor=1238
