linha=1 | nome=Gabriela | acao=comparou as metricas | valor=4588
linha=238 | nome=Daniela | acao=executou o benchmark | valor=3417
linha=239 | nome=Natalia | acao=fez um experimento | valor=5437
linha=240 | nome=Carlos | acao=participou da aula | valor=5447
linha=241 | nome=Carlos | acao=participou da aula | valor=1810
linha=242 | nome=Igor | acao=fez um experimento | valor=4696
linha=243 | nome=Sofia | acao=comparou as metricas | valor=8242
linha=244 | nome=Daniela | acao=analisou os resultados | valor=6496
linha=245 | nome=Joao | acao=comparou as metricas | valor=6542
linha=246 | nome=Renata | acao=escreveu o relatorio | valor=5875
linha=247 | nome=Vitor | acao=otimizou o algoritmo | valor=3763
linha=248 | nome=Daniela | acao=analisou os resultados | valor=4699
linha=249 | nome=Carlos | acao=comparou as metricas | valor=6974
linha=250 | nome=Natalia | acao=participou da aula | valor=1749
linha=251 | nome=Bruno | acao=estudou computacao | valor=6832
linha=252 | nome=Joao | acao=otimizou o algoritmo | valor=8211
linha=253 | nome=Ana | acao=estudou computacao | valor=3721
linha=254 | nome=Lucas | acao=estudou computacao | valor=9045
linha=255 | nome=Lucas | acao=executou o benchmark | valor=5440
linha=256 | nome=Karen | acao=comparou as metricas | valor=3255
linha=257 | nome=Otavio | acao=estudou computacao | valor=4654
linha=258 | nome=Tiago | acao=comparou as metricas | valor=4221
linha=259 | nome=Renata | acao=estudou computacao | valor=9969
linha=260 | nome=Helena | acao=comparou as metricas | valor=9674
linha=261 | nome=Igor | acao=comparou as metricas | valor=4555
linha=262 | nome=Eduarda | acao=otimizou o algoritmo | valor=4165
linha=263 | nome=Carlos | acao=estudou computacao | valor=4819
linha=264 | nome=Ana | acao=fez um experimento | valor=5720
linha=265 | nome=Sofia | acao=fez um experimento | valor=6971
linha=266 | nome=Ana | acao=otimizou o algoritmo | valor=9556
linha=267 | nome=Vitor | acao=estudou computacao | valor=4898
linha=268 | nome=Renata | acao=comparou as metricas | valor=4780
linha=269 | nome=Lucas | acao=executou o benchmark | valor=9522
linha=270 | nome=Igor | acao=fez um experimento | valor=9055
linha=271 | nome=Karen | acao=comparou as metricas | valor=6446
linha=272 | nome=Igor | acao=escreveu o relatorio | valor=9216
linha=273 | nome=Lucas | acao=participou da aula | valor=6007
linha=274 | nome=Bruno | acao=analisou os resultados | valor=8755
linha=275 | nome=Mariana | acao=comparou as metricas | valor=4536
linha=276 | nome=Ana | acao=otimizou o algoritmo | valor=2701
linha=277 | nome=Helena | acao=escreveu o relatorio | valor=7612
linha=278 | nome=Paulo | acao=comparou as metricas | valor=9062
linha=279 | nome=Sofia | acao=estudou computacao | valor=3187
linha=280 | nome=Lucas | acao=executou o benchmark | valor=3953
linha=281 | nome=Tiago | acao=otimizou o algoritmo | valor=3564
linha=282 | nome=Joao | acao=estudou computacao | valor=5450
linha=283 | nome=Karen | acao=participou da aula | valor=2268
linha=284 | nome=Bruno | acao=participou da aula | valor=6743
linha=285 | nome=Natalia | acao=participou da aula | valor=4465
linha=286 | nome=Eduarda | acao=fez um experimento | valor=4210
linha=287 | nome=Ana | acao=escreveu o relatorio | valor=9743
linha=288 | nome=Mariana | acao=executou o benchmark | valor=3601
linha=289 | nome=Ana | acao=escreveu o relatorio | valor=7672
linha=290 | nome=Natalia | acao=otimizou o algoritmo | valor=4765
linha=291 | nome=Karen | acao=estudou computacao | valor=4624
linha=292 | nome=Tiago | acao=comparou as metricas | valor=1425
linha=293 | nome=Carlos | acao=fez um experimento | valor=9971
linha=294 | nome=Tiago | acao=comparou as metricas | valor=1392
linha=295 | nome=Mariana | acao=otimizou o algoritmo | valor=5026
linha=296 | nome=Eduarda | acao=fez um experimento | valor=5190
linha=297 | nome=Carlos | acao=fez um experimento | valor=8451
linha=298 | nome=Igor | acao=comparou as metricas | valor=1049
linha=299 | nome=Joao | acao=otimizou o algoritmo | valor=1375
linha=300 | nome=Daniela | acao=estudou computacao | valor=5154
linha=301 | nome=Lucas | acao=otimizou o algoritmo | valor=8992
linha=302 | nome=Carlos | acao=comparou as metricas | valor=9679
linha=303 | nome=Eduarda | acao=comparou as metricas | valor=9413
linha=304 | nome=Gabriela | acao=otimizou o algoritmo | valor=9560
linha=305 | nome=Paulo | acao=fez um experimento | valor=8439
linha=306 | nome=Tiago | acao=analisou os resultados | valor=5062
linha=307 | nome=Daniela | acao=analisou os resultados | valor=3209
linha=308 | nome=Carlos | acao=fez um experimento | valor=5028
linha=309 | nome=Karen | acao=analisou os resultados | valor=4214
linha=310 | nome=Karen | acao=executou o benchmark | valor=7758
linha=311 | nome=Renata | acao=estudou computacao | valor=3746
linha=312 | nome=Carlos | acao=estudou computacao | valor=9756
linha=313 | nome=Felipe | acao=executou o benchmark | valor=1046
linha=314 | nome=Vitor | acao=executou o benchmark | valor=6212
linha=315 | nome=Natalia | acao=analisou os resultados | valor=4516
linha=316 | nome=Tiago | acao=escreveu o relatorio | valor=5819
linha=317 | nome=Sofia | acao=executou o benchmark | valor=1782
linha=318 | nome=Felipe | acao=escreveu o relatorio | valor=7633
linha=319 | nome=Lucas | acao=escreveu o relatorio | valor=6359
linha=320 | nome=Joao | acao=estudou computacao | valor=1788
linha=321 | nome=Lucas | acao=participou da aula | valor=3319
linha=322 | nome=Otavio | acao=escreveu o relatorio | valor=7152
linha=323 | nome=Lucas | acao=comparou as metricas | valor=2899
linha=324 | nome=Mariana | acao=fez um experimento | valor=3180
linha=325 | nome=Tiago | acao=executou o benchmark | valor=6153
linha=326 | nome=Natalia | acao=fez um experimento | valor=7628
linha=327 | nome=Natalia | acao=escreveu o relatorio | valor=9603
linha=328 | nome=Otavio | acao=comparou as metricas | valor=4210
linha=329 | nome=Felipe | acao=estudou computacao | valor=4393
linha=330 | nome=Eduarda | acao=otimizou o algoritmo | valor=9669
linha=331 | nome=Karen | acao=fez um experimento | valor=1218
linha=332 | nome=Lucas | acao=otimizou o algoritmo | valor=8160
linha=333 | nome=Joao | acao=executou o benchmark | valor=8517
linha=334 | nome=Helena | acao=executou o benchmark | valor=8876
linha=335 | nome=Joao | acao=otimizou o algoritmo | valor=3326
linha=336 | nome=Felipe | acao=estudou computacao | valor=5932
linha=337 | nome=Helena | acao=executou o benchmark | valor=4886
linha=338 | nome=Mariana | acao=participou da aula | valor=6325
linha=339 | nome=Otavio | acao=estudou computacao | valor=5408
linha=340 | nome=Bruno | acao=estudou computacao | valor=5865
linha=341 | nome=Eduarda | acao=otimizou o algoritmo | valor=6160
linha=342 | nome=Vitor | acao=analisou os resultados | valor=1298
linha=343 | nome=Renata | acao=participou da aula | valor=9452
linha=344 | nome=Mariana | acao=estudou computacao | valor=6630
linha=345 | nome=Mariana | acao=fez um experimento | valor=6190
linha=346 | nome=Helena | acao=otimizou o algoritmo | valor=3919
linha=347 | nome=Gabriela | acao=escreveu o relatorio | valor=2592
linha=348 | nome=Mariana | acao=estudou computacao | valor=1489
linha=349 | nome=Mariana | acao=executou o benchmark | valor=8446
linha=350 | nome=Lucas | acao=executou o benchmark | valor=6117
linha=351 | nome=Lucas | acao=comparou as metricas | valor=9081
linha=352 | nome=Mariana | acao=executou o benchmark | valor=1527
linha=353 | nome=Mariana | acao=escreveu o relatorio | valor=5315
linha=354 | nome=Gabriela | acao=executou o benchmark | valor=8182
linha=355 | nome=Igor | acao=escreveu o relatorio | valor=1542
linha=356 | nome=Felipe | acao=estudou computacao | valor=5632
linha=357 | nome=Ana | acao=executou o benchmark | valor=5051
linha=358 | nome=Ana | acao=escreveu o relatorio | valor=2141
linha=359 | nome=Mariana | acao=analisou os resultados | valor=2972
linha=360 | nome=Eduarda | acao=executou o benchmark | valor=3348
linha=361 | nome=Renata | acao=executou o benchmark | valor=6104
linha=362 | nome=Gabriela | acao=otimizou o algoritmo | valor=6878
linha=363 | nome=Renata | acao=participou da aula | valor=7567
linha=364 | nome=Lucas | acao=fez um experimento | valor=7524
linha=365 | nome=Renata | acao=analisou os resultados | valor=7971
linha=366 | nome=Sofia | acao=fez um experimento | valor=7476
linha=367 | nome=Felipe | acao=analisou os resultados | valor=2967
linha=368 | nome=Joao | acao=fez um experimento | valor=1748
linha=369 | nome=Daniela | acao=escreveu o relatorio | valor=2990
linha=370 | nome=Sofia | acao=fez um experimento | valor=7931
linha=371 | nome=Lucas | acao=participou da aula | valor=1397
linha=372 | nome=Otavio | acao=participou da aula | valor=9936
linha=373 | nome=Eduarda | acao=participou da aula | valor=6822
linha=374 | nome=Lucas | acao=participou da aula | valor=4349
linha=375 | nome=Helena | acao=comparou as metricas | valor=2676
linha=376 | nome=Carlos | acao=executou o benchmark | valor=4582
linha=377 | nome=Tiago | acao=fez um experimento | valor=9471
linha=378 | nome=Mariana | acao=executou o benchmark | valor=7986
linha=379 | nome=Daniela | acao=analisou os resultados | valor=6390
linha=380 | nome=Helena | acao=fez um experimento | valor=3555
linha=381 | nome=Daniela | acao=fez um experimento | valor=3969
linha=382 | nome=Carlos | acao=estudou computacao | valor=4460
linha=383 | nome=Gabriela | acao=estudou computacao | valor=8943
linha=384 | nome=Lucas | acao=otimizou o algoritmo | valor=5319
linha=385 | nome=Eduarda | acao=otimizou o algoritmo | valor=9965
linha=386 | nome=Bruno | acao=otimizou o algoritmo | valor=7866
linha=387 | nome=Gabriela | acao=fez um experimento | valor=7379
linha=388 | nome=Ana | acao=comparou as metricas | valor=2253
linha=389 | nome=Paulo | acao=analisou os resultados | valor=7325
linha=390 | nome=Gabriela | acao=estudou computacao | valor=6159
linha=391 | nome=Vitor | acao=escreveu o relatorio | valor=7868
linha=392 | nome=Gabriela | acao=otimizou o algoritmo | valor=4018
linha=393 | nome=Bruno | acao=estudou computacao | valor=7587
linha=394 | nome=Ana | acao=executou o benchmark | valor=2958
linha=395 | nome=Otavio | acao=executou o benchmark | valor=3709
linha=396 | nome=Otavio | acao=executou o benchmark | valor=6480
linha=397 | nome=Natalia | acao=estudou computacao | valor=6936
linha=398 | nome=Mariana | acao=estudou computacao | valor=2484
linha=399 | nome=Sofia | acao=comparou as metricas | valor=7835
linha=400 | nome=Vitor | acao=otimizou o algoritmo | valor=5336
linha=401 | nome=Carlos | acao=comparou as metricas | valor=8510
linha=402 | nome=Helena | acao=otimizou o algoritmo | valor=1113
linha=403 | nome=Tiago | acao=participou da aula | valor=5705
linha=404 | nome=Karen | acao=escreveu o relatorio | valor=2922
linha=405 | nome=Sofia | acao=fez um experimento | valor=5784
linha=406 | nome=Felipe | acao=executou o benchmark | valor=3620
linha=407 | nome=Paulo | acao=analisou os resultados | valor=4979
linha=408 | nome=Otavio | acao=comparou as metricas | valor=6531
linha=409 | nome=Tiago | acao=comparou as metricas | valor=2917
linha=410 | nome=Vitor | acao=analisou os resultados | valor=3683
linha=411 | nome=Daniela | acao=comparou as metricas | valor=3075
linha=412 | nome=Joao | acao=escreveu o relatorio | valor=8705
linha=413 | nome=Renata | acao=participou da aula | valor=5212
linha=414 | nome=Otavio | acao=analisou os resultados | valor=7468
linha=415 | nome=Igor | acao=analisou os resultados | valor=7168
linha=416 | nome=Daniela | acao=fez um experimento | valor=2221
linha=417 | nome=Mariana | acao=analisou os resultados | valor=6938
linha=418 | nome=Natalia | acao=comparou as metricas | valor=8082
linha=419 | nome=Natalia | acao=comparou as metricas | valor=6965
linha=420 | nome=Felipe | acao=executou o benchmark | valor=2446
linha=421 | nome=Helena | acao=otimizou o algoritmo | valor=2887
linha=422 | nome=Carlos | acao=escreveu o relatorio | valor=7135
linha=423 | nome=Igor | acao=comparou as metricas | valor=1422
linha=424 | nome=Tiago | acao=fez um experimento | valor=5325
linha=425 | nome=Joao | acao=executou o benchmark | valor=4752
linha=426 | nome=Gabriela | acao=escreveu o relatorio | valor=5361
linha=427 | nome=Karen | acao=estudou computacao | valor=5863
linha=428 | nome=Otavio | acao=escreveu o relatorio | valor=8875
linha=429 | nome=Gabriela | acao=analisou os resultados | valor=7486
linha=430 | nome=Bruno | acao=executou o benchmark | valor=2820
linha=431 | nome=Natalia | acao=comparou as metricas | valor=9965
linha=432 | nome=Karen | acao=fez um experimento | valor=1899
linha=433 | nome=Sofia | acao=fez um experimento | valor=2220
linha=434 | nome=Ana | acao=otimizou o algoritmo | valor=3653
linha=435 | nome=Ana | acao=analisou os resultados | valor=6782
linha=436 | nome=Joao | acao=estudou computacao | valor=9228
linha=437 | nome=Mariana | acao=executou o benchmark | valor=1759
linha=438 | nome=Mariana | acao=comparou as metricas | valor=3967
linha=439 | nome=Gabriela | acao=otimizou o algoritmo | valor=9223
linha=440 | nome=Mariana | acao=analisou os resultados | valor=6750
linha=441 | nome=Eduarda | acao=estudou computacao | valor=1755
linha=442 | nome=Bruno | acao=participou da aula | valor=3086
linha=443 | nome=Karen | acao=analisou os resultados | valor=1495
linha=444 | nome=Bruno | acao=analisou os resultados | valor=2937
linha=445 | nome=Tiago | acao=executou o benchmark | valor=5137
linha=446 | nome=Otavio | acao=participou da aula | valor=5898
linha=447 | nome=Joao | acao=participou da aula | valor=1187
linha=448 | nome=Helena | acao=comparou as metricas | valor=2253
linha=449 | nome=Eduarda | acao=comparou as metricas | valor=6858
linha=450 | nome=Ana | acao=escreveu o relatorio | valor=7932
