linha=1 | nome=Carlos | acao=estudou computacao | valor=1547
linha=178 | nome=Bruno | acao=analisou os resultados | valor=7237
linha=179 | nome=Lucas | acao=participou da aula | valor=1766
linha=180 | nome=Karen | acao=estudou computacao | valor=8544
linha=181 | nome=Joao | acao=estudou computacao | valor=4404
linha=182 | nome=Mariana | acao=otimizou o algoritmo | valor=1598
linha=183 | nome=Karen | acao=otimizou o algoritmo | valor=5921
linha=184 | nome=Igor | acao=fez um experimento | valor=5662
linha=185 | nome=Daniela | acao=analisou os resultados | valor=3176
linha=186 | nome=Tiago | acao=fez um experimento | valor=9558
linha=187 | nome=Lucas | acao=executou o benchmark | valor=7556
linha=188 | nome=Bruno | acao=executou o benchmark | valor=8282
linha=189 | nome=Vitor | acao=participou da aula | valor=4487
linha=190 | nome=Gabriela | acao=participou da aula | valor=3775
linha=191 | nome=Renata | acao=escreveu o relatorio | valor=9954
linha=192 | nome=Mariana | acao=comparou as metricas | valor=3291
linha=193 | nome=Daniela | acao=executou o benchmark | valor=7614
linha=194 | nome=Sofia | acao=otimizou o algoritmo | valor=8491
linha=195 | nome=Igor | acao=escreveu o relatorio | valor=1646
linha=196 | nome=Carlos | acao=analisou os resultados | valor=9955
linha=197 | nome=Joao | acao=estudou computacao | valor=5254
linha=198 | nome=Gabriela | acao=estudou computacao | valor=9650
linha=199 | nome=Daniela | acao=estudou computacao | valor=3316
linha=200 | nome=Mariana | acao=otimizou o algoritmo | valor=1504
linha=201 | nome=Mariana | acao=estudou computacao | valor=3428
linha=202 | nome=Renata | acao=executou o benchmark | valor=1311
linha=203 | nome=Otavio | acao=escreveu o relatorio | valor=8311
linha=204 | nome=Igor | acao=otimizou o algoritmo | valor=1689
linha=205 | nome=Ana | acao=escreveu o relatorio | valor=2351
linha=206 | nome=Gabriela | acao=analisou os resultados | valor=6432
linha=207 | nome=Felipe | acao=estudou computacao | valor=8851
linha=208 | nome=Vitor | acao=comparou as metricas | valor=1033
linha=209 | nome=Carlos | acao=escreveu o relatorio | valor=5078
linha=210 | nome=Ana | acao=estudou computacao | valor=4580
linha=211 | nome=Renata | acao=comparou as metricas | valor=1948
linha=212 | nome=Helena | acao=fez um experimento | valor=1998
linha=213 | nome=Felipe | acao=fez um experimento | valor=5234
linha=214 | nome=Otavio | acao=estudou computacao | valor=6320
linha=215 | nome=Bruno | acao=fez um experimento | valor=5157
linha=216 | nome=Daniela | acao=otimizou o algoritmo | valor=7369
linha=217 | nome=Natalia | acao=estudou computacao | valor=2298
linha=218 | nome=Sofia | acao=analisou os resultados | valor=1329
linha=219 | nome=Lucas | acao=escreveu o relatorio | valor=6558
linha=220 | nome=Paulo | acao=executou o benchmark | valor=7808
linha=221 | nome=Bruno | acao=escreveu o relatorio | valor=4934
linha=222 | nome=Karen | acao=estudou computacao | valor=9133
linha=223 | nome=Mariana | acao=comparou as metricas | valor=5539
linha=224 | nome=Helena | acao=participou da aula | valor=7424
linha=225 | nome=Helena | acao=otimizou o algoritmo | valor=7081
linha=226 | nome=Mariana | acao=comparou as metricas | valor=4875
linha=227 | nome=Igor | acao=fez um experimento | valor=2733
linha=228 | nome=Vitor | acao=participou da aula | valor=7218
linha=229 | nome=Ana | acao=otimizou o algoritmo | valor=1910
linha=230 | nome=Karen | acao=executou o benchmark | valor=7691
linha=231 | nome=Renata | acao=comparou as metricas | valor=3558
linha=232 | nome=Mariana | acao=analisou os resultados | valor=3434
linha=233 | nome=Vitor | acao=estudou computacao | valor=3160
linha=234 | nome=Joao | acao=estudou computacao | valor=4984
linha=235 | nome=Daniela | acao=analisou os resultados | valor=4456
linha=236 | nome=Gabriela | acao=escreveu o relatorio | valor=3932
linha=237 | nome=Gabriela | acao=executou o benchmark | valor=5058
linha=238 | nome=Natalia | acao=otimizou o algoritmo | valor=5137
linha=239 | nome=Ana | acao=comparou as metricas | valor=7205
linha=240 | nome=Helena | acao=executou o benchmark | valor=2064
linha=241 | nome=Mariana | acao=analisou os resultados | valor=2279
linha=242 | nome=Mariana | acao=fez um experimento | valor=3114
linha=243 | nome=Lucas | acao=escreveu o relatorio | valor=9285
linha=244 | nome=Tiago | acao=participou da aula | valor=3927
linha=245 | nome=Lucas | acao=estudou computacao | valor=9885
linha=246 | nome=Vitor | acao=participou da aula | valor=9167
linha=247 | nome=Otavio | acao=participou da aula | valor=5375
linha=248 | nome=Natalia | acao=otimizou o algoritmo | valor=3679
linha=249 | nome=Vitor | acao=analisou os resultados | valor=7298
linha=250 | nome=Karen | acao=comparou as metricas | valor=6266
linha=251 | nome=Lucas | acao=escreveu o relatorio | valor=2497
linha=252 | nome=Mariana | acao=otimizou o algoritmo | valor=6112
linha=253 | nome=Renata | acao=estudou computacao | valor=5695
linha=254 | nome=Felipe | acao=estudou computacao | valor=2223
linha=255 | nome=Daniela | acao=analisou os resultados | valor=6481
linha=256 | nome=Felipe | acao=comparou as metricas | valor=6648
linha=257 | nome=Lucas | acao=fez um experimento | valor=4663
linha=258 | nome=Mariana | acao=analisou os resultados | valor=6450
linha=259 | nome=Lucas | acao=escreveu o relatorio | valor=7278
linha=260 | nome=Joao | acao=comparou as metricas | valor=1597
linha=261 | nome=Carlos | acao=otimizou o algoritmo | valor=6025
linha=262 | nome=Natalia | acao=otimizou o algoritmo | valor=1816
linha=263 | nome=Gabriela | acao=otimizou o algoritmo | valor=4054
linha=264 | nome=Mariana | acao=estudou computacao | valor=2708
linha=265 | nome=Vitor | acao=otimizou o algoritmo | valor=7368
linha=266 | nome=Paulo | acao=analisou os resultados | valor=3743
linha=267 | nome=Natalia | acao=estudou computacao | valor=8360
linha=268 | nome=Renata | acao=otimizou o algoritmo | valor=8743
linha=269 | nome=Otavio | acao=otimizou o algoritmo | valor=6133
linha=270 | nome=Joao | acao=otimizou o algoritmo | valor=8554
linha=271 | nome=Igor | acao=escreveu o relatorio | valor=5993
linha=272 | nome=Paulo | acao=fez um experimento | valor=9002
linha=273 | nome=Eduarda | acao=comparou as metricas | valor=3006
linha=274 | nome=Paulo | acao=participou da aula | valor=4601
linha=275 | nome=Paulo | acao=estudou computacao | valor=4232
linha=276 | nome=Natalia | acao=analisou os resultados | valor=4674
linha=277 | nome=Bruno | acao=analisou os resultados | valor=3228
linha=278 | nome=Paulo | acao=participou da aula | valor=3974
linha=279 | nome=Tiago | acao=executou o benchmark | valor=1644
linha=280 | nome=Mariana | acao=executou o benchmark | valor=4984
linha=281 | nome=Ana | acao=executou o benchmark | valor=5700
linha=282 | nome=Helena | acao=comparou as metricas | valor=2594
linha=283 | nome=Daniela | acao=otimizou o algoritmo | valor=1178
linha=284 | nome=Gabriela | acao=analisou os resultados | valor=7656
linha=285 | nome=Helena | acao=fez um experimento | valor=3868
linha=286 | nome=Ana | acao=executou o benchmark | valor=2084
linha=287 | nome=Natalia | acao=escreveu o relatorio | valor=3124
linha=288 | nome=Eduarda | acao=participou da aula | valor=9991
linha=289 | nome=Karen | acao=otimizou o algoritmo | valor=4578
linha=290 | nome=Daniela | acao=otimizou o algoritmo | valor=7789
linha=291 | nome=Lucas | acao=analisou os resultados | valor=6130
linha=292 | nome=Otavio | acao=comparou as metricas | valor=2487
linha=293 | nome=Lucas | acao=escreveu o relatorio | valor=9965
linha=294 | nome=Tiago | acao=executou o benchmark | valor=9194
linha=295 | nome=Lucas | acao=executou o benchmark | valor=9312
linha=296 | nome=Paulo | acao=estudou computacao | valor=3521
linha=297 | nome=Felipe | acao=participou da aula | valor=3227
linha=298 | nome=Carlos | acao=otimizou o algoritmo | valor=8951
linha=299 | nome=Natalia | acao=estudou computacao | valor=6154
linha=300 | nome=Carlos | acao=participou da aula | valor=9951
linha=301 | nome=Felipe | acao=estudou computacao | valor=9562
linha=302 | nome=Renata | acao=otimizou o algoritmo | valor=8732
linha=303 | nome=Vitor | acao=executou o benchmark | valor=2111
linha=304 | nome=Otavio | acao=estudou computacao | valor=9494
linha=305 | nome=Mariana | acao=escreveu o relatorio | valor=8253
linha=306 | nome=Gabriela | acao=analisou os resultados | valor=7691
linha=307 | nome=Carlos | acao=escreveu o relatorio | valor=9217
linha=308 | nome=Joao | acao=participou da aula | valor=8182
linha=309 | nome=Sofia | acao=fez um experimento | valor=3701
linha=310 | nome=Daniela | acao=otimizou o algoritmo | valor=3651
linha=311 | nome=Mariana | acao=comparou as metricas | valor=5915
linha=312 | nome=Igor | acao=executou o benchmark | valor=9744
linha=313 | nome=Otavio | acao=participou da aula | valor=7249
linha=314 | nome=Natalia | acao=analisou os resultados | valor=9789
linha=315 | nome=Lucas | acao=participou da aula | valor=8359
linha=316 | nome=Felipe | acao=otimizou o algoritmo | valor=1798
linha=317 | nome=Bruno | acao=analisou os resultados | valor=6692
linha=318 | nome=Mariana | acao=estudou computacao | valor=6020
linha=319 | nome=Eduarda | acao=otimizou o algoritmo | valor=3154
linha=320 | nome=Joao | acao=participou da aula | valor=9682
linha=321 | nome=Felipe | acao=otimizou o algoritmo | valor=9169
linha=322 | nome=Ana | acao=estudou computacao | valor=5235
linha=323 | nome=Natalia | acao=analisou os resultados | valor=7175
linha=324 | nome=Daniela | acao=analisou os resultados | valor=6069
linha=325 | nome=Carlos | acao=participou da aula | valor=7317
linha=326 | nome=Carlos | acao=fez um experimento | valor=6151
linha=327 | nome=Eduarda | acao=executou o benchmark | valor=6957
linha=328 | nome=Gabriela | acao=otimizou o algoritmo | valor=3704
linha=329 | nome=Lucas | acao=comparou as metricas | valor=5937
linha=330 | nome=Ana | acao=comparou as metricas | valor=7179
linha=331 | nome=Otavio | acao=fez um experimento | valor=1237
linha=332 | nome=Lucas | acao=analisou os resultados | valor=5449
linha=333 | nome=Daniela | acao=comparou as metricas | valor=3330
linha=334 | nome=Renata | acao=analisou os resultados | valor=4787
linha=335 | nome=Eduarda | acao=estudou computacao | valor=3699
linha=336 | nome=Karen | acao=fez um experimento | valor=6340
linha=337 | nome=Igor | acao=executou o benchmark | valor=6326
linha=338 | nome=Otavio | acao=escreveu o relatorio | valor=3305
linha=339 | nome=Felipe | acao=comparou as metricas | valor=8392
linha=340 | nome=Carlos | acao=escreveu o relatorio | valor=5257
linha=341 | nome=Mariana | acao=executou o benchmark | valor=5301
linha=342 | nome=Ana | acao=escreveu o relatorio | valor=4084
linha=343 | nome=Ana | acao=executou o benchmark | valor=3970
linha=344 | nome=Renata | acao=participou da aula | valor=5476
linha=345 | nome=Sofia | acao=comparou as metricas | valor=4065
linha=346 | nome=Mariana | acao=otimizou o algoritmo | valor=1847
linha=347 | nome=Joao | acao=executou o benchmark | valor=7128
linha=348 | nome=Bruno | acao=fez um experimento | valor=5152
linha=349 | nome=Ana | acao=participou da aula | valor=7580
linha=350 | nome=Natalia | acao=fez um experimento | valor=6942
linha=351 | nome=Mariana | acao=fez um experimento | valor=8654
linha=352 | nome=Felipe | acao=participou da aula | valor=8798
linha=353 | nome=Gabriela | acao=escreveu o relatorio | valor=4029
linha=354 | nome=Natalia | acao=executou o benchmark | valor=2365
linha=355 | nome=Felipe | acao=comparou as metricas | valor=7937
linha=356 | nome=Igor | acao=otimizou o algoritmo | valor=5547
linha=357 | nome=Mariana | acao=estudou computacao | valor=2878
linha=358 | nome=Gabriela | acao=escreveu o relatorio | valor=8953
linha=359 | nome=Eduarda | acao=participou da aula | valor=6935
linha=360 | nome=Joao | acao=executou o benchmark | valor=8311
linha=361 | nome=Eduarda | acao=comparou as metricas | valor=9772
linha=362 | nome=Otavio | acao=escreveu o relatorio | valor=8192
linha=363 | nome=Bruno | acao=fez um experimento | valor=2406
linha=364 | nome=Tiago | acao=otimizou o algoritmo | valor=1912
linha=365 | nome=Mariana | acao=fez um experimento | valor=3734
linha=366 | nome=Paulo | acao=fez um experimento | valor=2634
linha=367 | nome=Helena | acao=escreveu o relatorio | valor=5436
linha=368 | nome=Lucas | acao=participou da aula | valor=9513
linha=369 | nome=Daniela | acao=estudou computacao | valor=5203
linha=370 | nome=Ana | acao=comparou as metricas | valor=2712
linha=371 | nome=Carlos | acao=estudou computacao | valor=3117
linha=372 | nome=Paulo | acao=comparou as metricas | valor=6485
linha=373 | nome=Carlos | acao=fez um experimento | valor=6285
linha=374 | nome=Mariana | acao=participou da aula | valor=5969
linha=375 | nome=Eduarda | acao=otimizou o algoritmo | valor=9148
linha=376 | nome=Eduarda | acao=analisou os resultados | valor=7522
linha=377 | nome=Felipe | acao=escreveu o relatorio | valor=6874
linha=378 | nome=Mariana | acao=escreveu o relatorio | valor=8362
linha=379 | nome=Otavio | acao=participou da aula | valor=4995
linha=380 | nome=Felipe | acao=estudou computacao | valor=4256
linha=381 | nome=Natalia | acao=executou o benchmark | valor=9042
linha=382 | nome=Gabriela | acao=fez um experimento | valor=6241
linha=383 | nome=Joao | acao=comparou as metricas | valor=5408
linha=384 | nome=Igor | acao=estudou computacao | valor=9239
linha=385 | nome=Igor | acao=analisou os resultados | valor=7662
linha=386 | nome=Vitor | acao=analisou os resultados | valor=9756
linha=387 | nome=Renata | acao=estudou computacao | valor=2535
linha=388 | nome=Otavio | acao=fez um experimento | valor=1871
linha=389 | nome=Mariana | acao=estudou computacao | valor=7497
linha=390 | nome=Igor | acao=otimizou o algoritmo | valor=9530
linha=391 | nome=Carlos | acao=estudou computacao | valor=5218
linha=392 | nome=Mariana | acao=comparou as metricas | valor=4971
linha=393 | nome=Otavio | acao=fez um experimento | valor=2833
linha=394 | nome=Tiago | acao=otimizou o algoritmo | valor=3101
linha=395 | nome=Igor | acao=estudou computacao | valor=4640
linha=396 | nome=Tiago | acao=comparou as metricas | valor=1114
linha=397 | nome=Carlos | acao=otimizou o algoritmo | valor=9604
linha=398 | nome=Vitor | acao=participou da aula | valor=4288
linha=399 | nome=Eduarda | acao=fez um experimento | valor=8068
linha=400 | nome=Paulo | acao=executou o benchmark | valor=5522
linha=401 | nome=Paulo | acao=escreveu o relatorio | valor=2059
linha=402 | nome=Sofia | acao=estudou computacao | valor=8666
linha=403 | nome=Igor | acao=executou o benchmark | valor=1616
linha=404 | nome=Igor | acao=participou da aula | valor=8909
linha=405 | nome=Bruno | acao=fez um experimento | valor=2631
linha=406 | nome=Daniela | acao=otimizou o algoritmo | valor=9129
linha=407 | nome=Tiago | acao=estudou computacao | valor=4445
linha=408 | nome=Ana | acao=otimizou o algoritmo | valor=4672
linha=409 | nome=Felipe | acao=estudou computacao | valor=5322
linha=410 | nome=Helena | acao=analisou os resultados | valor=2954
linha=411 | nome=Igor | acao=estudou computacao | valor=8175
linha=412 | nome=Tiago | acao=analisou os resultados | valor=8777
linha=413 | nome=Paulo | acao=fez um experimento | valor=8592
linha=414 | nome=Carlos | acao=estudou computacao | valor=1354
linha=415 | nome=Otavio | acao=executou o benchmark | valor=3548
linha=416 | nome=Felipe | acao=escreveu o relatorio | valor=5721
linha=417 | nome=Helena | acao=executou o benchmark | valor=4454
linha=418 | nome=Ana | acao=executou o benchmark | valor=2813
linha=419 | nome=Renata | acao=executou o benchmark | valor=1246
linha=420 | nome=Eduarda | acao=estudou computacao | valor=1492
linha=421 | nome=Lucas | acao=executou o benchmark | valor=3462
linha=422 | nome=Karen | acao=comparou as metricas | valor=7982
linha=423 | nome=Karen | acao=escreveu o relatorio | valor=9897
linha=424 | nome=Vitor | acao=executou o benchmark | valor=2526
linha=425 | nome=Bruno | acao=fez um experimento | valor=9076
linha=426 | nome=Igor | acao=participou da aula | valor=2558
linha=427 | nome=Mariana | acao=otimizou o algoritmo | valor=5522
linha=428 | nome=Lucas | acao=participou da aula | valor=4329
linha=429 | nome=Joao | acao=escreveu o relatorio | valor=7440
linha=430 | nome=Gabriela | acao=analisou os resultados | valor=8256
linha=431 | nome=Tiago | acao=otimizou o algoritmo | valor=3940
linha=432 | nome=Sofia | acao=escreveu o relatorio | valor=5097
linha=433 | nome=Tiago | acao=estudou computacao | valor=9631
linha=434 | nome=Vitor | acao=fez um experimento | valor=5945
linha=435 | nome=Felipe | acao=participou da aula | valor=5247
linha=436 | nome=Bruno | acao=executou o benchmark | valor=6633
linha=437 | nome=Karen | acao=executou o benchmark | valor=3280
linha=438 | nome=Vitor | acao=fez um experimento | valor=7382
linha=439 | nome=Renata | acao=comparou as metricas | valor=3271
linha=440 | nome=Karen | acao=escreveu o relatorio | valor=9431
linha=441 | nome=Lucas | acao=fez um experimento | valor=2632
linha=442 | nome=Otavio | acao=escreveu o relatorio | valor=2950
linha=443 | nome=Karen | acao=executou o benchmark | valor=1294
linha=444 | nome=Helena | acao=otimizou o algoritmo | valor=7524
linha=445 | nome=Tiago | acao=estudou computacao | valor=4266
linha=446 | nome=Mariana | acao=comparou as metricas | valor=3253
linha=447 | nome=Daniela | acao=escreveu o relatorio | valor=3750
linha=448 | nome=Karen | acao=estudou computacao | valor=3721
linha=449 | nome=Daniela | acao=comparou as metricas | valor=9928
linha=450 | nome=Eduarda | acao=escreveu o relatorio | valor=8036
linha=451 | nome=Otavio | acao=estudou computacao | valor=2795
