linha=1 | nome=Igor | acao=comparou as metricas | valor=7119
linha=55 | nome=Paulo | acao=comparou as metricas | valor=2651
linha=56 | nome=Bruno | acao=estudou computacao | valor=8685
linha=57 | nome=Mariana | acao=analisou os resultados | valor=3174
linha=58 | nome=Bruno | acao=estudou computacao | valor=1459
linha=59 | nome=Sofia | acao=fez um experimento | valor=8461
linha=60 | nome=Otavio | acao=fez um experimento | valor=4742
linha=61 | nome=Bruno | acao=analisou os resultados | valor=7772
linha=62 | nome=Mariana | acao=escreveu o relatorio | valor=5980
linha=63 | nome=Daniela | acao=otimizou o algoritmo | valor=3843
linha=64 | nome=Daniela | acao=comparou as metricas | valor=8325
linha=65 | nome=Renata | acao=executou o benchmark | valor=2999
linha=66 | nome=Felipe | acao=estudou computacao | valor=5896
linha=67 | nome=Carlos | acao=executou o benchmark | valor=1989
linha=68 | nome=Renata | acao=executou o benchmark | valor=1983
linha=69 | nome=Karen | acao=otimizou o algoritmo | valor=3045
linha=70 | nome=Daniela | acao=analisou os resultados | valor=2256
linha=71 | nome=Renata | acao=comparou as metricas | valor=4974
linha=72 | nome=Daniela | acao=comparou as metricas | valor=4706
linha=73 | nome=Natalia | acao=analisou os resultados | valor=4437
linha=74 | nome=Paulo | acao=escreveu o relatorio | valor=7914
linha=75 | nome=Lucas | acao=otimizou o algoritmo | valor=8410
linha=76 | nome=Sofia | acao=estudou computacao | valor=2284
linha=77 | nome=Otavio | acao=analisou os resultados | valor=1752
linha=78 | nome=Paulo | acao=executou o benchmark | valor=8324
linha=79 | nome=Tiago | acao=analisou os resultados | valor=7634
linha=80 | nome=Vitor | acao=estudou computacao | valor=6402
linha=81 | nome=Tiago | acao=executou o benchmark | valor=8538
linha=82 | nome=Gabriela | acao=executou o benchmark | valor=3440
linha=83 | nome=Sofia | acao=comparou as metricas | valor=3564
linha=84 | nome=Eduarda | acao=fez um experimento | valor=9142
linha=85 | nome=Mariana | acao=comparou as metricas | valor=4747
linha=86 | nome=Lucas | acao=analisou os resultados | valor=8146
linha=87 | nome=Renata | acao=participou da aula | valor=8482
linha=88 | nome=Vitor | acao=escreveu o relatorio | valor=6337
linha=89 | nome=Joao | acao=fez um experimento | valor=2695
linha=90 | nome=Sofia | acao=escreveu o relatorio | valor=5865
linha=91 | nome=Eduarda | acao=participou da aula | valor=1158
linha=92 | nome=Vitor | acao=estudou computacao | valor=4756
linha=93 | nome=Ana | acao=executou o benchmark | valor=2469
linha=94 | nome=Renata | acao=escreveu o relatorio | valor=5762
linha=95 | nome=Felipe | acao=executou o benchmark | valor=5166
linha=96 | nome=Vitor | acao=fez um experimento | valor=5402
linha=97 | nome=Daniela | acao=otimizou o algoritmo | valor=4880
linha=98 | nome=Otavio | acao=analisou os resultados | valor=3608
linha=99 | nome=Mariana | acao=fez um experimento | valor=9871
linha=100 | nome=Carlos | acao=otimizou o algoritmo | valor=1565
linha=101 | nome=Bruno | acao=escreveu o relatorio | valor=8282
linha=102 | nome=Eduarda | acao=escreveu o relatorio | valor=3173
linha=103 | nome=Renata | acao=fez um experimento | valor=7605
linha=104 | nome=Vitor | acao=otimizou o algoritmo | valor=4064
linha=105 | nome=Ana | acao=estudou computacao | valor=4640
linha=106 | nome=Bruno | acao=estudou computacao | valor=8232
linha=107 | nome=Renata | acao=estudou computacao | valor=4760
linha=108 | nome=Daniela | acao=fez um experimento | valor=1270
linha=109 | nome=Renata | acao=participou da aula | valor=5804
linha=110 | nome=Igor | acao=comparou as metricas | valor=6006
linha=111 | nome=Mariana | acao=comparou as metricas | valor=2396
linha=112 | nome=Carlos | acao=analisou os resultados | valor=3814
linha=113 | nome=Renata | acao=executou o benchmark | valor=9436
linha=114 | nome=Sofia | acao=otimizou o algoritmo | valor=5413
linha=115 | nome=Natalia | acao=participou da aula | valor=9756
linha=116 | nome=Sofia | acao=otimizou o algoritmo | valor=6996
linha=117 | nome=Lucas | acao=estudou computacao | valor=6641
linha=118 | nome=Helena | acao=comparou as metricas | valor=5671
linha=119 | nome=Joao | acao=fez um experimento | valor=7880
linha=120 | nome=Paulo | acao=fez um experimento | valor=9658
linha=121 | nome=Renata | acao=executou o benchmark | valor=2687
linha=122 | nome=Paulo | acao=escreveu o relatorio | valor=9852
linha=123 | nome=Karen | acao=analisou os resultados | valor=5849
linha=124 | nome=Lucas | acao=escreveu o relatorio | valor=7840
linha=125 | nome=Mariana | acao=analisou os resultados | valor=7801
linha=126 | nome=Felipe | acao=escreveu o relatorio | valor=8014
linha=127 | nome=Felipe | acao=estudou computacao | valor=2135
linha=128 | nome=Joao | acao=comparou as metricas | valor=9590
linha=129 | nome=Otavio | acao=fez um experimento | valor=6915
linha=130 | nome=Daniela | acao=comparou as metricas | valor=4447
linha=131 | nome=Karen | acao=executou o benchmark | valor=8124
linha=132 | nome=Bruno | acao=comparou as metricas | valor=9088
linha=133 | nome=Karen | acao=estudou computacao | valor=7544
linha=134 | nome=Mariana | acao=otimizou o algoritmo | valor=5504
linha=135 | nome=Tiago | acao=otimizou o algoritmo | valor=2162
linha=136 | nome=Eduarda | acao=otimizou o algoritmo | valor=4034
linha=137 | nome=Gabriela | acao=estudou computacao | valor=3506
linha=138 | nome=Vitor | acao=comparou as metricas | valor=3277
linha=139 | nome=Tiago | acao=participou da aula | valor=5118
linha=140 | nome=Eduarda | acao=participou da aula | valor=6732
linha=141 | nome=Vitor | acao=otimizou o algoritmo | valor=1522
linha=142 | nome=Natalia | acao=comparou as metricas | valor=1507
linha=143 | nome=Mariana | acao=escreveu o relatorio | valor=6478
linha=144 | nome=Ana | acao=escreveu o relatorio | valor=7090
linha=145 | nome=Igor | acao=otimizou o algoritmo | valor=7537
linha=146 | nome=Carlos | acao=escreveu o relatorio | valor=7039
linha=147 | nome=Joao | acao=estudou computacao | valor=6346
linha=148 | nome=Paulo | acao=escreveu o relatorio | valor=1663
linha=149 | nome=Ana | acao=escreveu o relatorio | valor=5193
linha=150 | nome=Ana | acao=escreveu o relatorio | valor=6395
linha=151 | nome=Mariana | acao=escreveu o relatorio | valor=2787
linha=152 | nome=Paulo | acao=escreveu o relatorio | valor=8693
linha=153 | nome=Tiago | acao=estudou computacao | valor=6896
linha=154 | nome=Sofia | acao=comparou as metricas | valor=6560
linha=155 | nome=Paulo | acao=otimizou o algoritmo | valor=6113
linha=156 | nome=Felipe | acao=fez um experimento | valor=2818
linha=157 | nome=Ana | acao=participou da aula | valor=1637
linha=158 | nome=Vitor | acao=participou da aula | valor=6225
linha=159 | nome=Mariana | acao=analisou os resultados | valor=1395
linha=160 | nome=Helena | acao=escreveu o relatorio | valor=4675
linha=161 | nome=Mariana | acao=analisou os resultados | valor=4434
linha=162 | nome=Helena | acao=estudou computacao | valor=5901
linha=163 | nome=Renata | acao=estudou computacao | valor=3980
linha=164 | nome=Tiago | acao=estudou computacao | valor=2300
linha=165 | nome=Gabriela | acao=executou o benchmark | valor=9013
linha=166 | nome=Carlos | acao=estudou computacao | valor=3396
linha=167 | nome=Paulo | acao=comparou as metricas | valor=4150
linha=168 | nome=Bruno | acao=fez um experimento | valor=3843
linha=169 | nome=Karen | acao=fez um experimento | valor=8399
linha=170 | nome=Eduarda | acao=executou o benchmark | valor=4424
linha=171 | nome=Vitor | acao=escreveu o relatorio | valor=3990
linha=172 | nome=Karen | acao=estudou computacao | valor=9699
linha=173 | nome=Carlos | acao=fez um experimento | valor=9271
linha=174 | nome=Mariana | acao=participou da aula | valor=8733
linha=175 | nome=Natalia | acao=estudou computacao | valor=6374
linha=176 | nome=Eduarda | acao=otimizou o algoritmo | valor=1837
linha=177 | nome=Eduarda | acao=participou da aula | valor=1222
linha=178 | nome=Mariana | acao=fez um experimento | valor=7117
linha=179 | nome=Carlos | acao=participou da aula | valor=9039
linha=180 | nome=Bruno | acao=otimizou o algoritmo | valor=7365
linha=181 | nome=Lucas | acao=fez um experimento | valor=1602
linha=182 | nome=Igor | acao=executou o benchmark | valor=6510
linha=183 | nome=Mariana | acao=escreveu o relatorio | valor=7117
linha=184 | nome=Bruno | acao=fez um experimento | valor=1351
linha=185 | nome=Bruno | acao=comparou as metricas | valor=4226
linha=186 | nome=Eduarda | acao=escreveu o relatorio | valor=4239
linha=187 | nome=Paulo | acao=fez um experimento | valor=3908
linha=188 | nome=Karen | acao=fez um experimento | valor=8795
linha=189 | nome=Otavio | acao=escreveu o relatorio | valor=1338
linha=190 | nome=Sofia | acao=fez um experimento | valor=3404
linha=191 | nome=Gabriela | acao=escreveu o relatorio | valor=2497
linha=192 | nome=Karen | acao=otimizou o algoritmo | valor=3279
linha=193 | nome=Joao | acao=estudou computacao | valor=1546
linha=194 | nome=Helena | acao=escreveu o relatorio | valor=1643
linha=195 | nome=Ana | acao=otimizou o algoritmo | valor=7605
linha=196 | nome=Tiago | acao=executou o benchmark | valor=6119
linha=197 | nome=Igor | acao=otimizou o algoritmo | valor=9172
linha=198 | nome=Bruno | acao=participou da aula | valor=7242
linha=199 | nome=Lucas | acao=estudou computacao | valor=3286
linha=200 | nome=Lucas | acao=estudou computacao | valor=3149
linha=201 | nome=Ana | acao=analisou os resultados | valor=4859
linha=202 | nome=Mariana | acao=escreveu o relatorio | valor=4055
linha=203 | nome=Daniela | acao=estudou computacao | valor=5080
linha=204 | nome=Sofia | acao=executou o benchmark | valor=5148
linha=205 | nome=Felipe | acao=comparou as metricas | valor=3304
linha=206 | nome=Mariana | acao=participou da aula | valor=9785
linha=207 | nome=Renata | acao=escreveu o relatorio | valor=7956
linha=208 | nome=Daniela | acao=otimizou o algoritmo | valor=2439
linha=209 | nome=Lucas | acao=fez um experimento | valor=6894
linha=210 | nome=Natalia | acao=participou da aula | valor=9918
linha=211 | nome=Helena | acao=analisou os resultados | valor=6553
linha=212 | nome=Eduarda | acao=estudou computacao | valor=7917
linha=213 | nome=Otavio | acao=otimizou o algoritmo | valor=8383
linha=214 | nome=Tiago | acao=executou o benchmark | valor=3094
linha=215 | nome=Natalia | acao=executou o benchmark | valor=1502
linha=216 | nome=Carlos | acao=otimizou o algoritmo | valor=1391
linha=217 | nome=Natalia | acao=estudou computacao | valor=5757
linha=218 | nome=Paulo | acao=analisou os resultados | valor=7537
linha=219 | nome=Gabriela | acao=fez um experimento | valor=5868
linha=220 | nome=Sofia | acao=participou da aula | valor=1374
linha=221 | nome=Ana | acao=executou o benchmark | valor=7128
linha=222 | nome=Natalia | acao=participou da aula | valor=5809
linha=223 | nome=Helena | acao=otimizou o algoritmo | valor=6673
linha=224 | nome=Sofia | acao=participou da aula | valor=1895
linha=225 | nome=Joao | acao=otimizou o algoritmo | valor=5806
linha=226 | nome=Igor | acao=executou o benchmark | valor=5431
linha=227 | nome=Carlos | acao=executou o benchmark | valor=6362
linha=228 | nome=Renata | acao=comparou as metricas | valor=9533
linha=229 | nome=Bruno | acao=fez um experimento | valor=3892
linha=230 | nome=Bruno | acao=fez um experimento | valor=3288
linha=231 | nome=Carlos | acao=fez um experimento | valor=5666
linha=232 | nome=Felipe | acao=otimizou o algoritmo | valor=7706
linha=233 | nome=Vitor | acao=otimizou o algoritmo | valor=5598
linha=234 | nome=Felipe | acao=otimizou o algoritmo | valor=5884
linha=235 | nome=Paulo | acao=estudou computacao | valor=7960
linha=236 | nome=Renata | acao=otimizou o algoritmo | valor=8873
linha=237 | nome=Natalia | acao=executou o benchmark | valor=6480
linha=238 | nome=Eduarda | acao=participou da aula | valor=2819
linha=239 | nome=Karen | acao=analisou os resultados | valor=2910
linha=240 | nome=Karen | acao=escreveu o relatorio | valor=5915
linha=241 | nome=Daniela | acao=participou da aula | valor=8861
linha=242 | nome=Paulo | acao=comparou as metricas | valor=7429
linha=243 | nome=Paulo | acao=escreveu o relatorio | valor=9861
linha=244 | nome=Sofia | acao=participou da aula | valor=5420
linha=245 | nome=Helena | acao=otimizou o algoritmo | valor=9509
linha=246 | nome=Tiago | acao=participou da aula | valor=6539
linha=247 | nome=Lucas | acao=participou da aula | valor=2765
linha=248 | nome=Karen | acao=comparou as metricas | valor=9593
linha=249 | nome=Gabriela | acao=estudou computacao | valor=4317
linha=250 | nome=Carlos | acao=executou o benchmark | valor=2695
linha=251 | nome=Renata | acao=escreveu o relatorio | valor=4728
linha=252 | nome=Paulo | acao=executou o benchmark | valor=5408
linha=253 | nome=Bruno | acao=escreveu o relatorio | valor=2343
linha=254 | nome=Carlos | acao=executou o benchmark | valor=2372
linha=255 | nome=Mariana | acao=participou da aula | valor=2303
linha=256 | nome=Lucas | acao=otimizou o algoritmo | valor=4183
linha=257 | nome=Igor | acao=participou da aula | valor=8613
linha=258 | nome=Vitor | acao=otimizou o algoritmo | valor=7966
linha=259 | nome=Eduarda | acao=fez um experimento | valor=7925
linha=260 | nome=Sofia | acao=otimizou o algoritmo | valor=3705
linha=261 | nome=Helena | acao=comparou as metricas | valor=8440
linha=262 | nome=Lucas | acao=participou da aula | valor=7160
linha=263 | nome=Paulo | acao=participou da aula | valor=6774
linha=264 | nome=Lucas | acao=otimizou o algoritmo | valor=7252
linha=265 | nome=Renata | acao=analisou os resultados | valor=1177
linha=266 | nome=Gabriela | acao=escreveu o relatorio | valor=5161
linha=267 | nome=Natalia | acao=comparou as metricas | valor=6562
linha=268 | nome=Ana | acao=escreveu o relatorio | valor=8591
linha=269 | nome=Felipe | acao=otimizou o algoritmo | valor=8964
linha=270 | nome=Lucas | acao=analisou os resultados | valor=1153
linha=271 | nome=Igor | acao=executou o benchmark | valor=4346
linha=272 | nome=Eduarda | acao=participou da aula | valor=6514
linha=273 | nome=Sofia | acao=participou da aula | valor=4283
linha=274 | nome=Tiago | acao=analisou os resultados | valor=3433
linha=275 | nome=Igor | acao=fez um experimento | valor=6784
linha=276 | nome=Gabriela | acao=executou o benchmark | valor=3972
linha=277 | nome=Carlos | acao=analisou os resultados | valor=8078
linha=278 | nome=Helena | acao=participou da aula | valor=2761
linha=279 | nome=Vitor | acao=otimizou o algoritmo | valor=1493
linha=280 | nome=Sofia | acao=escreveu o relatorio | valor=8014
linha=281 | nome=Natalia | acao=fez um experimento | valor=8104
linha=282 | nome=Karen | acao=escreveu o relatorio | valor=8861
linha=283 | nome=Eduarda | acao=fez um experimento | valor=1718
linha=284 | nome=Tiago | acao=fez um experimento | valor=6165
linha=285 | nome=Renata | acao=comparou as metricas | valor=2376
linha=286 | nome=Helena | acao=analisou os resultados | valor=3311
linha=287 | nome=Karen | acao=fez um experimento | valor=3604
linha=288 | nome=Bruno | acao=executou o benchmark | valor=7342
linha=289 | nome=Lucas | acao=estudou computacao | valor=8402
linha=290 | nome=Tiago | acao=comparou as metricas | valor=6719
linha=291 | nome=Sofia | acao=participou da aula | valor=7543
linha=292 | nome=Bruno | acao=participou da aula | valor=8307
linha=293 | nome=Tiago | acao=executou o benchmark | valor=6546
linha=294 | nome=Felipe | acao=participou da aula | valor=9559
linha=295 | nome=Felipe | acao=analisou os resultados | valor=2925
linha=296 | nome=Paulo | acao=otimizou o algoritmo | valor=9946
linha=297 | nome=Gabriela | acao=escreveu o relatorio | valor=6965
linha=298 | nome=Ana | acao=executou o benchmark | valor=1058
linha=299 | nome=Lucas | acao=fez um experimento | valor=4300
linha=300 | nome=Vitor | acao=analisou os resultados | valor=6429
linha=301 | nome=Carlos | acao=analisou os resultados | valor=1940
linha=302 | nome=Otavio | acao=participou da aula | valor=2314
linha=303 | nome=Gabriela | acao=estudou computacao | valor=4418
linha=304 | nome=Natalia | acao=otimizou o algoritmo | valor=2293
linha=305 | nome=Bruno | acao=comparou as metricas | valor=8725
linha=306 | nome=Bruno | acao=comparou as metricas | valor=3457
linha=307 | nome=Helena | acao=participou da aula | valor=8381
linha=308 | nome=Tiago | acao=otimizou o algoritmo | valor=1216
linha=309 | nome=Daniela | acao=estudou computacao | valor=1966
linha=310 | nome=Bruno | acao=escreveu o relatorio | valor=5352
linha=311 | nome=Tiago | acao=fez um experimento | valor=3500
linha=312 | nome=Carlos | acao=analisou os resultados | valor=3994
linha=313 | nome=Sofia | acao=analisou os resultados | valor=1193
linha=314 | nome=Lucas | acao=executou o benchmark | valor=9228
linha=315 | nome=Joao | acao=fez um experimento | valor=2720
linha=316 | nome=Paulo | acao=executou o benchmark | valor=1553
linha=317 | nome=Mariana | acao=escreveu o relatorio | valor=8618
linha=318 | nome=Eduarda | acao=participou da aula | valor=8642
linha=319 | nome=Renata | acao=estudou computacao | valor=9378
linha=320 | nome=Sofia | acao=estudou computacao | valor=7173
linha=321 | nome=Mariana | acao=escreveu o relatorio | valor=4569
linha=322 | nome=Karen | acao=estudou computacao | valor=4578
linha=323 | nome=Renata | acao=escreveu o relatorio | valor=4428
linha=324 | nome=Tiago | acao=participou da aula | valor=3198
linha=325 | nome=Helena | acao=fez um experimento | valor=5509
linha=326 | nome=Natalia | acao=otimizou o algoritmo | valor=5432
linha=327 | nome=Otavio | acao=otimizou o algoritmo | valor=3330
linha=328 | nome=Natalia | acao=executou o benchmark | valor=1034
linha=329 | nome=Felipe | acao=fez um experimento | valor=2069
linha=330 | nome=Joao | acao=fez um experimento | valor=6769
linha=331 | nome=Eduarda | acao=otimizou o algoritmo | valor=9330
linha=332 | nome=Ana | acao=otimizou o algoritmo | valor=8231
linha=333 | nome=Felipe | acao=executou o benchmark | valor=2020
linha=334 | nome=Mariana | acao=analisou os resultados | valor=6024
linha=335 | nome=Vitor | acao=executou o benchmark | valor=8844
linha=336 | nome=Carlos | acao=fez um experimento | valor=2065
linha=337 | nome=Vitor | acao=estudou computacao | valor=6859
linha=338 | nome=Lucas | acao=executou o benchmark | valor=6502
linha=339 | nome=Helena | acao=otimizou o algoritmo | valor=8909
linha=340 | nome=Renata | acao=comparou as metricas | valor=8465
linha=341 | nome=Daniela | acao=otimizou o algoritmo | valor=6755
linha=342 | nome=Ana | acao=estudou computacao | valor=1121
linha=343 | nome=Paulo | acao=analisou os resultados | valor=2371
linha=344 | nome=Renata | acao=fez um experimento | valor=7587
linha=345 | nome=Lucas | acao=estudou computacao | valor=1262
linha=346 | nome=Helena | acao=participou da aula | valor=1257
linha=347 | nome=Sofia | acao=participou da aula | valor=3243
linha=348 | nome=Bruno | acao=escreveu o relatorio | valor=5826
linha=349 | nome=Mariana | acao=estudou computacao | valor=9018
linha=350 | nome=Sofia | acao=otimizou o algoritmo | valor=4950
linha=351 | nome=Natalia | acao=fez um experimento | valor=2401
linha=352 | nome=Eduarda | acao=executou o benchmark | valor=3274
linha=353 | nome=Ana | acao=estudou computacao | valor=3783
linha=354 | nome=Igor | acao=fez um experimento | valor=6758
linha=355 | nome=Vitor | acao=comparou as metricas | valor=9866
linha=356 | nome=Carlos | acao=comparou as metricas | valor=5062
linha=357 | nome=Sofia | acao=otimizou o algoritmo | valor=4493
linha=358 | nome=Igor | acao=analisou os resultados | valor=8672
linha=359 | nome=Karen | acao=comparou as metricas | valor=2933
linha=360 | nome=Igor | acao=comparou as metricas | valor=4143
linha=361 | nome=Vitor | acao=otimizou o algoritmo | valor=4578
linha=362 | nome=Lucas | acao=executou o benchmark | valor=1824
linha=363 | nome=Mariana | acao=participou da aula | valor=6941
linha=364 | nome=Otavio | acao=participou da aula | valor=5430
linha=365 | nome=Eduarda | acao=executou o benchmark | valor=5294
linha=366 | nome=Vitor | acao=estudou computacao | valor=5416
linha=367 | nome=Helena | acao=otimizou o algoritmo | valor=7734
linha=368 | nome=Eduarda | acao=participou da aula | valor=9051
linha=369 | nome=Tiago | acao=analisou os resultados | valor=9181
linha=370 | nome=Igor | acao=fez um experimento | valor=2365
linha=371 | nome=Renata | acao=otimizou o algoritmo | valor=1763
linha=372 | nome=Mariana | acao=analisou os resultados | valor=2570
linha=373 | nome=Eduarda | acao=fez um experimento | valor=5583
linha=374 | nome=Eduarda | acao=estudou computacao | valor=8543
linha=375 | nome=Paulo | acao=escreveu o relatorio | valor=2269
linha=376 | nome=Daniela | acao=executou o benchmark | valor=5095
linha=377 | nome=Carlos | acao=comparou as metricas | valor=6733
linha=378 | nome=Otavio | acao=participou da aula | valor=9073
linha=379 | nome=Paulo | acao=otimizou o algoritmo | valor=6013
linha=380 | nome=Daniela | acao=otimizou o algoritmo | valor=9993
linha=381 | nome=Gabriela | acao=executou o benchmark | valor=9929
linha=382 | nome=Mariana | acao=comparou as metricas | valor=7623
linha=383 | nome=Vitor | acao=otimizou o algoritmo | valor=9301
linha=384 | nome=Daniela | acao=fez um experimento | valor=9795
linha=385 | nome=Renata | acao=executou o benchmark | valor=3938
linha=386 | nome=Daniela | acao=executou o benchmark | valor=6998
linha=387 | nome=Mariana | acao=analisou os resultados | valor=5248
linha=388 | nome=Natalia | acao=executou o benchmark | valor=8072
linha=389 | nome=Bruno | acao=otimizou o algoritmo | valor=7789
linha=390 | nome=Natalia | acao=fez um experimento | valor=8112
linha=391 | nome=Renata | acao=escreveu o relatorio | valor=5855
linha=392 | nome=Igor | acao=comparou as metricas | valor=1154
linha=393 | nome=Natalia | acao=participou da aula | valor=5538
linha=394 | nome=Felipe | acao=otimizou o algoritmo | valor=5371
linha=395 | nome=Gabriela | acao=fez um experimento | valor=5136
linha=396 | nome=Carlos | acao=estudou computacao | valor=8542
linha=397 | nome=Helena | acao=escreveu o relatorio | valor=7045
linha=398 | nome=Igor | acao=comparou as metricas | valor=1679
linha=399 | nome=Vitor | acao=executou o benchmark | valor=8624
linha=400 | nome=Bruno | acao=estudou computacao | valor=2935
linha=401 | nome=Daniela | acao=estudou computacao | valor=5033
linha=402 | nome=Mariana | acao=otimizou o algoritmo | valor=2756
linha=403 | nome=Renata | acao=analisou os resultados | valor=4459
linha=404 | nome=Sofia | acao=fez um experimento | valor=4325
linha=405 | nome=Mariana | acao=otimizou o algoritmo | valor=3297
linha=406 | nome=Lucas | acao=executou o benchmark | valor=6829
linha=407 | nome=Eduarda | acao=participou da aula | valor=3902
linha=408 | nome=Joao | acao=estudou computacao | valor=1347
linha=409 | nome=Helena | acao=executou o benchmark | valor=7346
linha=410 | nome=Helena | acao=escreveu o relatorio | valor=3482
linha=411 | nome=Karen | acao=participou da aula | valor=9672
linha=412 | nome=Paulo | acao=otimizou o algoritmo | valor=8365
linha=413 | nome=Carlos | acao=analisou os resultados | valor=3646
linha=414 | nome=Mariana | acao=comparou as metricas | valor=7053
linha=415 | nome=Bruno | acao=comparou as metricas | valor=7791
linha=416 | nome=Tiago | acao=comparou as metricas | valor=8228
linha=417 | nome=Karen | acao=otimizou o algoritmo | valor=6693
linha=418 | nome=Eduarda | acao=escreveu o relatorio | valor=4942
linha=419 | nome=Gabriela | acao=escreveu o relatorio | valor=4719
linha=420 | nome=Paulo | acao=executou o benchmark | valor=1624
linha=421 | nome=Lucas | acao=executou o benchmark | valor=8205
linha=422 | nome=Otavio | acao=fez um experimento | valor=7165
linha=423 | nome=Mariana | acao=fez um experimento | valor=5133
linha=424 | nome=Renata | acao=comparou as metricas | valor=9446
linha=425 | nome=Natalia | acao=otimizou o algoritmo | valor=8896
linha=426 | nome=Ana | acao=comparou as metricas | valor=6626
linha=427 | nome=Renata | acao=comparou as metricas | valor=3856
linha=428 | nome=Eduarda | acao=participou da aula | valor=9897
linha=429 | nome=Eduarda | acao=escreveu o relatorio | valor=7197
linha=430 | nome=Renata | acao=fez um experimento | valor=1008
linha=431 | nome=Helena | acao=escreveu o relatorio | valor=2601
linha=432 | nome=Sofia | acao=fez um experimento | valor=9566
linha=433 | nome=Sofia | acao=participou da aula | valor=8843
linha=434 | nome=Sofia | acao=executou o benchmark | valor=1178
linha=435 | nome=Carlos | acao=analisou os resultados | valor=3545
linha=436 | nome=Helena | acao=fez um experimento | valor=5253
linha=437 | nome=Mariana | acao=participou da aula | valor=8605
linha=438 | nome=Helena | acao=executou o benchmark | valor=9347
linha=439 | nome=Carlos | acao=participou da aula | valor=2516
linha=440 | nome=Karen | acao=fez um experimento | valor=2017
linha=441 | nome=Carlos | acao=fez um experimento | valor=9199
linha=442 | nome=Mariana | acao=comparou as metricas | valor=2459
linha=443 | nome=Mariana | acao=fez um experimento | valor=8201
linha=444 | nome=Felipe | acao=participou da aula | valor=6620
linha=445 | nome=Ana | acao=analisou os resultados | valor=5450
linha=446 | nome=Otavio | acao=participou da aula | valor=4639
linha=447 | nome=Otavio | acao=fez um experimento | valor=1757
linha=448 | nome=Lucas | acao=fez um experimento | valor=2416
linha=449 | nome=Igor | acao=participou da aula | valor=9540
linha=450 | nome=Karen | acao=analisou os resultados | valor=3615
