linha=1 | nome=Natalia | acao=otimizou o algoritmo | valor=7255
linha=306 | nome=Eduarda | acao=estudou computacao | valor=1890
linha=307 | nome=Igor | acao=participou da aula | valor=5225
linha=308 | nome=Ana | acao=analisou os resultados | valor=4348
linha=309 | nome=Joao | acao=fez um experimento | valor=5387
linha=310 | nome=Eduarda | acao=escreveu o relatorio | valor=5168
linha=311 | nome=Renata | acao=analisou os resultados | valor=1350
linha=312 | nome=Felipe | acao=otimizou o algoritmo | valor=1627
linha=313 | nome=Otavio | acao=estudou computacao | valor=4357
linha=314 | nome=Igor | acao=comparou as metricas | valor=6368
linha=315 | nome=Joao | acao=escreveu o relatorio | valor=9983
linha=316 | nome=Felipe | acao=comparou as metricas | valor=2117
linha=317 | nome=Mariana | acao=escreveu o relatorio | valor=9847
linha=318 | nome=Tiago | acao=analisou os resultados | valor=5116
linha=319 | nome=Igor | acao=participou da aula | valor=2198
linha=320 | nome=Gabriela | acao=comparou as metricas | valor=6906
linha=321 | nome=Carlos | acao=analisou os resultados | valor=4714
linha=322 | nome=Sofia | acao=comparou as metricas | valor=7474
linha=323 | nome=Vitor | acao=analisou os resultados | valor=5704
linha=324 | nome=Natalia | acao=fez um experimento | valor=6049
linha=325 | nome=Vitor | acao=comparou as metricas | valor=7704
linha=326 | nome=Paulo | acao=analisou os resultados | valor=7646
linha=327 | nome=Lucas | acao=analisou os resultados | valor=2903
linha=328 | nome=Joao | acao=executou o benchmark | valor=8597
linha=329 | nome=Tiago | acao=fez um experimento | valor=5141
linha=330 | nome=Lucas | acao=escreveu o relatorio | valor=3420
linha=331 | nome=Karen | acao=estudou computacao | valor=4613
linha=332 | nome=Joao | acao=comparou as metricas | valor=7774
linha=333 | nome=Ana | acao=participou da aula | valor=4754
linha=334 | nome=Paulo | acao=executou o benchmark | valor=6962
linha=335 | nome=Karen | acao=otimizou o algoritmo | valor=4150
linha=336 | nome=Joao | acao=otimizou o algoritmo | valor=2139
linha=337 | nome=Karen | acao=participou da aula | valor=8214
linha=338 | nome=Gabriela | acao=comparou as metricas | valor=2818
linha=339 | nome=Gabriela | acao=otimizou o algoritmo | valor=3970
linha=340 | nome=Gabriela | acao=participou da aula | valor=7660
linha=341 | nome=Eduarda | acao=escreveu o relatorio | valor=4785
linha=342 | nome=Daniela | acao=executou o benchmark | valor=1174
linha=343 | nome=Renata | acao=escreveu o relatorio | valor=8158
linha=344 | nome=Mariana | acao=comparou as metricas | valor=6253
linha=345 | nome=Lucas | acao=executou o benchmark | valor=6758
linha=346 | nome=Tiago | acao=participou da aula | valor=4461
linha=347 | nome=Mariana | acao=executou o benchmark | valor=7807
linha=348 | nome=Igor | acao=fez um experimento | valor=1573
linha=349 | nome=Mariana | acao=fez um experimento | valor=1276
linha=350 | nome=Ana | acao=fez um experimento | valor=8459
linha=351 | nome=Joao | acao=analisou os resultados | valor=1666
linha=352 | nome=Otavio | acao=estudou computacao | valor=9181
linha=353 | nome=Sofia | acao=comparou as metricas | valor=8801
linha=354 | nome=Gabriela | acao=escreveu o relatorio | valor=6101
linha=355 | nome=Sofia | acao=escreveu o relatorio | valor=3034
linha=356 | nome=Karen | acao=otimizou o algoritmo | valor=2997
linha=357 | nome=Natalia | acao=escreveu o relatorio | valor=2435
linha=358 | nome=Lucas | acao=estudou computacao | valor=4218
linha=359 | nome=Vitor | acao=comparou as metricas | valor=7574
linha=360 | nome=Paulo | acao=analisou os resultados | valor=6961
linha=361 | nome=Vitor | acao=estudou computacao | valor=8755
linha=362 | nome=Paulo | acao=escreveu o relatorio | valor=9183
linha=363 | nome=Joao | acao=estudou computacao | valor=3485
linha=364 | nome=Mariana | acao=analisou os resultados | valor=2244
linha=365 | nome=Sofia | acao=participou da aula | valor=1093
linha=366 | nome=Sofia | acao=analisou os resultados | valor=8115
linha=367 | nome=Carlos | acao=otimizou o algoritmo | valor=1417
linha=368 | nome=Paulo | acao=participou da aula | valor=1259
linha=369 | nome=Eduarda | acao=estudou computacao | valor=5674
linha=370 | nome=Eduarda | acao=estudou computacao | valor=8334
linha=371 | nome=Paulo | acao=comparou as metricas | valor=5291
linha=372 | nome=Eduarda | acao=otimizou o algoritmo | valor=7870
linha=373 | nome=Daniela | acao=otimizou o algoritmo | valor=4901
linha=374 | nome=Tiago | acao=estudou computacao | valor=1661
linha=375 | nome=Mariana | acao=executou o benchmark | valor=3036
linha=376 | nome=Ana | acao=comparou as metricas | valor=6837
linha=377 | nome=Renata | acao=executou o benchmark | valor=1443
linha=378 | nome=Lucas | acao=estudou computacao | valor=9364
linha=379 | nome=Carlos | acao=fez um experimento | valor=9672
linha=380 | nome=Mariana | acao=estudou computacao | valor=1900
linha=381 | nome=Mariana | acao=analisou os resultados | valor=9644
linha=382 | nome=Natalia | acao=participou da aula | valor=5041
linha=383 | nome=Renata | acao=fez um experimento | valor=1998
linha=384 | nome=Joao | acao=fez um experimento | valor=2637
linha=385 | nome=Otavio | acao=participou da aula | valor=5552
linha=386 | nome=Sofia | acao=analisou os resultados | valor=9037
linha=387 | nome=Lucas | acao=estudou computacao | valor=3685
linha=388 | nome=Vitor | acao=escreveu o relatorio | valor=2834
linha=389 | nome=Tiago | acao=escreveu o relatorio | valor=3427
linha=390 | nome=Paulo | acao=analisou os resultados | valor=2155
linha=391 | nome=Vitor | acao=participou da aula | valor=3036
linha=392 | nome=Felipe | acao=comparou as metricas | valor=3205
linha=393 | nome=Renata | acao=estudou computacao | valor=6298
linha=394 | nome=Natalia | acao=estudou computacao | valor=3265
linha=395 | nome=Gabriela | acao=otimizou o algoritmo | valor=9566
linha=396 | nome=Daniela | acao=executou o benchmark | valor=7958
linha=397 | nome=Carlos | acao=escreveu o relatorio | valor=9557
linha=398 | nome=Helena | acao=otimizou o algoritmo | valor=8946
linha=399 | nome=Igor | acao=estudou computacao | valor=8483
linha=400 | nome=Sofia | acao=analisou os resultados | valor=8220
linha=401 | nome=Vitor | acao=comparou as metricas | valor=6970
linha=402 | nome=Mariana | acao=otimizou o algoritmo | valor=5705
linha=403 | nome=Gabriela | acao=fez um experimento | valor=3606
linha=404 | nome=Renata | acao=analisou os resultados | valor=9058
linha=405 | nome=Gabriela | acao=analisou os resultados | valor=2390
linha=406 | nome=Lucas | acao=comparou as metricas | valor=6017
linha=407 | nome=Mariana | acao=fez um experimento | valor=9784
linha=408 | nome=Daniela | acao=estudou computacao | valor=7721
linha=409 | nome=Bruno | acao=otimizou o algoritmo | valor=5170
linha=410 | nome=Ana | acao=comparou as metricas | valor=5760
linha=411 | nome=Felipe | acao=participou da aula | valor=3632
linha=412 | nome=Carlos | acao=comparou as metricas | valor=7357
linha=413 | nome=Ana | acao=estudou computacao | valor=5871
linha=414 | nome=Sofia | acao=fez um experimento | valor=4546
linha=415 | nome=Renata | acao=executou o benchmark | valor=7173
linha=416 | nome=Otavio | acao=analisou os resultados | valor=5927
linha=417 | nome=Paulo | acao=otimizou o algoritmo | valor=7232
linha=418 | nome=Joao | acao=otimizou o algoritmo | valor=3154
linha=419 | nome=Tiago | acao=otimizou o algoritmo | valor=3209
linha=420 | nome=Felipe | acao=otimizou o algoritmo | valor=1307
linha=421 | nome=Felipe | acao=fez um experimento | valor=6731
linha=422 | nome=Renata | acao=executou o benchmark | valor=8699
linha=423 | nome=Paulo | acao=participou da aula | valor=3900
linha=424 | nome=Eduarda | acao=comparou as metricas | valor=7683
linha=425 | nome=Vitor | acao=analisou os resultados | valor=6458
linha=426 | nome=Carlos | acao=executou o benchmark | valor=6814
linha=427 | nome=Natalia | acao=comparou as metricas | valor=6666
linha=428 | nome=Igor | acao=fez um experimento | valor=8833
linha=429 | nome=Renata | acao=fez um experimento | valor=5604
linha=430 | nome=Karen | acao=analisou os resultados | valor=9598
linha=431 | nome=Gabriela | acao=comparou as metricas | valor=7978
linha=432 | nome=Paulo | acao=participou da aula | valor=3851
linha=433 | nome=Gabriela | acao=escreveu o relatorio | valor=6675
linha=434 | nome=Gabriela | acao=participou da aula | valor=1758
linha=435 | nome=Joao | acao=analisou os resultados | valor=4435
linha=436 | nome=Vitor | acao=otimizou o algoritmo | valor=4047
linha=437 | nome=Paulo | acao=estudou computacao | valor=7665
linha=438 | nome=Mariana | acao=otimizou o algoritmo | valor=3890
linha=439 | nome=Karen | acao=participou da aula | valor=7244
linha=440 | nome=Bruno | acao=executou o benchmark | valor=6487
linha=441 | nome=Tiago | acao=participou da aula | valor=5364
linha=442 | nome=Felipe | acao=analisou os resultados | valor=3291
linha=443 | nome=Sofia | acao=estudou computacao | valor=6665
linha=444 | nome=Gabriela | acao=participou da aula | valor=3094
linha=445 | nome=Otavio | acao=escreveu o relatorio | valor=9443
linha=446 | nome=Helena | acao=participou da aula | valor=3829
linha=447 | nome=Bruno | acao=participou da aula | valor=7093
linha=448 | nome=Ana | acao=participou da aula | valor=7161
linha=449 | nome=Tiago | acao=estudou computacao | valor=9907
linha=450 | nome=Karen | acao=participou da aula | valor=4675
