linha=1 | nome=Bruno | acao=comparou as metricas | valor=1604
linha=111 | nome=Gabriela | acao=participou da aula | valor=9106
linha=112 | nome=Sofia | acao=escreveu o relatorio | valor=1242
linha=113 | nome=Otavio | acao=estudou computacao | valor=6256
linha=114 | nome=Bruno | acao=comparou as metricas | valor=5553
linha=115 | nome=Daniela | acao=analisou os resultados | valor=6191
linha=116 | nome=Joao | acao=estudou computacao | valor=9420
linha=117 | nome=Paulo | acao=escreveu o relatorio | valor=1477
linha=118 | nome=Ana | acao=fez um experimento | valor=5687
linha=119 | nome=Daniela | acao=participou da aula | valor=1742
linha=120 | nome=Joao | acao=executou o benchmark | valor=4373
linha=121 | nome=Ana | acao=otimizou o algoritmo | valor=5729
linha=122 | nome=Mariana | acao=comparou as metricas | valor=4945
linha=123 | nome=Carlos | acao=otimizou o algoritmo | valor=5848
linha=124 | nome=Vitor | acao=participou da aula | valor=6672
linha=125 | nome=Ana | acao=otimizou o algoritmo | valor=6875
linha=126 | nome=Gabriela | acao=analisou os resultados | valor=9998
linha=127 | nome=Vitor | acao=participou da aula | valor=8228
linha=128 | nome=Otavio | acao=comparou as metricas | valor=2037
linha=129 | nome=Felipe | acao=escreveu o relatorio | valor=7199
linha=130 | nome=Paulo | acao=executou o benchmark | valor=3433
linha=131 | nome=Igor | acao=executou o benchmark | valor=4917
linha=132 | nome=Bruno | acao=executou o benchmark | valor=7436
linha=133 | nome=Daniela | acao=otimizou o algoritmo | valor=2851
linha=134 | nome=Felipe | acao=estudou computacao | valor=7291
linha=135 | nome=Otavio | acao=analisou os resultados | valor=4154
linha=136 | nome=Helena | acao=fez um experimento | valor=8817
linha=137 | nome=Igor | acao=executou o benchmark | valor=2765
linha=138 | nome=Ana | acao=analisou os resultados | valor=4268
linha=139 | nome=Renata | acao=executou o benchmark | valor=9321
linha=140 | nome=Ana | acao=comparou as metricas | valor=2690
linha=141 | nome=Sofia | acao=fez um experimento | valor=4710
linha=142 | nome=Felipe | acao=otimizou o algoritmo | valor=8251
linha=143 | nome=Daniela | acao=executou o benchmark | valor=8944
linha=144 | nome=Karen | acao=analisou os resultados | valor=4876
linha=145 | nome=Natalia | acao=executou o benchmark | valor=7262
linha=146 | nome=Joao | acao=comparou as metricas | valor=2990
linha=147 | nome=Ana | acao=escreveu o relatorio | valor=9880
linha=148 | nome=Helena | acao=executou o benchmark | valor=4908
linha=149 | nome=Joao | acao=estudou computacao | valor=1125
linha=150 | nome=Gabriela | acao=escreveu o relatorio | valor=2251
linha=151 | nome=Carlos | acao=participou da aula | valor=9624
linha=152 | nome=Eduarda | acao=fez um experimento | valor=9458
linha=153 | nome=Mariana | acao=escreveu o relatorio | valor=3788
linha=154 | nome=Gabriela | acao=fez um experimento | valor=1789
linha=155 | nome=Gabriela | acao=executou o benchmark | valor=8884
linha=156 | nome=Karen | acao=participou da aula | valor=8553
linha=157 | nome=Tiago | acao=fez um experimento | valor=1118
linha=158 | nome=Bruno | acao=otimizou o algoritmo | valor=3548
linha=159 | nome=Renata | acao=fez um experimento | valor=8288
linha=160 | nome=Joao | acao=analisou os resultados | valor=4450
linha=161 | nome=Renata | acao=executou o benchmark | valor=8781
linha=162 | nome=Carlos | acao=participou da aula | valor=4308
linha=163 | nome=Eduarda | acao=otimizou o algoritmo | valor=1093
linha=164 | nome=Bruno | acao=analisou os resultados | valor=1783
linha=165 | nome=Gabriela | acao=estudou computacao | valor=5661
linha=166 | nome=Karen | acao=escreveu o relatorio | valor=6558
linha=167 | nome=Otavio | acao=analisou os resultados | valor=8462
linha=168 | nome=Otavio | acao=comparou as metricas | valor=6004
linha=169 | nome=Felipe | acao=escreveu o relatorio | valor=4103
linha=170 | nome=Sofia | acao=otimizou o algoritmo | valor=8525
linha=171 | nome=Vitor | acao=estudou computacao | valor=1567
linha=172 | nome=Renata | acao=otimizou o algoritmo | valor=3848
linha=173 | nome=Mariana | acao=estudou computacao | valor=6115
linha=174 | nome=Tiago | acao=executou o benchmark | valor=6439
linha=175 | nome=Bruno | acao=estudou computacao | valor=8435
linha=176 | nome=Ana | acao=executou o benchmark | valor=2569
linha=177 | nome=Tiago | acao=fez um experimento | valor=1853
linha=178 | nome=Renata | acao=comparou as metricas | valor=4628
linha=179 | nome=Lucas | acao=comparou as metricas | valor=6960
linha=180 | nome=Gabriela | acao=executou o benchmark | valor=9750
linha=181 | nome=Gabriela | acao=otimizou o algoritmo | valor=9810
linha=182 | nome=Igor | acao=analisou os resultados | valor=4443
linha=183 | nome=Helena | acao=comparou as metricas | valor=8592
linha=184 | nome=Lucas | acao=executou o benchmark | valor=7367
linha=185 | nome=Renata | acao=executou o benchmark | valor=7799
linha=186 | nome=Tiago | acao=comparou as metricas | valor=3568
linha=187 | nome=Ana | acao=escreveu o relatorio | valor=5446
linha=188 | nome=Mariana | acao=analisou os resultados | valor=9497
linha=189 | nome=Igor | acao=analisou os resultados | valor=1046
linha=190 | nome=Mariana | acao=otimizou o algoritmo | valor=1669
linha=191 | nome=Carlos | acao=otimizou o algoritmo | valor=9271
linha=192 | nome=Daniela | acao=analisou os resultados | valor=4664
linha=193 | nome=Karen | acao=participou da aula | valor=3195
linha=194 | nome=Sofia | acao=comparou as metricas | valor=1847
linha=195 | nome=Daniela | acao=executou o benchmark | valor=6874
linha=196 | nome=Sofia | acao=fez um experimento | valor=6962
linha=197 | nome=Bruno | acao=comparou as metricas | valor=4401
linha=198 | nome=Karen | acao=otimizou o algoritmo | valor=1694
linha=199 | nome=Paulo | acao=estudou computacao | valor=2711
linha=200 | nome=Igor | acao=participou da aula | valor=3098
linha=201 | nome=Tiago | acao=executou o benchmark | valor=1316
linha=202 | nome=Tiago | acao=comparou as metricas | valor=3748
linha=203 | nome=Joao | acao=otimizou o algoritmo | valor=4009
linha=204 | nome=Helena | acao=analisou os resultados | valor=1460
linha=205 | nome=Felipe | acao=fez um experimento | valor=2507
linha=206 | nome=Carlos | acao=comparou as metricas | valor=3954
linha=207 | nome=Lucas | acao=analisou os resultados | valor=5425
linha=208 | nome=Mariana | acao=fez um experimento | valor=4407
linha=209 | nome=Felipe | acao=fez um experimento | valor=4224
linha=210 | nome=Helena | acao=comparou as metricas | valor=6066
linha=211 | nome=Vitor | acao=escreveu o relatorio | valor=2338
linha=212 | nome=Ana | acao=comparou as metricas | valor=8677
linha=213 | nome=Sofia | acao=escreveu o relatorio | valor=6852
linha=214 | nome=Paulo | acao=analisou os resultados | valor=8637
linha=215 | nome=Joao | acao=comparou as metricas | valor=3185
linha=216 | nome=Eduarda | acao=estudou computacao | valor=3592
linha=217 | nome=Mariana | acao=otimizou o algoritmo | valor=2801
linha=218 | nome=Karen | acao=comparou as metricas | valor=5682
linha=219 | nome=Joao | acao=fez um experimento | valor=7353
linha=220 | nome=Sofia | acao=estudou computacao | valor=9172
linha=221 | nome=Otavio | acao=estudou computacao | valor=4896
linha=222 | nome=Bruno | acao=comparou as metricas | valor=4211
linha=223 | nome=Felipe | acao=comparou as metricas | valor=2283
linha=224 | nome=Ana | acao=executou o benchmark | valor=7406
linha=225 | nome=Otavio | acao=executou o benchmark | valor=1089
linha=226 | nome=Paulo | acao=analisou os resultados | valor=9333
linha=227 | nome=Mariana | acao=escreveu o relatorio | valor=3908
linha=228 | nome=Ana | acao=analisou os resultados | valor=9051
linha=229 | nome=Natalia | acao=comparou as metricas | valor=2518
linha=230 | nome=Natalia | acao=comparou as metricas | valor=1244
linha=231 | nome=Daniela | acao=fez um experimento | valor=4460
linha=232 | nome=Tiago | acao=executou o benchmark | valor=4372
linha=233 | nome=Bruno | acao=estudou computacao | valor=3879
linha=234 | nome=Renata | acao=estudou computacao | valor=8820
linha=235 | nome=Felipe | acao=fez um experimento | valor=8833
linha=236 | nome=Sofia | acao=estudou computacao | valor=1881
linha=237 | nome=Ana | acao=fez um experimento | valor=6570
linha=238 | nome=Otavio | acao=estudou computacao | valor=7905
linha=239 | nome=Mariana | acao=fez um experimento | valor=2038
linha=240 | nome=Igor | acao=otimizou o algoritmo | valor=3672
linha=241 | nome=Sofia | acao=escreveu o relatorio | valor=4564
linha=242 | nome=Helena | acao=estudou computacao | valor=8749
linha=243 | nome=Bruno | acao=executou o benchmark | valor=5407
linha=244 | nome=Carlos | acao=estudou computacao | valor=6973
linha=245 | nome=Ana | acao=escreveu o relatorio | valor=7185
linha=246 | nome=Sofia | acao=fez um experimento | valor=1494
linha=247 | nome=Daniela | acao=otimizou o algoritmo | valor=5050
linha=248 | nome=Tiago | acao=analisou os resultados | valor=5160
linha=249 | nome=Tiago | acao=escreveu o relatorio | valor=6195
linha=250 | nome=Felipe | acao=participou da aula | valor=1276
linha=251 | nome=Natalia | acao=participou da aula | valor=4956
linha=252 | nome=Gabriela | acao=otimizou o algoritmo | valor=3013
linha=253 | nome=Eduarda | acao=comparou as metricas | valor=4897
linha=254 | nome=Daniela | acao=executou o benchmark | valor=7327
linha=255 | nome=Mariana | acao=escreveu o relatorio | valor=3573
linha=256 | nome=Tiago | acao=executou o benchmark | valor=7863
linha=257 | nome=Natalia | acao=comparou as metricas | valor=4341
linha=258 | nome=Natalia | acao=fez um experimento | valor=5587
linha=259 | nome=Karen | acao=executou o benchmark | valor=4839
linha=260 | nome=Joao | acao=analisou os resultados | valor=8442
linha=261 | nome=Bruno | acao=comparou as metricas | valor=5317
linha=262 | nome=Gabriela | acao=analisou os resultados | valor=5212
linha=263 | nome=Joao | acao=executou o benchmark | valor=7813
linha=264 | nome=Vitor | acao=comparou as metricas | valor=9543
linha=265 | nome=Felipe | acao=estudou computacao | valor=6385
linha=266 | nome=Felipe | acao=fez um experimento | valor=2859
linha=267 | nome=Daniela | acao=comparou as metricas | valor=1360
linha=268 | nome=Sofia | acao=comparou as metricas | valor=6641
linha=269 | nome=Joao | acao=fez um experimento | valor=5527
linha=270 | nome=Renata | acao=otimizou o algoritmo | valor=4940
linha=271 | nome=Gabriela | acao=executou o benchmark | valor=3371
linha=272 | nome=Sofia | acao=participou da aula | valor=9578
linha=273 | nome=Igor | acao=escreveu o relatorio | valor=1899
linha=274 | nome=Karen | acao=executou o benchmark | valor=7880
linha=275 | nome=Renata | acao=otimizou o algoritmo | valor=3143
linha=276 | nome=Karen | acao=participou da aula | valor=4243
linha=277 | nome=Lucas | acao=comparou as metricas | valor=3748
linha=278 | nome=Vitor | acao=analisou os resultados | valor=4813
linha=279 | nome=Igor | acao=participou da aula | valor=8257
linha=280 | nome=Paulo | acao=comparou as metricas | valor=9647
linha=281 | nome=Igor | acao=executou o benchmark | valor=1576
linha=282 | nome=Mariana | acao=otimizou o algoritmo | valor=8296
linha=283 | nome=Igor | acao=participou da aula | valor=6632
linha=284 | nome=Paulo | acao=escreveu o relatorio | valor=4186
linha=285 | nome=Mariana | acao=fez um experimento | valor=6135
linha=286 | nome=Natalia | acao=fez um experimento | valor=6540
linha=287 | nome=Paulo | acao=fez um experimento | valor=5428
linha=288 | nome=Karen | acao=participou da aula | valor=5491
linha=289 | nome=Vitor | acao=comparou as metricas | valor=4558
linha=290 | nome=Renata | acao=otimizou o algoritmo | valor=5106
linha=291 | nome=Daniela | acao=fez um experimento | valor=2177
linha=292 | nome=Helena | acao=comparou as metricas | valor=4258
linha=293 | nome=Helena | acao=comparou as metricas | valor=3531
linha=294 | nome=Carlos | acao=executou o benchmark | valor=2476
linha=295 | nome=Natalia | acao=comparou as metricas | valor=7802
linha=296 | nome=Lucas | acao=estudou computacao | valor=6584
linha=297 | nome=Eduarda | acao=estudou computacao | valor=2710
linha=298 | nome=Eduarda | acao=participou da aula | valor=6543
linha=299 | nome=Karen | acao=participou da aula | valor=4721
linha=300 | nome=Joao | acao=participou da aula | valor=6010
linha=301 | nome=Gabriela | acao=escreveu o relatorio | valor=7784
linha=302 | nome=Vitor | acao=comparou as metricas | valor=1324
linha=303 | nome=Otavio | acao=comparou as metricas | valor=8938
linha=304 | nome=Ana | acao=participou da aula | valor=5728
linha=305 | nome=Paulo | acao=comparou as metricas | valor=6683
linha=306 | nome=Joao | acao=analisou os resultados | valor=8540
linha=307 | nome=Renata | acao=fez um experimento | valor=5584
linha=308 | nome=Karen | acao=comparou as metricas | valor=9248
linha=309 | nome=Renata | acao=fez um experimento | valor=6329
linha=310 | nome=Tiago | acao=participou da aula | valor=2894
linha=311 | nome=Ana | acao=estudou computacao | valor=7648
linha=312 | nome=Helena | acao=fez um experimento | valor=5282
linha=313 | nome=Lucas | acao=escreveu o relatorio | valor=5826
linha=314 | nome=Igor | acao=comparou as metricas | valor=8837
linha=315 | nome=Ana | acao=estudou computacao | valor=5683
linha=316 | nome=Daniela | acao=participou da aula | valor=2464
linha=317 | nome=Helena | acao=escreveu o relatorio | valor=7406
linha=318 | nome=Eduarda | acao=otimizou o algoritmo | valor=4338
linha=319 | nome=Karen | acao=analisou os resultados | valor=6976
linha=320 | nome=Mariana | acao=executou o benchmark | valor=6332
linha=321 | nome=Carlos | acao=analisou os resultados | valor=3362
linha=322 | nome=Mariana | acao=otimizou o algoritmo | valor=1435
linha=323 | nome=Mariana | acao=estudou computacao | valor=3974
linha=324 | nome=Eduarda | acao=estudou computacao | valor=4629
linha=325 | nome=Natalia | acao=comparou as metricas | valor=3950
linha=326 | nome=Joao | acao=executou o benchmark | valor=9510
linha=327 | nome=Helena | acao=executou o benchmark | valor=7464
linha=328 | nome=Daniela | acao=participou da aula | valor=8071
linha=329 | nome=Otavio | acao=estudou computacao | valor=2146
linha=330 | nome=Tiago | acao=escreveu o relatorio | valor=7902
linha=331 | nome=Karen | acao=participou da aula | valor=6121
linha=332 | nome=Natalia | acao=escreveu o relatorio | valor=8797
linha=333 | nome=Mariana | acao=executou o benchmark | valor=2650
linha=334 | nome=Helena | acao=estudou computacao | valor=7697
linha=335 | nome=Felipe | acao=analisou os resultados | valor=8376
linha=336 | nome=Igor | acao=otimizou o algoritmo | valor=1038
linha=337 | nome=Mariana | acao=fez um experimento | valor=1688
linha=338 | nome=Sofia | acao=fez um experimento | valor=4019
linha=339 | nome=Carlos | acao=estudou computacao | valor=2278
linha=340 | nome=Felipe | acao=escreveu o relatorio | valor=4313
linha=341 | nome=Vitor | acao=participou da aula | valor=9158
linha=342 | nome=Otavio | acao=escreveu o relatorio | valor=9843
linha=343 | nome=Mariana | acao=fez um experimento | valor=3331
linha=344 | nome=Mariana | acao=analisou os resultados | valor=7542
linha=345 | nome=Felipe | acao=analisou os resultados | valor=3670
linha=346 | nome=Sofia | acao=otimizou o algoritmo | valor=8800
linha=347 | nome=Eduarda | acao=otimizou o algoritmo | valor=3695
linha=348 | nome=Felipe | acao=otimizou o algoritmo | valor=4106
linha=349 | nome=Eduarda | acao=comparou as metricas | valor=6225
linha=350 | nome=Ana | acao=executou o benchmark | valor=6030
linha=351 | nome=Tiago | acao=fez um experimento | valor=1796
linha=352 | nome=Karen | acao=otimizou o algoritmo | valor=4614
linha=353 | nome=Vitor | acao=executou o benchmark | valor=6348
linha=354 | nome=Ana | acao=participou da aula | valor=2746
linha=355 | nome=Mariana | acao=estudou computacao | valor=1058
linha=356 | nome=Eduarda | acao=participou da aula | valor=9325
linha=357 | nome=Gabriela | acao=estudou computacao | valor=7241
linha=358 | nome=Mariana | acao=otimizou o algoritmo | valor=3370
linha=359 | nome=Mariana | acao=estudou computacao | valor=8406
linha=360 | nome=Helena | acao=participou da aula | valor=1579
linha=361 | nome=Karen | acao=otimizou o algoritmo | valor=6862
linha=362 | nome=Ana | acao=analisou os resultados | valor=1523
linha=363 | nome=Joao | acao=fez um experimento | valor=5954
linha=364 | nome=Karen | acao=fez um experimento | valor=3402
linha=365 | nome=Tiago | acao=fez um experimento | valor=8294
linha=366 | nome=Helena | acao=fez um experimento | valor=7733
linha=367 | nome=Renata | acao=otimizou o algoritmo | valor=4060
linha=368 | nome=Helena | acao=comparou as metricas | valor=3708
linha=369 | nome=Karen | acao=escreveu o relatorio | valor=1605
linha=370 | nome=Bruno | acao=executou o benchmark | valor=3561
linha=371 | nome=Vitor | acao=escreveu o relatorio | valor=9929
linha=372 | nome=Mariana | acao=escreveu o relatorio | valor=4616
linha=373 | nome=Felipe | acao=escreveu o relatorio | valor=6537
linha=374 | nome=Karen | acao=fez um experimento | valor=7515
linha=375 | nome=Felipe | acao=otimizou o algoritmo | valor=1246
linha=376 | nome=Ana | acao=analisou os resultados | valor=5401
linha=377 | nome=Joao | acao=estudou computacao | valor=7154
linha=378 | nome=Daniela | acao=analisou os resultados | valor=8158
linha=379 | nome=Helena | acao=analisou os resultados | valor=6059
linha=380 | nome=Natalia | acao=analisou os resultados | valor=2232
linha=381 | nome=Mariana | acao=otimizou o algoritmo | valor=6994
linha=382 | nome=Renata | acao=escreveu o relatorio | valor=4053
linha=383 | nome=Mariana | acao=fez um experimento | valor=9523
linha=384 | nome=Mariana | acao=analisou os resultados | valor=7333
linha=385 | nome=Gabriela | acao=estudou computacao | valor=4477
linha=386 | nome=Bruno | acao=executou o benchmark | valor=2497
linha=387 | nome=Felipe | acao=participou da aula | valor=1932
linha=388 | nome=Ana | acao=executou o benchmark | valor=5808
linha=389 | nome=Mariana | acao=otimizou o algoritmo | valor=2743
linha=390 | nome=Helena | acao=fez um experimento | valor=4834
linha=391 | nome=Daniela | acao=participou da aula | valor=5860
linha=392 | nome=Mariana | acao=fez um experimento | valor=7352
linha=393 | nome=Vitor | acao=comparou as metricas | valor=2559
linha=394 | nome=Bruno | acao=participou da aula | valor=9370
linha=395 | nome=Paulo | acao=analisou os resultados | valor=5999
linha=396 | nome=Karen | acao=comparou as metricas | valor=9370
linha=397 | nome=Igor | acao=fez um experimento | valor=8372
linha=398 | nome=Natalia | acao=executou o benchmark | valor=7380
linha=399 | nome=Igor | acao=analisou os resultados | valor=4574
linha=400 | nome=Bruno | acao=analisou os resultados | valor=7942
linha=401 | nome=Joao | acao=fez um experimento | valor=2541
linha=402 | nome=Felipe | acao=escreveu o relatorio | valor=1406
linha=403 | nome=Igor | acao=comparou as metricas | valor=7192
linha=404 | nome=Otavio | acao=fez um experimento | valor=6215
linha=405 | nome=Felipe | acao=executou o benchmark | valor=1589
linha=406 | nome=Karen | acao=participou da aula | valor=6325
linha=407 | nome=Mariana | acao=fez um experimento | valor=4124
linha=408 | nome=Joao | acao=participou da aula | valor=9737
linha=409 | nome=Bruno | acao=otimizou o algoritmo | valor=6253
linha=410 | nome=Vitor | acao=participou da aula | valor=5834
linha=411 | nome=Paulo | acao=executou o benchmark | valor=2541
linha=412 | nome=Carlos | acao=escreveu o relatorio | valor=1028
linha=413 | nome=Sofia | acao=analisou os resultados | valor=3013
linha=414 | nome=Helena | acao=fez um experimento | valor=3226
linha=415 | nome=Karen | acao=otimizou o algoritmo | valor=8648
linha=416 | nome=Karen | acao=participou da aula | valor=9173
linha=417 | nome=Otavio | acao=participou da aula | valor=4126
linha=418 | nome=Mariana | acao=escreveu o relatorio | valor=3732
linha=419 | nome=Ana | acao=fez um experimento | valor=9316
linha=420 | nome=Vitor | acao=comparou as metricas | valor=3653
linha=421 | nome=Vitor | acao=analisou os resultados | valor=4366
linha=422 | nome=Igor | acao=analisou os resultados | valor=3484
linha=423 | nome=Tiago | acao=fez um experimento | valor=6967
linha=424 | nome=Igor | acao=escreveu o relatorio | valor=2754
linha=425 | nome=Karen | acao=fez um experimento | valor=6128
linha=426 | nome=Felipe | acao=comparou as metricas | valor=5989
linha=427 | nome=Vitor | acao=participou da aula | valor=5785
linha=428 | nome=Renata | acao=escreveu o relatorio | valor=7146
linha=429 | nome=Sofia | acao=fez um experimento | valor=5208
linha=430 | nome=Joao | acao=escreveu o relatorio | valor=6668
linha=431 | nome=Karen | acao=participou da aula | valor=4959
linha=432 | nome=Tiago | acao=executou o benchmark | valor=1678
linha=433 | nome=Mariana | acao=fez um experimento | valor=4776
linha=434 | nome=Bruno | acao=analisou os resultados | valor=9944
linha=435 | nome=Mariana | acao=comparou as metricas | valor=5805
linha=436 | nome=Felipe | acao=analisou os resultados | valor=8276
linha=437 | nome=Igor | acao=fez um experimento | valor=4105
linha=438 | nome=Karen | acao=participou da aula | valor=4806
linha=439 | nome=Carlos | acao=executou o benchmark | valor=1704
linha=440 | nome=Joao | acao=fez um experimento | valor=5349
linha=441 | nome=Renata | acao=executou o benchmark | valor=6393
linha=442 | nome=Carlos | acao=comparou as metricas | valor=9130
linha=443 | nome=Mariana | acao=escreveu o relatorio | valor=9119
linha=444 | nome=Bruno | acao=escreveu o relatorio | valor=3493
linha=445 | nome=Tiago | acao=participou da aula | valor=9301
linha=446 | nome=Felipe | acao=estudou computacao | valor=4521
linha=447 | nome=Igor | acao=otimizou o algoritmo | valor=4518
linha=448 | nome=Otavio | acao=fez um experimento | valor=6282
linha=449 | nome=Ana | acao=estudou computacao | valor=8228
linha=450 | nome=Joao | acao=otimizou o algoritmo | valor=2114
linha=451 | nome=Karen | acao=comparou as metricas | valor=7175
linha=452 | nome=Karen | acao=comparou as metricas | valor=1757
linha=453 | nome=Gabriela | acao=analisou os resultados | valor=8975
