linha=1 | nome=Vitor | acao=otimizou o algoritmo | valor=8777
linha=125 | nome=Gabriela | acao=fez um experimento | valor=1993
linha=126 | nome=Paulo | acao=fez um experimento | valor=1295
linha=127 | nome=Igor | acao=comparou as metricas | valor=3188
linha=128 | nome=Daniela | acao=otimizou o algoritmo | valor=9377
linha=129 | nome=Carlos | acao=comparou as metricas | valor=4396
linha=130 | nome=Joao | acao=executou o benchmark | valor=2709
linha=131 | nome=Bruno | acao=executou o benchmark | valor=4611
linha=132 | nome=Sofia | acao=participou da aula | valor=8802
linha=133 | nome=Mariana | acao=escreveu o relatorio | valor=9056
linha=134 | nome=Helena | acao=escreveu o relatorio | valor=6529
linha=135 | nome=Ana | acao=escreveu o relatorio | valor=5709
linha=136 | nome=Ana | acao=escreveu o relatorio | valor=6136
linha=137 | nome=Joao | acao=comparou as metricas | valor=5735
linha=138 | nome=Sofia | acao=analisou os resultados | valor=5911
linha=139 | nome=Renata | acao=comparou as metricas | valor=8357
linha=140 | nome=Mariana | acao=comparou as metricas | valor=2935
linha=141 | nome=Natalia | acao=executou o benchmark | valor=2896
linha=142 | nome=Karen | acao=participou da aula | valor=1002
linha=143 | nome=Otavio | acao=participou da aula | valor=3540
linha=144 | nome=Mariana | acao=otimizou o algoritmo | valor=7868
linha=145 | nome=Sofia | acao=fez um experimento | valor=8450
linha=146 | nome=Lucas | acao=executou o benchmark | valor=9728
linha=147 | nome=Mariana | acao=estudou computacao | valor=9209
linha=148 | nome=Lucas | acao=analisou os resultados | valor=4736
linha=149 | nome=Tiago | acao=executou o benchmark | valor=9273
linha=150 | nome=Ana | acao=otimizou o algoritmo | valor=7014
linha=151 | nome=Felipe | acao=participou da aula | valor=2630
linha=152 | nome=Gabriela | acao=otimizou o algoritmo | valor=7649
linha=153 | nome=Daniela | acao=otimizou o algoritmo | valor=7234
linha=154 | nome=Helena | acao=escreveu o relatorio | valor=9705
linha=155 | nome=Karen | acao=participou da aula | valor=4741
linha=156 | nome=Lucas | acao=fez um experimento | valor=3653
linha=157 | nome=Vitor | acao=comparou as metricas | valor=7359
linha=158 | nome=Lucas | acao=executou o benchmark | valor=9076
linha=159 | nome=Igor | acao=executou o benchmark | valor=5485
linha=160 | nome=Paulo | acao=escreveu o relatorio | valor=3389
linha=161 | nome=Daniela | acao=comparou as metricas | valor=8501
linha=162 | nome=Eduarda | acao=participou da aula | valor=8475
linha=163 | nome=Mariana | acao=escreveu o relatorio | valor=6949
linha=164 | nome=Daniela | acao=comparou as metricas | valor=4783
linha=165 | nome=Tiago | acao=escreveu o relatorio | valor=9847
linha=166 | nome=Eduarda | acao=participou da aula | valor=8271
linha=167 | nome=Natalia | acao=estudou computacao | valor=7057
linha=168 | nome=Igor | acao=escreveu o relatorio | valor=7434
linha=169 | nome=Natalia | acao=fez um experimento | valor=8700
linha=170 | nome=Renata | acao=comparou as metricas | valor=9340
linha=171 | nome=Sofia | acao=analisou os resultados | valor=3516
linha=172 | nome=Natalia | acao=escreveu o relatorio | valor=3407
linha=173 | nome=Daniela | acao=escreveu o relatorio | valor=1956
linha=174 | nome=Lucas | acao=otimizou o algoritmo | valor=2757
linha=175 | nome=Bruno | acao=escreveu o relatorio | valor=7414
linha=176 | nome=Joao | acao=fez um experimento | valor=2771
linha=177 | nome=Tiago | acao=escreveu o relatorio | valor=8266
linha=178 | nome=Otavio | acao=escreveu o relatorio | valor=4353
linha=179 | nome=Bruno | acao=estudou computacao | valor=9571
linha=180 | nome=Mariana | acao=comparou as metricas | valor=3630
linha=181 | nome=Joao | acao=executou o benchmark | valor=7966
linha=182 | nome=Natalia | acao=comparou as metricas | valor=3699
linha=183 | nome=Daniela | acao=executou o benchmark | valor=6242
linha=184 | nome=Tiago | acao=otimizou o algoritmo | valor=8584
linha=185 | nome=Natalia | acao=escreveu o relatorio | valor=9502
linha=186 | nome=Bruno | acao=otimizou o algoritmo | valor=3392
linha=187 | nome=Joao | acao=participou da aula | valor=4096
linha=188 | nome=Lucas | acao=escreveu o relatorio | valor=1742
linha=189 | nome=Natalia | acao=otimizou o algoritmo | valor=9455
linha=190 | nome=Carlos | acao=participou da aula | valor=7629
linha=191 | nome=Renata | acao=comparou as metricas | valor=9147
linha=192 | nome=Helena | acao=fez um experimento | valor=6677
linha=193 | nome=Mariana | acao=escreveu o relatorio | valor=5968
linha=194 | nome=Ana | acao=fez um experimento | valor=5795
linha=195 | nome=Otavio | acao=comparou as metricas | valor=5949
linha=196 | nome=Helena | acao=comparou as metricas | valor=5169
linha=197 | nome=Carlos | acao=fez um experimento | valor=6195
linha=198 | nome=Karen | acao=analisou os resultados | valor=8591
linha=199 | nome=Tiago | acao=otimizou o algoritmo | valor=7157
linha=200 | nome=Helena | acao=estudou computacao | valor=7657
linha=201 | nome=Tiago | acao=fez um experimento | valor=8035
linha=202 | nome=Renata | acao=comparou as metricas | valor=9539
linha=203 | nome=Felipe | acao=escreveu o relatorio | valor=3553
linha=204 | nome=Vitor | acao=estudou computacao | valor=3187
linha=205 | nome=Mariana | acao=otimizou o algoritmo | valor=8351
linha=206 | nome=Joao | acao=comparou as metricas | valor=3412
linha=207 | nome=Bruno | acao=estudou computacao | valor=7766
linha=208 | nome=Renata | acao=comparou as metricas | valor=8012
linha=209 | nome=Renata | acao=otimizou o algoritmo | valor=2913
linha=210 | nome=Joao | acao=executou o benchmark | valor=4809
linha=211 | nome=Lucas | acao=comparou as metricas | valor=2052
linha=212 | nome=Karen | acao=participou da aula | valor=5362
linha=213 | nome=Daniela | acao=estudou computacao | valor=3912
linha=214 | nome=Helena | acao=participou da aula | valor=8682
linha=215 | nome=Karen | acao=fez um experimento | valor=9010
linha=216 | nome=Eduarda | acao=participou da aula | valor=8854
linha=217 | nome=Natalia | acao=otimizou o algoritmo | valor=8294
linha=218 | nome=Carlos | acao=executou o benchmark | valor=9419
linha=219 | nome=Ana | acao=fez um experimento | valor=5355
linha=220 | nome=Daniela | acao=escreveu o relatorio | valor=6912
linha=221 | nome=Natalia | acao=estudou computacao | valor=1458
linha=222 | nome=Bruno | acao=fez um experimento | valor=5218
linha=223 | nome=Vitor | acao=executou o benchmark | valor=1748
linha=224 | nome=Sofia | acao=otimizou o algoritmo | valor=7918
linha=225 | nome=Joao | acao=fez um experimento | valor=6559
linha=226 | nome=Vitor | acao=estudou computacao | valor=6953
linha=227 | nome=Renata | acao=executou o benchmark | valor=5270
linha=228 | nome=Sofia | acao=fez um experimento | valor=7032
linha=229 | nome=Gabriela | acao=escreveu o relatorio | valor=1444
linha=230 | nome=Gabriela | acao=analisou os resultados | valor=5375
linha=231 | nome=Lucas | acao=otimizou o algoritmo | valor=8977
linha=232 | nome=Mariana | acao=participou da aula | valor=6432
linha=233 | nome=Paulo | acao=estudou computacao | valor=6460
linha=234 | nome=Carlos | acao=otimizou o algoritmo | valor=7729
linha=235 | nome=Renata | acao=escreveu o relatorio | valor=1419
linha=236 | nome=Otavio | acao=executou o benchmark | valor=9114
linha=237 | nome=Renata | acao=otimizou o algoritmo | valor=1644
linha=238 | nome=Lucas | acao=participou da aula | valor=2812
linha=239 | nome=Tiago | acao=participou da aula | valor=2194
linha=240 | nome=Lucas | acao=participou da aula | valor=2275
linha=241 | nome=Otavio | acao=participou da aula | valor=6407
linha=242 | nome=Ana | acao=escreveu o relatorio | valor=5801
linha=243 | nome=Mariana | acao=comparou as metricas | valor=8625
linha=244 | nome=Joao | acao=comparou as metricas | valor=9293
linha=245 | nome=Mariana | acao=participou da aula | valor=9020
linha=246 | nome=Eduarda | acao=otimizou o algoritmo | valor=4840
linha=247 | nome=Otavio | acao=participou da aula | valor=6716
linha=248 | nome=Mariana | acao=escreveu o relatorio | valor=5151
linha=249 | nome=Joao | acao=otimizou o algoritmo | valor=1329
linha=250 | nome=Paulo | acao=otimizou o algoritmo | valor=4162
linha=251 | nome=Vitor | acao=escreveu o relatorio | valor=2019
linha=252 | nome=Carlos | acao=fez um experimento | valor=4004
linha=253 | nome=Vitor | acao=executou o benchmark | valor=2239
linha=254 | nome=Carlos | acao=escreveu o relatorio | valor=6691
linha=255 | nome=Ana | acao=otimizou o algoritmo | valor=8560
linha=256 | nome=Paulo | acao=estudou computacao | valor=1061
linha=257 | nome=Mariana | acao=executou o benchmark | valor=9288
linha=258 | nome=Karen | acao=otimizou o algoritmo | valor=4376
linha=259 | nome=Paulo | acao=escreveu o relatorio | valor=7673
linha=260 | nome=Natalia | acao=participou da aula | valor=1887
linha=261 | nome=Lucas | acao=fez um experimento | valor=4370
linha=262 | nome=Bruno | acao=executou o benchmark | valor=2071
linha=263 | nome=Tiago | acao=estudou computacao | valor=6356
linha=264 | nome=Gabriela | acao=fez um experimento | valor=3099
linha=265 | nome=Lucas | acao=escreveu o relatorio | valor=9908
linha=266 | nome=Sofia | acao=analisou os resultados | valor=2475
linha=267 | nome=Natalia | acao=escreveu o relatorio | valor=2724
linha=268 | nome=Vitor | acao=analisou os resultados | valor=5160
linha=269 | nome=Felipe | acao=comparou as metricas | valor=5831
linha=270 | nome=Carlos | acao=fez um experimento | valor=9895
linha=271 | nome=Felipe | acao=executou o benchmark | valor=7150
linha=272 | nome=Carlos | acao=comparou as metricas | valor=7216
linha=273 | nome=Vitor | acao=participou da aula | valor=4938
linha=274 | nome=Sofia | acao=participou da aula | valor=4657
linha=275 | nome=Bruno | acao=analisou os resultados | valor=3863
linha=276 | nome=Mariana | acao=otimizou o algoritmo | valor=5224
linha=277 | nome=Igor | acao=comparou as metricas | valor=8617
linha=278 | nome=Tiago | acao=executou o benchmark | valor=1900
linha=279 | nome=Joao | acao=comparou as metricas | valor=8376
linha=280 | nome=Gabriela | acao=executou o benchmark | valor=7858
linha=281 | nome=Joao | acao=fez um experimento | valor=4851
linha=282 | nome=Natalia | acao=comparou as metricas | valor=5095
linha=283 | nome=Felipe | acao=estudou computacao | valor=5183
linha=284 | nome=Lucas | acao=analisou os resultados | valor=2198
linha=285 | nome=Ana | acao=escreveu o relatorio | valor=6694
linha=286 | nome=Helena | acao=estudou computacao | valor=5858
linha=287 | nome=Tiago | acao=escreveu o relatorio | valor=8515
linha=288 | nome=Paulo | acao=executou o benchmark | valor=1919
linha=289 | nome=Felipe | acao=otimizou o algoritmo | valor=9065
linha=290 | nome=Sofia | acao=otimizou o algoritmo | valor=3583
linha=291 | nome=Bruno | acao=comparou as metricas | valor=9932
linha=292 | nome=Eduarda | acao=executou o benchmark | valor=6584
linha=293 | nome=Lucas | acao=fez um experimento | valor=7694
linha=294 | nome=Daniela | acao=otimizou o algoritmo | valor=7933
linha=295 | nome=Lucas | acao=escreveu o relatorio | valor=1012
linha=296 | nome=Karen | acao=fez um experimento | valor=8509
linha=297 | nome=Tiago | acao=participou da aula | valor=9922
linha=298 | nome=Paulo | acao=executou o benchmark | valor=3649
linha=299 | nome=Karen | acao=estudou computacao | valor=4030
linha=300 | nome=Tiago | acao=comparou as metricas | valor=7438
linha=301 | nome=Carlos | acao=executou o benchmark | valor=8834
linha=302 | nome=Natalia | acao=estudou computacao | valor=9774
linha=303 | nome=Carlos | acao=comparou as metricas | valor=9649
linha=304 | nome=Otavio | acao=escreveu o relatorio | valor=4935
linha=305 | nome=Karen | acao=comparou as metricas | valor=5187
linha=306 | nome=Karen | acao=escreveu o relatorio | valor=2572
linha=307 | nome=Tiago | acao=otimizou o algoritmo | valor=4208
linha=308 | nome=Paulo | acao=analisou os resultados | valor=5364
linha=309 | nome=Renata | acao=fez um experimento | valor=5318
linha=310 | nome=Renata | acao=analisou os resultados | valor=5381
linha=311 | nome=Sofia | acao=fez um experimento | valor=8737
linha=312 | nome=Natalia | acao=analisou os resultados | valor=9737
linha=313 | nome=Karen | acao=participou da aula | valor=9013
linha=314 | nome=Eduarda | acao=participou da aula | valor=4083
linha=315 | nome=Ana | acao=otimizou o algoritmo | valor=7271
linha=316 | nome=Felipe | acao=executou o benchmark | valor=3190
linha=317 | nome=Paulo | acao=comparou as metricas | valor=6615
linha=318 | nome=Renata | acao=participou da aula | valor=8006
linha=319 | nome=Eduarda | acao=executou o benchmark | valor=2431
linha=320 | nome=Carlos | acao=fez um experimento | valor=9008
linha=321 | nome=Igor | acao=executou o benchmark | valor=1028
linha=322 | nome=Natalia | acao=analisou os resultados | valor=2274
linha=323 | nome=Carlos | acao=participou da aula | valor=7396
linha=324 | nome=Ana | acao=estudou computacao | valor=7523
linha=325 | nome=Felipe | acao=comparou as metricas | valor=9452
linha=326 | nome=Gabriela | acao=estudou computacao | valor=7574
linha=327 | nome=Vitor | acao=comparou as metricas | valor=8310
linha=328 | nome=Natalia | acao=escreveu o relatorio | valor=9364
linha=329 | nome=Otavio | acao=fez um experimento | valor=1642
linha=330 | nome=Vitor | acao=fez um experimento | valor=4552
linha=331 | nome=Karen | acao=escreveu o relatorio | valor=9981
linha=332 | nome=Daniela | acao=estudou computacao | valor=7956
linha=333 | nome=Paulo | acao=comparou as metricas | valor=4001
linha=334 | nome=Ana | acao=comparou as metricas | valor=4197
linha=335 | nome=Mariana | acao=participou da aula | valor=4006
linha=336 | nome=Eduarda | acao=fez um experimento | valor=5896
linha=337 | nome=Karen | acao=comparou as metricas | valor=5520
linha=338 | nome=Gabriela | acao=fez um experimento | valor=3452
linha=339 | nome=Mariana | acao=participou da aula | valor=2560
linha=340 | nome=Tiago | acao=executou o benchmark | valor=5884
linha=341 | nome=Sofia | acao=analisou os resultados | valor=1439
linha=342 | nome=Helena | acao=fez um experimento | valor=6131
linha=343 | nome=Otavio | acao=comparou as metricas | valor=2005
linha=344 | nome=Tiago | acao=analisou os resultados | valor=8670
linha=345 | nome=Paulo | acao=escreveu o relatorio | valor=7325
linha=346 | nome=Paulo | acao=escreveu o relatorio | valor=1554
linha=347 | nome=Otavio | acao=analisou os resultados | valor=4760
linha=348 | nome=Karen | acao=estudou computacao | valor=5911
linha=349 | nome=Mariana | acao=executou o benchmark | valor=3922
linha=350 | nome=Daniela | acao=comparou as metricas | valor=1557
linha=351 | nome=Otavio | acao=participou da aula | valor=7900
linha=352 | nome=Renata | acao=participou da aula | valor=2985
linha=353 | nome=Sofia | acao=fez um experimento | valor=8634
linha=354 | nome=Carlos | acao=estudou computacao | valor=8419
linha=355 | nome=Carlos | acao=analisou os resultados | valor=4525
linha=356 | nome=Mariana | acao=executou o benchmark | valor=7783
linha=357 | nome=Ana | acao=estudou computacao | valor=2903
linha=358 | nome=Sofia | acao=analisou os resultados | valor=7083
linha=359 | nome=Renata | acao=escreveu o relatorio | valor=4350
linha=360 | nome=Igor | acao=otimizou o algoritmo | valor=7434
linha=361 | nome=Ana | acao=participou da aula | valor=8820
linha=362 | nome=Felipe | acao=executou o benchmark | valor=3362
linha=363 | nome=Lucas | acao=analisou os resultados | valor=5092
linha=364 | nome=Tiago | acao=comparou as metricas | valor=8139
linha=365 | nome=Carlos | acao=executou o benchmark | valor=1697
linha=366 | nome=Sofia | acao=participou da aula | valor=2135
linha=367 | nome=Bruno | acao=fez um experimento | valor=1206
linha=368 | nome=Sofia | acao=participou da aula | valor=9086
linha=369 | nome=Mariana | acao=executou o benchmark | valor=5112
linha=370 | nome=Otavio | acao=comparou as metricas | valor=4585
linha=371 | nome=Lucas | acao=comparou as metricas | valor=7622
linha=372 | nome=Vitor | acao=otimizou o algoritmo | valor=3708
linha=373 | nome=Vitor | acao=analisou os resultados | valor=7429
linha=374 | nome=Vitor | acao=executou o benchmark | valor=6404
linha=375 | nome=Felipe | acao=escreveu o relatorio | valor=2341
linha=376 | nome=Paulo | acao=fez um experimento | valor=1448
linha=377 | nome=Igor | acao=escreveu o relatorio | valor=1762
linha=378 | nome=Sofia | acao=otimizou o algoritmo | valor=7554
linha=379 | nome=Igor | acao=escreveu o relatorio | valor=3266
linha=380 | nome=Bruno | acao=participou da aula | valor=2332
linha=381 | nome=Renata | acao=participou da aula | valor=4844
linha=382 | nome=Felipe | acao=otimizou o algoritmo | valor=4500
linha=383 | nome=Karen | acao=otimizou o algoritmo | valor=1533
linha=384 | nome=Daniela | acao=escreveu o relatorio | valor=3884
linha=385 | nome=Eduarda | acao=comparou as metricas | valor=7582
linha=386 | nome=Sofia | acao=escreveu o relatorio | valor=8236
linha=387 | nome=Ana | acao=estudou computacao | valor=6641
linha=388 | nome=Eduarda | acao=comparou as metricas | valor=1929
linha=389 | nome=Daniela | acao=analisou os resultados | valor=2439
linha=390 | nome=Igor | acao=fez um experimento | valor=4096
linha=391 | nome=Otavio | acao=otimizou o algoritmo | valor=6330
linha=392 | nome=Paulo | acao=comparou as metricas | valor=5072
linha=393 | nome=Helena | acao=fez um experimento | valor=7852
linha=394 | nome=Lucas | acao=comparou as metricas | valor=4338
linha=395 | nome=Gabriela | acao=fez um experimento | valor=1698
linha=396 | nome=Eduarda | acao=analisou os resultados | valor=7627
linha=397 | nome=Gabriela | acao=executou o benchmark | valor=3751
linha=398 | nome=Otavio | acao=analisou os resultados | valor=3364
linha=399 | nome=Felipe | acao=analisou os resultados | valor=6433
linha=400 | nome=Mariana | acao=estudou computacao | valor=1699
linha=401 | nome=Lucas | acao=otimizou o algoritmo | valor=3819
linha=402 | nome=Tiago | acao=comparou as metricas | valor=9377
linha=403 | nome=Renata | acao=escreveu o relatorio | valor=8398
linha=404 | nome=Felipe | acao=analisou os resultados | valor=8782
linha=405 | nome=Otavio | acao=fez um experimento | valor=6902
linha=406 | nome=Karen | acao=executou o benchmark | valor=6078
linha=407 | nome=Bruno | acao=otimizou o algoritmo | valor=8435
linha=408 | nome=Tiago | acao=escreveu o relatorio | valor=6886
linha=409 | nome=Carlos | acao=estudou computacao | valor=4923
linha=410 | nome=Lucas | acao=participou da aula | valor=2221
linha=411 | nome=Carlos | acao=participou da aula | valor=3134
linha=412 | nome=Felipe | acao=executou o benchmark | valor=3261
linha=413 | nome=Lucas | acao=fez um experimento | valor=4868
linha=414 | nome=Mariana | acao=otimizou o algoritmo | valor=1279
linha=415 | nome=Gabriela | acao=fez um experimento | valor=2148
linha=416 | nome=Vitor | acao=participou da aula | valor=3360
linha=417 | nome=Otavio | acao=participou da aula | valor=7704
linha=418 | nome=Mariana | acao=fez um experimento | valor=3089
linha=419 | nome=Ana | acao=fez um experimento | valor=5724
linha=420 | nome=Vitor | acao=estudou computacao | valor=7354
linha=421 | nome=Sofia | acao=fez um experimento | valor=9498
linha=422 | nome=Eduarda | acao=fez um experimento | valor=3984
linha=423 | nome=Joao | acao=analisou os resultados | valor=6897
linha=424 | nome=Felipe | acao=participou da aula | valor=1383
linha=425 | nome=Vitor | acao=fez um experimento | valor=9803
linha=426 | nome=Daniela | acao=analisou os resultados | valor=6922
linha=427 | nome=Vitor | acao=analisou os resultados | valor=8410
linha=428 | nome=Karen | acao=otimizou o algoritmo | valor=7740
linha=429 | nome=Daniela | acao=fez um experimento | valor=7201
linha=430 | nome=Joao | acao=estudou computacao | valor=3586
linha=431 | nome=Sofia | acao=estudou computacao | valor=6741
linha=432 | nome=Renata | acao=executou o benchmark | valor=3636
linha=433 | nome=Helena | acao=participou da aula | valor=3450
linha=434 | nome=Ana | acao=escreveu o relatorio | valor=9706
linha=435 | nome=Renata | acao=fez um experimento | valor=7384
linha=436 | nome=Felipe | acao=participou da aula | valor=1611
linha=437 | nome=Karen | acao=escreveu o relatorio | valor=2411
linha=438 | nome=Felipe | acao=comparou as metricas | valor=6816
linha=439 | nome=Carlos | acao=fez um experimento | valor=3377
linha=440 | nome=Bruno | acao=executou o benchmark | valor=2292
linha=441 | nome=Felipe | acao=participou da aula | valor=8044
linha=442 | nome=Daniela | acao=comparou as metricas | valor=4886
linha=443 | nome=Igor | acao=otimizou o algoritmo | valor=6122
linha=444 | nome=Tiago | acao=participou da aula | valor=8033
linha=445 | nome=Paulo | acao=analisou os resultados | valor=3531
linha=446 | nome=Lucas | acao=escreveu o relatorio | valor=7834
linha=447 | nome=Ana | acao=participou da aula | valor=9197
linha=448 | nome=Karen | acao=participou da aula | valor=7048
linha=449 | nome=Karen | acao=estudou computacao | valor=1492
linha=450 | nome=Helena | acao=comparou as metricas | valor=2004
linha=451 | nome=Ana | acao=analisou os resultados | valor=6439
linha=452 | nome=Ana | acao=estudou computacao | valor=2950
