linha=1 | nome=Eduarda | acao=fez um experimento | valor=8369
linha=167 | nome=Gabriela | acao=fez um experimento | valor=6612
linha=168 | nome=Helena | acao=estudou computacao | valor=1080
linha=169 | nome=Bruno | acao=otimizou o algoritmo | valor=1819
linha=170 | nome=Gabriela | acao=analisou os resultados | valor=9178
linha=171 | nome=Helena | acao=analisou os resultados | valor=3223
linha=172 | nome=Otavio | acao=otimizou o algoritmo | valor=3245
linha=173 | nome=Karen | acao=analisou os resultados | valor=9394
linha=174 | nome=Felipe | acao=analisou os resultados | valor=4751
linha=175 | nome=Renata | acao=executou o benchmark | valor=4640
linha=176 | nome=Felipe | acao=estudou computacao | valor=7197
linha=177 | nome=Paulo | acao=escreveu o relatorio | valor=9301
linha=178 | nome=Otavio | acao=otimizou o algoritmo | valor=5297
linha=179 | nome=Sofia | acao=escreveu o relatorio | valor=9753
linha=180 | nome=Natalia | acao=escreveu o relatorio | valor=3095
linha=181 | nome=Daniela | acao=analisou os resultados | valor=4551
linha=182 | nome=Gabriela | acao=analisou os resultados | valor=4217
linha=183 | nome=Tiago | acao=fez um experimento | valor=1235
linha=184 | nome=Otavio | acao=escreveu o relatorio | valor=3068
linha=185 | nome=Otavio | acao=comparou as metricas | valor=6752
linha=186 | nome=Helena | acao=comparou as metricas | valor=1232
linha=187 | nome=Helena | acao=analisou os resultados | valor=8217
linha=188 | nome=Karen | acao=fez um experimento | valor=5743
linha=189 | nome=Mariana | acao=participou da aula | valor=6959
linha=190 | nome=Natalia | acao=otimizou o algoritmo | valor=3771
linha=191 | nome=Vitor | acao=fez um experimento | valor=3090
linha=192 | nome=Mariana | acao=escreveu o relatorio | valor=9563
linha=193 | nome=Daniela | acao=analisou os resultados | valor=6010
linha=194 | nome=Tiago | acao=estudou computacao | valor=5677
linha=195 | nome=Bruno | acao=fez um experimento | valor=6929
linha=196 | nome=Sofia | acao=comparou as metricas | valor=2935
linha=197 | nome=Daniela | acao=fez um experimento | valor=7290
linha=198 | nome=Helena | acao=comparou as metricas | valor=5618
linha=199 | nome=Vitor | acao=otimizou o algoritmo | valor=9202
linha=200 | nome=Felipe | acao=analisou os resultados | valor=4508
linha=201 | nome=Tiago | acao=participou da aula | valor=1671
linha=202 | nome=Eduarda | acao=analisou os resultados | valor=7032
linha=203 | nome=Otavio | acao=analisou os resultados | valor=1082
linha=204 | nome=Ana | acao=analisou os resultados | valor=9825
linha=205 | nome=Lucas | acao=participou da aula | valor=5669
linha=206 | nome=Karen | acao=analisou os resultados | valor=6169
linha=207 | nome=Gabriela | acao=otimizou o algoritmo | valor=5331
linha=208 | nome=Bruno | acao=estudou computacao | valor=9421
linha=209 | nome=Joao | acao=fez um experimento | valor=4370
linha=210 | nome=Igor | acao=analisou os resultados | valor=1828
linha=211 | nome=Karen | acao=executou o benchmark | valor=5163
linha=212 | nome=Igor | acao=fez um experimento | valor=5633
linha=213 | nome=Tiago | acao=otimizou o algoritmo | valor=6806
linha=214 | nome=Igor | acao=otimizou o algoritmo | valor=5282
linha=215 | nome=Ana | acao=estudou computacao | valor=1160
linha=216 | nome=Renata | acao=escreveu o relatorio | valor=1345
linha=217 | nome=Igor | acao=escreveu o relatorio | valor=8276
linha=218 | nome=Helena | acao=estudou computacao | valor=1629
linha=219 | nome=Mariana | acao=fez um experimento | valor=2661
linha=220 | nome=Helena | acao=estudou computacao | valor=7119
linha=221 | nome=Felipe | acao=estudou computacao | valor=5486
linha=222 | nome=Sofia | acao=estudou computacao | valor=1934
linha=223 | nome=Daniela | acao=otimizou o algoritmo | valor=5120
linha=224 | nome=Felipe | acao=otimizou o algoritmo | valor=6853
linha=225 | nome=Bruno | acao=participou da aula | valor=7429
linha=226 | nome=Eduarda | acao=otimizou o algoritmo | valor=2582
linha=227 | nome=Renata | acao=escreveu o relatorio | valor=4224
linha=228 | nome=Paulo | acao=participou da aula | valor=5658
linha=229 | nome=Natalia | acao=otimizou o algoritmo | valor=5346
linha=230 | nome=Vitor | acao=analisou os resultados | valor=4576
linha=231 | nome=Gabriela | acao=participou da aula | valor=7393
linha=232 | nome=Mariana | acao=analisou os resultados | valor=7551
linha=233 | nome=Igor | acao=participou da aula | valor=1235
linha=234 | nome=Lucas | acao=comparou as metricas | valor=8714
linha=235 | nome=Eduarda | acao=otimizou o algoritmo | valor=1660
linha=236 | nome=Gabriela | acao=otimizou o algoritmo | valor=9858
linha=237 | nome=Igor | acao=fez um experimento | valor=7085
linha=238 | nome=Otavio | acao=participou da aula | valor=8321
linha=239 | nome=Karen | acao=fez um experimento | valor=4727
linha=240 | nome=Mariana | acao=escreveu o relatorio | valor=4927
linha=241 | nome=Otavio | acao=comparou as metricas | valor=9492
linha=242 | nome=Daniela | acao=estudou computacao | valor=5407
linha=243 | nome=Joao | acao=participou da aula | valor=2632
linha=244 | nome=Mariana | acao=executou o benchmark | valor=5583
linha=245 | nome=Igor | acao=escreveu o relatorio | valor=8251
linha=246 | nome=Tiago | acao=comparou as metricas | valor=9312
linha=247 | nome=Natalia | acao=executou o benchmark | valor=1112
linha=248 | nome=Vitor | acao=participou da aula | valor=8144
linha=249 | nome=Tiago | acao=comparou as metricas | valor=9795
linha=250 | nome=Karen | acao=analisou os resultados | valor=5784
linha=251 | nome=Carlos | acao=participou da aula | valor=7220
linha=252 | nome=Vitor | acao=participou da aula | valor=7320
linha=253 | nome=Ana | acao=estudou computacao | valor=1040
linha=254 | nome=Renata | acao=estudou computacao | valor=3163
linha=255 | nome=Karen | acao=analisou os resultados | valor=4855
linha=256 | nome=Carlos | acao=escreveu o relatorio | valor=8126
linha=257 | nome=Renata | acao=fez um experimento | valor=4637
linha=258 | nome=Paulo | acao=escreveu o relatorio | valor=4010
linha=259 | nome=Tiago | acao=fez um experimento | valor=9789
linha=260 | nome=Otavio | acao=otimizou o algoritmo | valor=9719
linha=261 | nome=Otavio | acao=otimizou o algoritmo | valor=8800
linha=262 | nome=Gabriela | acao=analisou os resultados | valor=1416
linha=263 | nome=Natalia | acao=escreveu o relatorio | valor=6050
linha=264 | nome=Mariana | acao=otimizou o algoritmo | valor=3586
linha=265 | nome=Ana | acao=fez um experimento | valor=8832
linha=266 | nome=Otavio | acao=executou o benchmark | valor=8966
linha=267 | nome=Vitor | acao=fez um experimento | valor=7631
linha=268 | nome=Carlos | acao=analisou os resultados | valor=5913
linha=269 | nome=Ana | acao=escreveu o relatorio | valor=4756
linha=270 | nome=Sofia | acao=fez um experimento | valor=3057
linha=271 | nome=Daniela | acao=participou da aula | valor=7685
linha=272 | nome=Natalia | acao=otimizou o algoritmo | valor=3844
linha=273 | nome=Renata | acao=participou da aula | valor=3270
linha=274 | nome=Helena | acao=analisou os resultados | valor=4909
linha=275 | nome=Otavio | acao=comparou as metricas | valor=6315
linha=276 | nome=Eduarda | acao=estudou computacao | valor=8451
linha=277 | nome=Renata | acao=comparou as metricas | valor=2885
linha=278 | nome=Sofia | acao=fez um experimento | valor=6581
linha=279 | nome=Mariana | acao=analisou os resultados | valor=7962
linha=280 | nome=Renata | acao=comparou as metricas | valor=5791
linha=281 | nome=Eduarda | acao=estudou computacao | valor=5913
linha=282 | nome=Mariana | acao=otimizou o algoritmo | valor=7594
linha=283 | nome=Sofia | acao=escreveu o relatorio | valor=3040
linha=284 | nome=Igor | acao=escreveu o relatorio | valor=3149
linha=285 | nome=Otavio | acao=otimizou o algoritmo | valor=3872
linha=286 | nome=Renata | acao=participou da aula | valor=5126
linha=287 | nome=Carlos | acao=escreveu o relatorio | valor=5890
linha=288 | nome=Eduarda | acao=comparou as metricas | valor=3520
linha=289 | nome=Vitor | acao=escreveu o relatorio | valor=5038
linha=290 | nome=Tiago | acao=otimizou o algoritmo | valor=7316
linha=291 | nome=Lucas | acao=fez um experimento | valor=1836
linha=292 | nome=Paulo | acao=estudou computacao | valor=7626
linha=293 | nome=Karen | acao=comparou as metricas | valor=6538
linha=294 | nome=Paulo | acao=escreveu o relatorio | valor=4813
linha=295 | nome=Bruno | acao=participou da aula | valor=9067
linha=296 | nome=Helena | acao=otimizou o algoritmo | valor=6182
linha=297 | nome=Natalia | acao=analisou os resultados | valor=8988
linha=298 | nome=Daniela | acao=comparou as metricas | valor=2809
linha=299 | nome=Mariana | acao=estudou computacao | valor=9797
linha=300 | nome=Vitor | acao=analisou os resultados | valor=9979
linha=301 | nome=Ana | acao=escreveu o relatorio | valor=4428
linha=302 | nome=Bruno | acao=comparou as metricas | valor=8661
linha=303 | nome=Carlos | acao=comparou as metricas | valor=5692
linha=304 | nome=Joao | acao=escreveu o relatorio | valor=1418
linha=305 | nome=Sofia | acao=fez um experimento | valor=1666
linha=306 | nome=Vitor | acao=comparou as metricas | valor=3938
linha=307 | nome=Helena | acao=participou da aula | valor=3053
linha=308 | nome=Vitor | acao=executou o benchmark | valor=8260
linha=309 | nome=Lucas | acao=fez um experimento | valor=7854
linha=310 | nome=Tiago | acao=participou da aula | valor=6026
linha=311 | nome=Paulo | acao=otimizou o algoritmo | valor=5360
linha=312 | nome=Mariana | acao=escreveu o relatorio | valor=8074
linha=313 | nome=Joao | acao=executou o benchmark | valor=6997
linha=314 | nome=Mariana | acao=analisou os resultados | valor=1817
linha=315 | nome=Otavio | acao=estudou computacao | valor=5990
linha=316 | nome=Renata | acao=estudou computacao | valor=4619
linha=317 | nome=Carlos | acao=estudou computacao | valor=3157
linha=318 | nome=Otavio | acao=participou da aula | valor=8789
linha=319 | nome=Bruno | acao=escreveu o relatorio | valor=9798
linha=320 | nome=Vitor | acao=fez um experimento | valor=7949
linha=321 | nome=Vitor | acao=otimizou o algoritmo | valor=9811
linha=322 | nome=Vitor | acao=comparou as metricas | valor=6202
linha=323 | nome=Felipe | acao=comparou as metricas | valor=7447
linha=324 | nome=Sofia | acao=escreveu o relatorio | valor=6459
linha=325 | nome=Vitor | acao=escreveu o relatorio | valor=8789
linha=326 | nome=Joao | acao=escreveu o relatorio | valor=2509
linha=327 | nome=Carlos | acao=executou o benchmark | valor=3066
linha=328 | nome=Felipe | acao=otimizou o algoritmo | valor=4264
linha=329 | nome=Mariana | acao=escreveu o relatorio | valor=6752
linha=330 | nome=Mariana | acao=fez um experimento | valor=5351
linha=331 | nome=Igor | acao=participou da aula | valor=6322
linha=332 | nome=Bruno | acao=analisou os resultados | valor=1045
linha=333 | nome=Paulo | acao=escreveu o relatorio | valor=7880
linha=334 | nome=Eduarda | acao=participou da aula | valor=6759
linha=335 | nome=Paulo | acao=fez um experimento | valor=8160
linha=336 | nome=Otavio | acao=escreveu o relatorio | valor=5987
linha=337 | nome=Sofia | acao=estudou computacao | valor=9644
linha=338 | nome=Renata | acao=fez um experimento | valor=7313
linha=339 | nome=Bruno | acao=escreveu o relatorio | valor=3626
linha=340 | nome=Felipe | acao=executou o benchmark | valor=5180
linha=341 | nome=Vitor | acao=estudou computacao | valor=3127
linha=342 | nome=Natalia | acao=escreveu o relatorio | valor=8451
linha=343 | nome=Lucas | acao=estudou computacao | valor=6195
linha=344 | nome=Karen | acao=estudou computacao | valor=6228
linha=345 | nome=Daniela | acao=fez um experimento | valor=9338
linha=346 | nome=Helena | acao=analisou os resultados | valor=7087
linha=347 | nome=Igor | acao=escreveu o relatorio | valor=4405
linha=348 | nome=Bruno | acao=executou o benchmark | valor=1679
linha=349 | nome=Gabriela | acao=participou da aula | valor=5358
linha=350 | nome=Daniela | acao=fez um experimento | valor=7394
linha=351 | nome=Eduarda | acao=participou da aula | valor=8450
linha=352 | nome=Renata | acao=estudou computacao | valor=6079
linha=353 | nome=Otavio | acao=analisou os resultados | valor=7743
linha=354 | nome=Eduarda | acao=participou da aula | valor=9368
linha=355 | nome=Karen | acao=estudou computacao | valor=2577
linha=356 | nome=Bruno | acao=estudou computacao | valor=5005
linha=357 | nome=Renata | acao=estudou computacao | valor=1306
linha=358 | nome=Sofia | acao=estudou computacao | valor=2593
linha=359 | nome=Tiago | acao=fez um experimento | valor=9036
linha=360 | nome=Renata | acao=analisou os resultados | valor=4609
linha=361 | nome=Paulo | acao=executou o benchmark | valor=8471
linha=362 | nome=Bruno | acao=analisou os resultados | valor=5140
linha=363 | nome=Tiago | acao=estudou computacao | valor=2807
linha=364 | nome=Ana | acao=estudou computacao | valor=7127
linha=365 | nome=Felipe | acao=executou o benchmark | valor=5891
linha=366 | nome=Felipe | acao=executou o benchmark | valor=5614
linha=367 | nome=Felipe | acao=estudou computacao | valor=7803
linha=368 | nome=Gabriela | acao=otimizou o algoritmo | valor=1591
linha=369 | nome=Mariana | acao=executou o benchmark | valor=4109
linha=370 | nome=Bruno | acao=participou da aula | valor=4391
linha=371 | nome=Igor | acao=fez um experimento | valor=5049
linha=372 | nome=Paulo | acao=executou o benchmark | valor=4793
linha=373 | nome=Joao | acao=comparou as metricas | valor=3738
linha=374 | nome=Tiago | acao=estudou computacao | valor=2025
linha=375 | nome=Sofia | acao=comparou as metricas | valor=8547
linha=376 | nome=Otavio | acao=otimizou o algoritmo | valor=1099
linha=377 | nome=Renata | acao=comparou as metricas | valor=8730
linha=378 | nome=Felipe | acao=comparou as metricas | valor=2789
linha=379 | nome=Carlos | acao=comparou as metricas | valor=2117
linha=380 | nome=Paulo | acao=estudou computacao | valor=6801
linha=381 | nome=Daniela | acao=comparou as metricas | valor=7953
linha=382 | nome=Mariana | acao=analisou os resultados | valor=3729
linha=383 | nome=Daniela | acao=estudou computacao | valor=1821
linha=384 | nome=Lucas | acao=analisou os resultados | valor=6831
linha=385 | nome=Karen | acao=otimizou o algoritmo | valor=8703
linha=386 | nome=Renata | acao=estudou computacao | valor=4407
linha=387 | nome=Bruno | acao=fez um experimento | valor=5696
linha=388 | nome=Carlos | acao=analisou os resultados | valor=1652
linha=389 | nome=Sofia | acao=comparou as metricas | valor=7067
linha=390 | nome=Bruno | acao=otimizou o algoritmo | valor=7490
linha=391 | nome=Ana | acao=analisou os resultados | valor=1741
linha=392 | nome=Helena | acao=escreveu o relatorio | valor=1185
linha=393 | nome=Otavio | acao=analisou os resultados | valor=6335
linha=394 | nome=Helena | acao=participou da aula | valor=6509
linha=395 | nome=Paulo | acao=participou da aula | valor=6245
linha=396 | nome=Bruno | acao=otimizou o algoritmo | valor=2421
linha=397 | nome=Igor | acao=analisou os resultados | valor=3476
linha=398 | nome=Helena | acao=comparou as metricas | valor=7158
linha=399 | nome=Igor | acao=otimizou o algoritmo | valor=5381
linha=400 | nome=Bruno | acao=estudou computacao | valor=1881
linha=401 | nome=Carlos | acao=escreveu o relatorio | valor=1375
linha=402 | nome=Gabriela | acao=analisou os resultados | valor=5121
linha=403 | nome=Joao | acao=otimizou o algoritmo | valor=2925
linha=404 | nome=Karen | acao=comparou as metricas | valor=6370
linha=405 | nome=Mariana | acao=fez um experimento | valor=5587
linha=406 | nome=Eduarda | acao=executou o benchmark | valor=9470
linha=407 | nome=Renata | acao=fez um experimento | valor=2640
linha=408 | nome=Joao | acao=analisou os resultados | valor=2366
linha=409 | nome=Lucas | acao=analisou os resultados | valor=7265
linha=410 | nome=Paulo | acao=comparou as metricas | valor=4748
linha=411 | nome=Carlos | acao=participou da aula | valor=1093
linha=412 | nome=Gabriela | acao=fez um experimento | valor=6004
linha=413 | nome=Bruno | acao=fez um experimento | valor=2440
linha=414 | nome=Eduarda | acao=otimizou o algoritmo | valor=5135
linha=415 | nome=Felipe | acao=analisou os resultados | valor=5056
linha=416 | nome=Lucas | acao=fez um experimento | valor=2236
linha=417 | nome=Igor | acao=estudou computacao | valor=1983
linha=418 | nome=Daniela | acao=comparou as metricas | valor=6686
linha=419 | nome=Igor | acao=participou da aula | valor=4597
linha=420 | nome=Eduarda | acao=comparou as metricas | valor=1814
linha=421 | nome=Carlos | acao=estudou computacao | valor=6347
linha=422 | nome=Lucas | acao=otimizou o algoritmo | valor=4342
linha=423 | nome=Joao | acao=escreveu o relatorio | valor=7763
linha=424 | nome=Natalia | acao=participou da aula | valor=3431
linha=425 | nome=Helena | acao=otimizou o algoritmo | valor=1055
linha=426 | nome=Sofia | acao=otimizou o algoritmo | valor=7932
linha=427 | nome=Paulo | acao=executou o benchmark | valor=4609
linha=428 | nome=Mariana | acao=fez um experimento | valor=2751
linha=429 | nome=Mariana | acao=executou o benchmark | valor=7870
linha=430 | nome=Ana | acao=escreveu o relatorio | valor=9745
linha=431 | nome=Bruno | acao=executou o benchmark | valor=6072
linha=432 | nome=Lucas | acao=executou o benchmark | valor=3219
linha=433 | nome=Renata | acao=participou da aula | valor=7854
linha=434 | nome=Carlos | acao=escreveu o relatorio | valor=3735
linha=435 | nome=Karen | acao=fez um experimento | valor=1581
linha=436 | nome=Daniela | acao=estudou computacao | valor=5064
linha=437 | nome=Daniela | acao=analisou os resultados | valor=5006
linha=438 | nome=Paulo | acao=executou o benchmark | valor=2921
linha=439 | nome=Tiago | acao=comparou as metricas | valor=3290
linha=440 | nome=Sofia | acao=participou da aula | valor=7607
linha=441 | nome=Natalia | acao=executou o benchmark | valor=4455
linha=442 | nome=Daniela | acao=analisou os resultados | valor=7613
linha=443 | nome=Sofia | acao=estudou computacao | valor=7207
linha=444 | nome=Helena | acao=estudou computacao | valor=2217
linha=445 | nome=Bruno | acao=escreveu o relatorio | valor=9254
linha=446 | nome=Lucas | acao=comparou as metricas | valor=1788
linha=447 | nome=Otavio | acao=otimizou o algoritmo | valor=7804
linha=448 | nome=Mariana | acao=estudou computacao | valor=2127
linha=449 | nome=Gabriela | acao=executou o benchmark | valor=8236
linha=450 | nome=Renata | acao=fez um experimento | valor=5300
linha=451 | nome=Helena | acao=analisou os resultados | valor=2058
