linha=1 | nome=Tiago | acao=executou o benchmark | valor=4960
linha=73 | nome=Bruno | acao=participou da aula | valor=5278
linha=74 | nome=Gabriela | acao=executou o benchmark | valor=8623
linha=75 | nome=Igor | acao=comparou as metricas | valor=3736
linha=76 | nome=Sofia | acao=participou da aula | valor=1805
linha=77 | nome=Joao | acao=analisou os resultados | valor=4583
linha=78 | nome=Helena | acao=comparou as metricas | valor=9450
linha=79 | nome=Otavio | acao=estudou computacao | valor=5988
linha=80 | nome=Renata | acao=executou o benchmark | valor=9044
linha=81 | nome=Gabriela | acao=comparou as metricas | valor=6097
linha=82 | nome=Carlos | acao=escreveu o relatorio | valor=5017
linha=83 | nome=Igor | acao=analisou os resultados | valor=7556
linha=84 | nome=Paulo | acao=fez um experimento | valor=7479
linha=85 | nome=Bruno | acao=fez um experimento | valor=6222
linha=86 | nome=Tiago | acao=otimizou o algoritmo | valor=8737
linha=87 | nome=Joao | acao=otimizou o algoritmo | valor=4533
linha=88 | nome=Karen | acao=escreveu o relatorio | valor=2232
linha=89 | nome=Ana | acao=estudou computacao | valor=8337
linha=90 | nome=Tiago | acao=estudou computacao | valor=7732
linha=91 | nome=Igor | acao=analisou os resultados | valor=7391
linha=92 | nome=Daniela | acao=comparou as metricas | valor=4674
linha=93 | nome=Otavio | acao=comparou as metricas | valor=4777
linha=94 | nome=Mariana | acao=fez um experimento | valor=3217
linha=95 | nome=Felipe | acao=estudou computacao | valor=5045
linha=96 | nome=Vitor | acao=estudou computacao | valor=5676
linha=97 | nome=Igor | acao=executou o benchmark | valor=3052
linha=98 | nome=Sofia | acao=fez um experimento | valor=5039
linha=99 | nome=Mariana | acao=otimizou o algoritmo | valor=8209
linha=100 | nome=Igor | acao=participou da aula | valor=9973
linha=101 | nome=Helena | acao=otimizou o algoritmo | valor=7948
linha=102 | nome=Natalia | acao=participou da aula | valor=5899
linha=103 | nome=Igor | acao=comparou as metricas | valor=3007
linha=104 | nome=Joao | acao=executou o benchmark | valor=7903
linha=105 | nome=Eduarda | acao=participou da aula | valor=9202
linha=106 | nome=Helena | acao=participou da aula | valor=4738
linha=107 | nome=Mariana | acao=executou o benchmark | valor=2764
linha=108 | nome=Mariana | acao=analisou os resultados | valor=3624
linha=109 | nome=Gabriela | acao=escreveu o relatorio | valor=5925
linha=110 | nome=Otavio | acao=fez um experimento | valor=6574
linha=111 | nome=Joao | acao=participou da aula | valor=7894
linha=112 | nome=Sofia | acao=otimizou o algoritmo | valor=1160
linha=113 | nome=Igor | acao=escreveu o relatorio | valor=4070
linha=114 | nome=Gabriela | acao=otimizou o algoritmo | valor=2103
linha=115 | nome=Joao | acao=comparou as metricas | valor=3447
linha=116 | nome=Joao | acao=escreveu o relatorio | valor=7019
linha=117 | nome=Ana | acao=estudou computacao | valor=6959
linha=118 | nome=Lucas | acao=estudou computacao | valor=4045
linha=119 | nome=Renata | acao=comparou as metricas | valor=9491
linha=120 | nome=Karen | acao=fez um experimento | valor=9875
linha=121 | nome=Paulo | acao=executou o benchmark | valor=4577
linha=122 | nome=Carlos | acao=otimizou o algoritmo | valor=6690
linha=123 | nome=Karen | acao=executou o benchmark | valor=5930
linha=124 | nome=Sofia | acao=otimizou o algoritmo | valor=1226
linha=125 | nome=Ana | acao=fez um experimento | valor=8345
linha=126 | nome=Helena | acao=otimizou o algoritmo | valor=3977
linha=127 | nome=Gabriela | acao=executou o benchmark | valor=7087
linha=128 | nome=Karen | acao=estudou computacao | valor=8085
linha=129 | nome=Eduarda | acao=escreveu o relatorio | valor=1446
linha=130 | nome=Karen | acao=escreveu o relatorio | valor=4505
linha=131 | nome=Carlos | acao=fez um experimento | valor=4810
linha=132 | nome=Mariana | acao=fez um experimento | valor=5694
linha=133 | nome=Vitor | acao=comparou as metricas | valor=1005
linha=134 | nome=Bruno | acao=fez um experimento | valor=1792
linha=135 | nome=Gabriela | acao=executou o benchmark | valor=5440
linha=136 | nome=Renata | acao=comparou as metricas | valor=1956
linha=137 | nome=Otavio | acao=comparou as metricas | valor=8342
linha=138 | nome=Felipe | acao=otimizou o algoritmo | valor=6792
linha=139 | nome=Renata | acao=estudou computacao | valor=1859
linha=140 | nome=Vitor | acao=participou da aula | valor=4513
linha=141 | nome=Sofia | acao=fez um experimento | valor=7544
linha=142 | nome=Tiago | acao=escreveu o relatorio | valor=4464
linha=143 | nome=Carlos | acao=otimizou o algoritmo | valor=9565
linha=144 | nome=Carlos | acao=otimizou o algoritmo | valor=4807
linha=145 | nome=Otavio | acao=fez um experimento | valor=4135
linha=146 | nome=Renata | acao=escreveu o relatorio | valor=1442
linha=147 | nome=Karen | acao=executou o benchmark | valor=1102
linha=148 | nome=Mariana | acao=escreveu o relatorio | valor=4767
linha=149 | nome=Joao | acao=analisou os resultados | valor=2583
linha=150 | nome=Lucas | acao=participou da aula | valor=8732
linha=151 | nome=Helena | acao=otimizou o algoritmo | valor=4733
linha=152 | nome=Daniela | acao=participou da aula | valor=3239
linha=153 | nome=Lucas | acao=estudou computacao | valor=1074
linha=154 | nome=Vitor | acao=estudou computacao | valor=2453
linha=155 | nome=Karen | acao=analisou os resultados | valor=8563
linha=156 | nome=Paulo | acao=escreveu o relatorio | valor=1376
linha=157 | nome=Felipe | acao=fez um experimento | valor=5531
linha=158 | nome=Karen | acao=participou da aula | valor=8301
linha=159 | nome=Paulo | acao=comparou as metricas | valor=6900
linha=160 | nome=Renata | acao=participou da aula | valor=9825
linha=161 | nome=Natalia | acao=comparou as metricas | valor=4086
linha=162 | nome=Helena | acao=analisou os resultados | valor=8833
linha=163 | nome=Carlos | acao=participou da aula | valor=6025
linha=164 | nome=Gabriela | acao=participou da aula | valor=6619
linha=165 | nome=Ana | acao=fez um experimento | valor=4615
linha=166 | nome=Felipe | acao=escreveu o relatorio | valor=8721
linha=167 | nome=Vitor | acao=analisou os resultados | valor=3704
linha=168 | nome=Vitor | acao=executou o benchmark | valor=5177
linha=169 | nome=Mariana | acao=fez um experimento | valor=4055
linha=170 | nome=Joao | acao=comparou as metricas | valor=6224
linha=171 | nome=Karen | acao=analisou os resultados | valor=2043
linha=172 | nome=Renata | acao=otimizou o algoritmo | valor=3739
linha=173 | nome=Gabriela | acao=fez um experimento | valor=6975
linha=174 | nome=Igor | acao=escreveu o relatorio | valor=2944
linha=175 | nome=Sofia | acao=analisou os resultados | valor=4486
linha=176 | nome=Karen | acao=otimizou o algoritmo | valor=1816
linha=177 | nome=Mariana | acao=escreveu o relatorio | valor=9588
linha=178 | nome=Tiago | acao=otimizou o algoritmo | valor=3855
linha=179 | nome=Mariana | acao=participou da aula | valor=5333
linha=180 | nome=Otavio | acao=estudou computacao | valor=9829
linha=181 | nome=Mariana | acao=analisou os resultados | valor=8114
linha=182 | nome=Helena | acao=comparou as metricas | valor=1440
linha=183 | nome=Gabriela | acao=fez um experimento | valor=1182
linha=184 | nome=Vitor | acao=executou o benchmark | valor=6708
linha=185 | nome=Bruno | acao=executou o benchmark | valor=9323
linha=186 | nome=Mariana | acao=escreveu o relatorio | valor=3439
linha=187 | nome=Vitor | acao=analisou os resultados | valor=1134
linha=188 | nome=Felipe | acao=escreveu o relatorio | valor=6404
linha=189 | nome=Mariana | acao=otimizou o algoritmo | valor=3034
linha=190 | nome=Bruno | acao=estudou computacao | valor=9474
linha=191 | nome=Gabriela | acao=otimizou o algoritmo | valor=7576
linha=192 | nome=Eduarda | acao=estudou computacao | valor=3481
linha=193 | nome=Lucas | acao=analisou os resultados | valor=9605
linha=194 | nome=Daniela | acao=estudou computacao | valor=9210
linha=195 | nome=Igor | acao=comparou as metricas | valor=5917
linha=196 | nome=Felipe | acao=otimizou o algoritmo | valor=1880
linha=197 | nome=Joao | acao=comparou as metricas | valor=2338
linha=198 | nome=Natalia | acao=executou o benchmark | valor=6939
linha=199 | nome=Gabriela | acao=fez um experimento | valor=8313
linha=200 | nome=Igor | acao=analisou os resultados | valor=2766
linha=201 | nome=Vitor | acao=escreveu o relatorio | valor=4057
linha=202 | nome=Gabriela | acao=otimizou o algoritmo | valor=4839
linha=203 | nome=Eduarda | acao=escreveu o relatorio | valor=6358
linha=204 | nome=Bruno | acao=comparou as metricas | valor=7111
linha=205 | nome=Igor | acao=fez um experimento | valor=1191
linha=206 | nome=Eduarda | acao=otimizou o algoritmo | valor=9978
linha=207 | nome=Mariana | acao=otimizou o algoritmo | valor=8189
linha=208 | nome=Sofia | acao=analisou os resultados | valor=8619
linha=209 | nome=Felipe | acao=escreveu o relatorio | valor=2833
linha=210 | nome=Mariana | acao=analisou os resultados | valor=5045
linha=211 | nome=Sofia | acao=executou o benchmark | valor=9635
linha=212 | nome=Carlos | acao=analisou os resultados | valor=8995
linha=213 | nome=Paulo | acao=escreveu o relatorio | valor=7598
linha=214 | nome=Helena | acao=escreveu o relatorio | valor=1841
linha=215 | nome=Ana | acao=executou o benchmark | valor=8667
linha=216 | nome=Renata | acao=escreveu o relatorio | valor=8832
linha=217 | nome=Bruno | acao=executou o benchmark | valor=4503
linha=218 | nome=Bruno | acao=escreveu o relatorio | valor=3556
linha=219 | nome=Helena | acao=otimizou o algoritmo | valor=8683
linha=220 | nome=Ana | acao=executou o benchmark | valor=3318
linha=221 | nome=Mariana | acao=comparou as metricas | valor=9154
linha=222 | nome=Renata | acao=analisou os resultados | valor=8878
linha=223 | nome=Igor | acao=analisou os resultados | valor=6197
linha=224 | nome=Felipe | acao=analisou os resultados | valor=6404
linha=225 | nome=Mariana | acao=fez um experimento | valor=8859
linha=226 | nome=Daniela | acao=participou da aula | valor=7419
linha=227 | nome=Sofia | acao=executou o benchmark | valor=2321
linha=228 | nome=Bruno | acao=analisou os resultados | valor=6153
linha=229 | nome=Mariana | acao=participou da aula | valor=6562
linha=230 | nome=Igor | acao=otimizou o algoritmo | valor=3870
linha=231 | nome=Gabriela | acao=otimizou o algoritmo | valor=3074
linha=232 | nome=Carlos | acao=analisou os resultados | valor=7129
linha=233 | nome=Joao | acao=fez um experimento | valor=6209
linha=234 | nome=Karen | acao=comparou as metricas | valor=5739
linha=235 | nome=Daniela | acao=fez um experimento | valor=5489
linha=236 | nome=Ana | acao=executou o benchmark | valor=4463
linha=237 | nome=Renata | acao=participou da aula | valor=3757
linha=238 | nome=Ana | acao=comparou as metricas | valor=9790
linha=239 | nome=Natalia | acao=estudou computacao | valor=6415
linha=240 | nome=Vitor | acao=participou da aula | valor=7257
linha=241 | nome=Sofia | acao=escreveu o relatorio | valor=6348
linha=242 | nome=Lucas | acao=participou da aula | valor=2012
linha=243 | nome=Igor | acao=otimizou o algoritmo | valor=6457
linha=244 | nome=Renata | acao=executou o benchmark | valor=1443
linha=245 | nome=Eduarda | acao=estudou computacao | valor=6286
linha=246 | nome=Gabriela | acao=fez um experimento | valor=6598
linha=247 | nome=Natalia | acao=participou da aula | valor=8680
linha=248 | nome=Tiago | acao=executou o benchmark | valor=7187
linha=249 | nome=Natalia | acao=otimizou o algoritmo | valor=4668
linha=250 | nome=Bruno | acao=fez um experimento | valor=3858
linha=251 | nome=Mariana | acao=analisou os resultados | valor=3206
linha=252 | nome=Carlos | acao=participou da aula | valor=1012
linha=253 | nome=Tiago | acao=comparou as metricas | valor=6934
linha=254 | nome=Eduarda | acao=escreveu o relatorio | valor=8665
linha=255 | nome=Mariana | acao=escreveu o relatorio | valor=2149
linha=256 | nome=Igor | acao=fez um experimento | valor=8071
linha=257 | nome=Joao | acao=otimizou o algoritmo | valor=8158
linha=258 | nome=Vitor | acao=estudou computacao | valor=8091
linha=259 | nome=Helena | acao=fez um experimento | valor=9485
linha=260 | nome=Carlos | acao=analisou os resultados | valor=2576
linha=261 | nome=Carlos | acao=executou o benchmark | valor=7086
linha=262 | nome=Joao | acao=escreveu o relatorio | valor=9594
linha=263 | nome=Mariana | acao=escreveu o relatorio | valor=5103
linha=264 | nome=Sofia | acao=analisou os resultados | valor=7191
linha=265 | nome=Ana | acao=executou o benchmark | valor=3626
linha=266 | nome=Tiago | acao=estudou computacao | valor=6734
linha=267 | nome=Helena | acao=estudou computacao | valor=7068
linha=268 | nome=Mariana | acao=participou da aula | valor=3506
linha=269 | nome=Tiago | acao=escreveu o relatorio | valor=5934
linha=270 | nome=Tiago | acao=otimizou o algoritmo | valor=2022
linha=271 | nome=Helena | acao=fez um experimento | valor=2229
linha=272 | nome=Mariana | acao=otimizou o algoritmo | valor=2240
linha=273 | nome=Ana | acao=estudou computacao | valor=5618
linha=274 | nome=Paulo | acao=otimizou o algoritmo | valor=8944
linha=275 | nome=Natalia | acao=otimizou o algoritmo | valor=1791
linha=276 | nome=Daniela | acao=fez um experimento | valor=1484
linha=277 | nome=Felipe | acao=otimizou o algoritmo | valor=4227
linha=278 | nome=Sofia | acao=participou da aula | valor=2676
linha=279 | nome=Paulo | acao=participou da aula | valor=2566
linha=280 | nome=Sofia | acao=participou da aula | valor=9025
linha=281 | nome=Daniela | acao=participou da aula | valor=7162
linha=282 | nome=Otavio | acao=escreveu o relatorio | valor=7352
linha=283 | nome=Renata | acao=participou da aula | valor=7508
linha=284 | nome=Tiago | acao=comparou as metricas | valor=7061
linha=285 | nome=Vitor | acao=participou da aula | valor=3027
linha=286 | nome=Carlos | acao=estudou computacao | valor=3612
linha=287 | nome=Helena | acao=analisou os resultados | valor=7638
linha=288 | nome=Tiago | acao=escreveu o relatorio | valor=2871
linha=289 | nome=Lucas | acao=executou o benchmark | valor=9483
linha=290 | nome=Daniela | acao=escreveu o relatorio | valor=4694
linha=291 | nome=Felipe | acao=participou da aula | valor=7227
linha=292 | nome=Carlos | acao=executou o benchmark | valor=7971
linha=293 | nome=Karen | acao=analisou os resultados | valor=7215
linha=294 | nome=Karen | acao=comparou as metricas | valor=3089
linha=295 | nome=Lucas | acao=otimizou o algoritmo | valor=2234
linha=296 | nome=Igor | acao=fez um experimento | valor=6381
linha=297 | nome=Paulo | acao=analisou os resultados | valor=5988
linha=298 | nome=Otavio | acao=analisou os resultados | valor=2047
linha=299 | nome=Felipe | acao=comparou as metricas | valor=5390
linha=300 | nome=Bruno | acao=executou o benchmark | valor=3210
linha=301 | nome=Gabriela | acao=comparou as metricas | valor=7057
linha=302 | nome=Mariana | acao=otimizou o algoritmo | valor=1963
linha=303 | nome=Karen | acao=participou da aula | valor=2960
linha=304 | nome=Natalia | acao=fez um experimento | valor=3641
linha=305 | nome=Gabriela | acao=fez um experimento | valor=8122
linha=306 | nome=Karen | acao=participou da aula | valor=3774
linha=307 | nome=Renata | acao=executou o benchmark | valor=7998
linha=308 | nome=Eduarda | acao=executou o benchmark | valor=3245
linha=309 | nome=Ana | acao=comparou as metricas | valor=3857
linha=310 | nome=Bruno | acao=otimizou o algoritmo | valor=3184
linha=311 | nome=Eduarda | acao=analisou os resultados | valor=6217
linha=312 | nome=Eduarda | acao=executou o benchmark | valor=7297
linha=313 | nome=Mariana | acao=otimizou o algoritmo | valor=4511
linha=314 | nome=Helena | acao=executou o benchmark | valor=6326
linha=315 | nome=Vitor | acao=escreveu o relatorio | valor=8713
linha=316 | nome=Joao | acao=estudou computacao | valor=8565
linha=317 | nome=Felipe | acao=analisou os resultados | valor=6932
linha=318 | nome=Vitor | acao=participou da aula | valor=7598
linha=319 | nome=Renata | acao=escreveu o relatorio | valor=8514
linha=320 | nome=Felipe | acao=escreveu o relatorio | valor=9119
linha=321 | nome=Sofia | acao=estudou computacao | valor=8937
linha=322 | nome=Natalia | acao=estudou computacao | valor=1764
linha=323 | nome=Mariana | acao=executou o benchmark | valor=1257
linha=324 | nome=Bruno | acao=analisou os resultados | valor=8135
linha=325 | nome=Carlos | acao=analisou os resultados | valor=3486
linha=326 | nome=Lucas | acao=executou o benchmark | valor=2096
linha=327 | nome=Daniela | acao=comparou as metricas | valor=9124
linha=328 | nome=Mariana | acao=fez um experimento | valor=8196
linha=329 | nome=Mariana | acao=escreveu o relatorio | valor=2667
linha=330 | nome=Bruno | acao=analisou os resultados | valor=5100
linha=331 | nome=Bruno | acao=comparou as metricas | valor=9676
linha=332 | nome=Carlos | acao=fez um experimento | valor=6219
linha=333 | nome=Tiago | acao=fez um experimento | valor=3077
linha=334 | nome=Bruno | acao=comparou as metricas | valor=9520
linha=335 | nome=Paulo | acao=analisou os resultados | valor=2115
linha=336 | nome=Gabriela | acao=escreveu o relatorio | valor=2674
linha=337 | nome=Sofia | acao=estudou computacao | valor=1097
linha=338 | nome=Vitor | acao=otimizou o algoritmo | valor=6200
linha=339 | nome=Sofia | acao=otimizou o algoritmo | valor=9350
linha=340 | nome=Helena | acao=escreveu o relatorio | valor=7195
linha=341 | nome=Joao | acao=otimizou o algoritmo | valor=1994
linha=342 | nome=Vitor | acao=analisou os resultados | valor=4511
linha=343 | nome=Tiago | acao=executou o benchmark | valor=2588
linha=344 | nome=Lucas | acao=otimizou o algoritmo | valor=8831
linha=345 | nome=Joao | acao=escreveu o relatorio | valor=4056
linha=346 | nome=Helena | acao=executou o benchmark | valor=8663
linha=347 | nome=Carlos | acao=otimizou o algoritmo | valor=6280
linha=348 | nome=Vitor | acao=comparou as metricas | valor=7486
linha=349 | nome=Mariana | acao=executou o benchmark | valor=1857
linha=350 | nome=Renata | acao=estudou computacao | valor=2767
linha=351 | nome=Otavio | acao=estudou computacao | valor=7789
linha=352 | nome=Mariana | acao=analisou os resultados | valor=8889
linha=353 | nome=Joao | acao=comparou as metricas | valor=5503
linha=354 | nome=Ana | acao=participou da aula | valor=3255
linha=355 | nome=Daniela | acao=analisou os resultados | valor=2271
linha=356 | nome=Helena | acao=participou da aula | valor=3390
linha=357 | nome=Carlos | acao=analisou os resultados | valor=8778
linha=358 | nome=Renata | acao=estudou computacao | valor=3594
linha=359 | nome=Sofia | acao=analisou os resultados | valor=8477
linha=360 | nome=Eduarda | acao=estudou computacao | valor=3819
linha=361 | nome=Carlos | acao=estudou computacao | valor=1153
linha=362 | nome=Bruno | acao=otimizou o algoritmo | valor=7287
linha=363 | nome=Tiago | acao=escreveu o relatorio | valor=6834
linha=364 | nome=Daniela | acao=fez um experimento | valor=7894
linha=365 | nome=Mariana | acao=executou o benchmark | valor=1114
linha=366 | nome=Otavio | acao=escreveu o relatorio | valor=9819
linha=367 | nome=Helena | acao=otimizou o algoritmo | valor=7268
linha=368 | nome=Lucas | acao=escreveu o relatorio | valor=9264
linha=369 | nome=Igor | acao=participou da aula | valor=8321
linha=370 | nome=Otavio | acao=estudou computacao | valor=3050
linha=371 | nome=Sofia | acao=fez um experimento | valor=4054
linha=372 | nome=Ana | acao=otimizou o algoritmo | valor=1582
linha=373 | nome=Carlos | acao=participou da aula | valor=5107
linha=374 | nome=Eduarda | acao=fez um experimento | valor=9987
linha=375 | nome=Renata | acao=fez um experimento | valor=1195
linha=376 | nome=Helena | acao=participou da aula | valor=5794
linha=377 | nome=Daniela | acao=analisou os resultados | valor=7304
linha=378 | nome=Igor | acao=estudou computacao | valor=7995
linha=379 | nome=Renata | acao=executou o benchmark | valor=9788
linha=380 | nome=Ana | acao=analisou os resultados | valor=3245
linha=381 | nome=Renata | acao=comparou as metricas | valor=9694
linha=382 | nome=Gabriela | acao=analisou os resultados | valor=1401
linha=383 | nome=Bruno | acao=estudou computacao | valor=5253
linha=384 | nome=Eduarda | acao=estudou computacao | valor=2651
linha=385 | nome=Gabriela | acao=otimizou o algoritmo | valor=1512
linha=386 | nome=Lucas | acao=participou da aula | valor=7749
linha=387 | nome=Helena | acao=analisou os resultados | valor=6669
linha=388 | nome=Karen | acao=otimizou o algoritmo | valor=1891
linha=389 | nome=Vitor | acao=executou o benchmark | valor=7622
linha=390 | nome=Otavio | acao=fez um experimento | valor=7333
linha=391 | nome=Helena | acao=escreveu o relatorio | valor=9938
linha=392 | nome=Felipe | acao=otimizou o algoritmo | valor=2809
linha=393 | nome=Natalia | acao=estudou computacao | valor=1487
linha=394 | nome=Daniela | acao=escreveu o relatorio | valor=9526
linha=395 | nome=Carlos | acao=participou da aula | valor=1812
linha=396 | nome=Renata | acao=analisou os resultados | valor=1362
linha=397 | nome=Joao | acao=estudou computacao | valor=5954
linha=398 | nome=Daniela | acao=analisou os resultados | valor=8322
linha=399 | nome=Helena | acao=otimizou o algoritmo | valor=6945
linha=400 | nome=Carlos | acao=escreveu o relatorio | valor=7323
linha=401 | nome=Vitor | acao=comparou as metricas | valor=5595
linha=402 | nome=Eduarda | acao=comparou as metricas | valor=9564
linha=403 | nome=Igor | acao=analisou os resultados | valor=5590
linha=404 | nome=Sofia | acao=fez um experimento | valor=9910
linha=405 | nome=Tiago | acao=participou da aula | valor=8362
linha=406 | nome=Igor | acao=executou o benchmark | valor=4502
linha=407 | nome=Mariana | acao=participou da aula | valor=2015
linha=408 | nome=Sofia | acao=executou o benchmark | valor=9392
linha=409 | nome=Helena | acao=estudou computacao | valor=3911
linha=410 | nome=Bruno | acao=comparou as metricas | valor=9537
linha=411 | nome=Bruno | acao=executou o benchmark | valor=9301
linha=412 | nome=Mariana | acao=fez um experimento | valor=7098
linha=413 | nome=Mariana | acao=otimizou o algoritmo | valor=3666
linha=414 | nome=Mariana | acao=escreveu o relatorio | valor=6746
linha=415 | nome=Ana | acao=comparou as metricas | valor=8921
linha=416 | nome=Bruno | acao=comparou as metricas | valor=6073
linha=417 | nome=Mariana | acao=fez um experimento | valor=6708
linha=418 | nome=Daniela | acao=executou o benchmark | valor=1088
linha=419 | nome=Lucas | acao=estudou computacao | valor=1950
linha=420 | nome=Sofia | acao=escreveu o relatorio | valor=1148
linha=421 | nome=Eduarda | acao=otimizou o algoritmo | valor=6678
linha=422 | nome=Bruno | acao=analisou os resultados | valor=9724
linha=423 | nome=Ana | acao=participou da aula | valor=5141
linha=424 | nome=Renata | acao=fez um experimento | valor=8550
linha=425 | nome=Sofia | acao=executou o benchmark | valor=3202
linha=426 | nome=Bruno | acao=fez um experimento | valor=2617
linha=427 | nome=Eduarda | acao=estudou computacao | valor=4895
linha=428 | nome=Natalia | acao=executou o benchmark | valor=8117
linha=429 | nome=Sofia | acao=participou da aula | valor=8913
linha=430 | nome=Paulo | acao=participou da aula | valor=8580
linha=431 | nome=Sofia | acao=escreveu o relatorio | valor=6007
linha=432 | nome=Lucas | acao=escreveu o relatorio | valor=2102
linha=433 | nome=Renata | acao=executou o benchmark | valor=8338
linha=434 | nome=Tiago | acao=otimizou o algoritmo | valor=5232
linha=435 | nome=Bruno | acao=otimizou o algoritmo | valor=8695
linha=436 | nome=Carlos | acao=participou da aula | valor=1881
linha=437 | nome=Lucas | acao=otimizou o algoritmo | valor=7656
linha=438 | nome=Lucas | acao=comparou as metricas | valor=3166
linha=439 | nome=Renata | acao=executou o benchmark | valor=8524
linha=440 | nome=Bruno | acao=fez um experimento | valor=7447
linha=441 | nome=Sofia | acao=participou da aula | valor=1262
linha=442 | nome=Bruno | acao=comparou as metricas | valor=8266
linha=443 | nome=Lucas | acao=executou o benchmark | valor=7616
linha=444 | nome=Renata | acao=escreveu o relatorio | valor=1683
linha=445 | nome=Karen | acao=participou da aula | valor=7241
linha=446 | nome=Vitor | acao=otimizou o algoritmo | valor=9769
linha=447 | nome=Felipe | acao=estudou computacao | valor=6716
linha=448 | nome=Lucas | acao=fez um experimento | valor=3196
linha=449 | nome=Joao | acao=participou da aula | valor=5593
linha=450 | nome=Ana | acao=otimizou o algoritmo | valor=1191
