linha=1 | nome=Vitor | acao=otimizou o algoritmo | valor=7002
linha=41 | nome=Karen | acao=analisou os resultados | valor=4753
linha=42 | nome=Tiago | acao=executou o benchmark | valor=5151
linha=43 | nome=Ana | acao=otimizou o algoritmo | valor=4617
linha=44 | nome=Paulo | acao=fez um experimento | valor=3586
linha=45 | nome=Daniela | acao=comparou as metricas | valor=1943
linha=46 | nome=Otavio | acao=executou o benchmark | valor=4037
linha=47 | nome=Mariana | acao=escreveu o relatorio | valor=4874
linha=48 | nome=Renata | acao=analisou os resultados | valor=7735
linha=49 | nome=Gabriela | acao=fez um experimento | valor=1038
linha=50 | nome=Karen | acao=executou o benchmark | valor=4971
linha=51 | nome=Felipe | acao=fez um experimento | valor=5215
linha=52 | nome=Renata | acao=fez um experimento | valor=8719
linha=53 | nome=Lucas | acao=otimizou o algoritmo | valor=4439
linha=54 | nome=Helena | acao=estudou computacao | valor=3704
linha=55 | nome=Joao | acao=fez um experimento | valor=7798
linha=56 | nome=Otavio | acao=analisou os resultados | valor=3866
linha=57 | nome=Natalia | acao=participou da aula | valor=2785
linha=58 | nome=Igor | acao=executou o benchmark | valor=5512
linha=59 | nome=Gabriela | acao=participou da aula | valor=9173
linha=60 | nome=Sofia | acao=escreveu o relatorio | valor=7671
linha=61 | nome=Karen | acao=estudou computacao | valor=5301
linha=62 | nome=Mariana | acao=executou o benchmark | valor=1343
linha=63 | nome=Vitor | acao=executou o benchmark | valor=1363
linha=64 | nome=Eduarda | acao=estudou computacao | valor=7765
linha=65 | nome=Renata | acao=executou o benchmark | valor=9488
linha=66 | nome=Ana | acao=participou da aula | valor=9808
linha=67 | nome=Renata | acao=estudou computacao | valor=3543
linha=68 | nome=Karen | acao=executou o benchmark | valor=5252
linha=69 | nome=Tiago | acao=estudou computacao | valor=2668
linha=70 | nome=Ana | acao=comparou as metricas | valor=9987
linha=71 | nome=Renata | acao=fez um experimento | valor=4012
linha=72 | nome=Carlos | acao=participou da aula | valor=3977
linha=73 | nome=Daniela | acao=fez um experimento | valor=2243
linha=74 | nome=Vitor | acao=participou da aula | valor=4933
linha=75 | nome=Sofia | acao=comparou as metricas | valor=9447
linha=76 | nome=Ana | acao=comparou as metricas | valor=4823
linha=77 | nome=Sofia | acao=fez um experimento | valor=1681
linha=78 | nome=Gabriela | acao=analisou os resultados | valor=6410
linha=79 | nome=Paulo | acao=comparou as metricas | valor=4751
linha=80 | nome=Ana | acao=analisou os resultados | valor=6665
linha=81 | nome=Gabriela | acao=fez um experimento | valor=5141
linha=82 | nome=Ana | acao=executou o benchmark | valor=4559
linha=83 | nome=Joao | acao=otimizou o algoritmo | valor=9032
linha=84 | nome=Renata | acao=otimizou o algoritmo | valor=5052
linha=85 | nome=Paulo | acao=estudou computacao | valor=5483
linha=86 | nome=Eduarda | acao=analisou os resultados | valor=7051
linha=87 | nome=Felipe | acao=fez um experimento | valor=8211
linha=88 | nome=Bruno | acao=escreveu o relatorio | valor=2866
linha=89 | nome=Lucas | acao=comparou as metricas | valor=6888
linha=90 | nome=Sofia | acao=comparou as metricas | valor=1196
linha=91 | nome=Gabriela | acao=executou o benchmark | valor=7925
linha=92 | nome=Daniela | acao=estudou computacao | valor=3235
linha=93 | nome=Mariana | acao=comparou as metricas | valor=5547
linha=94 | nome=Igor | acao=comparou as metricas | valor=2109
linha=95 | nome=Daniela | acao=escreveu o relatorio | valor=6687
linha=96 | nome=Mariana | acao=escreveu o relatorio | valor=2720
linha=97 | nome=Carlos | acao=executou o benchmark | valor=4080
linha=98 | nome=Carlos | acao=executou o benchmark | valor=5158
linha=99 | nome=Carlos | acao=comparou as metricas | valor=9873
linha=100 | nome=Vitor | acao=participou da aula | valor=4974
linha=101 | nome=Lucas | acao=executou o benchmark | valor=2686
linha=102 | nome=Tiago | acao=otimizou o algoritmo | valor=1603
linha=103 | nome=Igor | acao=comparou as metricas | valor=8254
linha=104 | nome=Ana | acao=analisou os resultados | valor=2830
linha=105 | nome=Sofia | acao=escreveu o relatorio | valor=8702
linha=106 | nome=Renata | acao=escreveu o relatorio | valor=2350
linha=107 | nome=Paulo | acao=otimizou o algoritmo | valor=1797
linha=108 | nome=Lucas | acao=executou o benchmark | valor=2493
linha=109 | nome=Eduarda | acao=participou da aula | valor=8658
linha=110 | nome=Renata | acao=estudou computacao | valor=9585
linha=111 | nome=Paulo | acao=comparou as metricas | valor=1775
linha=112 | nome=Igor | acao=participou da aula | valor=8378
linha=113 | nome=Igor | acao=otimizou o algoritmo | valor=3757
linha=114 | nome=Paulo | acao=otimizou o algoritmo | valor=3934
linha=115 | nome=Renata | acao=otimizou o algoritmo | valor=6084
linha=116 | nome=Igor | acao=estudou computacao | valor=8429
linha=117 | nome=Felipe | acao=estudou computacao | valor=9696
linha=118 | nome=Ana | acao=estudou computacao | valor=3821
linha=119 | nome=Ana | acao=otimizou o algoritmo | valor=2117
linha=120 | nome=Felipe | acao=fez um experimento | valor=6228
linha=121 | nome=Mariana | acao=estudou computacao | valor=7673
linha=122 | nome=Mariana | acao=analisou os resultados | valor=1618
linha=123 | nome=Paulo | acao=comparou as metricas | valor=7424
linha=124 | nome=Gabriela | acao=escreveu o relatorio | valor=2780
linha=125 | nome=Daniela | acao=analisou os resultados | valor=7950
linha=126 | nome=Vitor | acao=participou da aula | valor=6054
linha=127 | nome=Helena | acao=estudou computacao | valor=3749
linha=128 | nome=Mariana | acao=otimizou o algoritmo | valor=9777
linha=129 | nome=Paulo | acao=comparou as metricas | valor=9461
linha=130 | nome=Paulo | acao=estudou computacao | valor=2231
linha=131 | nome=Mariana | acao=escreveu o relatorio | valor=3186
linha=132 | nome=Sofia | acao=fez um experimento | valor=8777
linha=133 | nome=Igor | acao=participou da aula | valor=9310
linha=134 | nome=Igor | acao=comparou as metricas | valor=5615
linha=135 | nome=Karen | acao=escreveu o relatorio | valor=3135
linha=136 | nome=Renata | acao=fez um experimento | valor=7500
linha=137 | nome=Igor | acao=fez um experimento | valor=7366
linha=138 | nome=Paulo | acao=fez um experimento | valor=2011
linha=139 | nome=Paulo | acao=fez um experimento | valor=9556
linha=140 | nome=Helena | acao=participou da aula | valor=9385
linha=141 | nome=Otavio | acao=analisou os resultados | valor=2269
linha=142 | nome=Vitor | acao=participou da aula | valor=3912
linha=143 | nome=Bruno | acao=participou da aula | valor=9557
linha=144 | nome=Otavio | acao=escreveu o relatorio | valor=4819
linha=145 | nome=Tiago | acao=executou o benchmark | valor=2862
linha=146 | nome=Igor | acao=estudou computacao | valor=7077
linha=147 | nome=Sofia | acao=participou da aula | valor=8556
linha=148 | nome=Tiago | acao=otimizou o algoritmo | valor=4795
linha=149 | nome=Eduarda | acao=comparou as metricas | valor=3043
linha=150 | nome=Paulo | acao=escreveu o relatorio | valor=4724
linha=151 | nome=Paulo | acao=analisou os resultados | valor=2659
linha=152 | nome=Natalia | acao=participou da aula | valor=5024
linha=153 | nome=Eduarda | acao=fez um experimento | valor=7618
linha=154 | nome=Eduarda | acao=escreveu o relatorio | valor=1893
linha=155 | nome=Karen | acao=participou da aula | valor=9766
linha=156 | nome=Daniela | acao=otimizou o algoritmo | valor=7965
linha=157 | nome=Tiago | acao=escreveu o relatorio | valor=9552
linha=158 | nome=Otavio | acao=estudou computacao | valor=1172
linha=159 | nome=Paulo | acao=otimizou o algoritmo | valor=4229
linha=160 | nome=Ana | acao=otimizou o algoritmo | valor=7991
linha=161 | nome=Bruno | acao=executou o benchmark | valor=9714
linha=162 | nome=Carlos | acao=escreveu o relatorio | valor=6935
linha=163 | nome=Tiago | acao=analisou os resultados | valor=3103
linha=164 | nome=Helena | acao=executou o benchmark | valor=9057
linha=165 | nome=Ana | acao=fez um experimento | valor=6980
linha=166 | nome=Helena | acao=participou da aula | valor=8072
linha=167 | nome=Karen | acao=estudou computacao | valor=4930
linha=168 | nome=Bruno | acao=estudou computacao | valor=7446
linha=169 | nome=Lucas | acao=analisou os resultados | valor=1481
linha=170 | nome=Ana | acao=estudou computacao | valor=5539
linha=171 | nome=Karen | acao=fez um experimento | valor=7440
linha=172 | nome=Igor | acao=estudou computacao | valor=4771
linha=173 | nome=Mariana | acao=fez um experimento | valor=3554
linha=174 | nome=Karen | acao=otimizou o algoritmo | valor=8740
linha=175 | nome=Otavio | acao=comparou as metricas | valor=4460
linha=176 | nome=Lucas | acao=otimizou o algoritmo | valor=4254
linha=177 | nome=Felipe | acao=comparou as metricas | valor=9194
linha=178 | nome=Joao | acao=executou o benchmark | valor=3352
linha=179 | nome=Bruno | acao=estudou computacao | valor=6587
linha=180 | nome=Mariana | acao=executou o benchmark | valor=9510
linha=181 | nome=Karen | acao=estudou computacao | valor=6767
linha=182 | nome=Daniela | acao=escreveu o relatorio | valor=9798
linha=183 | nome=Mariana | acao=comparou as metricas | valor=3470
linha=184 | nome=Lucas | acao=analisou os resultados | valor=9144
linha=185 | nome=Felipe | acao=escreveu o relatorio | valor=2271
linha=186 | nome=Sofia | acao=fez um experimento | valor=1491
linha=187 | nome=Renata | acao=comparou as metricas | valor=8292
linha=188 | nome=Gabriela | acao=otimizou o algoritmo | valor=4320
linha=189 | nome=Mariana | acao=comparou as metricas | valor=4206
linha=190 | nome=Karen | acao=comparou as metricas | valor=5427
linha=191 | nome=Igor | acao=executou o benchmark | valor=5145
linha=192 | nome=Lucas | acao=analisou os resultados | valor=8341
linha=193 | nome=Renata | acao=comparou as metricas | valor=8533
linha=194 | nome=Felipe | acao=executou o benchmark | valor=1274
linha=195 | nome=Felipe | acao=executou o benchmark | valor=2575
linha=196 | nome=Vitor | acao=otimizou o algoritmo | valor=8586
linha=197 | nome=Eduarda | acao=participou da aula | valor=8614
linha=198 | nome=Tiago | acao=estudou computacao | valor=7104
linha=199 | nome=Ana | acao=escreveu o relatorio | valor=5203
linha=200 | nome=Mariana | acao=comparou as metricas | valor=4798
linha=201 | nome=Joao | acao=executou o benchmark | valor=9443
linha=202 | nome=Joao | acao=estudou computacao | valor=3265
linha=203 | nome=Eduarda | acao=otimizou o algoritmo | valor=3717
linha=204 | nome=Eduarda | acao=fez um experimento | valor=8827
linha=205 | nome=Mariana | acao=estudou computacao | valor=4626
linha=206 | nome=Daniela | acao=estudou computacao | valor=6573
linha=207 | nome=Mariana | acao=executou o benchmark | valor=7925
linha=208 | nome=Vitor | acao=participou da aula | valor=3602
linha=209 | nome=Daniela | acao=escreveu o relatorio | valor=1666
linha=210 | nome=Carlos | acao=analisou os resultados | valor=8198
linha=211 | nome=Joao | acao=escreveu o relatorio | valor=4412
linha=212 | nome=Natalia | acao=executou o benchmark | valor=2108
linha=213 | nome=Carlos | acao=comparou as metricas | valor=9941
linha=214 | nome=Renata | acao=executou o benchmark | valor=1576
linha=215 | nome=Sofia | acao=analisou os resultados | valor=9942
linha=216 | nome=Tiago | acao=estudou computacao | valor=7192
linha=217 | nome=Tiago | acao=comparou as metricas | valor=5112
linha=218 | nome=Joao | acao=estudou computacao | valor=2407
linha=219 | nome=Igor | acao=analisou os resultados | valor=4628
linha=220 | nome=Joao | acao=analisou os resultados | valor=1892
linha=221 | nome=Bruno | acao=otimizou o algoritmo | valor=6023
linha=222 | nome=Mariana | acao=escreveu o relatorio | valor=9137
linha=223 | nome=Bruno | acao=comparou as metricas | valor=2350
linha=224 | nome=Bruno | acao=estudou computacao | valor=3546
linha=225 | nome=Mariana | acao=comparou as metricas | valor=6860
linha=226 | nome=Helena | acao=analisou os resultados | valor=2402
linha=227 | nome=Joao | acao=executou o benchmark | valor=4574
linha=228 | nome=Carlos | acao=fez um experimento | valor=1944
linha=229 | nome=Igor | acao=analisou os resultados | valor=5918
linha=230 | nome=Eduarda | acao=estudou computacao | valor=5637
linha=231 | nome=Felipe | acao=executou o benchmark | valor=8896
linha=232 | nome=Daniela | acao=analisou os resultados | valor=2764
linha=233 | nome=Igor | acao=comparou as metricas | valor=9495
linha=234 | nome=Bruno | acao=estudou computacao | valor=1021
linha=235 | nome=Felipe | acao=fez um experimento | valor=1254
linha=236 | nome=Mariana | acao=escreveu o relatorio | valor=6466
linha=237 | nome=Felipe | acao=estudou computacao | valor=4599
linha=238 | nome=Karen | acao=participou da aula | valor=9696
linha=239 | nome=Bruno | acao=participou da aula | valor=8858
linha=240 | nome=Igor | acao=executou o benchmark | valor=3794
linha=241 | nome=Daniela | acao=fez um experimento | valor=6045
linha=242 | nome=Felipe | acao=executou o benchmark | valor=7676
linha=243 | nome=Bruno | acao=comparou as metricas | valor=9659
linha=244 | nome=Karen | acao=otimizou o algoritmo | valor=8450
linha=245 | nome=Daniela | acao=fez um experimento | valor=7684
linha=246 | nome=Helena | acao=fez um experimento | valor=3666
linha=247 | nome=Natalia | acao=analisou os resultados | valor=6617
linha=248 | nome=Natalia | acao=escreveu o relatorio | valor=6989
linha=249 | nome=Karen | acao=otimizou o algoritmo | valor=8306
linha=250 | nome=Lucas | acao=escreveu o relatorio | valor=7051
linha=251 | nome=Mariana | acao=executou o benchmark | valor=6790
linha=252 | nome=Karen | acao=estudou computacao | valor=9905
linha=253 | nome=Vitor | acao=fez um experimento | valor=7703
linha=254 | nome=Gabriela | acao=participou da aula | valor=8671
linha=255 | nome=Eduarda | acao=fez um experimento | valor=6802
linha=256 | nome=Karen | acao=otimizou o algoritmo | valor=5600
linha=257 | nome=Eduarda | acao=fez um experimento | valor=7154
linha=258 | nome=Lucas | acao=comparou as metricas | valor=7548
linha=259 | nome=Daniela | acao=comparou as metricas | valor=5587
linha=260 | nome=Sofia | acao=otimizou o algoritmo | valor=5640
linha=261 | nome=Mariana | acao=analisou os resultados | valor=9193
linha=262 | nome=Helena | acao=executou o benchmark | valor=1231
linha=263 | nome=Carlos | acao=participou da aula | valor=4950
linha=264 | nome=Otavio | acao=escreveu o relatorio | valor=7836
linha=265 | nome=Carlos | acao=executou o benchmark | valor=7130
linha=266 | nome=Helena | acao=escreveu o relatorio | valor=9270
linha=267 | nome=Natalia | acao=estudou computacao | valor=2557
linha=268 | nome=Igor | acao=fez um experimento | valor=7025
linha=269 | nome=Otavio | acao=participou da aula | valor=2172
linha=270 | nome=Mariana | acao=executou o benchmark | valor=8463
linha=271 | nome=Karen | acao=fez um experimento | valor=1357
linha=272 | nome=Karen | acao=fez um experimento | valor=2739
linha=273 | nome=Renata | acao=estudou computacao | valor=5039
linha=274 | nome=Lucas | acao=escreveu o relatorio | valor=5740
linha=275 | nome=Daniela | acao=fez um experimento | valor=7281
linha=276 | nome=Mariana | acao=otimizou o algoritmo | valor=3265
linha=277 | nome=Mariana | acao=escreveu o relatorio | valor=1900
linha=278 | nome=Karen | acao=participou da aula | valor=7432
linha=279 | nome=Eduarda | acao=escreveu o relatorio | valor=8248
linha=280 | nome=Lucas | acao=participou da aula | valor=5864
linha=281 | nome=Joao | acao=participou da aula | valor=2017
linha=282 | nome=Felipe | acao=comparou as metricas | valor=6368
linha=283 | nome=Igor | acao=estudou computacao | valor=3114
linha=284 | nome=Helena | acao=executou o benchmark | valor=6219
linha=285 | nome=Paulo | acao=fez um experimento | valor=9805
linha=286 | nome=Helena | acao=executou o benchmark | valor=7526
linha=287 | nome=Joao | acao=escreveu o relatorio | valor=6346
linha=288 | nome=Sofia | acao=estudou computacao | valor=7816
linha=289 | nome=Felipe | acao=otimizou o algoritmo | valor=6052
linha=290 | nome=Mariana | acao=comparou as metricas | valor=3703
linha=291 | nome=Bruno | acao=executou o benchmark | valor=4568
linha=292 | nome=Paulo | acao=executou o benchmark | valor=2815
linha=293 | nome=Sofia | acao=comparou as metricas | valor=8551
linha=294 | nome=Igor | acao=analisou os resultados | valor=9845
linha=295 | nome=Ana | acao=escreveu o relatorio | valor=7878
linha=296 | nome=Eduarda | acao=otimizou o algoritmo | valor=5053
linha=297 | nome=Daniela | acao=fez um experimento | valor=4547
linha=298 | nome=Carlos | acao=otimizou o algoritmo | valor=7071
linha=299 | nome=Eduarda | acao=participou da aula | valor=4284
linha=300 | nome=Ana | acao=comparou as metricas | valor=8285
linha=301 | nome=Eduarda | acao=participou da aula | valor=6749
linha=302 | nome=Ana | acao=analisou os resultados | valor=8829
linha=303 | nome=Eduarda | acao=comparou as metricas | valor=8947
linha=304 | nome=Sofia | acao=otimizou o algoritmo | valor=7407
linha=305 | nome=Bruno | acao=otimizou o algoritmo | valor=5190
linha=306 | nome=Igor | acao=comparou as metricas | valor=4520
linha=307 | nome=Felipe | acao=executou o benchmark | valor=6266
linha=308 | nome=Renata | acao=escreveu o relatorio | valor=7769
linha=309 | nome=Paulo | acao=participou da aula | valor=8209
linha=310 | nome=Lucas | acao=participou da aula | valor=6551
linha=311 | nome=Lucas | acao=executou o benchmark | valor=3727
linha=312 | nome=Vitor | acao=fez um experimento | valor=8890
linha=313 | nome=Vitor | acao=participou da aula | valor=6373
linha=314 | nome=Lucas | acao=executou o benchmark | valor=5869
linha=315 | nome=Eduarda | acao=comparou as metricas | valor=9366
linha=316 | nome=Renata | acao=escreveu o relatorio | valor=1070
linha=317 | nome=Eduarda | acao=analisou os resultados | valor=6657
linha=318 | nome=Otavio | acao=fez um experimento | valor=7486
linha=319 | nome=Mariana | acao=comparou as metricas | valor=6519
linha=320 | nome=Helena | acao=participou da aula | valor=4828
linha=321 | nome=Ana | acao=estudou computacao | valor=3755
linha=322 | nome=Carlos | acao=escreveu o relatorio | valor=2562
linha=323 | nome=Joao | acao=otimizou o algoritmo | valor=5758
linha=324 | nome=Karen | acao=executou o benchmark | valor=4389
linha=325 | nome=Renata | acao=executou o benchmark | valor=3628
linha=326 | nome=Helena | acao=comparou as metricas | valor=4225
linha=327 | nome=Natalia | acao=fez um experimento | valor=4236
linha=328 | nome=Karen | acao=escreveu o relatorio | valor=8902
linha=329 | nome=Vitor | acao=otimizou o algoritmo | valor=1572
linha=330 | nome=Ana | acao=executou o benchmark | valor=9053
linha=331 | nome=Paulo | acao=analisou os resultados | valor=8870
linha=332 | nome=Vitor | acao=executou o benchmark | valor=4709
linha=333 | nome=Karen | acao=executou o benchmark | valor=5645
linha=334 | nome=Daniela | acao=escreveu o relatorio | valor=6318
linha=335 | nome=Tiago | acao=escreveu o relatorio | valor=1575
linha=336 | nome=Igor | acao=otimizou o algoritmo | valor=9968
linha=337 | nome=Otavio | acao=participou da aula | valor=8270
linha=338 | nome=Ana | acao=participou da aula | valor=8918
linha=339 | nome=Felipe | acao=executou o benchmark | valor=4806
linha=340 | nome=Mariana | acao=estudou computacao | valor=8114
linha=341 | nome=Lucas | acao=comparou as metricas | valor=4126
linha=342 | nome=Otavio | acao=otimizou o algoritmo | valor=7494
linha=343 | nome=Ana | acao=participou da aula | valor=2974
linha=344 | nome=Renata | acao=estudou computacao | valor=6679
linha=345 | nome=Carlos | acao=executou o benchmark | valor=1755
linha=346 | nome=Felipe | acao=comparou as metricas | valor=6025
linha=347 | nome=Helena | acao=executou o benchmark | valor=4789
linha=348 | nome=Gabriela | acao=fez um experimento | valor=5591
linha=349 | nome=Gabriela | acao=comparou as metricas | valor=1166
linha=350 | nome=Mariana | acao=fez um experimento | valor=4226
linha=351 | nome=Helena | acao=estudou computacao | valor=6422
linha=352 | nome=Karen | acao=fez um experimento | valor=8436
linha=353 | nome=Joao | acao=otimizou o algoritmo | valor=8255
linha=354 | nome=Gabriela | acao=executou o benchmark | valor=6328
linha=355 | nome=Daniela | acao=comparou as metricas | valor=7498
linha=356 | nome=Joao | acao=comparou as metricas | valor=1915
linha=357 | nome=Paulo | acao=participou da aula | valor=5411
linha=358 | nome=Felipe | acao=fez um experimento | valor=6678
linha=359 | nome=Tiago | acao=otimizou o algoritmo | valor=8395
linha=360 | nome=Mariana | acao=estudou computacao | valor=5041
linha=361 | nome=Lucas | acao=escreveu o relatorio | valor=9210
linha=362 | nome=Sofia | acao=participou da aula | valor=1430
linha=363 | nome=Paulo | acao=analisou os resultados | valor=1214
linha=364 | nome=Vitor | acao=estudou computacao | valor=2129
linha=365 | nome=Carlos | acao=fez um experimento | valor=5669
linha=366 | nome=Igor | acao=fez um experimento | valor=1153
linha=367 | nome=Tiago | acao=analisou os resultados | valor=4541
linha=368 | nome=Renata | acao=comparou as metricas | valor=3251
linha=369 | nome=Bruno | acao=executou o benchmark | valor=5937
linha=370 | nome=Felipe | acao=fez um experimento | valor=3189
linha=371 | nome=Karen | acao=comparou as metricas | valor=5790
linha=372 | nome=Natalia | acao=comparou as metricas | valor=3904
linha=373 | nome=Felipe | acao=escreveu o relatorio | valor=2438
linha=374 | nome=Eduarda | acao=comparou as metricas | valor=8161
linha=375 | nome=Ana | acao=estudou computacao | valor=4011
linha=376 | nome=Carlos | acao=escreveu o relatorio | valor=4866
linha=377 | nome=Ana | acao=analisou os resultados | valor=2813
linha=378 | nome=Lucas | acao=escreveu o relatorio | valor=3238
linha=379 | nome=Eduarda | acao=otimizou o algoritmo | valor=8250
linha=380 | nome=Eduarda | acao=participou da aula | valor=3598
linha=381 | nome=Ana | acao=comparou as metricas | valor=5920
linha=382 | nome=Paulo | acao=otimizou o algoritmo | valor=6579
linha=383 | nome=Felipe | acao=participou da aula | valor=4558
linha=384 | nome=Tiago | acao=fez um experimento | valor=9305
linha=385 | nome=Natalia | acao=otimizou o algoritmo | valor=9114
linha=386 | nome=Karen | acao=comparou as metricas | valor=3964
linha=387 | nome=Vitor | acao=otimizou o algoritmo | valor=1227
linha=388 | nome=Eduarda | acao=analisou os resultados | valor=8188
linha=389 | nome=Mariana | acao=estudou computacao | valor=5078
linha=390 | nome=Bruno | acao=otimizou o algoritmo | valor=7016
linha=391 | nome=Natalia | acao=participou da aula | valor=8911
linha=392 | nome=Otavio | acao=escreveu o relatorio | valor=8077
linha=393 | nome=Igor | acao=comparou as metricas | valor=3092
linha=394 | nome=Daniela | acao=analisou os resultados | valor=7797
linha=395 | nome=Joao | acao=analisou os resultados | valor=4076
linha=396 | nome=Otavio | acao=otimizou o algoritmo | valor=1691
linha=397 | nome=Tiago | acao=analisou os resultados | valor=2502
linha=398 | nome=Natalia | acao=comparou as metricas | valor=2202
linha=399 | nome=Felipe | acao=fez um experimento | valor=2572
linha=400 | nome=Gabriela | acao=escreveu o relatorio | valor=8934
linha=401 | nome=Joao | acao=otimizou o algoritmo | valor=6066
linha=402 | nome=Joao | acao=otimizou o algoritmo | valor=6801
linha=403 | nome=Sofia | acao=executou o benchmark | valor=9500
linha=404 | nome=Tiago | acao=estudou computacao | valor=3048
linha=405 | nome=Mariana | acao=executou o benchmark | valor=9408
linha=406 | nome=Carlos | acao=estudou computacao | valor=3839
linha=407 | nome=Lucas | acao=otimizou o algoritmo | valor=4625
linha=408 | nome=Lucas | acao=otimizou o algoritmo | valor=4636
linha=409 | nome=Karen | acao=estudou computacao | valor=4884
linha=410 | nome=Natalia | acao=comparou as metricas | valor=5049
linha=411 | nome=Gabriela | acao=comparou as metricas | valor=7561
linha=412 | nome=Sofia | acao=comparou as metricas | valor=1017
linha=413 | nome=Joao | acao=escreveu o relatorio | valor=7614
linha=414 | nome=Paulo | acao=otimizou o algoritmo | valor=3964
linha=415 | nome=Carlos | acao=participou da aula | valor=5072
linha=416 | nome=Vitor | acao=estudou computacao | valor=2778
linha=417 | nome=Renata | acao=analisou os resultados | valor=8502
linha=418 | nome=Carlos | acao=estudou computacao | valor=2209
linha=419 | nome=Sofia | acao=executou o benchmark | valor=5636
linha=420 | nome=Eduarda | acao=escreveu o relatorio | valor=7045
linha=421 | nome=Lucas | acao=estudou computacao | valor=1332
linha=422 | nome=Carlos | acao=estudou computacao | valor=6466
linha=423 | nome=Ana | acao=analisou os resultados | valor=3627
linha=424 | nome=Gabriela | acao=otimizou o algoritmo | valor=8814
linha=425 | nome=Bruno | acao=otimizou o algoritmo | valor=9756
linha=426 | nome=Natalia | acao=fez um experimento | valor=3198
linha=427 | nome=Felipe | acao=estudou computacao | valor=1985
linha=428 | nome=Daniela | acao=analisou os resultados | valor=6431
linha=429 | nome=Mariana | acao=escreveu o relatorio | valor=2711
linha=430 | nome=Renata | acao=participou da aula | valor=3269
linha=431 | nome=Felipe | acao=estudou computacao | valor=4863
linha=432 | nome=Helena | acao=executou o benchmark | valor=2142
linha=433 | nome=Bruno | acao=escreveu o relatorio | valor=8261
linha=434 | nome=Daniela | acao=comparou as metricas | valor=6464
linha=435 | nome=Daniela | acao=fez um experimento | valor=6773
linha=436 | nome=Tiago | acao=executou o benchmark | valor=8803
linha=437 | nome=Igor | acao=comparou as metricas | valor=6304
linha=438 | nome=Karen | acao=analisou os resultados | valor=8111
linha=439 | nome=Helena | acao=escreveu o relatorio | valor=5192
linha=440 | nome=Vitor | acao=executou o benchmark | valor=7940
linha=441 | nome=Vitor | acao=analisou os resultados | valor=6106
linha=442 | nome=Sofia | acao=participou da aula | valor=6592
linha=443 | nome=Felipe | acao=executou o benchmark | valor=6239
linha=444 | nome=Lucas | acao=participou da aula | valor=7822
linha=445 | nome=Helena | acao=estudou computacao | valor=9223
linha=446 | nome=Tiago | acao=comparou as metricas | valor=6921
linha=447 | nome=Joao | acao=comparou as metricas | valor=7017
linha=448 | nome=Sofia | acao=estudou computacao | valor=1850
linha=449 | nome=Helena | acao=executou o benchmark | valor=4406
linha=450 | nome=Daniela | acao=escreveu o relatorio | valor=4730
linha=451 | nome=Felipe | acao=executou o benchmark | valor=9297
linha=452 | nome=Carlos | acao=participou da aula | valor=2570
